-0.452248-0j -0.0460126-0j -0.0464894-0j -0.0264821-0j -0.00382236-0j -0.0327699-0j -0.00472992-0j -0.0191158-0j -0.00275912-0j -0.0186669-0j -0.00329987-0j -0.0217781-0j -0.000274989-0j -0.0133363-0j -0.00384985-0j -0.0190558-0j -0.00235754-0j -0.000320821-0j -0.00786012-0j -0.000196462-0j -0.00336862-0j -0.00138949-0j -0.000280718-0j -0.00011579-0j 0.0573028-0j 0.00955046-0j -0.0162823-0j 0.00584844-0j 0.00119381-0j -0.0132945-0j 7.03458e-05-0j -0.00271372-0j -0.0134322-0j -0.00166181-0j -0.0116326-0j -0.00221574-0j -0.000339215-0j -0.00959644-0j -0.00135686-0j -0.0022387-0j -1.99884e-05-0j -0.00306611-0j -0.000276968-0j -0.00193877-0j -0.00137092-0j -0.00118725-0j -0.000279838-0j -0.00159941-0j -1.63205e-05-0j -0.000242347-0j -0.000979433-0j -0.000511018-0j -1.64896e-05-0j -0.000312933-0j -1.42804e-05-0j -0.000199926-0j -6.38773e-05-0j -1.17807e-05-0j -3.764e-06-0j 
0.00885123-0j 0.0519768-0j -0.0506956-0j 0.0299147-0j 0.00431781-0j 0.00064136-0j 9.25723e-05-0j -0.0420647-0j -0.00607152-0j -0.062583-0j -0.0110632-0j 0.000426232-0j -0.000921935-0j 0.0150649-0j 7.53479e-05-0j -0.0207799-0j 0.00266313-0j 6.27899e-06-0j -0.0260215-0j 0.000221927-0j -0.0036734-0j -0.00459999-0j -0.000306117-0j -0.000383333-0j 0.0162823-0j 0.00271372-0j -0.00094579-0j 0.00166181-0j 0.000339215-0j 0.0150177-0j 1.99884e-05-0j -0.000157632-0j -0.0146475-0j -9.65293e-05-0j 0.00022767-0j 0.00250295-0j -1.9704e-05-0j -0.0211172-0j 0.00153274-0j -0.00244125-0j -1.16107e-06-0j -0.0135541-0j 0.000312868-0j 3.7945e-05-0j -0.00149496-0j 2.32364e-05-0j -0.000305157-0j -0.00351954-0j 1.84359e-05-0j 4.74312e-06-0j -0.00215527-0j -0.00225902-0j -1.79815e-05-0j -0.00138336-0j 2.79491e-07-0j -0.000439942-0j -0.000282377-0j -2.59238e-05-0j -1.66392e-05-0j 
0.417122-0j -0.0412307-0j 0.0428786-0j -0.0480347-0j -0.00693322-0j -0.0293642-0j -0.00423836-0j 0.0176311-0j 0.00254482-0j 0.0172171-0j 0.00304358-0j -0.0395023-0j 0.000253631-0j -0.0362011-0j -0.00698309-0j -0.0170754-0j -0.0063995-0j -0.000581924-0j 0.00724963-0j -0.000533292-0j -0.00301854-0j 0.00128157-0j -0.000251545-0j 0.000106797-0j 0.0132945-0j 0.00221574-0j 0.0150177-0j 0.00135686-0j 0.000276968-0j 0.0234278-0j 1.63205e-05-0j 0.00250295-0j -0.0243642-0j 0.00153274-0j -0.0315766-0j 0.00390463-0j 0.000312868-0j -0.00859913-0j 0.00239109-0j -0.00406069-0j 1.84359e-05-0j 0.00282797-0j 0.000488079-0j -0.00526276-0j -0.00248666-0j -0.00322277-0j -0.000507587-0j -0.00143319-0j 2.87603e-05-0j -0.000657845-0j -0.000877645-0j 0.000471328-0j -2.99098e-05-0j 0.000288628-0j -3.87639e-05-0j -0.000179148-0j 5.8916e-05-0j -1.05564e-05-0j 3.47166e-06-0j 
0.406841-0j -0.0428786-0j 0.043297-0j 0.0485325-0j 0.00700507-0j 0.0294797-0j 0.00425503-0j -0.015994-0j -0.00230854-0j -0.0173955-0j -0.00307512-0j -0.0385287-0j -0.00025626-0j -0.0124279-0j -0.00681097-0j 0.0177472-0j -0.00219697-0j -0.000567581-0j -0.0346196-0j -0.000183081-0j 0.0031373-0j -0.00611995-0j 0.000261441-0j -0.000509996-0j -0.0134322-0j -0.0022387-0j 0.0146475-0j -0.00137092-0j -0.000279838-0j 0.0243642-0j -1.64896e-05-0j 0.00244125-0j -0.0246019-0j 0.00149496-0j 0.0104647-0j 0.00406069-0j 0.000305157-0j -0.00802927-0j 0.00248666-0j -0.00410031-0j 1.79815e-05-0j -0.029962-0j 0.000507587-0j 0.00174412-0j -0.00251092-0j 0.00106805-0j -0.000512539-0j -0.00133821-0j 2.99098e-05-0j 0.000218015-0j -0.000819484-0j -0.00499367-0j -3.02016e-05-0j -0.00305799-0j 1.28466e-05-0j -0.000167277-0j -0.000624209-0j -9.85687e-06-0j -3.67819e-05-0j 
-0.00632362-0j 0.109288-0j 0.0362187-0j -0.0213721-0j -0.00308479-0j 0.00134854-0j 0.000194645-0j 0.0300525-0j 0.0043377-0j -0.0150649-0j -0.00266313-0j -0.000304515-0j -0.000221927-0j -0.00955477-0j -5.38311e-05-0j -0.0436924-0j -0.00168906-0j -4.48593e-06-0j 0.0185907-0j -0.000140755-0j -0.0077238-0j 0.00328639-0j -0.00064365-0j 0.000273866-0j -0.0116326-0j -0.00193877-0j -0.00022767-0j -0.00118725-0j -0.000242347-0j 0.0315766-0j -1.42804e-05-0j -3.7945e-05-0j 0.0104647-0j -2.32364e-05-0j -0.000144397-0j 0.00526276-0j -4.74312e-06-0j -0.0444016-0j 0.00322277-0j 0.00174412-0j -2.79491e-07-0j 0.00968353-0j 0.000657845-0j -2.40662e-05-0j 0.00106805-0j -1.47375e-05-0j 0.000218015-0j -0.00740027-0j 3.87639e-05-0j -3.00827e-06-0j -0.00453172-0j 0.00161392-0j 1.28466e-05-0j 0.000988321-0j -1.77264e-07-0j -0.000925034-0j 0.00020174-0j -5.45081e-05-0j 1.18877e-05-0j 
-0.58654-0j -0.0297619-0j 0.0277896-0j 0.0176311-0j 0.00254482-0j 0.0412907-0j 0.0059598-0j 0.048923-0j 0.00706142-0j 0.0124279-0j 0.00219697-0j -0.0282449-0j 0.000183081-0j -0.0261313-0j -0.00499304-0j -0.0110666-0j -0.00461941-0j -0.000416086-0j 0.00626517-0j -0.000384951-0j -0.00195631-0j 0.00110754-0j -0.000163026-0j 9.22946e-05-0j 0.00959644-0j 0.00159941-0j -0.0211172-0j 0.000979433-0j 0.000199926-0j -0.00859913-0j 1.17807e-05-0j -0.00351954-0j 0.00802927-0j -0.00215527-0j 0.0444016-0j -0.00143319-0j -0.000439942-0j -0.023861-0j -0.000877645-0j 0.00133821-0j -2.59238e-05-0j -0.025999-0j -0.000179148-0j 0.00740027-0j 0.000819484-0j 0.00453172-0j 0.000167277-0j -0.00397683-0j -1.05564e-05-0j 0.000925034-0j -0.0024353-0j -0.00433317-0j 9.85687e-06-0j -0.00265351-0j 5.45081e-05-0j -0.000497104-0j -0.000541646-0j -2.92921e-05-0j -3.19168e-05-0j 
0.376471-0j -0.0097877-0j -0.1037-0j -0.00563321-0j -0.000813084-0j 0.0272791-0j 0.0039374-0j 0.051789-0j 0.00747511-0j -0.00397079-0j -0.000701942-0j 0.018129-0j -5.84952e-05-0j -0.00283687-0j 0.00320479-0j -0.042506-0j -0.000501492-0j 0.000267066-0j 0.0311302-0j -4.1791e-05-0j -0.00751408-0j 0.0055031-0j -0.000626173-0j 0.000458592-0j -0.00306611-0j -0.000511018-0j 0.0135541-0j -0.000312933-0j -6.38773e-05-0j -0.00282797-0j -3.764e-06-0j 0.00225902-0j -0.029962-0j 0.00138336-0j 0.00968353-0j -0.000471328-0j 0.000282377-0j 0.025999-0j -0.000288628-0j -0.00499367-0j 1.66392e-05-0j -0.0324411-0j -5.8916e-05-0j 0.00161392-0j -0.00305799-0j 0.000988321-0j -0.000624209-0j 0.00433317-0j -3.47166e-06-0j 0.00020174-0j 0.00265351-0j -0.00540686-0j -3.67819e-05-0j -0.00331101-0j 1.18877e-05-0j 0.000541646-0j -0.000675857-0j 3.19168e-05-0j -3.98253e-05-0j 
0.059402-0j -0.284966-0j -0.287919-0j 0.00347837-0j -0.0478473-0j 0.00430427-0j -0.0592081-0j 0.00251082-0j -0.034538-0j 0.00245187-0j -0.0204368-0j 0.00286051-0j -0.00518144-0j 0.0017517-0j -0.0238429-0j 0.00250295-0j -0.0146008-0j -0.00604501-0j 0.00103241-0j -0.0037018-0j -0.0208626-0j -0.00860537-0j -0.00528939-0j -0.00218176-0j 0.00189325-0j -0.0148781-0j 0.00213865-0j 0.000193229-0j -0.00375897-0j 0.0017462-0j -0.000445323-0j -0.0168066-0j 0.0017643-0j 0.000218275-0j 0.00152793-0j -0.0137225-0j -0.00424621-0j 0.00126048-0j 0.000178221-0j -0.0138648-0j -0.000503046-0j 0.000402728-0j -0.00346702-0j -0.0120072-0j 0.000180068-0j 0.000155943-0j -0.00350294-0j -0.00990546-0j -0.000410735-0j -0.00303364-0j 0.000128647-0j -0.00316484-0j -0.000414992-0j 4.11033e-05-0j -0.000359393-0j -0.00250262-0j -0.000799601-0j -0.000296485-0j -9.47282e-05-0j 
-0.0011391-0j 0.315399-0j -0.307625-0j -0.00384985-0j 0.0529573-0j -8.25395e-05-0j 0.00113539-0j 0.0054135-0j -0.0744663-0j -0.00271372-0j 0.0226194-0j -5.48537e-05-0j 0.0057348-0j -0.00193877-0j 0.000457217-0j 0.00267426-0j 0.0161601-0j 0.00011592-0j 0.00334882-0j 0.00409714-0j -0.0222905-0j -0.0279131-0j -0.00565142-0j -0.00707695-0j 0.00833044-0j -0.0654648-0j -4.10112e-05-0j 0.000850222-0j -0.0165398-0j -0.00193269-0j -0.00195946-0j 0.000322287-0j 0.00188506-0j -4.18569e-06-0j -2.92998e-05-0j 0.0151881-0j 8.14262e-05-0j 0.00271767-0j -0.000197255-0j -0.0148137-0j 9.64651e-06-0j 0.00174434-0j 0.00383728-0j 0.000230253-0j 0.000192393-0j -2.9904e-06-0j -0.0037427-0j -0.0213568-0j 0.000454601-0j 5.81737e-05-0j 0.000277371-0j -0.0137079-0j -0.000443396-0j 0.000178031-0j 6.8918e-06-0j -0.00539582-0j -0.00346332-0j -0.00063924-0j -0.000410297-0j 
-0.0519768-0j -0.242247-0j 0.251929-0j -0.00304358-0j 0.0418664-0j 0.00365902-0j -0.0503322-0j -0.00219697-0j 0.0302208-0j 0.00636732-0j -0.0530729-0j -0.00250295-0j -0.0134558-0j 0.00451094-0j 0.0208626-0j 0.00212773-0j -0.0375996-0j 0.00528939-0j -0.000903361-0j -0.00953281-0j -0.0177351-0j 0.0075297-0j -0.00449646-0j 0.00190904-0j -0.00165659-0j 0.0130184-0j 0.00555393-0j -0.000169075-0j 0.0032891-0j 0.00148443-0j 0.000389658-0j -0.0436456-0j -0.00154376-0j 0.000566845-0j 0.00393469-0j -0.0116654-0j -0.0110271-0j 0.00107152-0j 0.000151504-0j 0.0121317-0j -0.00130637-0j -0.000352387-0j -0.00294728-0j -0.0309208-0j -0.00015756-0j 0.000401583-0j 0.00306508-0j -0.00842054-0j -0.000349162-0j -0.00781217-0j 0.000109361-0j 0.00276924-0j 0.000363118-0j -3.59654e-05-0j -0.000925504-0j -0.00212746-0j 0.000699651-0j -0.000252039-0j 8.28872e-05-0j 
-0.0346512-0j 0.16623-0j 0.167953-0j 0.0100097-0j -0.13769-0j -0.00251082-0j 0.034538-0j -0.00146465-0j 0.0201472-0j -0.00143026-0j 0.0119215-0j 0.0082317-0j 0.00302251-0j -0.00102182-0j -0.0686129-0j -0.00146005-0j 0.00851711-0j -0.0173958-0j -0.000602241-0j 0.00215938-0j 0.0121698-0j 0.0050198-0j 0.00308548-0j 0.00127269-0j -0.0011044-0j 0.0086789-0j -0.00124755-0j -0.000112717-0j 0.00219273-0j 0.00502506-0j 0.000259772-0j 0.00980386-0j 0.00507713-0j -0.000127327-0j -0.000891291-0j -0.0394894-0j 0.00247696-0j -0.000735278-0j 0.000512868-0j -0.0398987-0j 0.000293444-0j -0.000234925-0j -0.00997705-0j 0.00700422-0j 0.000518183-0j -9.0967e-05-0j -0.0100804-0j 0.00577818-0j -0.00118198-0j 0.00176962-0j -7.5044e-05-0j 0.00184616-0j -0.00119422-0j -2.39769e-05-0j 0.000209646-0j 0.00145986-0j 0.000466434-0j 0.000172949-0j 5.52581e-05-0j 
-0.0506956-0j -0.251929-0j 0.254387-0j 0.00307512-0j -0.0423003-0j -0.0036734-0j 0.0505301-0j 0.00199298-0j -0.0274148-0j -0.0064333-0j 0.0536229-0j -0.00244125-0j 0.0135953-0j 0.00154862-0j 0.0203484-0j -0.00221145-0j -0.0129081-0j 0.00515901-0j 0.00431388-0j -0.00327264-0j 0.0184328-0j -0.0359571-0j 0.00467337-0j -0.00911637-0j 0.00167376-0j -0.0131533-0j 0.00541704-0j 0.000170828-0j -0.00332319-0j 0.00154376-0j -0.000393696-0j -0.0425698-0j -0.00155882-0j 0.000552874-0j -0.00130398-0j -0.0121317-0j -0.0107553-0j 0.00100051-0j 0.00015756-0j 0.01225-0j -0.00127418-0j 0.00373351-0j -0.00306508-0j 0.0102474-0j -0.000159097-0j -0.000133087-0j 0.00309498-0j -0.00786252-0j -0.000363118-0j 0.00258901-0j 0.000102114-0j -0.0293398-0j 0.000366661-0j 0.000381049-0j 0.000306718-0j -0.00198647-0j -0.00741273-0j -0.000235337-0j -0.000878181-0j 
0.00105063-0j 0.282621-0j 0.283732-0j -0.00698309-0j 0.0960571-0j -7.39615e-05-0j 0.00101739-0j -0.00499304-0j 0.0686826-0j 0.00250295-0j -0.0208626-0j -9.94969e-05-0j -0.00528939-0j -0.00526276-0j 0.000829327-0j 0.00239634-0j 0.0438662-0j 0.000210263-0j -0.00308872-0j 0.0111216-0j -0.0199739-0j 0.0257451-0j -0.00506409-0j 0.00652729-0j 0.00193269-0j -0.0151881-0j 3.78259e-05-0j 0.000197255-0j -0.00383728-0j 0.00340584-0j -0.000454601-0j -0.000297255-0j 0.00341923-0j 3.86059e-06-0j -7.95338e-05-0j -0.0267648-0j -7.51019e-05-0j 0.00243523-0j 0.000347607-0j -0.02687-0j -8.89728e-06-0j -0.00160886-0j -0.00676215-0j 0.000625017-0j 0.000348973-0j -8.11739e-06-0j -0.00678874-0j -0.0191373-0j -0.000801108-0j 0.000157911-0j 0.000248545-0j 0.0126432-0j -0.000804258-0j -0.000164203-0j 1.87077e-05-0j -0.00483506-0j 0.00319432-0j -0.000572807-0j 0.00037843-0j 
