6.5001e-15-0.0639989j -2.55092e-14+0.247277j 5.63162e-16-0.078775j -8.8285e-16+0.0452644j -7.62967e-16-0.074009j -1.55128e-15+0.193761j -1.81716e-15+0.101207j -4.38179e-17-0.0272557j -7.75039e-16-0.0664243j 5.05581e-15+0.217108j 4.60919e-15-0.14528j 3.49906e-16-0.0517878j 1.02887e-15-0.0505173j 2.63195e-15-0.0377882j -3.18511e-16+0.023066j 7.93291e-15-0.0442073j -4.71612e-15-0.0174818j 1.31525e-14+0.0475175j 4.22063e-12+0.0378932j -7.09904e-15-0.0253556j -4.77107e-15+0.0360451j -1.48397e-14-0.084904j 6.81212e-14-0.0475318j -1.07422e-14-0.0259952j -4.59918e-15+0.0053714j 9.92429e-16+0.00670108j 4.28016e-15-0.00715091j -7.78711e-16+0.0150692j 1.2906e-14+0.00492806j -9.57248e-16+0.00456885j -1.71569e-16-0.0170547j -2.43627e-15-0.0117269j -5.51182e-15+0.0243658j 3.26647e-15+0.0381849j -2.70582e-15-0.0299384j 2.66171e-15-0.000730845j -5.57239e-15+0.0264601j 2.95623e-15+0.0147018j 4.24017e-15-0.0488819j -1.07769e-14-0.0144771j -1.37937e-15-0.00760787j -2.06618e-16+0.00652701j -5.26859e-16-0.0326635j -2.07521e-15+0.078266j 1.01154e-15+0.0287043j 4.99961e-16-0.0314939j -1.10567e-15-0.0888523j 4.10143e-16-0.00248559j -1.91922e-15-0.0620508j -1.23562e-15-0.0550135j -1.45965e-16+0.0365131j -2.7772e-16-0.0368439j 1.44057e-16+0.0531518j -6.0567e-17-0.0699788j 7.63234e-14+0.118694j 1.70577e-14+0.00733238j 
-3.14756e-15-0.242148j -4.34422e-16-0.0673098j -7.19815e-16-0.092997j -2.17919e-16-0.0692488j 4.28792e-15+0.230946j 1.28192e-15+0.119407j -1.61792e-15-0.0644412j 5.31495e-17-0.0150152j -1.5482e-15-0.163025j -4.37725e-15-0.136496j -1.97386e-15-0.0953077j 3.48697e-15-0.127102j 1.76697e-15+0.0304294j 1.98866e-15+0.026053j -4.92334e-15+0.0239173j -9.55327e-15+0.0370846j -1.65741e-15-0.0262597j -4.09967e-15+0.0555328j -3.76754e-12-0.0339684j 6.24268e-15+0.0628515j 1.45234e-15-0.0586725j 7.75782e-15+0.0390588j -5.20825e-14+0.0349441j 5.29524e-15+0.0181724j 5.36714e-15+0.0429081j 1.31934e-15+0.0716094j 7.03861e-15-0.0462278j -3.90941e-15+0.00457678j -1.31881e-13-0.045491j 1.48454e-14-0.0674915j 4.16893e-15+0.0165334j 1.93277e-16-0.0456317j 2.16911e-15+0.0155435j 2.1256e-15+0.0233037j -5.31147e-15-0.0596204j -1.15286e-15+0.0191254j -1.40565e-15+0.0610136j 1.07996e-15-0.0278382j 4.20027e-15+0.0138922j 8.14041e-16+0.00582538j -1.17746e-14-0.0394623j -1.39336e-14+0.00374982j -1.37422e-15-0.0461356j -9.40071e-16+0.0388472j -1.44185e-15-0.0683968j 6.83598e-16+0.0211008j -1.37985e-15-0.0318569j -8.18893e-16-0.0527132j -3.61265e-16-0.0143585j 1.32088e-15+0.0627306j -2.9407e-17+0.0214085j 5.68304e-16+0.00609243j -5.80775e-16-0.0840291j 4.8903e-16-0.0418603j -1.35466e-14+0.00573728j -4.5562e-15-0.122953j 
1.00877e-15-0.051107j -8.30889e-16+0.00740426j 5.18194e-15-0.0757707j -3.80628e-15+0.480329j 6.71477e-16-0.206458j -2.80303e-15+0.167622j 2.57647e-15-0.0992294j -3.45629e-15+0.0937472j -3.37282e-15-0.194816j 8.07959e-15+0.265821j 1.08296e-14-0.192152j -9.28246e-15+0.302099j 6.2805e-15+0.0644123j 4.35131e-16-0.000728948j 1.09521e-15+0.150038j -1.89516e-14+0.0538619j 1.21001e-14+0.0415693j -1.5604e-14+0.0147628j -7.9924e-12-0.0719842j 4.25937e-15+0.0257725j 5.59536e-15+0.0220042j 2.46025e-14+0.127921j 1.20498e-14+0.00219308j 3.16911e-14+0.125676j 1.5535e-14-0.0104009j -8.39605e-15-0.0312767j -5.23553e-15-0.00426742j 8.69981e-15+0.0522471j -2.38397e-13-0.0832953j -2.86579e-14+0.107193j 7.87907e-16+0.0521597j -1.06802e-14+0.0593859j -8.92863e-15+0.00763391j 1.36759e-14+0.106447j 6.49872e-15-0.0693005j 5.1293e-15+0.171367j -4.73169e-15+0.0941247j 9.25209e-15-0.0476365j 7.06321e-15+0.00685763j 1.52166e-14+0.0223352j -2.0354e-14-0.00210871j -2.43508e-14-0.0507607j 2.1157e-16+0.0776008j 1.89922e-15-0.101006j -3.4823e-16+0.00183758j -1.37468e-15-0.14348j 3.00247e-16-0.151266j 1.28445e-15-0.115934j 3.47316e-15+0.193327j 1.19303e-15+0.0345351j 7.44609e-16+0.0992924j 9.11735e-16+0.0860191j -7.53208e-16-0.0284767j 5.99452e-16+0.0602001j 1.44931e-15+0.0310602j 1.51467e-17-0.139876j 
-1.52587e-15-0.0460514j 2.07398e-15-0.0405026j -7.70497e-15-0.350196j -8.02784e-15-0.157022j -3.91995e-15-0.254256j 3.41388e-15+0.195843j -4.8509e-15-0.296052j 8.37602e-15+0.232571j 7.64722e-15+0.049626j -1.66454e-14-0.190487j -1.02316e-14-0.486694j -5.6004e-15-0.148715j 1.13226e-15-0.0775211j -2.68678e-15-0.208509j 1.31773e-14-0.11752j 5.31125e-14-0.15416j 3.13348e-14+0.188213j -3.46666e-14-0.0664375j -8.40647e-12-0.0754665j 3.04888e-14+0.16015j 1.12043e-15-0.0148235j 5.683e-15+0.0642502j 2.3064e-14-0.022572j -1.15928e-14-0.0630644j -3.0688e-15-0.0394173j -5.47462e-17-0.15932j -2.44583e-15+0.110954j 8.29975e-15+0.185252j 1.46259e-13+0.0545618j -1.97063e-14+0.135686j -1.62391e-15-0.0695977j 2.94538e-15+0.0622834j 1.80786e-14-0.126437j 1.08417e-14+0.010107j 1.64572e-14+0.00863338j 2.67185e-16+0.0939681j 1.01015e-15+0.0138082j -1.787e-15-0.00852418j -3.58118e-15+0.0543997j 1.54532e-14+0.0232521j 1.74211e-14+0.0340176j 2.01713e-14+0.0128795j 1.23955e-15+0.0616305j 1.67633e-15-0.0479137j -3.04789e-15-0.06145j 4.86063e-15+0.105134j 3.60137e-15+0.100626j -1.25325e-15-0.0581465j -4.64435e-15-0.0742616j 9.22486e-16+0.0336425j -2.15304e-15-0.077305j -2.74392e-15-0.110098j 1.47767e-15+0.0524439j -2.14272e-15-0.0808919j -9.20572e-14-0.139688j -1.85337e-14-6.08684e-05j 
5.30257e-15+0.0283961j -1.62206e-14+0.141508j 2.47513e-15-0.0819124j 8.68167e-17+0.0185211j 1.78752e-15-0.396463j -1.55565e-15-0.241388j -9.92666e-15+0.299469j -1.40906e-15-0.274397j -7.63224e-15-0.0530565j 2.88271e-15+0.173805j -4.83549e-16+0.206157j 5.23977e-15+0.0831357j 4.72325e-16-0.14834j 4.38038e-15-0.247681j -3.26485e-14+0.450692j -1.44721e-13+0.42628j 5.78584e-14+0.101653j -2.04503e-14+0.0469844j -1.5268e-12-0.0137321j 3.41742e-14+0.206712j 1.54782e-15+0.033125j -1.05534e-14-0.10037j -1.22772e-13+0.0706945j -4.91734e-14-0.28291j -1.2668e-14+0.165434j 4.56318e-15-0.060419j 2.70198e-14+0.00818188j -1.15863e-14+0.0715537j 2.81199e-13+0.108783j 1.43404e-14-0.031813j 4.19546e-15-0.00393738j 8.46692e-15-0.0329422j 3.66521e-14-0.14117j 1.91637e-14-0.00622957j 8.20814e-15+0.0758179j 2.275e-16+0.0662689j 2.73064e-15-0.0814613j 1.16787e-14+0.0476113j 9.80354e-15-0.120809j 3.07052e-15+0.0124249j -1.2646e-15+0.0696495j 4.36736e-15-0.0515396j 3.72161e-15+0.0433636j -4.66901e-16-0.0312793j -2.02507e-15-0.00203039j -2.84873e-15+0.116919j -2.1902e-15+0.0450203j -3.56486e-15+0.018592j 2.67295e-15-0.089746j -2.29848e-15+0.00422384j 1.69913e-15-0.115739j -8.56446e-16-0.098906j -2.28625e-16+0.0835643j 1.75562e-15-0.142323j -2.21793e-15+0.00555604j 1.78187e-15-0.0434451j 
-2.98317e-14-0.128656j 1.48377e-14+0.117226j -9.46772e-15-0.03679j 6.99784e-16+0.00704011j -9.75467e-16-0.0204887j 1.24031e-13+0.489907j 8.35978e-14+0.348864j 1.14275e-14+0.0289484j -1.09609e-14-0.0503498j -1.45998e-14-0.0414605j -6.09751e-14-0.228039j 6.18521e-14+0.289282j 5.05702e-15+0.0229308j 5.54499e-14+0.221506j -4.53682e-14-0.217508j 1.47454e-14-0.0963134j 4.32042e-14+0.138622j 7.61577e-14+0.333761j -1.57637e-11-0.142043j 3.80905e-14+0.144519j 3.47945e-14+0.150139j -1.88527e-13-0.427496j -3.22405e-14+0.0487881j 2.72434e-14+0.0578681j 2.44269e-14+0.0461849j -3.21721e-15+0.0600215j -8.09878e-15-0.0387948j 1.5567e-14+0.0594801j -2.43965e-13-0.0758772j -2.98069e-15-0.0665207j 3.44837e-14+0.14622j 2.03505e-14+0.0902288j 2.08748e-14+0.236375j -6.5029e-14-0.125445j 2.64212e-14+0.133797j -1.41777e-15-0.0234892j 3.16489e-15+0.0340348j 1.8122e-14+0.00612864j -2.42374e-14-0.148899j -4.166e-14-0.0406028j -3.70199e-14-0.048182j -2.59205e-14-0.0142975j -1.83935e-14-0.0781655j 6.44736e-15+0.0267198j -7.22932e-15-0.0100933j -8.8136e-16+0.014403j 9.62575e-16+0.0175274j 1.34814e-14+0.0450646j -1.98134e-14-0.0725833j -7.7169e-15-0.0230915j 1.31841e-14+0.0558786j 2.35725e-14+0.0881086j -2.36923e-14-0.10496j 2.07874e-16-0.00260127j -5.66439e-15+0.00251016j -1.60655e-14-0.0599964j 
7.88777e-16+0.143728j -2.72434e-15+0.0753037j -3.21912e-16+0.113565j 1.05693e-15+0.0851266j -2.64432e-15-0.28895j 8.90985e-16-0.15907j 1.39652e-15+0.211082j 7.87897e-15+0.454703j 5.15531e-15+0.347966j 1.12542e-15+0.0698883j -9.60637e-16+0.0133547j 3.6063e-15-0.168205j 3.36277e-15-0.00356006j 6.61038e-17-0.12266j 1.03613e-14-0.0579947j 6.33136e-14-0.283087j -2.33632e-14-0.0686859j -6.5118e-14-0.31806j -3.77742e-11-0.33931j -2.01411e-14-0.293091j -4.82543e-15+0.0323358j -3.17815e-14-0.114446j -2.40564e-13+0.15415j -6.89709e-14-0.31523j -6.22285e-15+0.0567144j -1.53879e-15-0.111266j -4.75475e-15+0.0595924j -1.38523e-15+0.0403515j -5.46749e-14-0.0110791j -4.03574e-15+0.0262012j -2.30452e-15+0.085189j -4.158e-15+0.0117185j 1.65484e-14-0.0550343j 1.79237e-14+0.017104j 1.1986e-14+0.0282615j 1.28215e-14+0.139857j -2.89241e-15+0.0147049j 2.37141e-14-0.0291645j 2.00701e-14-0.126176j -6.91397e-14-0.0955522j -4.40997e-14-0.109466j -2.87449e-14+0.0164454j -5.06475e-16-0.0445967j 4.96236e-15-0.0899247j 6.30728e-15+0.116361j 9.31619e-16-0.0310252j 4.03493e-15-0.0455697j -2.0552e-16+0.00525078j -2.23683e-15+0.0522295j -1.05411e-16-0.105716j 6.44427e-16-0.0636254j -2.04627e-15+0.0544288j -2.4227e-15-0.0535842j -6.82304e-16+0.0214418j 6.45282e-14+0.102421j 1.37752e-14-0.00700837j 
1.92045e-14-0.19674j -2.07039e-14+0.10307j 4.8583e-15-0.0705723j 1.95556e-15-0.00941129j -1.212e-14+0.213136j -2.19587e-15+0.0486895j -1.69094e-15-0.0597467j -9.62703e-17-0.0306235j 3.93238e-15+0.139605j -2.03554e-15+0.0154182j -1.81558e-14+0.135602j 4.26418e-14-0.392258j -5.3622e-15-0.0845743j 8.35906e-15+0.108133j -4.69458e-14+0.323786j -4.72405e-14-0.011849j -3.93896e-14-0.362652j 2.22486e-14-0.168217j 8.55994e-13+0.00802957j -1.39521e-14-0.241357j -1.57395e-15-0.226264j -1.88653e-14-0.121143j -2.55632e-14-0.00161321j 6.10435e-15-0.166409j -1.7132e-14+0.45566j -5.31158e-15+0.13878j 1.39201e-13-0.28728j -6.52411e-14-0.028134j 7.351e-13+0.284788j 6.67382e-14-0.218149j 1.13931e-14-0.158982j 6.72242e-15-0.0348237j 1.93491e-15-0.0266584j 2.92193e-14+0.246064j 1.70614e-14-0.0733121j 1.12182e-14+0.124846j 2.23757e-14-0.241924j -1.14581e-16+0.0848675j -2.12944e-14-0.0200412j 1.59456e-13+0.263631j 2.88766e-14+0.0358123j 2.5439e-15+0.0349961j 4.08814e-15-0.00421232j 1.30969e-15+0.024136j 2.0935e-15+0.0758228j 9.31946e-15-0.157923j -2.26537e-15+0.0387708j -3.79131e-15+0.0793105j -7.92437e-18+0.0570336j -3.07996e-15+0.13396j -6.23855e-16+0.0123889j 7.29182e-16-0.0191598j 5.65027e-15-0.0153828j 1.52603e-15+0.0168275j 3.19538e-14+0.0668495j 1.3134e-14-0.0436396j 
4.28124e-15+0.169306j 1.35e-14+0.126562j -5.99401e-15+0.0121273j 2.55047e-15+0.0632242j -4.64721e-15-0.196422j 1.90107e-14-0.00860696j -1.4252e-15-0.0232751j -3.38379e-15-0.0676936j 4.74409e-15+0.300025j 1.57766e-14-0.0358665j -4.56113e-15-0.152092j -3.32084e-14+0.110217j -5.27612e-15-0.321322j 1.14153e-14+0.132465j 1.11383e-14-0.258272j 9.34791e-14-0.356323j -4.48144e-14-0.107209j 1.73228e-14-0.0600481j 1.50552e-11+0.135463j -2.09518e-14+0.0180786j -1.23879e-14-0.100055j 1.5875e-14-0.000928617j 4.42659e-13-0.299809j 8.08767e-14+0.351993j 1.37357e-14+0.203015j 1.36381e-14+0.139587j -8.31323e-14+0.430257j 1.38231e-14-0.0591853j 5.50554e-13+0.164379j -2.43034e-14+0.108277j -8.70242e-15+0.0785781j -1.22946e-14-0.147251j -5.64702e-15-0.0527335j 4.56405e-14+0.115616j 2.74832e-15+0.0839488j 1.00244e-14-0.00970459j -1.87014e-14-0.0668474j 1.33953e-14-0.0693609j 1.08211e-14-0.0646285j 5.8025e-14+0.0756171j -4.48218e-14-0.0802062j -3.50092e-14-0.0274176j -1.64065e-15+0.109255j 1.37065e-14+0.0657817j 5.33463e-15+0.126371j -8.15638e-15+0.100533j 1.42407e-14+0.0867942j -7.6834e-15-0.0347506j -1.03134e-14-0.0230959j 2.65569e-15+0.0282595j 1.26086e-14+0.0351178j -5.50786e-16-0.0241649j 6.64039e-15+0.0815416j -2.99946e-15-0.0182978j 1.24739e-14+0.00717578j 6.80444e-15+0.0524334j 
-2.046e-14+0.0138365j 2.18285e-14-0.242982j -4.36448e-15+0.0735967j -3.27963e-15-0.0172815j 1.82414e-14+0.00781164j 7.06943e-15-0.322475j 3.33986e-15+0.0449964j -3.11572e-15-0.00603702j -1.71684e-14+0.257678j 1.34235e-15-0.254783j -1.37892e-15+0.0943733j -1.98288e-14+0.326028j 1.91271e-14-0.131877j 1.23934e-15+0.0541928j 7.17156e-15+0.0936157j -2.09763e-14+0.116666j -1.06824e-14-0.138575j -5.32416e-15+0.154902j -3.33339e-12-0.0302644j 1.98619e-15+0.111179j 1.22053e-14-0.176014j -5.95704e-14-0.261933j -3.36632e-13+0.257175j 5.21231e-14+0.133568j 4.86944e-15+0.185345j -1.6057e-14+0.0891356j 5.34936e-14-0.183302j -2.91424e-14+0.112284j 3.61121e-13+0.147903j -2.37252e-14+0.117521j -4.48692e-15+0.0298802j 2.12237e-14+0.123218j 4.37028e-14-0.215785j 8.33594e-15-0.18679j 1.3937e-14+0.109662j -8.5066e-15+0.15248j 2.90362e-15+0.0794027j 1.21255e-14+0.0660683j 5.81057e-15-0.103011j 1.52205e-14-0.00421769j -3.66427e-14+0.168788j -3.99959e-14-0.249444j -5.32849e-15+0.107882j 4.76988e-15-0.194776j -1.35074e-14+0.0395622j -1.19064e-14+0.0513504j -6.65098e-15-0.128428j 4.34091e-15+0.162945j 1.43085e-15+0.115183j 5.04676e-15+0.0251533j -1.69717e-15-0.200308j 5.71745e-16+0.00660436j 9.99895e-16-0.00228547j 5.55484e-16+0.043171j -1.56392e-14-0.0142662j -6.79745e-15-0.0506805j 
-2.75019e-15-0.0811828j 1.13076e-14-0.0740463j -3.46921e-15+0.016606j -1.285e-15-0.0334577j 3.67167e-17+0.0949027j 6.67281e-17+0.022282j 8.09065e-16-0.00755047j -5.40424e-15+0.0738847j 8.78407e-16-0.1256j 1.02046e-14-0.233056j 1.59949e-15-0.00108537j 1.01383e-14-0.16899j 8.10954e-15-0.0847965j 8.31124e-15-0.223943j 6.07122e-15+0.247671j 7.8047e-14-0.292791j -5.53656e-15-0.132713j -7.61513e-14-0.101342j -5.28357e-11-0.475352j 8.49727e-15-0.103728j -6.45828e-15+0.274084j 6.92812e-14+0.303481j 4.25129e-13-0.272389j -1.76321e-14+0.00245624j -9.40094e-15+0.212688j 3.54963e-14-0.0878273j -1.46611e-13+0.553163j -8.69843e-15+0.0288446j 7.29471e-13+0.237654j 1.4884e-13-0.522609j 5.93201e-15+0.0656619j 1.87742e-14+0.0371618j -4.97686e-15+0.0923863j -1.25652e-14-0.152387j -2.04103e-14-0.155634j -1.40263e-14+0.0040505j -1.11584e-14+0.127077j -9.87434e-15+0.0673391j -1.44759e-14+0.03362j -2.85288e-14-0.0409698j -3.7325e-14-0.0905333j -2.82828e-14+0.0103528j 1.81713e-16-0.0619526j 5.40095e-15-0.028232j 1.09887e-15-0.0249651j 1.86733e-15-0.00609158j 2.09155e-15-0.00632556j 2.14004e-15-0.0278567j -2.61549e-15+0.0309786j 4.6205e-15-0.0249021j 2.34705e-17+0.00448366j -4.18514e-15+0.033675j 4.81693e-15-0.101603j -2.89567e-15+0.0248406j -1.07391e-16+0.00766415j -5.5222e-17-0.0311414j 
