-6.55781e-14-0.043496j -4.67804e-13-0.337882j -1.13853e-13-0.0836882j 1.90463e-14+0.0138274j -1.09636e-13-0.0783443j -2.20243e-13-0.150259j 2.05854e-13+0.138252j 1.31347e-13+0.0934535j -2.04166e-13-0.140513j 3.31122e-13+0.16766j -1.04503e-14-0.0102258j -1.07343e-13-0.0730987j -5.17037e-14-0.0274768j -1.16904e-13-0.0844489j 1.12284e-14+0.00881236j -7.81072e-14-0.0551827j 2.84448e-13-0.0815278j 9.24054e-14+0.0572761j 1.02356e-13+0.0710196j 9.23543e-14+0.0652591j -1.63568e-13-0.0901408j -1.61912e-14-0.0143362j 3.99308e-14+0.0207489j 1.88193e-13+0.112549j -2.28299e-14-0.0177461j 1.19401e-13+0.086395j 1.67525e-14+0.0125042j 8.4614e-14+0.0641515j -8.76783e-15+0.00731123j 9.01308e-14+0.0283137j -3.57895e-14+0.0760706j -1.02028e-14+0.00983269j -2.89779e-15-0.00228125j -6.72301e-14-0.0486086j 1.1126e-13+0.080731j 1.32287e-13+0.0967054j -1.57621e-13-0.113742j -7.46013e-14-0.0546393j 1.60017e-13+0.117692j -1.57153e-13-0.115569j 1.62255e-13+0.117856j 1.41962e-13+0.103413j 8.24289e-16+0.000487702j -4.22217e-14-0.0252043j 8.38562e-15+0.00475457j 1.40139e-14+0.0130789j 8.98643e-14+0.065228j -1.00256e-13-0.0720814j -1.26522e-14-0.00870016j 3.97227e-15+0.00345791j 3.53352e-13-0.00637969j -8.34418e-14-0.0608497j -3.35773e-14-0.0385831j -3.99542e-15-0.00226103j -5.09206e-14-0.0367964j 9.27507e-15+0.00540622j 4.97649e-14+0.0362666j 2.05548e-14+0.0159652j -4.72162e-14-0.0328988j 1.5129e-14+0.0128586j -9.27523e-14-0.0678751j 6.67331e-15+0.0047768j -9.04441e-14-0.0666143j -4.28378e-14-0.0312247j -8.41247e-14-0.0613199j -1.16728e-13-0.085136j 2.16804e-14+0.0157165j -9.08645e-14-0.066222j 1.73661e-13+0.126502j -2.08371e-14-0.0151979j 1.38189e-13+0.098215j -1.69393e-13-0.1196j 
8.09176e-15+0.312236j 3.97133e-15-0.0553884j -1.25174e-15+0.192982j 4.70368e-16+0.065783j -4.13903e-15-0.242243j 6.59123e-15+0.146774j 2.25033e-15+0.0601667j -5.62068e-15+0.106711j -2.31668e-15+0.0663373j 5.09306e-14+0.0928043j -1.90368e-14+0.223329j -6.98106e-15-0.00920143j 2.12507e-14+0.039063j 2.87267e-15-0.0280298j 6.63219e-15+0.151312j 5.70181e-18-0.0340259j -2.39291e-13+0.0481355j -2.12498e-14-0.0430291j 2.19471e-15-0.113859j 5.99606e-15+0.0814915j 1.29581e-14+0.033681j 2.5378e-16+0.0568086j -7.47337e-16+0.0343197j 1.30138e-14+0.0340131j 4.93304e-16+0.0246628j -5.99591e-16+0.0177754j 8.91816e-16+0.0776973j -2.75099e-15+0.0361084j 3.59716e-14+0.0323448j -1.01613e-13-0.0396909j -3.58002e-14+0.0322017j -6.5995e-15-0.0716224j -5.29687e-17+0.0739408j -4.69449e-16-0.0264079j -3.67009e-16+0.131195j 7.58746e-16-0.149425j 5.43076e-17-0.030095j -1.53035e-16+0.0102003j 7.54344e-16-0.121394j -1.10806e-15-0.08854j -4.25101e-16+0.112038j 1.14483e-15-0.0583686j -2.41227e-15-0.0270369j 5.65222e-15+0.00952611j -8.84065e-16-0.0327213j 6.77363e-15-0.0324624j -1.32864e-15+0.0408357j -1.21797e-15+0.0213546j -3.64113e-16-0.0258955j -1.24785e-15+0.0429821j 1.77674e-12-0.0315102j 7.11377e-16-0.158384j -2.49159e-15+0.0247241j -1.37771e-14+0.0597967j -6.24414e-16+0.0340854j -6.4226e-16-0.0194561j -1.10861e-15-0.0388421j 1.30643e-15+0.0165843j 5.61801e-15+0.0442476j 4.0316e-15+0.0106469j -3.1723e-17+0.033805j 1.31045e-16-0.094424j -1.13722e-15+0.0758498j -4.10193e-17-0.0591931j -1.77474e-16+0.0289118j -1.72041e-16-0.0148904j 2.43701e-16-0.0453718j 5.6964e-17+0.00748223j 6.13611e-17+0.0448549j -5.27581e-16+0.0863561j 9.2649e-16-0.11767j -9.45882e-16-0.11639j 
1.61747e-15+0.027816j 3.40639e-16+0.0128261j -8.62924e-16+0.0315034j -9.78353e-15-0.593919j 5.97881e-15+0.356143j 1.3032e-14+0.209407j -1.55676e-14+0.0458024j 3.3259e-16+0.0823617j 1.09649e-14+0.550596j -1.79401e-13-0.249562j 3.44787e-14-0.296265j 1.601e-14+0.0969977j 2.9275e-14+0.101477j 7.45246e-15-0.125131j -1.60654e-15+0.0676473j -1.63324e-15-0.0469536j 1.45319e-14-0.0025051j 1.06605e-14-0.000996841j 2.81724e-15+0.11911j 4.72391e-15-0.0197293j -3.74543e-14-0.0468853j 1.14291e-14+0.256085j 1.36997e-14+0.263798j 4.24012e-14+0.0931813j 8.4098e-16+0.0447213j 6.6794e-15+0.109363j -1.70246e-15+0.0199465j -7.18829e-16+0.100647j 9.36746e-14+0.0484867j -2.5515e-13-0.111234j -7.0807e-15+0.0153293j -4.18129e-15-0.0672257j 2.53824e-15+0.109646j -3.71885e-15-0.112238j 5.8835e-17-0.0160733j 6.60453e-16-0.00979662j -7.15901e-16-0.033688j -7.76416e-16-0.0345418j 2.26577e-16-0.0120654j 1.67087e-16-0.0314032j -6.84077e-16-0.0304851j 2.96167e-16+0.0192561j -1.44197e-16-0.00644869j 9.86124e-15+0.0189161j -6.34377e-15-0.0363887j -2.625e-15+0.0165817j -6.70987e-16-0.000418007j -3.04459e-16-0.000732139j 6.69636e-16+0.00503866j -4.8861e-16+0.00428783j 1.1635e-12-0.0206402j 2.54414e-16+0.00836856j 1.08105e-15+0.00112607j 4.46839e-17-0.000212181j 7.57163e-16+0.0150446j 1.50516e-15-0.0300165j 6.53259e-16+0.0222831j -4.60584e-16-0.0212625j -3.13934e-15-0.0150513j -2.40865e-15-0.0196254j 9.25605e-16+0.0311395j -1.00895e-15-0.0346879j -6.66044e-16+0.0118117j 1.42125e-15+0.0205908j -1.09239e-15-0.0660722j -7.93311e-17+0.0103576j -2.5385e-16-0.0384808j -1.17885e-15-0.0583739j 7.42907e-16+0.0345222j -4.14028e-16-0.0235261j -1.07844e-15-0.0603422j -9.5335e-16-0.0502891j 
-7.20562e-16+0.0517539j -1.9121e-16+0.00411449j -3.29359e-15+0.275438j 2.64371e-15+0.230815j -1.31934e-15+0.314309j -3.47477e-15+0.207054j 5.95645e-15+0.212812j -5.06442e-15+0.197559j -2.57076e-17+0.329519j -3.66899e-14-0.00317649j -3.16471e-14+0.249873j 7.24673e-15+0.509322j -7.28148e-14-0.257139j 1.08135e-15-0.289883j -6.24326e-15+0.0761319j -4.27102e-14-0.0722704j 6.98738e-13-0.144244j 2.44132e-14+0.0949918j 1.16022e-14-0.000735312j 2.79489e-15+0.0961078j -8.5347e-15-0.0427324j -8.06549e-15-0.15136j 3.95332e-15-0.161101j -1.08699e-14+0.0246448j 4.33289e-15-0.0162713j 1.20336e-16-0.113633j 6.48825e-16+0.0140813j 4.30347e-15-0.0917746j -1.35982e-13+0.0468294j 3.72122e-13+0.205856j -2.30656e-14+0.0124154j -1.25338e-15+0.00372882j -5.63028e-16-0.120625j 1.18158e-15-0.0194055j 9.98211e-17+0.0326032j -9.58514e-17+0.0364891j 2.00528e-15-0.00883924j 6.79089e-16-0.0204434j -1.11862e-15+0.0570006j 1.03061e-16+0.0154673j 5.7816e-16-0.0160225j -1.1161e-15-0.0285215j 1.91504e-15+0.00504058j -7.02244e-15-0.0162647j 1.84471e-15+0.0259426j -4.51966e-15+0.0196071j -2.71379e-16+0.00401304j -4.87087e-16+0.00179786j -1.17512e-15-0.0152326j 7.09449e-16-0.0105608j -4.92926e-13+0.0087491j -9.73157e-16+0.0261155j 1.22827e-15-0.00861419j 5.39425e-15-0.02272j 6.74879e-16+0.00176625j 2.48508e-16-0.00210931j 1.894e-16+0.0329249j -1.11642e-15+0.00172219j -5.90819e-16-0.0163039j -1.45556e-15-0.00504068j -2.83745e-16-0.0195966j -3.29887e-16+0.00816665j 1.03035e-15-0.0161263j -2.51908e-16-0.0254668j 4.0448e-16+0.0111999j -1.35362e-17-0.0217439j -2.34079e-16+0.0193045j -2.27241e-16+0.0404368j -1.06994e-16-0.0327306j -2.91738e-16+0.0328842j 9.91873e-16+0.0621683j -8.29189e-16-0.0103782j 
-2.23657e-14+0.0343168j 4.18957e-14-0.0621156j -2.81525e-14+0.0467095j 1.07951e-14-0.00579973j 2.3184e-13-0.342012j -2.15832e-13+0.301904j -3.61974e-13+0.521881j 5.54327e-14-0.0659712j -1.61162e-13+0.259534j -3.96367e-16+0.0103948j -1.64539e-13+0.207594j 9.86162e-14-0.120275j -1.79462e-14+0.03153j -1.82578e-13+0.24298j 6.78613e-14-0.0975924j 4.00475e-13-0.54598j 1.23426e-13-0.0247618j -2.0155e-13+0.34013j 1.28441e-13-0.119056j 4.08765e-14-0.039293j 2.58304e-15-0.0408267j -1.3973e-13+0.205812j -2.54428e-14+0.0344652j 7.80469e-15+0.00194723j -1.5713e-13+0.209559j -6.47737e-14+0.0909619j 1.06589e-13-0.157642j -1.57975e-15-0.000892177j 7.74571e-15-0.0903757j 1.25061e-13+0.0442165j -8.05109e-14+0.0336243j -7.69601e-15-0.00723037j 1.07229e-14-0.0219826j 7.74974e-15-0.0114006j 6.24665e-14-0.0878749j -5.45188e-14+0.0780001j -4.23607e-14+0.0598143j 1.73543e-14-0.0237776j -3.0012e-15+0.0053868j -2.84814e-14+0.041271j 1.61255e-14-0.0249093j 1.03513e-14-0.0159923j -1.39411e-14+0.0205533j -1.25743e-16-0.00558907j -1.80076e-15+0.00503899j 9.85636e-15-0.00952951j 1.74747e-14-0.022968j 1.28293e-15-0.000913328j -1.26207e-14+0.0199445j -1.37711e-15+0.0029802j 9.09904e-13-0.0159594j -8.23601e-15+0.0146124j 5.60989e-15-0.00504954j 2.86223e-15-0.00356894j -6.27731e-15+0.00899218j 1.00782e-14-0.0142107j 3.39921e-16-0.00040984j 9.73963e-16-0.00139754j -2.27973e-14+0.0339042j 8.44315e-15-0.0102345j -3.4271e-15+0.00447738j 1.1986e-14-0.0165655j -5.18448e-15+0.00665865j -1.39945e-14+0.0198521j 1.06751e-15-0.000926962j 7.08867e-16-0.00171974j 2.8362e-14-0.0373892j 1.14318e-14-0.0141882j 5.01984e-16-0.00211518j 1.71552e-14-0.0229128j -1.23831e-14+0.0180873j -1.23722e-14+0.0172906j 
4.46811e-15+0.0511952j 9.75232e-16+0.00600639j -1.04594e-15+0.0505302j -4.05147e-15+0.0259461j -1.48269e-14-0.152594j 5.43597e-14+0.366051j -7.42501e-15-0.106739j -5.24266e-16+0.168506j -9.17082e-15+0.431941j 1.57217e-13+0.353882j 1.13645e-14-0.15765j 7.37948e-15+0.0846019j -1.11027e-13-0.304844j 9.40967e-15-0.029535j -1.73965e-14-0.206895j -2.41106e-14-0.237228j -3.30652e-12+0.673837j -6.56411e-14-0.191377j -6.20096e-15+0.0412948j 3.09952e-14+0.324332j -3.88145e-14-0.0646297j 1.09567e-14+0.017648j 6.78179e-15-0.0789159j -3.52571e-14-0.0533499j 1.97445e-14+0.113636j 8.67132e-15+0.151557j -3.6692e-15-0.0487999j 1.12768e-15+0.0562105j -7.37431e-14-0.0111369j 1.99762e-13+0.0944284j 1.03003e-14-0.00259116j -8.95983e-16-0.0280653j 8.22337e-16-0.0210081j -5.38337e-16-0.00600209j -3.95847e-15-0.0309841j 3.46742e-15+0.0824668j -2.01384e-15-0.0275351j -9.13006e-16-0.00496877j 2.06613e-15+0.0246569j 3.33399e-15+0.0319368j 1.10468e-15-0.00710666j 2.40888e-15+0.0169164j -1.48555e-15-0.00205658j 3.09517e-16+0.00299588j 2.78795e-15+0.0204463j -3.88831e-16-0.00397808j -4.88052e-16-0.00961532j 2.22429e-15+0.00365352j 2.0955e-15+0.0118579j -1.08448e-15-0.00573937j 2.52284e-13-0.00450239j 3.64026e-17+0.0105271j 2.47188e-15-0.00792454j 2.64921e-15-0.0110859j -1.56999e-16-0.00394712j -1.50287e-17+0.00136063j 1.70596e-16-0.0160135j -7.34409e-16-0.0191184j 5.46039e-16-0.00652248j 6.53275e-16+0.0118383j -1.97539e-16-0.00588272j -1.02159e-15-0.00653138j -2.7094e-16+0.00138741j 1.17466e-15+0.00301631j -3.87239e-16+0.0152615j 1.83245e-15+0.00966828j -1.5424e-15-0.0193321j -8.46568e-16-0.0142459j 1.10488e-15+0.00940282j -1.32349e-15-0.0039953j 3.24132e-16+0.0169675j 1.26086e-16-0.000844374j 
-4.24011e-14-0.0957454j -3.35064e-14-0.0789505j -4.40994e-14-0.119862j -6.87879e-15-0.0282715j 7.50991e-14+0.1802j -1.33819e-13-0.332766j 5.17867e-14+0.0696272j 5.0873e-14+0.105343j 5.52427e-14+0.152833j -6.04134e-14-0.0448892j -6.42227e-14-0.201448j 2.00857e-13+0.476559j -2.92503e-13-0.406776j -7.21216e-14-0.172349j -8.12221e-14-0.139021j -1.75229e-13-0.428678j -1.52461e-12+0.321261j 2.15946e-13+0.401059j 2.11048e-13+0.580094j 9.01322e-14+0.295937j 2.15257e-13+0.324712j -1.95742e-14-0.0289605j 6.94451e-14+0.198679j -8.37442e-14-0.111691j -6.33553e-14-0.172444j -6.62331e-14-0.21958j 2.87296e-14+0.0804831j -3.54007e-14-0.105286j 9.72607e-14-0.0594091j -4.09184e-13-0.190414j -1.08799e-13+0.067121j 2.90421e-15+0.0571031j 9.27575e-15+0.0267756j 1.24398e-14+0.0270364j 1.20333e-14+0.0313108j -3.40983e-14-0.095776j 1.8632e-14+0.0457915j 1.03223e-14+0.0290719j -1.73579e-14-0.0435608j -1.07722e-15-0.00293127j 6.18515e-15+0.0155181j -1.2466e-14-0.0304212j -8.35166e-15-0.0199496j 7.8217e-15+0.00690213j -1.45323e-14-0.030145j 1.51844e-16+0.00400156j 5.93422e-17+0.00156736j 1.53424e-15+0.00438414j 1.8129e-15+0.00395158j 6.81588e-15+0.0153746j 2.08517e-13-0.00372941j -5.60399e-15-0.0144251j -3.47522e-16+0.00862661j 1.57245e-15+0.0117276j 3.60558e-15+0.00960433j -4.11019e-16+7.44086e-05j -1.10375e-15-0.000217117j -4.82557e-15-0.0134895j 8.49936e-15+0.0183643j 2.16729e-15-0.000538954j -1.55048e-15-0.00455326j -7.66764e-15-0.0193275j 7.9107e-15+0.0194777j 7.39481e-16+0.00305477j -1.07723e-15-0.00618137j 3.0281e-15+0.00860859j 1.00504e-14+0.0276125j 6.85079e-15+0.019998j -3.48442e-15-0.00990083j 2.44038e-15+0.00650677j -8.95527e-15-0.0266642j 3.00121e-15+0.00636622j 
2.93617e-15+0.0529319j 8.03373e-15-0.0163713j -3.53834e-15+0.114569j -1.95809e-15+0.0313184j -1.68519e-14+0.0273271j 2.28414e-14-0.146462j 8.48747e-15-0.0126193j 1.7614e-15-0.149604j -3.40433e-14+0.317021j -3.38059e-14-0.0251568j 7.47775e-14-0.176223j 1.90267e-14-0.255652j 9.85477e-14+0.309468j -3.46654e-14+0.300713j -1.89846e-14+0.214873j -3.96603e-14+0.469683j 2.99362e-15+0.00754662j 3.43705e-14+0.18643j -2.2283e-14+0.139542j -1.92207e-14+0.300073j -8.20731e-14-0.301927j -1.85557e-14+0.541623j 2.60825e-14-0.0566075j 2.77312e-14+0.0358501j 3.54163e-14-0.246292j 2.27419e-14-0.331704j -1.11125e-15-0.0133353j 3.23212e-14-0.175641j -5.26997e-14+0.0292994j 1.67334e-13+0.0936328j 2.65161e-14-0.00688086j 4.63939e-15-0.0589255j 3.07124e-15-0.0583905j 8.81777e-16-0.0375034j -8.27928e-16-0.0144086j 6.55905e-15-0.017302j -1.83097e-15-0.0119857j -2.5073e-15-0.012968j 9.4647e-16+0.0442316j 7.21841e-16+0.00939711j -7.4913e-16+0.000494634j 4.69954e-15-0.0136417j 3.2626e-15+0.00222165j -6.31934e-15-0.0169216j 6.67159e-16+0.0201019j -4.87861e-15+0.0145542j -8.8413e-16+0.0171483j -1.39942e-15-0.00265116j -1.95532e-15-0.00840367j -7.8624e-16-0.00883535j 3.25912e-13-0.00578463j -4.734e-16+0.0242786j -4.74545e-15+0.0039076j 4.77494e-15-0.0153864j -1.02686e-15+0.000104144j -1.62044e-16+0.00677098j 1.20819e-16+0.0165935j 1.09989e-16-0.0046343j -1.69989e-15-0.00895946j -1.29537e-15-0.00834467j -5.74493e-16+0.00224677j 2.43218e-15-0.0164833j 6.8686e-16-0.00939963j -2.87686e-15+0.0252872j 1.94513e-16-0.0186813j 6.86048e-16-0.0170601j -4.68922e-15+0.0281273j -3.43329e-15+0.029868j 3.28857e-15-0.0432255j -1.20165e-15+0.00994361j 5.99759e-16+0.00617488j -2.87192e-16-0.00225885j 
2.30404e-15-0.0228434j -2.86325e-15-0.0530621j 3.24859e-15-0.0850759j -3.09959e-15-0.0195771j -8.7932e-15-0.0314155j 6.59115e-15-0.01969j 1.59348e-14-0.0150146j 4.52245e-15+0.184826j -9.87659e-15-0.142795j 1.91858e-14-0.00684897j 5.26907e-14-0.191805j 3.51788e-14-0.0852528j -3.79936e-14-0.145836j -1.21132e-13+0.46716j -7.18008e-14+0.355397j -4.72602e-14+0.0769715j 2.23693e-12-0.433757j 3.18824e-15-0.229639j -7.52139e-15-0.0639031j 2.04432e-14-0.0674115j -1.36095e-13-0.575375j -2.76454e-14+0.0490504j 1.49853e-14-0.040581j -5.17314e-14-0.379824j 7.70965e-15-0.257006j -5.7694e-15+0.119116j -1.12144e-14+0.0210279j -5.00288e-15+0.0833241j 4.92989e-14-0.110269j -1.36235e-13-0.109963j -7.30459e-14+0.0419951j -1.7253e-14+0.00707334j -5.788e-16+0.0228377j -1.56437e-15+0.023757j -5.58974e-15-0.0125528j 2.82423e-15-0.0034556j 1.92165e-15+0.0179333j -3.35927e-15+0.0351107j 1.88103e-16-0.0347136j 3.67568e-15-0.00551279j -5.01597e-15-0.00582331j 1.79515e-16-0.0194308j 1.09135e-15-0.0205155j 6.98871e-15+0.0183459j -3.47318e-15+0.00601268j -4.53735e-15+0.00844892j 1.11549e-15-0.0119125j 1.43918e-16+0.00982391j 3.38796e-17+0.0177001j -5.6538e-17+0.00863319j -1.74845e-13+0.00311968j 1.62122e-15-0.00834564j -3.49469e-15+0.00664645j 6.07133e-16+0.0023859j -6.26281e-16+0.0052678j -8.61512e-16+0.0043938j 3.58501e-17-0.00839803j -2.17743e-16-0.00857522j 1.55051e-15+0.00346508j -1.5585e-15+0.00948094j -5.63458e-16+0.0143343j 2.55335e-15-0.00785263j 1.65618e-15-0.00708468j -1.36769e-15+0.0120535j -1.47213e-15+0.0170177j -1.44724e-15+0.0239538j -3.34113e-15+0.0118044j -1.86357e-16-0.00670935j 2.5638e-16+0.0240247j -6.74464e-16-0.00844009j -6.6713e-16-0.0160336j -9.92354e-18+0.00826987j 
-1.0645e-15+0.0711706j -7.65318e-16-0.168177j -4.55794e-15-0.0366983j -2.57226e-15-0.0469996j -7.17409e-15-0.215676j -1.42662e-14-0.144819j 2.02837e-14+0.131687j 4.88195e-15+0.240567j -1.74811e-14-0.208897j 8.81603e-14+0.15439j -5.9674e-15+0.0134842j -1.78218e-14+0.041681j 6.77728e-15+0.0916568j 3.52418e-14-0.303795j 2.2521e-14-0.0792755j -1.55884e-14+0.239951j 2.94667e-13-0.0616601j -1.62338e-14-0.137436j 2.16725e-15-0.0124544j -8.25446e-15-0.254817j -6.24723e-14-0.135136j 6.11157e-15+0.0556817j 1.45253e-14-0.0719741j 6.39956e-14+0.332316j -8.66424e-15-0.413181j 1.07912e-15-0.0585855j 9.49369e-15-0.196474j 1.1056e-14+0.093456j 2.2484e-14-0.334004j -7.59843e-14-0.155714j -1.36629e-13+0.100007j -2.47226e-14-0.142485j 1.29272e-15-0.018986j 6.65996e-16-0.0208036j 2.89873e-16-0.118679j 3.7801e-16+0.0201504j 7.23102e-16+0.0640247j 2.30573e-15+0.0496211j -5.41114e-16-0.0560053j -1.61936e-15+0.0443071j -1.66879e-16-0.0916151j -1.36951e-16-0.037652j -3.11031e-16+0.00323251j 2.54688e-15+0.00473472j -1.14634e-15-0.00976135j 3.2051e-15-0.00984328j -1.98372e-15-0.00380918j 7.4779e-16+0.0159162j 3.34046e-15+0.0198306j 1.46004e-15+0.00366116j 4.45565e-15-8.31487e-05j -1.56706e-15+0.0282631j -1.11751e-14+0.0238699j 2.0449e-15-0.00191993j 5.17379e-16+0.007061j -9.86277e-16+0.0090071j 6.30245e-16-0.00740243j 1.00448e-15-0.0203878j -1.20337e-15+0.0172925j 9.92578e-17-0.028521j 6.94508e-16+0.0273033j -7.62659e-16+0.00164442j -7.18357e-16-0.00230706j 3.82951e-16+0.0337802j 7.90171e-16-0.000721014j 2.01435e-15-0.00132299j -4.13477e-16+0.0140089j -9.4647e-16+0.00356911j 1.61951e-15+0.0224463j -4.8783e-16-0.0304232j -2.49365e-15-0.0445952j 1.83709e-15+0.0186203j 
2.45917e-14+0.199112j 9.11964e-15+0.0375885j 1.18234e-14+0.115449j -3.32715e-15-0.0270984j -2.18341e-14-0.239744j 1.28724e-14+0.0564466j -7.57802e-15-0.080844j 7.02292e-15+0.18669j 1.21048e-14-0.0724805j -3.02601e-14-0.0693774j -1.27342e-14+0.207751j -9.13145e-17+0.11941j 1.08617e-14-0.034984j 1.09043e-14+0.0187654j 1.97536e-14+0.264234j 1.25252e-14-0.177705j -6.39295e-13+0.127423j 1.84203e-15+0.0397943j -1.50289e-14+0.194323j -3.28569e-15+0.13993j 1.44736e-13+0.361036j -1.31387e-14-0.305835j 5.15485e-15+0.231688j -2.20311e-14-0.0815297j -1.68627e-14+0.0346944j -1.36842e-14-0.224319j -1.08223e-15+0.141443j -2.04309e-15+0.376333j -1.26658e-13-0.109343j 3.34563e-13+0.127208j 3.83617e-13-0.172878j 4.27425e-14-0.31625j -7.84639e-16-0.0213424j -7.19871e-15-0.0854407j -9.70384e-15-0.105335j 7.68942e-15+0.092051j -5.21479e-15-0.0521754j 2.29079e-15+0.0307063j 6.6029e-15+0.0603987j 2.72216e-15+0.030043j -5.08977e-15-0.0819301j 6.70907e-15+0.0656753j 2.82127e-15+0.0243325j 3.33791e-15+0.0156582j 1.22264e-15+0.0198486j -5.61014e-15+0.0329628j 9.50578e-17-0.00198614j -2.77585e-16+0.000207189j -6.93563e-16-0.00157297j -4.6669e-15-0.0288383j -7.85714e-13+0.0139401j 2.35808e-15+0.0419999j -5.30431e-15+0.0106314j 1.60783e-15-0.00833398j -2.23118e-15-0.0174109j 1.72351e-15+0.000948988j 3.24737e-15+0.0297827j -4.00693e-15-0.032909j -8.80923e-15-0.0352384j -5.0638e-15-0.0245792j 1.1669e-15+0.0175498j 1.55897e-15+0.0276939j -3.67293e-15-0.0368204j 1.80905e-15+0.000365398j -1.86844e-15-0.0134333j 1.64233e-16+0.0236069j -5.39403e-17-0.00258782j -1.45499e-16+0.00410413j 1.20588e-15+0.0247045j -2.98088e-15-0.0210278j -4.56618e-15-0.0464457j 3.28532e-15+0.0159684j 
