0.0226743-0.00807809j -0.00725459+0.00336591j -0.00723876-0.000240882j -0.0362478+0.00941221j 0.00301976-0.00730393j 0.0148828-0.0140744j -0.0209801+0.00337501j 0.00910384-0.00743487j 0.0224926-0.00935117j -0.0117405+0.00446697j -0.0178217-0.00361567j 0.000377435-0.00366321j 0.0126427+0.0210617j -0.0280016-0.0398147j -0.0497993-0.0105264j 0.00560095-0.00375809j 0.0182087+0.0158303j 0.0149536+0.0198913j 0.00876745+0.00497681j -0.00373381-0.00955401j -0.00491914-0.00363485j -0.000835771+0.00310523j -0.00127882-0.00374619j -0.00189709-0.00804711j -0.00436619-0.00243087j -0.00213844-0.00150275j -0.0109859-0.0357618j 0.000105773+0.0144657j 0.00965787+0.000979404j 0.00276973+0.0209967j -0.00302125-0.0153372j 0.00431753-0.0100368j -0.00603657-0.00369537j -0.0076558-0.0124353j -0.0178943+0.0189059j -0.000441891+0.0293133j -0.00471262+0.0142941j -0.00582095+0.00905748j 0.00288902-0.00175033j -0.0074325-0.00902837j 0.000174006+0.00826128j 0.00917359-0.00241539j 0.00770019-0.00852306j 0.0089927-0.0041831j -0.00597108-0.00398999j 0.000300144-0.00109076j -0.00640766-0.013592j 0.0039762-0.0062713j -0.00432351-0.00912806j 0.00291736+0.0078332j 0.00436505-0.00406076j -5.12335e-05+0.000312356j -0.00433137+0.00544372j -0.00364923+0.0001703j 0.00237625+0.000896423j -0.00865835+0.00450786j 0.00348494-0.00289644j 0.0137558+0.00608163j -0.00614649+0.00518661j 0.00016362+0.00160134j 0.00491931+0.00682055j 0.00578528-0.00109613j -0.00752308+0.00308435j -0.000418693+0.00789918j -0.00422692-0.00900954j 0.00350675-0.00837458j -0.00238026-0.00457559j 0.00451125+0.00151021j 0.00535943+0.0101033j 0.00817355-0.00372866j -0.00306758-0.00942939j 0.00346262-0.00814948j 0.000106154-0.00111182j 0.00401437+0.000669806j 0.00626613-0.00329526j -0.00392813-0.000674889j -0.00728268+0.00696035j 0.00583851-0.00274291j -0.00504392+0.00736661j -0.00200002-0.00267976j 0.000229254-0.00214839j 0.00488909-0.000352595j -0.00786632-0.000413134j 0.00857492-0.0049735j -0.0089277+0.0113256j 0.00784077+0.00883172j 0.000651418-0.00116866j -0.00338944-0.0015198j -0.00387601+0.0078532j 0.00176245-0.0161291j -0.00811209+0.00835228j 0.0100385+0.00953831j 0.0076038+0.00101235j -0.00788697-0.00964548j -0.00739333+0.00350631j 
0.00942456-0.00364663j -0.0242886+0.00982066j -0.00883179-0.00242743j -0.00731945+0.00449546j -0.00414914-0.00381977j 0.00649239-0.00484149j 0.00593752+0.0064914j -0.0362201+0.00771453j -0.0225277+0.000746437j -0.0394242-0.0134732j 0.0364888-0.00609162j 0.0327146+0.0149627j -0.0277709+0.00356506j -0.0431276-0.00665898j 0.0243166+0.0289748j -0.0104731-0.0153507j 0.0179629+0.0067868j 0.00505025+0.00199782j -0.00026464-0.00424306j 0.00237919+0.0103698j -6.88407e-05-0.00334796j 0.00558283+0.00942883j 0.00963904+0.0233878j 0.00996048+0.0172714j 0.00793128+0.0140038j -0.0055158+0.0145452j -0.00352744+0.00253742j -0.000688038+0.0197943j 0.00757687-0.0094598j -0.00158825-0.0299814j 0.000234479-0.00860421j 0.00984668-0.0323082j 0.00244157-0.0203313j 0.00140337-0.0184199j 0.00578934-0.0136597j 0.00659115-0.00717166j 0.000114285+0.0285884j -0.00206746+0.00701322j 0.00755362-0.00929375j -0.0083536-0.0112523j 0.00063168-0.00402542j 0.00148989-0.00628722j -0.00187661-0.00236922j -0.00622319+0.00267699j 0.00329364-0.00196983j -0.00671777+0.00578467j 0.000645701-0.00210137j -0.002442-0.000999114j -5.42742e-05+0.00406092j -0.00107626-0.0051255j 0.00721265+0.00512865j 0.00242814+0.000708307j -0.000670443-0.00423775j -0.00393045+0.00247563j -0.00396853-0.000689521j 0.0102311+0.00215899j 0.00389954-0.00340613j 0.00789201+0.00113392j -0.00241918+0.00308675j -0.00664103-0.00221755j 0.00700464-0.00677976j 0.00946842+0.010545j 0.00800582-0.0102861j -0.00487618-0.000237158j -0.0057564-0.0191352j 0.00617183-0.00116443j 0.00577013+0.00663849j 0.00591717-0.0140063j -0.0114264-0.00675573j -0.00388045-0.00783956j 0.00703966+0.00553329j -0.0134709+0.00671766j 0.00179153+0.0048007j -0.00419408+0.0114313j -0.0043279-0.0040867j 0.00136191+0.00929571j -0.00529225-0.0019375j -0.0148622+0.0071402j -0.00737483-0.00148762j -0.00388486-0.00936632j 0.000598953+0.00166739j 0.00897292-0.00168906j 0.00132128+0.00184649j -0.00169009-0.00220091j 0.00403872-0.011053j -0.000973368+0.00386135j 0.00542272+0.00739283j -0.00916764+0.000271909j -0.00399158-0.00342908j -0.00987926-0.000713757j -0.00209821+0.0149533j -0.0108313+0.00133998j -0.00286641-0.00862682j 0.00139129-0.00556842j -0.00953843-0.0044075j 
0.000167852-8.81689e-05j 0.0200639-0.00877076j -0.00664695+0.00686912j 0.00341828-0.00455661j 0.0277953-0.00667752j -0.0329776+0.000959323j -0.0262235-0.00259157j -0.0170119-0.00737658j 0.00268184+0.00855888j -0.0229228+0.01241j -0.0273491-0.0124848j -0.0375504-0.00263041j -0.0341501-0.0143963j 0.00159252-0.00183285j -0.00693753-0.00269743j 0.0125539+0.0120602j -0.00991885-0.000632691j 0.000733379+0.00127381j -0.00633307-0.0098589j -0.00899754-0.0193798j -0.00022067+0.00886466j -0.0129421-0.0241832j -0.00217839+0.00353635j -0.000649587+0.000317691j -0.000700313+0.0378709j 0.00357247+0.00661294j 0.00452013-0.0244895j 0.00561045+0.0123197j 0.00257671-0.00968544j 0.00513653-0.0261457j 0.0057321-0.0256362j -0.000520259-0.0183351j -0.00522983+0.0101629j -0.00102523+0.0261962j 0.00598558-0.0192821j -0.000504491+0.00784421j -0.00304071-0.00381533j -0.00150576-0.00345794j -0.0057638+0.00793548j 0.00805482+0.00545084j -0.000689619+0.00665891j 0.00269524+0.00324981j -0.00501411+0.00397445j 0.00221687+0.000577334j -0.00781273+0.00881252j 0.0128899-0.00446828j -0.000204827+0.00413195j -0.00422202-0.00363906j -0.00440396-0.000587593j 0.00169827+0.000441711j -0.00203088-0.0127084j 0.000734998-0.00165265j -0.00600041+0.00985554j -0.00769208-0.00830569j 0.00383071+0.00298345j 0.00789399+0.00124591j 0.0114961+0.000472576j 0.00441851+0.0029922j -0.00267205+0.00511012j -0.0092381-0.000287902j 0.00204414+0.00188163j 0.00829622+0.00355494j -0.0033816-0.0197176j -0.000346388+3.50999e-05j 0.0128728+0.000505292j 0.00572694-0.0160911j -0.000184047+0.00147771j -0.0101122+0.00662057j -0.00254519-0.0131281j -0.00207728-0.00608525j -0.00520717+0.00162618j -0.000452381-0.00138568j 0.00236429+0.00315862j -0.00592802+0.0117268j -0.013778-0.00216607j -0.00543994-0.00226499j 0.000384681+0.00449853j -0.00517866+0.00371291j -0.00821254+0.0130047j -0.00173656+0.0018788j 0.00141736+0.00212357j 0.0022996+0.0062082j -0.00861676-0.0143004j 0.00136764-0.00242147j 0.00875487+0.00226067j 0.0086635-0.0121949j 0.00614525+0.000116626j 0.0117931+0.0018894j -0.00888415-0.00266466j 0.00430415-0.00108446j -0.00209279-0.00693445j 0.00500423+0.00170582j -0.00746587+0.00371254j -0.0020708+0.00296147j 0.00459095+0.00262215j 
-0.00274822+0.0010799j -0.0193507+0.00891975j 0.00549821-0.0045596j 0.0159817+0.000147924j 0.0354191-0.0133968j 0.010512+0.00638939j -0.0231806-0.00249447j 0.0266898+0.00143409j -0.037978+0.00211475j 0.00595388-0.010602j -0.0524015-0.014919j 0.0132166+0.0060601j 0.0125947+0.00566793j -0.00269233+0.00110657j 0.00626106+0.00295582j -0.0132717-0.0118201j 0.00818363-0.00117851j -0.00325268-0.00747776j -0.000459188+0.00216436j -0.00118884+0.00872664j -0.00752083-0.0168188j -0.00476981-0.0316538j 0.00957385+0.0224363j -0.00304839-0.0141295j 0.00653995-0.0195558j 0.00238428-0.0116812j 0.000255694+0.0167012j -0.000697026-0.0289937j -0.00192619+0.0191764j 0.00171869+0.0181242j -0.000654778-0.024534j 0.00830228-0.00767152j -0.0101046+0.0285342j 0.000612784-0.0108992j -0.00156853+0.00806923j -4.65018e-05-0.0067704j 0.00236493+0.00296992j 0.00267342+0.002636j 0.00544782-0.00870177j -0.00547167-0.00602451j 0.00156767-0.00694153j -0.00425962-0.00358915j 0.000225166+0.00061125j -0.00683647+0.000424405j -0.00939805+0.00226494j 0.00541589+0.000788718j 0.0111378-0.00292642j -0.00596227+0.00702935j -0.000438032+0.00326394j 0.0108965-0.00979987j 0.00737194-0.00761864j -0.000768313+0.00210942j -0.00105645-0.00178101j -0.013312-0.0145323j -0.000645417-0.00778124j -0.0073778-0.00318326j -0.00326656-0.00128172j -0.00400527+0.0107164j 0.0025404+0.0101891j 0.00453458-0.00167565j 0.00199251+2.2064e-05j -0.00402868-0.00179554j -0.00513217+0.00926962j 0.0038462-0.00259989j 0.00531994+0.00639773j -0.00127584-0.00359037j 0.00432908+0.0160728j -0.00591082-0.00161607j 0.00693926+0.00883063j -0.00936645+0.0152519j 0.00431449+0.00509424j -0.00500815+0.00140865j -0.00616725-0.00210256j 0.00538256+0.0071657j 0.0115681-0.00971755j 0.0136137-0.000124556j 0.00474393-0.00253141j -0.00232205-0.00634328j -0.0110622+0.0138024j 0.00927614+0.0087637j 0.000370567+0.00290723j 0.00244893+0.00982116j -0.00999934+0.00289503j 0.00138807+0.00350019j -0.000600908-0.00240435j 0.00130517+0.00668156j 0.00295127+0.000616465j 0.0133916+0.00215145j 0.00614855+0.000225106j -0.00367327+0.00181795j 0.000751713+0.00552004j -0.00469767-0.00104937j 0.00320979-0.00400173j 0.00226241-0.00231215j -0.00378269-0.00246638j 
0.0143927-0.00710369j 0.00752538-0.00503961j -0.0374114+0.0160302j 0.0152255-0.00381454j -0.0221187-0.00398702j 0.0434332-0.0116733j -0.00222206-0.00320978j -0.0569862-0.011141j -0.0173425-0.00826066j 0.0276635+0.00427005j 0.00434202+0.00146802j -0.00124637+0.000870313j -0.0104385-0.00295629j -0.00368565-0.00226796j -0.0019257+0.000525589j 0.0130131+0.0045727j 0.00352168+0.00851175j 0.00886023+0.00435923j -0.0154211-0.0252725j 0.00684682+0.0209608j -0.000716194-0.0110555j -0.000978893+0.00537191j 0.00447453+0.0154594j 0.00555807-0.0344218j -0.00463813-0.02377j -0.00754172-0.0207692j 0.00565756+0.00635476j 0.00483064-0.0197254j 0.00349844-0.0387058j -0.00589405+0.00920699j 0.00277939-0.00354517j -0.00312812+0.019608j 0.00066121+0.00128694j 0.000178779+0.00479496j 0.000752668-0.00979587j 0.00100103+0.00338327j -5.95729e-05+0.00392426j -0.00658037+0.00495354j -0.00154021+0.00710136j 0.00445978-0.00271373j -0.00119719+0.0117933j 0.00958916-0.00375862j -0.00948264+0.00372816j -0.000988352+0.00917446j 0.00254983+0.00603189j -0.00585392+0.00530186j -0.00417215+0.00271816j -0.00903976-0.00962084j -0.00402278+0.000998017j -0.00704467-0.00392072j 0.00492177+0.00342929j -0.00157186+0.00604822j 0.00178364-0.0039477j -0.00561141+0.00244394j 0.0128664+0.00884044j -0.00880478+0.00044071j -0.000155311-0.00408764j -0.0122319+0.000805331j 0.00844612+0.0116155j 0.00119064-0.00974877j 0.0111553+0.00805102j 0.00836193-0.00953282j -0.00210686+0.00471793j 0.0102196-0.0191763j -0.00647253-0.00202517j 0.00477619-0.00248163j 0.00513917-0.000363605j 0.00128938-0.013443j 0.00368245+4.48764e-05j 0.00654452+0.0182523j 0.0125523-0.00568847j -0.00535847-0.00899703j -0.0085567+0.00422896j -0.00237579-0.000907192j -0.000169698+0.00543407j 0.00343471+0.00141157j 0.0122102-0.00151045j 0.0107213+0.00281259j -0.000958441-0.00450371j 0.000578211-0.0027343j -0.00304434-0.0023201j 0.00186595-0.00239571j 0.00531953-0.0073971j -0.000520574-0.00470957j 0.004186-0.00121204j 0.00137997-0.00982556j -0.000640433+0.00244691j -0.00341218+7.26496e-06j -0.00953503-0.0014674j 0.00168665-0.00351815j -0.00301026-0.000952986j 0.0023924+0.00311131j -0.00735466+0.00133706j -0.00304607-0.000210391j 0.000299335+0.00175844j 
0.00812749-0.0250009j -0.00982097-0.0288395j -0.00282284-0.0180811j -0.018647+0.0195054j -0.00359487-0.00988489j -0.0157936-0.0408017j -0.0295266+0.019193j 0.0196709-0.0192983j -0.0137098-0.00625588j 0.0452851+0.00990894j 0.0209373-0.0339791j 0.0361631-0.00576619j -0.0702808+0.0339475j 0.0165146-0.103194j -0.0798957+0.0229633j 0.0100189-0.0223332j 0.0241139+0.00981731j 0.0198841-0.00125466j 0.0104771-0.016388j -0.00546476-0.00440787j 0.00987223+0.00422498j -0.00559296+0.0118186j -0.00496815+0.00724154j -0.00234906-0.000401954j 0.00237494+0.00516219j -0.0130204+0.00594688j -0.00801005-0.00553814j -0.00735349-0.0017661j 0.0135066+0.00442923j 0.00421548+0.00553891j -0.0140946-0.0020515j 0.00915634+0.000923353j -0.0165462+0.0123146j -0.0474263+0.000882861j -0.0266783+0.0236205j 0.101895-0.0347089j 0.0231739+0.0640724j 0.0163822-0.0171544j -0.0230661-0.0263626j -0.00491305-0.0158465j 0.0281986-0.00780257j -0.0012768-0.00732876j 0.00942785+0.022999j -0.013781+0.00557198j -0.0236676-0.00225674j -0.0121437+0.00980628j -0.00428333+0.00914233j -0.00237214-0.00746331j -0.00629763-0.00929708j -0.00284105-0.00222374j -0.00962833+0.00182438j 0.00198563-0.00552223j 0.0014585+0.00197288j 0.00231713+0.0041j 0.00967995-0.00540182j 0.000663484+0.000953612j 1.46544e-05+0.00160091j 0.00963832+0.0045582j 0.00390659+4.43683e-05j 0.0053518+0.000824026j 0.00672018-0.000518976j 0.0109003+0.00615796j 0.00161445+0.00462641j 0.00123267-0.000816715j -0.0166433+0.00236322j 0.00690757+0.00739327j 0.00398936+0.0059571j -0.00637794+0.00905417j 0.00820606-0.00390103j 0.0113285+0.00497528j -0.00365372+0.0150095j -0.00263548+0.00370312j -0.00199089-0.0102648j 0.00627694-0.000335457j -0.00638887+0.00729909j 0.00179934+0.00270553j -0.013911-8.94647e-05j -0.00258605+0.00253232j -0.00925521-0.00703995j -0.00491809+0.0119991j -0.000474671+0.00263397j 0.010013+0.0107102j 0.0128465+0.00616084j 0.0144013+0.000804995j -0.00897097-0.0084363j 0.00314239-0.0119959j 0.00682944-0.00036649j -0.00414767-0.00407617j 0.00163589+0.0036969j -0.0107357+0.00626045j -0.0178395-0.0122906j 0.0087127+0.00651904j -0.023036-0.0114684j 0.00770143-0.00698452j 0.0607678+0.00954118j 
-0.0121644-0.0351856j -0.0115312+0.0166546j -0.0246783+0.0047664j -0.0186539+0.0171137j -0.0107708-0.0145603j -0.021469+0.0260028j -0.0150095+0.00094299j 0.016808+0.0179956j -0.00598197+0.0132305j 0.00932702-0.0513689j -0.0105091-0.0234316j 0.0193004+0.044934j 0.0319263+0.000803111j -0.0958706+0.0394456j -0.00697726+0.102617j -0.0218431-0.0179544j 0.016049-0.0183401j 0.00807926-0.0103627j -0.00935889-0.00300777j -0.00127387+0.00535195j 0.0060478-0.0104586j 0.0135067+0.00320268j 0.0134254-0.00185471j 0.00243159-0.00379014j 0.00821567-0.00411j 0.00490837+0.0033934j -0.00831994-0.00299111j -0.00404415+0.00633922j 0.0135707-0.00812056j 0.00751825+0.00205096j -0.0104365+0.00579159j 0.000822697-0.021114j 0.000770053-0.00186475j -0.0168109-0.00114968j 0.0295346+0.0121224j -0.0237779-0.0606331j 0.0945037-0.0357352j -0.0174049-0.027884j -0.0209074+0.0111509j -0.0252043+0.00553428j 0.00128001-0.0123944j -0.00242367+4.11301e-05j 0.0108158+0.00318654j 0.00284558-0.00821556j -0.00367381+0.00749938j 0.013202+0.00714548j -0.00451491+0.00523437j -0.00329418+0.00103867j 0.00497171+0.0112682j 0.000791592+0.00286917j 0.0100095+0.00508208j 0.0014814+0.00874437j 0.0163836+0.00222031j -0.00359966+0.0015129j -0.0191851-0.00391123j 0.0003464+0.0149132j -0.00359191+0.00457638j -0.00293952+0.00273173j -0.00345017-0.00213299j -0.00250862+0.0074045j -0.00748583+0.00699362j 0.00499752-0.0161742j 0.00170788-0.00613728j 0.00697271-0.00440339j 0.00385031+0.00869641j -0.00476201-0.00639137j -0.0033178-0.01007j 0.00267943-0.00102134j -0.0106404-0.00363891j 0.00471978+0.00360275j 0.00937487-9.17012e-05j -0.0119324-0.000687966j 0.01202-0.0115834j -0.00498066-0.0032659j 0.00544946-0.0102953j 0.0137771+0.00513736j -0.00822782+0.00133592j -0.000858058-0.000105821j -0.00362526-0.00352465j -0.00528759-0.00549082j -6.37285e-05-0.00745354j 0.00187843+0.00843932j 0.00226691+0.0176104j 0.0139246+0.00590035j 0.00856123+0.00400153j 0.00209157-0.00669791j 0.000605355-0.000393161j -0.00458472+0.00668593j -0.0108421+0.00491876j -0.0154711-0.00564165j 0.0116641-0.00623645j -0.0108248+0.00236875j 0.00357463-0.0150124j -0.0513856-0.00855716j 0.00559738-0.00558761j 
-0.00798146-0.0243463j -0.00196077+0.0148591j -0.0235575-0.0118016j -0.0146974-0.00384941j -0.00647988+0.00227975j -0.0202337+0.00660088j -0.0159617+0.0164654j 0.0113514+0.0202999j -0.0101117+0.00800591j 0.00638239-0.0163079j 0.00805362+0.0749882j 0.0229001-0.0105979j -0.014794+0.0946566j 0.0108793+0.0182746j 0.0194364-0.0377991j -0.0146302-0.0128575j 0.00850841-0.0133836j 0.00768477-0.00092305j 0.00207468-0.000441071j 0.00469577-0.00183279j -0.000348528-0.00686678j 0.00460793+0.00552234j 0.00340999+0.000456869j -0.000372694-0.00229037j 0.00358572-0.0044603j 0.00076642-0.00379107j -0.00531065-0.00149658j -0.00224238+0.00506392j 0.0082678+0.0052778j 0.00827747-0.00208968j -0.00638381-0.00141967j -0.00627059-0.00845023j -0.00377202-0.0108268j -0.0268028+0.0172653j 0.00772731+0.0187867j -0.00280776-0.00205494j 0.00307939-0.00528142j -0.00779978-0.0164908j -0.0054663+0.00413808j -0.0117853+0.00308989j 0.00617129+0.000567102j -0.0059167-0.00742792j 0.00118667+0.00995473j -0.00945531-0.0130306j -0.00427604+0.0047874j -0.00261618-0.00463387j 0.00218293+0.00197445j 0.00178852-0.010264j 0.00466325-0.00809727j -0.00870948+0.00178109j 0.00653024-0.00292855j 0.000785292-0.00346857j -0.00569195+0.000402117j -0.00144428+0.00250734j 0.00159709+0.00110538j -0.00133013-0.00442744j -0.00160002+0.00387361j 0.00656863-0.00117936j -0.000263861+0.000608906j 0.00506758-0.000324108j 0.0039258-0.00333159j -0.00433014+0.000303874j -0.00195543-0.00224021j 0.00248616-0.00553511j -0.000563804+0.00512582j -0.00217667-0.004406j -0.00942346-0.00964208j 0.0178539+0.00173659j 0.000656473-0.00991165j -0.0293839-0.00141465j 0.000896104-0.0162692j 0.00463704+0.0101497j -0.00813931+0.0143077j 0.0129027+0.00375973j 0.00394479-0.00835784j 4.95553e-05-0.0120625j 0.0121577-0.0129537j 0.00346416-0.00487353j 0.00571791-0.00112939j -0.00706272-0.00963536j -0.000537367+0.00672628j -0.00230411-0.00541411j -0.00611999-0.0120421j 0.00195409+0.0106774j -0.0196778-0.00642548j -0.00781363+0.00180092j -0.000490457+0.011137j -0.00119583-0.00658178j 0.0031877-0.00937703j -0.00106629-0.00110657j -0.00064716-0.00354775j 0.0148845-0.00842623j -0.00821893-0.0168945j -0.00634621-0.00331996j 0.00564868-0.00180842j 
0.0020564+0.0112764j 0.00110956-0.00399114j 0.00379677-0.00860345j 0.00435362-0.0121628j 0.0178537+0.0573562j 0.0143739-0.00630924j 0.00253086+0.0735442j 0.0109445+0.0476099j 0.00386438-0.0465951j -0.022454+0.0302013j -0.00978605+0.0721832j 0.0181696-0.0217969j 0.00399826-0.000167669j 0.000891437-0.000328453j -0.00260519+0.00619085j 0.00398125+0.00637719j -0.00411462+0.00387392j -0.00262412+0.00540119j 0.00387099+0.0015255j 0.00503018-0.00754942j -0.00202511-0.00329643j 0.00196342+0.00405797j -0.0032314-0.0027606j -0.000440122-0.00231124j 0.00364642+0.000699765j -0.00475783-0.00108097j 0.000290747+0.00724798j -0.00188095+0.00129727j -0.00424508+0.000490905j -0.00525944+0.00253199j 0.006473-0.00925661j -0.00462898+0.00596762j -0.00657243-0.00670705j 0.00103314+0.00458232j 0.00250057-0.00335494j -0.00178018+0.00369911j -0.00608511+0.000766592j 0.00161183+0.00650971j 0.00288079-0.000487879j 0.00533375-0.00181512j 0.000121371+0.00475853j -0.0015436-0.0023975j -0.00103293+0.00198892j -0.0082289-0.00521398j 0.00618552+0.017438j 0.00276254-0.0042863j -0.00284508-0.0104071j 0.00668279+0.00274694j -0.00326331-0.014525j -0.00750661-0.00277789j 0.0138257+0.00744209j -0.00658252+0.0072236j 0.00523186+4.60725e-05j 0.0040889-0.0195584j 0.00928394-0.00961467j 0.00970206+0.00103489j -0.0161154+0.00431996j 0.00913165-0.0104415j 0.0141019-0.00141009j -0.00637934+0.00302998j -0.00514655+0.00484647j 0.00669679-0.00262971j 0.00377321-0.00124877j -0.00718375+0.0026633j -0.000941197-0.00120737j 0.00408849-0.00230557j -0.0113298-0.00516121j 0.00208308+0.00823355j 0.00989901+0.00411432j 0.0101534+0.0142493j -0.000114905+0.00338594j -0.0112502+0.00989431j -0.00300187+5.99633e-05j -0.0151453-0.000241917j 0.000334369+0.00625002j -0.0016721+0.00411936j -0.00842965+0.000624854j -0.00475826+0.0156404j 0.0127593+0.00941852j -0.00314457+0.00654822j 0.0170659+0.00327326j 0.0117539+0.0054836j 0.00616904+0.00905833j 0.00137568+0.000217134j -0.00274549+0.0009249j -0.00379605+0.00252143j -0.0134823+0.0141022j 0.0047581+0.0164893j -0.00753713+0.010294j 0.00218962-0.000744704j -0.000953383-0.000148428j -0.000417709-0.00258929j -0.00014759+0.000157662j 0.00328234+0.00114477j -0.00329756+0.000930746j 
-0.00764403-0.0127912j 0.00154586+0.024227j -0.0271744-0.0218429j -0.00627108-0.0104948j -0.00409538+0.0416468j -0.00681124+0.0308455j -0.0120186-0.0132003j 0.0040433-0.00901423j 0.00259106-0.0908018j -0.00214111-0.047263j -0.00180733-0.0119869j 0.00263058-0.0467291j 0.00349323-0.0123669j 0.00171729-0.00694184j 0.000790584-0.00681242j -0.0137112-0.00449823j 0.000577069-0.0150526j 0.00482825+0.00242488j 0.00259439+0.00283561j 0.00411652-0.00344212j -0.00290829-0.00830594j 0.00751789+0.0023606j 0.00542244+0.00276496j -0.00197632+0.00509596j -0.000552766-0.00463886j 0.000849322-0.00506473j -0.00169478+0.0026752j -0.00171195+0.0012412j 0.00874932-0.00275684j 0.00394685+0.00393122j -0.00231396-0.000840137j -0.00748951-0.00792556j -0.00340103-0.00380001j -0.00490338+0.0119846j 0.00856936+0.000184814j -0.00407569-0.00304582j 0.00612113-0.00351249j -0.00730593-0.0105042j -0.000508041+0.00824724j -0.00903523+0.00360673j 0.00222758+0.00331287j -0.00838792-0.00615119j 0.00161905+0.0111245j -0.00591589-0.00612195j 0.00117398+0.0106956j -0.0010122-0.00450926j -0.00158479-0.00157413j 0.00745383-0.00486682j 0.00690935+0.0120331j 0.00314326+0.00915002j 0.00587194-0.00985733j -0.00753073+0.00457302j -0.00399142+0.00870369j 0.00460562+0.00222162j -0.00547041+0.0167325j -0.0144576-0.0101899j 0.00737876-0.00568495j -0.00498663-0.0102537j 0.00230567+0.00913587j -0.00720297-0.00020846j 0.0141996+0.0104787j -0.0141444+0.00844968j 0.00870685-0.0112753j -0.017857+0.00901637j 0.00380316+0.00895219j -0.0179194+0.00379252j 0.0156035+0.00371037j -0.00187713-0.00760479j 0.00595468+0.00455492j 0.00155207-0.00798322j 0.0018951+0.000761311j 0.00511486-0.00489138j -0.00393849-0.00222885j -0.0038289+0.00373241j 0.0149273+0.00951773j -0.0153919-0.00180873j 0.0140957+0.00486313j -0.00890037-0.00332947j -0.00558277+0.010785j 0.00218731+0.00142665j -0.00699897-0.00260864j 0.00745923-0.0168977j 0.00641547-0.00156548j -0.00335431+0.0229468j -0.00554049-0.00464802j 0.00195097+0.00105122j 0.00398255-0.00585774j -0.0014592-0.0038464j -0.00421356+0.00270389j -0.00189816-0.00182591j 0.00156623-0.00100258j 0.00241315-0.00760984j -0.00535823-0.00572527j -0.00695951-0.00120566j -0.000425651-0.00220898j 
-0.00655246-0.00136969j 0.00675174+0.0323178j -0.0211573-0.0142808j 0.00550691-0.0481866j -0.0166104-0.0406084j -0.0156276+0.0387496j 0.010129+0.0412394j -0.00421156+0.0333471j -0.00940702+0.0464746j 0.00492233-0.00134201j 0.00102145-0.0189666j 0.00552676-0.0162312j -0.00091354-0.000914069j 0.00314809-0.00634358j 0.00374881-0.00235099j -0.0139886+0.0017112j -0.004979-0.0184761j -0.00111946+0.00146124j -0.00178378+0.0102681j 0.0020587+0.00256763j -0.00483588-0.000465035j -0.000935528+0.000361597j 0.00128222+0.00369066j 0.0020514+1.01361e-05j -0.000787724-0.00713576j 0.00435264-0.00607127j -0.00354257+0.000308876j 0.00408933-0.00132835j 0.00534675+0.00113676j 0.00184837-0.00443889j -0.00225743+0.00548459j -0.0049021-0.0052018j 0.00208412-0.00331521j -0.00136094+0.00625007j 0.00619595-0.00086374j -0.00935473+0.00110868j 0.000920399-0.00598253j -0.00730117-0.00722278j 0.00314546+0.012772j -0.00529268+0.00866207j -0.00404332+0.00581543j -0.00779745-0.00404064j -0.00354438+4.49838e-05j 0.00403666-0.000676392j -0.00362801-0.0166655j -0.00408627-0.00197035j 0.00939478+0.000724738j 0.000405289-0.0099709j -0.00149591-0.00904585j -0.00240698-0.00947985j -0.00661293+0.00903988j 0.0144406-0.000105934j -0.00372904+0.00930957j -0.0111256+0.00341025j 0.0083981-0.00138029j 0.000205342-0.00560905j -0.00942239-0.00176819j 0.000271573-0.0149225j -0.00403164+0.0065093j -0.00669951+0.00618216j -0.00715394-0.00705325j -0.0108545-0.0088804j 0.0129283+0.0041574j -0.00606852+0.0056384j 0.0141068-0.00771634j 0.0176154-0.012631j -0.00352156-0.00633187j 0.00583218+0.00109253j 0.0102227+0.0097818j 0.0125271+0.00651994j -0.0101267-0.00643389j -0.0129923-0.00220227j 0.00438736-0.000881575j 0.00277471+0.00675361j -0.00175728+0.00384512j 0.0109099+0.0100183j -0.00475199+0.00555992j -0.00701634+0.0152935j -0.0021235-0.011838j 0.0130589+0.00684126j 0.000425889-0.00565622j -0.00840983+0.00887371j -0.00357722+0.000505649j 0.00171345-0.000170791j -0.00389353-0.00181919j -0.000590147-0.00427495j 0.00485344-0.0106768j -0.00634138-0.00262383j -0.000660983-0.00208463j -0.000486306-0.00107034j 0.00246565-0.000906937j 0.00161619-0.00505695j -0.00154912-0.00409228j -0.00372038-0.000275069j -0.00469232-0.00170611j 
