1.02396e-16+0.0414244j 2.80326e-16+0.0154125j -8.10914e-17-0.0148459j 1.24386e-16+0.0183989j 6.44954e-17+0.0210119j -1.04662e-18+0.00030887j 6.50298e-17+0.0144451j 2.74636e-17+0.0147696j -1.02706e-16-0.0236923j 6.90975e-18-0.0214946j 1.40947e-16+0.0085321j -1.51382e-16+0.0201411j -4.76526e-17-0.00557338j -8.04026e-17-0.0343145j 2.6244e-16-0.00670622j -3.57184e-15-0.0110822j -5.22972e-18-0.0109397j 2.2345e-16+0.0263269j -1.39216e-16-0.000904963j 9.17379e-17+0.00159741j 3.53811e-17+0.00138294j 1.2461e-16+0.0168348j 5.89715e-16-0.00524844j 9.82906e-17-0.00104726j -8.43375e-17-0.00159398j 2.03644e-16+0.0250811j -3.95377e-17-0.0104447j -1.44394e-16+0.0207598j -9.57442e-15+0.00242662j 3.5163e-17-0.000195745j -1.13272e-16+0.0172956j -4.93652e-17+0.00253141j -2.22445e-16+0.00650055j -3.42846e-17+0.0134943j 7.31707e-17-0.00670751j -4.7401e-18+2.70777e-05j -8.96303e-18+0.016893j 2.95223e-16+0.00759827j -2.25285e-16+0.00177989j -6.64572e-17-0.00317653j 2.37228e-16+0.00656672j -3.39709e-17-0.0148332j -8.39374e-18+0.0168829j -3.13716e-17+0.00438277j -1.93726e-17-0.00800869j -8.171e-18+0.0109417j 2.39886e-17+0.00608086j 4.3778e-17+0.0160797j -6.92726e-17-0.0259241j 4.20423e-17+0.005581j 1.71658e-17-0.000157224j -3.36564e-17-0.016915j 3.63192e-17+0.00998352j -9.1253e-17-0.0259568j 7.557e-15+0.0332444j 1.59718e-15-0.00599659j 
3.19607e-16+0.0218113j -1.46782e-15-0.0347256j 7.85504e-18+0.000459707j -3.95038e-17-0.0114446j 1.74104e-17+0.00562041j -2.02402e-18-0.0184111j 2.59577e-18+0.00735035j 3.41384e-17-0.0198118j 2.26867e-17+0.00211714j 4.60545e-17-0.00361889j 4.07828e-18-0.015317j 5.06279e-17-0.0105115j 2.41212e-17-0.00867254j 1.47431e-17+0.00971993j 4.09681e-16-0.0319051j -5.53201e-15-0.0187522j 2.05978e-16-0.00668339j -1.39991e-16-0.0261477j 1.22308e-16+0.0142695j -1.57662e-16-0.0114016j -3.14291e-16-0.00297905j 1.02931e-16+0.0410626j -9.37701e-16+0.00905747j -1.95502e-16+0.00219222j 6.09394e-17+0.00669484j -3.82257e-17-0.0012591j -3.53948e-17+0.00773495j 1.27842e-16-0.00776972j 5.88498e-15-0.00163146j -8.32821e-17+0.00724387j -1.59429e-17-0.00566153j 9.30259e-17+0.00798174j -1.53515e-16+0.00357648j -1.59661e-16+0.014664j 4.48297e-16-0.0336848j 4.75216e-17+0.0116931j -1.92231e-18+0.00810528j 7.17034e-16+0.013792j -4.10892e-16+0.00182092j -1.75447e-17+0.00164387j 3.06424e-16+0.0108331j 1.06747e-16-0.0134483j -7.15087e-18+0.00916294j -1.11325e-17-0.000939876j 9.22251e-17+0.0150393j 6.21335e-17-0.00682809j 3.35864e-17-0.00857695j 1.08286e-17+0.00134072j -9.12281e-18+0.00881716j -3.19451e-18-0.0036371j 1.12446e-18+0.00035385j -9.41761e-18+0.0170499j 3.20332e-17+0.00861382j 9.92008e-18-0.00661301j 5.03632e-15+0.014298j 1.07812e-15+0.0341548j 
2.7566e-16+0.0188063j -1.30548e-15-0.030933j -4.52321e-17-0.0499188j 2.73677e-17-0.0129074j -1.08212e-17-0.00057385j -3.27169e-18-0.00633949j -1.11727e-17-0.00864728j -1.18212e-17+0.00507371j -1.1751e-17+0.0307825j -2.11638e-17+0.00673306j -2.0453e-17-0.0167479j 2.8039e-17-0.00844442j 1.69123e-17-0.00148966j 3.5304e-17+0.0314742j 2.92881e-16+0.0121856j -4.075e-15-0.0105511j -2.36901e-17+0.0146879j -1.73036e-16-0.0084655j -1.93325e-16+0.0205308j -1.22331e-16-0.0255608j -2.92647e-16-0.0108522j 2.11148e-16+0.0249973j -2.06332e-15+0.0222292j 2.31811e-15-0.0433198j -3.00513e-16-0.00263624j -1.78134e-16-0.0203029j 5.86146e-17-0.0107353j -7.63461e-16-0.00535727j -3.72171e-14+0.0112077j 3.01745e-16-0.0171054j -5.01382e-17+0.00638884j 9.80203e-17+0.00917793j -3.0351e-16+0.0114406j -1.43618e-16-0.00582442j 5.22514e-16-0.032163j 1.60702e-16-0.00311814j 5.56998e-17+0.0122607j 8.89902e-16+0.012791j -4.37081e-16-0.00515887j 1.73036e-18+0.00391578j 4.47335e-16+0.0165707j 1.40978e-16-0.0117611j 7.77796e-18-0.0193428j 1.51291e-17+0.00611675j 1.6955e-16+0.0151556j 5.30517e-17+0.0097729j 1.09897e-17-0.00238958j -4.38271e-17+0.00939679j 9.53495e-19-0.00789649j 1.13241e-17+0.00905478j -4.2237e-18-0.0193157j 4.84237e-18+0.0191079j -1.36645e-16-0.0137513j -7.18889e-17-0.0301683j 4.67807e-15+0.0107369j 1.01965e-15+0.04405j 
8.93486e-17+0.0293988j -4.52131e-16-0.00560985j 1.90714e-17+0.0333992j -8.10019e-17-0.0086648j 8.90313e-19+0.0215876j 2.89877e-18+0.00184705j -7.36859e-18+0.0159139j 2.4559e-17+0.00974044j 7.29006e-17-0.014756j 6.60752e-17-0.00592883j -9.02201e-18-0.00775203j 3.10892e-17-0.00752785j 4.68782e-17-0.00563493j 9.20578e-17-0.00869755j 2.7346e-16-0.0248733j -3.62068e-15-0.0127651j 1.81597e-16-0.00830281j -2.44109e-16-0.0209902j 1.12021e-16+0.0217105j -1.97163e-16+0.00494971j -2.90616e-16-0.0148727j 6.08977e-17+0.0421148j -7.8793e-16+0.00729406j -9.13696e-16+0.0129832j -5.58334e-17-0.00354444j 7.43517e-17+0.0256731j -1.4774e-16+0.0141169j 1.90758e-15-0.0262231j 9.54052e-14-0.0279084j -3.27112e-16+0.022885j -1.083e-16+0.0113272j -1.23053e-17+0.000865206j 8.50455e-17-0.0078854j -1.12946e-16+0.0247722j 1.9754e-16-0.0146356j -3.64103e-17+0.00650221j -2.28654e-17+0.0126737j 5.66533e-16+0.0175615j -3.18922e-16+0.0181295j -1.27475e-16-0.00420452j 4.43685e-17+0.00506664j 1.111e-16-0.0262284j -1.5185e-17+0.0319746j -8.78837e-17-0.00568154j -2.80874e-17-0.00542978j 6.45999e-19+0.00328425j 2.79158e-17+0.00822692j 5.41324e-17+0.0130366j 7.9769e-18-0.0101489j -1.1563e-17+0.00183376j 1.31197e-17+0.0143476j 7.14276e-18-0.00247836j 1.63789e-16+0.0269233j 6.42924e-17+0.0198807j 7.15836e-15+0.030946j 1.53378e-15-0.000927601j 
-2.93783e-16+0.065929j 1.30366e-15+0.0481661j -5.97816e-17-0.0429533j 1.99355e-16+0.0449163j -2.76769e-17+0.0344501j -2.14505e-17+0.00309546j -6.1641e-18+0.0174547j -4.81451e-17+0.0379398j -8.11047e-17-0.0437258j 1.35789e-16-0.0414299j 2.5336e-16+0.0255866j -4.41178e-16+0.0457293j -8.78653e-17-0.00742309j 5.58119e-18-0.0700263j 3.73043e-16+0.0102121j -3.76445e-15-0.0106424j -8.08772e-17-0.0174863j 4.64697e-16+0.0709785j -4.04892e-16-0.0162502j 3.4655e-16+0.00711579j 2.86573e-16+0.00769669j 1.19854e-17+0.00473482j 2.08805e-15-0.0191514j 8.25344e-16-0.0115913j -2.0732e-16-0.00579522j 2.31267e-16+0.0443627j 5.81285e-17-0.0287324j -1.37778e-15+0.0508851j -6.64704e-14+0.0187683j 1.44694e-16-0.0101334j -3.23321e-16+0.0359965j -1.9277e-16+0.00364733j -4.39063e-16+0.0149168j -8.63278e-17+0.0100621j 2.72748e-18+0.00556596j -2.60723e-17-0.00662515j -1.47151e-16+0.0262176j -3.7549e-17+0.00248907j -1.81792e-16-0.00397643j -3.69697e-17-0.00466612j 2.45842e-16+0.00654846j -1.23592e-18-0.0157939j -1.18162e-16+0.0205714j -6.23234e-17+0.0115311j -3.9131e-17-0.0191814j -1.12322e-16+0.0231321j -9.36813e-18+0.0140954j -3.89325e-17+0.0310229j 5.40606e-17-0.0546618j 1.80841e-17+0.00849933j 1.50321e-17-0.00908238j 2.36571e-17-0.0404842j -7.46104e-17+0.00751172j -2.97169e-17-0.0576875j 1.07606e-14+0.0521594j 2.28424e-15-0.0271003j 
-5.09535e-16-0.0545959j 2.34441e-15+0.0513811j -6.05964e-17+0.00158354j 3.14194e-17+0.00668279j -2.44538e-17-0.0183198j -1.54684e-17+0.0365988j -2.32746e-17-0.0198441j -2.63171e-17+0.0367185j 3.25593e-17+0.0125451j -8.58999e-17+0.0194692j -1.18938e-16+0.0190339j 4.27726e-17+0.00431363j -6.06601e-17+0.0175158j -1.57357e-17+0.0059405j -7.95629e-16+0.064798j 1.07461e-14+0.0370053j -3.72202e-16+0.0224232j 1.56421e-16+0.031193j -1.91795e-16-0.0177073j 2.03922e-16+0.015473j 4.30286e-16-0.00173193j -1.64928e-16-0.0754972j 7.29903e-16-0.00701425j 7.35675e-16-0.0141089j -2.07865e-16-0.0163082j 8.76397e-18-0.00941984j 3.54427e-17-0.00882094j 1.39528e-16-0.00360405j 1.29436e-14-0.00370717j 1.55405e-16-0.0138612j 6.67986e-17+0.00580535j -1.32388e-16-0.0139848j 5.05982e-16-0.0112185j 2.91377e-16-0.0322458j -7.6164e-16+0.0592221j -5.2398e-17-0.0228783j 2.36337e-17-0.0203752j -1.07304e-15-0.0231655j 6.45058e-16-0.00380272j 4.48545e-17-0.000661966j -5.46334e-16-0.0195496j -1.32094e-16+0.0248423j 5.3755e-17-0.0268659j 6.74862e-17-0.00086154j -1.56234e-16-0.0218115j -3.71493e-17+0.0112937j -3.1734e-17+0.0157034j 3.30859e-17-0.00535036j 3.80783e-17-0.0089498j -1.50238e-17+0.00845205j -3.22268e-17-0.00070873j 2.47631e-17-0.0200614j -6.8744e-17-0.0205892j -7.61923e-17+0.024815j -1.12933e-14-0.0370444j -2.40747e-15-0.0533149j 
-9.28917e-17+0.00458092j 3.69302e-16+0.010195j 5.70939e-18+0.00834154j 7.91562e-17+0.0207652j 1.10377e-17+0.00800409j -1.43339e-16-0.0440126j -1.0242e-16-0.00940179j -2.7009e-17-0.0179542j -7.27569e-17-0.0215131j 4.38169e-17-0.0216231j 1.55798e-16+0.00679923j -3.22701e-17+0.00587086j -3.46121e-17-0.0131852j -7.37821e-17-0.0340226j 2.98211e-17-0.0186331j 1.41532e-16-0.00185703j 1.20061e-16-0.03079j 2.47626e-16+0.010436j 7.58489e-17-0.0274014j 1.44656e-16+0.0175835j 2.46383e-16+0.0131946j -1.09335e-16+0.00442897j 3.98305e-15-0.0398783j -7.36429e-16+0.0181708j 2.60796e-16+0.0114235j 3.72014e-18+0.0156633j 6.05402e-17+0.00317496j -2.25924e-15+0.0112273j -1.25128e-13+0.0369435j -5.87817e-16+0.0126532j 3.16148e-17+0.000670986j -8.2062e-17+0.00323003j -3.79084e-16+0.0166521j -2.59866e-17-0.00839029j -3.17464e-16+0.0115302j -1.07535e-16+0.0128049j -5.79044e-17-0.00225029j -1.10873e-15-0.0207419j 4.97375e-16-0.0119707j 1.96059e-16+0.00270094j -3.1159e-16-0.0115517j -1.03782e-16+0.017788j -1.96368e-17+0.021176j -7.8575e-17+0.00306565j -1.48191e-17+0.00516185j -8.28412e-17-0.02021j -5.68465e-17-0.00853274j -1.02235e-17+0.00641231j -5.20343e-18+0.0115527j -9.88046e-17-0.0369789j -4.68744e-17-0.0147682j -1.6816e-17-0.00806153j -3.26185e-18+0.0067378j -9.57353e-18-0.0182953j -9.74474e-16-0.000433216j -2.49293e-16-0.0172482j 
3.6725e-17+0.0235752j -3.43939e-16-0.00467151j 9.67499e-17+0.00632649j -4.86356e-17-0.0116165j -1.06544e-17+0.022704j 7.13831e-18-0.0477787j -4.84612e-17-0.0276093j -2.33589e-17+0.0348894j -3.37517e-17-0.0113205j 8.08548e-17-0.0177084j -4.41605e-17-0.00696002j 2.93883e-16-0.0259686j 7.14218e-17-0.0239582j 5.99847e-17+0.0125834j 3.64868e-16+0.00198227j -4.97163e-15-0.0143903j 1.57128e-16-0.00650719j -1.12372e-16-0.0248738j 2.44586e-16-0.00748082j -1.15588e-16+0.00396018j -2.50548e-16-0.0214694j 1.07112e-16+0.0409561j 1.92998e-15-0.0163251j 1.94085e-15-0.0361993j -3.70424e-16-0.0119699j -1.29425e-17+0.0280596j -2.18243e-17+0.0178963j -1.34825e-15-0.045865j -7.83555e-14+0.0240921j -8.18656e-16+0.0203342j -3.24626e-16+0.0239273j -2.86947e-16+0.0343668j 2.77447e-16-0.0114358j 1.41439e-16-0.0122552j 2.84708e-16-0.0183941j 5.92073e-17+0.0064736j 1.21772e-16-0.00759011j 4.41615e-17+0.00264499j -2.40056e-17+0.00666287j 2.17801e-16+0.0158395j -1.89925e-16-0.00053822j 6.91202e-17-0.0193565j 2.36608e-17+0.0236032j -9.35535e-17-0.00479106j 6.23408e-17+0.0174886j 3.45442e-17-0.00625484j 2.80505e-17+0.0106189j -6.08568e-17+0.0380918j 5.061e-17-0.0284618j 4.82461e-17-0.0371678j 1.03555e-16-0.0321106j 2.26592e-18+0.00541127j 7.47316e-17+0.0124875j 9.65303e-17+0.00766119j 6.22388e-15+0.0278089j 1.29904e-15-0.00416075j 
-1.82851e-16-0.00942432j 6.84066e-16+0.0168958j 8.93517e-18-0.0184893j 4.23787e-17+0.0206986j -1.02683e-17-0.0167198j 1.00886e-17+0.0122858j -1.01741e-17+0.0288122j -8.20727e-18-0.00440128j -1.41263e-18-0.0295712j 4.51595e-17-0.0046283j 1.208e-17+0.00935071j -2.74957e-17+0.0067119j -1.95696e-17-0.0207318j 4.59606e-17-0.0347362j 3.58391e-16-0.00785335j -3.38194e-15-0.0106697j -7.56989e-17+0.00874457j 2.15442e-16+0.0407943j -8.74204e-18-0.0327115j 1.67296e-16-0.00256372j 2.74204e-16+0.0144882j -5.879e-17-0.0411003j 1.78333e-15-0.0170315j 1.62605e-16-0.00105125j -6.81053e-17-0.014999j 1.58413e-16+0.0145707j 9.40228e-17-0.0107597j 1.58121e-16+0.0483319j 2.18449e-14-0.00733843j 7.55576e-16-0.0234288j 1.55965e-16-0.018194j 4.5913e-18+0.00542132j 8.4483e-17-0.00607541j 1.60295e-16+0.00590294j -2.28854e-16+0.0250939j -1.48462e-16-0.00986952j 2.37208e-17-0.0231458j 1.14216e-15-0.00503048j -1.99756e-16-0.0504135j 3.17113e-16+0.00862031j 1.63474e-16+0.000283009j -4.74355e-17+0.016981j 6.17096e-17-0.0252667j 8.92185e-17-0.00763279j 7.2035e-17+0.011816j 3.03382e-17-0.000459647j 1.69238e-17-0.00588285j -9.76201e-18-0.00807115j -5.68178e-18-0.00158226j -5.66808e-17+0.0155948j -5.59834e-17+0.0278099j 2.78735e-17-0.0099174j -1.23059e-16-0.0181811j 1.3523e-17-0.0222858j -5.3587e-15-0.0209676j -1.14658e-15-0.00926234j 
3.63265e-16+0.0208691j -1.80332e-15-0.0441999j -4.16997e-17-0.117769j 7.73508e-17-0.0176553j -9.9452e-18-0.00823023j 3.92654e-17-0.0177432j -2.50866e-17-0.0401781j -4.35608e-18+0.0198731j 1.5976e-17+0.0645192j 1.1676e-17+0.00998403j -7.85021e-17-0.0178337j -3.00316e-17-0.00597265j 3.764e-17+0.00289546j 6.09041e-17+0.06806j 3.56928e-16+0.0519754j -4.30126e-15-0.00760068j -1.39068e-16+0.0331123j -1.98979e-16+0.000656293j -3.39117e-16+0.018671j -1.03252e-16-0.0485131j -3.63152e-16-0.0137461j 3.609e-16+0.0186831j -2.9797e-15+0.034117j 5.38681e-15-0.0983764j -6.40788e-16-0.00309975j -4.65788e-16-0.0505761j 2.18983e-16-0.028673j -3.55589e-15+0.00136856j -1.70134e-13+0.0506195j 5.72467e-16-0.0445316j -7.03287e-17+0.0145866j 2.92353e-17+0.0240522j -3.97366e-16+0.0214712j -7.50063e-17-0.0348881j 9.07355e-16-0.0533738j 4.12029e-16-0.0121049j 1.91436e-16+0.0140176j 9.42518e-16+0.0109988j -4.01033e-16-0.00863644j 2.67086e-17+0.0133989j 6.65696e-16+0.0261954j 2.65376e-16-0.01038j 8.73816e-17-0.052406j 1.91846e-17+0.0172125j 2.34839e-16+0.0267114j 1.4724e-16+0.0206064j 9.14456e-17-0.00477407j -2.89332e-17+0.0172435j 6.76415e-17-0.0240573j 5.48867e-17+0.00886923j 5.56639e-17-0.0612044j 1.90189e-17+0.0325741j -3.02511e-16-0.0417734j -1.25599e-16-0.0662014j 5.80644e-15+0.00933527j 1.24122e-15+0.0735405j 
-3.67054e-16+0.00942658j 1.75526e-15+0.0464642j -6.91953e-17+0.00108504j 4.75259e-17+0.0016404j -2.10034e-17+0.0223081j 1.33819e-17+0.0423675j -5.52806e-17-7.70345e-05j 5.56972e-17+0.0717496j -3.10185e-18+0.0174948j -7.13082e-17+0.015223j 1.26439e-17-0.00109983j 4.45172e-17-0.0018584j -5.25716e-17+0.00818983j 4.60129e-17-0.0132213j -3.93388e-16+0.0544567j 5.22382e-15+0.0197398j -2.92752e-16+0.01388j -4.91448e-17+0.0298576j -5.78673e-16+0.0328463j 3.86936e-17+0.0140775j -5.67047e-17-0.0384541j 6.21024e-18-0.00433055j -4.11847e-16+0.0053368j 1.64759e-15-0.0350297j -7.11937e-16-0.0315855j 1.98013e-16+0.0249754j -1.01705e-16-0.00567605j 2.46712e-15-0.0451137j 1.259e-13-0.036548j -8.9885e-17+0.00617084j -1.50627e-16+0.040233j -7.67472e-17-0.0262582j -2.13861e-16+0.0084291j -1.59851e-16-0.0071548j -4.12983e-16+0.0395043j -7.81594e-17-0.0207787j -1.11662e-16+0.0200041j 1.32652e-16+0.00311354j -5.45935e-17+0.00464358j -5.52907e-17-0.00840913j -2.01218e-16-0.00403453j -5.86579e-17-0.0165984j -4.95167e-17+0.00877816j -2.68554e-17+0.00297758j -1.88389e-16-0.0366607j -9.60935e-17+0.0344286j -2.72624e-17+0.0329584j 1.17096e-17+0.0326781j -4.14497e-17-0.0344821j -2.54864e-18+0.0203395j -4.52161e-17+0.00491225j -2.62663e-17-0.0262047j 2.64975e-17+0.00907284j -1.32698e-17+0.0122553j 2.86032e-15+0.0215921j 5.33179e-16-0.0433616j 
