0.0119504-0.00279043j -0.000222131+0.0109001j -0.0101766+0.00740034j 0.00876016+0.0152181j -0.0126543-0.0102249j -0.0117689+0.00480848j 0.00330941+0.0254375j 0.0250038+0.0155429j 0.00967164-0.00657562j -0.0164737+0.000550742j 0.00165283-0.00127517j -0.0181211+0.0238588j 0.0151397+0.00660191j 0.00823181-0.00416587j -0.0072144+0.00641276j 0.00444048+0.0158753j -0.00288974-0.00690841j 0.00497205-0.0104887j -0.0158738+0.000506616j -0.0144797+0.00272663j -0.00856085+0.00699972j 0.0228142+0.0136629j 0.00742882+0.00259714j -0.00537132+0.00318302j 0.00966576+0.00100982j -0.00424098-0.0165232j 0.00134819+0.00513994j 0.00202567+0.00637609j -0.0122413+0.000442904j 0.00616762+0.00176095j -0.00208585+0.0162122j -0.00242677+0.00942198j -0.0117916-0.00497157j 0.00690475-0.00615295j -0.00137017-0.00989945j 0.00341216-0.00177372j 0.00425636-0.00141267j -0.0109869-0.00158872j 0.00598635+0.00718824j -0.0083004-0.00404304j 0.00676561+0.00872538j -0.013173-0.00949658j -0.00331025-0.000607241j -0.0149265+0.0114268j -0.00642906-0.0032018j -0.011371-0.012382j -0.00467538-0.00735492j 0.0436759-0.00010997j -0.00556033+0.0107184j -0.0151259-0.0110339j 0.0159638+0.00587829j -0.00263513+0.0132838j 
-0.00410184+0.0118931j -0.0127006+0.000314878j 0.00686511-0.012712j -0.00735091-0.0108011j -0.0203415+0.0103201j 0.00202173-0.0133706j -0.000584807-0.0128047j -0.00164386-0.00744858j 0.0056636+0.00533068j 0.0122134+0.00563012j 0.000934782+0.0235473j -0.00356546+0.0170353j 0.00341885-0.00288684j 0.00405395+0.00653568j -0.00317751+0.00316395j -0.00591665-0.00122743j 0.00451934-0.0127757j 0.010952-0.00909897j 0.0112977+0.00189551j 0.00232243+0.00642942j 0.00243957-0.0190647j -0.00891195+0.00379725j 0.0153754-0.00415223j -0.00330035-0.00462369j 0.0137022+0.00521038j -0.000314606+0.00560509j 0.00277556+0.0159068j 0.00349791+0.00250308j -0.00576145-0.0100377j 0.00274795-0.00105759j -0.0172227+0.00853861j -0.00164312-0.0109089j -0.00824923+0.000582734j 0.0105134-0.0100438j 0.0135558+0.00300484j 0.0028084+0.0126952j -0.0112276+0.0107369j 0.00286445+0.00442245j 0.0092942+0.00406701j -0.00870613+0.0104637j 0.0100027+0.000926047j 0.00630796+0.0165139j 0.00833268-0.00718264j 0.00178599+0.00420135j -0.0090185+0.0187883j -0.0041993+0.0252997j 0.00900657+0.00829538j 0.00404305-0.0308527j 0.00450534-0.0122804j 0.00657837+0.0115878j -0.00705016+0.0118288j -0.0125156-0.00626487j 
0.00262005-0.01414j 0.0165196-0.00568769j -0.02039+0.0133216j 0.00735302+0.0232577j 0.0286958-0.0123167j 0.00373782+0.0109512j -0.0133772+0.01877j 0.00932247+0.0162323j -0.0136626-0.0164029j -0.00980289+0.00418073j 0.00637023-0.0154812j -0.00305905-0.00480869j 0.00293125+0.00663627j -0.00237902+0.00316043j 0.00966543+0.00715586j 0.00479506+0.00314179j 0.00186823+0.00893464j -0.00178399+0.0114383j 0.00272467+0.00734262j 0.00870152-0.000262162j -0.00229594-0.00386799j 0.00970557-0.0114999j 0.00383643-0.00429703j 0.0087778+0.00377932j 0.00583841+0.00478317j -0.00996162+0.0076339j -0.0140033-0.00348895j 0.00126937-0.00517342j -0.000918636+0.00129002j -0.00478462-0.00243046j 0.0192319-0.016938j 0.00637824-0.00369958j 0.0120523+0.000995061j -0.0225412-0.00595839j 0.00623043+0.0119297j -0.00954079-0.00188049j -0.00195649-0.0128468j 0.00449838+0.00469033j 0.00972964-0.0101607j 0.0115849-0.00299528j -0.0239293-0.0173558j 5.91681e-05-0.0117353j -0.0268185-0.00468343j 0.0131619-0.00250645j 0.0300055-0.0170579j 0.00234511-0.0220298j -0.00346302-0.00629536j 0.000750935+0.0197482j -0.016919+0.0234078j -0.0262068-0.0172889j 0.00390118-0.00567334j 0.00928765+0.00160344j 
0.014475-0.00717506j 0.0043157+0.0144043j 0.00238853+0.00875993j 0.00557358+0.00271995j -0.00534487-0.0136884j -0.0161626+0.0105524j 0.0103171+0.0268809j 0.0120383+0.0107956j 0.0088615-0.000182635j -0.0217752-0.0144287j -0.00650481-0.0179269j -0.0110527-0.00545836j 0.00471669+0.00644528j 0.00763229-0.0162473j -0.00642466-0.00897597j 0.00738349+0.0123729j -0.00684239+0.0109335j -0.0137656-0.00267467j -0.0232574-0.0104724j -0.0130734-0.00442118j -0.00469802+0.0244788j 0.0271082+0.0145889j -0.00795097+0.00393548j -0.0096934+0.0107223j -0.0097019-0.0144358j -0.00542948-0.0230559j 0.00597009-0.0133457j 0.00713981-0.00408296j 0.00624487+0.0141426j 0.00169038-0.00444906j 0.00522253+0.00883881j -0.00653057+0.0171792j -0.00510588-0.00880268j -0.00183327+0.0106416j -0.0268874-0.0166869j 0.00777237-0.0241291j 0.013453-0.00525412j -0.0126611-0.0225476j -0.00671214-0.00695378j -0.0106534-0.0112024j 0.0053924+0.0243185j -0.0115571-0.0228554j -0.000710537+0.0155658j -0.0180252-0.00722827j -0.0134411-0.00716978j -0.00893222-0.0226397j -0.00813848-0.0120779j 0.0370107+0.00984678j -0.0092632-0.00149353j -0.00346038-0.00231459j 0.0148819-0.00847707j 0.00643107+0.0124581j 
0.0116459+0.00531533j -0.0119017+0.0114052j -0.0177716+0.00368257j 0.00611595+0.0208194j -0.0299449-0.0141261j -0.0107695-0.0091164j 0.00219785+0.0244127j 0.0341439+0.0200228j 0.0150775-0.0113692j -0.0143238+0.0110901j 0.00513407+0.0234917j -0.0348697+0.0515225j 0.0237677-0.000133296j 0.0123048+0.00664463j -0.0140306+0.0187794j -0.00988999+0.026125j 0.00327401-0.0255861j 0.0233808-0.0160421j -0.012327+0.00991438j -0.0204247+0.0145583j -0.00981439-0.015237j 0.0252613+0.0216607j 0.0336117+0.0100587j -0.00581399-0.0101461j 0.0349197+0.0156883j 0.00196455-0.0217071j 0.00973885+0.0197229j 0.000531377+0.0197466j -0.0256382-0.00466173j 0.0123006-0.00650086j -0.0136679+0.0315733j 0.00330437+0.00403165j -0.0152024-0.00911581j 0.0219605-0.019584j 0.0175717-0.0188821j 0.00325028+0.0169829j -0.000819101+0.00730034j -0.0106829+0.0124309j 0.018728+0.0165955j -0.0125948+0.00360783j 0.0104056+0.000177581j -0.0129061-0.000685831j 0.0010451-0.0112256j -0.0179141+0.0222145j 0.00229542+0.00459878j -0.0284516+0.0183191j 0.00991712-0.00777908j 0.0528333-0.0409774j -0.0164787+0.0214742j -0.017774+0.00507132j 0.0174118+0.015438j -0.0163535+0.0119343j 
0.0121578-0.0122258j 0.0118882+0.00380475j -0.0204309+0.0157566j 0.0145625+0.0215269j 0.0201466-0.0136993j -0.0060926+0.0116075j -0.00117767+0.0292149j 0.0125381+0.0172278j 0.00334318-0.00933069j -0.0211039-0.00963803j 0.00370161-0.0251163j -0.012462-0.00506547j 0.00446153+0.00015912j -0.000345184-0.0100177j -0.00568427+0.00336115j 0.00345262+0.0143211j -0.00815989+0.0059064j -0.00659709+0.0086448j -0.027048-0.003509j -0.0108077-0.0069239j -0.0162037+0.022388j 0.0246937+0.00202085j -0.00767509+0.006837j -0.00181766+0.0016017j -0.0110472-0.00405454j -0.00691458-0.0224465j 0.00386063-0.0246397j -0.00853753+0.00570965j -0.00052283+0.00419948j -0.00873838-0.00023966j 0.0186972+0.00181963j 0.00280497+0.00859664j 0.000239324-0.00597577j -0.012487+0.00647248j -0.0172799-0.0127384j -0.000142635-0.0130403j 0.0108273-0.0139353j -0.00983745-0.00264623j -0.00786852+0.00243931j 0.00385137-0.00962661j -0.00581066+0.00302879j -0.0154793-0.0170185j -0.0117565+0.00508666j -0.00589524+0.00367342j 0.00857519-0.0130546j -0.0173194-0.0384292j -0.00471295-0.00701757j 0.0302737+0.0282476j -0.00828044+0.00993095j -0.0291244-0.00941865j 0.0203824-0.00692066j 0.0117976+0.00960501j 
0.00182319+0.0132689j -0.0140159+0.0071156j 0.000802033-0.00251122j 0.00602579+0.000340147j -0.0256852+0.00139271j 0.0116596-0.00579496j 0.0113607-0.0158992j 0.00525914-0.0122563j 0.0170779+0.00577889j 0.00281322+0.00378265j -0.00692508+0.00250629j 0.00605042+0.0102228j 0.0121925-0.0116402j -0.00283429-3.60029e-05j -0.0128306+0.0128611j -0.00574786+0.0034011j -0.0113323-0.013592j 0.00278166-0.0114984j -0.0194173-0.00192947j -0.0180283+0.001377j -0.0108682+0.00820677j -0.00295387+0.00531909j -0.00824574+0.00755163j -0.000780484-0.0120086j -0.0127311-0.00671285j 0.015454-0.00974169j 0.0190227-0.00315339j -0.0102184+0.0117032j -0.00438686-0.00495942j -0.00422107+0.00786048j -0.0224019+0.023985j -0.000920362-0.00627754j -0.0168265+0.0029519j 0.0123053+0.00727427j -0.00255735-0.0146427j 0.0105716+0.00827581j -0.00447948+0.0105072j -0.00763175+0.010152j -0.012471+0.0206912j -0.00295229+0.00696314j 0.0228855+0.00745217j -0.00117445+0.00863213j 0.0227379-0.0121662j -0.0158898+0.00404505j -0.0143904+0.0177169j -0.0170028+0.022547j 0.0136418+0.00170833j 0.00594762+0.0170513j 0.0154885-0.00778197j 0.00699283-0.00117125j 0.00763258+0.00561479j -0.00298779+0.00638749j 
-0.013714+0.00502451j -0.00374789-0.0158619j 0.00877761-0.00963856j -0.00347216-0.0148223j 0.0129568+0.0334012j -0.0278354-0.00480427j -0.00313266-0.00606064j -0.0193802-0.000917933j -0.00358685+0.0118392j 0.0188219+0.0032363j 0.0200588+0.0288279j -0.00992153+0.0154409j -0.0171825+0.00542545j -0.00307075+0.00381681j 0.00645995-0.019852j 0.00361917-0.0070355j 0.00954518-0.0145932j 0.0216378-0.0150566j 0.0240903+0.00973051j 0.0147059+0.00122738j 0.00691721-0.00519557j -0.0165086-0.0106752j -0.000217817-0.000207021j 0.0104684-0.00380346j 0.0124+0.0153376j 0.0055178-0.000562942j -0.00490591+0.00940096j -0.0176583+0.00491818j -0.00787888-0.0137822j 0.00698408-0.000152384j -0.0011941-0.0135813j -0.0045316-0.00491205j -0.0127322-0.00850258j 0.01099-0.01976j 0.0268217+0.0221062j -0.00165946+0.0240133j -0.00296135+0.00128089j -0.00501571-0.0104595j -0.00630985+0.0113549j -0.0046136-0.00215003j -0.00412403-0.0221817j 0.00291232+0.0335177j -0.0200989-0.00622061j 0.008645+0.0125301j 0.0152856+0.00259696j 0.00376675+0.00240833j -0.0371955+0.0066412j -0.011745-0.0319626j 0.00899674-0.0211701j 0.0119466+0.0179317j -0.0053576+0.0114152j -0.0135888-0.0142499j 
0.00115122-0.0028039j 0.00127854+0.00567725j 0.0166402+0.0047714j -0.00126687-0.0143655j -0.00277296-0.00520319j -0.0012368+0.00454782j 0.0125908-0.00840264j -0.014298-0.0105192j -0.000355583+0.0202238j 0.00472025-0.00827361j -0.00832383-0.0134585j 0.0126027-0.0201008j -0.00390464+0.00161489j -0.00883735-0.0126172j 0.000673545-0.0184721j 0.00599571-0.00271149j 0.00116522+0.0143862j -0.00998352+0.000861097j -0.000644871-0.0135766j 0.000242118-0.00286352j 0.00601341+0.0186072j -0.00564312-8.86105e-05j -0.0142616+0.00468806j -0.00662589+0.00541332j -0.0264476-0.0142605j 0.00296998-0.00762534j 0.0101172-0.00306919j 0.000129658-0.0112219j 0.0176042+0.00586222j 0.00188712+0.00282016j 0.00198153-0.00544206j -0.00718163+0.00856994j -0.0016139-0.00054586j 0.00121532+0.0102869j -0.0222922-0.00342684j 0.00959355-0.018834j 0.00521151+0.00539375j -0.00254127-0.015702j -0.0112537+0.000785235j -0.00529974-0.0108373j 0.0168651+0.0144888j 0.0114662-0.00493731j 0.00596198+0.0111739j -0.00182319+0.000619348j -0.007337+0.00390438j 0.00751898-0.00922748j 0.00222146-0.00752913j -0.0152455+0.0112416j 0.00489704-0.00982484j 0.02216+0.00716678j -0.0063118-0.0126413j 0.00442613-0.000483182j 
0.00919337-0.0166202j 0.0190702-0.000372832j -0.0292139+0.00968942j 0.00816103+0.0321025j 0.0256998-0.0261631j 0.0193358+0.0103694j -0.0230407+0.021201j 0.0137792+0.0246795j -0.0155194-0.0190258j -0.0126829+0.00251569j 0.00892079-0.0246277j -0.0104549-0.00620562j 0.00787781+0.00036346j -0.00123795+0.000746247j 0.00434871+0.0159263j 0.00205864+0.0113013j 0.00450312+0.0166262j -0.0046666+0.029871j 0.00612806+0.00690531j 0.00329804+0.00663535j -0.00758842-0.0204402j 0.0210182-0.0064954j 0.0207774-0.00560318j 0.00330435+0.011153j 0.00978365+0.0105369j -0.0268178+0.0165884j -0.00520585+0.00538061j 0.0131789-0.00522129j -0.00795625+0.00271944j -0.000206911-0.00582575j 0.0266632-0.0203384j 0.0104989-0.0060044j 0.0271145-5.44868e-05j -0.0259269-0.00858802j 0.00188901+0.00283635j -0.0194918-0.0116078j -0.00861068-0.0122932j 0.00916793+0.013725j 0.0265483-0.0112861j 0.0115981+0.00947952j -0.0327426+0.000608734j -0.000892234-0.0260151j -0.0333959+0.00670435j 0.0149904+0.00490446j 0.0303066-0.0215537j 0.0124574-0.0122922j 0.0102346-0.000227988j 0.0116728+0.0205926j -0.0268056+0.0436214j -0.0325207-0.0165745j 0.00270173-0.010075j 0.00594862+0.00141283j 
-0.0106932-0.0165554j 0.0237866-0.0215002j -0.0331598+0.0193263j 0.0128969+0.0316143j 0.0565021+0.00927591j 0.0318715+0.00961588j -0.0204233-0.0178385j -0.00959534-0.00886168j -0.0223501-0.0131493j 0.00605365+0.00552839j 0.0124977-0.0289979j 0.0214008-0.0184954j -0.0101506-0.0124065j -0.0248045+0.0117967j 0.00737926+0.0256162j 0.0048429-0.0168563j -0.00411193+0.00274375j 0.00724542+0.0294567j 0.00240199+0.00182929j 0.0104007-0.010812j -0.01404+0.0110776j -0.0235762-0.0314996j -0.0227613-0.0025034j 0.0180786-0.00891741j -0.0247631+0.0138455j -0.000219431+0.0179032j -0.0104288-0.0214032j -0.0264145+0.0131931j 0.0106683-0.00621533j -0.0198399+0.0135304j 0.0348807-0.0333237j 0.0227321-0.00603002j 0.0277184+0.0146836j -0.0222463+0.0063533j -0.00366072+0.00207982j -0.0101553+0.00424312j -0.000831754-0.0346786j 0.0188595+0.0413676j -0.00738421+0.0139421j 0.03633-0.0020431j -0.0335211-0.0434167j -0.00832649-0.00557581j -0.0111166-0.013107j 0.00963619+0.02612j 0.0397969-0.0332508j 0.00854857-0.0366534j 0.0162189+0.0111966j -0.035366+0.0493966j -0.0099304+0.0300722j -0.0265633+0.006342j -0.00265375-0.020199j 0.0160038-0.00575406j 
