-0.201705-0.207668j -0.235623+0.21254j 0.0948508+0.0892589j 0.0290303+0.107938j 0.0330578+0.0489854j 0.163123-0.0087738j -0.0974+0.170774j 0.0341047+0.0333048j 0.248153+0.0459831j -0.117519-0.181994j -0.0546085-0.243729j 0.0532652+0.098547j 0.0959495+0.0393021j 0.0570267-0.0310239j -0.131184+0.259922j -0.243974+0.123466j 0.371896+0.210444j 0.170227-0.326576j 
0.00440566-0.053534j -0.0507699-0.00271588j 0.00100574-0.00528495j 0.00822252+0.00489871j -0.00275933+0.00489983j 0.00660777+0.0188197j -0.0710877-0.00810369j 0.0145111+0.0302235j 0.00765437+0.0661897j -0.018439+0.00886867j -0.0253053-0.0695569j -0.0185185+0.0292461j -0.0460658+0.00861221j -0.0218463-0.0165001j -0.0542891+0.0657874j -0.0572513-0.0241186j 0.0564855-0.0697068j -0.0769642-0.0469182j 
-0.0529853-0.00723763j -0.00485901+0.0591418j -0.0181956+0.0130857j 0.0143046-0.034529j 0.0445003+0.0330334j 0.0071509+0.0173435j -0.00279786-0.0119931j -0.0623336+0.0336693j -0.0278796-0.0344016j -0.00655504+0.000691057j 0.0168205+0.0170205j 0.00956158-0.0169844j 0.0206766-0.00982822j 0.0182384+0.00695029j 0.0183105-0.0239713j 0.00930244+0.00611152j -0.00793511+0.0397754j 0.0322873+0.00323695j 
0.0187574-0.00898288j -0.00376489-0.0272695j -0.0223135-0.0163077j 0.00265969-0.0157121j -0.00736953-0.00858377j -0.020586+0.00640348j -0.028068-0.0283929j 0.0301063+0.00953858j -0.0180227+0.019352j -0.0334855+0.0450103j -0.0237026-0.0270856j -0.01276+0.0116464j -0.0418925-0.00162975j -0.030478-0.0179561j -0.00309404+0.0112917j 0.0180866+0.0160745j -0.00280463-0.0216969j -0.00103056+0.017488j 
0.0159901+0.0161724j 0.010789-0.0173594j 0.0310642-0.012589j 0.00135865+0.0114503j -0.00975787+0.000735773j 0.00681446-0.0148463j -0.00889647+0.00671878j -0.0180911+0.00251443j -0.00306417+0.0111691j 0.00257623-0.00867924j -0.00532848-0.00777087j -0.0152703+0.00367246j -0.00557881+0.000437697j 0.000541736-0.0093413j -0.0190928+0.00653082j -0.0113707-0.0313658j -0.0255045-0.0283077j -0.0410658+0.0172619j 
0.00667646+0.017165j 0.0184863-0.00531279j -0.0195268+0.00794457j 0.018233-0.0272076j 0.0164274+0.0209164j -0.00643299-0.0263245j 0.0162139+0.0072585j 0.0126879-0.0174035j 0.00178251-0.016847j -0.00894929+0.0284948j -0.0263626-0.0141517j -0.0210166+0.0057095j -0.00237601-0.00250951j -0.0100098-0.0198052j -0.0332618+0.00323323j 0.0221859-0.0508069j -0.0258551+4.39303e-05j 0.00608905+0.0159606j 
-0.012407-0.0152137j -0.013808+0.0160422j -0.0129866-0.00431509j -0.0108724+0.0146276j -0.0197964-0.0297524j -0.0038007+0.0282775j 0.00590938+0.000738205j 0.0120893+0.00606043j 0.00110913-0.00313146j -0.0102361-0.00049971j 0.0077338-0.00467315j -0.00143077-0.00502209j 0.00628493+0.00273477j 0.0036792-0.00250622j -0.00442439-0.0119887j 0.0106689+0.00832041j 0.00531473-0.0052348j -0.00273945+0.0005708j 
-0.00540066+0.00346733j 0.0074116+0.0113471j 0.0228661-0.0450337j 0.00446211+0.0388293j -0.0172103-0.0138238j 0.0125195+0.0165006j -0.00932392+0.00882675j -0.0234101+0.0180794j -0.00993395-0.00913524j 0.000791193+0.0304774j -0.0426023+0.00243039j -0.00796133+0.0173818j 0.0022608-0.000399875j -0.0271832-0.00950172j -0.0185315+0.0092745j 0.0101876-0.0140036j -0.00122259+0.0221443j 0.0247222-0.00305864j 
0.034388+0.00516236j 0.0038798-0.0210689j 0.0296239-0.0116421j 0.0109855-0.00117568j 0.0245291+0.0273104j 0.000974909-0.0136937j -0.0339761+0.00180874j -0.0110792+0.00186033j 0.0101917+0.0254037j 0.0152907+0.0181762j -0.0028871-0.0125071j 0.0124325-0.00677728j -0.015554+0.006308j -0.00561299+0.0120172j 0.0220962-0.0283149j 0.0248908+0.0360388j 0.00450393-0.00426223j 0.00476094-0.00244523j 
-0.00477489+0.00069649j 0.000667966+0.0218852j 0.00331412+0.0131809j 0.00119482+0.0140328j 0.0106674+0.0148644j 0.00260744+0.0140113j 0.0267569-0.00108246j -0.0133001+0.00466404j 0.0264865+0.0112318j 0.0264025-0.022785j -0.0034434+0.0165334j -0.0253113-0.00911596j -0.025517-0.0152322j 0.00738106-0.015338j -0.00699379+0.0105638j -0.00390708-0.0124888j 0.0110969-0.00945926j -0.00165177+0.00596122j 
0.0107506-0.00247971j 0.00216607-0.0166421j -0.00221631-0.00866897j -0.00693364-0.00452691j -0.0049924-0.00501267j -0.00655134+0.00182596j -0.0179678-0.00849139j 0.00919692-0.00131823j -0.0145738+0.00723708j 0.000426349+0.00532664j -0.00219699+0.00897657j 0.014721-0.0155751j -0.0137118-0.00630897j 0.0121181+0.0201918j 0.00373892+0.0104271j 0.0106744-0.0118803j -0.00777822-0.0176641j -0.0138775+0.000944406j 
-0.000332438-0.000350108j 0.0102825-0.00692849j -5.7348e-05-0.00886827j -0.009717+0.0109636j 0.00981304+0.000458791j -0.00205388+0.0102604j -0.0149935-0.0182999j 0.00846028-0.00553825j -0.00654815-0.00383886j -0.00794191-0.0112476j 0.00299066+0.0199507j -0.00154605-0.025622j -0.0274825-0.00622881j 0.0262586+0.00607975j 0.0135196+0.0166546j 0.0118967-0.018775j -0.0168533-0.0162651j -0.00138244+0.00847994j 
0.0069176+0.000209105j 0.00675819+0.0212721j 0.00294013+0.00410321j 0.00716952+0.0153364j 0.0197646+0.00967488j 0.000667324+0.0156609j 0.0103565-0.00686284j 0.00405025+0.00227984j 0.0134818-0.00401334j 0.00440575-0.000405405j 0.0076909+0.000124856j 0.00660356+0.00384764j 0.00574679-0.00674502j -0.00144354+0.0046379j -7.28534e-05-0.00122612j -0.0114435-0.000762345j 0.00398731+0.00389858j 0.00627029+0.000369632j 
-0.0116487-0.012912j 0.00191287-0.000423208j -0.00340112-0.00151425j -0.00484799-0.0016117j 0.0034481+0.00681049j 0.009617+4.68818e-05j -0.0106822-0.00830933j 0.00376286-0.00312972j -0.0113533-0.00726464j 0.00843374-0.0103909j -0.0108613-0.00385575j -0.010265+0.00310791j 0.0417995+0.00769349j -1.93872e-05-0.00954717j -0.0127874-0.00231595j -0.00755798+0.0115352j 0.00178104+0.000403687j -0.00673493-0.00641129j 
0.007017-0.0128051j 0.00240358+0.00394662j 0.0198083+0.00275402j -0.00782353-0.0213139j -0.0216628+0.0135771j 0.00856535-0.00072176j -0.00453509-0.013088j 0.00667685+0.0174465j 0.00539301-0.000138728j 0.00427175-0.0124935j -0.017863+0.0122272j -0.0170414-0.00786577j 0.0165716+0.012103j 0.0120621-0.0113071j -0.000885002+0.0181595j 0.00754745+0.00562749j 0.0073141+4.41281e-05j 0.00925277-0.00330663j 
0.00230238-0.00166276j -0.00735424+0.00208923j 0.00625618+0.00954604j -0.00419346-0.0228263j -0.0194877+0.00238874j -0.0015111-0.00810658j 0.00872504+0.00361325j -0.00664856+0.0147274j -0.0015468+0.00691802j 0.00470594-0.00560803j 0.00357949-0.00472856j 0.00256917+0.00854919j 0.0198074-0.00278529j -0.00702536+0.00226121j -0.00858968-0.00735989j -0.000860258+0.0118393j 0.0029821-0.00215038j -0.0123147+0.006112j 
-0.00419995-0.00152524j -0.000734305-0.00178299j -0.00312992+0.00638159j -0.000708567+0.000583447j 0.00259391+0.00522507j 0.00184402+0.00413409j 0.00424926-0.0128296j -0.00311372+0.00259234j 0.00847393+0.00537544j 0.0128477-0.0135014j -0.00836331+0.0130512j -0.0218336+0.0118059j -0.00603208+0.00123984j -0.0180949-0.0140253j -0.000219329-0.00277047j 0.0144886+0.0172723j 0.00842755-0.00556169j 0.00863214+0.00198848j 
-0.0150423-0.0171386j 0.00827924-0.00136957j 0.0130624-0.0164656j -0.0216172-0.0133212j -0.0157623+0.0108263j 0.0101528-0.00905297j 0.00401431+0.00606994j 0.00420537+0.0014774j 0.00264977-0.0104257j 0.00192976+0.00875037j 0.0141566-0.0145087j 0.0151748+0.000147583j -0.0269879-0.0053887j 9.43564e-06+0.00810718j 0.00729971-0.00337751j -0.00974634-0.00674541j 0.00191235+0.00341479j 0.00471304-0.0040777j 
-0.00548182+0.00221468j 0.00474088-0.0085754j -0.0148238+0.00429502j 0.00685448+0.0127695j 0.0180621-0.00935764j 0.00181221+0.00374736j -0.000705181-0.00696829j -0.00357139-0.0148696j -0.00736896+0.00129536j 0.0144793-0.00848186j 0.00265792-0.00462351j 0.00401492+0.0170699j 0.0175904-0.0164604j -0.0232878+0.00625202j -0.015136-0.0189517j 0.00276305+0.0189222j -0.00645894-0.00936474j -0.0139176+0.0101223j 
