0.11175+0.215466j -0.209542+0.11221j -0.000126971+0.255889j 0.322598-0.131054j -0.0386555-0.142522j 0.187279+0.072584j -0.102169+0.175845j -0.291028+0.0406989j -0.168719-0.201517j 0.0634314+0.136381j 0.0105316+0.0692625j 0.228627+0.286351j 0.230676-0.242836j 0.0164853+0.267215j 0.217594-0.0591757j -0.0706146+0.082999j -0.113246-0.102102j 0.0588552-0.0109222j -0.0662316-0.0585584j 0.0242507+0.0235401j -0.0580575+0.0278057j 0.00651245+0.0545536j -0.0240746-0.0545909j -0.0249185+0.0427614j -0.0398268-0.0827412j -0.0841612+0.0425449j 
-0.202666-0.168068j 0.150261-0.194813j 0.0352541+0.0953446j 0.172429-0.059309j -0.0648138+0.0539575j 0.0908828-0.0134342j 0.129144+0.0395127j -0.0499531+0.0889317j -0.0577764-0.107388j 0.0421027+0.0956204j 0.0785346+0.0526842j 0.0218691+0.0896637j 0.0962634+0.0406918j 0.0216731+0.0511245j -0.0809647-0.048434j -0.021951+0.163951j 0.125082-0.0703977j 0.0798429+0.00813115j -0.0266179+0.234575j -0.0996518+0.0321199j -0.136152-0.0163515j -0.00323471-0.153122j -0.216524-0.0180585j -0.00407514+0.0979555j 0.182256+0.251579j 0.257405-0.194152j 
0.09469+0.125597j -0.114544+0.095424j 0.00623833-0.0593725j -0.0992943-0.00200429j 0.0290517-0.0407906j -0.0386951-0.000235185j -0.0901919-0.0344244j 0.024371-0.0268768j 0.022015+0.057717j -0.0106881-0.0408018j -0.0539914-0.0440102j 0.0429455-0.0212295j -0.0200645-0.0693779j -0.0632965-0.0202216j 0.0567376+0.0847057j 0.0221834-0.109769j -0.103655+0.021249j -0.0514899+0.0137672j 0.0324259-0.155346j 0.0869229+0.0294482j 0.0895511+0.00760106j -0.0138889+0.12356j 0.125926-0.0332j -0.0775134-0.016989j -0.14824-0.0942183j -0.103119+0.155253j 
0.00766481+0.0273297j -0.0335135+0.00615502j -0.0275664+0.00559557j 0.00448507+0.036541j -0.0152842+0.0117358j -0.00383346+0.00393886j 0.0228584-0.0175993j 0.0129257+0.0126631j -0.012125+0.0134093j 0.0109042+0.0116128j 0.0106447+0.0150375j -0.0178606+0.00362034j -0.000735732-0.0236163j 0.0262541-0.029402j -0.027556-0.0382762j -0.0283425+0.00687294j -0.0190197-0.0048152j -0.00279084+0.0208121j -0.00851697+0.00436695j -0.00622491-0.0326808j -0.0141067+0.0282163j 0.0275411+0.0221326j 0.0367712-0.0299269j -0.0457045-0.0316267j 0.0261005+0.011319j 0.00308357-0.0360982j 
-0.0293202+0.00537406j -0.00476974-0.0266244j 0.0371109+0.0217537j 0.021106-0.0297071j 0.0219205+0.0177929j -0.0135936-0.00799961j 0.0230547-0.0374066j 0.0210395+0.00947642j 0.00117781+0.00661432j 0.0142168-0.0243335j 0.0464593-0.00239383j -0.0175389-0.0142385j -0.00613189+0.0410967j 0.000520371+0.0414583j -0.00256144-0.0173845j -0.0272539-7.62613e-05j -0.0162522-0.00145682j -0.00482597+0.0469453j -0.0137022+0.0120153j 0.0154523-0.01344j -0.0108554+0.0174228j 0.0446991+0.0231452j 0.0321392-0.0543311j -0.0391633-0.0357195j 0.0321851+0.0226633j 0.0268832-0.0244648j 
-0.021693+0.017003j -0.0156343-0.0196036j -0.0135753+0.0290939j 0.0179171+0.0273479j -0.0177353-0.0122202j -0.0150651-0.0286426j -0.0203574+0.0153219j -0.00190834-0.000934063j 0.0346658+0.0446192j -0.0361329+0.00578338j 0.0357533-0.0476714j 0.0424799+0.00940934j -0.0195386-0.00976154j 0.0242512+0.00914952j -0.0121717-0.00492874j -0.00534833+0.00971111j -0.0189401+0.009914j -0.00132923+0.0239907j 0.00565875-0.000254381j 0.00184632-0.0155106j -0.00538324+0.0126014j 0.0298082+0.00950416j 0.0300822-0.0246396j -0.00960947-0.0167268j 0.0115728+0.00200424j 0.00144912-0.0048334j 
0.0141381-0.01835j 0.0211299+0.0112717j 0.0155901+0.0120257j -0.000642943-0.0123984j 0.0353441-0.00665213j -0.00321932+0.00468095j -0.0194315+0.00916984j -0.00233187-0.0182802j 0.0192328-0.0102496j 0.000448575-0.0211117j 0.00122839-0.000358071j 0.0132664-0.01545j -0.00579705+0.00108705j -0.0112741+0.000128209j 0.0148671+0.0517338j 0.0272049+0.0234105j 0.00304092+0.00340625j 0.0298036-0.0331639j 0.0162936-0.00967088j -0.0187705+0.0253966j -0.00322286+0.00782046j -0.0392066-0.0272287j -0.0432834-0.00286159j -0.01829+0.0304021j -0.0288436-0.00317006j 0.000836503+0.0155786j 
-0.0246206+0.00715817j -1.9989e-07-0.0201941j 0.0272499-0.0205589j -0.0125077-0.0326332j -0.00975571+0.00478287j 0.0122158-0.00859956j -0.0123023-0.0193342j 0.00512886+0.0250996j -0.0016635-0.00640643j 0.0141073+0.0127032j -0.0165633-0.00775983j 0.0332939+0.0240879j 0.0271651-0.0130491j -0.0645563+0.00104631j -0.0169501+0.0396192j 0.0165766-0.0214248j -0.0239453+0.0162438j -0.0155619+0.0179276j -0.00700935+0.0012052j 0.0224999+0.0546979j 0.0282324-0.0168945j 0.00225045+0.0136841j -0.010447-0.0264754j -0.0143194+0.0193128j -0.0122855+0.0315345j 0.0324814+0.0300604j 
0.0181515-0.00590436j -0.000216619+0.0145255j -0.0237525-0.0233103j -0.0125681-0.000290021j -0.0137468+0.0080333j 0.00876205+0.0054859j -0.0105446+0.0227203j -0.00681175-0.0178781j -0.0058339-0.00104879j 0.00464284+0.0127175j -0.0248315+0.00725559j -0.00350063+0.00296405j -0.00331095+0.00814652j -0.00462778+0.0123111j -0.00942063-0.00126301j 0.0140368+0.00538624j 0.0171287+0.0210811j 0.00668627-0.0276101j -0.0128886+0.00321463j -0.00679618+0.0152232j 0.0121922-0.00893751j -0.0208402-0.0202453j -0.0137221+0.0221105j 0.0335321-0.0216891j -0.000418846-0.0272849j -0.0191166+0.0100753j 
-0.0368502-0.0299362j 0.0280648-0.0352391j 0.00552322+0.0191874j 0.00733195+0.001363j -0.0230684+0.000172627j -0.00221648-0.0192876j 0.00640997+0.00182504j 0.0102229+0.00507677j -0.0165022+0.00133593j -0.00945701+0.023078j 0.018907+0.00887348j -0.00961359-0.0137634j 0.0123993+0.01847j -0.00250042+0.00618152j -0.0256061+0.0182717j 0.0221783+0.015316j 0.0157302+0.0348637j -0.0139217+0.00303445j -0.0124041+0.0557431j 0.00539908+0.0369028j 0.00747874+0.00580742j -0.00167567+0.00189998j -0.0506393-0.0154986j -0.0423947-0.0135685j 0.0335248+0.0348641j 0.0476423-0.0385853j 
0.00786511+0.00385791j -0.00309129+0.00683789j -0.00721775-0.00707464j 0.0219872-0.0160398j -0.00833466-0.0180633j -0.00665724-0.022057j -0.00454798-0.0305879j 0.0184519-0.00938107j -0.0111061-0.0171997j -0.0232956+0.00846512j 0.0110745-0.00715966j 0.0136315-0.00136783j -0.0174799+0.00536289j -0.00650062-0.00237046j -0.000826678-0.019825j 0.00748952-0.0173948j 0.0306577-0.0217292j -0.010192-0.0198707j -0.00852459+0.0239417j 0.0198156-0.012566j -0.00797568-0.046276j -0.0224819+0.0068988j -0.00137495-0.0109107j -0.0113084+0.00611755j 0.000798602-0.00765441j -0.00757878+0.00370923j 
