-0.0203935+0.00883423j 0.00479958+0.015829j 0.0106432-0.0266592j 0.0220082+0.0218155j -0.012739-0.0162835j 0.0199308-0.0117027j 0.0144557+0.0498697j 0.0298384+0.00408753j -0.0150627+0.00515886j 0.0149213+0.00782218j -0.0202223+0.0176582j -0.0180637+0.0153613j -0.0173555-0.00322542j -0.00769043+0.00919888j -0.026664-0.00611742j 0.00483332+0.00767701j 0.00942952+0.00972071j 0.00310223-0.00887494j -0.00687682-0.0107888j 0.00178227-0.0135911j -0.0107113-0.006495j 0.00675364-0.00262707j -0.0187989-0.010255j 0.00635669+0.0104394j -0.0121242+0.00201609j -0.00368051+0.0143168j -0.00486422-0.00838618j -0.00174516+0.000932757j 0.0279551+0.000478049j -0.0168411-0.0179638j -0.00485932-0.00466609j 0.0254057-0.00116461j 0.00741569+0.00554375j 0.00392876-0.000224227j -0.011441-0.00663896j -0.00235065-0.00153726j -0.00753794+0.00733973j -0.00155991+0.00825158j -0.00304356+0.000315134j -0.0028489+0.0012875j 0.00216577+0.00532799j 0.0061323-0.0019334j -0.00289941-0.0113567j -0.00378049+0.00265052j 0.00947764-0.00557229j 0.0111392+0.0046056j 0.0144907+0.00565128j -0.0171247+0.0184271j 0.00158772-0.00116015j -0.000263047-0.00325696j 0.00226232+0.00469983j 0.00138511+0.00265321j -0.00182874+0.0133349j -0.0113615-0.00484979j -0.0140753+0.00185644j -0.00497055+0.0148346j 0.0101657+0.00363563j -0.0018274-0.00764876j -0.00219261+0.00564868j -0.00107139+0.00969359j -0.00220081+0.0122695j 0.00546183+0.00819958j 0.00623356+0.011261j -0.0038471-0.0150172j -0.000554962-0.0112197j 0.00365417+0.015207j 0.005739-0.0111726j -0.00379438+0.00942778j -0.0177179-0.0147342j -0.00198481-0.00129746j -0.012347-0.00325276j -0.00337658-0.00830961j -0.00638567-0.00705431j -0.0037859+0.00708634j 0.0143323-0.00665342j -0.0030644-0.0109884j 0.00527801+0.00471518j 0.00570729+0.0108324j -0.0013361+0.00988889j -0.00863802-0.0154506j 0.0236839+0.0112381j -0.01952-0.0129138j -0.00853197+0.007724j -0.0179383+0.0129609j 0.0113709-8.77424e-05j -0.0155242-0.030402j -0.0112315-0.0150767j -0.0592515-0.00894453j -0.0171068+0.0142788j 0.0230914+0.0270931j 0.0242547+0.00173088j 0.00455987+0.0220947j 
-0.00272129+0.0165823j 0.0194693-0.00366106j 0.00648811-0.0201514j 0.00782327+0.00533869j 0.0355898-0.00884134j -0.000827325-0.0181607j -0.00548439+0.00867173j 0.00213406+0.0012837j 0.00721957+0.0068626j 0.0126877+0.0149082j 0.0149548-0.0343175j -0.00507289+0.0136873j -0.00295408-0.0202678j 0.00723335-0.0122453j 0.0111851+0.00169375j 0.00734541+0.0101916j -0.0012717+0.00458042j -0.0118921-0.00159984j 0.00413388-0.00285456j -0.00581333+0.0143504j -0.0132405+0.0122806j -0.00683241-0.00577309j -0.00775921-0.000944903j -0.0159399+0.0170443j -0.00152426+0.0119871j -0.00993488+0.0106516j -0.00128116+0.0134514j 0.0115742+0.0144947j -0.00547171+0.00711829j -0.0111542+0.00332272j -0.00305062+0.0141371j -0.00613493-0.00677104j -0.000787407-0.00108296j 0.000449119+0.00779031j -0.00461133+0.00343145j 0.00229346-0.00195715j -0.00643597+0.00995462j 0.00903998+0.000723337j 0.00541855-0.0015436j -0.000222588+0.00873245j -0.00501983-0.00841359j -0.00569951-0.0107412j -0.00619078-0.00781269j 0.000752767+0.00134151j 0.00549098-7.05491e-05j -0.00066936-0.00202111j -0.0074671-0.0197218j 0.00452948-0.000754613j -0.00437248+6.50721e-05j 0.00821797-0.0126909j -6.61408e-05+0.00405395j -0.00456205-0.00683178j 0.00842959+0.00292979j 0.00604773+0.000629972j 0.00330493+0.00644876j 0.00676466+0.00202316j 0.00314483+0.0010296j -0.00966888+0.00577299j 0.010714+0.00832046j -0.00452422-0.00646541j 0.0296564-0.00147661j 0.00778495+0.00488991j 0.00689988-0.021045j 0.0174361-0.00688262j 0.00306726-0.00817767j 0.00325989-0.0084579j 0.00268894-0.013508j 0.0119841-0.00851695j 0.0131433-0.00741265j -0.0201883+0.00725496j -0.00184765+0.0155395j -0.0110409+0.00597044j -0.00716312-0.00291922j 0.00446479+0.0147449j 0.00491594+0.0045461j 0.0152083-0.00817905j -0.00493643-0.0139984j -0.0228473+0.00871005j -0.013194-2.70741e-05j 0.0175818-0.0113386j 0.0102945+0.01856j 0.00629707-0.0012315j -0.00310191+0.0129467j 0.00887597-0.0138024j 0.00887591-0.00536918j 0.015994-0.0402514j -0.0122746-0.00749858j 0.0235493-0.0428556j -0.0086895+0.0110048j 0.00333474+0.0206775j 0.00290299-0.0192796j 0.0180496+0.0041297j 
-0.00285862+0.0181367j 0.0225842-0.00917166j 0.0273049-0.0268411j 0.0164859+0.0245108j 0.0382097-0.00817376j -0.00384608-0.015384j -0.0192277+0.0269152j 0.0245003+0.00847459j 0.0155958+0.0216715j 0.00699097-0.000550425j 0.0067985-0.00712156j -0.0214541+0.0104723j 0.00181463-0.0123628j -0.00364955-0.00199365j -0.00415793-0.0108522j 0.0100493-0.00497703j -0.00532088-0.00140352j -0.00780926-0.00850858j -0.0059214-0.0070589j -0.00835273-0.00698528j 0.00462396+0.017241j -0.00478572-0.00304221j 0.00108538+0.00459792j -0.00873661+0.00233231j 0.00093919-0.00226786j 0.0186583+0.00392073j -0.00541898+0.00722612j -0.00778118+0.00336476j 0.00266486+0.0184571j -0.00675247+0.0150389j -0.00166245+0.00449674j 0.00119857-0.0187705j 0.00724156+0.0163541j 0.0113361+0.00435971j 0.000107361+0.00934964j 0.00503105-0.000280635j 0.00806618+0.0110693j 0.0108885+0.00278919j 0.00755669-0.0035936j 0.00952918+0.0101624j 0.00626006+0.00305695j 0.00228199+0.00140295j -0.00262543+0.00438514j -0.00350064-0.00676856j 0.00158716-0.0100331j -0.00385368-0.00535949j -0.015404-0.0108659j 0.0224541+0.0088537j -0.00575602-0.00566885j -0.00068935-0.0031664j 0.00830767+0.00248542j 0.00309563+0.00615969j 0.00400991-0.00759552j -0.00451042+0.00411886j 0.00370127+0.0121345j 0.0072085-0.00158665j -0.00550758-0.000611156j -0.0137326+0.00657419j -0.0127162-0.00599274j -0.00622922+0.0068559j 0.0153946+0.000958427j -0.00499864-0.00498157j 0.0166876-0.0210657j 0.0208934+0.000568555j -0.00167337+0.0133514j -0.00192756-0.0175107j -0.0100974+0.00264896j 0.00610896-0.00932233j 0.00536164-0.000346824j -0.0140635+0.00458571j 0.015738+0.00733681j -0.0128359+6.39538e-05j 0.00693082+0.0173114j -0.00168671+0.000489634j -0.00732547-0.012657j 0.000363206-0.00385229j 0.0248724-0.00863235j -0.0189158-0.00101883j -0.00536306-0.0206431j 0.00905425-0.00234123j 0.0160435+0.016414j 0.0327514+0.01683j -0.0263323-0.00579396j 0.023772-0.00118704j 0.0407964-0.00325627j 0.0155151-0.0366954j -0.00803713-0.00359242j 0.00836941-0.0216771j -0.0338577+0.0201095j 0.0256122+0.0328863j 0.00179181-0.00736337j 0.0115229-3.01418e-05j 
0.0230502-0.012026j -0.00828991-0.0180531j -0.00584872+0.0231549j -0.0131935-0.0126353j 0.00224403+0.0230914j -0.017945+0.00966087j -0.0108648-0.0454847j -0.0162684-0.00141959j 0.0114797+0.00368866j -0.0159713-0.0205551j 0.0211558+0.0109339j 0.0104545-0.00922511j 0.0190723+0.0166821j 0.000996719-0.00180339j 0.0193394-0.00413196j 0.00287333-0.0169253j -0.0181059-0.0142751j 0.00285157-0.0045098j -0.00899014+0.0178687j 0.000986597+0.0055664j 0.0106603-0.000291037j -0.00494216+0.00907458j 0.024726+0.0164035j -0.00171484-0.0121202j 0.0125237-0.00428346j 0.0070598-0.00863399j -0.00316295+0.00189658j -0.00770007-0.00584154j -0.0223391+0.0114229j 0.0217585+0.0187864j 0.00478627+0.000119618j -0.0293982-0.00219559j -0.0110462+0.00543741j -0.000241275-0.00294929j 0.0165703+0.00809107j 0.00497102+0.000416412j 0.0103333-0.0136893j -0.00509917-0.010805j -0.00639665-0.000188043j 0.0124398-0.00137325j 0.00120594+0.000492835j -0.00643163+0.00642355j 0.00352296+0.0151444j -0.00245853-0.00325947j -0.00844246+0.00171031j -0.0106726-0.00159719j -0.0231578+0.00515765j 0.0117318-0.0179324j -0.00585324+0.00122887j -0.00379441+0.00699681j 0.00223057-0.0104739j -0.00498126+0.00437303j -0.00501952-0.0167875j 0.00739484+0.00771187j 0.0129945-0.00384019j -0.00326085-0.0191798j -0.0062324+0.00223995j 0.00638756+0.00689794j -0.00388066-0.0087928j 0.00058574+0.00657369j -0.012881-0.0121049j -0.00200008-0.00912479j -0.0103114-0.00228445j -0.00116094+0.0127487j -0.00272965+0.0229157j 0.00010634-0.0106654j -0.0084227+0.00433933j -0.00717851-0.00550529j 0.00281021+0.0147644j 0.0165286-0.00275375j 0.0155143-0.0096481j 0.00834595+0.0103002j 0.011443+0.0127952j -0.0112578-0.0189442j -0.02027-0.00949154j -0.011238+0.0183486j 0.00396883+0.0157046j -0.00105199-0.00176619j -0.00258215-0.0138821j -0.00149853+0.0292353j -0.0181265-0.0136832j 0.0160105+0.0276195j 0.000689024-0.0198624j 0.0172871+0.00950006j -0.0104487+0.00387533j 0.019449+0.0285676j 0.00419507+0.0164199j 0.0523058+0.00387113j 0.0250668-0.0131989j -0.0133492-0.00607069j -0.0199815+0.0116562j -0.0112151-0.0172717j 
-0.00044088+0.00582753j 0.0100008-0.000233216j -0.00713265+0.00425268j -0.00410646-0.0112645j 0.024915+0.00680525j -0.00121628-0.00879728j -0.00511568-0.0103227j -0.016499-0.00150925j -0.00116124-0.0109588j -0.00170033+0.0207904j 0.0153672-0.0366158j 0.00538417+0.00567652j -0.00240921-0.0236558j 0.0138672-0.0141072j 0.0124488+0.00872936j -0.00234254+0.0181272j 0.00415633+0.00785983j -0.0111127+0.00813303j 0.00956573+0.000234494j -0.00990394+0.0155369j -0.0153992+0.00237675j -0.00253819-0.00699306j -0.00453657-0.00589353j -0.00916365+0.0132524j -0.0118355+0.00977096j -0.0142773+0.00215879j 0.000935882+0.00654401j 0.0143584+0.0229382j -0.00894739+0.00055296j -0.00775345+0.000660395j 0.00115464+0.0100515j -0.00691145-0.00265412j -0.0041004-0.0128607j -0.00187418-0.00242592j -0.00674487+0.00603018j -0.00241588+0.00832486j -0.0111423+0.0135174j 0.00771632-0.00251051j 0.000886413-0.00440556j -0.00328685+0.00759652j -0.0130474-0.0137909j -0.0112898-0.0116771j -0.0081529-0.0108266j -0.00404764+0.00743823j 0.00720546+0.0086333j 0.0121329+0.00147611j 0.00469229-0.0204438j 0.00600228-0.00169948j -0.00894356+0.00147512j 0.0110409-0.00908859j -0.000966329+0.00416684j -0.00865205-0.0105154j 0.0169662+0.00349208j 0.00274826-0.00128572j 0.00406872+0.00282573j 0.00572546-0.00256133j -0.000678853+0.00181068j -0.00675339+0.00467313j 0.0167981+0.00251814j -0.00618291-0.0167802j 0.0297739-0.01538j 0.0027905+0.00317108j -0.000712354-0.0105321j 0.00207383+0.0063058j 0.0110696-0.00733135j -0.00855452-0.00290415j 0.0103537+0.00039436j 0.0117907-0.00738407j 0.00964886+0.00205976j -0.0185146+0.00877849j -0.00558992+0.0198975j -0.00513743+0.00670703j -0.00513715-0.00778746j 0.0152348+0.0143572j 0.00600976+0.0170654j 0.0151117-0.0121679j -0.0224223-0.0134878j -0.0122341+0.000531412j -0.00472223+0.00249092j 0.00879887-0.0104711j -0.00334334-0.00152293j -0.00338506-0.0197184j 0.00546543+0.0127778j 0.00598024-0.0215424j -0.0148471+0.0163488j 0.00125911-0.027511j -0.00992211+0.00311343j 0.00921048-0.038542j 0.0111924-0.0224312j 0.00540208-0.00210562j -0.000200067-0.0119114j 0.0139141-0.00396507j 
0.00805491+0.00445849j 0.00808288-0.00360996j -0.0190234+0.0150656j -0.0210853-0.0215696j 0.0130658+0.00546266j -0.0054982-0.00850205j -0.00413552-0.0250097j -0.020937-0.00272075j 0.00925807-0.00698058j -0.00104028+0.0100669j 0.0263266-0.0263167j 0.0155065+0.00400428j 0.000135369-0.00841222j 0.00963184-0.0223357j 0.0160009-0.00236113j -0.00620847+0.0139579j -0.00401623+0.00546299j -0.0153845+0.00797424j -0.000610634+0.0127294j -0.0145788+0.0260077j 6.7172e-05+0.0020878j -0.00790326-0.0116238j 0.00776464+0.0104552j 0.00016742-0.00144249j 0.00072379+0.00434802j 0.011818-0.000321064j -0.00422719+0.00743426j 0.0122393+0.0219067j -0.0241483+0.0158971j 0.00375084+0.000216562j -0.00266538+0.0126443j -0.00880783-0.00571667j -0.014257-0.00849531j -0.00854192+0.00618198j 0.00234399+0.0068466j 0.00559912-0.00014529j 0.000220589+0.00879157j 0.00294573-0.00775664j -0.00899673+0.000312008j 0.0024526+0.00885227j -0.00358962-0.0119109j -0.0220786-0.0126827j -0.00951909+0.00181756j -0.00228023+0.00598843j -0.00216621+0.00819371j -0.000755655+0.0134454j -0.00463442-0.0094736j 0.0302828-0.0158475j -0.0112489+0.00299599j 0.00785176-0.00887889j -0.00158808+0.00672204j -0.000962202-0.00381429j 0.0179404-0.00739742j 0.00894309+0.00697672j 0.0143898+0.0011377j 0.0139107-0.00370942j -0.00454375+0.00789291j -0.0060407+0.00894755j 0.0219435+0.00570149j 0.00630884-0.0129236j 0.0197216-0.00893246j 0.00253555+0.00610405j -0.00423582-0.026181j -0.00424742+0.0107121j 0.0149318-0.00253158j -0.00335886-0.00646144j -0.00661264+0.00274436j 0.00146198-0.010316j 0.0107806+0.00816296j -0.00607391-0.000717131j -0.00441846+0.0152868j -0.0115005+0.00720811j 0.00649948-0.0171747j 0.00368508-0.00543596j -0.00198308+0.00590605j 0.00688557-0.0115078j -0.00769559-0.0249677j -0.00357867-0.00486451j -0.0058063-0.00641674j 0.0118759+0.00572264j -0.0131541+0.00169623j 0.0114452-0.0184024j -0.000708424+0.0133019j 0.00921174-0.0218763j -0.0265718-0.000698682j 0.0260093-0.00660758j -0.00382051+0.00431985j 0.0318297-0.0215475j 0.0149298-0.016892j -0.0268988+0.00110009j -0.0199463-0.0111635j 0.00721238-0.00736284j 
-0.00696371+0.0223712j 0.0255458-0.00529865j 0.0263106-0.0250198j 0.0107836+0.0204191j 0.0394203-0.0114786j -0.007231-0.0119689j -0.0203574+0.0225631j 0.0174667+0.00557174j 0.0164307+0.0107757j 0.00579935+0.00999197j 0.00394938-0.0166475j -0.0169445+0.0110892j -0.0014125-0.0204647j 0.00380374-0.00873538j -0.00128316-0.00155824j 0.00431451-0.000658536j 0.00421528-0.0016101j -0.0107573+0.000982308j 0.00241592-0.013396j -0.0117431-0.00371344j 0.00803396+0.0218895j -0.00322993-0.00410704j -0.00324947-0.00411047j -0.00269946+0.00908869j -0.002901+0.00050239j 0.0162229+0.00173946j 0.00194422+0.0116015j -0.000877008+0.0095281j 0.0038932+0.0138436j -0.0101373+0.00886988j 0.00292698+0.00615852j 0.00139705-0.0113737j 0.00888102+0.0114208j 0.00963027+0.00726547j -0.00290645+0.00763422j -0.00161492+0.00235825j 0.00312281+0.0159999j 0.012188+0.00519002j 0.0087053-0.00340866j 0.00282469+0.00981723j 0.00068088-0.000288035j -0.00159136-0.0049942j -0.00207952+0.00168214j -0.00393803-0.00187274j -0.000682091-0.0100362j -0.000860809-0.0137633j -0.0101341-0.0156385j 0.0185184+0.00872593j -0.00532466-0.00127577j -0.00218279-0.0101126j 0.00793989+0.00123696j 0.00370115+0.00145045j 0.0131555-0.0104051j -0.00862172-0.000972242j -0.00114901+0.0142828j 0.0101759+0.0074389j -0.0046364-0.00141779j -0.0198178+0.00533786j -0.00472848+0.00393544j -0.00672044+0.00244407j 0.0230353+0.00374465j -0.000219914-0.00253784j 0.0213094-0.0205271j 0.0257422+0.0112549j -0.00231929+0.000603833j 0.00279375-0.00779676j -0.0214483-0.00451971j 0.00336631-0.00583895j 0.00749616-0.00332047j -0.0231808+0.01344j 0.00455594+0.0111959j -0.0149078-0.00951381j 0.0020069+0.0150434j 0.00773736+0.0171835j -0.00538285-0.00653103j 0.0248262-7.79422e-05j 0.0165207-0.017088j -0.0194852-0.000867612j -0.00742635-0.0153687j 0.00935873-0.0185314j 0.0107711+0.00978607j 0.0231547+0.00231144j -0.00600391+0.0136652j 0.0141652+0.00338989j 0.0197563-0.0113104j 0.0178679-0.051121j 0.00910562+0.00216078j 0.00467418-0.0091948j -0.0296141+0.0323376j 0.0165643+0.0251249j -0.0060972-0.015957j 0.0152467+0.00511008j 
0.0201273+0.00319616j 0.00695042-0.0230371j -0.00355489+0.0206968j -0.0204968-0.0146957j 0.0337418+0.0360901j 0.0308861+0.00023157j -0.0213087-0.00197207j -0.0185605+0.00829184j 0.0215811-0.00379721j -0.0154737-0.012476j 0.00622882+0.00509683j -0.0203951-0.0146657j 0.0198133+0.0169851j -0.0131865+0.00558427j 0.0224578-0.0158691j -0.00900348-0.004996j -0.0116696+0.0232338j -0.0230886+0.0168236j -0.0142877+0.0153675j -0.00558298+0.00888995j 0.0236667-0.00100797j -0.0125884+0.00868363j 0.0351854+0.01632j -0.006078-0.00720131j 0.0130063+0.00150784j 0.0336864-0.00128749j -0.00083509+0.00153335j -0.00632004+0.00144296j -0.0169567+0.0187435j 0.0117794+0.0128519j -0.00219589-0.00454335j -0.015965-0.00761163j 0.00247934-0.0015756j -0.00208562+0.00614781j 0.0167031+0.00649169j 0.0154188-0.000386177j 0.0131867+0.00287506j 0.00924763-0.0136953j 0.00569815-0.00352547j 0.0117261+0.0157647j 0.00691741+0.0102108j -0.00823746+0.00067824j 0.00650964+0.0172458j -0.0181777-0.00316557j -0.0053716-0.00568843j -0.0139137-0.00810864j -0.0200924-0.00480949j 0.0209897-0.00930455j 0.0126362+0.000601161j -0.00439952+0.0065826j 0.00359211+0.00708252j 0.00246537+0.00879894j -0.00893613-0.0162884j 0.00158491+0.00404162j 0.00116669-0.000533591j 0.00267781-0.00791766j -0.000309644-0.00109851j -0.000579366+0.014253j -0.00239708-0.0160302j -0.008334-0.00948073j -0.00586471-0.0177483j 0.00177444-0.0241128j 0.0103509-0.0219132j 0.00975501+0.00669161j 0.00550769+0.0156121j -0.00383757-0.0285633j -0.00808379+0.0101885j -0.00809241+0.017031j -0.00700591+0.00855978j 0.00787779-0.000634943j 0.0186671-0.00237235j 0.00794281+0.0100351j 0.00481616+0.00943075j -0.00986839-0.0111583j 0.00928962+0.00313311j -0.00268974-0.0258288j 0.00566018-0.00521693j -0.00334707+0.00183668j 0.00133343-0.0250571j -0.000631081+0.0123375j 0.0090707-0.0196639j 0.0334715+0.0242226j -0.0286474-0.0067194j 0.0219788+0.00196731j 0.00612821-0.00852343j 0.027318-0.013566j -0.0475631+0.00705038j 0.0273661+0.0378858j -0.001122-0.0117597j -0.0121466-0.0291009j -0.0143896+0.0053437j -0.015438-0.0244568j 
0.0141556-0.013276j -0.01756-0.0080155j -0.0272739+0.0220858j -0.0205064-0.0343762j -0.0124175+0.0231286j 0.0285084+0.00999359j 0.0145223-0.0199058j -0.027237-0.00582478j -0.00304405-0.0158609j -0.00289565-0.0115538j -0.00243925+0.00817368j 0.0141889-0.0152063j 0.0136751+0.0248245j -0.00534632+0.00837107j 0.0176038-0.00593934j -0.00726158+0.00204442j -0.0107945+0.0162564j -0.00376694+0.00556105j -0.0104175+0.0274226j 0.0120702+0.0239247j 0.00276293-0.0234698j -0.00430329+0.0118659j 0.0143758+0.00760389j -0.00851253-0.002317j 0.010738+0.00784427j -0.00665437-0.00689199j 0.00884432-0.00391834j 0.00577322-0.00175163j -0.0190381-0.00900213j 0.0155302-0.00426947j -0.00145346-0.00697636j -0.0173824+0.0158344j -0.0048447-0.0133275j -0.0163526-0.00886095j 0.00422981-0.00975407j 0.00196378-0.00551929j 0.00310152-0.00488604j -0.0069526-0.00765927j -0.00605168-0.0028657j 0.00116855-0.0055456j -0.00260685+0.00274557j 0.00115488+0.00160481j 0.00557365+0.00277669j 0.000532035+0.00189974j 0.00199871+0.00757478j -0.0045034+0.00731919j 0.00968554+0.00291298j -0.00793222-0.0152563j 0.0176894+0.007134j -0.000523086+0.0116822j -0.00577545+0.00209827j 0.00131889+0.0063697j -0.00636626+0.015266j 0.0170888-0.00571167j 0.00567361-0.0184413j -0.0022229+0.00531625j 0.00513473+0.0062974j 0.0160614-0.00476954j 0.0084015-0.00911366j 0.0125087-0.00186014j -0.00777832-0.00481781j 0.00650234-0.00720079j -0.0123088+0.00278716j -0.019457-0.0103329j -0.00113376-0.00991968j 0.0054941+0.00441772j 0.027652-0.00371249j 0.00213357+0.00813998j -0.00171111-0.00534756j 0.0209831-0.00814969j -0.00364199-0.0123606j 0.00865462+0.0127627j -0.00562755-0.00377301j -0.0223484-0.0193806j 0.00638541+0.00660602j -0.0137588-0.0166411j -0.0265517+0.00363598j 0.00256477+0.0127677j 0.00320434+0.00692396j -0.00419212+0.0222903j -0.0162604-0.0111255j -0.0165911+0.0172999j 0.0104267-0.00916824j -0.00785529-0.00552227j -0.0224243+0.00509829j -0.00530272+0.0125078j -0.0163036-0.00457623j 0.0169931+0.0375575j 0.0355549-0.0413924j -0.0174216-0.0352972j -0.00578503+0.019641j -0.00483197-0.00792569j 
0.00515704-0.0101782j -0.0116991+0.000935485j -0.00187295+0.0211j -0.0167161-0.000162035j -0.0301794-0.009641j -0.0165517+0.0137665j 0.00268419-0.00889507j 0.00594873-0.000151058j 0.00367222+0.013177j -0.00243326-0.0123701j 0.00262046+0.0173833j 0.00987384-0.0160862j -0.00611151+0.00823413j -0.0024039-0.00307642j -0.00802526-0.00391768j -0.0169121-0.0160263j -0.00405608-0.0161005j 0.00957038+0.00533832j 0.00935483-0.00536992j -0.00144684-0.0160229j 0.0126332+0.00263686j 0.00176503-0.00615152j -0.000764086+0.00412755j 0.00992609-0.0202848j 0.00789727-0.0096353j 0.0248432-0.00773319j -0.00520829-0.0048185j -0.00701991-0.0177272j -0.00343757+0.00720951j 0.0133678+0.00557241j -0.00420357-0.00733342j 0.0169859+0.000828415j -0.00571727+0.00539392j 0.00197189+0.00674889j 0.01021-0.00162802j 0.0119238-0.00606129j -0.000358202-0.0140898j -0.00704102-0.0010811j -0.00420665+0.00315853j 0.00573057-0.00178372j 0.0113394+0.0052483j 0.000413842+0.00425885j -0.000666805+0.0115338j 0.000145446-0.00773981j -0.0157774-0.0100145j -0.0153212+0.00561537j -0.00385582+0.0252386j 0.0186716+0.00389326j -0.00483117-0.00683068j -0.00718053+0.00599379j 0.0059582-0.00370927j 0.00256249-0.00142016j -0.00595245-0.0133312j -0.00533351+0.00577716j 0.00380604+0.00245681j -0.0111476-0.00403424j -0.0122071-0.00236075j 0.00188774+0.00495191j -0.0078803-0.00292316j -0.00176241-0.00642501j -0.0325819+0.00204349j -0.0131454+0.00242834j -0.00234406+0.00514845j -0.00804503+0.00851097j -0.00603276+0.00428613j -0.00782255-0.00735634j -0.0307622+0.0111854j -0.00765928-0.00357602j 0.000726873+0.00617507j 0.01091-0.00422063j 0.0186734-0.00997698j -0.00904184-0.00279938j 0.00410122-0.00151775j 0.00079237-0.0198461j -0.00385542-0.0190185j -0.0123894+0.0152816j 0.0206378-0.0106834j 0.0151134-0.0238103j 0.000516364-0.00592407j -0.0109777+0.0157223j 0.00012487+0.00643969j 0.0138245-0.0132356j 0.00011862-0.00420246j 0.00860398-0.0172822j -0.0134064-0.00545606j -0.000577875+0.0481931j 0.0173855+0.00548754j 0.00752924+0.0207062j -0.00922858-0.0172898j 0.00939994-0.000857302j -0.00179516+0.0194466j -0.00436084-0.0111474j 
-0.0125168-0.00597455j -0.0113177+0.0191322j -0.0228478+0.0185505j -0.0175261-0.0155312j -0.0353379-0.029041j 0.0157163+0.0101463j 0.0156099+0.0251083j -0.00992269+0.00199646j -0.0035446-0.0217327j -0.00311992+0.00357336j -0.019515-0.00502303j 0.0113088-0.0105809j -0.0112688+0.00775495j -0.0104407+0.00520135j -0.0193291-0.0022139j -0.0207004+0.0178259j 0.0199343+0.0231525j -0.00154094+0.0226552j 0.014542-0.0153709j -0.00318142+0.00499082j 0.0112487-0.0116077j -0.00380841-0.0159613j -0.00663424-0.00275653j 0.0193039-0.015321j 0.000417295-0.0157125j 0.0243405-0.00970759j 0.00226671-0.0138712j 0.0041596-0.00962511j 0.00797685-0.0138247j 0.00307453-0.0241672j -0.0109472-0.00641594j 0.0394929+0.00303058j 0.00319926-0.00836828j -0.0185846+0.00913724j -0.00863357-0.00607585j 0.00323536-0.00395013j 7.90364e-05+0.00107984j -0.00249701+0.00498631j 0.00292697+0.00411836j -0.0225615-0.00474826j 0.0122389+4.82381e-05j 0.00859877+0.00305815j -0.00460477-0.00811996j 0.00370403+0.000176448j -0.00802425-0.00407038j -0.00627853+0.0150135j 0.0277142+0.00535948j 0.00669708+0.00322161j 0.0153313+0.00583223j 0.00222931+0.00741363j -0.0148383+0.0150083j 0.0165544-0.00697437j -0.000496239+0.00287088j -0.00420388+0.00189017j -0.0112158-0.0125324j 0.00183472+0.0106213j 0.00353087-0.00739765j 0.00590114-0.0132874j -0.00488623-0.00279727j 0.00685583-0.0167728j -0.0210384+0.001222j -0.0129076+0.0045762j 0.00657633+0.00479699j -0.0138475-0.0117917j 0.0133647-0.0211454j -0.00939147+0.0068958j 0.000294937+0.0121117j -0.00470882+0.00690877j -0.00267537-0.000917606j 0.0089048-0.0149551j -0.000944652-0.00296121j -0.000941272-0.00840846j -0.0063585-0.0256382j 0.00362162-0.0221997j 0.013429+0.0125282j -0.00674159-0.0177472j -0.00277049-0.0230285j 0.0248588-0.0173646j 0.0273201+0.0152263j -0.00817083-0.015347j -0.0204639-0.00769205j -0.0068517-0.0323077j -0.00869402+0.0115383j 0.000694496-0.0191169j -0.0236032+0.00278728j -0.0104174+0.0385952j -0.00669449-0.0134824j -0.0305219+0.0370101j 0.0123973-0.0136797j -0.0193693+0.000566206j -0.00760941+0.00827391j -0.00852583+0.00586604j 
