0.119961+0.175849j 0.185663-0.125964j -0.0318205+0.0619031j -0.0515961+0.039477j 0.0827736-0.0653486j -0.0854809-0.0994843j 0.0843726+0.124613j 0.053252-0.131213j 0.101-0.0670142j -0.0358736-0.0360797j 0.103891+0.0910177j 0.0520006+0.0652384j -0.126447+0.153668j 0.0391878+0.0544437j -0.106024-0.102402j -0.0211023+0.0856902j 0.067363-0.0564638j -0.0898034+0.0549935j -0.0329213+0.0244413j 0.0802863-0.0492964j 0.0662966-0.0337028j -0.15523+0.0203269j -0.0131204-0.00648294j -0.0177506+0.017608j 0.0253505-0.0302234j 0.066982-0.058782j 0.0494146+0.00434622j -0.0949899-0.120132j -0.167334-0.0655282j -0.019009-0.140106j -0.104299+0.0640339j -0.0770332-0.15545j -0.339799-0.00615023j -0.0241958+0.338132j 
-0.0176864+0.171193j 0.181703+0.0291967j -0.0412195+0.0920164j -0.0128345+0.0299066j -0.0613129-0.0225132j -0.0506325-0.0299995j 0.0330771-0.0202646j 0.0151733-0.05575j 0.0165427+0.0131004j 0.0322056-0.0125513j -0.00850666-0.040146j -0.0241046+0.0780951j 0.176056+0.0171056j -0.1934-0.172229j 0.0283018+0.205639j 0.150064-0.284699j 0.0638231-0.036629j 0.0679253-0.070199j 0.189164-0.0697191j 0.16951-0.0962194j -0.0607899+0.0302783j 0.165947+0.0147202j -0.00297773+0.116013j 0.102027+0.06991j -0.21275-0.0765385j 0.0957505+0.0364888j -0.127861-0.111965j 0.0546236+0.124757j -0.145263-0.0484636j -0.0823703+0.377706j 0.301173+0.090806j 0.0895508-0.143576j -0.0909717-0.0748632j -0.0791061+0.0784698j 
-0.0473263-0.110591j -0.119189+0.0496337j 0.0242987-0.0255221j 0.0371617-0.0054667j -0.0643938+0.0173293j 0.0458031+0.0657499j -0.0281945-0.0843919j -0.0271376+0.0687972j -0.0614738+0.0451086j 0.022435+0.0179411j -0.0220087-0.089387j -0.0183153-0.0208893j 0.120117-0.0560674j 0.00110782-0.0328315j 0.025068+0.0647476j 0.0124432-0.0332471j -0.0216064+0.0195408j 0.0328129-0.043407j 0.00768861-0.00966269j -0.0632464+0.0121521j -0.0478161+0.00701602j 0.121027-0.0251785j 0.0231062+0.0103909j 0.0172633+0.00364835j -0.0224834-0.00966566j -0.0351362-0.00489462j -0.0278577-0.031755j 0.0759847+0.0644404j 0.113982+0.0844032j 0.00330332+0.0713133j 0.0422467-0.0609521j -0.00724077+0.129105j 0.145029-0.0904828j -0.0759601-0.139695j 
0.0336299-0.0653626j -0.0714278-0.0357844j 0.00811998-0.0134058j 0.0123835-0.0059913j -0.00574915-0.012256j -0.00416508+0.00796183j -0.0042453-0.0226079j 0.00469836+0.0303561j -0.0424093+0.0108989j 0.0106756-0.0308831j -0.0192129-0.0268134j 0.0149421-0.0175407j 0.00498987-0.0703616j 0.0195662+0.000414849j -0.000242387-0.0456959j -0.0533433+0.0549553j -0.00425561+0.00865285j -0.00945534+0.00133591j -0.0515414+0.029728j -0.0769792+0.024228j 0.00342465+0.00691057j -0.0135265-0.0219511j 0.0159823-0.00227208j -0.0228933-0.00364183j 0.0568583+0.0304521j -0.0630066-0.0287993j 0.0111895+0.0204836j 0.0274421-0.0442288j 0.0583058+0.046946j -0.0211261-0.0710121j -0.0612377+0.0171977j 0.013271+0.0670165j 0.0652151-0.0192365j -0.0217171-0.0887822j 
0.0142228+0.0347025j 0.0319946-0.0131982j 0.0168391-0.0239781j 0.0174303+0.0281423j -0.0208248-0.0129526j 0.0340077+0.0454368j 0.0532173-0.0191272j 0.00742677-0.0245748j -0.0203519+0.00967642j 0.00351499-0.0278066j -0.00220195-0.00170874j 0.00287914+0.00525407j 0.00512649-0.018564j -0.0191442-0.0108607j -0.00142121-0.00793994j -0.0135912-0.00427107j 0.0112922-0.0067664j 0.00329544-0.0089521j 0.00303318+0.0106543j -0.0101986-0.000716172j 0.000868977+0.00693019j 0.000142746-0.00357633j 0.00992386+0.0260553j 0.000387337+0.0111209j 0.00472367+0.00246797j -0.0142699-0.00113798j -0.00685302-0.00632369j 0.00906176-0.0109525j -0.00705066+0.0086312j -0.0283279+0.0107145j 0.00776774+0.0239906j 0.0142903+0.00380707j -0.00335305-0.015153j -0.0181763-0.00133991j 
0.0259223+0.0310517j 0.0357406-0.017886j -0.0176666-0.00348494j -0.00781051+0.000479446j 0.0144091-0.0152268j -0.00363427-0.000208192j 0.00228482+0.0140214j 0.00460791+0.0142794j -0.0175681-0.00989196j 0.00280444-0.023888j -0.05081+0.0308625j -0.000264114-0.0239193j -0.017096-0.0307183j -0.0285673+0.0108317j 0.0200619-0.00579292j -0.0211882-0.0197549j -0.0225811-0.0249687j 0.0140493+0.0243367j 0.00821087+0.0238725j -0.0058886-0.00114762j 0.0181316+0.011858j -0.0476395+0.018465j 0.00462511+0.0167267j -0.00799363-0.00390168j 0.00921231+0.0386844j -0.0194644+0.0215684j -0.0125416+0.0252755j -0.0186268+0.00285358j -0.0241477-0.00536087j -0.0511293-0.00627181j 0.00296144+0.0515492j -0.0082565+0.0102707j 0.000702719+0.000610848j -0.000769183+0.0217857j 
-0.0611502-0.00933668j -0.0187507+0.0434553j 0.0235051-0.0187946j 0.00244072-0.00455068j 0.0132433+0.0405799j 0.0138886-0.0115596j -0.0325977-0.000924532j -0.024554-0.0158405j 0.0172974-0.00868143j -0.0161132+0.0429395j -0.0147723+0.0440816j 0.00115822-0.010236j -0.0420929-0.000387138j -0.000236941+0.0011445j 0.0215801+0.0138492j 0.013565-0.00748527j -0.0284835-0.00685112j 0.00764855+0.0194863j 0.0173551-0.0261619j 0.0395428+0.00502149j 0.00220137-0.00357291j -0.0166324+0.0105201j -0.0166751-0.0366948j 0.00565436-0.0308078j -0.00308748+0.0112804j 0.014421+0.0295542j -0.010394+0.026381j -0.0222705+0.0180668j -0.0258466-0.0332759j 0.0314031+0.0120756j 0.0131287-0.000162117j 0.00730626-0.0286073j 0.0479362+0.0591928j 0.0581148-0.0488679j 
0.0101201-0.0124592j -0.00753172+0.00551019j -0.0105907+0.00258864j -0.0173407-0.00822576j -0.00801831+0.000553697j 0.00504221+0.00680645j -0.0144613+0.0124958j -0.00883879-0.00117336j 0.0111006-0.00180558j -0.00704207+0.0153646j 0.00937896-0.00741887j -0.00545457+0.00438253j 0.000969028+0.00568369j 0.00194077+0.0112099j -0.00388793-0.00882956j 0.00187876+0.00110549j 0.00533164-0.00937358j 0.00881942+0.0135573j 0.00381651-0.00430499j 0.00508603+0.0117808j 0.00507106-0.00126906j -0.0108782+0.0087635j -0.00480009-0.000519215j -0.000749115+0.00902037j -0.00298028-0.0134406j 0.0200927+0.00805874j 0.0102607-0.00348415j -0.0258276+0.00356881j 0.0354855-0.0244822j 0.0259344-0.0130199j -0.0125978-0.0473581j -0.00263365+0.0110691j 0.0200707+0.0151085j 0.00822445-0.0100219j 
-0.0187891-0.0258397j -0.020612+0.012283j 0.00657681-0.000113929j 0.0160961-0.0213098j -0.0123844+0.00213154j 0.0155424+0.0169101j -0.000436999-0.0158905j -0.00833861+0.0229143j -0.032879-0.0145023j 0.0167125-0.0109979j 0.00404892-0.000554581j 0.019691-0.0150661j 0.0200734+0.000955888j 0.0016834-0.0001128j 0.0110918+0.0219946j -0.000684619-0.0200671j -0.0213377-0.00785188j 0.0205996+0.0139459j 0.0195933-0.00598676j 0.00629369-0.000710836j -0.00206291+0.020807j -0.00832398+0.0286662j 0.000251279-0.00875761j -0.00200097-0.00530237j -0.00942624+0.0234894j -0.0170668+0.0055936j -0.0267924+0.0181544j -0.0110983+0.00050832j -0.0074092-0.0261367j 0.0261049+0.0362941j 0.0091185-0.00828727j 0.0537776+0.0210664j 0.0434429-0.0127706j 0.00384204-0.0425767j 
-0.0014972-0.0116881j -0.0172776+0.00403871j 0.0148628-0.0308275j -0.00267657+0.0275304j 0.00737933+0.0108968j -0.0190831-0.000778862j -0.00779459-0.00644285j -0.0122573+0.00478595j 0.00530446-0.00671986j -0.0108165+0.0122208j 0.00649832-0.00175383j -0.00918779-0.00898138j -0.00839099+0.0143892j 0.00866663+0.0208018j 0.00480425+0.00180733j -0.0212846+0.0143219j -0.0310139-0.00673917j -0.0323174-0.00321495j -0.014959-0.0378962j 0.00251843-0.00619176j -0.0101293-0.00119569j 0.00334022-0.0189367j -0.00267465-0.0113564j 0.00869801-0.0285211j 0.0111747-0.0120339j -0.00352802+0.00912829j -0.00579416+0.0208484j -0.000631283-0.022728j 0.00354568+0.00304228j -0.0116318-0.00317195j -0.00652487+0.0315522j 0.0199271+0.0286873j 0.0211865-0.00350702j 0.000918924-0.0154058j 
0.0110159-0.0122824j -0.00726504-0.00390174j -0.00597322+0.00788296j -0.0134861-0.00572344j -0.00672086-0.00395882j 0.0141293+0.0114136j -0.0139761+0.0120694j 0.00745472+0.0114625j -0.0147274-0.00347925j -0.0128182-0.00289301j 0.0051976-0.000386699j 0.0224441-0.00829699j -0.00341376+0.00858401j 0.00866856+0.0340577j 0.0159923+0.00259789j -0.0198342+0.00344587j 0.0082891-0.00777466j -0.0558571-0.0130154j -0.0248627-0.0274322j 0.012863-0.00125666j -0.0233765-0.012146j 0.0232383-0.0470012j 0.000155516+0.00563085j 0.0189647-0.0213561j -0.00221183-0.0340289j 0.0198674+0.0251734j 0.0226411-0.0199174j -0.0159405-0.0124997j -0.00119064+0.0107199j -0.0206571-0.0202024j -0.0109708+0.030004j 0.0135828-0.00530351j 0.014645+0.00715484j 0.0104932-0.0146679j 
