-0.005868+0.00630025j 0.0204147+0.00504882j 0.0015172+0.0032189j 0.0053083-0.000123339j 0.0063844+0.0143887j 0.00631862+0.0176805j 0.0151311-0.00260728j 0.00857856-0.0048908j -0.00274874+0.000428835j 0.0056444-0.00300663j 0.00505583-0.00175209j 0.00142121-0.00372685j 0.00759987-0.00543209j 0.00901594+0.0051775j -0.00640545+0.0165932j -0.00781498+0.0126549j -0.00243991-0.0036265j 0.00378332-0.00656106j -0.0112122+0.000247143j -0.00282723-0.00206843j -0.00661369+0.00927171j -0.0018443+0.0130457j -0.00070731+0.0043142j 0.0118156-0.0104953j 0.00211647-0.00706863j -0.00112815+0.000358619j -0.000479951-0.00448365j 0.00718779+0.00289404j -0.0190484+0.000579845j 0.0162905+0.00181342j 0.00181328+0.00477035j 0.00273786+0.00433195j -0.0065994+0.00694694j 0.00490819-0.00914395j 0.000228273+0.00976467j -0.00419714-0.00428689j -0.0156396-0.00529809j 0.012316+0.0381812j -0.0321832+0.0290016j -0.0246732-0.0211032j 
-0.0183639-0.0345772j -0.0016541-0.00909793j -0.0163585+0.00233643j -0.0116456-0.0100381j 0.00555513+0.0095931j 0.0296839-0.00232105j -0.0190646+0.0149405j -0.00537704+0.00346488j 0.000700256-0.0154099j 0.00193408+0.0284789j -0.00851405+0.00573094j 0.0147606+0.00599806j -0.0120881-0.0147297j 0.0147452+0.0107832j -0.012749+0.00762836j -0.00827899+0.0208238j -5.67954e-05+0.0190297j 0.00342053+0.0049094j 0.0149619+0.00209621j 0.0103684-0.0201996j -0.0236759-0.00275868j -0.00454905-0.00570296j -0.0222221+0.00195578j -0.0050019-0.011824j 0.0282825-0.00620199j -0.00605768-0.0278103j 0.0158195+0.0143207j -0.000942266+0.00130418j 0.0019659-0.0119392j 0.0161361-0.000881081j 0.0125004+0.00121141j -0.0036776+0.00729237j -0.0210944+0.00199314j 0.00168812-0.00662412j -0.00228913-0.00768679j -0.00265299-0.0100567j 0.000964463-0.0041534j 0.00854904+0.0125504j -0.00827313+0.00971657j -0.00394552-0.00698151j 
-0.0228475-0.00663548j 0.0164529-0.0226147j -0.0273223-0.000654j -0.0220136+0.0164598j -0.0198953+0.0214524j 0.00968668-0.00425579j 0.00231422+0.0199964j 0.0124838-0.0326504j 0.01145+0.0168669j 0.0078279+0.0240446j -0.0196808+0.0203219j 0.0250749+0.00634103j 0.000774372+0.00472468j -0.00738555-0.00482719j -0.00309937-0.000863887j 0.0232798-0.00775544j -0.00500773+0.00122612j 0.0156391+0.0023948j 0.0237661-0.00344656j 0.017483-0.00961369j -0.00143067+0.00768493j 0.00462124-0.0131382j -0.0123534+0.0194388j -0.0106314-0.000859795j -0.0062945+0.00219272j -0.0153813-0.0168262j 0.0235886+0.0195412j 0.00169461+0.000401076j -0.00044427+0.0106137j -0.00728711-0.0018691j -0.00259279+0.000511159j -0.00198801-0.00870949j 0.0136622+0.00262522j 0.0027892-0.00466674j 0.00194239-0.00152296j 0.00986854+0.00710179j 0.00115007+0.00366002j 0.00281882-0.00661241j 0.00791459-0.00746292j 0.00155822+0.00421573j 
-0.00943054+0.00833894j -0.027228-0.00697374j -0.026844-0.00978097j -0.00527336+0.0367289j -0.00328941-0.00105661j -0.0168574+0.0149168j -0.00090503+0.0298582j 0.000954781+0.0041566j -0.0199973+0.0268148j 0.00959255-0.0135233j 0.00993469+0.00863969j -0.000369616+0.00881089j 0.0228172+0.00314089j -0.0171025-0.00640202j 0.00583879+0.0127496j 0.00361035+0.00198221j -0.00396473-0.00275235j 0.00420184+0.00175157j 0.00325557-0.0110626j 0.00270966-0.00491591j -0.0110314+0.0164511j -0.0177713-0.00519995j 0.000330483-0.0125205j 0.000910005-0.0170254j 0.00258124-0.00271976j 0.00106919-0.00554745j 0.00272842-0.00963264j -0.016681-0.00108663j -0.0117803+0.00693721j -0.0274502+0.00414945j 0.013848+0.00142005j -0.00412813-0.0168867j 0.00272788+0.00423191j 0.0152653-0.00235693j -0.00298192+8.27975e-05j 0.0166656+0.00863521j -0.00850362+0.0119463j 0.0106405+0.0211718j -0.0149753+0.0139575j -0.00625783-0.00511874j 
-0.00949258-0.00499322j -0.01306+0.0201814j 0.00321778+0.0146689j 0.0107349+0.0107192j 0.0153584-0.00285784j 0.002062+0.0164586j 0.00964603+0.00664845j 0.0165104+0.00169988j -0.0094574+0.00161157j 0.000793009-0.0109499j 0.00560067-0.0143244j -0.00867235+0.00332834j -0.0098583+0.00173306j 0.00644845+0.00109451j 1.83753e-05+0.00896326j -0.00201007+0.0125351j 0.0049421+0.0341589j -0.0156778+0.00239996j 0.000613046-0.00716307j -0.0134122+0.0127986j -0.0120664-0.00443592j -0.00444304-0.00173105j 0.00951067-0.0217184j -0.0174268-0.00160477j 0.0107726-0.00549074j 0.000719764+0.0180679j -0.00931791+0.011153j -0.0135629+0.00064323j 0.00313066+0.00700794j -0.00874491-0.00256397j -0.000940738-0.00777625j 0.00866766+0.00646678j 0.00886923+0.00156714j 2.59993e-05-0.00848013j 0.00608188+0.00818916j 0.026722-0.00794177j 0.00636945+0.0107956j 0.0151065-0.00607727j 0.0152154-0.00481353j -0.000430577-0.00220249j 
-0.0112165-0.000513558j -0.00720717-0.000870087j 0.00434318-0.000212643j 0.00603661+0.0197756j -0.0151038+0.00059092j -0.00582338-0.00905944j -0.0130061-0.00354326j 0.0105934-0.00187134j -0.00168469-0.0134483j 0.0100946-0.013578j 0.000639912-0.00746472j -0.0114884+0.00866159j 0.000783381-0.000277305j -0.00637291-0.00594331j 0.00419092-0.00388446j -0.000893416-0.0215228j -0.0084935+0.00955322j -0.00242888+0.00431667j -0.00118132-0.0139529j -0.00294796+0.0266891j -0.0046573+0.0118045j 0.0245907+0.0128317j 0.00808731+0.0196191j -0.00260883+0.0244322j -0.0190579+0.0089782j -0.00986204-0.00341398j -0.0165102-0.00437157j 0.0291637+0.00816889j -0.010394+0.00367128j -0.00133165-0.000661499j 0.00116196+0.00167083j -0.0056651+0.0145034j -0.00999149-0.0123057j 0.00918905-0.0214423j 0.00933066-0.000112074j -0.010259+0.00556679j -0.00517679+0.0221727j 0.0155526+0.0138702j -0.0224636+0.00371834j 0.0100807-0.0129853j 
-0.00660676-0.00414425j 0.0029467+0.0137098j -0.00060158+0.0130789j 0.01922+0.00296738j 0.00595569-0.01161j 0.00482138-0.00460754j -0.00205986+0.00632001j -0.0115468-0.010212j -0.00145927-0.0224522j -0.000863853-0.0151197j -0.0018824-0.00922952j -0.0112446+0.0234409j 0.00290002-0.0190693j 0.00160676-0.00353463j 0.00657128+0.00573207j 0.00895934-0.0171839j -0.00486519+0.00154077j -0.00120417-0.00569239j -0.01212+0.00559986j 0.00278382+0.00798344j 0.00413163+0.0127995j -0.00794092+0.00731698j -0.00595442-0.00357528j 0.00496176+0.00763057j 0.00349351-0.00891183j 0.00425925-0.0253417j -0.0144955-0.00959245j 0.00164695+0.002704j -0.0016863-0.00431665j 0.0109754-0.00832474j 0.00918903+0.000527276j -0.00293107+0.0119164j -0.00587589-0.0148268j -0.0092503+0.00646422j -0.00327426+0.00785922j -0.0244191-0.01597j -0.0205474+0.00914793j 0.021445+0.00971442j -0.0157394+0.0206251j -0.00887596+0.0065651j 
0.00525765+0.0011987j 0.00995788-0.00215391j 0.0108124-0.000339886j -0.0193865-0.00126775j 0.0219889-0.00460011j 0.0135469+0.0196667j 0.00926087-0.00234856j 0.00386493-0.00970503j 0.00321107-0.00713153j -0.00435082+0.0100826j -0.0226798-0.00439942j 0.000190254-0.0115306j -0.00505371+0.00812722j -0.00242294+0.0061527j -0.00521486-0.0365229j -0.000423632-0.0124178j -0.00241461+0.00811897j -0.00191168+0.0034548j -0.00157371+0.0183106j -0.00476641-0.0242333j 0.00439075+0.00981129j -0.00605436+0.00250901j -0.00205304-0.000462593j 0.00985495-0.018462j -0.00808736-0.00730364j -0.0115717+0.00184636j -0.00108801-0.0109534j -0.0133575+0.00544106j -0.00471748-0.00198804j -0.00642835-0.00641504j -0.0053175+0.00177727j 0.00338075-0.013286j 0.00172097+0.00332015j 0.00868746+0.00699783j -0.00860117+0.00952385j -0.0118547+0.0139054j 0.0102143+0.00823557j -0.0009864-0.000836848j -0.0117216-0.0132692j 0.0119525-0.00622945j 
0.0291372+0.00359707j -0.00769555-0.0102028j -0.0217859-0.0061932j -0.0154708-0.00119015j -0.00176568-0.00165007j 0.00642739-0.0102661j -0.0227445+0.00117232j 0.00430784+0.00999597j 0.010158+0.00986709j -0.0115869+0.0169996j -0.00270978+0.00681757j -0.00569243+0.00935726j 0.00142593-0.00278237j -0.0111838-0.00765911j 0.00335533-0.00576338j -0.0113013-0.0050145j 0.0141109+0.0233414j -0.0101769+0.0203005j -0.0010894-0.00669635j -0.00590327-0.0108005j 0.00189446+0.0130328j 0.0195104-0.00321248j -0.00215327+0.0081415j -0.001781+0.00147961j -0.00156297+0.00465944j -0.0175505-0.0166064j -0.00953492-0.0310763j 0.0078409+0.00145243j -0.00168011+0.00492348j -0.00714393-0.000311745j 0.0135823+0.00191857j -0.0227247+0.0081108j -0.00655418-0.00564915j -0.00527085-0.0184462j -0.0158862-0.00241375j -0.0162403+0.00109138j 0.0021385+0.0128613j 0.0258493-0.000124121j -0.0221065+0.0114238j 0.00742551-0.0206118j 
-0.00145609-0.00051081j -0.00216142-0.00145373j -0.0060299-0.00280098j -0.00123184-0.0160834j 0.00983085-0.021578j 0.006626+0.0146132j 0.0136021+0.0047918j -0.0197215+0.013304j 0.000512997+0.0119947j -0.00326925+0.00285845j 0.0129093+0.0100933j 0.00358859-0.0124828j 0.0015179-0.0114015j 0.00128908+0.011955j -0.000993323+0.00516628j 0.00657423+0.0212109j 0.000105997-0.0233845j -0.000106157-0.0101331j 0.00725676-0.00883783j 0.00584027+0.00972689j -0.007733+0.00744021j 0.0186662+0.00952058j 0.00977808+0.0155568j 0.000158994+0.00737493j -0.0077043+0.00052899j 0.00907138+0.000831879j 0.00267478+0.00894341j 0.0174687+0.00504318j -0.0044592+0.000950948j 0.00545227-0.000458329j -0.00574504+0.00679068j -0.000163528-0.00320724j -0.00493245+0.0130639j 0.0104795-0.0167267j 0.00706671-0.0125793j -0.00705654+0.0106933j 0.0064778-0.000335707j -0.010668+0.00149379j -0.00225563-0.00518046j 0.0101855-0.00956413j 
0.0132581-0.000593413j 0.0118813-0.0011125j 0.00717396-0.00474233j 0.0154466+0.0133541j -0.00967687-0.00133533j -0.00265514-0.0056824j 0.0140006+0.00611846j 0.000759133-0.00312937j -0.0166863-0.0192729j 0.0010848-0.0147433j 0.0116444+0.00862898j -0.000666801+0.0246391j -0.011801-0.0300076j 0.00547752+0.00100594j -0.00259502+0.0239602j 0.0229721-0.00155054j -0.0133711-0.000893612j -0.00875567-0.0240841j 0.0136495-0.000392799j 0.00652611+0.00842767j -0.00407739+0.00153489j -0.00612625-0.00248904j 0.00140357-0.00429193j -0.0100333+0.0130315j 0.0191822-0.00386271j 0.00461116-0.0313247j 0.000874653+0.0163148j -0.00956006+0.000780007j 0.00482636-0.00635437j 0.0116204-0.0126335j -0.00289222+0.00487803j -0.0096325+0.00306932j 0.00735173-0.0111105j -0.00807037+0.00659136j -0.0089011+0.00942571j -0.00640105-0.0127889j 0.0048519-0.00291066j 0.00393741-0.0234198j 0.000805435-0.000174787j -0.000915697-0.00674474j 
