-0.588638-0j -0.0144169-0j 0.824574-0j -0.0735336-0j -0.00169798-0j -0.0525349-0j 0.072094-0j 0.0904375-0j -0.0464775-0j -0.00670845-0j -0.00103914-0j -0.000149987-0j -0.0428676-0j -0.00618741-0j 0.0415974-0j -0.000742399-0j 0.00600406-0j -0.000107156-0j 0.0600496-0j 0.00866742-0j 0.038568-0j 0.00556681-0j -0.0346205-0j -0.0061201-0j -0.000510008-0j -0.000758406-0j -0.000134068-0j -0.030293-0j -1.11724e-05-0j -0.0201953-0j 0.0293953-0j -0.00535509-0j -0.00357006-0j -0.000699501-0j -0.000446257-0j 0.00519641-0j -0.0124952-0j -0.000297505-0j 0.040008-0j 0.000433034-0j -0.000123656-0j 0.021001-0j -0.00220886-0j -1.03046e-05-0j 0.00707247-0j 0.0372567-0j -0.000184072-0j 0.00371249-0j 0.000589373-0j 0.0162428-0j 0.00658612-0j 0.000309374-0j 0.000548843-0j 0.00287135-0j 0.000239279-0j -0.0277407-0j -0.00462346-0j -0.00283128-0j -0.000577932-0j -0.000599196-0j -3.4055e-05-0j -9.9866e-05-0j -0.0234501-0j -6.11552e-05-0j 0.0227552-0j -1.24832e-05-0j -0.0214069-0j -7.35582e-07-0j -0.00390835-0j -0.000524296-0j -0.00239336-0j 0.00379253-0j -0.00356782-0j -0.000349531-0j 0.0299871-0j 0.00232244-0j -0.000488543-0j -0.00218483-0j -0.0152938-0j 0.000474067-0j -2.87877e-05-0j -0.000445977-0j -8.73827e-05-0j 0.0209878-0j 2.79347e-05-0j -5.82552e-05-0j -5.35108e-05-0j -0.000216261-0j -2.62795e-05-0j 0.00499785-0j 0.0263279-0j -3.56739e-05-0j -0.00254897-0j 0.00306055-0j -1.09228e-05-0j 0.0214238-0j -0.00156092-0j 0.00349797-0j -7.2819e-06-0j -6.43635e-07-0j 0.000624732-0j 0.0194594-0j -3.60435e-05-0j -0.000318621-0j 0.00214206-0j 0.00438799-0j -4.2909e-07-0j 3.68127e-05-0j 0.00644646-0j -2.20721e-05-0j 0.00357064-0j 0.000437246-0j 0.00268708-0j -1.87749e-05-0j -4.50544e-06-0j 0.00218656-0j 2.5765e-05-0j 0.00324323-0j 0.000548499-0j 0.00198606-0j 0.00044633-0j -2.65486e-07-0j 0.00107441-0j 3.23206e-05-0j 0.000405403-0j 0.000657939-0j 2.63002e-05-0j 2.38886e-05-0j 0.000134301-0j 7.91378e-06-0j 
0.0600399-0j -0.0714461-0j 0.0433391-0j -0.352739-0j -0.411529-0j 0.736697-0j 0.346277-0j -0.148529-0j 0.00474061-0j -0.0650449-0j 0.00535509-0j -0.073476-0j -0.00420472-0j 0.057692-0j 0.00441772-0j -0.0111841-0j -0.0606146-0j 0.153455-0j -0.00303513-0j 0.0416443-0j 0.00100841-0j -0.0138362-0j 0.00353122-0j -0.029358-0j -0.00744354-0j 0.00390835-0j -0.0324934-0j -0.00297132-0j -0.00823849-0j 0.00205988-0j 0.00312184-0j 0.024703-0j -0.0171255-0j -0.00346654-0j 0.0062633-0j -0.0259545-0j -0.00622579-0j -0.00434207-0j 0.00210279-0j -0.00658059-0j 0.0288202-0j -0.00651997-0j 0.0517602-0j 0.00730719-0j -0.0174823-0j -0.00125114-0j 0.0131235-0j 0.054206-0j -0.00443253-0j 0.000339408-0j 0.0104018-0j 0.0137436-0j 0.0026373-0j -0.00282178-0j -0.000715445-0j 0.0028295-0j -0.0221786-0j 0.000288784-0j -0.00560361-0j 0.00308788-0j -0.000663865-0j -0.0242039-0j -0.00230013-0j 0.000315155-0j 0.00241665-0j -0.00611531-0j 0.00218346-0j -0.000724487-0j 0.0180292-0j -0.00259827-0j -0.000234756-0j -0.0189426-0j -0.0171148-0j 0.00180126-0j 0.0015761-0j 0.000246648-0j 0.00455522-0j 0.000222848-0j -0.00456016-0j -0.00478599-0j 0.000539662-0j -0.00432418-0j 0.0203662-0j -0.00214346-0j -0.000567001-0j -0.0141189-0j -0.000265185-0j -0.00544414-0j -0.00051229-0j -0.0123541-0j 0.000919395-0j 0.000183841-0j 0.0357442-0j 0.000160861-0j 0.00514567-0j -0.0032917-0j -0.00046542-0j 0.0168012-0j -0.00356726-0j 0.000609613-0j -0.00312136-0j -0.000489278-0j 0.0426732-0j 0.00903105-0j -0.000218766-0j -0.00720655-0j -0.000422617-0j -0.00036979-0j 0.000112178-0j -0.00055564-0j 0.0258015-0j 0.00424496-0j 9.38353e-05-0j 0.00106992-0j 0.0107817-0j -0.000335958-0j 0.000502905-0j 0.00383514-0j -0.00182079-0j -4.99367e-05-0j 0.00651896-0j 0.00127732-0j -0.000879292-0j -0.000215711-0j 0.000968978-0j 1.14491e-05-0j 0.000772308-0j 0.000114796-0j -0.00022216-0j -2.63195e-05-0j 
-0.0606621-0j 0.072094-0j -0.0386911-0j 0.356395-0j -0.399334-0j 0.254621-0j -0.363534-0j 0.703521-0j -0.00478974-0j 0.0657189-0j 0.00519641-0j -0.0712987-0j -0.00441772-0j 0.0606146-0j 0.00446001-0j 0.00371249-0j -0.0611948-0j -0.0509383-0j -0.00281768-0j 0.0386608-0j -0.0106105-0j 0.145584-0j -0.00356782-0j 0.0296622-0j 0.00752068-0j 0.00379253-0j -0.0315305-0j -0.00312184-0j -0.00799437-0j -0.00208123-0j 0.00315172-0j 0.0259545-0j 0.017303-0j 0.00349797-0j 0.00658059-0j -0.0262029-0j -0.00128769-0j 0.00438706-0j -0.00187727-0j -0.00664358-0j -0.0290816-0j 0.0022517-0j 0.0107057-0j -0.00737345-0j 0.0156074-0j -0.0061625-0j 0.00271436-0j -0.0187202-0j 0.00395715-0j -0.00619381-0j 0.051234-0j -0.0047464-0j 0.0129901-0j 0.0514943-0j 0.0130561-0j -0.00285882-0j 0.0224085-0j -0.000291777-0j 0.00566168-0j 0.00299638-0j 0.000670744-0j -0.0234867-0j -0.00241665-0j 0.000305817-0j 0.00243978-0j -0.0059341-0j -0.00220609-0j -0.000703019-0j 0.0189426-0j 0.00262183-0j -0.000246648-0j -0.0191239-0j 0.0172921-0j 0.00174789-0j -0.00140707-0j 0.000249009-0j 0.00478599-0j -0.000225158-0j -0.0015761-0j -0.00483179-0j 0.000567001-0j 0.00436899-0j -0.0205509-0j 0.00225028-0j -0.000572428-0j -0.0137006-0j 0.00026759-0j 0.00108145-0j 0.000517598-0j 0.0110291-0j -0.00435481-0j 0.000178393-0j 0.0123541-0j -0.000143609-0j -0.00519234-0j -0.00100526-0j -0.000160861-0j -0.0176385-0j -0.00346156-0j -0.000615141-0j 0.0027866-0j -0.0053535-0j -0.0084768-0j 0.00312136-0j 0.000229669-0j 0.0341346-0j -0.000410094-0j 0.000330131-0j -0.00313171-0j 0.000110375-0j 0.00787959-0j -0.00445651-0j -0.000444461-0j 0.00036979-0j -0.00214173-0j -0.000102599-0j -0.000527968-0j 0.0419626-0j 0.00862436-0j -0.000546389-0j 0.00199084-0j -0.000253733-0j 0.0245475-0j 0.00102174-0j 0.0106022-0j -0.000319629-0j 0.000235857-0j 0.00125605-0j 0.00620211-0j 0.00073477-0j 
-0.0673557-0j 0.0428676-0j 0.0250061-0j 0.00432757-0j -0.00981653-0j 0.00309176-0j 0.00441772-0j 0.00182222-0j -0.260181-0j 0.000394803-0j -0.293906-0j 0.000445977-0j 0.466585-0j -0.000708002-0j 0.47142-0j -0.209976-0j -0.000715339-0j 0.000318621-0j -0.173222-0j 0.000262849-0j -0.0553452-0j 8.39816e-05-0j 0.00203747-0j -0.0342603-0j 3.00148e-05-0j 0.00225507-0j -0.0379193-0j 0.00178279-0j 3.32203e-05-0j -0.00581027-0j 0.00180126-0j -0.0299778-0j 0.0977005-0j -0.00404403-0j 2.62629e-05-0j -0.0302885-0j 0.000735362-0j -8.55934e-05-0j -0.00235902-0j 2.65351e-05-0j 0.0680008-0j 0.00128688-0j -0.0123652-0j -5.95742e-05-0j 0.0396672-0j 0.000750683-0j 1.08329e-05-0j -0.0216391-0j -3.47516e-05-0j 0.000195834-0j -0.0126228-0j 1.89576e-05-0j 1.10586e-05-0j -0.00329297-0j 2.88491e-06-0j 0.00163259-0j 0.000272098-0j -0.0318656-0j -0.00323526-0j 0.00178167-0j 2.00419e-06-0j 0.000296945-0j 0.00138007-0j -0.0347755-0j 0.00139438-0j -0.0035307-0j -0.00244951-0j 2.1872e-06-0j 0.000230012-0j 0.00155896-0j -0.026937-0j 0.000232396-0j -0.000408252-0j -0.00508079-0j 0.000909393-0j -0.0272161-0j -0.00273487-0j 0.0478108-0j -0.00175002-0j -0.00276321-0j 1.6942e-06-0j 0.00485415-0j 0.000259827-0j -0.00250054-0j 1.71176e-06-0j -0.000846799-0j -0.0304285-0j 0.000643038-0j -3.00706e-06-0j 0.000151566-0j -0.00103142-0j 0.0991695-0j -0.000291669-0j -0.01775-0j -0.00308936-0j 0.000649702-0j 0.0341577-0j -0.000416757-0j 0.0100685-0j 1.9138e-06-0j -0.00180213-0j 0.000293566-0j 0.000107173-0j 0.00346797-0j 0.0488068-0j -0.000171904-0j -6.23726e-06-0j 1.11639e-06-0j 6.47253e-05-0j -0.0125511-0j 0.000108284-0j 0.00495528-0j 0.0201318-0j -2.14835e-06-0j -0.0012743-0j -0.0126812-0j -3.06971e-06-0j 4.89277e-05-0j 0.00204395-0j -0.00572998-0j -0.0012875-0j 7.89404e-07-0j 1.07876e-05-0j -1.26619e-06-0j -0.000581755-0j -0.00126334-0j 7.97584e-07-0j 3.60387e-07-0j -0.000128265-0j 7.94578e-08-0j 
0.00972196-0j -0.00618741-0j -0.00360932-0j 0.0593776-0j -0.13469-0j 0.0424214-0j 0.0606146-0j 0.0250022-0j -0.000394803-0j -0.252025-0j -0.000445977-0j -0.284693-0j 0.000708002-0j 0.451959-0j 0.000715339-0j -0.000318621-0j 0.456643-0j -0.203395-0j -0.000262849-0j -0.167792-0j -8.39816e-05-0j -0.0536103-0j -0.000294084-0j 0.00494192-0j -0.0587204-0j -0.000325491-0j 0.0054697-0j -0.000257323-0j -0.0649915-0j 0.000838641-0j -0.00025999-0j 0.00432418-0j -0.0140929-0j 0.000583705-0j -0.0513803-0j 0.00436899-0j -0.00010614-0j 0.167453-0j 0.000340495-0j -0.0519128-0j -0.00980885-0j -0.000185746-0j 0.00178363-0j 0.11655-0j -0.00572183-0j -0.000108352-0j -0.0211933-0j 0.00312136-0j 0.0679873-0j -2.82662e-05-0j 0.00182079-0j -0.0370883-0j -0.0216348-0j 0.000474998-0j -0.00564398-0j -0.000235643-0j 0.00373339-0j -2.40503e-05-0j -0.021712-0j -0.000257162-0j -0.0078972-0j 0.00407431-0j -0.000199197-0j -2.62464e-05-0j -0.000201261-0j -0.0236946-0j 0.000353557-0j -0.00861834-0j 0.00315595-0j -0.000225016-0j -2.03304e-05-0j 0.00318865-0j -0.00560153-0j 0.00073335-0j -0.00013126-0j -2.05411e-05-0j -0.0183538-0j 3.60847e-05-0j 0.000252593-0j -0.018544-0j -0.00667574-0j 0.0325764-0j 0.00356502-0j 0.000360922-0j -0.00674492-0j -0.0116187-0j -2.29656e-05-0j -9.28145e-05-0j 0.0118489-0j 0.0020796-0j 0.000148873-0j 7.48472e-05-0j -0.00400193-0j -1.33966e-05-0j -0.0207328-0j -9.37764e-05-0j 2.57802e-05-0j -0.00571823-0j 0.0675701-0j -0.00754105-0j -0.0120941-0j -4.23727e-05-0j 0.0014705-0j 0.0232737-0j 3.68365e-05-0j -0.00235865-0j 0.024577-0j -0.00439895-0j -9.3423e-06-0j -9.47284e-06-0j 0.00148574-0j 0.033255-0j 1.51943e-05-0j 0.00846523-0j -0.00855184-0j -9.57101e-06-0j 0.0120957-0j 0.000671327-0j 0.013717-0j -4.32464e-06-0j -0.00864046-0j -0.00311052-0j 0.000148014-0j 0.00498923-0j -0.00390418-0j -9.53494e-07-0j -0.00314276-0j -0.00142005-0j -0.00086079-0j -0.000313091-0j 
-0.0428676-0j 0.00100964-0j 0.0600496-0j -0.00535509-0j -0.000123656-0j 0.0111841-0j -0.00504889-0j 0.00658612-0j 0.321958-0j -0.000488543-0j 0.00719832-0j -1.09228e-05-0j -0.285563-0j 0.000433317-0j -0.288152-0j -0.0150337-0j 0.000437246-0j 2.28124e-05-0j 0.400021-0j -0.000606997-0j -0.267167-0j 0.000405403-0j -0.00252124-0j 0.042395-0j -3.71414e-05-0j -5.5231e-05-0j 0.000928716-0j 0.00212148-0j -8.13629e-07-0j -0.00147072-0j 0.00214072-0j -0.0356729-0j 0.0247304-0j 4.89875e-05-0j 3.12523e-05-0j -0.0359964-0j 0.00444512-0j -2.16658e-05-0j 0.00291358-0j 3.15357e-05-0j -0.000823731-0j -0.00447089-0j -0.0747453-0j 7.21654e-07-0j -0.0489923-0j -0.00260916-0j 6.54829e-05-0j 0.0751786-0j 4.29211e-05-0j 0.00118288-0j 0.0438734-0j -6.58624e-05-0j -3.84366e-05-0j -0.0198903-0j 1.74255e-05-0j -0.00202022-0j -0.000336704-0j 0.0394317-0j 0.00400344-0j -4.36365e-05-0j -2.48006e-06-0j -7.27275e-06-0j 0.00164226-0j 0.000851719-0j 0.00165715-0j 8.64736e-05-0j -0.00155896-0j -5.35689e-08-0j 0.00027371-0j 3.67176e-05-0j -0.0320544-0j 0.000276192-0j -0.000259827-0j -2.54546e-05-0j 0.00218381-0j -0.0323451-0j -0.00325443-0j 0.0304285-0j 0.00325589-0j -0.00328394-0j 2.01606e-06-0j 0.00308936-0j 6.11959e-06-0j -0.00146982-0j 2.03434e-06-0j -4.24244e-06-0j -0.000716671-0j 7.69341e-05-0j -1.9138e-06-0j 0.000363969-0j 0.00191733-0j 0.000496836-0j 0.000542648-0j -0.0426248-0j -7.27625e-05-0j -0.0045609-0j -0.0635501-0j -0.00024497-0j 5.0443e-05-0j 4.50751e-08-0j -0.00432762-0j -0.00136278-0j 1.28224e-05-0j -0.00645214-0j 0.0286887-0j 0.000319556-0j -3.12485e-08-0j 2.68089e-06-0j 0.000469464-0j -0.00150164-0j -0.00076015-0j 0.00291272-0j -0.0374235-0j 3.99698e-06-0j -0.000152459-0j 0.0890219-0j -1.80438e-06-0j -0.00022713-0j -0.00379955-0j 0.0265994-0j 0.00903826-0j 9.44456e-08-0j 7.8244e-05-0j 2.35375e-06-0j 0.00270059-0j -0.00916324-0j -5.59904e-06-0j -1.67297e-06-0j -0.000930329-0j 5.76322e-07-0j 
0.00618741-0j -0.00014573-0j -0.00866742-0j -0.073476-0j -0.00169665-0j 0.153455-0j -0.0692747-0j 0.0903667-0j 0.000488543-0j 0.311866-0j 1.09228e-05-0j 0.00697268-0j -0.000433317-0j -0.276611-0j -0.000437246-0j -2.28124e-05-0j -0.27912-0j -0.0145625-0j 0.000606997-0j 0.387481-0j -0.000405403-0j -0.258792-0j 0.00036391-0j -0.00611531-0j 0.0726627-0j 7.97191e-06-0j -0.000133964-0j -0.000306209-0j 0.00159177-0j 0.000212281-0j -0.000308986-0j 0.00514567-0j -0.00356726-0j -7.07074e-06-0j -0.0611414-0j 0.00519234-0j -0.000641598-0j 0.0423866-0j -0.000420539-0j -0.0616959-0j 0.00011882-0j 0.000645318-0j 0.0107817-0j -0.00141183-0j 0.00706694-0j 0.0003766-0j -0.128109-0j -0.0108442-0j -0.0839701-0j -0.000170734-0j -0.00632856-0j 0.128852-0j 0.0751967-0j 0.0028691-0j -0.0340909-0j 0.000291594-0j -0.00461984-0j 2.97607e-05-0j 0.0268672-0j 6.29839e-06-0j 0.00977228-0j -9.97878e-05-0j -0.000237039-0j 6.42826e-07-0j -0.000239189-0j 0.000580327-0j 0.000225016-0j 0.00021108-0j 0.00375551-0j -5.29972e-06-0j -2.41927e-05-0j 0.00378956-0j -0.00356502-0j 3.67406e-06-0j -0.000315206-0j -2.44121e-05-0j -0.0218406-0j 2.29656e-05-0j -0.000469947-0j -0.0220386-0j -0.00794398-0j 0.0207328-0j 8.39656e-05-0j 0.00021215-0j -0.00801602-0j -5.82095e-05-0j -5.40901e-07-0j -1.11045e-05-0j 0.00754105-0j 0.00499394-0j -0.000276743-0j 3.74982e-07-0j 0.00744556-0j -3.21706e-05-0j -0.000488311-0j 0.000658309-0j -4.79638e-05-0j -0.00336118-0j 0.000338524-0j -0.000177611-0j -0.0290428-0j 0.0001967-0j 0.000175933-0j -0.0433005-0j 2.16525e-05-0j 0.00438455-0j 0.00012313-0j -0.0105636-0j -6.77613e-05-0j -1.13335e-06-0j -0.0104299-0j 0.0195473-0j -2.8245e-05-0j -0.0157495-0j -0.00102316-0j 6.71884e-05-0j 0.00710987-0j -0.0031164-0j -0.0254989-0j 2.00756e-05-0j 0.060656-0j -0.000372148-0j 0.00107357-0j -0.00927459-0j 0.0181238-0j -6.91586e-06-0j 0.0220621-0j 0.00659208-0j -0.00624346-0j -0.00227091-0j 
0.0250061-0j -0.0600496-0j 0.068987-0j 0.0031238-0j -0.00707247-0j 0.00223175-0j 0.00281768-0j 0.00160945-0j -0.187809-0j 0.000284984-0j 0.411708-0j -0.000624732-0j -0.173222-0j 0.000262849-0j -0.154644-0j 0.294138-0j 0.000234659-0j -0.00044633-0j -0.477885-0j 0.000725149-0j 0.50186-0j -0.000761529-0j 0.00147072-0j -0.0247304-0j 2.16658e-05-0j -0.00315893-0j 0.0531179-0j 0.00128688-0j -4.65355e-05-0j 0.000857923-0j 0.00114887-0j -0.0216391-0j -0.0144261-0j -0.00291358-0j 1.89576e-05-0j -0.0193184-0j 0.000530813-0j 1.26384e-05-0j 0.00334722-0j 1.69244e-05-0j 0.0489923-0j 0.000820792-0j -0.00892568-0j -4.29211e-05-0j -0.0562839-0j 0.00066303-0j 7.81961e-06-0j -0.0138017-0j 4.93092e-05-0j -0.00610478-0j -0.0111489-0j 1.20914e-05-0j 9.76735e-06-0j 0.102653-0j -8.99319e-05-0j 0.00117846-0j 0.00019641-0j -0.0230018-0j -0.00233534-0j -0.00249579-0j 1.4467e-06-0j -0.000415965-0j 0.00099619-0j 0.048714-0j 0.000889351-0j 0.00494586-0j 0.000909393-0j -3.06387e-06-0j 0.000166032-0j -0.00218381-0j -0.0194441-0j 0.000148225-0j 0.000151566-0j -0.00145588-0j 0.00250884-0j -0.0173588-0j -0.00197413-0j -0.01775-0j 0.000649702-0j -0.00176241-0j 1.22294e-06-0j -0.00180213-0j -0.000363969-0j 0.000820276-0j 1.09178e-06-0j -0.000242646-0j 0.0426248-0j -0.000900778-0j 1.11639e-06-0j 0.000418139-0j 0.000468538-0j 0.0284165-0j 0.000108284-0j -0.0489687-0j 0.00432762-0j 0.0017924-0j -0.0126812-0j 0.000136713-0j 0.00288508-0j -2.68089e-06-0j -0.00497172-0j -0.002662-0j -0.00015013-0j -0.0012875-0j -0.0160106-0j 7.80897e-05-0j -1.78726e-06-0j 3.07989e-06-0j -0.00449919-0j 0.0175818-0j 0.000298733-0j -0.00162553-0j -0.00914517-0j 7.97584e-07-0j 0.00178505-0j -0.0349849-0j 1.00698e-06-0j -0.000443667-0j -0.000928494-0j 0.0519583-0j -0.00355197-0j -1.10581e-06-0j -0.000749865-0j 5.75185e-07-0j 0.00527525-0j 0.0878174-0j 2.20038e-06-0j -3.26792e-06-0j 0.00891596-0j -5.52327e-06-0j 
-0.00360932-0j 0.00866742-0j -0.00995741-0j 0.042861-0j -0.0970398-0j 0.0306214-0j 0.0386608-0j 0.0220829-0j -0.000284984-0j -0.181922-0j 0.000624732-0j 0.398802-0j -0.000262849-0j -0.167792-0j -0.000234659-0j 0.00044633-0j -0.149797-0j 0.284918-0j -0.000725149-0j -0.462905-0j 0.000761529-0j 0.486128-0j -0.000212281-0j 0.00356726-0j -0.0423866-0j 0.000455953-0j -0.00766204-0j -0.000185746-0j 0.0910411-0j -0.00012383-0j -0.000165825-0j 0.00312136-0j 0.0020809-0j 0.000420539-0j -0.0370883-0j 0.0027866-0j -7.66162e-05-0j -0.0247255-0j -0.000483129-0j -0.0331106-0j -0.00706694-0j -0.000118471-0j 0.00128749-0j 0.0839701-0j 0.00811872-0j -9.57001e-05-0j -0.0152981-0j 0.00199084-0j -0.0964675-0j 0.000881149-0j 0.00160819-0j -0.0236554-0j -0.0191087-0j -0.0148072-0j 0.175941-0j -0.000170096-0j 0.0026949-0j -1.73604e-05-0j -0.0156725-0j 0.000360236-0j -0.0057005-0j -0.00570736-0j -0.000143788-0j 3.67664e-05-0j -0.000128367-0j 0.0331918-0j -0.00013126-0j 0.0120727-0j 0.00227808-0j 0.000315206-0j -1.46753e-05-0j 0.00203376-0j 0.0020796-0j 0.000210138-0j -0.000362119-0j -1.31014e-05-0j -0.0132485-0j -1.33966e-05-0j -9.37764e-05-0j -0.0118276-0j -0.0048188-0j -0.0120941-0j -0.00499394-0j -0.000118397-0j -0.004302-0j -0.00332929-0j 3.21706e-05-0j 0.000130016-0j -0.00439895-0j 0.0057372-0j -6.76277e-05-0j 2.14471e-05-0j 0.00148574-0j -3.69587e-05-0j 0.0290428-0j -0.000258711-0j -9.57101e-06-0j 0.0018758-0j 0.0193619-0j 0.0105636-0j -0.0333653-0j 0.000384227-0j -0.00205989-0j -0.00864046-0j -1.20838e-05-0j 0.00107145-0j 0.00704241-0j -0.0121358-0j 0.000649402-0j 1.32697e-05-0j 0.00409885-0j -0.010909-0j -6.90222e-06-0j -0.00314276-0j 0.0119796-0j -2.64045e-05-0j -0.00396787-0j -0.00608746-0j -0.00623115-0j 3.9215e-05-0j -0.0238373-0j 0.00435727-0j -0.0102887-0j -0.00226643-0j 0.0354023-0j 6.62793e-05-0j -0.00867025-0j 0.0128767-0j 0.0598353-0j 0.0217636-0j 
0.0244804-0j 0.030293-0j 0.0176709-0j -0.0089549-0j 0.00356782-0j 0.00218483-0j 0.00312184-0j 0.00128769-0j 0.00193292-0j 0.000278992-0j -0.00639367-0j -0.000922847-0j 0.00178279-0j 0.000257323-0j 0.00180126-0j 0.00155994-0j 0.00025999-0j 0.000225158-0j 0.00128688-0j 0.000185746-0j 0.000411166-0j 5.93467e-05-0j -0.206283-0j 0.000254524-0j 2.12103e-05-0j -0.228314-0j 0.000281706-0j 0.528539-0j 2.34755e-05-0j -0.120332-0j 0.534016-0j -0.000652141-0j 0.000148472-0j -0.210581-0j -5.43451e-05-0j -0.000658899-0j -0.0744516-0j 1.23727e-05-0j -0.122839-0j -5.49083e-05-0j 0.000259827-0j -0.13029-0j 9.18626e-05-0j 2.16522e-05-0j 0.000151566-0j -0.0760027-0j 7.65521e-06-0j 0.000160759-0j 1.26305e-05-0j -0.0198272-0j 9.37764e-05-0j 1.33966e-05-0j 7.8147e-06-0j 2.44639e-05-0j 2.03866e-06-0j 0.00115369-0j -0.0275485-0j 0.000117748-0j 2.40352e-05-0j 0.00125904-0j 1.41628e-06-0j -0.0300641-0j 0.000975247-0j 0.0001285-0j 0.000985353-0j 2.623e-05-0j -0.00260693-0j 1.54562e-06-0j -0.0232875-0j -0.00322591-0j 9.95357e-05-0j -0.0235289-0j 0.0622498-0j 0.000734439-0j -0.00188178-0j 0.000100567-0j 2.03176e-05-0j -0.000266068-0j 0.000636043-0j 2.05282e-05-0j 1.19723e-06-0j -5.4311e-05-0j 0.0770302-0j 0.000908822-0j 1.20964e-06-0j -0.0175374-0j -0.000329243-0j 0.000454411-0j -3.2003e-06-0j 0.0449343-0j 0.00037487-0j 7.49584e-05-0j -0.0151878-0j -0.000192058-0j -6.72064e-05-0j 0.00045912-0j 6.49158e-05-0j -0.0217014-0j 1.53008e-05-0j -3.96017e-06-0j -3.92037e-05-0j 0.000207452-0j -0.0108507-0j 1.32509e-05-0j 9.27562e-05-0j -0.00895137-0j 9.01609e-07-0j -2.3101e-06-0j 4.5739e-05-0j 4.63781e-05-0j -0.0109631-0j 1.89338e-05-0j 3.826e-05-0j 7.80816e-07-0j 9.46689e-06-0j 4.68587e-05-0j 1.11568e-06-0j -0.00495368-0j 7.80979e-06-0j 2.1173e-05-0j 9.565e-06-0j 5.57842e-07-0j -0.00109218-0j 4.60196e-07-0j 4.32193e-06-0j 4.66821e-06-0j 5.63623e-07-0j 2.54672e-07-0j 9.52895e-07-0j 5.61499e-08-0j 
-0.00432757-0j -0.00535509-0j -0.0031238-0j -0.0744496-0j 0.0296622-0j 0.0181643-0j 0.0259545-0j 0.0107057-0j 0.0325022-0j 0.00468831-0j -0.10751-0j -0.0155079-0j 0.0299778-0j 0.00432418-0j 0.0302885-0j 0.0262306-0j 0.00436899-0j 0.00378365-0j 0.0216391-0j 0.00312136-0j 0.0069138-0j 0.000997288-0j -0.000254524-0j -0.201282-0j 0.000536517-0j -0.000281706-0j -0.222779-0j 0.000652141-0j 0.000593815-0j -0.000148472-0j 0.000658899-0j 0.515725-0j -0.117415-0j -0.000259827-0j -0.00137466-0j 0.52107-0j -9.18626e-05-0j 0.000312968-0j -0.000151566-0j -0.00138891-0j -0.205476-0j -0.000160759-0j -0.0726466-0j 0.000547694-0j -0.119861-0j -9.37764e-05-0j 0.000193639-0j -0.127132-0j 0.000319488-0j -2.44639e-05-0j -0.0741601-0j 0.000338869-0j 0.000197673-0j -0.0193465-0j 5.15679e-05-0j -0.000203945-0j 0.00159859-0j 0.0039807-0j -0.038419-0j -0.000222569-0j 4.78501e-05-0j 0.00174457-0j -0.000172401-0j 0.0043442-0j -0.000174187-0j -0.0419273-0j 0.000460844-0j 5.22197e-05-0j 0.00135134-0j 0.000570265-0j 0.00336501-0j 0.00136534-0j -0.00361226-0j -0.000129832-0j 0.000332655-0j 0.00339988-0j -0.0324768-0j -0.00899498-0j -0.000112438-0j -0.0328133-0j 4.04492e-05-0j 0.0868134-0j -0.00446994-0j -0.000160659-0j 4.08684e-05-0j 0.00101767-0j -0.0111307-0j -8.03293e-05-0j -0.000108124-0j -0.00260747-0j -6.62683e-05-0j 0.00253412-0j 0.000881326-0j -0.00649292-0j 0.107426-0j -8.11617e-05-0j 0.00219461-0j 0.0012593-0j -0.0244576-0j -0.000133797-0j 0.0626653-0j -3.66728e-05-0j 0.00062965-0j -0.0211809-0j 0.00313581-0j 0.000519435-0j 3.04615e-05-0j -7.80484e-05-0j -8.08558e-06-0j 0.00156791-0j 0.000636175-0j -0.0302647-0j 0.00129346-0j 2.63804e-05-0j -0.0151324-0j 0.00158415-0j 3.76941e-05-0j 0.000287454-0j -0.0124836-0j 0.000715797-0j -0.0152892-0j 1.88471e-05-0j 6.33777e-05-0j 1.5548e-05-0j -0.00690839-0j 0.000157818-0j 1.90424e-05-0j 8.60427e-06-0j -0.00152316-0j 1.89706e-06-0j 
