-0.00287767-0j -0.000464382-0j -0.000379166-0j -5.47279e-05-0j -4.73958e-05-0j -5.58565e-06-0j -2.54949e-07-0j -0.00264584-0j -0.000418344-0j -0.00033073-0j -0.000220487-0j -4.77367e-05-0j -5.51216e-05-0j -1.94884e-05-0j -4.59347e-06-0j -4.87211e-06-0j -4.06009e-07-0j -1.51311e-08-0j -0.00172667-0j -0.00174457-0j -0.000269193-0j -0.000271982-0j -0.000208516-0j -3.00967e-05-0j -0.000210677-0j -0.000190348-0j -3.04086e-05-0j -0.000192321-0j -3.36491e-05-0j -2.24327e-05-0j -2.80409e-06-0j -3.39978e-05-0j -1.94273e-05-0j -2.26652e-05-0j -2.83315e-06-0j -1.96286e-05-0j -3.96558e-06-0j -1.98279e-06-0j -4.00668e-06-0j -2.33674e-07-0j -2.00334e-06-0j -2.86191e-07-0j -2.36096e-07-0j -1.84736e-08-0j -2.89157e-07-0j -1.8665e-08-0j -5.81863e-10-0j -5.87893e-10-0j 
0.000437823-0j -0.00333138-0j 5.76883e-05-0j -0.000793541-0j -0.000340008-0j -0.000121911-0j -9.29991e-06-0j 0.000402552-0j -0.00300112-0j 5.03189e-05-0j 3.3546e-05-0j -0.000692171-0j -0.000395432-0j 2.96507e-06-0j -0.000100256-0j -7.06444e-05-0j -1.18358e-05-0j -6.62794e-07-0j 0.000262705-0j 0.000265428-0j -0.00193114-0j -0.00195115-0j 3.17247e-05-0j -0.000436394-0j 3.20534e-05-0j 2.89605e-05-0j -0.000440916-0j 2.92606e-05-0j -0.000241392-0j -0.000160928-0j -6.12012e-05-0j -0.000243893-0j 2.95577e-06-0j -0.000162596-0j -6.18355e-05-0j 2.9864e-06-0j -5.75e-05-0j -1.42242e-05-0j -5.80958e-05-0j -6.81199e-06-0j -1.43716e-05-0j -6.24633e-06-0j -6.88258e-06-0j -6.73871e-07-0j -6.31106e-06-0j -6.80855e-07-0j -2.97503e-08-0j -3.00586e-08-0j 
0.000328368-0j 5.29901e-05-0j -0.00413647-0j 6.24494e-06-0j -0.00103953-0j -6.0936e-05-0j 2.90919e-08-0j 0.000301914-0j 4.77367e-05-0j -0.00360806-0j 2.51595e-05-0j 5.44719e-06-0j -0.000601343-0j -0.000642269-0j 5.24156e-07-0j -0.000106859-0j -4.42931e-06-0j 1.72659e-09-0j 0.000197029-0j 0.000199071-0j 3.07173e-05-0j 3.10356e-05-0j -0.00227478-0j 3.4343e-06-0j -0.00229835-0j 2.17204e-05-0j 3.46989e-06-0j 2.19455e-05-0j -0.000367091-0j 2.55977e-06-0j 3.19972e-07-0j -0.000370895-0j -0.000426097-0j 2.5863e-06-0j 3.23288e-07-0j -0.000430513-0j -4.32621e-05-0j -6.53456e-05-0j -4.37104e-05-0j 2.66643e-08-0j -6.60228e-05-0j -6.277e-06-0j 2.69406e-08-0j -2.01535e-07-0j -6.34205e-06-0j -2.03624e-07-0j 6.63957e-11-0j 6.70838e-11-0j 
-4.73958e-05-0j 0.000728914-0j -6.24494e-06-0j -0.00400703-0j 7.43945e-05-0j -0.00125329-0j -0.000192694-0j -4.35775e-05-0j 0.000656651-0j -5.44719e-06-0j -3.63146e-06-0j -0.00349515-0j 8.65213e-05-0j -3.20978e-07-0j -0.00103067-0j -0.000356723-0j -0.00018348-0j -1.71903e-05-0j -2.84387e-05-0j -2.87334e-05-0j 0.000422537-0j 0.000426915-0j -3.4343e-06-0j -0.0022036-0j -3.46989e-06-0j -3.13507e-06-0j -0.00222643-0j -3.16756e-06-0j 5.28171e-05-0j 3.52114e-05-0j -0.000629174-0j 5.33644e-05-0j -3.19972e-07-0j 3.55763e-05-0j -0.000635694-0j -3.23288e-07-0j -0.000290349-0j 3.11228e-06-0j -0.000293358-0j -0.0001056-0j 3.14453e-06-0j -6.42148e-05-0j -0.000106694-0j -1.39626e-05-0j -6.48803e-05-0j -1.41073e-05-0j -9.2676e-07-0j -9.36364e-07-0j 
0.000286623-0j 4.62535e-05-0j -0.00545202-0j -0.000786931-0j 4.72073e-06-0j 5.56344e-07-0j 2.53935e-08-0j 0.000263532-0j 4.1668e-05-0j 3.29415e-05-0j -0.00636269-0j 4.75469e-06-0j -0.000792592-0j 1.9411e-06-0j -6.60493e-05-0j 4.85274e-07-0j 4.04395e-08-0j 1.50709e-09-0j -0.0588985-0j -0.0595088-0j 2.68122e-05-0j 2.70901e-05-0j 2.07687e-05-0j 2.9977e-06-0j 2.09839e-05-0j -0.00273701-0j 3.02876e-06-0j -0.00276537-0j 3.35153e-06-0j -0.000647353-0j 2.79294e-07-0j 3.38626e-06-0j -0.000279345-0j -0.000654061-0j 2.82188e-07-0j -0.000282239-0j -5.7021e-05-0j 1.97491e-07-0j -5.76119e-05-0j -3.35999e-06-0j 1.99537e-07-0j 2.85053e-08-0j -3.39481e-06-0j 1.84001e-09-0j 2.88007e-08-0j 1.85908e-09-0j 5.79549e-11-0j 5.85555e-11-0j 
-5.06682e-05-0j 0.000385533-0j 0.000638271-0j 9.18346e-05-0j -0.00756314-0j -0.00134884-0j 1.07626e-06-0j -4.65863e-05-0j 0.000347312-0j 0.000556736-0j -3.88219e-06-0j 8.01032e-05-0j -0.00437511-0j 9.91042e-05-0j 1.16023e-05-0j -0.00157141-0j -0.000130953-0j 7.67035e-08-0j 0.0104119-0j 0.0105198-0j 0.000223485-0j 0.000225801-0j 0.000351006-0j 5.05028e-05-0j 0.000354644-0j -3.35153e-06-0j 5.10262e-05-0j -3.38626e-06-0j -0.00267079-0j 1.86238e-05-0j 7.08267e-06-0j -0.00269847-0j 6.57482e-05-0j 1.88168e-05-0j 7.15606e-06-0j 6.64295e-05-0j -0.000636188-0j -0.000475426-0j -0.00064278-0j 7.88334e-07-0j -0.000480353-0j -0.000138943-0j 7.96504e-07-0j -7.45581e-06-0j -0.000140383-0j -7.53307e-06-0j 3.44293e-09-0j 3.47861e-09-0j 
0.000268111-0j -0.0083689-0j 3.53267e-05-0j 5.09897e-06-0j 4.41584e-06-0j 5.20412e-07-0j 2.37534e-08-0j -0.0720997-0j 3.89769e-05-0j -0.00596028-0j 2.05426e-05-0j -0.000860292-0j 5.13566e-06-0j 1.81573e-06-0j 4.27971e-07-0j 4.53932e-07-0j 3.78277e-08-0j 1.40975e-09-0j 0.000160873-0j 0.000162541-0j -0.00733556-0j -0.00741158-0j 1.94273e-05-0j 2.80409e-06-0j 1.96286e-05-0j -0.00343037-0j 2.83315e-06-0j -0.00346592-0j -0.00060641-0j 2.09005e-06-0j -5.05342e-05-0j -0.000612694-0j 1.81003e-06-0j 2.11171e-06-0j -5.10579e-05-0j 1.82879e-06-0j 3.69471e-07-0j 1.84736e-07-0j 3.733e-07-0j 2.17713e-08-0j 1.8665e-07-0j 2.66643e-08-0j 2.19969e-08-0j 1.72117e-09-0j 2.69406e-08-0j 1.73901e-09-0j 5.42119e-11-0j 5.47737e-11-0j 
4.22235e-06-0j -9.77459e-05-0j 5.56344e-07-0j 0.00109396-0j -9.97615e-06-0j -0.00515129-0j -0.00245396-0j 3.88219e-06-0j -8.80556e-05-0j 4.85274e-07-0j 3.23516e-07-0j 0.000954215-0j -1.16023e-05-0j 2.8595e-08-0j -0.00423627-0j 9.73892e-05-0j -0.00154678-0j -0.000292814-0j -0.000867656-0j -0.000876648-0j -5.66613e-05-0j -5.72485e-05-0j 3.05951e-07-0j 0.000601606-0j 3.09122e-07-0j 2.79294e-07-0j 0.00060784-0j 2.82188e-07-0j -7.08267e-06-0j -4.72178e-06-0j -0.00258604-0j -7.15606e-06-0j 2.85053e-08-0j -4.77071e-06-0j -0.00261284-0j 2.88007e-08-0j 7.92685e-05-0j -4.1735e-07-0j 8.00899e-05-0j -0.000890235-0j -4.21675e-07-0j -0.000263936-0j -0.00089946-0j -0.000177814-0j -0.000266671-0j -0.000179657-0j -1.97671e-05-0j -1.9972e-05-0j 
-0.0903872-0j 2.99757e-05-0j 2.44751e-05-0j 3.53267e-06-0j 3.05938e-06-0j 3.60552e-07-0j 1.64569e-08-0j 0.000170788-0j -0.0131401-0j 2.13485e-05-0j 1.42323e-05-0j 3.08139e-06-0j 3.55809e-06-0j 1.25797e-06-0j 2.96507e-07-0j 3.14493e-07-0j 2.62078e-08-0j 9.76706e-10-0j 0.000111456-0j 0.000112611-0j 1.73763e-05-0j 1.75564e-05-0j -0.00654945-0j -0.000945332-0j -0.00661732-0j 1.22869e-05-0j -0.000955128-0j 1.24142e-05-0j 2.17204e-06-0j 1.44803e-06-0j 1.81003e-07-0j 2.19455e-06-0j 1.25403e-06-0j 1.46303e-06-0j 1.82879e-07-0j 1.26702e-06-0j 2.55977e-07-0j 1.27989e-07-0j 2.5863e-07-0j 1.50836e-08-0j 1.29315e-07-0j 1.84736e-08-0j 1.52399e-08-0j 1.19246e-09-0j 1.8665e-08-0j 1.20482e-09-0j 3.75591e-11-0j 3.79483e-11-0j 
-4.46852e-05-0j 0.000340008-0j 0.000849982-0j -0.0116921-0j 3.47019e-05-0j 1.24425e-05-0j 9.49169e-07-0j 0.0120166-0j 0.0003063-0j -5.13566e-06-0j 0.000991959-0j 7.06444e-05-0j -0.00582631-0j -3.02621e-07-0j -0.00147717-0j 7.21011e-06-0j 1.20799e-06-0j 6.76462e-08-0j -2.68122e-05-0j -2.70901e-05-0j -0.0576466-0j -0.058244-0j -3.23789e-06-0j 4.45393e-05-0j -3.27144e-06-0j 0.000426706-0j 4.50008e-05-0j 0.000431128-0j 2.4637e-05-0j -0.00475866-0j 6.24633e-06-0j 2.48923e-05-0j 4.35505e-05-0j -0.00480798-0j 6.31106e-06-0j 4.40018e-05-0j -0.000847207-0j 1.45175e-06-0j -0.000855987-0j -0.000100368-0j 1.46679e-06-0j 6.37513e-07-0j -0.000101408-0j 6.87767e-08-0j 6.44119e-07-0j 6.94894e-08-0j 3.03638e-09-0j 3.06785e-09-0j 
-2.7364e-05-0j -4.41584e-06-0j 0.000693018-0j -5.20412e-07-0j -0.00823846-0j 1.02091e-05-0j -2.42433e-09-0j 0.00735865-0j -3.97806e-06-0j 0.000604488-0j -2.09662e-06-0j -4.53932e-07-0j 0.000100748-0j -0.0102696-0j -4.36796e-08-0j -0.000846883-0j 7.42079e-07-0j -1.43882e-10-0j -1.64191e-05-0j -1.65892e-05-0j 0.000748683-0j 0.000756441-0j 0.000381113-0j -2.86191e-07-0j 0.000385062-0j -1.81003e-06-0j -2.89157e-07-0j -1.82879e-06-0j 6.15018e-05-0j -2.13314e-07-0j -2.66643e-08-0j 6.21391e-05-0j -0.00337691-0j -2.15525e-07-0j -2.69406e-08-0j -0.0034119-0j 7.24806e-06-0j -0.00104485-0j 7.32317e-06-0j -2.22203e-09-0j -0.00105568-0j -4.97465e-05-0j -2.24505e-09-0j 3.37649e-08-0j -5.02621e-05-0j 3.41148e-08-0j -5.53298e-12-0j -5.59031e-12-0j 
