0.00237299+0.00746164j 0.00716887-0.010242j -0.0351836-0.00910397j 0.0272379-0.00386318j -0.0120783+0.0124674j 0.0120514-0.00836402j -0.000473895+0.00713363j 0.0106284+0.00900934j -0.0126779+0.0148507j 0.0227524+0.00297295j 0.00634554+0.0302173j 0.0133067+0.00458129j -0.00029771-0.00634552j -0.00586972+0.0201197j 0.00995311+0.0115695j -0.0121814-0.00563008j 0.0130537+0.00423158j -0.00213823-0.0157172j 
-0.00630277+0.00476406j -0.0145393+0.00431183j 0.000400608+0.0117211j -0.0156276+0.00723515j -0.0135144+0.0095178j -0.00639543+0.00320976j -0.0079617+0.0129638j -0.00198312-0.01615j -0.0101198+0.0163909j -0.000130059+0.0261861j -0.00881032-0.00804765j 0.00383467-0.00990269j 0.00915227-0.00933694j 0.00451209-0.00154137j 0.00479195-0.004345j 0.00713416+0.00339865j -0.000971812+0.00416841j -0.00351229+0.00268518j 
-0.000286648+0.0263927j 0.012958+0.00300854j 0.0154225+0.0249481j -0.00565242+0.00785097j -0.0163432+0.0180755j 0.00555686+0.00302304j -0.000161246-0.0295984j -0.00508344-0.0046008j -0.0130512+0.00703049j -0.0149388+0.00403322j 0.0124445-0.00619689j 0.00161021+0.01413j -0.00686371-0.00409031j -0.0113221-0.00500469j 0.0150606+0.0131851j -0.0267376+0.0148413j -0.00222796+0.00484547j 0.00564723+0.00908918j 
0.0047314+0.0021829j -0.00274492+0.003014j -0.000255316+0.00464439j -0.00708918-0.00736647j -0.00437827+0.00583317j -0.011575+4.78646e-06j 0.0147307-0.0068024j -0.00283882+0.0056612j -0.00231416+0.00248692j 0.0135312+0.00116483j -0.0153565-0.00279132j 0.0179987+0.00462773j 0.00968454-0.0174169j -0.0102228+0.0189146j -0.0219395+0.0068218j 0.00593678+0.00383551j 0.0139819+0.00517981j 0.00385133-0.00270803j 
0.00347756-0.000136205j 0.013472-0.00292992j 0.00672531+0.00142615j 0.00912001-0.00200854j 0.00344622-0.00764865j 0.00973453+0.00189027j -0.00366695-0.0106231j -0.00126446-0.00130289j -0.0018748-0.0070603j -0.00369569+0.000706512j 0.00367747-0.00574995j -0.00257824+0.00559487j -0.00307093+0.00142112j -0.0053338-0.00544844j 0.00284939-0.000870801j -0.00824066+0.00864196j 0.00017235+0.00437235j 0.00712909-0.000852588j 
0.00819795-0.00141578j 0.00801574-0.00258701j 0.00516312-0.00349966j -0.00239843-0.00513483j 0.000820295+0.00303706j -0.00214127+0.00161765j -0.000548627-0.013592j 0.00590284+0.0049092j -0.00106747-0.00276306j 0.00139735-0.00162812j 0.00213275+0.000295675j 0.0111005+0.0041561j -0.000978704-0.00562352j -0.00523489+0.0118126j -0.00263462+0.00193712j 0.00257974+0.00299554j 0.00257169-0.00267758j 0.00266188-0.000852316j 
0.0104875+0.000142618j 0.00548514-0.000270975j 0.00252458-0.00290926j -0.00285562-0.00683226j -0.00365753+0.00205102j -0.00828229+0.00354962j 0.00971684-0.0131353j 0.00286268+0.00428738j 0.000690019-0.00632597j 0.004512+0.00311455j 0.0028261-0.00294527j 0.00302408-0.00842449j -0.00741993+0.0142053j 0.00503884+0.00471764j 0.00186869-0.00729485j 0.000699963-0.00185482j 0.000577672-0.0064913j -0.0018244-0.000545792j 
0.00651715+0.00498101j -0.00200522+0.000432692j -0.00636208+0.00923441j 0.018907-0.00160828j -0.00662877-0.017679j 0.00102+0.00283654j 0.0123597+0.000839858j -0.0123211-0.000318903j -0.00375129-0.00190755j 0.0115999+0.0125346j -0.0118015-0.0130814j 0.0036414-0.0206204j -0.0129177+0.0239853j 0.0129915+0.0047629j -0.00335185-0.00567831j -0.00799227+0.00538537j -0.000621646+0.00115356j -0.00346787+0.00236264j 
-0.0102427+0.0122309j -0.000966207-0.00305158j -0.00140229+0.00204848j 0.000593978+0.00979299j 0.00547996-0.00203938j 0.003813-0.00582917j -0.00647664-0.000737129j -0.0034218-0.000861121j -0.00196693-0.00398518j -0.0121119-0.00786235j 0.00566538-0.00313028j 0.000638894+0.00886879j -0.00678115+0.0121496j -0.00490127+0.00121512j 0.00155298+0.000269831j -0.000797837-0.00174787j -0.00348896+0.00152735j 0.00390458-0.00378866j 
-0.00998757+0.000871971j -0.00168309-0.00361462j -0.0077251-0.0124219j -0.020519+0.0105247j 0.00662118+0.0199665j -0.00970359-0.00451603j 0.00347505-0.000820589j 0.00753103-0.00271601j -0.00378804+0.00376262j 0.00956956-0.0025475j -0.00770926-0.00137792j 0.00605884-0.00712458j -0.000120922-0.00742181j 0.00316318+0.00607254j -0.0046999+0.000874995j 0.00129192+0.00180166j 0.000861842-0.000606667j -0.00110549+0.00335173j 
0.00310818-0.00278619j -0.00545505+0.00866649j 0.00690771+0.00887982j -0.000824057-0.00421343j -0.00356452+0.00257795j 0.000565963+0.00341107j 0.00172605-0.00467849j 0.00184932+0.00683024j 0.00823269-0.00184781j -0.00218115-0.00813528j 0.000762309+0.00785177j 0.0100362+0.0122485j 0.00635456-0.00501886j -0.00847779+0.0140734j -0.00578201+0.00764066j 0.00931778-0.0034233j -0.000579919-0.00423772j 0.00204276+0.00156594j 
