0.0183465+0.0195012j 0.0186073-0.0172128j -0.0127793+0.00947923j -0.0102474+0.00479232j 0.00730325-0.020177j -0.0212985-0.011187j 0.0136962+0.00446934j -0.00647562-0.00805904j -0.0017041-0.00380031j 0.0101391+0.0027964j 0.0163647+0.0333007j -0.0217741+0.0048526j -0.0384732+0.0384519j 0.00734803-0.00536391j -0.024688-0.0582318j -0.0193684+0.0126554j 0.0285609-0.0215776j -0.035281+0.0141659j -0.0146168+0.00438023j 0.0241239-0.0168273j 0.0246323-0.00728889j -0.0530347-0.00203144j 0.000581158-0.00334156j -0.00466515+0.00293698j 0.00973868-0.00652683j 0.00991625-0.0183171j 0.0168138+0.011209j -0.0315056-0.0441292j -0.0374507-0.0234015j -0.00203261-0.0554334j -0.0445774+0.0176965j -0.0175597-0.0363666j -0.0993114+0.0183141j 0.0107642+0.0995508j 
0.0241955+0.0502786j 0.0549144-0.028359j 0.0139664+0.0118876j -0.0044827+0.00151011j 0.0382091+0.00752694j -0.0144172-0.00585941j 0.00330426+0.0555102j 0.0342773-0.0303494j 0.0378105-0.00365016j -0.010385-0.0298991j 0.0205119+0.00875433j 0.0177863+0.0385433j -0.00324225+0.0288249j -0.032036+0.00301826j -0.032771+0.0179205j 0.011675-0.00821761j 0.0109178-0.015169j -0.000902257+0.00805798j 0.0156993-0.000650745j 0.0300754-0.0191659j 0.00498923-0.0042898j -0.00733311+0.0140558j -0.00315989+0.0106838j 0.00711127+0.010717j -0.0178451-0.015517j 0.0211904+0.00110274j -0.00406241-0.0113308j -0.0174961-0.000614115j -0.0503734-0.0176496j -0.0177202+0.0280662j 0.03032+0.0262082j -0.00291598-0.0550691j -0.0689459-0.00614312j -0.0126544+0.0688904j 
0.0171306-0.0524885j -0.0564947-0.0238705j 0.0453782-0.0348927j 0.0155254-0.0181608j 0.0256333+0.035039j 0.0228464+0.0377731j -0.0309068+0.0112566j -0.00996285+0.0383562j -0.0320324+0.0130787j 0.0189635+0.0193772j -0.00940457+0.00176664j -0.0311555-0.0266848j -0.0081291-0.00582662j 0.0290508-0.0110302j 0.00843349-0.03772j -0.0130852+0.0169286j 0.00107609+0.0071899j -0.0110147+0.00207004j -0.0196323+0.0080275j -0.018876+0.0161076j 0.00554132+0.00151581j -0.015955-0.00887353j -0.000511007-0.0112597j -0.0135599-0.00643584j 0.028632+0.00919007j -0.0162092-0.00427899j 0.0131582+0.0150453j 0.00132817-0.0177326j 0.034286+0.00737001j 0.0116971-0.051441j -0.044877-0.0163026j -0.00547139+0.0349614j 0.0316727+0.00862874j 0.0102482-0.0307907j 
-0.0102365+0.00430768j 0.00243217+0.0154105j -0.00190831-0.00748423j 0.00317683-0.00886922j -0.00553938+0.016638j 0.0192683-0.00417956j -0.0100323-0.00891933j 0.0023364-0.00328163j 0.0105335-0.0008134j -8.84904e-05+0.00135705j -0.0143165-0.0405831j 0.018377+0.0040322j 0.0371233-0.0297322j 0.00698303-0.0120877j 0.00571148+0.0349993j 0.0153543-5.96556e-05j -0.013334-0.00149884j 0.000315313-0.00308476j 0.0144734+0.000192524j -0.0101456+0.00336314j -0.014735+0.00178989j 0.0141515-0.0117642j 0.00838111-0.00199528j 0.0144022+0.00222404j -0.0282686-0.00418076j -0.0163471-0.0034247j -0.0158871-0.00966491j 0.0124441+0.00223394j 0.0281205-0.00654967j -0.00577212+0.0275117j 0.00216875+0.000675118j 0.0208782+0.03312j -0.02504+0.00902685j 0.0127334+0.023967j 
0.00894554+0.0391123j 0.0443321-0.0103711j -0.0117142-0.000741427j -0.00368519+0.00677817j 0.0139249+0.00638672j 0.0137445-0.0360463j 0.00521988+0.0218416j 0.00939237-0.00610947j 0.0170278-0.00557164j 0.0151712+0.0102218j 0.0142684+0.00892447j -0.000780864+0.0189577j 0.000366268+0.0181565j 0.0029208-0.00771262j 0.000251268+0.00121393j 0.00770507-0.0108888j 0.00259893-0.00829184j -0.0068179+0.00661672j 0.00332402-0.00486823j 0.022389-0.0149134j 0.000700647-0.00250367j -0.0189427+0.00321606j -0.0119513+0.00236875j 0.00229356-0.000836667j -0.0178313+0.00355201j 0.0189301-0.012657j -0.00251481-0.00648842j -0.00716872+0.000784307j -0.0339134-0.0229346j 0.0003915-0.0155273j -0.0201254+0.0110894j -0.00262654-0.0197906j -0.0259496+0.0165521j 0.0211943+0.0258859j 
-0.0104874-0.00975263j -0.012784+0.0144182j 0.00844981+0.00928018j -0.0117961-0.00325178j -0.00210513-0.00326366j -0.0143387+0.0170884j -0.00251944+0.0129566j 0.0102585-0.00785913j 0.00505138-0.00591976j 0.00431389+0.0090783j -0.00649757+0.00490571j 0.00103182-0.00546838j -0.0177552-0.0165328j 0.0299952+0.00829357j -0.00271102-0.031544j -0.0189986+0.0223295j -0.00175391-0.0189682j 0.00112603-0.0106798j 0.02653+0.000329165j 0.000751353+0.00734402j 0.0158956-0.00958107j 0.00831689+0.01906j 0.0314354-0.00384994j 0.00822353+0.00483671j 0.0173302-0.0153148j -0.00174865+0.0280612j 0.0133226+0.0139128j -0.0155693-0.0056065j 0.00185562+0.015654j 0.00411455+0.0442033j 0.047953-0.00374633j 0.0119075-0.0124251j -0.00814883+0.00539543j 0.00351104+0.00745641j 
-0.0136533-0.00977677j -0.0113557+0.0136994j 0.0161589+0.0155307j -0.0105933+0.000874109j -0.0129553-0.00649619j -0.0189828+0.0241259j 0.00237509+0.00368691j 0.0181345-0.0100522j -0.00100212+0.0160179j -0.0205951-0.00307643j -0.00410497+0.00930978j -0.00625172+0.00294675j 0.00733723-0.000786617j -0.0362988-0.00738976j 0.0174581+0.0474075j 0.030012-0.0196875j -0.0129442+0.023779j -0.00463857+0.0219754j -0.00965602-0.00365937j 0.000848507+0.00330249j -0.0156671+0.013785j -0.0166069-0.0226774j -0.0293011-0.00746329j -0.00256712-0.00703516j -0.0209112+0.0147635j -0.00597515-0.0130311j -0.0193082-0.00850213j 0.00777236-0.00343978j 0.0140274-0.0303813j 0.00283345-0.0247036j -0.035601+0.000124812j 0.00486615+0.0179054j -0.0103255+0.0193584j 0.0188151+0.0123666j 
-0.0173779+0.0147561j 0.0196189+0.01642j 0.0204367+0.0118238j -0.0228998+0.019995j 0.00553979-0.00971579j -0.0196213+0.0115017j 0.0211357+0.0313151j 0.0111255+0.00667328j -0.00512162-0.0232131j 0.0322294+0.00249492j -0.00825134-0.0154092j 0.00945249+0.00471023j 0.0210565-0.00921508j 0.0102425-0.011626j 0.00643075-0.00299781j -0.00726531-0.0154378j 0.00681178-0.0106074j 0.00434482-0.00641549j -0.00769842+0.00405837j -0.000929786-0.0121244j -0.00598336+0.00179635j 0.00290913-0.00659232j -0.0067981+0.0115336j 0.000453629-0.00170826j -0.0119036+0.0106665j -0.00163667-0.0224278j -0.00596005-0.00904654j 0.0129162+0.00885152j -0.0120316-0.0036601j -0.0075121-0.0226248j -0.0256501+0.00636464j -0.00881289+0.00880657j 0.00958244-0.0031624j -0.00093875-0.0106842j 
-0.0124351-0.00253007j -0.00799721+0.0124017j 0.0054976-0.010117j 0.00228682-0.01193j -0.00123084+0.0112361j -0.00160854+0.00847148j -0.00819137-0.0190066j -0.0129605-0.0136688j 0.00871388-0.00925859j -0.00274157-0.00727055j -0.0291081-0.0340461j 0.0205044-0.0011986j 0.0186966-0.000676876j -0.00781137-0.0111782j -0.012551+0.0106814j 0.0137493-0.00809422j 0.0210726-0.0201277j -0.0171377+0.0116999j -0.0144198+0.0080753j 0.00150347+0.00726211j 0.000205987+0.00937613j -0.00233015-0.0243601j -0.00173536-0.00350917j 0.00373489-0.00417714j -0.0105641+0.000647707j -0.010421+0.0023106j -0.0149759-0.00396022j -0.0107144-0.00631708j 0.00547171-0.00610162j 0.00417366-0.0125146j -0.00750719+0.000695811j -0.00323225-0.01135j 0.00174327+0.00760343j -0.00150562-0.00075696j 
0.0126821-0.0245366j -0.00764916-0.0180871j 0.00547911+0.0164706j 0.00517256+0.0126874j -0.0177972-0.00014839j 0.0102319-0.0112769j 0.00780179+0.00219986j 0.0146757-0.00282655j 0.00449056+0.0150039j -0.00941411-0.00399065j -0.00340856+0.00262098j -0.00368907+0.00290318j -0.0143284-0.00956614j 0.00707892+0.00772503j -0.0115998-0.00869239j -0.00922813+0.00624014j 0.0134291-0.0124768j 0.00217279-0.0146561j 0.0133793+0.00364176j 0.00278372+0.016447j 7.77356e-05-0.006559j 0.00369846+0.00425024j 0.0143111-0.00380784j 0.0138119+0.00679001j 0.00373549-0.00585065j -0.000560937+0.00121586j -0.00111609-0.0106422j -0.00272858-0.00497567j 0.00823643-0.00848525j -0.00166145+0.00645483j -0.00532552-0.00160983j 0.00233703-0.00135379j -0.0145846+0.000515552j 0.00217457+0.0146665j 
0.00780075-0.000928272j -0.00162739-0.0029083j -0.00923377-0.000679028j 0.0150325+0.0111604j 0.00750515-0.00480769j -0.00787859+0.00806084j -0.000361707+0.00497395j -0.0133386+0.00226738j 0.0182615-0.0206358j 0.0135395+0.0111882j 0.00135038+0.0217719j -0.000628698+0.0212137j -0.0186235+0.00657029j -0.00356053+0.00558542j -0.00379507-0.00783592j 0.00316854-0.000699683j 0.0125275-0.0108742j -0.0163805+0.00749977j -0.000453908+0.0113946j -0.00031192+0.0133549j -0.0120699+0.00400799j -0.0220709-0.0222934j 0.00460338-0.00169698j -0.00203998-0.00559486j -0.00658527-0.00328039j 0.00446958-0.00344437j -0.0117789-0.0189049j 0.00488048-0.016475j 0.0213393-0.00515347j -0.00977077+0.00850175j 0.00213941-0.00406842j -0.00852166+0.020204j 0.00260457+0.00723462j 0.00475584+0.00231913j 
