-0.00119604+0.00177929j 0.00298868+0.00272656j 0.0138028+0.00352153j -0.00224348+0.0109598j -0.00152108+0.00598355j -0.00113123+0.00457834j -0.0104796-0.00315442j 0.00994928+0.0162243j 0.00583571+0.00477892j -0.0175561-0.0103861j 0.00286351+4.01946e-05j 0.000847599+0.0119801j -0.00527987+0.0056105j -0.00495672+0.0106493j -0.002903+0.00817606j -0.00881608+0.0113146j 0.00324993-0.0151569j -0.00210987+0.00601911j 0.018917-0.0181047j 0.00822605-0.00557834j 0.0403206+0.0197122j -0.0135413+0.0223111j 
0.00084585+0.00084475j -0.00337446+0.0127703j 0.00688881-0.000290055j -0.00358731-0.00109929j -0.00635093-0.0114545j -0.00727341+0.0140507j 0.00546058-0.0191324j 0.0244279+0.0130647j -0.00219607+0.00885775j 0.00222616-0.00113951j -0.00656473+0.0016786j -0.0074364-0.0101687j -0.00139596+0.00581781j 0.00566123-0.00597867j -0.00770439+0.00709813j 0.00862178-0.0113317j -0.00108025+0.000804488j 0.00400404-0.000868653j 0.00805343-0.00615907j 0.0195972+0.00533169j -0.0354531+0.0153253j -0.0132405-0.0466012j 
0.022411+0.00263755j 0.00276376+0.0351036j 0.0361631-0.0104495j -0.0180878+0.00485519j -0.0065497-0.0155972j -0.00403196+0.00707331j 0.0034823-0.00631376j 0.00774265+0.00131483j -0.0109024-0.00866628j -0.00330813+0.00697759j -0.027071+0.00907727j -0.0156606-0.0286338j 0.00635104+0.0167887j 0.00673052-0.00499554j 0.00104371+0.0212711j 0.00173089-0.0148474j -0.0168376+0.00680981j 0.0412719-0.0241463j -0.00081845-0.0247562j 0.0286736+0.0274572j 0.00361905-0.000927367j 0.00312164+0.00574819j 
0.0111152+0.00104752j 0.000698887+0.0127319j 0.0112939-0.0029416j -0.0183301+0.00261744j -0.0105799-0.019106j -0.000815616+0.0209563j 0.00216905-0.0271435j 0.0310494-0.00975978j -0.0250421+0.00581397j 0.0229149+0.0283727j 0.0402461-0.0235777j 0.041696+0.0265831j -0.00630045-0.0311036j -0.00396607+0.00648866j 5.65078e-05-0.0471386j -0.00321177+0.0244734j 0.00822692+0.0036703j -0.0407142+0.0271018j -0.0154648+0.0271948j -0.0429882-0.0225476j 0.00295702-0.0134711j 0.0053667+0.00695041j 
-0.0137458+0.0075734j -0.00691669-0.0241207j -0.0182638+0.0050025j -0.00637588-0.0146764j 0.0150142-0.0063269j -0.000572321-0.00343017j 0.00245868-0.00133823j -0.00117224-0.00725943j -0.0240245+0.00635822j 0.0233806+0.0177178j -0.0268672+0.0142364j -0.0252881-0.0360571j 0.00951098+0.0143598j 0.00828571-0.00769742j -0.00476811+0.00678792j 0.00424367-0.0260259j -0.0051655+0.0268258j 0.0361737-0.0226801j -0.0119785+0.00940122j 0.0141186+0.0295108j -0.029285+0.0126013j -0.0157901-0.0134508j 
0.0233051-0.0108495j 0.0168571+0.0253015j 0.0133802-0.0219857j -0.0102216-0.019598j 0.0221185-0.0162175j -0.00631585-0.0229288j 0.0141416+0.0201263j -0.0279103-0.000900673j 0.0119146+0.0004909j 0.00837631-0.0143533j -0.00180458-0.00182598j -0.00171845+0.000495531j -0.00447745-0.00227966j -0.00301731+0.00102721j -0.00833073-0.00391637j 0.000607394-0.00160257j 0.018542-0.000641636j -0.0102716+0.0105527j 0.00166609+0.0266732j -0.0171957-0.00602645j -0.00516023+0.00817189j -0.00917956+0.00534611j 
-0.00107118-0.019122j 0.0296969+0.00889432j 0.018556-0.00736347j 0.0112204-0.0201275j 0.0354569+0.0182989j 0.00154509-0.0170954j -0.0105549+0.0236735j -0.0139601+0.00722755j -0.00405282+0.00339244j 0.00243578+0.0110211j 0.0115457-0.00565402j 0.0120091+0.00437295j -0.00568465-0.0108847j 0.000223224+0.00044652j -0.00539932-0.0259659j -0.00160635+0.00958531j -0.00508286+0.0101225j -0.0166502+0.0145233j -0.0121188+0.0117892j -0.0178296-0.0010596j -0.0287659-0.00330457j 4.26308e-05-0.0325924j 
0.0203435+0.00677926j -0.0113792+0.0135299j -0.019292-0.00575886j -0.00512248+0.00588701j -0.00781595-0.00245024j 0.00389704+0.00279127j -0.000214294-0.00653763j 0.000457906-0.00305051j -0.000231504-0.00539337j -0.017154+2.67783e-05j -0.0219137+0.00695352j -0.00843044-0.0126576j 0.00318411+0.0110583j 0.00555619+0.00956147j 0.0127723+0.0172194j 0.0159158-0.0157746j 0.00786021-0.0154064j -0.00416168+0.00444261j -0.000933283+0.00326321j -0.00887342-0.0237627j 0.00492852-0.01154j 0.00412468+5.7226e-05j 
-0.0161503+0.00147742j 0.00499959-0.00864348j 0.0245713+0.00598237j 0.00591486+0.00162612j -0.0102033+0.00558493j -0.00556607+0.00628592j 0.0027241+0.00234474j 0.00911909+0.0087226j 0.0134143-0.00782439j -0.00347647-0.00965821j -0.0185852-0.000923082j -0.00567405-0.0162683j -0.00297624-0.00687148j -0.00505567-0.0011249j 1.1276e-05+0.00609278j 0.00988908-0.00878413j 0.00218699+0.00230666j -0.00887963+0.00200357j -0.00986668+0.000931541j 0.00372433-0.015935j -0.0129594+0.00246043j -0.00740775-0.0194761j 
-0.0129498+0.00326791j 0.00160642-0.00653617j 0.0134105-0.0010962j -0.0145223-0.00397636j -0.00910907-0.0114524j 0.0106006-0.0203092j 0.00274217-0.00857695j -0.0297897-0.0199084j -0.0190838+0.00844967j -0.0050024+0.0143876j 0.0198805-0.0107173j 0.0149819+0.0188717j 0.0115928+0.023186j -0.00443612-0.00111541j -0.00839471+0.00388613j -0.00299912+0.0169914j -0.0113694+0.0082125j 0.0050557-0.00469027j 0.00266447-0.0112515j 0.0159075+0.00665809j 6.15564e-06+0.00419933j 9.817e-05-0.00240898j 
0.0126018+0.00911324j 0.00236027-0.00197224j -0.0180029-0.00023171j -0.0221264-0.00588774j 0.0185091-0.000559269j 0.00621323+0.00113792j -0.014103-0.0010792j -0.00468599+0.000354894j -0.0306816+0.00728556j -0.00578113+0.00957941j -0.0208116+0.00741925j -0.00302217-0.0145207j -0.00367971+0.00694141j 6.33248e-05+0.0212168j 0.00159582-0.00297368j -0.00126645+0.000657655j 0.00549826+0.000373j -0.00791615-0.00125084j 0.00620607+0.00254244j -0.000599828-0.00464621j 0.0066774+0.00613376j 0.00323393-0.00186623j 
