0.0973123-0.324024j 0.33296+0.0961822j 0.10159-0.086132j -0.108802-0.104033j -0.0594443-0.041628j 0.0433338-0.00628178j -0.101937+0.156607j -0.0976719+0.0143294j 0.0333691-0.0176776j -0.0245181-0.000458312j -0.160578-0.0834497j 0.123631+0.0800533j 0.0469959-0.0880103j -0.0378294-0.0552251j 0.102135+0.108742j -0.0813351-0.0801764j 0.0515695-0.0983782j 0.0222918+0.0664311j 0.0235037-0.233739j -0.0359297+0.0271809j -0.00878117-0.148872j -0.105242+0.0550705j 0.240139-0.147456j -0.177253-0.131243j 0.368707-0.0793388j -0.0803318-0.369752j 
0.0511424-0.00794648j 0.0107175+0.0536117j 0.00378938-0.0269175j -0.0313409+0.000549269j 0.00230864-0.00458365j -0.0121462+0.00408243j -0.0491511-0.00592168j 0.012574-0.0259886j 0.0146256+0.0123645j 0.000161056-0.0147401j -0.0386003-0.040424j 0.00485672+0.00284309j 0.000928858-0.0388273j 0.00870447-0.0110512j 0.0343271+0.0182708j 0.00357052-0.0459884j -0.0286257+0.00596926j -0.0163359+0.00200765j 0.0121828-0.0801158j 0.0208027-0.00207568j 0.0401101-0.00177254j -0.0123576+0.0426945j 0.0840365-0.0136473j -0.0290129-0.044891j -0.023293-0.0714518j -0.0755798+0.0256569j 
-0.0211109-0.0522904j 0.0483871-0.0189761j -0.00240856+0.00580885j 0.0315758+0.0114673j -0.0211129+0.032547j 0.00628077-0.00670093j 0.0154677-0.0217002j 0.037849+0.011299j 0.00635709-0.0358257j 0.0191188+0.0237917j 0.00271581-0.0339693j -0.00567016+0.00911974j 0.0510277-0.00983738j 0.0316169+0.0310393j 0.0071492-0.0137171j 0.00709823+0.0237663j 0.00068406-0.00419593j 0.0101226-0.00891203j -0.00278927+0.0228743j -0.0125979+0.0039424j -0.015447+0.00868799j -0.00119422-0.018919j -0.02473+0.00255447j 0.00273477+0.0033911j 0.0183504+0.0264553j 0.0278063-0.0207482j 
0.0172654+0.0336897j -0.0287828+0.0182656j -0.0177654-0.00785296j -0.010552+0.0178877j 0.00609991+0.00910118j -0.014131-0.0028846j -0.0233005-0.019951j 0.0283787-0.0143309j 0.00327375+0.0114268j 0.0097349-0.00848542j -0.00966183-5.72667e-05j 0.00557549-0.019338j -0.0193542-0.0241192j -0.0160286+0.0173562j 0.0287844+0.00721464j 0.00779015-0.0221356j -0.0308668+0.0177255j -0.00386233+0.00438728j 0.00460485-0.0282089j 0.0328295-0.000990315j 0.0139596+0.000353685j 0.0152798+0.0255761j -0.00196211+0.00839702j 0.00877755+0.033744j -0.0104155-0.00264418j -0.00383472+0.0138496j 
-0.00510741+0.0201707j -0.0209305-0.00951763j 0.00778547-0.00950208j -0.0220509-0.00705116j 0.0117023-0.0171408j -0.00520097-0.000369968j 0.00726335+0.00695278j -0.0139902+0.00332342j -0.00192092-0.00322814j -0.0120393-0.0063387j -0.00796904-0.00829405j 0.00026477-0.0020709j 0.0157673+0.00760353j 0.00896383-0.0102039j -0.00473466+0.000125143j 0.00473062-0.0118354j -0.00233076-0.00254221j -0.0185692-0.00862814j -0.00198714-0.00496898j 0.00278465+0.00673132j 0.00719336+0.00402544j -0.0123705+0.0107142j 0.0151042+0.00580437j -0.00114005-0.0235335j -0.0430854-0.0041166j -0.00281257+0.0423888j 
-0.0132931+0.0132282j -0.0145964-0.0139021j -0.0138578+0.0115827j 0.0149567+0.016256j -0.0155346+0.0145111j -0.00855686-0.00430775j 0.0231678+0.0155821j 0.00178399+0.00620618j 0.0049594-0.0127446j 0.00883468+0.0171253j -0.0117005+0.0165416j 0.00424317-0.0291056j -0.0192623-0.000960273j -0.0106091+0.00971465j 0.0231925-0.00318113j 0.0091863-0.0214786j 0.00298842-0.00431894j -0.0238463-0.0119766j -0.000669626-0.00588084j 0.0160521+0.00494925j -0.0121322-0.00234576j -0.0148918+0.0189353j 0.0168688+0.0362313j 0.0397717-0.0148195j -0.016056+0.0160192j 0.014884+0.0158172j 
0.00479344-0.0173102j 0.0168982+0.00892351j -0.00535732-0.00573086j -0.00772033+0.00509589j 0.00742662+1.82157e-05j 0.0178694-0.000224738j -0.0188026-0.00537398j 0.0011573-0.00644804j -0.0083228+0.0196016j 0.00843006-0.016899j 0.0141452+0.0137578j -0.00458591+0.0214734j -0.00355806-0.0134231j -0.00926016+0.00733546j 0.00108137+0.0128894j 0.000468895+0.00688563j 0.00207816-0.000271121j 0.00685011-0.00557366j 0.00466187+0.00524665j -0.00035151+0.00327103j 0.00297276-0.00625145j -0.00495287-0.00556722j -0.00862706+0.00740829j 0.00217333+0.0129967j -0.00161696-0.00663566j -0.00773808+0.00110071j 
-0.0105664-0.000325702j -0.000995258-0.0137488j -0.011874-0.0345287j -0.039183+0.0100347j -0.00241762-0.0311544j 0.0102173-0.007058j -0.0117079-0.000367494j -0.0026645+0.000466223j -0.0238709+0.00739973j -0.0210977-0.0138141j 0.00726396+0.00212618j -0.00811479+0.0103172j 0.0169205-0.0102183j 0.0222552+0.0253237j 0.0202278-0.0299099j -0.0128422-0.0132659j -0.00719966-0.00332315j -0.0119458+0.000559971j -0.00914715-0.00482825j 0.0215165-0.0114105j -0.00991742-0.00785871j 0.00243115+0.0186254j 0.00940973+0.0184556j 0.0195341-0.00299152j 0.0129527+0.0139802j 0.0147107-0.0139701j 
0.00918006+0.0268186j -0.0268279+0.00504904j 0.0188546-0.019934j -0.00688001-0.0117079j -0.00937365-0.0111243j -0.0173578+0.0157523j -0.0025696+0.00594483j -0.00187456-0.00657072j 0.0118031-0.0199077j -0.0138797+0.0165616j -0.0290367-0.0264693j -0.0106658-0.0206712j 0.00368302+0.0106762j 0.0160655-0.00651641j 0.0100308-0.0129219j 0.00515302-0.00364846j 0.00671666+0.0169268j 0.020692+0.00155539j -0.000870816-0.00593121j 0.00592894-0.0122476j 0.0150161+0.000257309j 0.0164827-0.016702j -0.0311715-0.0024907j 0.00166651+0.032123j 0.00509664-0.0063749j -0.00479468-0.0055243j 
-0.00765917-0.0205946j 0.0164619+0.000563691j 0.0113638+0.0119401j 0.0163653-0.00145788j -0.0123314-0.0121457j 0.0113419+0.0080845j 0.00927838-0.00784345j -0.0192493+0.00502733j 0.000776566+0.00477456j -0.0122788+0.00716101j 0.000650434-0.00327849j -0.0240182+0.0158964j -0.00606161+0.0117541j 0.00149779-0.0243125j -0.000513882-0.0242612j 0.0205691+0.000112948j -0.0203674-0.0133436j -0.0123104-0.00931685j -1.05086e-05-0.0100313j -0.0157721+0.0156056j 0.00644931+0.0104001j -0.00491958+0.0135557j 0.0139454+0.00646577j -0.0006226+0.000779121j -0.00119699-0.00041371j -0.00749103+0.00338102j 
0.00869493+0.0194482j -0.0178052+0.00648755j -0.00813769-0.00436682j -0.00277197+0.00335862j 0.0117698+0.00155133j -0.00713833+0.00243643j -0.00659563-0.00793322j 0.0125832-0.00791888j 0.00255165-0.00146745j -0.000574332-0.00784182j -0.000610792+0.000954821j 0.00451016-0.00856594j -0.00449549-0.000756628j 0.00228916-0.00116329j -0.00666715-0.00176917j -0.00697546+0.0145788j -0.0142693+0.00221418j 0.0110213-0.00324334j -0.00137845-0.00994292j -0.0173773-0.00919683j -0.00344815+0.0101139j 0.00249323-0.0106887j 0.00220635-0.00363392j 0.0113505-0.0043663j -0.0160101-0.00601991j -0.00588071+0.0163599j 
0.00025127+0.0107542j -0.00748369-9.14171e-05j -0.00647059-0.00193456j 0.00592781-0.00497616j 0.005623-0.010053j 0.00528491-0.00187768j -0.0107112-0.0202436j 0.0193062-0.0038046j -0.00423204-0.0158858j -0.0144376-0.00389722j 0.00204514+0.00341845j 0.00694683-0.00834751j -0.00481902+0.00800402j -0.0140286-0.00557852j -0.0150147-0.00755874j 0.00580036+0.0184843j -0.032422+0.0041218j 0.0056207-0.0101589j -0.0100123-0.0125179j -0.0277615+0.0115287j -0.00440465+0.0150804j -0.00473883-0.00721338j -0.000317351-0.00831801j 0.0176259-0.00364336j -0.0126511+0.00577709j 0.00410487+0.0164935j 
-0.0129686-0.0106062j 0.00755694-0.00541984j 0.0173047-0.00888941j 0.0132559-0.00724915j -0.024337-0.00477506j 0.0107946+0.0064788j -0.006237-0.00369024j 0.00041096+0.00331433j 0.000289221+0.000878966j -0.003565+0.0107159j 0.00452454-0.00160963j -0.0123431+0.00731604j -0.010499-0.002725j -0.00356825-0.0023214j 0.00546109-0.00336931j -0.00143991+0.00141039j 0.00216503-0.00400663j 0.00361331+0.0084608j 0.00765128+0.00547991j -0.00272224-0.00148015j 0.000796832+0.0034415j 0.00242351-0.001018j 0.00543714-0.0029111j -0.00301655-0.00359671j 0.00412206+0.00390458j -0.000339788-0.00423783j 
0.00771595-0.00610905j 0.00933981+0.00555187j -0.0100892-0.00294263j 0.00718043-0.0110198j -0.00329889-0.00632832j -0.0081123-0.0121262j -0.00761108-0.0113719j 0.0121776-0.0075984j -0.00963826-0.0119486j -0.00754596+0.00626599j 0.00849609-0.00491483j 0.0149099-0.00394682j 0.000210414+0.00127611j -0.000294598+0.00124857j -0.00211665-0.00378111j 0.000539455-0.00996734j 0.0221292-0.016817j -0.00931635-0.0107795j -0.00356056+0.0149503j 0.00721411-0.0074423j -0.00926835-0.0235456j -0.0164644+0.00477361j 0.000252537-0.00947763j -0.0118725-0.00482652j 0.00241435-0.00574177j -0.00528987-0.00294435j 
0.00534393-0.00110273j 0.00428591+0.00735325j 0.0109998-0.0136405j 0.00639836-0.00634596j 0.00359701-0.00525233j -0.0370025+0.00524986j -0.00438459-0.0148194j -0.00980241-0.00672718j 0.0121128+0.0177648j 0.00670342+0.01349j 0.00585698+0.00249872j 0.00923113+0.0128608j 0.00251564-0.0026877j -0.00184218-0.00366136j 0.000755317-0.0164944j 0.00953279-0.00294997j -0.00408039-0.00846355j -0.0106739-0.0172541j -0.0206732+0.00355517j -0.00588851+0.00586818j -0.0147649-0.020718j -0.0102366+0.00612052j 0.00568627-0.0105059j 0.00247229+0.0060949j 0.00870374+7.48283e-05j -0.000841067-0.00821803j 
0.00176464-0.00402787j 0.00272066+0.0022906j 0.00808235+0.00200983j -0.000696831+0.00376834j 0.0103867+0.0112075j -0.0165974+0.0061497j 0.0106728+0.00381817j -0.0137068+0.00315819j 0.0137162+0.0162179j 0.0182964-0.0014461j 0.000476245-0.00513898j 0.00125265+0.0129874j 0.0106324-0.00784208j 0.0115229-0.00353287j 0.00200973+0.00646412j -0.00218308-0.00434182j 0.0145857-0.00938115j -0.00475159+0.00122146j 0.00728907+0.0115257j 0.00648163-0.0079392j -0.00259355-0.00868106j 0.00149801-5.47814e-05j -0.00229447+0.00259627j -0.0121923+0.00746998j -0.00857232-0.00459666j -0.00360786+0.00536836j 
0.00306639-0.0032865j 0.00534987+0.0049592j 0.000325989+0.0119997j 0.00705501-0.00183614j -0.00218939-0.00269977j 0.00141548-0.00211269j -0.00197095-0.0103711j -0.00412743+0.00250182j 0.00167076+0.00237431j -0.00520606+0.00266075j 0.000669853-0.00675663j -0.00475983+0.00815613j -0.00127429+0.0105876j -0.00286653-0.00844986j -0.0064053-0.0175274j 0.00876286-0.0166344j -0.00793129-0.0040704j -0.0131805-0.00251828j -0.0028771+0.00253209j 0.0100133+0.00015501j 0.000437279-0.00926055j 0.00832921+0.0124313j -0.00585931+0.00351037j 0.00248604+0.023874j 0.00785684-0.00428504j -0.00544905-0.00478329j 
