-0.00340204-0j -0.000567006-0j -0.000347219-0j -7.08758e-05-0j -4.1764e-06-0j -0.00306476-0j -0.000494574-0j -0.000403818-0j -5.82861e-05-0j -5.04773e-05-0j -5.9488e-06-0j -2.71524e-07-0j -0.00197209-0j -0.00199253-0j -0.000311815-0j -0.000315046-0j -0.000246511-0j -0.000164341-0j -3.55809e-05-0j -0.000249066-0j -0.000166044-0j -3.59496e-05-0j -4.10852e-05-0j -1.45258e-05-0j -3.42377e-06-0j -4.1511e-05-0j -1.46764e-05-0j -3.63146e-06-0j -3.45925e-06-0j -3.66909e-06-0j -3.02621e-07-0j -3.05757e-07-0j -1.1278e-08-0j -1.13949e-08-0j -0.00148609-0j -0.00183894-0j -0.00107271-0j -0.000231684-0j -0.000286695-0j -0.000167239-0j -0.000179462-0j -2.59031e-05-0j -0.000163825-0j -0.000222073-0j -3.20534e-05-0j -0.000129542-0j -2.89605e-05-0j -0.000202724-0j -1.86978e-05-0j -1.9307e-05-0j -2.41338e-06-0j -0.000118255-0j -1.67204e-05-0j -3.58368e-05-0j -2.38912e-05-0j -3.41303e-06-0j -2.9864e-06-0j -2.09048e-05-0j -1.70652e-06-0j -2.06904e-05-0j -2.01115e-07-0j -1.39365e-05-0j -1.74207e-06-0j -4.22341e-06-0j -1.20694e-05-0j -2.46314e-07-0j -2.11171e-06-0j -2.48867e-07-0j -2.46366e-06-0j -1.58995e-08-0j -1.23183e-06-0j -3.04798e-07-0j -1.45172e-07-0j -5.00788e-10-0j -1.77799e-07-0j -1.96747e-08-0j -6.19693e-10-0j -1.14769e-08-0j -3.61488e-10-0j 
0.000520828-0j -0.00409293-0j 5.31568e-05-0j -0.00103408-0j -0.000122507-0j 0.000469194-0j -0.00357008-0j 6.18218e-05-0j -0.0008504-0j -0.00036437-0j -0.000130646-0j -9.96627e-06-0j 0.000301914-0j 0.000305042-0j -0.00225084-0j -0.00227416-0j 3.77392e-05-0j 2.51595e-05-0j -0.000519128-0j 3.81303e-05-0j 2.54202e-05-0j -0.000524508-0j -0.000296574-0j 2.2238e-06-0j -7.51918e-05-0j -0.000299647-0j 2.24685e-06-0j -5.29833e-05-0j -7.5971e-05-0j -5.35323e-05-0j -8.87688e-06-0j -8.96887e-06-0j -4.97096e-07-0j -5.02247e-07-0j 0.000227509-0j 0.000281529-0j 0.000164225-0j -0.00167241-0j -0.0020695-0j -0.00120721-0j 2.74744e-05-0j -0.000377928-0j 2.50806e-05-0j 3.39978e-05-0j -0.000467662-0j 1.9832e-05-0j -0.000209052-0j 3.10356e-05-0j -0.000272803-0j -0.000139368-0j -5.30018e-05-0j 1.81041e-05-0j 2.55977e-06-0j -0.000258688-0j -0.000172459-0j -4.97964e-05-0j -6.55864e-05-0j -0.000150901-0j -1.23185e-05-0j 3.16756e-06-0j -5.89935e-06-0j -0.000100601-0j -3.82587e-05-0j -6.16199e-05-0j 1.84774e-06-0j -5.40948e-06-0j -1.52433e-05-0j -7.30008e-06-0j -3.5945e-05-0j -5.8359e-07-0j -8.89195e-06-0j -6.69389e-06-0j -4.25838e-06-0j -2.57646e-08-0j -3.90477e-06-0j -7.22155e-07-0j -3.1882e-08-0j -4.21257e-07-0j -1.85978e-08-0j 
0.000393709-0j 6.56182e-05-0j -0.00772354-0j -0.000784179-0j 4.83324e-07-0j 0.000354678-0j 5.72358e-05-0j -0.0044679-0j 6.74531e-06-0j -0.00112282-0j -6.58184e-05-0j 3.14229e-08-0j 0.000228225-0j 0.00023059-0j 3.60856e-05-0j 3.64595e-05-0j -0.00272744-0j 1.90188e-05-0j 4.11768e-06-0j -0.0027557-0j 1.92159e-05-0j 4.16036e-06-0j -0.000454573-0j -0.000485509-0j 3.96224e-07-0j -0.000459284-0j -0.000490541-0j -8.07781e-05-0j 4.0033e-07-0j -8.16152e-05-0j -3.34825e-06-0j -3.38294e-06-0j 1.30518e-09-0j 1.3187e-09-0j -0.0588985-0j -0.0728831-0j -0.0425152-0j 2.68122e-05-0j 3.31785e-05-0j 1.93541e-05-0j -0.00198559-0j 2.9977e-06-0j 1.89591e-05-0j -0.00245704-0j 3.70946e-06-0j -0.00143328-0j -0.000320423-0j 2.34607e-05-0j 2.16385e-06-0j 2.23435e-06-0j 2.79294e-07-0j 1.36854e-05-0j -0.000371928-0j -0.000396504-0j 2.76487e-06-0j -3.77622e-05-0j 3.45609e-07-0j -0.000231294-0j -5.70384e-05-0j -0.000460237-0j 2.32745e-08-0j 1.61284e-06-0j 2.01605e-07-0j -4.67284e-05-0j -0.000268472-0j -5.47902e-06-0j -7.05814e-05-0j 2.88007e-08-0j -2.72582e-05-0j -1.75914e-07-0j -4.11725e-05-0j -6.77994e-06-0j 1.68004e-08-0j 5.79549e-11-0j -3.95496e-06-0j -2.17683e-07-0j 7.17156e-11-0j -1.26982e-07-0j 4.18341e-11-0j 
-5.6827e-05-0j 0.000902622-0j -5.79989e-06-0j -0.00526294-0j -0.00191413-0j -5.11933e-05-0j 0.000787317-0j -6.74531e-06-0j -0.00432809-0j 8.03552e-05-0j -0.00135371-0j -0.000208134-0j -3.29415e-05-0j -3.32829e-05-0j 0.000496381-0j 0.000501525-0j -4.11768e-06-0j -2.74512e-06-0j -0.00264209-0j -4.16036e-06-0j -2.77357e-06-0j -0.00266947-0j 6.5404e-05-0j -2.42637e-07-0j -0.000779113-0j 6.60818e-05-0j -2.45151e-07-0j -0.000269657-0j -0.000787187-0j -0.000272451-0j -0.000138698-0j -0.000140135-0j -1.29947e-05-0j -1.31293e-05-0j 0.00850126-0j 0.0105198-0j 0.00613653-0j 0.00036882-0j 0.000456392-0j 0.000266229-0j -2.9977e-06-0j -0.00192346-0j -2.73651e-06-0j -3.70946e-06-0j -0.00238016-0j -2.16385e-06-0j 4.61025e-05-0j -3.38626e-06-0j -0.00138842-0j 3.0735e-05-0j -0.000549188-0j -1.97532e-06-0j -2.79294e-07-0j 5.7049e-05-0j 3.80327e-05-0j -0.000253438-0j -0.000679586-0j 3.32786e-05-0j 2.71662e-06-0j -3.45609e-07-0j -9.2175e-05-0j 2.21857e-05-0j -0.000396425-0j -0.000313613-0j -2.01605e-07-0j -5.60513e-05-0j 3.36164e-06-0j -0.000114061-0j -0.000182941-0j -1.21876e-05-0j 1.96096e-06-0j -6.93599e-05-0j -6.65355e-05-0j -8.08943e-07-0j -4.046e-05-0j -1.50814e-05-0j -1.00102e-06-0j -8.79746e-06-0j -5.83926e-07-0j 
0.000347219-0j -0.0083543-0j 3.54379e-05-0j 7.23373e-06-0j 4.26252e-07-0j 0.000312796-0j 5.04773e-05-0j -0.00594988-0j -0.000858791-0j 5.15181e-06-0j 6.07147e-07-0j 2.77124e-08-0j -0.0588692-0j -0.0594792-0j 3.18245e-05-0j 3.21543e-05-0j 2.51595e-05-0j -0.00485959-0j 3.63146e-06-0j 2.54202e-05-0j -0.00490995-0j 3.66909e-06-0j -0.000605352-0j 1.48254e-06-0j -5.0446e-05-0j -0.000611625-0j 1.4979e-06-0j 3.70634e-07-0j -5.09688e-05-0j 3.74475e-07-0j 3.08862e-08-0j 3.12062e-08-0j 1.15106e-09-0j 1.16299e-09-0j 0.000151673-0j 0.000187686-0j 0.000109483-0j -0.00691604-0j -0.00855816-0j -0.00499226-0j 1.83162e-05-0j 2.64372e-06-0j -0.00241381-0j 2.26652e-05-0j 3.27144e-06-0j 1.32214e-05-0j 2.95577e-06-0j -0.00298694-0j 1.90834e-06-0j -0.000570912-0j 2.46314e-07-0j -0.00174238-0j -0.000246359-0j 3.65758e-06-0j -0.000706467-0j -5.02878e-05-0j 3.04798e-07-0j 2.13359e-06-0j 1.74171e-07-0j -0.000304853-0j -2.96323e-06-0j -0.000412106-0j 1.77799e-07-0j -6.22279e-05-0j -0.000177831-0j 2.51393e-08-0j 2.15525e-07-0j -3.66682e-06-0j -3.62996e-05-0j 1.62274e-09-0j 1.25723e-07-0j 3.11084e-08-0j -2.13898e-06-0j 5.11114e-11-0j 1.81465e-08-0j 2.00804e-09-0j 6.32472e-11-0j 1.17135e-09-0j 3.68942e-11-0j 
-0.0637153-0j 5.49001e-05-0j 3.36193e-05-0j 6.86252e-06-0j 4.04378e-07-0j -0.0720495-0j -0.00926267-0j 3.90995e-05-0j 5.64353e-06-0j 4.88744e-06-0j 5.7599e-07-0j 2.62902e-08-0j 0.000190947-0j 0.000192926-0j -0.00733045-0j -0.00740642-0j -0.00461681-0j 1.59122e-05-0j -0.000666379-0j -0.00466465-0j 1.60771e-05-0j -0.000673285-0j 3.97806e-06-0j 1.40646e-06-0j 3.31505e-07-0j 4.01929e-06-0j 1.42103e-06-0j 3.51614e-07-0j 3.34941e-07-0j 3.55258e-07-0j 2.93012e-08-0j 2.96048e-08-0j 1.09199e-09-0j 1.10331e-09-0j 0.00014389-0j 0.000178054-0j 0.000103865-0j 2.24327e-05-0j 2.77591e-05-0j 1.61928e-05-0j -0.00421896-0j -0.000608955-0j -0.00306822-0j -0.0052207-0j -0.000753543-0j -0.00304541-0j -0.00054239-0j -0.00379673-0j -0.000439567-0j 1.86939e-06-0j -4.51991e-05-0j -0.00221476-0j 1.61894e-06-0j -0.000671173-0j 2.31326e-06-0j 3.30465e-07-0j -5.59311e-05-0j -0.000391518-0j 1.65233e-07-0j 2.00334e-06-0j 1.94729e-08-0j 1.3494e-06-0j -3.26265e-05-0j 4.0893e-07-0j 1.16861e-06-0j 2.38493e-08-0j 2.04465e-07-0j 2.40964e-08-0j 2.38542e-07-0j 1.53946e-09-0j 1.19271e-07-0j 2.9512e-08-0j 1.40563e-08-0j 4.84886e-11-0j 1.72153e-08-0j 1.90499e-09-0j 6.00015e-11-0j 1.11124e-09-0j 3.50009e-11-0j 
-6.13802e-05-0j 0.000482357-0j 0.00120412-0j -0.0116512-0j 1.44376e-05-0j -5.52951e-05-0j 0.000420738-0j 0.000696556-0j 0.000100221-0j -0.00825378-0j -0.00147201-0j 1.17454e-06-0j 0.0104067-0j 0.0105145-0j 0.000265264-0j 0.000268013-0j 0.000425214-0j -2.96507e-06-0j 6.11798e-05-0j 0.00042962-0j -2.9958e-06-0j 6.18138e-05-0j -0.00334155-0j 7.56921e-05-0j 8.86143e-06-0j -0.00337617-0j 7.64765e-05-0j -0.00120019-0j 8.95326e-06-0j -0.00121262-0j -0.000100017-0j -0.000101054-0j 5.85833e-08-0j 5.91904e-08-0j -2.68122e-05-0j -3.31785e-05-0j -1.93541e-05-0j -0.0576466-0j -0.071334-0j -0.0416115-0j 0.000309558-0j 4.45393e-05-0j -2.95577e-06-0j 0.000383059-0j 5.51145e-05-0j 0.000223451-0j -0.00235542-0j -3.65758e-06-0j 3.21502e-05-0j 1.64246e-05-0j 6.24633e-06-0j -2.13359e-06-0j 5.79845e-05-0j -0.00291468-0j 2.03245e-05-0j -0.000561065-0j 7.72943e-06-0j -0.00170023-0j -0.000419287-0j 7.17521e-05-0j 6.95246e-07-0j 1.18559e-05-0j 4.50884e-06-0j -0.000694282-0j 4.18554e-05-0j -0.000122536-0j -0.000518841-0j 8.60323e-07-0j -0.000404998-0j -6.5754e-06-0j -0.000302657-0j -0.000151631-0j 5.01855e-07-0j 3.03638e-09-0j -8.84515e-05-0j -8.13665e-06-0j 3.75733e-09-0j -4.74638e-06-0j 2.19178e-09-0j 
5.11502e-06-0j -0.000122294-0j 5.22049e-07-0j 0.00145173-0j -0.0163038-0j 4.60792e-06-0j -0.000106672-0j 6.07147e-07-0j 0.00119386-0j -1.08871e-05-0j -0.00562169-0j -0.00267805-0j -0.000867225-0j -0.000876212-0j -6.72535e-05-0j -6.79505e-05-0j 3.70634e-07-0j 2.47089e-07-0j 0.000728794-0j 3.74475e-07-0j 2.4965e-07-0j 0.000736346-0j -8.86143e-06-0j 2.18398e-08-0j -0.0032355-0j -8.95326e-06-0j 2.20661e-08-0j 7.43822e-05-0j -0.00326903-0j 7.5153e-05-0j -0.00118138-0j -0.00119362-0j -0.00022364-0j -0.000225958-0j 2.23435e-06-0j 2.76487e-06-0j 1.61284e-06-0j 0.0146154-0j 0.0180856-0j 0.01055-0j 2.69824e-07-0j 0.000530566-0j 2.46314e-07-0j 3.3389e-07-0j 0.000656542-0j 1.94769e-07-0j -6.24633e-06-0j 3.04798e-07-0j 0.000382983-0j -4.16422e-06-0j -0.00228067-0j 1.77799e-07-0j 2.51393e-08-0j -7.72943e-06-0j -5.15296e-06-0j 6.99082e-05-0j -0.00282218-0j -4.50884e-06-0j -3.68068e-07-0j 3.11084e-08-0j -0.000785113-0j -3.00589e-06-0j -0.00164627-0j 8.6507e-05-0j 1.81465e-08-0j -0.00023277-0j -4.55461e-07-0j -0.000971528-0j 5.04624e-05-0j -0.000156817-0j -2.65686e-07-0j -0.000288038-0j -0.000566725-0j -1.7433e-05-0j -0.000168022-0j -0.000194051-0j -2.15722e-05-0j -0.000113197-0j -1.25838e-05-0j 
-5.49001e-05-0j -0.0622832-0j -5.60322e-06-0j 0.000109002-0j 1.29134e-05-0j 0.0120082-0j 0.00037632-0j 0.000940758-0j -0.0129408-0j 3.8408e-05-0j 1.37713e-05-0j 1.05054e-06-0j -3.18245e-05-0j -3.21543e-05-0j -0.0576064-0j -0.0582034-0j -3.97806e-06-0j 0.000768368-0j 5.47209e-05-0j -4.01929e-06-0j 0.000776331-0j 5.5288e-05-0j -0.00451304-0j -2.3441e-07-0j -0.00114421-0j -0.00455981-0j -2.36839e-07-0j 5.58493e-06-0j -0.00115607-0j 5.6428e-06-0j 9.35705e-07-0j 9.45402e-07-0j 5.23985e-08-0j 5.29415e-08-0j -2.39816e-05-0j -2.96757e-05-0j -1.73108e-05-0j 0.000176288-0j 0.000218145-0j 0.000127251-0j 0.000703161-0j -0.00967245-0j 0.000381657-0j 0.000870117-0j -0.011969-0j 0.000507568-0j 2.2036e-05-0j 0.000472277-0j -0.00698194-0j -0.00425628-0j 5.58688e-06-0j 0.000275495-0j 3.89527e-05-0j 2.72681e-05-0j -0.00526688-0j -0.000757765-0j 6.91342e-06-0j 1.59064e-05-0j 1.29848e-06-0j 4.82015e-05-0j -8.9772e-05-0j -0.00307234-0j 4.03283e-06-0j -0.000937686-0j 2.81176e-05-0j 5.70209e-07-0j 1.60679e-06-0j -0.000111087-0j -0.000546984-0j 6.15158e-08-0j 9.37294e-07-0j 7.05597e-07-0j -6.48009e-05-0j 2.71582e-09-0j 4.11599e-07-0j 7.61219e-08-0j 3.36066e-09-0j 4.44044e-08-0j 1.96038e-09-0j 
0.0145786-0j 0.000295382-0j -3.83626e-06-0j 7.46286e-05-0j 8.84121e-06-0j -3.38612e-05-0j -0.0999305-0j -4.4616e-06-0j 6.13723e-05-0j 2.62961e-05-0j 9.42854e-06-0j 7.19254e-07-0j -2.17887e-05-0j -2.20145e-05-0j 0.00016244-0j 0.000164124-0j 0.00105636-0j -1.81573e-06-0j -0.014531-0j 0.00106731-0j -1.83454e-06-0j -0.0146815-0j 2.14034e-05-0j -1.60489e-07-0j 5.4265e-06-0j 2.16252e-05-0j -1.62152e-07-0j 3.82374e-06-0j 5.48273e-06-0j 3.86336e-06-0j 6.40633e-07-0j 6.47272e-07-0j 3.58748e-08-0j 3.62466e-08-0j -1.64191e-05-0j -2.03176e-05-0j -1.18519e-05-0j 0.000120696-0j 0.000149354-0j 8.7123e-05-0j -1.98279e-06-0j 2.72746e-05-0j 0.000702032-0j -2.45358e-06-0j 3.37506e-05-0j -1.43125e-06-0j -0.00585158-0j 0.00086872-0j 1.96879e-05-0j 1.0058e-05-0j -0.00148358-0j 0.000506754-0j -1.84736e-07-0j -0.00724096-0j 1.24461e-05-0j 3.59375e-06-0j -0.00183584-0j -0.00422389-0j 8.8901e-07-0j -2.28599e-07-0j 4.25749e-07-0j 7.26025e-06-0j -0.0010709-0j 4.44704e-06-0j -1.33349e-07-0j 3.90395e-07-0j 1.10009e-06-0j 5.26838e-07-0j 2.5941e-06-0j 4.2117e-08-0j 6.41721e-07-0j 4.8309e-07-0j 3.07322e-07-0j 1.8594e-09-0j 2.81802e-07-0j 5.21171e-08-0j 2.30089e-09-0j 3.04016e-08-0j 1.34218e-09-0j 
-3.36193e-05-0j -5.60322e-06-0j -0.0627223-0j 0.000134625-0j -4.12716e-08-0j 0.00735352-0j -4.88744e-06-0j 0.00076703-0j -5.7599e-07-0j -0.00911831-0j 1.12994e-05-0j -2.68324e-09-0j -1.94884e-05-0j -1.96904e-05-0j 0.000748161-0j 0.000755914-0j 0.000468235-0j -1.62404e-06-0j -3.51614e-07-0j 0.000473087-0j -1.64087e-06-0j -3.55258e-07-0j 7.80391e-05-0j -0.00795483-0j -3.38341e-08-0j 7.88478e-05-0j -0.00803727-0j -0.000655993-0j -3.41847e-08-0j -0.000662791-0j 5.74812e-07-0j 5.80769e-07-0j -1.11451e-10-0j -1.12606e-10-0j -1.46857e-05-0j -1.81726e-05-0j -1.06007e-05-0j -2.28953e-06-0j -2.83315e-06-0j -1.65267e-06-0j -0.082765-0j 6.21512e-05-0j -1.61894e-06-0j -0.102416-0j 7.69082e-05-0j -0.0597429-0j 5.50089e-05-0j -2.00334e-06-0j 4.48631e-05-0j -1.90794e-07-0j -2.38493e-08-0j -1.16861e-06-0j -0.0030204-0j 6.807e-05-0j -2.36096e-07-0j 6.48286e-06-0j -2.9512e-08-0j 3.97075e-05-0j -0.000934545-0j -0.00373755-0j -1.98744e-09-0j -1.37723e-07-0j -1.72153e-08-0j 8.02213e-06-0j -0.00218024-0j -4.44947e-05-0j -0.00115644-0j -2.45933e-09-0j 4.67958e-06-0j 3.02002e-08-0j -0.00067459-0j -5.50593e-05-0j -1.43461e-09-0j -4.94884e-12-0j -3.21179e-05-0j 3.73709e-08-0j -6.12388e-12-0j 2.17997e-08-0j -3.57226e-12-0j 
