-0.195953-0j -0.234258-0j -0.181455-0j -0.200834-0j -0.165645-0j -0.22454-0j -0.149693-0j -0.143483-0j -0.129638-0j -0.202916-0j -0.101458-0j -0.091687-0j -0.112293-0j -0.0555823-0j -0.0134244-0j 
0.152877-0j 0.0330989-0j 0.141566-0j -0.099932-0j 0.129231-0j 0.0317257-0j 0.0211505-0j -0.163063-0j 0.10114-0j -0.100968-0j 0.0143352-0j -0.162775-0j -0.127617-0j -0.134188-0j -0.0495624-0j 
-0.0725158-0j -0.0157002-0j -0.0671506-0j 0.0474019-0j -0.0612998-0j -0.0150488-0j -0.0100326-0j 0.0773475-0j -0.0479747-0j 0.0478931-0j -0.00679979-0j 0.0772111-0j 0.060534-0j 0.0636507-0j 0.0235095-0j 
0.0879866-0j 0.105186-0j -0.0523849-0j 0.0901782-0j 0.0743777-0j -0.064823-0j 0.0672149-0j 0.0644264-0j -0.133061-0j -0.0585803-0j -0.178983-0j 0.0411691-0j -0.115258-0j -0.0160462-0j 0.00602779-0j 
-0.0973833-0j 0.0742513-0j -0.0901782-0j 0.0932617-0j -0.0823211-0j 0.0711709-0j 0.0474473-0j -0.00785551-0j -0.0644264-0j 0.0942282-0j 0.0321584-0j -0.113728-0j -0.00614791-0j -0.171892-0j -0.118088-0j 
-0.0511156-0j -0.0611075-0j 0.0304329-0j -0.0523888-0j -0.0432096-0j 0.0376588-0j -0.0390483-0j -0.0374284-0j 0.0773014-0j 0.0340321-0j 0.10398-0j -0.0239171-0j 0.066959-0j 0.00932202-0j -0.00350183-0j 
0.0139986-0j 0.016735-0j -0.00833439-0j 0.0143473-0j 0.0118334-0j -0.0103133-0j 0.0106938-0j 0.0102502-0j -0.0211699-0j -0.00932007-0j -0.0284761-0j 0.00654996-0j -0.0183375-0j -0.00255294-0j 0.000959016-0j 
0.0565746-0j -0.0431361-0j 0.0523888-0j -0.0541802-0j 0.0478242-0j -0.0413466-0j -0.0275644-0j 0.00456364-0j 0.0374284-0j -0.0547416-0j -0.0186824-0j 0.0660701-0j 0.00357161-0j 0.0998604-0j 0.0686028-0j 
-0.0154936-0j 0.0118133-0j -0.0143473-0j 0.0148378-0j -0.0130972-0j 0.0113232-0j 0.00754881-0j -0.0012498-0j -0.0102502-0j 0.0149916-0j 0.00511638-0j -0.0180941-0j -0.000978126-0j -0.0273479-0j -0.0187877-0j 
0.0620208-0j 0.0741444-0j 0.057432-0j 0.0635656-0j -0.077183-0j 0.0710685-0j -0.186879-0j 0.0454135-0j -0.0604052-0j -0.0945491-0j 0.0321122-0j -0.0427218-0j 0.0355417-0j 0.0175922-0j 0.00424893-0j 
-0.0840719-0j -0.0182021-0j 0.0500542-0j 0.0549558-0j -0.0710685-0j 0.0112174-0j -0.0116313-0j 0.0896735-0j 0.127141-0j -0.0356997-0j 0.0309725-0j 0.0895154-0j -0.160425-0j -0.0474454-0j 0.027256-0j 
-0.0339702-0j -0.0406106-0j -0.0314568-0j -0.0348163-0j 0.0422748-0j -0.0389258-0j 0.102358-0j -0.024874-0j 0.0330853-0j 0.0517867-0j -0.0175886-0j 0.0233997-0j -0.019467-0j -0.00963566-0j -0.00232723-0j 
0.0537227-0j -0.0935546-0j 0.049748-0j 0.00606576-0j 0.0454135-0j -0.0896735-0j -0.0597823-0j 0.0946339-0j 0.0355417-0j 0.00612862-0j -0.0405188-0j 0.0536689-0j 0.0740627-0j -0.0609023-0j -0.173063-0j 
-0.0208024-0j -0.0248688-0j -0.0192633-0j -0.0213206-0j 0.025888-0j -0.0238371-0j 0.0626811-0j -0.0152321-0j 0.0202605-0j 0.0317127-0j -0.0107707-0j 0.0143293-0j -0.011921-0j -0.00590061-0j -0.00142513-0j 
0.0139547-0j 0.0166825-0j 0.0129222-0j 0.0143023-0j -0.0173662-0j 0.0159904-0j -0.0420477-0j 0.010218-0j -0.0135912-0j -0.0212736-0j 0.00722524-0j -0.00961241-0j 0.00799687-0j 0.00395825-0j 0.000956008-0j 
0.0460481-0j 0.00996972-0j -0.0274158-0j -0.0301005-0j 0.0389258-0j -0.00614405-0j 0.00637075-0j -0.0491162-0j -0.0696379-0j 0.0195535-0j -0.0169644-0j -0.0490296-0j 0.0878684-0j 0.0259869-0j -0.0149287-0j 
0.0281986-0j 0.00610518-0j -0.0167887-0j -0.0184327-0j 0.0238371-0j -0.00376244-0j 0.00390127-0j -0.0300774-0j -0.0426443-0j 0.011974-0j -0.0103885-0j -0.0300244-0j 0.0538082-0j 0.0159137-0j -0.00914194-0j 
-0.00270231-0j -0.00323055-0j -0.00250237-0j -0.00276962-0j 0.00336294-0j -0.00309653-0j 0.00814251-0j -0.00197871-0j 0.00263192-0j 0.00411961-0j -0.00139916-0j 0.00186144-0j -0.00154859-0j -0.000766512-0j -0.00018513-0j 
-0.0294252-0j 0.051242-0j -0.0272481-0j -0.00332235-0j -0.024874-0j 0.0491162-0j 0.0327441-0j -0.0518331-0j -0.019467-0j -0.00335678-0j 0.0221931-0j -0.0293957-0j -0.0405658-0j 0.0333575-0j 0.0947907-0j 
-0.0180192-0j 0.0313792-0j -0.016686-0j -0.00203452-0j -0.0152321-0j 0.0300774-0j 0.0200516-0j -0.0317412-0j -0.011921-0j -0.0020556-0j 0.0135904-0j -0.0180011-0j -0.0248414-0j 0.0204272-0j 0.0580472-0j 
-0.0189162-0j -0.00409548-0j 0.0112622-0j 0.0123651-0j -0.0159904-0j 0.00252392-0j -0.00261705-0j 0.0201765-0j 0.0286067-0j -0.00803242-0j 0.00696882-0j 0.020141-0j -0.0360956-0j -0.0106752-0j 0.0061326-0j 
0.0036631-0j 0.000793086-0j -0.00218092-0j -0.00239448-0j 0.00309653-0j -0.000488756-0j 0.00050679-0j -0.00390717-0j -0.00553966-0j 0.00155547-0j -0.00134951-0j -0.00390028-0j 0.00698989-0j 0.00206725-0j -0.00118757-0j 
0.0120876-0j -0.0210498-0j 0.0111933-0j 0.0013648-0j 0.010218-0j -0.0201765-0j -0.013451-0j 0.0212926-0j 0.00799687-0j 0.00137894-0j -0.00911673-0j 0.0120755-0j 0.0166641-0j -0.013703-0j -0.0389393-0j 
-0.00234076-0j 0.00407628-0j -0.00216757-0j -0.000264292-0j -0.00197871-0j 0.00390717-0j 0.00260478-0j -0.0041233-0j -0.00154859-0j -0.000267031-0j 0.00176545-0j -0.00233841-0j -0.00322699-0j 0.00265358-0j 0.00754056-0j 
