0.0735581+0.109499j 0.118753-0.0592649j 0.122661+0.0841323j -0.0487725+0.130561j -0.0833675+0.0409965j -0.023987+0.0529177j 0.0342229+0.045909j -0.0258901+0.040991j -0.00505511-0.0375714j -0.107499+0.00529795j -0.0231898+0.0302428j 0.0207175+0.0438389j 0.0164558+0.033015j 0.0117224-0.0371193j 0.0195556-0.0147012j 0.0644528-0.00510211j 0.0279414-0.04695j 0.00682546+0.0390457j 0.0229211-0.0121234j -0.0144932+0.0149699j 0.00628151+0.020609j -0.00429987-0.029868j -0.0385364-0.00485011j 0.0208448-0.0147597j -0.00925637-0.0840563j 0.0408041+0.0556916j -0.033438-0.0277523j 0.0193382-0.0170028j -0.0357335-0.0124255j 0.0220482-0.088836j 0.0730926+0.0343181j -0.0560165+0.0544048j -0.0115134+0.0277553j 0.00751863-0.0698993j -0.0509144-0.0500626j 0.00546621+0.0330389j -0.0046621+0.0327526j -0.0115372-0.0105154j 0.00459032+0.0255019j -0.0102461+0.0148918j -0.00837462+0.0265685j 0.0112328-0.0237431j -0.00374314-0.000112173j -0.00753597-0.0130447j 0.0061233-0.0172367j 0.0511793+0.0235717j -0.0196524+0.00419562j -0.0155187+0.0436325j -0.00444942+0.00200136j -0.00460514-0.0083559j 0.00543122+0.00590996j -0.0172097-0.0029276j -0.0334186-0.00968481j 0.0308239-0.0290724j -0.0154029-0.0106661j -0.0336431+0.0028345j -0.00032404-0.0127548j -0.0399873+0.00699565j -0.0427478+0.0107282j -0.000871423-0.0237643j 0.0105632-0.079987j -0.0142667+0.00873714j -0.0745415+0.0296666j -0.0594256+0.0922538j 0.00974669+0.00677047j -0.00302327-0.0659811j -0.0770439-0.0365305j -0.059556+0.001281j 0.0143993+0.0387936j -0.0177607-0.0134741j -0.00505251+0.0201965j -0.00203729-0.00426427j 0.0134281+0.00760734j 0.00420077+0.0101293j -0.0199434-0.00660792j 0.00248741-0.0440296j -0.0869044+0.0183657j -0.0569009-0.0509163j -0.0424576+0.025742j 0.0105911-0.0500415j -0.0126209-0.0407482j -0.0156272-0.0399417j -0.0445447+0.095993j 0.0697155-0.0528105j 0.0144062-0.0530344j -0.0467014+0.0282369j -0.0164465+0.0334302j -0.0523592-0.0600797j 0.141737+0.012545j 0.00375292+0.124466j 0.0216907-0.109607j 0.120652+0.0405412j 
-0.156364+0.0579718j 0.0439977+0.13661j 0.0483314-0.0937687j 0.0710525+0.0516354j -0.0404921+0.0411816j -0.0272396+0.0882369j 0.0821907+0.0667846j 0.0794992+0.0464416j -0.0321325+0.0298413j -0.0290604+0.0116324j -0.0017047+0.0340597j 0.0154887+0.00651878j 0.0380166-0.012563j -0.0357217+0.00955094j -0.0606317+0.0769432j -0.0308543-0.0315218j -0.05703-0.0250455j -0.00213679-0.0221414j -0.0105087-0.00313422j -0.0407279+0.004098j 0.0407413+0.0560337j 0.0149248-0.034408j 0.106702+0.0556359j -0.0147778-0.0250967j -0.0696017+0.0633075j 0.0388677-0.0079274j -0.0185316-0.0180346j 0.0106873+0.0169892j 0.011731+0.108578j 0.0342094-0.0159273j -0.0222058+0.0594621j -0.0394412+0.0333324j -0.0638441-0.0223011j 0.0990676-0.0343655j 0.0210451+0.0250715j 0.00429256+0.021387j 0.0235307-0.0247044j 0.00392412+0.0295736j -0.029992-0.0126284j 0.0139628+0.0147476j 0.00706009-0.0105726j 0.00328915+0.0206125j 0.0183231+0.00124881j 0.0133962+0.0237631j 0.0290902+0.037207j -0.0260143+0.0330659j 0.000882662-0.0343706j -0.0117225+0.0103903j 0.010745+0.033076j -0.0180891+0.00266139j 0.0477298+0.01073j 0.0205929-0.0799303j -0.0133145-0.0304162j 0.023517+0.0286124j 0.0166013-0.0144655j -0.0266904+0.0172265j -0.0357784+0.041923j 0.000610295+0.111499j -0.00939704-0.0694611j 0.0373412-0.0266028j -0.00142603+0.0344532j 0.0133855+0.0126295j 0.0657909+0.00305756j -0.0495099+0.0341351j 0.0157571-0.0591626j -0.0572118-0.0521574j -0.0483712-0.0389108j -0.0828986-0.0343666j 0.0379351-0.0138205j -0.00817161+0.0506711j -0.0659849-0.0456672j 0.0118069+0.0083685j 0.0322717-0.0440775j -0.0265063+0.0276451j 0.000784293-0.0269715j -0.0018302-0.0878008j -0.0721158-0.0464464j -0.00984162-0.0202332j -0.0271847-0.00776467j -0.062184-0.101444j -0.0794107-0.000186413j -0.0486895-0.0391113j -0.006663+0.0703229j 0.0369705-0.0868948j -0.0105599-0.048324j -0.044136+0.0250874j -0.00153523+0.0602951j -0.118934-0.0311715j 0.11313-0.0984313j 0.0548784+0.0798641j 0.117735+0.103162j -0.106879+0.126979j 
-0.0173865+0.0317468j 0.0314387+0.0214491j 0.13097-0.0201552j -0.000437052+0.130081j 0.0557433+0.0298022j -0.113619+0.048061j 0.144889+0.00861718j -0.00377737+0.0120642j 0.00643756-0.0982282j 0.140699-0.144364j -0.0416087-0.191516j -0.0185588-0.152097j -0.0537154-0.143288j -0.0234614-0.0222122j 0.0939701+0.164595j -0.021957+0.015777j -0.0427829-0.0347932j 0.066237+0.12761j -0.0191617+0.0774136j -0.145131+0.091782j 0.00594427-0.111828j -0.15887+0.0422763j -0.13783+0.0903044j 0.142194+0.0502353j -0.0305202-0.209575j 0.0705259-0.0914797j 0.0763611+0.113794j -0.0390646-0.0374236j 0.0211951-0.0036922j 0.0636842+0.0097292j 0.0296835-0.101765j -0.0742378-0.00445513j 0.130359+0.0684106j -0.0690872-0.0419037j -0.0221157-0.0607124j 0.0790594+0.155788j -0.0445086-0.0216848j -0.098112+0.0800484j 0.0062567+0.0787286j -0.0048282+0.0356288j -0.103585+0.00734085j 0.0616284-0.013321j -0.0574673-0.0114665j -0.0847375-0.0124336j 0.325847+0.0258803j -0.047743+0.0184695j -0.0322683+0.0496461j 0.0454568+0.043139j -0.016606-0.0431115j -0.0619625-0.167019j -0.0737417-0.0180832j 0.0302114-0.103196j 0.0286854-0.00900306j -0.0173947+0.0554098j 0.103549-0.123107j -0.136372+0.0527681j 0.00297109+0.0332475j -0.0117128-0.0555531j 0.074459-0.0341482j -0.0196725+0.116723j 0.0361294+0.0156226j -0.0373542+0.000847061j 0.025075-0.0894515j 0.00872851-0.0295605j -0.0294027-0.0429854j 0.00944724+0.000378262j 0.0294758-0.0122869j -0.0223768-0.000840889j 0.0152523+0.0083428j -0.00122944-0.0163207j -0.00503461-0.0088743j -0.0304329-0.00400627j 0.0895604+0.0677607j -0.0619138+0.0498782j -0.0244773-0.00866563j 0.00457998-0.0534078j 0.0215178+0.0284171j 0.000284532+0.0283904j 0.010023+0.00244525j 0.0137961+0.00665584j 0.00389071+0.0186161j 0.0191583+0.0360422j 0.00870103-0.0287401j -0.0548105+0.0103141j -0.0258251+0.0337554j 0.00108778+0.0299353j -0.0145337-0.03373j 0.011003-0.0235217j 0.017791-0.0154135j 0.00363896+0.00792438j 0.00102709-0.00792559j 0.00653901+0.000322118j 
-0.0622604-0.059254j -0.0644021+0.0516766j 0.0332768-0.0792092j 0.0255347+0.0266304j 0.0323903-0.113425j 0.0304928+0.0299303j -0.0244189-0.0542259j 0.0966149+0.0581525j -0.12987+0.143942j 0.160602-0.0275172j -0.00743702-0.026966j -0.112259-0.119016j 0.0356844-0.0439371j 0.025997+0.0736426j -0.0436608+0.0833755j -0.205549-0.0277632j -0.038779+0.0336433j -0.0897634-0.0925127j -0.0408965+0.059518j -0.125503+0.0303761j 0.049817+0.00408172j 0.0428248-0.05242j 0.206764+0.0258321j -0.0411547+0.00230651j -0.0551738+0.179144j -0.025782-0.144714j -0.00719481-0.0439507j -0.0263087+0.0581453j 0.0128379+0.0390124j -0.0510005+0.0334246j -0.146556+0.106321j 0.013461-0.0157967j -0.106049-0.0875138j 0.0270792+0.0289704j 0.0895147-0.00507009j -0.0662599-0.0387316j -0.0615474-0.0133483j 0.0408506+0.145431j -0.0105502-0.0204441j 0.0156575+0.0636831j -0.000569936-0.114738j -0.0118514+0.0280791j 0.0125219-0.0129009j 0.0162122+0.0613326j 0.0637361+0.0945837j -0.085466-0.143774j 0.0206884-0.0253306j 0.0388838-0.0861822j -0.00430497+0.0459283j -0.0124812+0.0313769j 0.0226797-0.0294927j 0.0604605-0.0641084j -0.028233+0.0152718j -0.000126117+0.0882281j 0.0627332+0.0068719j -0.0759469+0.0906934j 0.00470798+0.031877j 0.014025+0.0133444j 0.0487152+0.000466078j 0.0476762+0.0636643j 0.00855126+0.0600063j 0.0171963+0.0346718j 0.249821-0.0604268j 0.0441489-0.0989179j 0.0052463-0.112231j 0.022537-0.0308188j -0.0895805+0.077071j 0.0698791-0.0247665j -0.0171467-0.0531476j 0.074999+0.157245j 0.0104153-0.0431368j -0.0554376+0.0125375j -0.0214765-0.0580763j -0.00997752+0.0660369j -0.0113847-0.0159915j 0.0231713+0.0117389j 0.0173626+0.011361j 0.0346862+0.0321029j 0.0382909-0.0169657j -0.0157244-0.00674696j 0.0188653+0.0301618j -0.0135635-0.0275359j 0.00101817+0.00723813j -0.00971718+0.0658444j 0.00924595+0.0427923j 0.05933+0.0594361j 0.0463947-0.0264881j -0.00154812+0.0421082j 0.0118385+0.0520996j -0.0634933+0.0160466j -0.00438294+0.0157042j -0.0188985-0.00261506j 
-0.0552301+0.0858114j 0.0806227+0.0539689j 0.10652-0.0259983j 0.0317512+0.1076j -0.0750496+0.0315015j -0.0495429+0.0605699j 0.0409985+0.0848126j 0.00707441+0.0635208j -0.0354602-0.00874219j -0.0701025+0.00478957j -0.0158792+0.0403029j 0.00845702+0.0249264j 0.040307+0.0126949j -0.0172993-0.00607778j -0.0275337+0.0265505j 0.00602131-0.0212851j -0.00434892-0.0238642j -0.0119515-0.00196724j 0.00708597-0.00458456j -0.0331828+0.00383161j 0.0154376+0.0511651j 0.0289048-0.0418565j 0.071214+0.0374085j 0.0191935-0.0261695j -0.0396274+0.00941589j 0.0338422+0.0434493j -0.0425947-0.0626567j 0.0028605+0.0201563j -0.0119849+0.0599136j 0.0330472-0.0739145j 0.0255583+0.0766815j -0.0610489+0.0571138j -0.0506124-0.000337413j 0.0831443-0.0842482j -0.00941542-0.0152753j -0.00535962+0.0129942j 0.00523232-0.00376359j 0.00848662+0.0146935j -0.0288399+0.00575964j -0.00430803+0.0142302j 0.000821601-0.00701538j 0.00670032+0.00177588j 0.010664-0.00463872j 0.0136384+0.014181j 0.00412419+0.0126016j 0.0184827+0.0353035j -0.0157359-0.0316258j -0.0281455+0.0298912j 0.00357596+0.0459517j -0.0188853+0.00747222j 0.0484189+0.0122501j 0.00870789-0.0544887j -0.0384017-0.0231994j 0.032917+0.00345298j -0.00247919-0.0121794j -0.0326927-0.00268265j -0.0225025+0.0131545j -0.0210156+0.0673009j -0.0549914-0.0511069j 0.0243917-0.0249079j 0.0250311-0.0249043j -0.00292182+0.0243366j 0.0254704+0.0157039j -0.0630305+0.0700704j 0.0300347-0.0654336j -0.0381965-0.0859114j -0.0882863-0.0571881j -0.106175-0.0185028j 0.0323676+0.0217751j 0.00595904+0.0382753j -0.0575196-0.0264923j 0.010212+0.0107209j 0.0448919-0.0327788j -0.0195104+0.0226601j 0.02486-0.0293998j 0.00602793-0.0881557j -0.106465-0.0309169j -0.0364294-0.052999j -0.0396418+0.00354128j -0.0483587-0.104653j -0.0615365-0.00723689j -0.0698584-0.04897j -0.0312716+0.143801j 0.0533044-0.0978743j -1.64761e-05-0.0410887j -0.0584393+0.0273968j -0.0173074+0.0531139j -0.104268-0.0426313j 0.148198-0.059738j 0.0463776+0.10591j 0.0685683-0.0197652j 0.0267669+0.0856382j 
0.020052+0.0378594j 0.0264461-0.0188235j 0.034465-0.130072j 0.111794-0.0056212j 0.0128395-0.0314733j -0.113844-0.180042j -0.161036+0.108339j -0.133399+0.0335838j -0.069827-0.0615384j 0.0593369+0.0191445j 0.106354+0.0251335j 0.0297773-0.0845458j 0.0273596+0.0201685j 0.0245608+0.027117j 0.0331807-0.0453175j 0.00713634+0.0340333j 0.0635035+0.0514909j 0.00947589-0.0186164j 0.0170806+0.0433491j 0.0322959+0.0331866j -0.0810504+0.0237888j -0.0295446+0.0320067j 0.0540965+0.0485566j 0.0754758+0.0523725j 0.0146608-0.0351405j -0.0824859-0.0151049j -0.0995519-0.0911774j -0.156884+0.0181684j -0.0183085-0.108875j 0.0479441+0.0552685j 0.0262072+0.0127977j -0.0429481-0.0286805j 0.0400904+0.11684j 0.00230337-0.0519286j 0.012344+0.0409498j 0.000226439-0.0339307j -0.016064-0.0623366j 0.040599-0.00919688j -0.0150524-0.079915j 0.0076187-0.0513883j 0.0525042-0.130265j 0.012314+0.0120888j -0.00548544-0.0137972j 0.010745+0.0714806j 0.0216215-0.0586522j 0.0179771+0.0162019j -0.031948+0.00664559j 0.0349731+0.0806593j -0.0735119+0.128064j 0.0178752-0.0238486j 0.0163975+0.0544079j 0.00211967-0.0363531j -0.00120801-0.000115284j 0.00353303-0.0627215j -0.00260265+0.0196864j 0.0116004-0.0481154j 0.062804-0.0606574j -0.00816745-0.0466744j 0.0261211+0.0437389j -0.0538769+0.0413419j 0.101556-0.0418913j -0.0740693+0.0873799j 0.0194413-0.00398681j 0.0881274-0.103196j 0.0853497-0.110539j 0.014306+0.103757j 0.0127533-0.00653626j -0.0206774+0.0690633j -0.0144838+0.0290032j 0.0919595-0.0483381j -0.00987067-0.0333668j -0.109967+0.038995j 0.0409268-0.00403716j -0.00551256-0.0174212j 0.267927-0.0349244j -0.101462-0.0491825j 0.0115445-0.0269107j -0.0339989+0.0491198j -0.0158958-0.114708j -0.0577949+0.054276j 0.141159+0.0868783j -0.178547-0.0195412j 0.010278+0.256868j 0.0730817+0.0152517j 0.100584+0.195956j -0.0562548-0.124139j -0.149117+0.0767429j -0.00322796-0.0749142j -0.0552455-0.0866229j 0.046672-0.051404j 0.0185339-0.00795819j 0.0123193+0.00697885j 
-0.186929-0.0520613j -0.0757219+0.144002j -0.115263-0.166167j 0.126691-0.125921j 0.0416908+0.0904276j -0.0257835-0.0274008j 0.0562647+0.0646585j 0.0663577-0.0484749j 0.0899802-0.0291747j 0.00456555+0.020984j 0.0454368-0.00349005j 0.0737779+0.0434323j -0.0156336-0.0361255j -0.0727022-0.0064976j -0.0548823+0.0394776j 0.0472219+0.008711j -0.0854598+0.0164985j 0.0770872+0.014797j -0.00935471-0.0258346j 0.0816094-0.0314438j -0.00981195+0.0123861j -0.0372101+0.0505593j -0.0326097+0.0570667j 0.0181882-0.00327991j -0.00253115+0.00798102j -0.00527763+0.0219271j 0.0127701+0.0875565j 0.0261752-0.000717464j 0.0451645+0.102754j 0.0336494+0.0999842j -0.013685-0.0749229j 0.029775-0.0473183j 0.0492445+0.00571153j 0.0695438+0.0403016j 0.018002+0.0894819j 0.0788871+0.0184113j 0.0897497-0.0481574j -0.0245457-0.0657795j -0.0108564-0.0283003j 0.0217657-0.0509487j 0.00889099+0.067588j -0.00275984+0.0323612j 0.0140218+0.0157224j 0.00529469-0.0144177j -0.00322464-0.0165861j -0.0538304+0.110675j 0.0281627+0.00342405j -0.0219083+0.0258922j 0.0210235-0.0258404j -0.0127488-0.0215296j 0.00552258+0.0138823j -0.032655-0.0505775j 0.0687747-0.0260042j -0.0251019-0.000136547j 0.000437221-0.0142165j 0.051966-0.066536j -0.0445012+0.0396069j 0.0360032+0.0917242j 0.0190604-0.0804462j 0.000275867-0.0356979j -0.0125472+0.114435j 0.00669085-0.0363633j -0.0297734+0.0114703j 0.0127829-0.0288035j 0.0155909+0.0129871j -0.0608007+0.0688603j 0.137194-0.044263j -0.0579419-0.022592j 0.0299417-0.0331873j -0.0493536-0.0622092j -0.0659481-0.0452124j 0.0763201+0.005122j 0.0344158-0.00331232j -0.0319347-0.0398527j 0.019124-0.0318381j -0.0287616-0.0337825j 0.0314439-0.0950176j 0.0560228+0.0349204j 0.0204509-0.0295889j -0.0727315-0.0291689j -0.0769288+0.0650391j -0.00523532+0.0134916j 0.05029-0.0955892j -0.0661599-0.0301334j -0.0240991+0.0141377j -0.0235643-0.0642629j -0.00951256+0.0585777j -0.0601812+0.0129654j -0.0955106-0.147663j 0.0536939-0.10984j 0.121552+0.196471j -0.229719+0.0992578j 
0.00838973+0.00796558j 0.00978441-0.00492654j 0.00940163+0.0102802j -0.00505288+0.0169591j -0.0126771+0.00198218j -0.00621009+0.0235109j 0.00375945+0.00546543j 0.00946226+0.011468j -0.00346035+0.0052827j -0.0203411-0.000792925j -0.015048+0.00656194j -0.00579679+0.00411745j 0.00592108-0.00315989j 0.00240694+0.00118103j 0.0204263+5.09572e-05j -0.0054374+0.0180485j 0.00242567+0.00370658j -0.00605884-0.00161167j 0.00663905-0.0029267j -0.00443617+0.0106558j -0.000513943-0.00769754j -0.00529471+0.00241496j 0.00431689+0.00836317j 0.00434679-0.00786833j -0.0133856-0.000716796j 0.00362211-0.00206831j 0.000956771+0.00252676j -0.00484105-0.0180482j -0.0120328-0.00995994j 0.00137425+0.00313813j 0.02725+0.00820262j -0.00512169+0.00752045j 0.00487467+0.018667j 0.00751772-0.0203874j -0.00479379-0.0119155j 0.0031661-0.00628927j -0.00935824+0.013581j 0.00160654-0.0128911j -0.000958663-0.00192782j 0.00502229+0.00334681j 0.0134839-0.0047587j -0.00277399-0.00350405j -0.00891251-0.00169913j 0.00705863-0.00542558j 0.00621241+0.0120842j -0.000747632+0.000920762j -0.00264593-0.000195943j 0.00284939+0.00365874j 0.00399935+0.0103745j 0.0149095-0.000557807j -0.0028523+0.000562998j -0.00072539+0.00794533j -0.00207219+0.00436774j -0.0167973-0.00706925j -0.0100403-0.0107812j -0.00113168-0.0067607j -0.0101056-0.0119083j 0.00989267-0.00778293j -0.00558747-0.00644842j -0.0222658+0.000729004j 0.00465983-0.00152482j -0.00716856-0.00245147j -0.0101131+0.019989j 0.00151509+0.0110874j 0.0119103+0.00838195j 0.0116877-0.00296761j 0.000262882-0.00520432j -0.000397976-0.00592744j -0.00410212+0.00379958j -0.00524262-0.00138613j 0.00411687+0.00283251j 0.00135147+0.00134898j 0.00133118+0.00489391j -0.00265218-0.00461786j -0.00278176-0.00795218j 0.000809846+0.00262997j -0.00870381-0.00206932j -0.00368013-0.00716966j -0.00131824+0.00682788j 0.00211633-0.00259113j -0.00635665-0.0012455j 0.000254363-3.63011e-05j -0.00252285+0.00800461j -0.00141666-0.00399459j 0.000576608+0.000124304j -0.00173438+0.00249783j -0.0127018-0.00563748j 0.00400239-0.00302296j 0.00428997+0.00957537j -0.00981006+0.00247461j -0.00704314-0.0156765j 0.0177191-0.00353453j 
-0.0253101-0.00927912j -0.00868098+0.0163615j 0.00499767-0.000174623j 0.00133184-0.00158518j 0.00812783-0.00117698j 0.0218063+2.63881e-05j 0.00186344-0.0160701j -0.0108019-0.00438647j 0.0126737-0.00857394j -0.00800982+4.3771e-05j -0.00445353+0.0135712j 0.000400427+0.00488967j -0.00305706-0.000631665j 0.000844403+0.00128439j 0.00859162+0.00196496j 0.00731083-0.000681877j -0.0043914-0.00970996j -0.0103567+0.0187879j 0.00329423+0.00205691j 0.000782262-0.000136516j 0.0103728-0.00994648j -0.0170765-0.00948162j -0.0189228-0.00128j -0.0196426+0.00341385j -0.00417493+0.00336821j 0.00636159-0.00847815j 0.0149889-0.00995283j -0.0279148+0.00022612j -0.00995145+0.00724948j 0.00819438+0.0122051j 0.00860629+0.000243467j -0.0217288-0.00453407j -0.00340615+0.0224755j 0.00203378+0.00799469j 0.0196+0.015968j 0.00135563+0.00426287j 0.0116177-0.0268927j 0.00619289-0.0170912j 0.00642829-0.00724978j 0.00053812-0.00411798j 0.00708847-0.0156449j 0.00314128-0.0165239j -0.00393001+0.00924279j 0.00554277+0.019188j 0.00114412-0.0121358j 0.000622629+0.00384131j -0.00273829+0.00111366j 0.00334876+0.0227208j 0.00167874+0.0257817j -0.00204765-0.0171245j -0.00491069+0.00336212j 0.00559323+0.00370665j 0.00936709-0.0202079j 0.00613302+0.00347102j -0.00612504+0.00182158j 0.00459982-0.00452986j 0.0194567+0.00140982j 0.0156564+0.0110535j -0.00255631+0.00272551j -0.00444508-0.0072426j 0.000651103-0.00266876j 0.00236993-0.014648j -0.00695847-0.0079274j -0.0012399-0.00867334j -0.017145+0.00253402j -0.0118121+0.0424077j 0.0151176-0.0043885j -0.0014426+0.0139854j 0.00900122-0.00120597j -0.0170056-0.00687226j -0.00708026+0.00105407j -0.0431452-0.00492098j 0.00238718-0.0133342j 0.00182756-0.0020541j 0.0521777+0.0158481j -0.0108922-0.0305349j 0.0126836-0.00574324j -0.0295348+0.0317887j -0.0198476-0.0056303j 0.00917766+0.0086894j 0.015747+0.00601478j -0.0204873+0.0358501j 0.00375064+0.0313617j -0.000603891-0.00384384j 0.00994512-0.00658237j -0.0069801+0.0226681j 0.0333202+0.0399492j -0.023192+0.0127966j -0.00338128+0.013798j -0.021687+0.000530601j -0.00231425+0.0102635j -0.0175595-0.00331342j 
0.00643605+0.000186877j 0.00224164-0.00591349j -0.00212336+0.00637826j -0.00565664-0.00370131j 0.00498395+0.0101368j 0.00217188+0.0188091j 0.0196698-0.000585826j -0.00509977+0.00641107j 0.00757327-0.00783331j -0.00505965+0.00730698j -0.000755123-0.00393211j 0.00241536+0.0059106j 0.0203477-0.000990256j -0.000667309+0.0047168j 0.00314103+0.0146785j 0.00758439+0.0148118j -0.00702036-0.0013187j -0.0109512+0.00993939j 0.000873413-0.00424468j -0.0131154-0.0203549j -0.0103185-0.0144669j -0.00766522-0.000215422j 0.00159474+0.0119261j -0.0039557+0.0161823j 0.00646302-0.00233278j 0.00801222-0.0112954j -0.00525719-0.00266159j 0.00988017+0.00430114j 0.00175269-0.00218238j 0.000898959-0.013024j -0.0151051+0.0140143j 6.85102e-05+0.00282993j -0.00454554-0.00206689j -0.0107663+0.00202209j 0.000469413-0.00272189j 0.0109764-1.46331e-06j 0.00207304+0.00649722j 0.0102287-0.0143486j 0.0129037+0.00085263j -0.00037502+0.00661225j 0.010156+0.00438295j -0.00979541+0.0028008j -0.0192559-0.000261202j 0.0111115-0.00179537j -0.000338867-0.0077954j -0.00618004+0.00164397j 0.000950767+0.0068538j -0.00645182-0.0105668j 0.0144676+0.00243581j -0.0101382+0.0202547j -0.00139428+0.00467788j 0.0152827-0.00122613j -0.0157882+0.0012225j 0.00950446+0.00562657j 0.00554361+0.0103014j -0.000610061+0.0113631j -0.0187623+0.0138613j -0.00861594-0.00988044j 0.00539812+0.00437084j -0.00912598-0.0171272j 0.00413982-0.00420972j -0.0014383+0.00414882j -0.0139273-0.00172303j -0.00240185+0.00205646j 0.00245587+0.00573436j 0.00571718-0.0150631j -0.00165795+0.00127189j 0.00109908-0.00387118j -0.00567039+0.00392234j -0.000112712-0.00405418j 0.00270076+0.000956465j 0.00339623+0.00634902j 0.00133389+0.000357572j -0.00281907+0.00218507j -0.0155784-0.00316896j -0.00629411+0.00280455j -0.00675621+0.00187722j 0.00858045-0.00466186j 0.00395076+0.00108827j -0.00370294+0.00272922j -0.00362956-0.00370054j 0.00946271-0.00774179j -8.7324e-05-0.0126474j 0.00274747+0.00343291j 0.00258182-0.00480071j -0.00229025-0.00759826j -0.0095165+0.00215991j 5.3412e-05-0.0111687j 0.0084509-0.00311386j 0.00514142+0.0108835j 0.00249624-0.00270287j 0.00443254+0.00247893j 
0.00233583-0.0254088j -0.0289865-0.0038438j 0.00994599+0.00514563j -0.00499971+0.00503278j -0.00327666-0.0133773j -0.00674026-0.0198571j -0.0124624+0.00116925j -0.02001+0.00895233j 0.00324388-0.0138183j 0.00758242-0.0195311j -0.0118135-0.0163965j -0.0158075+0.0101938j -0.00781735-0.00531857j -0.000244241+0.00736503j 0.00332711-0.00451102j -0.00137261+0.00397032j 0.00780342+0.0125131j -0.00817295+0.00911654j -0.00349575+0.0055735j -0.00286639-0.00932678j -0.0096604-0.0163668j 0.0119915+0.0015876j -0.0141573-0.00344193j 0.0123105-0.000519947j 0.0144398+0.000328217j -0.0136744+0.0181104j 0.0088173-0.0100495j -0.00621419+0.0277634j -0.00168017+0.0153461j -0.00141065-0.0121621j 0.0056595-0.00460206j 0.00779638+0.00044141j 0.0101738-0.0100329j 0.00646338-0.0204896j 0.0132262-0.00349633j 0.00545634-0.0158062j -0.00883624-0.00280847j 0.00607033-0.0105651j -0.0112581+0.00741005j -0.0102047-0.00577691j -0.00875911+0.00317587j 0.000347505+0.00144525j -0.0077803-0.00218775j 0.000653991-0.000210207j -0.0114603-0.0041725j 0.0017995+0.00947703j 0.00137753-0.00505308j -0.0150349+0.000542339j 0.0136521+0.0111209j -0.0171419+0.0015329j -0.00768901-0.0110749j 0.00290777+0.00494832j -0.00313863-0.0106573j -0.00780603+0.0136585j -0.0103571-0.00219018j -0.00150227-0.016299j 0.0012606-0.00667902j 0.00525772-0.000534071j -0.0288443-0.0220854j 0.00559925+0.0252862j 0.0172271+0.00642231j 0.00518939-0.0060183j 0.0257926-0.0120143j -0.00802538+0.015574j -0.00583999-0.0163127j -0.00386634-0.0109046j -0.00508809-0.0160998j -0.0297613+0.000953389j 0.00810376+0.00554302j 0.00186422+0.00674091j -0.0113808-0.00143451j 0.0233243-0.00197554j 0.0213824-0.00649546j -0.00739134-0.00158338j 0.0137398+0.00139772j 0.0154547-0.00535572j -0.00245934-0.005692j -0.00916675-0.0117746j 0.00327478+0.00606574j 0.00075673-0.0131172j -0.0097652+0.0142662j -0.0116254+0.0114331j 0.00325732+0.0167486j -0.0197306-0.0212631j -0.0316525-0.00179676j -0.00816024+0.00735388j 0.0151805-0.0212502j 0.00750272+0.0235266j -0.0243885+0.000170876j 0.00237026-0.0356878j -0.0226543-0.0160865j 0.0152055-0.0221744j 
