0.00147998-0.0071726j -0.0159307+0.0168545j -0.0151136+0.0143228j 0.014175+0.0187551j -0.0132261-0.00462433j 0.0116808+0.00196958j 0.0116535-0.00119071j -0.0147213+0.0196538j -0.00707255-0.0141972j -0.0110337+0.010649j -0.0120436-0.00799961j -0.0170125-0.0140417j 0.00754318-0.0105306j 0.0136244-0.0120944j 0.00158019-0.0083668j 
-0.00994067-0.00656045j 0.0202135+0.0300683j -0.0171043+0.0234339j 0.0304041-0.000949351j -0.021196-0.00532755j 0.00329804-0.00123172j 0.0103971+0.00937222j -0.000539154+0.013185j -0.0024349-0.0235187j -0.0112754+0.0185807j -0.0108324-0.000187109j 0.00538383+0.00552928j 0.0090102-0.00114398j -0.0104292-0.0024466j -0.0037108+0.0123849j 
0.00680356-0.00649589j -0.000575906+0.00493887j 0.0115274+0.0151095j 0.00879488+0.0210544j -0.000751876+0.0333507j 0.0416232-0.0107184j -4.32179e-05+0.0186683j -0.0219421-0.00772589j 0.00857317+0.0327106j 0.00724142-0.021259j 0.0108978-0.00172821j -0.0343402-0.0114672j -0.00813462-0.0116106j 0.0147303-0.0187365j -0.0043912-0.012722j 
-0.00184807-0.00113501j 0.0127775+0.0019955j -0.0209836-0.00631603j 0.00368173+0.0207281j 0.0236682+0.0039357j 0.0123829-0.0133944j 8.88566e-05-0.0219102j 0.0339332+0.00454585j -0.0315992-0.0352765j 0.00661457+0.0258001j -0.0294711-0.00291897j 0.0298034-0.00170113j -0.00246994+0.0055277j 0.0030336+0.00494964j 0.000923008+0.00291425j 
-0.00722843+0.047699j 0.00449105+0.0263123j -0.00412041+0.0139758j 0.0143081-0.00897179j -0.0198353-0.00698832j -0.00762781+0.00398182j 0.00251434-0.00162747j 0.00194044+0.0114892j -0.0126246-0.00524644j 0.0131357+0.00604746j -0.027494-0.0077273j 0.00552208+0.000732177j -0.023898+0.00740652j 0.0201742-0.00101709j 0.00121957-0.0203856j 
0.00916042-0.00202292j -0.0524003+0.00432522j 0.0341075+0.000556561j 0.00869382-0.011412j -0.00256487-0.00179833j -0.00389171-0.0103449j 0.00344528-0.00715603j 0.0142882+0.0043531j -0.0257896-0.0247843j 0.0121875+0.00932352j -0.0397007-0.00443508j 0.0364128-0.00535364j -0.0123897+0.0243363j 0.0190174+0.00711121j -0.00706933-0.00894828j 
-0.00770975-0.0525733j 0.0056844-0.00155357j -0.00370501+0.0151613j 0.00468158-0.0112674j -0.0197649-0.00413638j -0.0107154+0.0109164j 0.000201718-0.0128608j 0.0119379+0.0158919j -0.018364-0.00401992j 0.0132274+0.00965077j -0.0275064+0.000210907j 0.00408169+0.00106903j -0.0184996+0.00547008j 0.0161453-0.00494022j -0.00164098-0.0195845j 
0.00117025+0.000397885j -0.0151376+0.00345673j 0.0141267+0.00303226j -0.0113192-0.0202301j -0.0280288-0.00642008j -0.0159791+0.0254082j 0.00297598-0.00502721j -0.00951592+0.0195236j 0.0139475+0.00709157j -0.0167598+0.00968284j 0.0344832+0.00476714j -0.0322688+0.0127235j 0.0215075-0.0302127j -0.0252814+0.000888978j 0.00599659+0.0121712j 
-0.0086118-0.00963003j 0.0145229+0.00521258j 0.00927834+0.00512133j 0.00440595-0.0191656j -0.018049+0.00742196j 0.00046455+0.00460436j 0.00941213+0.0355086j -0.0146836-0.0228598j 0.0138072-0.00920142j 0.00369439-0.0183611j -0.016312-0.00304527j 0.0471124-0.0111248j -0.005138+0.0406023j 0.0159902+0.0157868j -0.0053299+0.00533117j 
-0.00742316+0.0028382j 0.0139962-0.0166481j -0.0205252-0.0110992j -0.0230097-0.00139147j -0.000515066-0.0123015j -0.0200564+0.0194132j -0.000955469-0.00842451j -0.00347259+0.00704553j 0.0123053+0.00569415j -0.000468147-0.0181192j -0.0161624+7.10247e-05j 0.000696226-0.00295738j -0.0144718+0.0257988j 0.0212731-0.0129836j -0.00781168-0.0252606j 
0.00138935+0.00417952j -0.00764848-0.000845971j -0.000486845+0.00491454j 0.00066839+0.00756983j 0.000415078+0.000917617j 0.000703466+0.00282821j -0.00666055-0.0114553j 0.00818878+0.0179034j 0.00747442+0.00878327j -0.00249357-0.0105316j -0.01619+0.0080584j -0.0191655+0.0139348j -0.0131572+0.0166714j 0.0037428-0.032066j -0.0250683-0.0203791j 
