0.108916+0.241939j 0.421432-0.146497j 0.0134935-0.290667j -0.0199279+0.0425251j 0.281162+0.261398j 0.200156-0.160547j 0.27857-0.266307j -0.0205332-0.0405014j 0.0141596+0.292343j 0.418664+0.148168j 0.11057-0.235424j 
0.0566458-0.0455552j -0.0201733-0.0660343j 0.0280884-0.0210873j 0.00643497-0.00963294j 0.0646966+0.0586081j -0.00432158+0.00224724j 0.0705375-0.0405091j 0.00714297+0.0058998j 0.0159226+0.0169073j -0.0070025+0.0603909j 0.044795+0.0201737j 
0.000262532+0.0157426j 0.0302426+0.0154365j -0.00612816-0.0120001j -0.0104112+0.0157351j -0.0202972-0.00474065j 0.0286424-0.0247225j -0.0189959+0.0220085j -0.0116172-0.0149343j -0.0282466+0.0099806j 0.0456609-0.0202509j -0.0167182-0.0413957j 
-0.017849+0.046885j 0.0224724-0.00213183j -0.0316424-0.00796743j -0.00688506-0.0141809j 0.0104149-0.02199j -0.00293285+0.024338j -0.0039247-0.0166681j 0.0166472-0.0056025j 0.021199-0.0101786j -0.0244047+0.00947858j 0.0107229+0.024543j 
-0.00598344+0.0261769j 0.00246691+0.0197787j 0.0340792+0.0349988j 0.0165496-0.0297329j -0.0172191+0.0119996j -0.0140892+0.0218181j -0.0197655-0.0390781j 0.0201226+0.0278979j 0.057797-0.0266545j -0.0130952-0.0117778j 0.00603774+0.012028j 
0.00967981-0.0138163j 0.00494983+0.0155555j 0.0637186+0.00239222j 0.0169208-0.00774448j -0.00391483+0.0390545j -0.00659293-0.0131283j -0.0161439-0.00712404j 0.0049935+0.0260427j 0.00339607-0.0078196j 0.0291055-0.0231605j -0.0173792-0.0353817j 
0.00677809-0.00255351j -0.0101212-0.0111692j 0.00619304+0.00739466j 0.00018796+0.00839301j 0.00718438+0.00167646j -0.0164054+0.00318103j -0.001813+0.00370406j -0.0063351+0.00261363j -0.0136008-0.00889639j -0.00775435+0.0105194j 0.00366903-0.00665257j 
0.00333191+0.0049273j -0.0113984-0.00198895j 0.00901347-0.00259253j 0.0205001-0.00699152j 0.0071515-0.00545231j -0.0141433+0.0239402j 0.00612783+0.00715968j 0.010483+0.0192409j -0.0181207+0.0164425j 0.00962622+0.00395487j -0.0248824-0.0154481j 
0.0084736-0.00325568j -0.0175052+0.00488485j 0.025849+0.00484381j -0.011395+0.0357971j 0.00865209-0.0209966j -0.0280967+0.0175936j -0.0219671+0.00155753j -0.0236719-0.00646701j -0.01695+0.00880889j -0.0188379+0.00426429j -0.00534094+0.0230963j 
0.0155286-0.00190603j 0.00459682-0.00938339j 0.00481528-0.0270284j 0.00971528-0.00821181j -0.0225592-0.0157832j -0.0233634+0.0198069j -0.00888478+0.0256543j 0.0172501-0.0064145j 0.0190943+0.0229738j 0.00813776+0.00498899j 0.0181774-0.00944824j 
-0.00446929+0.0195734j -0.00138744-0.00126305j 0.0137578-0.000320288j -0.021429+0.0277153j 0.00557417+0.00280496j -0.04446+0.0349288j -0.001128-0.00765585j -0.0249457-0.020692j 0.00670293+0.00240492j -0.00315345+0.00341197j -0.00563709-0.0140143j 
-0.00706868+0.01641j -0.00672776-0.014246j -0.0151429+0.0144918j 0.0227432-0.0197878j 0.0152787-0.000685247j -0.00803178+0.00102206j 0.00878697+0.00660489j 0.0183108+0.0277021j -0.034883-0.0144863j -0.000994486+0.013327j -0.0150609-0.0266018j 
-0.00153494-0.00253037j 0.0131899-0.00464957j -0.000897602-0.0196396j -0.0157903-0.00119669j -0.0136965+0.0265498j -0.011923+0.00950038j 0.0164973+0.0038485j -0.00575659-0.0258141j 0.029514+0.00287665j 0.0211166-0.00757481j 0.00661935-0.033111j 
-0.00294387+0.0112692j -0.0062067-0.0157979j -0.0104293+0.00420025j 0.00819141-0.0127389j -0.00229395+0.000314367j -0.0295103+0.0134439j 0.00987687+0.0140949j 0.0119994+0.00379564j -0.0110115-0.00247537j 0.00387137+0.0110816j -0.00271059-0.0332471j 
0.00264963-0.00881337j -0.00493425+0.00087592j 0.00271142+0.00474696j 0.00295175+0.0055869j 0.00228377-0.0103583j 0.00373767-0.00986554j -0.00947387-0.00384702j -0.00243727+0.00563221j 0.00315102-0.00250481j -0.0177557+0.00417319j 0.0146671+0.0279492j 
