0.193214-0.0879733j -0.0792682-0.209248j 0.032155+0.0528043j 0.0112678-0.00987764j 0.0936892+0.156802j 0.0526818-0.0847579j -0.106786+0.146874j -0.0822677+0.105594j -0.0277726-0.0473251j -0.0391015-0.0126725j -4.73635e-06+0.06139j -0.0233679+0.0675105j -0.0115574-0.0591573j -0.0101859+0.0783557j 0.0335379-0.0143975j -0.0255163+0.0371196j 0.0595818+0.00378845j -0.10148+0.0551069j 0.0730956-0.0907789j 0.131766-0.0781475j -0.0160313+0.0911971j -0.0947062-0.0234127j -0.187261+0.0828104j 0.181565+0.131683j -0.0227848+0.106895j -0.0434673-0.0276741j -0.1991-0.0505817j 0.0136922-0.0305649j -0.109938-0.0551981j -0.0164262-0.0420091j -0.11309+0.199067j 0.279818+0.0362578j 0.0961288+0.191574j 0.0531091+0.16119j 0.00493555-0.13555j -0.14392-0.0506898j 0.228185+0.120072j -0.0100562-0.105116j -0.0584177-0.0607234j -0.0450323+0.125777j -0.0514159+0.0890549j 0.00705064-0.0103014j 0.0160587+0.0074385j -0.0396054-0.0299597j 0.0269933+0.0470791j -0.0260185-0.1136j -0.0755024-0.0229717j 0.0106033-0.0295095j 0.0463207+0.0823822j -0.0386674+0.00696604j -0.0723772+0.049127j -0.0423579+0.0922509j 0.0656528-0.0612699j 0.135729-0.22333j 0.0802092-0.0810322j -0.044248-0.0883536j -0.000710474+0.0125125j 0.00466887-0.0326108j 0.0105843+0.0267996j 0.0334933+0.00338429j 0.0336099+0.0097446j 0.00611269-0.0116661j -0.0709205+0.0283895j 0.0429252+0.0197258j -0.0182379-0.018495j 0.00168341+0.0189582j -0.0198239-0.0157882j 0.0372421+0.0116212j -0.0151959+0.0168376j -0.0022636-0.00456827j 0.00593656-0.00824224j 0.00730732+0.00216583j 0.0028213+0.0292969j -0.0130382-0.00711398j -0.00837693+0.0202416j 0.0054094+0.0222902j -0.0131418-0.00355185j -0.00123424-0.0109916j -0.00370618-0.0176001j -0.00957911+0.0112517j -0.00023701-0.0234651j -0.00788088+0.000456188j -0.0260464-0.0185132j 0.0211612-0.00424979j -0.0344921-0.0344234j 0.0112844+0.0153363j -0.0106986-0.0203375j 0.012393-0.00790917j 0.0169681-0.0101823j -0.0323402+0.0320753j 0.00517708-0.0244941j -0.0282773-0.0162473j -0.0304003-0.0444346j -0.0621616+0.0122283j -0.0201109-0.0624108j 
0.174327-0.130813j -0.110044-0.177146j -0.0940683+0.0252562j -0.0122519+0.0820365j -0.0366812-0.0713263j -0.0108826+0.0334443j -0.00446985-0.0743204j 0.0746688+0.0135894j 0.046966-0.0360805j -0.00407626-0.071507j -0.032916-0.0672815j -0.00982596-0.0141414j 0.0168059+0.0113896j -0.0417293-0.0189709j -0.043694+0.00428237j -0.00799697+0.00136115j -0.0452902-0.0077076j 0.0274067+0.00602128j -0.0398295+0.020335j -0.00999601-0.0313274j -0.0278203-0.0656456j 0.0352288-0.0174723j 0.0841667-0.0200997j -0.107256-0.0284162j 0.0527724-0.0737293j 0.00712735-0.0194125j -0.0104577+0.0456248j 0.0595872-0.0255311j 0.0549103-0.0746924j 0.0203655+0.00333873j -0.0469921-0.130801j -0.0445854-0.00452373j 0.0431918-0.0184174j -0.0706349+0.00352214j -0.0231417+0.0550652j 0.00919407-0.0414848j -0.0418565-0.107929j -0.0533455+0.00931656j 0.0336329-0.0759094j -0.0842427-0.000488435j -0.0689658-0.123618j -0.0103222-0.0279988j -0.0188899+0.021302j -0.132486-0.0116812j -0.0231131-0.0494542j -0.0350654+0.043387j 0.0135957-0.0078863j 0.000349304-0.007872j -0.00451203+0.0433116j -0.085581-0.0687134j -0.00580219-0.00142318j 0.0115217-0.0396613j -0.0131528-0.0149184j -0.0615982+0.0305934j -0.0160961-0.068507j -0.00986976-0.0146716j 0.0352841+0.0240362j 0.0170843-0.0481262j -0.0113565-0.013833j 0.00991442-0.020834j -0.00137003-0.0210087j 0.0857535-0.00266193j 0.104836+0.022446j -0.0111439+0.0191047j -0.0523699-0.0603872j 0.00632796+0.0254525j 0.0397702+0.0397446j -0.0227249+0.062213j 0.0792777+0.0615221j -0.0138192+0.0163705j -0.0113032-0.0226419j -0.0603374-0.0230295j 0.0128961+0.122655j -0.0146755-0.147144j -0.0061934+0.149965j -0.0656921+0.197825j -0.0619967+0.0215483j 0.0105572-0.05143j -0.0228666-0.0646507j 0.0686917-0.0477561j 0.00517887-0.0654948j -0.00970164-0.0529776j -0.113471+0.0160798j -0.0715573-0.101811j -0.010705-0.0125461j -0.0484946+0.0678043j 0.144706-0.0672334j -6.44526e-05-0.00760211j 0.107051-0.0382661j 0.0571012+0.0458946j -0.0733144+0.0767415j 0.0124041-0.0455927j -0.0239967-0.080536j -0.226521+0.181056j -0.183807-0.250002j 
-0.0983365-0.0247728j -0.0327248+0.110538j 0.0134268+0.0098456j -0.000102575-0.0282535j -0.00319954+0.054829j 0.0532423+0.0153718j -0.00448795-0.0321349j -0.0630483+0.028371j 0.0469947+0.0275796j -0.0128042+0.00322238j 0.03199-0.017542j 0.00691721-0.0123268j -0.0104367-0.0207058j -0.00450829-0.0214211j 0.00651982-0.0418273j 0.0316857-0.0109112j -0.007199-0.00132813j -0.021346+0.0211484j -0.023-0.0114001j 0.0194927+0.0395052j 0.00895972+0.008535j -0.00586467-0.013883j -0.0324124-0.000539395j 0.007358+0.0200116j 0.0553492+0.00835108j -0.0427088+0.00476777j -0.0307342+0.0134974j 0.0116232+0.0456156j 0.00710633-0.00447313j 0.00589876+0.00261182j 0.0428433-0.0186785j 0.0379944-0.0503671j 0.0302485+0.18787j -0.248447+0.0373176j -0.0164156+0.112393j -0.0299082-0.141677j -0.00253158-0.0547673j -0.00119126+0.0738353j 0.0037597+0.0372222j 0.00930027-0.0188772j 0.0452539+0.0174486j 0.092984-0.19142j 0.00674769+0.0743868j 0.0196763+0.0119885j -0.0878907-0.0704452j -0.0550656-0.0419273j -0.082465-0.0495836j -0.118913-0.0365615j -0.10246-0.0530745j -0.0835772-0.0530668j -0.00459521+0.0126337j -0.0362508+0.0584356j 0.00723173-0.02203j -0.0473029+0.0131705j 0.00891306-0.0109861j 0.0112173+0.0247966j 0.0476213+0.04034j 0.145203-0.0479322j -0.016535+0.01639j 0.0375074+0.0285492j 0.0379655+0.0574591j -0.0278993+0.0157702j -0.0747474+0.0234113j 0.00740709-0.0736379j -0.0477988-0.00175876j -0.113964-0.0717711j 0.00492436-0.0480625j -0.0553895+0.0553855j 0.0144552+0.0714586j 0.0862751+0.0941163j -0.0282903-0.0482233j -0.0355143-0.0660358j 0.00294378-0.299051j 0.00686704-0.180932j 0.0712896-0.0176563j -0.109961+0.0897508j 0.0623245-0.0811233j 0.0611608+0.0725336j -0.0714176-0.0373943j 0.0392048-0.00918628j 0.027415-0.0971117j -0.119202+0.0908011j 0.0220733+0.0105441j 0.00272779+0.0448219j -0.0304236-0.0163563j 0.191658+0.0701182j 0.053024+0.0902191j -0.0960332+0.00881681j -0.00633594+0.00431373j -0.0813263+0.244715j -0.222302-0.0179254j -0.0328083-0.141631j 0.0103005+0.0646627j 0.0881369+0.0369015j -0.0280589+0.084395j 
0.0518369-0.0274506j -0.0237091-0.0506143j -0.0257214+0.000256992j -0.00843377+0.0175148j -0.00954439-0.0215587j -0.00564756+0.0159588j 0.00863945-0.015033j 0.0154698+0.00907347j 0.013909-0.00422419j -0.00497185-0.0106212j 0.00493689-0.0165665j 0.00271242-0.00354447j -0.00421381+0.000825404j -0.00762146-0.0100057j -0.0110942-0.00594458j 0.00747143+0.00727478j -0.0116077-0.00839843j 0.00811581+0.00527802j -0.0197793-1.78469e-06j -0.00880411-0.0100311j 0.000837719+0.00888713j 0.00229765-0.0219656j -0.00185932-0.00251122j -0.00160257+0.00168408j 0.0125445-0.00450606j -0.0113257-0.00448695j -0.0117226+0.0254826j 0.00500791-0.00879104j -0.0131334-0.00968106j 0.00117916-0.00993734j -0.0068537-0.0103006j -0.00160111+0.000984926j -0.00969018+0.0271684j -0.0249563-0.0245492j -0.0188281+0.00186277j 0.000500473-0.0129253j -0.0059098-0.0107521j -0.0255373+0.00982608j 0.00256072-0.00538175j -0.0259521-0.0185585j -0.00163905-0.00434977j 0.0203023+0.00498804j -0.00836241+0.00720337j -0.010919-0.00781432j 0.00547038-0.0211381j 0.00802691-0.0064365j -0.00826939-0.00899507j 0.000157266-0.00275388j -0.0205321+0.0121812j -0.0386718-0.0133269j 0.0239459-0.00259598j -0.00837162+0.0120211j -0.00279442-0.0127138j 0.0133247+0.0151111j 0.00186862-0.0126148j -0.0111575-0.00722588j -0.0140548+0.0218155j 0.00451253-0.0191035j 0.000372259+0.0305807j -0.00329009-0.0190415j 0.00440767-0.011374j 0.0124309-0.00401418j 0.00596786+0.0032602j 0.0056292+0.00425026j -0.0174738-0.0149712j -0.0203914-0.000832543j 0.00591235-0.009591j -0.0126729-0.00476106j 0.0133962+0.0461543j -0.00143737+0.0309317j -0.00823492-0.0147951j -0.00891067-0.00596378j 0.00154546-0.0166411j -0.000498006-0.0524834j -0.00831474+0.0233169j -0.0261203+0.0595189j 0.00852814+0.00400607j 0.00964853-0.00896528j -0.0212407-0.0156678j 0.0261588-0.0123791j -0.00733534-0.031099j 0.0022976+0.00124323j -0.038039+0.00438142j -0.00877768-0.00889044j -0.00870571-0.0109264j 0.00833058+0.00434645j 0.0286047-0.0304043j -0.0104199+0.00276792j 0.0254088-0.015965j 0.0360946+0.021951j -0.00155651+0.0243705j -0.0157404+0.00555233j -0.0100446-0.0213417j -0.000488228+0.024331j -0.0252949-0.00916296j 
0.0197682+0.00817264j 0.0160739-0.0223851j -0.0121752+0.00203878j -0.000326203+0.00661943j -0.0249084-0.00222027j 0.00323726+0.0231163j 0.00586795+0.00361923j 0.00409992+0.00844769j 0.00796577-0.0136497j -0.0103647-0.00958714j -0.0136356-0.000656836j -0.00135466+0.00250377j -0.000106855-0.00667576j -0.00243373+0.000426085j -0.00112462+0.00439685j 0.00622469-0.00316532j -0.00104938-0.011924j 0.00333666-0.00579762j -0.0105147+0.00408705j -0.0081339+0.00666382j -0.00521253+0.00410393j -0.00157036-0.0139609j 0.0199419-0.00286621j -0.0125554-0.0086241j 0.00919457-0.0162946j 0.0171253-0.00952294j -0.0184444+0.00669142j 0.0110547-0.00399526j -0.00942432-0.010708j -0.0163979-0.00997878j -0.02299-0.015596j -0.00130276-0.0181801j 0.0231474-0.03266j 0.00420068+0.0293416j 0.0145045-0.00204119j -0.0251897-0.0171908j 0.00474029+0.00210366j 0.00301124-0.00174269j -0.00172101-0.00293411j -0.0117308+0.00129294j 0.00774867-0.0172233j 0.0165575+0.00766215j -0.0320718-0.0249599j -0.0162695-0.00943283j -0.00016293-0.0248228j -0.00150621-0.016576j 0.0111982-0.0138309j -0.00899711-0.0153506j 0.018889+0.00768093j -0.00726589-0.00688607j 0.00217284-0.0103148j -0.0113154+0.0235147j -0.00569346-0.00354482j -0.0096045-0.0100387j 0.0255607-0.0316068j -0.0033357-0.00560351j 0.00848988+0.0105903j -0.022688-0.00585999j 0.0100861-0.00028738j -0.00250393+0.00207244j -0.00564079-0.00171661j 0.00408679+0.00247868j 0.0126803+0.00110113j 0.00316452-0.00259028j -0.00220655-0.0239502j 0.00622741-0.00453837j -0.00458665-0.00782049j -0.00993364-0.0008798j -0.0164537+0.0190714j -0.0113614+0.00423415j -0.0267179+0.00521846j -0.00325087+0.00218488j 0.00404438+0.0299417j -0.0145139-0.0125583j -0.0193369+0.0171386j -0.0118035+0.0132469j 0.0130348+0.0376862j -0.0297706-0.00830059j 0.0189214-0.00996902j 0.00984838+0.0159131j -0.013612+0.00123176j 0.00503106-0.0496949j -0.0200557+0.00622684j 0.0158705-0.0187783j 0.000172396-0.0140323j 0.0025499-0.00136363j 0.0134323+0.00421652j 0.00495678+1.96022e-05j 0.00837589-0.00946206j 0.00858808+0.0127165j -0.0276321-0.000333108j 0.00667689-0.00853859j -0.0165227-0.00339434j -0.0147622+0.0358141j -0.0389253-0.0190809j 
0.0412933-0.00333207j 0.00301393-0.0444066j -0.00820514-0.00678645j -0.0102616+0.00568486j 0.0208931-0.00610671j -0.00296538-0.0198064j -0.00322912-0.00173712j 0.00451624+0.0151173j 0.00580035+0.00224214j 0.00664978-0.00923227j 0.00327868-0.00429828j -0.000461045+0.000397438j 0.00338584-5.53812e-05j 0.000528571-0.000992789j 9.2468e-05-0.00734196j -0.00685463-0.00502868j -0.00214702-0.000170416j -0.00367633+0.00893336j 0.00529579-0.00943759j 0.0121226-0.0030406j -0.00987387-0.0224929j 0.00638348+0.00257298j 0.0127018+0.0166715j -0.0203074-0.00420358j 0.0101735-0.00385125j -0.00139291+0.00531296j -0.0030152-0.00347328j 0.00482056+0.0101034j 0.0127598+0.00858189j 0.0112363+0.0133813j 0.0111314-0.0220807j -0.00562606-0.00371633j 0.0110041+0.00504602j -0.00769039+0.00311785j -0.00307322+0.00313981j 0.00497442-0.0054528j 0.0178244+0.000165692j 0.00695404-0.00239926j 0.022357-0.027299j -0.0432664-0.00589611j -0.00603994-0.0462318j -0.0112634+0.000700724j 0.00655381+0.00892192j -0.0221075-0.0164812j -0.00676471+0.000385791j -0.00552766+0.00850851j 0.0153124+0.00566691j 0.0181695+0.000723604j 0.0188598+0.0145459j -0.0284351-0.00624003j -0.00514502+0.00522839j 0.00744987-0.0182892j -0.00136858+0.000704039j -0.0031875-0.0041528j -0.0162665-0.013144j -0.00191817-0.0128662j 0.00765843+0.0102991j 0.00584274-0.00333151j 0.000821626-0.0138333j 0.00963922-0.000244034j -0.00129024-0.00607494j 0.0277818+0.00917361j 0.0139193+0.00823533j -0.0118507-0.00343792j -0.00563305-0.023646j 0.0119206+0.0410412j 0.000501763-0.00140036j -0.0028449+0.00781903j 0.0204861+0.00386664j 0.00401577+0.00864825j 0.0100761-0.0204923j -0.00468215+0.00942868j -0.00694552+0.0686948j 0.00508237-0.0174502j -0.000184062+0.0529417j -0.00815782+0.0569065j -0.0270759+0.00809991j 0.0167314-0.0178904j 0.0074641-0.0191481j 0.00199371-0.0311539j -0.00251372-0.00503245j -0.0142625-0.0117346j -0.0411293+0.00827962j -0.00487973-0.00644341j -0.00235253-0.0166538j -0.0272584+0.00601801j 0.00294337-0.0346802j 0.010195-0.0137003j 0.0290841-0.0215216j -0.00271463+0.000173892j 0.0113141-0.00801049j -0.00163896-0.00512954j -0.0321041-0.0351055j -0.00632761+0.0538937j -0.0610513-0.0134363j 
0.00761764-0.000127929j 0.000892168-0.0058957j -0.00148672+0.0103354j 0.00759913+0.00154503j -0.0069657+0.0274523j 0.0288741+0.00274455j -0.00915832-0.0131804j -0.013521+0.00483267j 0.00709393+0.00407823j 0.0040753-0.00449709j -0.00418839-0.00601864j -0.00266207-0.00314129j 0.00367603-0.00395738j -0.00239274+0.00302561j 0.000772053+0.00296407j -0.000953518-0.00382381j -0.00313646-0.00233203j -0.0102598-0.000930915j 1.63527e-05-0.00153987j 0.000637336+0.0107376j 0.0183741-0.00298255j 0.00209979-0.00341721j 0.0142684-0.00584936j -0.00785782-0.0280056j 0.00893266-0.00747241j 0.00352349+0.0118867j -0.00714848-0.00475006j 0.0047271+0.00302127j -0.00150687-0.00435245j 0.00220458-0.00822655j 0.023287-0.00773415j 0.000171403-0.0194606j 0.0238911+0.0036328j -0.011021+0.0129447j 0.00311097+0.00569746j -0.00154219-0.00562063j -0.00513425-0.0133659j 0.00524988+0.000879726j -0.03225-0.0197141j 0.00601261+0.0131016j -0.00941289+0.00916718j -0.000895539-0.0197826j 0.003583+0.00228612j -0.00873457+0.0116374j -0.0123559-0.00232651j -0.00388632-0.0019988j 0.00328517+0.0104011j -0.0130316+0.0027346j 0.00326782-0.0107926j 0.00563989-0.00612401j -0.00547597+0.0130132j -0.00761227+0.0108101j 0.00406992+0.00868793j -0.00330924-0.00468227j -0.00119121+0.0179092j 0.0123109-0.00476598j 0.0140523-0.000545831j 0.00787531+0.000742337j -0.00157163-0.0138381j -0.00952312+0.00697116j 0.0150041+0.00699339j 0.0110715-0.0213708j 0.00469189-0.00100064j 0.00309883-0.00756368j -0.00547858+0.00981094j 0.00391459-0.00614382j 0.0153612-0.00516143j 0.011203+0.00503027j 0.000146135-0.0135739j 0.0106504-0.00798864j -0.0102059+0.00333239j 0.00121018-0.00349842j -0.00767126-0.00211557j 0.0220711-0.00707591j -0.0014338+0.00216416j 0.00546759+0.0034853j -0.0127346-0.000715971j -0.0138255-0.00554756j -0.0083104-0.00498709j 0.00526177+0.00839147j -0.000494582-0.00209276j -0.000492385+0.00230011j -0.0115578+0.0201158j -0.0308603-0.017385j -0.0137843-0.00660368j 0.0149232+0.0362016j 0.0163492-0.018112j 0.00429141+0.00169305j 0.00713603+0.00531733j -0.0319548+0.0135614j -0.0183612-0.00610292j 0.00941729-0.0293259j 0.0135518+0.000285789j 0.0215992-0.00718242j 0.00928762+0.0171112j 
0.00188373-0.0181907j -0.019323-0.00163665j -0.00502762+0.00851198j 0.00437261+0.00607598j -0.00511349-0.00502355j -0.00499496+0.00398579j -0.004379-0.00511818j 0.00659024-0.00743526j -0.0017306+0.00217186j 0.00610203-0.00330928j 0.000476276-0.011471j -0.00272742+0.000264192j 0.00278475+0.00356782j -0.00513335+0.00317759j -0.00774383+0.00355753j -0.00139717+0.00487547j -0.00487448+0.00427561j 0.00187362-0.00340589j 0.00114852+0.00269215j -0.00519303-0.00797893j -0.0124889-0.00194289j 0.0153909+0.0143128j -0.0040013-0.00931636j 0.000308137+0.0180669j 0.000848083+0.0120927j -0.00202404-0.00331838j 0.00985194-0.00671471j -0.00226199-0.00705162j 0.000324597-0.0132713j 0.00991206-0.00538264j -0.00221642+0.0160931j 0.0161027+0.00475287j -0.0103001+0.00417671j 0.00568398+0.00607327j -0.005108-0.00341639j -0.0193344+0.00826302j -0.0010882-0.0164462j -0.00874278-0.0130259j 0.0114949+0.00219684j 0.00817528-0.0127989j -0.0190967-0.0114633j -0.00585344-0.00277277j -0.00100883+0.00312939j 0.00138556-0.00349694j 0.00280892+0.00323322j -0.00422063-0.0041823j -0.0228112-0.00468608j -0.0120232+4.13365e-05j -0.0277652+0.00605287j 0.0321886+0.00275819j -0.0177155+0.00577263j 0.00571275+0.00140462j 0.00461513+0.00111806j 0.00279178+0.00404216j 0.00674639+0.00140298j -0.00841391+0.0115643j 0.00633682-0.00756832j -0.00131208-0.00396196j -0.00298079+0.00636394j -0.000389875+0.00662698j 0.00588024+0.00582409j -0.0227488+0.0168262j -0.0026231+0.00163269j -0.00282316+0.017158j 0.0137536+0.0210243j -0.00628332-0.0231601j -0.00675023+0.0116263j -0.00733496+0.00321319j 0.00207729-0.00403439j -0.0075618-0.0229165j 0.00203308+0.0175101j -0.00463985-0.0162918j 0.00498339-0.00907521j 0.00175462-0.0134207j 0.00917443-0.00486695j 0.0074934-0.00827836j 0.00440961-0.0179141j 0.00366552+0.00372988j -0.0100699+0.000370857j -0.000966195+0.00204689j 0.0131103-0.0075968j -0.00792935-0.00401235j 0.03467-0.00835548j 0.0248534+0.0207669j 0.0187899-0.025593j -0.0113718-0.0280378j 0.0010803+0.0228798j -0.0104281-0.00346399j -0.00686861-0.00549246j 0.0285688+0.00409509j -0.0162743+0.00623045j 0.00186835+0.0196099j -0.0119577+0.0257352j -0.0401427+0.0151281j -0.0138043-0.0393278j 
0.0210923+0.0032707j 0.00372505-0.0217202j 0.00355615-0.00906736j -0.0140169-0.00578457j -0.0108842-0.00755102j -0.00143797+0.00631841j 0.00496144-0.00291698j 0.0116821-0.0125334j -0.00838217-0.0144549j -0.01518-0.00917535j -0.00674176+0.0158472j -0.00600972+0.00531666j 0.00101315-0.00257146j -0.0122678-0.000236384j 0.00948307-0.00526906j 0.00308214+0.00400268j -0.00891237+0.0128097j 0.0197018-0.00815186j 0.0054582+0.0316075j 0.00551627-0.00665511j 0.0243492+0.0127886j -0.0043048-0.00497443j 0.00399739+0.00934242j 0.0194468-0.0192245j -0.011797-0.00357442j -0.000629928+0.00797517j -0.0104362+0.00788109j -0.017636-0.00617143j 0.00232597+0.00102711j -0.000544087-0.00233318j 0.00633115-0.00222981j -0.00254592+0.00212185j 0.00747964+0.00198738j -0.00152799-0.00489369j 0.0104047+0.00175537j 0.0155199+0.0024905j -0.00714744-0.005341j -0.00749319-0.00689638j -0.0289128-0.0125949j 0.00585047+0.0125778j -0.0100834+0.023836j -0.000575979-0.00296931j 0.00475441+0.00332808j -0.0011049+0.0194945j 0.00331337+0.00281489j -0.0019278-0.00428378j -0.00228404+0.0101441j -0.00164945+0.0100926j -0.00411384-0.00488006j 0.00938527-0.00421558j 0.00413157+6.56201e-05j -0.00371234+0.00895678j 0.00459615+0.00290502j 0.00711767-0.00717112j -0.00283552+0.0202486j 0.0135858-0.0060429j -0.00267204-0.00400596j 0.000499095+0.00275157j 0.00383313-0.000107623j -0.0106117-0.00614854j 0.0122584+0.00303446j 0.00125679-0.016725j 0.0075855-0.00246626j 0.00338824+0.00528154j -0.00279329+0.0172611j 1.79121e-05-0.0110827j 0.0154909-0.00270723j 0.0108189-0.00521536j 0.00302883-0.00320991j 0.00295136-0.0150298j -0.0102595+0.00999149j 0.00428656-0.00652933j -0.00238206+0.000217233j 0.0181796-0.00418564j -0.00223772-0.00522135j 0.0225398-0.00561183j -0.00420085-0.00580092j -0.0173707-0.0101429j -0.0201767-0.0016953j 0.00112545+0.00683665j 0.000877603+0.00289705j 0.0109238+0.00412488j 0.00574393+0.019293j -0.0240911-0.00620736j -0.00609984+0.00323271j 0.00183447+0.0259121j 0.0124745-0.0107802j 0.00238523+0.00781897j 0.00337848+0.00915894j -0.00319959-0.0156399j -5.34661e-05+0.0157862j 0.0118984-0.0102173j 0.0263694+0.00263983j -0.00571436-0.00525218j 0.00717832-0.00750483j 
0.00831253-0.000151906j -0.000477623-0.00750538j 0.0133279+0.0125093j 0.00916151-0.0168927j 0.00399687-0.00102967j 0.00593233-0.0127934j -0.00285349-0.00135984j -0.0136183-0.00309139j -0.011504+0.0124555j 0.0101737+0.0206206j 0.0190431-0.0170759j -0.0302919+0.00160285j -0.0194253-0.0146596j 0.00780913+0.00428669j -0.00797781-0.0180778j -0.00764849+0.0159271j -0.0172076-0.00841356j 0.01277-0.020215j 0.001512+0.00632398j -0.0150287-0.00537496j -0.00833931+0.00327175j 0.00145475+0.000658906j -0.000285542+0.00670094j 0.00350633+0.00368635j 0.00175285-0.000209507j -0.000298124+0.000110998j -0.00235561-0.00857789j 0.00166782-0.0176091j 5.76901e-05+0.00723113j 4.1868e-05+0.00137481j -0.00370466-0.00690609j 8.09985e-06-0.00204214j 0.00518218-0.000105096j -0.00309354+0.00197625j 0.00129693+0.00411012j 0.00193779-0.00402792j 0.000858498-0.000922785j -0.00100982+0.000924523j -0.000465477-0.00155897j -0.00141878+0.000754105j 0.000714282+0.00304433j -0.000363467+0.00343552j 0.00140149-0.0027896j -0.000136529-0.000386256j 0.00210677-0.00019818j 0.0013868-6.53387e-05j 0.000569645-0.000537258j 0.0026243-0.00120119j 0.00232262+0.00159671j -0.00256716-0.000702976j 0.00252768-0.000363597j -0.00257489+0.000525734j 0.000561995-0.00227831j 0.00103978-0.0014102j 0.00149527-0.00011363j 0.000934565-0.000661307j -0.0020132+0.00135878j -0.000757422-0.00129457j 0.000817369+0.000875542j 0.00111648-0.00151582j -0.00167801-0.000390962j 0.00259422-2.29418e-05j 0.000404108+0.000818769j 0.000940216+0.000757201j -0.000352039-0.00230426j 0.00230268+0.00240249j 0.00149213-0.000262968j 0.000441257-0.000443562j -0.000512692-0.000549183j 1.63726e-05+0.00132047j 0.000418258-0.00396418j 0.000590636+0.000128953j 0.000376767+0.00131668j -0.000549383-0.000472427j 0.000727969+0.000854437j 0.000338837+0.000876928j -0.00133825+0.00133856j 0.000317176-0.00247006j 0.00067434+3.32146e-05j -0.0012395-6.98405e-05j -0.000979744-0.000274394j 0.00161726+0.00113771j -0.00160029+0.000459723j -0.000734053-0.00076543j -0.00138895+0.00202974j -0.000497269+0.00243875j 0.000448703-0.000566146j -0.000209253+0.000778464j 0.000347748+0.000406616j -0.000409461-0.00214403j 0.00153031+0.00144332j 0.000256956-0.00131102j 0.00249819-0.00175889j -0.000356586+0.0001137j -0.000467761-0.000296672j 
0.00265733-0.00791251j -0.00781247-0.00288156j 0.00872475-0.00624127j -0.00405212-0.00676915j 0.011256-0.013224j -0.0124585-0.0188746j -0.00472998+0.00775492j 0.00240024-0.00606249j 0.000853717+0.00288538j -0.0085579-0.0108824j -0.00244554+0.00604877j -0.00152321+0.00146642j 0.00440448-0.0116151j -0.00432891+0.00552106j 0.00676132-0.00265878j 0.002485-0.000875714j -0.00211695+0.0106463j 0.0115392-0.000422911j 0.0118573+0.00970742j -0.000916505-0.00487003j -0.0232842-0.0201822j 0.00969506-0.00207893j -0.00204576-0.0191566j -0.0242351+0.0134639j -0.00211858+0.00864345j 0.0151769-0.000569184j 0.0102251-0.0110048j -0.0218359+0.00891794j -0.00436557+0.00866744j 0.000815798-0.00756935j 0.0100459+0.0145868j 0.00293792-0.00697017j -0.00290421-0.00147954j 0.00232048+0.00350859j -0.00795695-0.0108331j -0.0207391-0.00401036j 0.0159377-0.00404892j -0.00812117+0.00517596j 0.0243032+0.00321316j -0.00616808-0.0184648j 0.00359056-0.0174562j 0.000871409+0.00296811j -0.00558893-0.00512434j -0.00342036-0.0157626j -0.00209227+0.00028536j 0.0102611+0.00383201j -0.000864154-0.0113652j -0.000171196-0.0209454j 0.0039176+0.0139848j -0.0105288+0.0102708j -0.00346195+0.00672177j -0.000707137-0.00607462j -0.00059163-0.000218902j 0.00702961+0.00364629j 0.00830253-0.0166738j -0.00854658+0.00791436j 0.00189764+0.00619354j -0.00229442-0.00205323j 0.000183189+0.00381932j 0.0109469+0.00266986j -0.0179308-0.00371827j 0.000322751+0.0116604j -0.00248265+0.00177286j -0.00101762-0.00138769j -0.00289033-0.0130148j 0.00416656+0.0116113j -0.0118735+0.00762556j -0.00785178+0.00528729j 0.00161605+0.00533777j -0.000247988+0.0118859j 0.0129773-0.0107575j -0.00340391+0.00529784j -0.000116208+0.00370943j -0.0207723+0.00858726j 0.000774928+0.00802823j -0.0168881+0.00604672j 0.00325239+0.00385708j 0.0136276+0.00472807j 0.0191903+0.00216493j -0.00269131-0.00571507j -0.00136385+0.000317264j -0.00297247-0.00404558j -0.0060046-0.0167725j 0.0158574+0.00238212j 0.00195203+0.00421162j -0.00722849-0.0208636j -0.00775771+0.00745815j -0.00178905-0.00407769j -0.00368695-0.00617445j 0.00694432+0.00428422j 0.00471992-0.0051441j -0.0100245+0.0105492j -0.0142593-0.00571121j -0.00744207+0.00471561j -0.00789386-0.00541492j 
