-0.00197215+0.0288263j 0.0213139-0.0215462j 0.0454153-0.0210128j 0.0820222+0.033296j 0.0908309+0.0238159j -0.00320213-0.00989736j 0.0176319+0.0137927j -0.137232-0.0384319j -0.0359123-0.0667461j -0.127626-0.0394292j -0.112648+0.0172202j 0.0779523+0.170238j 0.0447435-0.111857j 0.0832186+0.120904j -0.0913326+0.0259834j 0.0965533-0.120394j 0.00793348+0.0778185j 0.00677187+0.0200018j -0.120861-0.0334063j -0.00802339-0.130047j 0.00329158+0.0209418j 0.0437514-0.104113j -0.0120592+0.0634115j -0.0865944-0.0177378j -0.164782+0.0590224j 0.0857492-0.0102192j 0.0844513-0.0198366j -0.239674+0.0696394j -0.0213336+0.0108597j 0.0318185-0.020591j -0.110978+0.00643881j -0.0361336-0.0069869j 0.0931259-0.0486499j -0.0249103-0.0401271j 0.114095+0.0704399j 0.495161+0.0446717j 
-0.0407046+0.00889758j 0.0126269+0.0161083j -0.077967-0.0167229j 0.139514+0.00825926j 0.0213997-0.0100743j 0.0110447+0.0090212j -0.088038-0.00993061j -0.0635564-0.0917669j -0.0187263-0.0276112j -0.0681407+0.0764058j -0.0459691+0.0545884j -0.0194859+0.0665663j 0.0456698-0.0472793j -0.105783-0.243245j 0.026983+0.0597283j -0.159663+0.0625119j 0.0183728+0.0603801j -0.188285-0.0218783j 0.0361501-0.160889j 0.0527109-0.00461609j 0.033823+0.00151089j 0.116952-0.0264881j -0.0785096+0.0179509j -0.00810637+0.0186496j -0.0470203+0.0208277j -0.0305014-0.00590228j -0.0467061+0.0301497j 0.0381739-0.0316828j 0.165832-0.0450975j -0.187121+0.0393224j -0.0454718-0.00679927j 0.142793+0.00688534j 0.120431+0.0319333j 0.023804-0.0700346j 0.495538+0.0183557j -0.130774-0.0519589j 
0.103595+0.0362468j -0.0344548+0.0343431j 0.14713-0.0133347j -0.097604-0.0229844j 0.013518-0.0222098j -0.00907592+0.0254765j 0.0724708+0.0069002j -0.00933079+0.123803j 0.055869-0.0165103j 0.0266998-0.223114j -0.175686-0.195154j 0.04029+0.182676j 0.229733-0.216365j -0.174048-0.442008j 0.117027+0.0335743j -0.446201+0.149738j 0.0417056+0.0222152j 0.0213676+0.0468423j -0.013656+0.132088j 0.0794839+0.0312441j -0.0384636-0.0377678j -0.0891133-0.000216097j 0.0457057-0.000452491j 0.0854802-0.0779304j 0.0830776+0.0260392j 0.0515725+0.0382222j 0.0171881-0.0403046j -0.0874457-0.0296554j 0.0599983-0.0325061j 0.00932637+0.0246512j -0.133616-0.00037812j -0.180291+0.00612502j 0.120915-0.00311366j 0.148774+0.024174j -0.0408887-0.011219j 0.0175951+0.00461697j 
0.0207697-0.0352806j 0.00095337-0.114843j 0.0156886+0.0281139j 0.0255128+0.0291618j -0.0721143-0.0149074j 0.0026327-0.00383439j 0.0486124-0.0108155j -0.137748-0.0304776j -0.0205432-0.0362217j -0.271758-0.167437j 0.212494+0.425866j -0.363803+0.136524j -0.260069+0.364989j -0.0829713-0.219393j 0.101948-0.0230168j -0.265116+0.0999699j 0.00899701-0.00121758j 0.0466146+0.0278151j -0.0281934-0.0470877j -0.0668764-0.0847741j 0.0221221+0.0461361j 0.130345+0.0227058j -0.0542233-0.0863586j -0.0798318+0.0810833j -0.0521806+0.0334843j -0.0618237-0.0121501j -0.077634+0.0427336j -0.0251752-0.0278014j 0.0235634+0.0192056j 0.119137+0.0361422j 0.0391275-0.0147922j 0.0202322+0.0114917j 0.0376882-0.0218384j -0.0558164+0.00727496j -0.0578466-0.00612298j 0.0669303+0.00910587j 
0.0969514+0.0422388j -0.0285421-0.11631j 0.11928-0.000336322j -0.101061+0.000308874j 0.063788+0.00364482j -0.0533629-0.0115069j 0.0835254+0.0324953j -0.144403+0.156274j 0.0259859+0.0574813j -0.147043-0.308118j -0.063006+0.0817569j -0.127108+0.211114j 0.0391822+0.0188908j 0.02321+0.251696j 0.0314435-0.0566564j 0.12655-0.140789j -0.0643319-0.0613664j 0.393892+0.0563317j -0.160906+0.232423j -0.0305413-0.138155j -0.0339157+0.0167937j -0.0883518-0.0465434j 0.124758-0.0110326j -0.0589399-0.0305585j -0.0414599+0.0294739j 0.0798415+0.0114937j 0.0294081-0.037933j 0.0191717+0.0201897j 0.154942+0.015731j -0.0319022-0.00477951j -0.112348-0.00781478j 0.0300566-0.0100164j -0.0839917+0.0619437j 0.175013-0.0160425j 0.104256-0.00460336j -0.177162-0.0386548j 
-0.135243-0.0761866j -0.0016526-0.0110999j -0.244141+0.00496115j -0.0605681-0.00116955j 0.117004+0.0212179j -0.152074+0.00147039j 0.0445357+0.0296178j -0.153697-0.148061j -0.0660204+0.364231j -0.176066-0.0439686j -0.217074+0.0519255j 0.00271036+0.302335j 0.215649-0.239267j 0.0469666-0.0287597j 0.305259+0.0332629j 0.0247831-0.0738096j -0.0840798-0.174717j -0.165998-0.0668392j -0.0355129-0.19559j -0.119398-0.0506368j 0.0104797-0.0107256j 0.109097-0.0712775j 0.0566371+0.0839606j -0.0810084+0.0211812j -0.0628873+0.0360062j 0.09592-0.0210435j -0.00303107+0.00901398j 0.104038+0.0143099j -0.0856601-0.0237181j 0.0491706-0.0234259j 0.030242+0.0113561j 0.0242151+0.0516363j -0.12825-0.00963312j -0.140261-0.00784262j -0.0917868-0.00232724j -0.0048764+0.00416422j 
-0.00182482-0.0880752j -0.0807154-0.0419415j -0.078863+0.0236451j -0.278407-0.0457846j -0.0580413-0.0295082j -0.0191617+0.0104792j 0.0334404-0.0100606j -0.0540072+0.0835873j -0.0193787+0.412235j 0.081594-0.0469531j 0.0643655-0.0218642j 0.0122533-0.171574j -0.0400265+0.112663j 0.0394245-0.0354794j 0.379967-0.0778803j 0.105849+0.0772586j -0.0882099-0.304394j 0.111649-0.0661477j 0.176372+0.0732324j 0.0314054+0.138325j -0.0759104-0.0296888j -0.0657191+0.130779j -0.048779-0.038002j 0.196847+0.0152609j 0.0437907-0.0268091j -0.147494+0.02867j -0.0174453-0.0158926j -0.100653-0.00871915j -0.0346332+0.0275176j -0.0960396+0.0225982j 0.03056-0.00924079j 0.058679-0.0745387j 0.159152-0.019618j -0.000102612-0.0208094j 0.101322+0.0237681j 0.0612316+0.0114337j 
0.0877928+0.063787j 0.0322439+0.00315089j 0.0900949-0.00735186j 0.0558852-0.0337881j 0.0498231-0.0164045j 0.0071973+0.00331484j -0.101354+0.0171819j -0.114921+0.188333j 0.0385495-0.0457977j -0.0394052-0.143241j -0.0822322-0.120304j 0.0562673-0.033254j 0.0976883-0.0194213j -0.00699072-0.0353662j -0.0566114-0.0299992j -0.143812+0.0601051j 0.0125034+0.00180738j 0.201083+0.054179j 0.0629599+0.193402j 0.213935-0.00809571j -0.0621112-0.00922932j -0.0634049+0.0181683j -0.0935157-0.0119373j 0.109058-0.0665842j -0.167561+0.0282591j -0.0515869+0.0478577j -0.0281766-0.0414588j 0.201772-0.00307233j -0.125907+0.000583368j 0.150109+0.00805022j 0.217416-0.0611613j 0.284817-0.0018124j -0.104889-0.0193595j -0.326585-0.0540948j -0.0931529+0.0179022j 0.0458404+0.00520403j 
-0.0010582-0.0138474j 0.0251131-0.0338131j 0.093888-0.00477014j 0.0918383+0.00420007j 0.0804241-0.00511685j 0.000749995+0.000369234j 0.0228549+0.00147057j -0.0624049+0.0263291j 0.0201762-0.000615651j -0.0580405-0.069524j -0.157051+0.104122j 0.00176627+0.0593303j 0.0595665+0.0650156j 0.0307305-0.013677j -0.0566163-0.0022457j 0.0853766-0.0165672j 0.00637637-0.00180466j 0.101747-0.000976453j -0.144588+0.0328676j -0.0458657-0.0346008j 0.0384868+0.0111713j 0.14511-0.0198278j -0.321278-0.00796859j 0.091819+0.00552933j 0.333151-0.000908164j -0.152134+0.00891556j -0.150507+0.0140008j 0.0737794+0.00548237j -0.420867-0.00931251j -0.407601-0.0225872j 0.0296273+0.019323j -0.214189-0.0138273j -0.0213787-0.0189176j -0.0133819-0.00314245j -0.0689324+0.0202224j -0.0527733+0.00402322j 
-0.143305+0.0182055j -0.0156673-0.0086923j -0.186548+0.0130288j 0.115836-0.00951359j -0.00966208-0.00940469j -0.0806148+0.00850869j -0.204695+0.013559j -0.0427917+0.0380368j -0.076933-0.0379971j -0.125363-0.0397818j 0.0487519+0.000227969j -0.0932886+0.0321141j -0.0738122+0.00210527j 0.0201086-0.0875308j -0.07478+0.00770029j 0.0084144+0.0239599j -0.0722954+0.0258475j 0.0117097+0.0121882j 0.0985579+0.0173298j 0.18624-0.0201472j -0.0196357+0.00126932j -0.126092+0.00145349j 0.237402-0.00148289j 0.0387083-0.0107017j 0.324989+0.00635511j -0.217434+0.0122709j 0.42194+0.0170263j 0.00274917-0.00818755j -0.176591-0.0209014j 0.0422175+0.00723701j -0.264025-0.0374948j -0.166028+0.0145824j 0.0125161-0.0009662j 0.0110808-0.0296246j -0.143067+0.00505828j 0.0968823-0.0179505j 
0.0153787-0.00604386j 0.0244255+0.0103244j 0.0546947-0.00258393j -0.0329302+0.00185251j -0.0337192-0.000809865j 0.0493631+0.00212835j 0.0746551-0.0158836j -0.00234833-0.0480342j 0.0153808+0.005992j -0.0177136+0.0368643j -0.0217662+0.00587652j -0.0142927+0.0122546j 0.030437-0.0218836j -0.0190456-0.125655j -0.00133456+0.0252815j -0.0663947+0.0362942j 0.0550704+0.0117106j -0.166616-0.0110798j -0.0104879-0.0633266j -0.0421364+0.0265805j -0.0225246-0.00542822j -0.0141389+0.00360337j -0.117604-0.00516969j -0.0427914+0.0128969j -0.0119389-0.00357728j 0.0343797-0.00760139j -0.0847292+0.0108349j 0.0849054-0.00757282j -0.217057-0.0280531j 0.233631+0.0408665j 0.173652+0.0242362j -0.0504149-0.0115117j -0.193574+0.0413115j -0.109519+0.0148632j -0.323301+0.0131713j 0.0485032-0.0294226j 
