-0.0030381-0j -0.000490271-0j -0.000400305-0j -5.7779e-05-0j -5.00381e-05-0j -5.89704e-06-0j -2.69162e-07-0j -0.00279334-0j -0.000441666-0j -0.000349168-0j -0.000232779-0j -5.0398e-05-0j -5.81946e-05-0j -2.05749e-05-0j -4.84955e-06-0j -5.14373e-06-0j -4.28644e-07-0j -1.59746e-08-0j -0.00182294-0j -0.00184183-0j -0.0002842-0j -0.000287145-0j -0.00022014-0j -0.000222422-0j -3.17745e-05-0j -0.00020096-0j -3.21038e-05-0j -0.000203042-0j -3.5525e-05-0j -2.36833e-05-0j -3.58932e-05-0j -2.96042e-06-0j -2.05104e-05-0j -2.39288e-05-0j -2.9911e-06-0j -2.07229e-05-0j -4.18666e-06-0j -2.09333e-06-0j -4.23005e-06-0j -2.46702e-07-0j -3.02146e-07-0j -2.11502e-06-0j -2.49258e-07-0j -3.05278e-07-0j -1.95035e-08-0j -1.97056e-08-0j -6.14301e-10-0j -6.20667e-10-0j 
0.000465112-0j -0.00353902-0j 6.12839e-05-0j -0.000843001-0j -0.0003612-0j -0.000129509-0j -9.87956e-06-0j 0.000427642-0j -0.00318817-0j 5.34552e-05-0j 3.56368e-05-0j -0.000735312-0j -0.000420078-0j 3.14988e-06-0j -0.000106504-0j -7.50475e-05-0j -1.25735e-05-0j -7.04105e-07-0j 0.000279079-0j 0.000281971-0j -0.0020515-0j -0.00207276-0j 3.3702e-05-0j 3.40512e-05-0j -0.000463593-0j 3.07656e-05-0j -0.000468398-0j 3.10844e-05-0j -0.000256437-0j -0.000170958-0j -0.000259095-0j -6.50158e-05-0j 3.14e-06-0j -0.00017273-0j -6.56895e-05-0j 3.17254e-06-0j -6.10838e-05-0j -1.51107e-05-0j -6.17168e-05-0j -7.23656e-06-0j -6.63564e-06-0j -1.52673e-05-0j -7.31156e-06-0j -6.70441e-06-0j -7.15872e-07-0j -7.23291e-07-0j -3.16046e-08-0j -3.19321e-08-0j 
0.000351592-0j 5.67379e-05-0j -0.00442903-0j 6.68662e-06-0j -0.00111305-0j -6.52457e-05-0j 3.11495e-08-0j 0.000323267-0j 5.11129e-05-0j -0.00386324-0j 2.69389e-05-0j 5.83244e-06-0j -0.000643874-0j -0.000687693-0j 5.61227e-07-0j -0.000114417-0j -4.74258e-06-0j 1.8487e-09-0j -0.072249-0j -0.0729977-0j 3.28898e-05-0j 3.32306e-05-0j -0.00243566-0j -0.00246091-0j 3.67719e-06-0j 2.32566e-05-0j 3.7153e-06-0j 2.34976e-05-0j -0.000393054-0j 2.74081e-06-0j -0.000397127-0j 3.42602e-07-0j -0.000456233-0j 2.76922e-06-0j 3.46152e-07-0j -0.000460961-0j -4.63218e-05-0j -6.99673e-05-0j -4.68019e-05-0j 2.85502e-08-0j -6.72095e-06-0j -7.06923e-05-0j 2.8846e-08-0j -6.7906e-06-0j -2.15789e-07-0j -2.18025e-07-0j 7.10916e-11-0j 7.18283e-11-0j 
-5.07479e-05-0j 0.000780467-0j -6.68662e-06-0j -0.00429043-0j 7.96561e-05-0j -0.00134193-0j -0.000206323-0j -4.66595e-05-0j 0.000703093-0j -5.83244e-06-0j -3.88829e-06-0j -0.00374235-0j 9.26406e-05-0j -3.4368e-07-0j -0.00110356-0j -0.000381952-0j -0.000196456-0j -1.84061e-05-0j 0.0104282-0j 0.0105363-0j 0.000452421-0j 0.000457109-0j -3.67719e-06-0j -3.7153e-06-0j -0.00235945-0j -3.3568e-06-0j -0.0023839-0j -3.39159e-06-0j 5.65526e-05-0j 3.77017e-05-0j 5.71387e-05-0j -0.000673673-0j -3.42602e-07-0j 3.80924e-05-0j -0.000680654-0j -3.46152e-07-0j -0.000310884-0j 3.33239e-06-0j -0.000314106-0j -0.000113068-0j -6.87564e-05-0j 3.36693e-06-0j -0.00011424-0j -6.9469e-05-0j -1.49501e-05-0j -1.51051e-05-0j -9.92306e-07-0j -1.00259e-06-0j 
0.000310075-0j 5.00381e-05-0j -0.00589811-0j -0.000851318-0j 5.10699e-06-0j 6.01865e-07-0j 2.74712e-08-0j -0.0833845-0j 4.50774e-05-0j 3.56368e-05-0j -0.0068833-0j 5.14373e-06-0j -0.000857443-0j 2.09992e-06-0j -7.14536e-05-0j 5.2498e-07-0j 4.37483e-08-0j 1.6304e-09-0j 0.000186053-0j 0.000187981-0j -0.0084837-0j -0.00857161-0j 2.2468e-05-0j 2.27008e-05-0j 3.24298e-06-0j -0.00296095-0j 3.27658e-06-0j -0.00299164-0j 3.62576e-06-0j -0.00070032-0j 3.66333e-06-0j 3.02146e-07-0j -0.000302201-0j -0.000707578-0j 3.05278e-07-0j -0.000305333-0j -6.16865e-05-0j 2.1365e-07-0j -6.23258e-05-0j -3.63491e-06-0j 3.08377e-08-0j 2.15864e-07-0j -3.67258e-06-0j 3.11573e-08-0j 1.99056e-09-0j 2.01119e-09-0j 6.26969e-11-0j 6.33466e-11-0j 
-0.0714226-0j -0.00918208-0j 3.87593e-05-0j 5.59443e-06-0j 4.84492e-06-0j 5.70979e-07-0j 2.60615e-08-0j 0.000270464-0j -0.0103831-0j -0.00653942-0j 2.25387e-05-0j -0.000943884-0j 5.63467e-06-0j 1.99216e-06-0j 4.69556e-07-0j 4.98039e-07-0j 4.15033e-08-0j 1.54674e-09-0j 0.000176505-0j 0.000178334-0j 2.75176e-05-0j 2.78027e-05-0j -0.00517528-0j -0.00522891-0j -0.000746987-0j -0.00376369-0j -0.000754728-0j -0.0038027-0j -0.000665333-0j 2.29313e-06-0j -0.000672228-0j -5.54444e-05-0j 1.98591e-06-0j 2.31689e-06-0j -5.6019e-05-0j 2.00649e-06-0j 4.05372e-07-0j 2.02686e-07-0j 4.09573e-07-0j 2.38868e-08-0j 2.92552e-08-0j 2.04786e-07-0j 2.41343e-08-0j 2.95584e-08-0j 1.88842e-09-0j 1.90798e-09-0j 5.94795e-11-0j 6.00959e-11-0j 
-5.4814e-05-0j 0.000417078-0j 0.000690496-0j 9.93486e-05-0j -0.00818196-0j -0.0014592-0j 1.16432e-06-0j 0.0147404-0j 0.000375729-0j 0.000602289-0j -4.19984e-06-0j 8.66573e-05-0j -0.00473309-0j 0.000107213-0j 1.25517e-05-0j -0.00169999-0j -0.000141668-0j 8.29795e-08-0j -3.28898e-05-0j -3.32306e-05-0j -0.0707133-0j -0.0714461-0j 0.000379726-0j 0.000383661-0j 5.4635e-05-0j -3.62576e-06-0j 5.52012e-05-0j -3.66333e-06-0j -0.00288932-0j 2.01476e-05-0j -0.00291926-0j 7.66218e-06-0j 7.11278e-05-0j 2.03564e-05-0j 7.74158e-06-0j 7.18649e-05-0j -0.000688241-0j -0.000514326-0j -0.000695374-0j 8.52837e-07-0j -0.000150312-0j -0.000519656-0j 8.61675e-07-0j -0.00015187-0j -8.06585e-06-0j -8.14944e-06-0j 3.72464e-09-0j 3.76324e-09-0j 
4.56783e-06-0j -0.000105744-0j 6.01865e-07-0j 0.00118347-0j -1.07924e-05-0j -0.00557278-0j -0.00265475-0j -0.00122837-0j -9.52604e-05-0j 5.2498e-07-0j 3.49986e-07-0j 0.00103229-0j -1.25517e-05-0j 3.09347e-08-0j -0.00458289-0j 0.000105358-0j -0.00167334-0j -0.000316773-0j 2.74081e-06-0j 2.76922e-06-0j 0.0179283-0j 0.0181141-0j 3.30985e-07-0j 3.34415e-07-0j 0.00065083-0j 3.02146e-07-0j 0.000657574-0j 3.05278e-07-0j -7.66218e-06-0j -5.10812e-06-0j -7.74158e-06-0j -0.00279763-0j 3.08377e-08-0j -5.16106e-06-0j -0.00282662-0j 3.11573e-08-0j 8.57544e-05-0j -4.51498e-07-0j 8.6643e-05-0j -0.000963075-0j -0.000285532-0j -4.56177e-07-0j -0.000973056-0j -0.000288491-0j -0.000192363-0j -0.000194356-0j -2.13845e-05-0j -2.16061e-05-0j 
0.0119038-0j 0.000373046-0j 0.000932573-0j -0.0128282-0j 3.80738e-05-0j 1.36514e-05-0j 1.0414e-06-0j -4.50774e-05-0j -0.0815958-0j -5.63467e-06-0j 0.00108835-0j 7.75087e-05-0j -0.00639243-0j -3.32026e-07-0j -0.0016207-0j 7.9107e-06-0j 1.32537e-06-0j 7.42192e-08-0j -2.94175e-05-0j -2.97224e-05-0j 0.000216247-0j 0.000218488-0j 0.000862546-0j 0.000871485-0j -0.0118649-0j 0.000468168-0j -0.0119879-0j 0.000473019-0j 2.70309e-05-0j -0.00522105-0j 2.7311e-05-0j 6.85326e-06-0j 4.77822e-05-0j -0.00527516-0j 6.92428e-06-0j 4.82773e-05-0j -0.000929528-0j 1.59281e-06-0j -0.000939161-0j -0.000110121-0j 6.99458e-07-0j 1.60932e-06-0j -0.000111262-0j 7.06707e-07-0j 7.54595e-08-0j 7.62415e-08-0j 3.33142e-09-0j 3.36594e-09-0j 
-3.35666e-05-0j -0.0990611-0j -4.42278e-06-0j 6.08383e-05-0j 2.60674e-05-0j 9.34651e-06-0j 7.12995e-07-0j -3.08624e-05-0j 0.000230086-0j 0.00149627-0j -2.57186e-06-0j -0.0205822-0j 3.03165e-05-0j -2.27323e-07-0j 7.68629e-06-0j 5.41608e-06-0j 9.07417e-07-0j 5.08144e-08-0j -2.01408e-05-0j -2.03495e-05-0j 0.000148054-0j 0.000149588-0j -2.43223e-06-0j -2.45744e-06-0j 3.3457e-05-0j 0.000861162-0j 3.38037e-05-0j 0.000870086-0j -0.00717796-0j 1.23378e-05-0j -0.00725234-0j -0.00181986-0j -2.2661e-07-0j 1.24657e-05-0j -0.00183872-0j -2.28958e-07-0j 4.40834e-06-0j 1.09052e-06-0j 4.45403e-06-0j 5.22254e-07-0j 4.78886e-07-0j 1.10182e-06-0j 5.27666e-07-0j 4.83849e-07-0j 5.16636e-08-0j 5.2199e-08-0j 2.28087e-09-0j 2.3045e-09-0j 
0.00728954-0j -4.84492e-06-0j 0.000760356-0j -5.70979e-07-0j -0.00903897-0j 1.12011e-05-0j -2.65989e-09-0j -2.76041e-05-0j 0.00105972-0j 0.000663225-0j -2.30035e-06-0j -4.98039e-07-0j 0.000110537-0j -0.0112675-0j -4.79239e-08-0j -0.000929172-0j 8.14185e-07-0j -1.57863e-10-0j -1.80145e-05-0j -1.82012e-05-0j -2.8085e-06-0j -2.8376e-06-0j -0.101525-0j -0.102577-0j 7.6239e-05-0j -1.98591e-06-0j 7.70291e-05-0j -2.00649e-06-0j 6.74778e-05-0j -2.34042e-07-0j 6.8177e-05-0j -2.92552e-08-0j -0.00370503-0j -2.36467e-07-0j -2.95584e-08-0j -0.00374343-0j 7.95233e-06-0j -0.00114638-0j 8.03474e-06-0j -2.43793e-09-0j -5.45803e-05-0j -0.00115826-0j -2.4632e-09-0j -5.51459e-05-0j 3.70457e-08-0j 3.74296e-08-0j -6.0706e-12-0j -6.13351e-12-0j 
