-1.40227e-05-0j -0.000103107-0j -0.000433707-0j -0.00113768-0j -0.00178346-0j -0.00136966-0j 0.00196486-0j 0.0103083-0j 0.0279892-0j 0.0392445-0j 0.0194546-0j -0.0653605-0j -0.204922-0j -0.248833-0j 0.106952-0j 0.106038-0j -0.000608114-0j -0.00276292-0j -0.0061253-0j -0.00607297-0j 0.0392445-0j 0.0953078-0j 0.066817-0j -0.348897-0j -0.00607297-0j -0.0104288-0j 0.0662462-0j -0.00142677-0j -0.00547863-0j -0.00940821-0j -0.00538543-0j 0.0696029-0j 0.119526-0j -0.309397-0j -0.0131915-0j -0.0130788-0j -0.0116981-0j -0.00316309-0j -0.00991712-0j -0.0120422-0j 0.109112-0j 0.10818-0j -0.0168847-0j -0.0149731-0j -0.00649228-0j -0.0157669-0j -0.0110536-0j 0.14164-0j -0.0154987-0j -0.0120422-0j -0.0206795-0j 0.13136-0j 
-0.186347-0j -0.239358-0j -0.00352088-0j 0.0338055-0j -0.0135636-0j -0.00319633-0j -0.151251-0j 0.110723-0j -0.0396033-0j 0.0312893-0j 0.00147789-0j 0.0547326-0j -0.0439202-0j -0.0163648-0j 0.0292478-0j 0.00276292-0j 0.0144743-0j -0.24071-0j 0.136583-0j 0.0415525-0j 0.162808-0j -0.222793-0j -0.014882-0j 0.0672753-0j 0.317019-0j 0.16705-0j -0.0345422-0j 0.120255-0j -0.0608291-0j 0.0588601-0j 0.00321022-0j -0.0674596-0j -0.0355472-0j 0.00519749-0j -0.241972-0j -0.0228581-0j -0.0272995-0j 0.0939897-0j -0.0754221-0j -0.0281025-0j 0.0869938-0j 0.00821795-0j 0.115529-0j 0.00892541-0j -0.0720836-0j 0.0986417-0j 0.00658902-0j -0.042124-0j -0.0270873-0j -0.0915837-0j -0.0482591-0j 0.00997891-0j 
0.0171106-0j -0.0550117-0j -0.23137-0j -0.132867-0j 0.0880106-0j -0.0440513-0j 0.0839553-0j -0.10366-0j 0.0233341-0j 0.041187-0j 0.0318043-0j 0.0439202-0j 0.0401068-0j -0.0748891-0j -0.00786042-0j 0.00836773-0j -0.324411-0j 0.186585-0j -0.378565-0j 0.317659-0j 0.0327174-0j -0.0578387-0j -0.136802-0j -0.105004-0j 0.299691-0j 0.251863-0j 0.108299-0j 0.11655-0j 0.0118081-0j 0.0463798-0j 0.0492971-0j -0.0637723-0j -0.0535948-0j -0.0162955-0j 0.0650307-0j -0.0692277-0j 0.0426095-0j 0.0754221-0j 0.0688735-0j -0.128604-0j -0.0233798-0j 0.0248887-0j -0.180319-0j -0.0279835-0j -0.0144857-0j 0.0256081-0j 0.0605691-0j 0.0657479-0j 0.0849258-0j -0.0865778-0j -0.0727607-0j -0.0312865-0j 
-0.000312273-0j 0.00538329-0j -0.00501386-0j -0.12528-0j -0.249682-0j 0.00310107-0j -0.00390045-0j 0.0428119-0j -0.020558-0j -0.135889-0j 0.178093-0j -0.0163648-0j 0.0748891-0j 0.000234525-0j -0.0102483-0j -0.0308403-0j 0.0237955-0j -0.211015-0j 0.0688047-0j -0.00852081-0j 0.0975669-0j -0.228885-0j -0.049077-0j -0.00111304-0j 0.184367-0j 0.00810322-0j -0.131505-0j -0.0158589-0j 0.106879-0j -0.017865-0j 0.15148-0j -0.0392322-0j -0.00172432-0j 0.0197873-0j 0.0847863-0j 0.255147-0j 0.000451658-0j -0.0281025-0j 0.128604-0j 0.000402739-0j -0.0304823-0j -0.0917303-0j -0.00191137-0j 0.0339798-0j -0.0431978-0j 0.101339-0j 0.0217289-0j 0.000696924-0j -0.103124-0j -0.0532619-0j -0.00234094-0j 0.0379906-0j 
0.00314777-0j 0.0142867-0j 0.0316192-0j 0.0312893-0j 0.00420454-0j -0.00346701-0j -0.0503645-0j -0.122054-0j -0.0861888-0j 0.0255277-0j -0.0126621-0j -0.248122-0j -0.0666834-0j 0.0869412-0j 0.0960733-0j -0.0953078-0j -0.129986-0j -0.222793-0j -0.0423388-0j 0.0450714-0j 0.35432-0j -0.181768-0j 0.127505-0j -0.357413-0j -0.0982714-0j 0.181196-0j 0.295948-0j 0.0680162-0j 0.0679246-0j -0.0246396-0j 0.0141123-0j -0.0407557-0j 0.0751469-0j -0.11191-0j 0.101293-0j -0.100486-0j -0.0296113-0j 0.0869938-0j 0.0233798-0j -0.0304823-0j 0.0709748-0j -0.0704092-0j 0.125312-0j 0.0392365-0j 0.0804919-0j -0.0412927-0j 0.0289657-0j 0.0890504-0j -0.119077-0j 0.0283897-0j -0.0523459-0j -0.0854966-0j 
-3.6432e-05-0j 0.000258764-0j 0.00330373-0j 0.0144771-0j 0.0318043-0j 0.0314209-0j 0.00126792-0j -0.00642552-0j -0.0529546-0j -0.124036-0j -0.086169-0j 0.0234391-0j -0.0709872-0j -0.261632-0j 0.0953078-0j -0.0912783-0j 0.00463226-0j -0.0203302-0j -0.136802-0j -0.22658-0j -0.0742494-0j 0.174184-0j 0.370644-0j -0.366842-0j 0.108299-0j -0.179648-0j -0.29342-0j -0.00370685-0j 0.0137496-0j 0.0716663-0j 0.0685305-0j 0.0449144-0j -0.0745049-0j 0.110954-0j 0.100486-0j -0.0962371-0j -0.0303925-0j -0.00821795-0j 0.0248887-0j 0.0917303-0j 0.0704092-0j -0.0674324-0j 0.128618-0j -0.0389013-0j -0.0168674-0j 0.0395698-0j 0.0842003-0j 0.0913997-0j 0.11806-0j -0.0312865-0j 0.0518987-0j 0.0847662-0j 
0.000309606-0j 0.0018204-0j 0.00573883-0j 0.0100213-0j 0.00782075-0j -5.24302e-05-0j 0.00386713-0j 0.0144771-0j 0.0235305-0j 0.01087-0j -0.00557838-0j 0.016225-0j 0.0253243-0j -0.000268435-0j 0.0101608-0j -0.0104288-0j -0.0552309-0j -0.16705-0j -0.184367-0j 0.00159566-0j -0.22646-0j -0.181196-0j 0.131505-0j 0.00258345-0j 0.431225-0j -0.00646431-0j -0.307584-0j 0.0157234-0j 0.0361419-0j 0.0204482-0j -0.0121172-0j 0.038897-0j -0.000583088-0j -0.0196183-0j -0.196795-0j 0.201987-0j -0.0004478-0j 0.0278624-0j 0.0434882-0j -0.000460972-0j 0.0302219-0j -0.0310192-0j 0.00443643-0j -0.0336895-0j 0.0428288-0j 0.0342684-0j -0.0248707-0j -0.00069097-0j 0.239358-0j 0.0528069-0j -0.000791606-0j -0.0376661-0j 
-0.0700918-0j -0.15741-0j -0.104272-0j 0.0250474-0j -0.00251672-0j 0.00474666-0j -0.173501-0j -0.0489734-0j 0.0587388-0j -0.0279691-0j -0.00293052-0j 0.0405527-0j -0.00814934-0j 0.0243022-0j -0.0261442-0j -0.00547863-0j -0.146203-0j 0.0608291-0j -0.00864368-0j 0.0210463-0j 0.0823596-0j -0.0679246-0j -0.0100649-0j 0.0340749-0j -0.00856984-0j 0.0361419-0j -0.00997891-0j 0.208233-0j -0.353207-0j 0.205981-0j 0.0249209-0j 0.0490034-0j -0.206664-0j 0.040348-0j 0.288813-0j 0.060522-0j -0.357968-0j 0.0696393-0j -0.0139945-0j 0.0417331-0j -0.0777626-0j -0.0162955-0j 0.0585153-0j 0.0692877-0j 0.106913-0j -0.0881745-0j -0.0130655-0j 0.0625555-0j -0.0183195-0j -0.0169933-0j 0.0716663-0j -0.0197873-0j 
0.00344821-0j -0.0151178-0j -0.101554-0j -0.16788-0j -0.031614-0j 0.0335352-0j 0.0283082-0j -0.066268-0j -0.142035-0j 0.0702766-0j -0.04885-0j 0.0554938-0j -0.0144066-0j 0.0570113-0j -0.0134121-0j -0.0128525-0j 0.0485657-0j -0.0804083-0j -0.0463798-0j 0.0824797-0j 0.0679246-0j 0.03366-0j -0.0716663-0j -0.0272642-0j 0.0156836-0j 0.0279341-0j 0.0242344-0j -0.291694-0j 0.281389-0j -0.309817-0j 0.296432-0j -0.0896811-0j -0.159731-0j -0.0979876-0j 0.148162-0j 0.14198-0j 0.286419-0j 0.095297-0j -0.0247398-0j 0.0979028-0j -0.0398925-0j -0.038228-0j -0.0468196-0j -0.16827-0j 0.0881745-0j 0.0436947-0j -0.0930316-0j -0.0500523-0j 0.0444901-0j 0.0310993-0j 0.0553909-0j 0.0480548-0j 
-2.82201e-05-0j 0.000608373-0j -0.000756043-0j -0.0283775-0j -0.113606-0j -0.161638-0j -0.000503922-0j 0.00775126-0j -0.0062179-0j -0.124749-0j -0.15793-0j -0.00370685-0j 0.0340749-0j -0.0122242-0j -0.00940821-0j 0.0273487-0j -0.00122381-0j 0.0163024-0j -0.0106777-0j -0.15148-0j -0.0100649-0j 0.0716663-0j -0.0148436-0j -0.0197873-0j -0.0122216-0j 0.0615346-0j -0.0169899-0j 0.011241-0j -0.126555-0j 0.0642069-0j 0.525896-0j 0.0698848-0j -0.351863-0j 0.0686958-0j 0.103932-0j -0.302119-0j 0.207872-0j -0.0063656-0j 0.0585153-0j -0.0209921-0j -0.0279835-0j 0.0813452-0j -0.0339798-0j 0.117968-0j -0.0130655-0j 0.0930316-0j -0.0192689-0j -0.036326-0j -0.0311905-0j -0.0242344-0j 0.122018-0j -0.0336895-0j 
