-0.19572-0j -0.209744-0j -0.158552-0j -0.160195-0j 0.271873-0j -0.132654-0j -0.17303-0j -0.100934-0j 0.300908-0j -0.105959-0j -0.0947724-0j -0.135417-0j 0.237889-0j -0.0558568-0j 0.368876-0j 0.240354-0j -0.107057-0j 0.493431-0j -0.0883174-0j 0.0981241-0j 0.287835-0j -0.0282178-0j 0.171717-0j -0.0312249-0j 0.100168-0j -0.036429-0j 0.0261314-0j -0.0201598-0j -0.00628592-0j -0.00105851-0j -0.0267833-0j -0.0285246-0j -0.0213935-0j -0.0216152-0j 0.0363077-0j -0.0231076-0j -0.0174677-0j -0.0134794-0j -0.012102-0j 0.0396232-0j -0.0124795-0j -0.0193332-0j -0.0178316-0j -0.00735516-0j 0.030692-0j -0.0108076-0j 0.0310101-0j 0.0498127-0j -0.0109196-0j -0.0138123-0j -0.0113946-0j 0.0346703-0j -0.00364062-0j 0.0537606-0j -0.00630442-0j 0.0202244-0j 0.0355879-0j -0.0110327-0j 0.0508505-0j -0.00643576-0j 0.0143008-0j 0.0209748-0j -0.00167893-0j -0.00142432-0j 0.014449-0j -0.00321788-0j 0.00652874-0j -0.00265462-0j 0.00143945-0j -0.00119948-0j -0.000323897-0j -4.87842e-05-0j 
0.242191-0j 0.00513704-0j -0.188673-0j -0.190384-0j 0.17303-0j 0.164151-0j -0.0040753-0j -0.242383-0j 0.00379044-0j 0.00259513-0j -0.342829-0j 0.154765-0j -0.145595-0j -0.201886-0j 0.0582743-0j -0.146915-0j -0.00766496-0j -0.00237726-0j 0.203951-0j -0.305064-0j -0.14139-0j -0.136216-0j 0.306832-0j -0.00523599-0j 0.179064-0j 0.427338-0j -0.0811799-0j 0.284486-0j 0.0438443-0j -0.0102454-0j 0.0331426-0j 0.000698623-0j -0.0254577-0j -0.0256886-0j 0.0231076-0j -0.000544243-0j 0.0216152-0j -0.0323694-0j 0.0149754-0j 0.00049912-0j -0.0451433-0j 0.000473507-0j 0.0203792-0j -0.0265841-0j -0.0187844-0j -0.0128608-0j -0.0189547-0j 0.0126088-0j -0.0129774-0j -0.000988921-0j 0.0263134-0j -0.00041998-0j -0.0175743-0j 0.000168098-0j -0.038109-0j -0.0249788-0j -0.0263336-0j 0.0383299-0j 0.0118879-0j 0.0223689-0j -0.000879983-0j -0.0155074-0j -0.0101411-0j -0.0155246-0j 0.0521682-0j 0.0261834-0j 0.0155877-0j 0.0468695-0j -0.0053698-0j 0.0211797-0j 0.00263699-0j -0.000531358-0j 
-0.141278-0j 0.293813-0j -0.114449-0j -0.102174-0j -0.100934-0j -0.0957545-0j 0.242383-0j -0.278457-0j 0.216794-0j 0.148429-0j -0.0684103-0j -0.0863709-0j -0.0883174-0j -0.0493347-0j -0.0339934-0j -0.0788455-0j 0.149967-0j 0.14139-0j -0.24365-0j -0.036429-0j -0.162433-0j 0.255874-0j -0.05633-0j 0.0437403-0j -0.045503-0j -0.100501-0j 0.418964-0j 0.182805-0j 0.436947-0j 0.223563-0j -0.0193332-0j 0.0399577-0j -0.0154426-0j -0.0137864-0j -0.0134794-0j 0.0323694-0j -0.0126088-0j -0.0371871-0j -0.00873566-0j 0.0285472-0j -0.00900819-0j 0.0270822-0j -0.0113732-0j -0.00649634-0j -0.0113946-0j -0.00780132-0j -0.0101725-0j -0.00735516-0j -0.00696465-0j 0.0193485-0j -0.0314354-0j 0.0249788-0j 0.0330124-0j 0.00961433-0j -0.00455077-0j -0.0286964-0j -0.00525478-0j -0.00703682-0j -0.00663438-0j -0.0056843-0j 0.0103032-0j -0.00378953-0j 0.0523376-0j -0.00102813-0j -0.0205017-0j -0.00205241-0j 0.0304484-0j -0.00234465-0j 0.0514623-0j 0.0373918-0j 0.0415117-0j 0.0157435-0j 
0.0244497-0j 0.0262015-0j 0.0198065-0j 0.0200117-0j 0.0174677-0j -0.0485245-0j 0.0216152-0j 0.0126088-0j 0.0193332-0j -0.0907556-0j 0.0118391-0j 0.0169165-0j -0.0447557-0j 0.00697771-0j 0.0058829-0j -0.0452195-0j -0.0391612-0j 0.0126088-0j -0.0323064-0j 0.00630442-0j 0.00735516-0j -0.010322-0j 0.0110327-0j 0.00390066-0j 0.00643576-0j 0.00455077-0j 0.00167893-0j 0.00251839-0j 0.000785246-0j 0.000132231-0j -0.157354-0j -0.167584-0j -0.125688-0j -0.126991-0j -0.10971-0j -0.135759-0j 0.300506-0j -0.0791926-0j -0.0711-0j -0.119728-0j -0.0733181-0j 0.3326-0j -0.104762-0j -0.0432121-0j -0.0927409-0j 0.435353-0j -0.093702-0j 0.175295-0j 0.439865-0j -0.0811483-0j -0.0669439-0j 0.306767-0j -0.0213889-0j -0.0403229-0j 0.108459-0j 0.178947-0j -0.0427689-0j 0.189802-0j -0.0611112-0j 0.110718-0j -0.0432121-0j -0.0252071-0j 0.0288835-0j -0.00836799-0j -0.0436599-0j -0.0189053-0j -0.0197277-0j -0.0155961-0j -0.00434954-0j -0.00704706-0j -0.00190292-0j -0.000286611-0j 
-0.0285246-0j -0.000605025-0j -0.0231076-0j 0.0224228-0j 0.0396232-0j -0.0193332-0j -0.00049912-0j 0.0285472-0j 0.000867997-0j -0.000305647-0j -0.0138123-0j 0.0189547-0j 0.0346703-0j 0.0237775-0j 0.0537606-0j -0.033643-0j -0.000308815-0j 0.00142334-0j 0.0249788-0j 0.0143008-0j -0.0814081-0j 0.0160431-0j -0.0240357-0j -9.0071e-05-0j -0.0426404-0j 0.0103032-0j -0.0185899-0j 0.0114617-0j 0.0053698-0j 0.00120667-0j 0.183579-0j 0.00386973-0j 0.146636-0j -0.142291-0j -0.248863-0j 0.00313484-0j 0.119728-0j -0.179297-0j 0.08295-0j -0.0053754-0j 0.0855378-0j 0.00262279-0j -0.117384-0j -0.147251-0j -0.210371-0j 0.0740779-0j 0.204137-0j -0.341429-0j -0.0718828-0j 0.00187381-0j -0.151565-0j -0.00470347-0j -0.0973454-0j -0.00729331-0j 0.0432121-0j 0.269015-0j -0.243929-0j -0.0726278-0j 0.334745-0j -0.128845-0j -0.00194008-0j 0.419917-0j -0.0561724-0j 0.00976266-0j 0.192193-0j -0.0211831-0j 0.17457-0j -0.0531457-0j 0.0578313-0j -0.0401315-0j -0.015189-0j -0.00294323-0j 
-0.0174677-0j -0.0187193-0j 0.0413659-0j -0.0142971-0j -0.0124795-0j -0.0118391-0j 0.0451433-0j -0.00900819-0j -0.0138123-0j -0.00945663-0j -0.00718556-0j 0.0353302-0j 0.0319211-0j -0.00498512-0j -0.00420295-0j -0.0110327-0j -0.00811695-0j 0.0263336-0j 0.0230419-0j -0.0554836-0j -0.00525478-0j -0.00251839-0j -0.00669614-0j -0.0877373-0j 0.0134411-0j -0.0400502-0j -0.00119948-0j -0.0015285-0j 0.00163999-0j -9.44701e-05-0j 0.112419-0j 0.119728-0j -0.2625-0j 0.0907266-0j 0.0783804-0j -0.283533-0j 0.0733181-0j 0.0565779-0j 0.0507963-0j 0.0855378-0j 0.0444993-0j 0.0811483-0j -0.218796-0j 0.0308722-0j -0.19369-0j -0.13261-0j 0.0669439-0j 0.0427689-0j 0.0458334-0j 0.0492517-0j -0.139813-0j -0.218796-0j 0.015281-0j 0.0288081-0j 0.32597-0j 0.0436599-0j 0.0259579-0j 0.0393404-0j -0.127631-0j -0.0789675-0j 0.380299-0j 0.0180088-0j 0.00704706-0j 0.348807-0j 0.0264987-0j 0.425236-0j -0.0412013-0j 0.137257-0j 0.00310746-0j 0.0042771-0j -0.00397426-0j 0.000204765-0j 
0.024959-0j -0.0256886-0j -0.0194437-0j -0.0204126-0j 0.0178316-0j 0.0169165-0j 0.0203792-0j 0.0113732-0j -0.0189547-0j -0.0129774-0j -0.0353302-0j 0.0165936-0j -0.0150042-0j 0.0333932-0j 0.00600546-0j -0.015752-0j 0.0383299-0j 0.0118879-0j -0.0095699-0j -0.0314383-0j 0.00663438-0j 0.0374745-0j 0.0328981-0j 0.0261834-0j -0.0296183-0j -0.0200518-0j 0.0309561-0j -0.0782655-0j -0.0212997-0j 0.00709137-0j -0.160632-0j 0.164304-0j 0.123386-0j 0.129535-0j -0.111995-0j -0.127996-0j -0.104762-0j -0.0714321-0j -0.0725812-0j 0.117384-0j 0.218796-0j 0.11136-0j -0.102762-0j -0.2068-0j 0.091042-0j 0.0623322-0j 0.0955792-0j -0.0611112-0j 0.0654386-0j -0.232576-0j 0.0580678-0j -0.0987719-0j -0.227386-0j 0.0395335-0j 0.184703-0j -0.0551225-0j 0.127631-0j -0.193279-0j -0.0599447-0j 0.17401-0j -0.206956-0j -0.120633-0j -0.181869-0j 0.0752428-0j 0.115123-0j -0.13203-0j 0.201682-0j 0.364602-0j -0.122686-0j 0.379834-0j 0.0730822-0j -0.0198571-0j 
-0.0102951-0j 0.0322247-0j -0.00833996-0j -0.0395031-0j -0.00735516-0j -0.00697771-0j 0.0265841-0j -0.00649634-0j 0.0237775-0j 0.0162793-0j -0.00498512-0j -0.0333932-0j -0.00643576-0j 0.0404329-0j -0.00247713-0j -0.0304836-0j 0.016448-0j 0.0155074-0j -0.0056843-0j -0.00265462-0j -0.00378953-0j 0.0275468-0j -0.0217786-0j 0.00479735-0j 0.0372925-0j -0.00234465-0j -0.0216998-0j 0.0196804-0j -0.0661356-0j -0.0709199-0j 0.0662573-0j -0.206109-0j 0.0529238-0j 0.250679-0j 0.0461957-0j -0.166967-0j 0.0432121-0j 0.0408017-0j 0.0299382-0j -0.147251-0j 0.0308722-0j -0.139695-0j 0.2068-0j -0.250396-0j 0.0390506-0j 0.0267361-0j 0.184967-0j 0.0252071-0j 0.126638-0j -0.0998027-0j 0.0344909-0j -0.128845-0j -0.167147-0j -0.0495924-0j 0.0155961-0j 0.0314858-0j 0.0180088-0j 0.127951-0j 0.120633-0j -0.219097-0j -0.0531457-0j -0.146064-0j 0.127488-0j 0.00352353-0j 0.0224945-0j 0.037319-0j -0.154165-0j -0.0903727-0j 0.36633-0j 0.0910816-0j 0.462805-0j 0.292169-0j 
0.0154536-0j 0.0165609-0j 0.0125189-0j 0.0126486-0j 0.0110406-0j -0.0409887-0j 0.013662-0j 0.00796952-0j -0.0478202-0j 0.00836625-0j -0.0292838-0j -0.0418427-0j 0.00966052-0j -0.0172592-0j 0.00371834-0j 0.00976063-0j 0.00845295-0j 0.00796952-0j 0.00697333-0j 0.00398476-0j 0.00464889-0j 0.00222801-0j 0.00697333-0j 0.00246544-0j 0.00406778-0j 0.00287635-0j 0.00106118-0j 0.00159177-0j 0.000496321-0j 8.35774e-05-0j 0.00211474-0j 0.00225224-0j 0.00168918-0j 0.00170668-0j 0.00147443-0j 0.00182452-0j 0.00137921-0j 0.0010643-0j -0.00843433-0j 0.00160908-0j 0.000985353-0j -0.00597377-0j 0.00140794-0j 0.000580746-0j -0.00487756-0j 0.000853341-0j -0.00492811-0j 0.000804538-0j 0.000862184-0j -0.00426787-0j -0.00352081-0j 0.00140794-0j -0.00112492-0j 0.000541917-0j 0.000497782-0j 0.000821299-0j 0.000574789-0j 0.000871119-0j 0.000821299-0j 0.000508153-0j 0.000580746-0j 0.000338768-0j 0.000132564-0j 0.000112461-0j 0.000586764-0j 0.000254076-0j 0.000265128-0j 0.000209602-0j 5.84553e-05-0j 9.47084e-05-0j 2.55742e-05-0j 3.85188e-06-0j 
-0.00223054-0j -0.00239036-0j -0.00180694-0j -0.00182567-0j -0.00159357-0j 0.00591622-0j -0.00197195-0j -0.0011503-0j 0.00690225-0j -0.00120756-0j 0.00422675-0j 0.00603947-0j -0.00139438-0j 0.00249115-0j -0.000536695-0j -0.00140883-0j -0.00122008-0j -0.0011503-0j -0.00100651-0j -0.000575151-0j -0.000671009-0j -0.000321586-0j -0.00100651-0j -0.000355856-0j -0.000587133-0j -0.000415166-0j -0.000153168-0j -0.000229752-0j -7.16378e-05-0j -1.20634e-05-0j 0.0290159-0j 0.0309024-0j 0.0231768-0j 0.023417-0j 0.0202304-0j 0.0250338-0j 0.0189238-0j 0.0146031-0j -0.115726-0j 0.0220778-0j 0.0135198-0j -0.0819648-0j 0.019318-0j 0.00796829-0j -0.066924-0j 0.0117085-0j -0.0676175-0j 0.0110389-0j 0.0118298-0j -0.0585585-0j -0.0483083-0j 0.019318-0j -0.0154347-0j 0.00743552-0j 0.00682996-0j 0.0112689-0j 0.00788656-0j 0.0119524-0j 0.0112689-0j 0.00697225-0j 0.00796829-0j 0.00464817-0j 0.00181888-0j 0.00154305-0j 0.00805086-0j 0.00348613-0j 0.00363777-0j 0.00287591-0j 0.000802052-0j 0.00129947-0j 0.000350898-0j 5.28508e-05-0j 
-0.0174567-0j -0.000370268-0j -0.0141416-0j 0.0137225-0j -0.0124717-0j 0.0346458-0j -0.000305456-0j 0.0174705-0j -0.000273208-0j 0.00128252-0j -0.00845295-0j 0.0116001-0j 0.0319549-0j 0.0145515-0j -0.00420031-0j -0.031008-0j 0.000553409-0j -0.000178182-0j -0.0447629-0j -0.00450127-0j 0.0101911-0j -0.0287498-0j 0.0075654-0j -5.51224e-05-0j 0.0134213-0j 0.00630544-0j 0.00585129-0j 0.00701444-0j 0.00328625-0j 0.000738468-0j -0.00238886-0j -5.03554e-05-0j -0.00190813-0j 0.00185159-0j -0.00166555-0j -4.07926e-05-0j 0.00456212-0j 0.00233313-0j -0.0010794-0j -3.59757e-05-0j -0.00111307-0j 9.9939e-05-0j 0.00152748-0j 0.00191613-0j -0.00140794-0j 0.00660929-0j 0.00136622-0j 0.00266124-0j -0.00641344-0j -2.43833e-05-0j 0.00197227-0j 9.21768e-05-0j 0.00126672-0j -1.21162e-05-0j 0.00164656-0j -0.00527205-0j -0.000649294-0j -0.00276741-0j 0.00089103-0j -0.00490951-0j -1.29843e-05-0j 0.00111774-0j -0.00214039-0j -0.000127038-0j 0.00128628-0j 0.000275648-0j 0.00116834-0j 0.000691568-0j 0.000387045-0j 0.000522218-0j 0.00019765-0j 3.82993e-05-0j 
