-0.07246-0j -0.0732109-0j -0.0085127-0j -0.0105339-0j -0.00614479-0j 0.496821-0j -0.000750064-0j 0.579624-0j 0.354946-0j -0.000875074-0j 0.507171-0j -0.000535871-0j -0.00076569-0j 0.209197-0j -0.000315831-0j -0.00378315-0j 0.0639381-0j -5.57311e-05-0j -0.00427352-0j -0.00348932-0j 0.0722258-0j -0.00352548-0j -6.29549e-05-0j -0.00305315-0j 0.0589721-0j 0.0595832-0j -5.14025e-05-0j -0.00251872-0j 0.0516006-0j -5.19352e-05-0j -0.000804744-0j -4.49772e-05-0j 0.0425683-0j -3.71043e-05-0j 0.0136008-0j -1.1855e-05-0j -0.00298146-0j -0.00049691-0j 0.0584884-0j -0.00329987-0j 0.00593839-0j -3.66009e-06-0j -0.00260878-0j -0.000549979-0j -0.00173919-0j -0.00263581-0j 0.0647348-0j 0.0065726-0j -0.00304358-0j -0.000434797-0j -4.05098e-06-0j -0.000289864-0j -0.00107607-0j 0.0511774-0j -0.00177542-0j -0.000439302-0j 0.0341183-0j -0.00188312-0j 0.0517077-0j 0.0051961-0j 0.00346406-0j -0.000507263-0j 0.00524994-0j -3.20258e-06-0j -0.00109848-0j 0.059707-0j -0.000179344-0j -2.13505e-06-0j -0.000295903-0j -3.23577e-06-0j -0.000286567-0j 0.0211096-0j 0.00606211-0j -0.000313853-0j 0.0348291-0j 0.00214328-0j 0.0369418-0j -3.73634e-06-0j -0.000183081-0j 0.00353623-0j 0.00375074-0j 0.0215494-0j -1.321e-06-0j -2.17953e-06-0j -4.77611e-05-0j 0.00218793-0j 0.00562169-0j -2.31174e-06-0j 0.000570776-0j -1.34852e-06-0j -3.51794e-07-0j 
0.0104587-0j 0.0105671-0j -0.117098-0j -0.144901-0j -0.0845257-0j 0.000750064-0j 0.481274-0j 0.000875074-0j 0.000535871-0j 0.561486-0j 0.00076569-0j 0.343839-0j 0.4913-0j 0.000315831-0j 0.202651-0j 0.000546051-0j -0.00919942-0j 0.109586-0j 0.00061683-0j 0.00050364-0j -0.0103918-0j 0.000508859-0j 0.123791-0j 0.000440685-0j -0.00848491-0j -0.00857284-0j 0.101075-0j 0.000363546-0j -0.0074243-0j 0.102122-0j 0.000116155-0j 0.0884406-0j -0.00612473-0j 0.0729598-0j -0.00195688-0j 0.023311-0j 0.000430337-0j -0.00683533-0j 4.39211e-05-0j 0.000476296-0j 0.0398549-0j 0.0144952-0j 0.000376545-0j -0.00756533-0j 0.00025103-0j 0.000380447-0j 4.86117e-05-0j 0.0441113-0j 0.000439302-0j -0.00598092-0j 0.0160433-0j -0.00398728-0j 0.000155317-0j 3.8431e-05-0j 0.00025626-0j -0.0060429-0j 2.56206e-05-0j 0.000271804-0j 3.88292e-05-0j 0.0348731-0j 0.0232487-0j -0.00697774-0j 0.0352345-0j 0.0126833-0j 0.000158553-0j 4.48361e-05-0j -0.002467-0j 0.00845554-0j -0.00407035-0j 0.0128147-0j 4.13623e-05-0j 1.5852e-05-0j 0.0406853-0j -0.00431725-0j 2.61544e-05-0j 0.0143844-0j 2.77409e-05-0j 0.0147972-0j -0.0025184-0j 0.0237331-0j 0.0251727-0j 1.61822e-05-0j 0.0052316-0j 0.0086317-0j -0.000656986-0j 0.0146841-0j 4.22153e-06-0j 0.0091553-0j 0.0038307-0j 0.00534059-0j 0.00139322-0j 
0.0595889-0j -0.0581202-0j 0.00700059-0j 0.00015009-0j -0.00984393-0j 0.00427352-0j 0.00061683-0j 8.63828e-05-0j 0.00305315-0j 1.24683e-05-0j -0.00421139-0j 0.000440685-0j -0.000607861-0j -0.00527368-0j -0.00076119-0j -0.449137-0j 0.000549979-0j 4.58316e-05-0j -0.00879034-0j -0.414253-0j 1.0764e-05-0j 0.404042-0j 8.96999e-07-0j -0.00628012-0j 0.000507263-0j -0.00049476-0j 4.22719e-05-0j 0.582505-0j 7.69016e-06-0j -4.123e-05-0j 0.373881-0j 6.40847e-07-0j -0.000713291-0j -5.94409e-05-0j -0.000457827-0j -3.81522e-05-0j 0.00245187-0j -0.0589934-0j 0.000250243-0j 4.70175e-05-0j 5.10805e-05-0j 3.00995e-06-0j 0.00214538-0j -0.00113127-0j 0.00143026-0j -0.0020925-0j 4.7987e-06-0j 9.79531e-07-0j 4.33657e-05-0j -0.0516192-0j 5.77194e-08-0j -0.0344128-0j 0.000884925-0j 0.000218962-0j -0.00284421-0j 0.0503469-0j 0.000145975-0j -0.00149496-0j -0.000213565-0j 4.46955e-05-0j 2.9797e-05-0j -0.0010434-0j -4.35938e-05-0j 2.63371e-06-0j -0.00264748-0j 4.42599e-06-0j -0.0212918-0j 1.7558e-06-0j 0.0684335-0j -2.56879e-06-0j -0.00115382-0j 9.03173e-05-0j 9.03451e-07-0j 0.0359696-0j -0.000290286-0j 1.84359e-05-0j -0.000152578-0j 5.32364e-08-0j 0.0636999-0j -5.92545e-05-0j -3.11449e-05-0j -0.000270207-0j 1.08635e-06-0j -3.4916e-06-0j 0.0277616-0j -5.51558e-05-0j -0.000117761-0j -1.83523e-06-0j -2.40379e-05-0j -3.25009e-06-0j -1.41645e-06-0j 
-0.0105339-0j 0.0102743-0j 0.0583514-0j 0.00125103-0j -0.0820512-0j 0.0722258-0j 0.0103918-0j 0.00145993-0j 0.0516006-0j 0.000210055-0j -0.0711756-0j 0.0074243-0j -0.0102407-0j -0.0891291-0j -0.0128239-0j -0.000549979-0j -0.438272-0j 0.00116225-0j -1.0764e-05-0j -0.000507263-0j -0.00857769-0j 0.00049476-0j 2.27471e-05-0j -7.69016e-06-0j -0.404231-0j 0.394268-0j 0.00107198-0j 0.000713291-0j -0.0061282-0j -0.00104556-0j 0.000457827-0j 1.62513e-05-0j 0.568413-0j -0.00150737-0j 0.364837-0j -0.000967509-0j -0.000433433-0j 0.00340613-0j 0.00850281-0j -8.31159e-06-0j -0.0822742-0j 0.00010195-0j -0.000379254-0j 6.53167e-05-0j -0.000252836-0j 0.000369906-0j 0.000163052-0j -0.00157771-0j -7.66604e-06-0j 0.00298037-0j 1.95502e-06-0j 0.00198691-0j -0.000156434-0j 0.00743996-0j 0.000502791-0j -0.00290691-0j 0.00495997-0j 0.000264274-0j -0.00725658-0j -0.0719899-0j -0.0479933-0j 6.02436e-05-0j 0.0702156-0j 8.92066e-05-0j 0.000468012-0j 0.000150388-0j 0.00122934-0j 5.94711e-05-0j -0.00395118-0j -8.70079e-05-0j 0.000203969-0j 0.00306883-0j -0.00145517-0j -0.0020768-0j -0.00986343-0j -0.0296943-0j -0.00518435-0j 1.80318e-06-0j -0.00367788-0j 0.0954398-0j 0.0501644-0j -0.00918117-0j 3.67959e-05-0j -0.000118265-0j -0.00160289-0j 0.0888381-0j -0.00400133-0j -6.21614e-05-0j 0.0387174-0j -0.000110084-0j -4.79768e-05-0j 
0.000877828-0j -0.000856191-0j -0.0147941-0j -0.00031718-0j 0.0208028-0j 6.29549e-05-0j 0.123791-0j 1.27254e-06-0j 4.49772e-05-0j 0.00250225-0j -6.20396e-05-0j 0.0884406-0j -0.121991-0j -7.76886e-05-0j -0.152762-0j 4.58316e-05-0j -0.00116225-0j -0.424363-0j 8.96999e-07-0j 4.22719e-05-0j -2.27471e-05-0j -4.123e-05-0j -0.00830548-0j 6.40847e-07-0j -0.00107198-0j 0.00104556-0j -0.391403-0j -5.94409e-05-0j -1.62513e-05-0j 0.381756-0j -3.81522e-05-0j -0.00593372-0j 0.00150737-0j 0.550374-0j 0.000967509-0j 0.353259-0j 3.61194e-05-0j -0.000863573-0j 3.68642e-06-0j 6.92633e-07-0j 0.0102513-0j -0.115129-0j 3.16045e-05-0j -1.65601e-05-0j 2.10696e-05-0j -3.08255e-05-0j 7.06915e-08-0j 0.000196581-0j 6.38837e-07-0j -0.000755627-0j -0.00220773-0j -0.000503751-0j 1.30362e-05-0j 3.22562e-06-0j -4.18992e-05-0j 0.000737002-0j 2.15041e-06-0j -2.20228e-05-0j -3.14611e-06-0j 0.00896989-0j 0.00597993-0j -1.52738e-05-0j -0.0087488-0j -0.100738-0j -3.9001e-05-0j 6.5201e-08-0j -0.00031168-0j -0.0671584-0j 0.00100176-0j 0.0982546-0j -1.69974e-05-0j 1.3305e-06-0j 0.000181313-0j 0.00052654-0j -4.27632e-06-0j 0.00369989-0j -2.24769e-06-0j -0.00203626-0j 0.00093247-0j -0.0118917-0j -0.00625045-0j -3.98053e-06-0j -0.0415521-0j 0.133552-0j 0.000406388-0j -0.0110692-0j -1.73479e-06-0j 0.0701965-0j -0.00482415-0j 0.124314-0j 0.0541783-0j 
-0.0353406-0j 0.0367531-0j 0.00427352-0j -0.00513767-0j 0.00308479-0j 0.00260878-0j 0.000376545-0j 0.00304358-0j -0.00548529-0j 0.000439302-0j -0.00258732-0j -0.000791733-0j -0.000373447-0j 0.00109848-0j 0.000158553-0j 0.00189921-0j 0.000335736-0j 2.7978e-05-0j 0.00214538-0j -0.00170183-0j 0.000379254-0j 0.00176985-0j 3.16045e-05-0j -0.00451094-0j -0.000300844-0j 0.000312868-0j -2.50703e-05-0j -0.00122845-0j -0.000797429-0j 2.60724e-05-0j 0.000403995-0j -6.64524e-05-0j -0.000217161-0j -1.80967e-05-0j 7.1417e-05-0j 5.95141e-06-0j -0.289512-0j 0.000249458-0j 0.000152761-0j -0.320432-0j 3.11822e-05-0j 1.83743e-06-0j 0.246112-0j 0.000276099-0j -0.168882-0j -0.255949-0j 0.000169075-0j 3.45124e-05-0j 0.287131-0j -0.000212062-0j 2.03366e-06-0j 0.000145517-0j 0.513529-0j -0.000129861-0j -0.172401-0j 0.000220537-0j 8.91106e-05-0j 0.538164-0j 0.000135051-0j -2.65077e-05-0j 1.81896e-05-0j -0.000247405-0j 2.75672e-05-0j -1.56198e-06-0j 0.103631-0j -0.000151504-0j -0.000442481-0j 1.07183e-06-0j 0.000148549-0j 1.62441e-06-0j -0.0278268-0j -0.000270963-0j -3.09257e-05-0j -0.000463708-0j 9.0967e-05-0j -5.53101e-05-0j -0.000283962-0j -1.82231e-06-0j -8.92933e-05-0j 1.85686e-05-0j -5.79635e-05-0j -5.46807e-05-0j -3.25918e-06-0j 1.09416e-06-0j 2.39769e-05-0j -1.11617e-05-0j 1.46828e-05-0j -3.41553e-06-0j 2.99711e-06-0j -6.57707e-07-0j 1.76607e-07-0j 
-0.0367531-0j 0.0371117-0j -0.00431781-0j 0.00515787-0j -0.00279837-0j -0.00263581-0j -0.000380447-0j 0.00296856-0j -0.00188312-0j 0.000428475-0j 0.00268911-0j -0.000271804-0j 0.00038814-0j -0.00524567-0j -0.000757147-0j -0.00191889-0j -0.000339215-0j -2.82679e-05-0j 0.0020925-0j -0.00176985-0j 0.000369906-0j 0.00178712-0j 3.08255e-05-0j 0.00149496-0j -0.000312868-0j 0.000315921-0j -2.60724e-05-0j -0.00114704-0j 0.000264274-0j 2.63267e-05-0j -0.00428029-0j 2.20228e-05-0j -0.00020277-0j -1.68975e-05-0j -0.000756655-0j -6.30546e-05-0j 0.292513-0j -0.000252043-0j -0.000154344-0j -0.312534-0j -3.15053e-05-0j -1.85647e-06-0j 0.255949-0j 0.000269294-0j 0.170632-0j -0.258446-0j 0.000164908-0j 3.36617e-05-0j -0.288259-0j -0.000220537-0j 1.98354e-06-0j -0.000147025-0j 0.105573-0j -0.000135051-0j 0.156393-0j 0.000222689-0j -9.0034e-05-0j -0.184643-0j 0.000136369-0j -2.75672e-05-0j -1.83781e-05-0j 0.000248378-0j 2.78361e-05-0j -1.62441e-06-0j 0.509376-0j 0.0001521-0j -9.0967e-05-0j -1.08294e-06-0j -0.000134756-0j 1.64026e-06-0j 0.51106-0j -5.57057e-05-0j 3.10472e-05-0j 0.000159097-0j -8.25208e-05-0j -1.13709e-05-0j 9.74264e-05-0j 1.82948e-06-0j -0.000438903-0j -1.68445e-05-0j 1.98871e-05-0j -0.000268772-0j -6.70035e-07-0j -9.92571e-07-0j -0.000440354-0j -5.48628e-05-0j -0.00026966-0j 1.17186e-06-0j -5.50442e-05-0j -3.23282e-06-0j -3.24351e-06-0j 
0.0058901-0j -0.00612552-0j 0.0335835-0j -0.0403744-0j 0.0242419-0j -0.000434797-0j 0.00598092-0j -0.000507263-0j 0.000914215-0j 0.00697774-0j 0.000431219-0j -0.0125756-0j -0.00593171-0j -0.000183081-0j 0.0025184-0j 0.0456961-0j 0.00263838-0j 0.000668921-0j 0.0516192-0j -0.0409471-0j 0.00298037-0j 0.0425837-0j 0.000755627-0j -0.108536-0j -0.00236418-0j 0.00245868-0j -0.000599403-0j -0.0295572-0j -0.0062666-0j 0.00062336-0j 0.00972037-0j -0.0015888-0j -0.00170656-0j -0.000432672-0j 0.000561231-0j 0.000142291-0j -0.000249458-0j -0.283005-0j -2.54602e-05-0j -0.000276099-0j 0.000495288-0j 5.86765e-05-0j 0.000212062-0j -0.313229-0j -0.000145517-0j -0.000220537-0j -2.81792e-05-0j 0.000548183-0j 0.000247405-0j 0.24058-0j 6.4943e-05-0j -0.165086-0j 0.000442481-0j 2.16434e-05-0j -0.000148549-0j -0.250196-0j -1.48518e-05-0j 0.000463708-0j -2.25085e-05-0j -0.00042104-0j 0.000288918-0j 0.280677-0j 0.000437868-0j -4.98803e-05-0j 8.92933e-05-0j 2.52507e-05-0j 0.501987-0j 3.4228e-05-0j -0.168526-0j 5.1874e-05-0j -2.39769e-05-0j 4.51605e-05-0j -0.000491213-0j 0.526068-0j -1.51612e-05-0j -0.000878528-0j 4.7327e-05-0j -5.81937e-05-0j 0.101302-0j 0.000294937-0j -0.000920673-0j 9.11346e-06-0j -0.000104079-0j 3.4941e-05-0j -0.0272014-0j -0.000177288-0j -2.44713e-06-0j -0.000109072-0j 4.76052e-05-0j -2.10032e-05-0j 5.63976e-06-0j 
0.00360694-0j -0.0037511-0j -0.000436165-0j 0.000524362-0j -0.00031484-0j 0.0511774-0j -3.8431e-05-0j 0.059707-0j -0.107607-0j -4.48361e-05-0j -0.0507563-0j 8.0806e-05-0j 3.81148e-05-0j 0.0215494-0j -1.61822e-05-0j -0.000193837-0j 0.00658625-0j -2.85549e-06-0j -0.000218962-0j 0.000173692-0j 0.00743996-0j -0.000180635-0j -3.22562e-06-0j 0.000460396-0j -0.00590177-0j 0.00613765-0j 2.55873e-06-0j 0.000125378-0j -0.0156435-0j -2.661e-06-0j -4.12326e-05-0j 6.78227e-06-0j -0.00426012-0j 1.84699e-06-0j 0.00140101-0j -6.07414e-07-0j -0.000152761-0j -2.54602e-05-0j -0.285-0j -0.000169075-0j 0.000611713-0j -1.87532e-07-0j 0.000129861-0j -2.81792e-05-0j -8.91106e-05-0j -0.000135051-0j -0.315437-0j 0.000677042-0j 0.000151504-0j 2.16434e-05-0j -2.0756e-07-0j -1.48518e-05-0j 0.000270963-0j 0.242276-0j -9.0967e-05-0j -2.25085e-05-0j -0.16625-0j 0.000283962-0j -0.251959-0j -0.000520011-0j 0.000356832-0j 2.52507e-05-0j 0.000540795-0j 1.59419e-07-0j 5.46807e-05-0j 0.282655-0j 4.51605e-05-0j -1.09394e-07-0j -1.51612e-05-0j -1.65791e-07-0j -1.46828e-05-0j 0.505525-0j -0.00060668-0j 4.7327e-05-0j -0.169714-0j -0.00108504-0j 0.529776-0j 1.85989e-07-0j 9.11346e-06-0j 0.000364266-0j -0.00113709-0j 0.102016-0j 3.32639e-07-0j -1.11673e-07-0j -2.44713e-06-0j -0.000218962-0j -0.0273931-0j 3.48596e-07-0j 5.87955e-05-0j 6.71269e-08-0j -1.80248e-08-0j 
0.00612552-0j -0.00618528-0j -0.0339315-0j 0.0405332-0j -0.021991-0j 0.000439302-0j -0.0060429-0j -0.00049476-0j 0.000313853-0j 0.00680575-0j -0.000448185-0j -0.00431725-0j 0.00616509-0j 0.000874278-0j -0.0120263-0j -0.0461696-0j -0.00266572-0j -0.000675853-0j 0.0503469-0j -0.0425837-0j 0.00290691-0j 0.0429991-0j 0.000737002-0j 0.0359696-0j -0.00245868-0j 0.00248267-0j -0.00062336-0j -0.0275984-0j 0.0020768-0j 0.000629442-0j -0.102986-0j 0.00052654-0j -0.00159347-0j -0.000403999-0j -0.00594618-0j -0.00150756-0j 0.000252043-0j 0.285938-0j 2.5724e-05-0j -0.000269294-0j -0.000500421-0j -5.92846e-05-0j 0.000220537-0j -0.305509-0j 0.000147025-0j -0.000222689-0j -2.74847e-05-0j 0.000534672-0j -0.000248378-0j 0.250196-0j 6.33423e-05-0j 0.166797-0j 9.0967e-05-0j 2.25085e-05-0j 0.000134756-0j -0.252637-0j 1.50057e-05-0j -0.000159097-0j -2.27281e-05-0j -0.000437868-0j -0.000291912-0j -0.28178-0j 0.00044214-0j -5.1874e-05-0j 0.000438903-0j -2.535e-05-0j 0.1032-0j -3.45827e-05-0j 0.152878-0j 5.23801e-05-0j 0.000440354-0j 9.28428e-06-0j 0.000493144-0j -0.180492-0j 1.37535e-05-0j -0.000180611-0j -1.62377e-05-0j 5.84225e-05-0j 0.497927-0j -0.000267552-0j 0.00031588-0j 4.47953e-05-0j -2.13969e-05-0j -3.16968e-05-0j 0.499573-0j -0.000871424-0j 4.49434e-05-0j 3.74221e-05-0j -0.000874304-0j -0.000103237-0j -0.000103578-0j 
0.0037511-0j -0.0037877-0j 0.000440685-0j -0.000526423-0j 0.000285608-0j -0.0517077-0j 3.88292e-05-0j 0.0582353-0j -0.0369418-0j -4.3731e-05-0j 0.0527533-0j 2.77409e-05-0j -3.96144e-05-0j -0.102906-0j 7.7276e-05-0j 0.000195846-0j -0.0066545-0j 2.88508e-06-0j -0.000213565-0j 0.000180635-0j 0.00725658-0j -0.000182397-0j -3.14611e-06-0j -0.000152578-0j -0.00613765-0j 0.00619753-0j 2.661e-06-0j 0.000117069-0j 0.00518435-0j -2.68696e-06-0j 0.000436855-0j -2.24769e-06-0j -0.00397781-0j 1.72459e-06-0j -0.0148436-0j 6.43549e-06-0j 0.000154344-0j 2.5724e-05-0j 0.287954-0j -0.000164908-0j -0.000618052-0j 1.89475e-07-0j 0.000135051-0j -2.74847e-05-0j 9.0034e-05-0j -0.000136369-0j -0.307662-0j 0.000660354-0j -0.0001521-0j 2.25085e-05-0j -2.02444e-07-0j 1.50057e-05-0j 5.57057e-05-0j 0.251959-0j 8.25208e-05-0j -2.27281e-05-0j 0.167973-0j -9.74264e-05-0j -0.254418-0j -0.000540795-0j -0.00036053-0j -2.535e-05-0j 0.000546072-0j 1.65791e-07-0j 0.000268772-0j -0.283767-0j 9.28428e-06-0j 1.10527e-07-0j 1.37535e-05-0j -1.67408e-07-0j 0.00026966-0j 0.103928-0j 0.000609065-0j -1.62377e-05-0j 0.153956-0j -0.000223067-0j -0.181765-0j -1.8672e-07-0j 4.47953e-05-0j -0.000330444-0j 0.000390132-0j 0.501437-0j 6.83852e-08-0j 1.01304e-07-0j 4.49434e-05-0j -0.00107626-0j 0.503095-0j -1.19602e-07-0j -0.00107982-0j 3.29949e-07-0j 3.31039e-07-0j 
