-0.0165114+0.069593j 0.0120201-0.00702755j -0.0425725+0.013223j -0.0548923+0.0217983j 0.0237466-0.00327384j 0.0289267+0.0225264j -0.0278492+0.00515018j -0.0429627-0.0188004j 0.0173417+0.0198696j -0.00123858+0.00384195j 0.00180817-0.0405296j -0.00496798-0.0094267j 0.0328231-0.00755191j 0.0123209-0.0056675j 0.0172912+0.0533876j 0.00977331-0.00961053j 0.0154402+0.00770035j 0.00589281+0.0147983j -0.00416408+0.000795178j -0.00426295+0.0144754j 0.00922702-0.0049706j -0.00327519+0.0169073j -0.00629634-0.0028034j -0.0104271-0.0275205j 0.00039077-0.0190244j -0.000418955+0.0161534j -0.00823482+0.0251665j -0.0100743+0.000708407j -0.00838277+0.0153844j -0.0194996-0.0139216j -0.00379265-0.0212047j 0.00907374+0.0123689j -0.00425165+0.000793339j 0.00821661+0.00129198j 0.00679855+0.00368144j -0.000646225+0.00249448j 0.00515621-0.0057092j 0.00495366+0.00339344j 0.00857654+0.0163596j 0.000749066+0.00162819j -0.0031353+0.0105454j 0.0154751+0.00780968j -0.0128375-0.00717522j 8.11739e-05-0.0045377j 0.0110339+0.000814688j -0.0072247+0.0035389j -0.00250285-0.00503725j -0.00464061+0.00502272j -0.00149881+0.00407627j -0.00888826-0.0287846j 0.00931909+0.00536872j -0.000532479+0.0154457j -0.00344729+0.00819123j 0.00711765+0.00930937j 0.00450911+0.00827037j 0.00767633+0.00359602j -0.00433429-0.00768359j 0.000995149-0.00106416j -0.00353207-0.00398128j 0.00177448-0.00399999j 0.00176517+0.0245007j 0.0116991-0.0119329j 0.0178094-0.0128953j -0.00550144+0.0146478j 0.00646272-0.0204559j 0.00821692-0.0216627j 0.0237915+0.00889255j -0.00256138-0.00637851j 0.0154953-0.00659729j -0.0232785-0.00776148j -0.0106669+0.0281629j -0.0603889+0.0320303j -0.00331321-0.0151024j -0.012399-0.00934131j 0.0136723+0.0192666j 0.00665177+0.0540783j -0.0227671+0.0136433j 0.0435628-0.0410256j 0.0060048+0.0826413j -0.0774379-0.0523074j 0.070063+0.0396353j -0.0300255-0.0637362j 0.0477508-0.0714566j -0.0916514-0.0384175j -0.0786309-0.0028177j -0.00660117-0.059025j 0.0816671+0.0545741j 0.0368143+0.0784572j -0.00250818-0.0627743j -0.113751-0.100112j -0.135079+0.199729j 0.146966-0.0699297j 
0.00783928-0.0133417j 0.00530959-0.07622j -0.0370665+0.0263124j 0.0364242-0.0136301j 0.00828315+0.00226964j 0.0130789-0.00951873j 0.0631428+0.0193563j -0.0183182-0.00870156j -0.0236107-0.0288886j -0.00377429-0.0121703j -0.0375969-0.0452622j 0.000610741+0.0113322j 0.0136037+0.000853254j -0.0482385-0.00274889j 0.015484+0.00256461j -0.00609759-4.89831e-05j 0.00150738+0.00491335j -0.00726263+0.0110184j 0.00299541+0.00813829j 0.0103861+0.0100786j 0.00230248-0.0147082j 0.0300356-0.00030623j -0.0213546-0.0141301j 0.00624566-0.00740614j 0.0007163+0.0107151j 0.00797489+0.00948605j 0.014342-0.00956059j 0.000101577-0.00205313j 0.00328911-0.0154028j -0.00337769+0.0168563j -0.0149154+0.000366768j 0.0109165+0.00863146j 0.0055863-0.00470047j -0.0012347+0.0175034j -0.00376822-0.000525642j 0.00978106+0.00712095j 0.00298521-0.00803615j -0.00219597-0.00268174j 0.00252164+0.00145196j 0.00801392-0.00440956j -0.000375739-0.00303883j -0.00158044+0.00588114j 0.00758524-0.00822151j -0.00855586+0.00253938j -0.00183424-0.000541615j -0.00759131+0.00702669j -0.0261555-0.000213466j 0.00984645+0.00820892j 0.00795046-0.00389209j -0.00431631+0.00803941j -0.0158355-0.0130784j 0.00446669-0.00232749j 0.00430615+0.00790282j 0.00131889+0.00843953j 0.00578661-0.00652327j -0.00546039+0.00908408j -0.000891232+0.0226512j 0.00342415+0.0124337j -9.80085e-05+0.00329266j 0.00531103+0.00888523j -0.00807308-0.00462077j -0.0176616-0.00194917j -0.0144377-0.0191841j 0.0144073+0.00254519j 2.13514e-05+0.0254562j -0.0187566+0.00874097j 0.0310457-0.0226287j 0.0195959-0.01884j -0.0255988+0.0153439j -0.00969524+0.00624314j 0.040398+0.00669033j 0.00963507+0.0374715j -0.00198751-0.022868j -0.030481+0.0106963j 0.024367-0.0191273j 0.0458597-0.0136718j 0.000639767+0.00156036j -0.0643581-0.0128863j 0.10026+0.0455043j -0.0152494+0.0795394j 0.00363801-0.0632814j -0.0840555-0.00439271j -0.0422455-0.0383903j -0.0644689+0.112523j 0.0141335+0.0570134j -0.0891729-0.0268231j 0.00850367-0.110759j 0.0512187+0.0240618j 0.0948531+0.0952557j -0.0132628-0.0273395j -0.131458+0.0722297j -0.123286+0.200243j 
0.00121989+0.0438892j 0.0193277+0.0378977j 0.00611957-0.00633308j -0.00878722-0.0107283j 0.0428203-0.0321333j -0.0138247-0.00589549j -0.0390784-0.00549438j 0.00760474-0.00991324j -0.0138862+0.0267757j 0.0297792-0.00749644j 0.0347951+0.0450369j -0.0588358+0.0124185j 0.0121257-0.00805305j 0.0428689-0.0147629j -0.0394048-0.034654j -0.0412955-0.0135208j -0.0262226+0.0241588j -0.000828922+0.00357447j -0.0107514+0.000814812j 0.0118985-0.0131206j 0.0012546+0.0115194j -0.014638-0.00951355j 0.0233478+0.0173447j -0.0199598-0.00559853j -0.0021727+0.0233647j -0.0244972+0.00649988j -0.0234688-0.0286738j 0.0159561-0.00878064j -0.0141782-0.0318374j 0.0248498+0.0215316j 0.00818147+0.0236289j 0.0163962-0.000374433j -0.00259131-0.0361368j 0.00769558-0.006003j -0.00818901-0.00712595j -0.00234321-0.00685841j -0.0124139-0.0293195j 0.0129068-0.0155124j 0.00527073-0.00183249j -0.010589+0.00422417j -0.00831505-0.0211711j -0.00406615+0.0128728j -0.015644-0.00473139j -0.014007+0.00881286j -0.0211392+0.0041849j 0.0134306+0.000456483j -0.0174361+0.0250283j 0.00822136-0.00864216j 0.0183244+0.00765494j -0.0118194+0.0231169j 0.0216579+0.0117327j -0.0119895-0.0155603j -0.00584898-0.00964298j 0.0236544+0.000239293j -0.0152475+0.00171511j -0.000971631+0.00112025j -0.00400365+0.0170264j -0.00399864+0.0167735j 0.000115196+0.0206929j 0.0173934-0.0198504j 0.0217916-0.0379278j 0.00340311+0.0211461j 0.0154238+0.0382942j 0.0183701-0.0200501j -0.0102241+0.0118101j 0.0327623+0.0307006j -0.0300499-0.0337692j 0.0341916-0.0190361j 0.00233171+0.0299279j 0.0603502+0.0201055j -0.0611357-0.0475548j 0.018327-0.00367917j 0.0051724-0.020802j -0.0689076-0.0211991j 0.0286239+0.00380379j -0.0317459+0.0196371j -0.084251-0.0221836j 0.0633707+0.00354596j -0.0278862+0.0440566j -0.0167852-0.00171684j -0.0311488-0.0555251j 0.0796795+0.0208817j -0.0316926-0.16046j -0.016864+0.0397388j 0.0372548+0.0927974j 0.104899+0.0030913j -0.031269-0.114984j -0.0157463+0.101067j 0.0651146-0.0566168j 0.0233287+0.0897549j -0.0633283+0.207547j 0.163296-0.0411011j 
0.0245826+0.0305263j 0.0133836-0.0516392j -0.0386199+0.0101238j -0.00721148-0.03711j 0.0247219-0.0255079j 0.0481396-0.0743132j -0.0456736+0.00361132j 0.029647-0.00393028j 0.0393962-0.0076644j -0.0300961-0.00685314j 0.0196204-0.00880132j -0.0475746+0.00622516j 0.0264076-0.0296968j -0.0105187-0.0141627j -0.0392841-0.0165975j 0.00466055+0.0189426j -0.00926222+0.0155858j -0.0107262-0.0194631j -0.0141478-0.0185955j -0.0276184-0.00154304j -0.0125535+0.00179659j -0.0182624+0.00850273j -0.00919418-0.00289872j 0.0246078+0.00933334j 0.00859126+0.0018787j -0.0108012+0.0157508j -0.0287355+0.0216009j -0.0278174+0.0141475j -0.00964862+0.0153048j 0.00680212-0.012472j 0.0108575+0.00536995j 0.0170628-0.013416j -0.00234255-0.00706242j 0.000547296+0.00144134j -0.00317832+0.00597522j 0.0136335-0.0130196j 0.012426-0.00172204j 0.0114909-0.0114588j -0.00533917+0.00315411j -0.00592165+0.00139471j -0.0222239+0.00695994j -0.00923915-0.012114j -0.0179422+0.014589j 0.000445868+0.000752233j 0.0112381+0.0080374j -0.00616554-0.00733942j 0.0293198+0.000324941j -0.0140615-0.00677141j -0.00879465-0.0107263j -0.00364129+0.00305683j -0.0058913-0.000969713j -0.033087+0.00544506j 0.00507635+0.0102258j -0.000861301-0.018586j 0.00913707+0.00550165j -0.0345694+0.0146663j -0.00676033-0.00414993j 0.00616795-0.00734609j 0.0031374-0.0315645j -0.0423764-0.0078354j -0.0192636-0.00713381j 0.0289857+0.00336973j 0.0428766-0.0414422j -0.0174414-0.0118222j -0.0199111+0.0121962j 0.0323236-0.025697j -0.0120541+0.0459764j -0.0435715-0.0126536j 0.0511085+0.0444922j 0.0294183-0.0552866j -0.0298231+0.0763817j 0.0188711+0.00239876j -0.000281861-0.0332352j 0.0255547+0.00735234j 0.0337602-0.0037417j 0.0118887+0.0140519j 0.0086896+0.0748048j 0.039708-0.0486023j 0.0630697+0.0146609j -0.0203728+0.0243748j -0.0677541+0.0151976j 0.015318-0.0685777j -0.145974+0.0546462j 0.0105506+0.0548608j -0.00199724-0.103102j 0.031915+0.0358724j 0.0322905-0.102529j 0.0290698-0.0349721j 0.0403525-0.0524735j 0.0945414-0.0742668j -0.158236+0.0383028j -0.0656714+0.202007j 
0.00864796-0.00260767j 0.010173+0.033472j 0.0134903-0.0220059j -0.0160807+0.0165193j -0.0137869-0.00130658j 0.00378926-0.0200224j -0.0485107+0.0118013j 0.0201395+0.00149942j 0.0118356+0.00831457j -0.0215763-0.0127537j 0.0340961+0.00332993j -0.00180249+0.0221688j 0.000954999+0.0273829j 0.0099496+0.0171002j 0.00332228-0.00213174j 0.00687664-5.38518e-05j -0.0034209+0.0142676j 0.00405401-0.00448891j -0.000593418+0.00465823j 0.000242554-0.0112835j -0.0310253-0.00197399j -0.0205902-0.00985521j 0.0114311-0.0235504j -0.00410638-0.00767034j -0.00167156-0.00205297j -0.0101748+0.0178741j -0.00754327+0.00898684j -0.0152309+0.00241372j 0.00509694+0.0232284j 0.00303207-0.007854j 0.00861499-0.018377j 0.00520687+0.00181711j 0.014768+0.0163416j -4.98942e-05+0.00461819j -0.0202309+0.00430849j 0.00818022-0.0116542j 0.00147354-0.00695882j 0.00675879-0.00250952j -0.000490536+0.00270858j -0.00818704-0.00117298j 0.0171237+0.0147972j -0.0024926-0.0135284j -0.0143779-0.0082521j -0.0156085+0.0149686j -0.0486667-0.0191854j -0.00990578-0.0143538j 0.053559-0.00662834j 0.000249159-0.0104599j 0.0104688-0.0012945j 0.0176212-0.0190814j -0.00261451+0.00845765j 0.0368555-0.00832945j -0.00416875+0.0324812j -0.00377449-0.0167763j -0.0022078+0.00249569j 0.00720448-0.00379614j -0.0294107-0.00488153j 0.0115374+0.00596848j -0.0122181-0.031737j 0.00981963-0.0380978j -0.02709-0.010779j -0.0214091+0.0110234j -0.0291682-0.021629j 0.00175869+0.0412113j 0.0217045+0.0147655j 0.020976-0.0020089j -0.0019916-0.027919j -0.0356771+0.0230369j 0.0198471-0.034833j 0.0115494+0.0425578j -0.00865114-0.00453826j -0.0133619-0.0210329j -0.0178601-0.0151144j 0.0209965-0.0360392j -0.0318535-0.0213617j -0.0135357-0.0130147j 0.0356848-0.0196621j -0.000811971+0.00658952j 0.0425255-0.0893538j 0.00957506-0.0818031j -0.046815+0.0247675j 0.106793-0.0701117j 0.0615525+0.0270805j 0.0467332-0.0360807j -0.00198615-0.00156746j 0.0197424+0.0116575j 0.0182138-0.0590333j 0.00118546-0.0176282j -0.0576522-0.0258732j 0.0258656+0.0429812j 0.0657708-0.0565061j 0.0120562-0.052784j 
-0.00235772+0.0413729j -0.00396881-0.0035423j -0.0179296+0.0224757j -0.0297195+0.0245855j 0.0148781-0.0070971j 0.0108471+0.0160444j -0.00286704-0.00573554j -0.043856+0.00533952j 0.0110876-0.00541557j 0.02402+4.3978e-05j -0.0118499+0.0130871j 0.00647493-0.000767491j 0.00374816+0.0102022j -0.0079431-0.0265953j 0.0294363+0.0435887j 0.0223994-0.00478749j 0.0108303+0.00456005j 0.0202948-0.00566723j 0.0122502+0.00528713j -0.00496261+0.0192608j 0.00194782+0.000954938j 0.00294267+0.0190115j 0.00348368-0.00636522j -0.00444099+0.00228147j -0.00358172+0.00313431j 0.0184881-0.00021138j -0.013833+0.0132048j -0.0145052+0.00532888j 0.00390215-0.0147159j -0.0128892-0.0124257j -0.00247233-0.0138087j 0.00542771+0.00300985j 0.0186676-0.000879313j 0.00540089+0.0134629j -0.0052432+0.017103j -0.0030139+0.00352523j 0.00820063-0.00160998j 0.000184405+0.0148045j 0.000297361-0.0132004j -0.00643605-0.00780256j 0.0234111-0.0140413j -0.00888221+0.0322694j -0.00548047+0.00461203j 0.00510698+0.0141017j 7.02167e-05+0.0456448j 0.00380619+0.0106117j -0.00465078-0.0252428j 0.000817814+0.0137748j 0.00636749-0.0203994j -0.0182506-0.0223528j 0.00804058+0.0103664j -0.0188634-0.0398214j 0.0273917+0.0162715j -0.00491419+0.0196267j -0.00936743-0.0138938j 0.0241549+0.0123465j 0.00990775+0.0374964j -0.00393456-0.0114427j -0.0188484-0.0202439j -0.0441748-0.027588j 0.00678688+0.0341211j -0.010089+0.0157396j 0.010976+0.039736j 0.018373-0.0054087j 0.00597874-0.025248j 0.00139063-0.0533846j -0.0353224-0.0189602j 0.00272105+0.0179016j 0.00462576+0.0216176j -0.00430525+0.0151554j -0.02443+0.0152027j -0.0659346-0.00975703j -0.00689793+0.046718j -0.0274071-0.0164226j 0.0316335+0.020741j 0.000203582-0.0294748j -0.0044968-0.0188864j -0.0138256-0.0386973j -0.0226494+0.0734835j 0.0395676-0.0957892j 0.062392+0.00648881j 0.0361189-0.0339442j 0.00550901-0.00116414j -0.099739-0.00123731j -0.0107918-0.0512729j -0.0490744+0.0395895j 0.00013058+0.069824j 0.0572721-0.0418176j 0.00934307-0.0600332j -0.0604656-0.0529297j -0.0330696+0.0769942j 0.0828883-0.045732j 
0.00452902-0.0446664j -0.00504605-0.0148347j -0.0179676-0.0110229j -0.00742473-0.0275251j -0.0047025-0.00808018j 0.00575171-0.0871519j -0.0427884+0.0225463j 0.0349836+0.00172235j 0.000866017-0.00105797j -0.0474802+0.0111851j 0.00950775-0.0189204j -0.0285428+0.0332341j -0.0193667-0.0144294j -0.0147951-0.0190861j -0.0408467-0.0131031j -0.0109952+0.00983321j -0.00368337+0.00782629j 0.00735627-0.00953428j 0.0198542-0.0111384j 0.00250105+0.00382563j -0.0202402-0.0249151j 0.00365759+0.00983158j 0.0075388-0.0279756j -0.0149555-0.00288295j 0.005705-0.00246856j -0.00165615+0.0482165j -0.0100159+0.00914012j -0.0161683+0.0220215j -0.0284664-0.00990425j 0.0205416+0.0234394j 0.00140178+0.0134358j 0.0238007-0.00150617j -0.0090441-0.0168313j 0.0139151-0.00301586j -0.0119009-0.00516337j 0.0203901-0.00190175j -0.0278069-0.0147229j -0.000685991-0.0227997j -0.00075899-0.00499938j -0.0066173+0.00761779j -0.0253305-0.0128462j -0.0080298-0.0159891j -0.00664053+0.0221875j -0.0219119+0.00035914j 0.0173739+0.0139164j -0.0101222-0.00930373j 0.00419887+0.0170237j -0.00634927+0.0236204j 0.00662158+0.0106443j 0.00444922+0.0109737j -0.0190048-0.022598j -0.0454171-0.0197808j 0.0142071+0.00197613j -0.000324627-0.0156535j -0.00618309+0.00312658j -0.0416963-0.0284973j 0.0145492-0.0116907j 0.000965713-0.0163683j -0.0360022-0.0134551j -0.0338984+0.00422373j -0.00319586-0.0235593j 0.0272156-0.0202632j -0.0230615-0.0428103j 0.0155126+0.00604354j -0.0213276+0.0285281j -0.0014117-0.00730276j 0.0473309-0.0292716j -0.0179722+0.00695319j -0.00942906-0.0461976j -0.0400427+0.0206465j 0.0341686+0.0203036j -0.0129461+0.00797151j -0.0425319-0.00950558j -0.0151327-0.0881532j -0.00739025-0.0151851j -0.0239695+0.00168999j 0.0805135+0.00583443j 0.0155538-0.00313261j -0.0280863+0.0488165j 0.026718-0.0334266j 0.064241-0.0417625j 0.0203359+0.0473193j 0.00337005-0.033971j 0.101771-0.0495782j -0.0583874+0.0799479j 0.151419-0.0308473j -0.0618875-0.149204j -0.0973162+0.155448j -0.0854003+0.0796589j 0.0797603+0.0624418j 0.047938-0.0603565j -0.00434347+0.0235816j 
0.0274069+0.0291725j 0.0110494+0.0414193j -0.0243206-0.0284444j -0.0243443+0.0364926j 0.00161341+0.050624j 0.0162395-0.0261282j -0.0103551-0.0323185j -0.0206815-0.0211013j 0.0196551-0.0101653j 0.0278094+0.00533406j 0.000200595+0.0196001j 0.0461982-0.0188841j 0.00223968-0.00412874j 0.00363177+0.0128622j 0.00671537+0.0475436j 0.052963+0.0211342j -0.0148018+0.0128828j -0.0362361-0.0196197j 0.0171394-0.0119619j 0.00656277+0.0107951j -0.033978+0.0507336j -0.0460699+0.0100279j -0.00927887+0.0156967j -0.0134118-0.000494098j -0.0359552-0.000186993j 0.0201274-0.022945j 0.000175123-0.00240316j -0.00268991+0.0289009j -0.000259861-0.0134678j 0.053636-0.0180055j 0.00547738-0.0107352j -0.0198657-0.0196452j -0.017409-0.024217j 0.0382599+0.0235675j 0.018944+0.0242155j 0.000862844-0.0262443j 0.0318638+0.0332698j 0.0104949+0.0286775j -0.0191984-0.0102524j -0.0348018+0.0234561j 0.00270225+0.0376709j -0.0284672+0.00357663j -0.00383617+0.0354654j -0.0195464+0.0213981j 0.0109842+0.0247275j 0.0141668+0.0168969j 0.014959-0.023809j -0.0180993+0.000857781j 0.00792013-0.0192962j -0.00846124-0.0220509j -0.0407103+0.015879j -0.00875618+0.0142217j -0.0104318+0.00852097j -0.0165576-0.0272236j -0.0214336-0.0295128j 0.0215276+0.053014j -0.0342037-0.0421254j -0.0298119-0.0475814j -0.062737+0.0430581j -0.00281257+0.0298129j -0.0220662-0.0224616j 0.0121507-0.0233682j -0.0229246+0.0118477j -0.0543079+0.0145947j 0.0570428+0.00633187j 0.0231711+0.0139249j -0.0520017-0.0219337j -0.00207845+0.0572595j -0.0207681-0.0161262j 0.0527775-0.0111623j -0.00777249-0.00818081j 0.0126384+0.0412984j -0.06218+0.0356575j -0.105506-0.0649762j 0.0504967-0.0231589j 0.0747646-0.0849924j 0.0197804+0.0171881j -0.00527139-0.0480515j -0.0274058+0.0204974j -0.00303673+0.041209j -0.0312456-0.0178998j -0.0115142-0.0428227j 0.0309521-0.0436161j -0.0103854-0.00974832j -0.0280749-0.0349295j -0.0518707+0.0160384j 0.0257516-0.0548137j 0.0602951-0.0364119j -0.0729754-0.00870714j -0.0190443-0.0675449j -0.0485687+0.00942082j 0.0266369-0.0424483j 
0.0343315+0.0187883j -0.0349029-0.0510472j -0.0501333+0.00561299j 0.0135503-0.00650513j 0.032214+0.0119702j 0.0123202-0.00543715j -0.00114151-0.00777667j -0.0464573+0.0113746j 0.0401972-0.0572359j 0.000299559+0.0117349j 0.0559224-0.0133294j -0.041851+0.000308958j 0.0105163-0.0176632j 0.0142143-0.00208636j 0.0012928-0.0177144j -0.0129295+0.01201j -0.0278509+0.0206919j 0.00236078-0.0165013j -0.0416479-0.0326406j 0.00777969-0.0190435j 0.0632228+0.02146j -0.0228206+0.0358228j 0.0138625+0.00836043j 0.0101862-0.0100759j 0.00698223+0.00994178j -0.0437703+0.0106672j -0.036138-0.02114j 0.0138435-0.0125301j -0.00591679-0.0177497j -0.00966919+0.000976857j 0.00275097-0.0209313j 0.0210358-0.00824449j 0.00946611+0.00370931j 0.0205813-0.0247195j 0.00593604+0.00473126j -0.0183962-0.0011258j 0.0487515-0.027686j 0.0248297-0.005811j -0.00957998+0.00649038j 0.0206729+0.0237495j 0.00618368-0.00575162j -0.00684046+0.0307163j 0.000403319+0.0289967j 0.031079-0.0109711j 0.0173125+0.0131379j 0.00719148-0.0239512j -0.0468118-0.000127902j 0.00487454+0.00970597j -0.024361+0.0174264j -0.0183674+0.00492358j 0.00692036-0.0174268j 0.00344169+0.0112982j 0.00723917-0.00958456j -0.00723256+0.0199406j -0.0121254+0.0055673j 0.0293609-0.0310733j -0.0316691+0.0389818j -0.029489+0.0336791j 0.0492717+0.0700589j -0.00502804+0.00899305j -0.032308+0.0189044j 0.0203961+0.0028739j 0.0330571+0.0214703j -0.0487095+0.0642299j 0.000773879-0.0180518j -0.00790884-0.00713543j -0.015879+0.00734213j 0.0476794+0.0292263j 0.00290787-0.0536922j -0.00268207-0.0459652j -0.00112621+0.0482119j 0.0264595-0.0279759j 0.0407209+0.0097082j -0.0408304+0.0709079j -0.0554257-0.034079j -0.0384301-0.101306j 0.0108095+0.000381779j -0.0567486+0.0596179j -0.00128378-0.00107145j -0.0149543+0.0388446j 0.0405279-0.0331007j -0.0297263+0.018166j -0.02251+0.0125134j 0.0154102+0.0442197j 0.0285513+0.0596876j 0.0147571-0.00761959j -0.138951-0.0115108j -0.0277793+0.0493571j -0.0126766+0.134333j -0.00061266-0.0638458j -0.0095964+0.0159659j -0.0738371+0.0723503j 
-0.0112367-0.0363742j -0.00352918+0.0240061j -0.0383074+0.0175451j 0.00678681+0.0398405j -0.00819323+0.0294938j -0.0266544-0.0273046j -0.00963008+0.00687458j -0.0119979+0.0385831j -0.0235582+0.0231009j -0.0264328+0.0237736j -0.0056069-0.0426037j 0.0231398+0.0548328j -0.0212936+0.00653282j -0.00782227-0.00940849j -0.0471948+0.00858328j -0.0238657+0.00229205j -0.0375745+0.0185661j -0.0108498+0.00441988j 0.0140008-0.0343115j 0.0408208-0.0178766j -0.00671264-0.031644j 0.00854801+0.0290535j 0.0111615-0.00874548j -0.0495996-0.0116406j -0.0137575-0.0189914j 0.0175607+0.0358772j 0.0160225-0.0127323j -0.000279528+0.00817421j -0.0179909+0.00530323j 0.0127322-0.00211181j -0.00576306-0.0142601j -0.0146507+0.00730644j -0.0369945+0.00836184j 0.0205069-0.00267618j 0.00629728+0.00887363j -0.00661583-0.00697158j -0.0444295+0.0044754j -0.0166629-0.00632402j 0.000102911+0.0207315j 0.0158547+0.0109458j 0.00430845+0.0134479j 0.00254813+0.0268135j 0.0117689-0.00840842j -0.00134407-0.00281202j 0.0274581-0.00786852j -0.0246368-0.0418382j -0.0195968+0.000889231j 0.00154731-0.00251084j -0.000856717+0.047507j -0.0231943-0.0108236j -0.0241293-0.00794408j -0.0142435+0.0350531j 0.00453809+0.00598875j -0.00836566-0.0201474j 0.00712256+0.00630694j -0.0262281+0.00300373j 0.0038107+0.0335937j -0.0248904+0.0224004j 0.00945222+0.0258223j 0.0377659+0.0353578j -0.0027768+0.029232j -0.0233015-0.0561605j -0.0540273+0.0137286j 0.0323169-0.00887897j 0.0234494-0.0121279j 0.0492726+0.0275174j -0.0100962+0.00926066j 0.0706935+0.0413312j -0.0600245-0.00581034j -0.0290838+0.0281592j 0.0549252+0.0154404j 0.0188204+0.0416983j -0.0145835+0.0397677j -0.0296588+0.0321664j -0.000223262+0.0307388j -0.0839882+0.0385489j -0.0403678-0.0793559j 0.0364029+0.00655329j 0.0475782-0.0303019j 0.0179013-0.00234206j -0.0333609-0.019092j 0.00199465+0.0238269j -0.0574317-0.00965617j -0.0170683-0.112235j -0.0467578-0.0122679j 0.116592+0.0544687j 0.0428049-0.109102j 0.0260253-0.0585066j -0.0209549+0.0419987j -0.0697339+0.128668j -0.0132116-0.0228998j -0.00622991-0.0237977j 
0.00876756+0.0119813j 0.00588215+0.00189589j -0.00755521+0.0112317j -0.00109248-0.00594588j 0.0160368-0.0168673j -0.0105546-0.029235j -0.0148232+0.00168103j 0.0130795-0.0116866j -0.0225232+0.0111753j 0.0052024-0.0155888j 0.00902579+0.0297802j -0.0338191+0.0221712j 0.0127217-0.00225596j -0.00883253-0.025865j -0.0335248-0.00227339j -0.0167336-0.0263434j -0.0174443+0.00567217j 0.014586+0.0115776j 0.0111699-0.0158627j 0.000960754-0.00104686j -0.00484973+0.00544232j -0.00975296+0.00126966j -0.0122267+0.0157469j -0.0297583+0.0174042j 0.00879419-0.00544314j -0.00180199+0.0127907j -0.00387362+0.00124807j -0.00527725-0.0192341j 0.0105285-0.00803364j -0.0258821+0.0131282j 0.0228101+0.00933059j 0.0336837-0.0213812j 0.0322355-0.0115733j 0.0240374+0.000632582j -0.00917401+0.00600694j -0.0264778+0.00956508j 0.00497945+0.0277273j -0.0190988+0.00884395j 0.0183422-0.00400533j -0.0329135+0.00908704j 0.0399897-0.00620762j 0.00490002-0.0186656j 0.000836332+0.00876649j -0.0055861-0.00695289j -0.0373442-0.00823681j -0.00725697-0.0166824j -0.0126769-0.000241197j -0.0191122-0.00973501j 0.0206436+0.0261039j -0.00128103+0.00224805j -0.00193753-0.00742394j 0.0168328+0.0100301j -0.00563243-0.0193397j -0.0169894-0.00970251j -0.00650731-0.0253153j -0.000300203+0.0313592j 0.0123238+0.00765837j 0.0367139+0.0131251j -0.0157565+0.00558919j 0.0640449+0.0688513j 0.0165811-0.049707j 0.0189162+0.047415j -0.0250378-0.0117225j 0.0373927-0.0422645j -0.00714138-0.0391173j 0.0442453+0.0237718j -0.020835-0.00604253j 0.0378667-0.00782424j -0.0318988+0.101342j 0.0160205-0.0149983j -0.033073+0.00254416j 0.0539367+0.0058974j 0.0225531-0.00681403j -0.0147202+0.0373049j 0.0228295+0.00278719j 0.0158454+0.046617j -0.042852-0.0341414j 0.027504-0.0540035j 0.0146565+0.0586072j 0.0539656-0.0389505j 0.0200756-0.0718456j -0.00888683+0.0458559j -0.067823-0.0201921j -0.0244444-0.0387684j -0.00985458-0.00665005j 0.0258139+0.0455523j 0.0260306-0.0593116j -0.00670405+0.0117135j 0.0340765-0.0265849j -0.0119469+0.0302342j -0.0231604+0.0315064j -0.00449556-0.00564749j 
