0.108543+0.0420814j -0.0751227+0.212337j 0.046337-0.107106j -0.316072+0.072203j 0.0545219-0.371j 0.253209-0.0313173j 0.20724-0.0032157j -0.181234-0.269616j -0.0473841-0.0913238j -0.016532-0.0764799j -0.0998792+0.0939577j 0.0936003+0.0766766j -0.208877-0.0120301j 0.0902157-0.0456594j -0.00280484-0.0674191j -0.029231+0.0729798j 0.172669-0.072569j -0.0228571+0.163503j 
0.0980482+0.276202j -0.219292+0.0935324j -0.0360575+0.110921j 0.151224+0.0302849j 0.0824194+0.163989j 0.163033+0.0624789j 0.0549433+0.234995j 0.217777-0.144591j 0.0468041-0.120195j 0.206115-0.0593152j -0.0645987+0.0102608j 0.105623-0.0170187j 0.0426509-0.0716924j -0.0755014-0.156513j -0.0711176+0.0368064j -0.0279257+0.0540008j 0.0316588+0.143324j -0.167275+0.0926437j 
0.198983-0.221645j 0.156879+0.121241j 0.187125+0.207834j 0.320053-0.340965j 0.233402+0.289182j -0.243764-0.191101j 0.0954097-0.0672364j 0.0739117-0.0348965j -0.169188+0.0858736j -0.112918-0.147349j -0.0929914+0.0589565j 0.00195266+0.0398175j 0.0415432-0.0168301j 0.026244-0.0147637j 0.0131952-0.0283088j 0.0163482-0.00697383j 0.0258694-0.081505j 0.0510451+0.00736604j 
-0.0377123-0.0361144j -0.0167439-0.0588532j -0.0734983+0.094274j 0.111327+0.0677349j -0.0739866+0.161523j -0.0151257-0.00941084j -0.0850795+0.090721j 0.142734+0.115182j 0.102057-0.00787127j -0.0946146+0.121969j -0.125379+0.0725067j -0.0222264+0.121863j -0.0979401-0.0764727j 0.220252+0.0920496j 0.227971-0.0268717j -0.0779499+0.120537j 0.207219-0.253002j 0.196722+0.0909051j 
-0.0132748+0.0687566j -0.139198-0.0823025j -0.0563414+0.00889954j -0.0285794-0.0176999j 0.0225705-0.0682091j 0.199819-0.039546j 0.191291+0.0439958j 0.000647227-0.155472j -0.0285083-0.297386j 0.0979113-0.0520876j 0.132112-0.138977j -0.0698848-0.0214579j -0.0796383+0.0055081j -0.0196824+0.316929j 0.173025-0.0813628j 0.112092-0.0317063j -0.146118-0.145512j 0.258137-0.257332j 
-0.0941437-0.0932139j 0.10263+0.00188578j 0.0664695-0.00972186j -0.0881174+0.070471j -0.0395802-0.0833804j 0.0285524+0.00458319j 0.102464+0.137098j 0.0715721+0.0478048j 0.0273963-0.0948786j 0.187901-0.0473239j -0.199593-0.00435388j -0.205583-0.00833604j -0.0880019+0.00668981j 0.314751-0.487258j -0.130776-0.0426952j -0.0102876-0.0467979j 0.0839614-0.132723j 0.0320597+0.0490725j 
-0.0479562-0.127504j 0.128864+0.0127326j 0.0661712+0.0554343j -0.0311596+0.0558114j -0.0209446-0.0684408j 0.00364035-0.0437719j 0.0296795+0.0945482j 0.0636697+0.0916938j 0.106512-0.0607575j 0.0734646-0.0579237j -0.109043-0.245136j 0.417406+0.524357j 0.0960658-0.0803177j -0.180465+0.14176j -0.341988-0.17758j -0.0728005-0.12972j 0.0465103-0.125165j -0.0439104+0.0275521j 
-0.179437+0.00602457j -0.058784-0.185174j 0.0116324-0.0472528j -0.060176-0.0247201j -0.0512439+0.0640067j -0.0325898+0.00803566j 0.0963476-0.0885985j 0.104897-0.0226144j -0.131028-0.0269005j -0.125541-0.233732j -0.31071+0.0254261j -0.304271+0.277169j -0.193787-0.0433494j 0.022819+0.0184755j 0.110792+0.201877j -0.180708-0.0883744j 0.0333763-0.008611j -0.0320701-0.0388597j 
-0.0493861-0.0821046j 0.0191943-0.0403905j -0.00960017+0.0519726j 0.0235297+0.0354073j -0.054864+0.0540697j 0.0264859-0.0534892j 0.0297191+0.0507556j 0.049021+0.0193684j 0.0386501-0.0600412j -0.0765541+0.0481413j -0.13038+0.0627422j -0.0275506+0.152425j -0.190133+0.0234944j 0.151228+0.215185j 0.1469+0.0333936j -0.0837023+0.0643955j 0.0911335-0.144164j 0.0874798+0.0946229j 
0.10839+0.0290468j 0.0500599+0.142066j 0.00432127-0.00863752j -0.00953749+0.0589005j 0.0484321+0.0104303j -0.00148357+0.0501249j -0.0765567+0.0498638j -0.00523166+0.019931j 0.0627038+0.159689j -0.0293822+0.00390986j -0.106186+0.12437j 0.0826355-0.0567957j 0.0807698+0.0282442j 0.18497-0.233615j -0.0724053+0.0973624j -0.0380388+0.0147729j 0.125835+0.0650927j -0.0264023+0.186031j 
0.00351795-0.0171073j 0.0140822+0.0236475j 0.0255294-0.0231158j -0.0311357-0.00924034j 0.0148007-0.0157311j -0.000276189-0.0634913j 0.0455852+0.0303184j -0.07893-0.0501146j 0.0118444-0.0208363j -0.0331424+0.0112575j -0.0379203-0.00139046j 0.0137297+0.0443562j -0.0566301-0.0238228j 0.0305258+0.0211106j 0.0095704-0.0374003j -0.0108733+0.00616537j 0.0359944-0.0719227j 0.0451697+0.013039j 
0.0220513+0.0695221j -0.072262-0.0150382j -0.0268037+0.00914453j 0.0265918+0.0183474j 0.0563518-0.00667134j 0.0300687+0.0342542j -0.0128123-0.0123626j -0.0238764-0.0120698j -0.0416975+0.0436037j -0.029496+0.00141142j -0.00246199+0.0352951j 0.0142181-0.0323776j -0.00424853+0.0131531j -0.0754289+0.00664397j 0.019783+0.0201313j -0.0218309+0.0405405j 0.0491292+0.05107j -0.0605926+0.0500058j 
-0.00644071-0.0436412j 0.0645392-0.0136518j 0.0439232+0.00983518j -0.00115826+0.0269644j -0.0246843-0.0146371j 0.0155815-0.0110884j 0.0535696+0.0659554j 0.0243084+0.0399237j 0.0466205-0.0653045j 0.125328+0.0417197j -0.00258359-0.0418581j -0.0132302-0.0592474j -0.0502111-0.0541689j 0.130745-0.0689559j -0.0764661-0.0534524j 0.0584575-0.0164722j -0.0643958-0.0695589j 0.0413867-0.0673152j 
0.0300017+0.0460181j -0.0546388+0.0117104j -0.0212614-0.031282j -0.0145678+0.0124878j -0.0165157+0.0451569j -0.00977966+0.0312197j -0.0377538-0.0015527j 0.027774+0.00530296j -0.0073033+0.00375571j -0.0482121+0.0127567j 0.0352217+0.0137951j 0.0106295+0.0205211j 0.0458512+0.0456418j -0.0725176+0.0141032j 0.0490263+0.00281628j -0.0114133+0.00472781j 0.0299032+0.0351785j -0.0152077+0.0288503j 
-0.042728+0.0379483j -0.08616-0.0466051j -0.0316071-0.0526735j -0.00504522-0.0203668j -0.0334125+0.00295267j -0.0119086-0.00195759j -0.02853-0.0403596j 0.000464248-0.0245716j -0.021194-0.0080397j -0.0244918-0.0136512j -0.000440358+0.0109297j -0.0953222-0.105548j -0.0698698-0.00524121j 0.00603654-0.0317268j 0.0737883+0.027536j 0.00106154+0.0170973j 0.00943384+0.0153299j -0.0236484-0.0239023j 
-0.00862036+0.0314682j -0.0284849-0.0375796j -0.0199772-0.00436744j 0.0227086+0.0142722j 0.0125976+0.0266322j 0.00535329+0.0121888j -0.0237069+0.0342592j -0.0192431+0.0124994j 0.0138455-0.0104709j 0.0109983+0.0118643j 0.0313504-0.00601793j -0.0436988-0.0322434j -0.0286721+0.050237j -0.0396837-0.0452309j 0.011937-0.0183605j 0.0315587-0.00816938j -0.01003+0.00136477j 0.000808268-0.014825j 
-0.0126019-0.0129021j 0.0257888+0.0232022j -0.00377666-0.0209534j 0.00615837+0.0387107j -0.00239155-0.00054624j 0.0224248-0.0200245j 0.0287081+0.0481537j 0.00144445-7.07129e-05j 0.0665834+0.0233178j 0.02812+0.0299965j -0.0243306+0.0208646j 0.0366776+0.0959926j 0.0378296+0.000389162j 0.0349776+0.012857j -0.0374301+0.00726517j -0.0174404-0.0118188j -0.00979353-0.00256378j 0.0127012+0.0344514j 
0.00736263-0.0511842j 0.00933269+0.00458571j 0.00491023-0.0271571j 0.0164539-0.00563435j 0.00547793-0.0236814j 0.00825251-0.0274424j -0.0019789-0.00648065j -0.00250175+0.0082408j 0.042257+0.0190443j 0.0240001-0.00869413j 0.0147139-0.00982228j -0.00321759+0.0618844j -0.0330358+0.0442173j -0.0170553-0.00923151j -0.021326-0.0104547j 0.0190913-0.022184j -0.0139699-0.0219509j 0.0127104+0.00238699j 
0.0215715-0.0232399j 0.05214+0.0447686j 0.0394795+0.0112577j -0.0405544+0.0177809j -0.00831498-0.0148758j 0.0219294+0.0049407j 0.0564072+0.022673j 0.0107083-0.0121919j -0.00313806-0.0166233j 0.035283+0.0215305j -0.00107755+0.0469292j -0.0431524+0.0690966j -0.00433459+0.0115651j 0.000918765-0.0304372j -0.00102522+0.00198943j -0.0124849+0.0201376j -0.0193556+0.0113588j -0.0193388+0.0338154j 
-0.0145423-0.0377708j 0.0715114+0.0348576j -0.00390627+0.0760159j 0.0162838-0.00565605j 0.0132173-0.0183597j 0.00937946-0.00641802j -0.0167756+0.0387577j -0.0141931-0.00265212j 0.0259815-0.0114658j 0.0244651-0.00675557j 0.0057129+0.00498307j 0.0379368+0.0105869j 0.0180836+0.0448673j 0.0147174-0.0307581j -0.0414713-0.0234362j 0.0165026+0.000312672j -0.00379833-0.0027678j -0.00228772+0.03495j 
