-0.135986-0j -0.0208053-0j 0.221798-0j -0.00194926-0j -0.00282924-0j 0.0262853-0j -0.000133372-0j -0.131668-0j -0.0348916-0j 0.526041-0j -0.00462308-0j -0.00866276-0j 0.080482-0j -0.000408366-0j 0.360155-0j -0.0031652-0j -0.0102728-0j 0.0954399-0j -0.000484263-0j -0.0275843-0j 0.588131-0j -0.00516876-0j -0.011862-0j 0.110204-0j -0.000559179-0j -0.0114853-0j 0.106705-0j -0.000541422-0j 0.493163-0j -0.00433414-0j -0.0140666-0j 0.130686-0j -0.000663104-0j -0.012182-0j 0.113178-0j -0.000574265-0j 
0.0351115-0j -0.156801-0j 0.00194926-0j 0.199463-0j 0.000730508-0j -0.00674288-0j 0.0439927-0j 0.0339966-0j -0.262964-0j 0.00462308-0j 0.473068-0j 0.00223671-0j -0.0206458-0j 0.1347-0j 0.0031652-0j 0.323887-0j 0.00265242-0j -0.0244829-0j 0.159734-0j -0.207891-0j 0.00516876-0j 0.528906-0j 0.00306275-0j -0.0282704-0j 0.184445-0j 0.00296549-0j -0.0273727-0j 0.178588-0j 0.00433414-0j 0.443501-0j 0.00363197-0j -0.0335246-0j 0.218725-0j 0.00314538-0j -0.0290331-0j 0.189421-0j 
-0.101058-0j -0.0319095-0j -0.0175471-0j -0.00453064-0j 0.395304-0j -0.00278682-0j -0.000415434-0j 0.110337-0j 0.00165466-0j -0.0133061-0j -0.00343562-0j 0.59597-0j -0.00420147-0j -0.000626318-0j 0.0102728-0j 0.00265242-0j -0.0218523-0j 0.000154055-0j 2.29651e-05-0j 0.0231154-0j 0.000949334-0j 0.000245117-0j 0.395416-0j -0.00278761-0j -0.000415552-0j -0.431723-0j 0.00304356-0j 0.000453708-0j 0.0140666-0j 0.00363197-0j -0.0299225-0j 0.000210948-0j 3.14463e-05-0j -0.457912-0j 0.00322819-0j 0.00048123-0j 
0.0319573-0j -0.142223-0j -0.163022-0j -0.0418196-0j 0.00278682-0j 0.364924-0j -0.00581762-0j -0.0348916-0j 0.00737495-0j -0.123621-0j -0.0317122-0j 0.00420147-0j 0.550167-0j -0.00877078-0j 0.0954399-0j 0.0244829-0j -0.000154055-0j -0.0201729-0j 0.000321597-0j 0.103027-0j 0.00881985-0j 0.00226253-0j 0.00278761-0j 0.365027-0j -0.00581927-0j -0.00304356-0j -0.398544-0j 0.00635359-0j 0.130686-0j 0.0335246-0j -0.000210948-0j -0.0276229-0j 0.000440364-0j -0.00322819-0j -0.422719-0j 0.006739-0j 
-0.00476391-0j 0.0666127-0j -0.000827178-0j -0.272845-0j -0.000415434-0j 0.00581762-0j 0.326441-0j 0.00520134-0j -0.00345418-0j -0.000627256-0j -0.206901-0j -0.000626318-0j 0.00877078-0j 0.49215-0j 0.000484263-0j 0.159734-0j 2.29651e-05-0j -0.000321597-0j -0.0180456-0j -0.0482545-0j 4.4752e-05-0j 0.0147615-0j -0.000415552-0j 0.00581927-0j 0.326533-0j 0.000453708-0j -0.00635359-0j -0.356515-0j 0.000663104-0j 0.218725-0j 3.14463e-05-0j -0.000440364-0j -0.0247099-0j 0.00048123-0j -0.006739-0j -0.378142-0j 
0.0711617-0j -0.00744756-0j -0.0164331-0j -0.00424301-0j -0.0139566-0j -0.00441348-0j -0.000657922-0j -0.0693462-0j 0.0162966-0j 0.00936974-0j 0.00241926-0j -0.00310095-0j -0.000980607-0j -0.00014618-0j -0.00645637-0j -0.00166703-0j 0.00479803-0j 0.00151727-0j 0.000226181-0j -0.0145279-0j 0.00934991-0j 0.00241414-0j 0.00620737-0j 0.00196294-0j 0.000292618-0j -0.006049-0j -0.00191286-0j -0.000285153-0j -0.00884075-0j -0.00228267-0j 0.00656998-0j 0.00207761-0j 0.000309712-0j -0.00641593-0j -0.0020289-0j -0.00030245-0j 
-0.0129923-0j 0.00135973-0j -0.179292-0j 0.000774664-0j 0.00254812-0j -0.0481528-0j 0.00012012-0j 0.0126608-0j -0.00297534-0j 0.102228-0j -0.000441694-0j 0.000566154-0j -0.0106988-0j 2.66888e-05-0j -0.0704416-0j 0.000304356-0j -0.000875997-0j 0.016554-0j -4.12949e-05-0j 0.00265242-0j 0.102011-0j -0.000440759-0j -0.0011333-0j 0.0214165-0j -5.34245e-05-0j 0.00110439-0j -0.0208701-0j 5.20615e-05-0j -0.0964562-0j 0.000416757-0j -0.00119951-0j 0.0226676-0j -5.65454e-05-0j 0.00117138-0j -0.0221361-0j 5.52196e-05-0j 
-0.0212163-0j -0.031296-0j 0.0048994-0j -0.0369248-0j -0.18665-0j -0.0185462-0j -0.00868643-0j 0.020675-0j 0.0684813-0j -0.00279352-0j 0.0210536-0j -0.0414708-0j -0.00412069-0j -0.00192999-0j 0.00192492-0j -0.0145073-0j 0.0641668-0j 0.00637585-0j 0.00298623-0j -0.0610488-0j -0.00278761-0j 0.021009-0j 0.0830146-0j 0.00824864-0j 0.00386339-0j -0.0808967-0j -0.00803819-0j -0.00376482-0j 0.0026358-0j -0.019865-0j 0.087864-0j 0.00873049-0j 0.00408907-0j -0.0858039-0j -0.00852579-0j -0.0039932-0j 
0.00474411-0j 0.0144925-0j 0.0321863-0j -0.112104-0j -0.000930443-0j -0.252321-0j -0.0560332-0j -0.00462308-0j -0.0317122-0j -0.0183518-0j 0.0639187-0j -0.00020673-0j -0.0560618-0j -0.0124497-0j 0.0126456-0j -0.0440443-0j 0.000319869-0j 0.0867431-0j 0.0192632-0j 0.0282704-0j -0.018313-0j 0.0637835-0j 0.000413824-0j 0.112222-0j 0.0249214-0j -0.000403267-0j -0.109359-0j -0.0242856-0j 0.0173157-0j -0.0603101-0j 0.000437998-0j 0.118778-0j 0.0263772-0j -0.000427729-0j -0.115993-0j -0.0257588-0j 
-0.000500073-0j -0.00310762-0j 0.00011548-0j 0.0779527-0j 9.80773e-05-0j -0.0018416-0j -0.344532-0j 0.000487315-0j 0.00680004-0j -6.58438e-05-0j -0.0444467-0j 2.17913e-05-0j -0.000409175-0j -0.0765497-0j 4.53708e-05-0j 0.0306267-0j -3.37171e-05-0j 0.000633108-0j 0.118444-0j -0.00606201-0j -6.57045e-05-0j -0.0443526-0j -4.36209e-05-0j 0.000819071-0j 0.153234-0j 4.2508e-05-0j -0.000798175-0j -0.149325-0j 6.21265e-05-0j 0.0419374-0j -4.61691e-05-0j 0.000866918-0j 0.162186-0j 4.50866e-05-0j -0.000846592-0j -0.158383-0j 
0.0257991-0j 0.0202783-0j 0.00330457-0j 0.000853235-0j -0.00799932-0j -0.00252961-0j -0.000377091-0j 0.036753-0j -0.0178253-0j 0.00339692-0j 0.000877082-0j 0.00844331-0j 0.00267001-0j 0.000398022-0j 0.00342183-0j 0.000883513-0j -0.00524812-0j -0.0016596-0j -0.000247399-0j 0.00769968-0j -0.010227-0j -0.0026406-0j 0.00225043-0j 0.000711649-0j 0.000106086-0j 0.00320593-0j 0.0010138-0j 0.000151129-0j 0.00468554-0j 0.0012098-0j -0.00718628-0j -0.0022725-0j -0.000338765-0j 0.0034004-0j 0.0010753-0j 0.000160296-0j 
-0.00608091-0j -0.00477964-0j 0.0228834-0j -0.000201109-0j -0.0845746-0j -0.017517-0j 8.88813e-05-0j -0.00866276-0j 0.00420147-0j 0.023523-0j -0.00020673-0j 0.0892688-0j 0.0184892-0j -9.38146e-05-0j 0.0236954-0j -0.000208246-0j -0.0554869-0j -0.0114924-0j 5.83124e-05-0j -0.00181483-0j -0.0708197-0j 0.000622395-0j 0.0237932-0j 0.00492801-0j -2.50048e-05-0j 0.0338954-0j 0.00702037-0j -3.56214e-05-0j 0.0324463-0j -0.000285153-0j -0.0759786-0j -0.0157366-0j 7.98476e-05-0j 0.0359515-0j 0.00744622-0j -3.77822e-05-0j 
-0.00744756-0j 0.0825072-0j -0.000953946-0j 0.0071895-0j 0.0023092-0j -0.0102923-0j -0.00482058-0j -0.0106097-0j -0.0725267-0j -0.000980607-0j 0.00739044-0j -0.00243737-0j 0.0108636-0j 0.00508814-0j -0.000987798-0j 0.00744463-0j 0.001515-0j -0.00675249-0j -0.00316264-0j 0.031328-0j 0.00295228-0j -0.0222501-0j -0.000649644-0j 0.00289552-0j 0.00135616-0j -0.000925471-0j 0.00412491-0j 0.00193197-0j -0.0013526-0j 0.010194-0j 0.0020745-0j -0.00924623-0j -0.00433063-0j -0.000981611-0j 0.00437512-0j 0.00204916-0j 
0.00135973-0j -0.0150637-0j -0.0104079-0j -0.00131262-0j -0.000421601-0j -0.112293-0j 0.000880113-0j 0.00193705-0j 0.0132415-0j -0.0106988-0j -0.0013493-0j 0.000445002-0j 0.118526-0j -0.000928963-0j -0.0107773-0j -0.0013592-0j -0.0002766-0j -0.0736724-0j 0.000577417-0j -0.00571969-0j 0.0322106-0j 0.0040623-0j 0.000118608-0j 0.0315913-0j -0.0002476-0j 0.000168967-0j 0.0450044-0j -0.000352728-0j -0.0147574-0j -0.00186116-0j -0.00037875-0j -0.10088-0j 0.00079066-0j 0.000179217-0j 0.0477344-0j -0.000374124-0j 
0.00157008-0j -0.0360222-0j 0.000201109-0j 0.020579-0j 0.0218371-0j 0.00449357-0j -0.0293175-0j 0.00223671-0j 0.0316647-0j 0.00020673-0j 0.0211542-0j -0.0230491-0j -0.00474298-0j 0.0309448-0j 0.000208246-0j 0.0213093-0j 0.0143267-0j 0.0029481-0j -0.0192344-0j -0.0136776-0j -0.000622395-0j -0.0636881-0j -0.00614338-0j -0.00126417-0j 0.00824784-0j -0.00875175-0j -0.00180091-0j 0.0117497-0j 0.000285153-0j 0.0291789-0j 0.0196176-0j 0.00403685-0j -0.0263377-0j -0.00928263-0j -0.00191015-0j 0.0124625-0j 
-0.000286657-0j 0.00997774-0j 0.00107873-0j -0.0121112-0j 8.88813e-05-0j 0.0365676-0j -0.0698414-0j -0.000408366-0j -0.00877078-0j 0.00110888-0j -0.0124497-0j -9.38146e-05-0j -0.0385972-0j 0.0737178-0j 0.00111701-0j -0.012541-0j 5.83124e-05-0j 0.0239909-0j -0.0458209-0j 0.00378855-0j -0.00333847-0j 0.037482-0j -2.50048e-05-0j -0.0102875-0j 0.0196483-0j -3.56214e-05-0j -0.0146554-0j 0.0279907-0j 0.00152953-0j -0.0171725-0j 7.98476e-05-0j 0.0328509-0j -0.0627428-0j -3.77822e-05-0j -0.0155444-0j 0.0296886-0j 
2.34054e-05-0j -0.00137006-0j 2.99796e-06-0j 0.0034113-0j -7.25713e-06-0j 0.000170908-0j 0.0659946-0j 3.3343e-05-0j 0.00120433-0j 3.08175e-06-0j 0.00350664-0j 7.65993e-06-0j -0.000180394-0j -0.0696576-0j 3.10435e-06-0j 0.00353235-0j -4.76119e-06-0j 0.000112128-0j 0.0432972-0j -0.000520213-0j -9.27812e-06-0j -0.0105573-0j 2.04163e-06-0j -4.80811e-05-0j -0.0185661-0j 2.90848e-06-0j -6.84956e-05-0j -0.026449-0j 4.2508e-06-0j 0.00483687-0j -6.51953e-06-0j 0.000153537-0j 0.0592871-0j 3.0849e-06-0j -7.26506e-05-0j -0.0280534-0j 
0.0693462-0j 0.0106097-0j 0.00384984-0j 0.000994024-0j 0.00144277-0j 0.000456244-0j 6.80129e-05-0j -0.0603431-0j -0.0159907-0j -0.00820585-0j -0.00211874-0j -0.00397011-0j -0.00125546-0j -0.000187153-0j -0.0174877-0j -0.0045153-0j -0.0146545-0j -0.00463417-0j -0.000690822-0j 0.0140666-0j 0.0102084-0j 0.0026358-0j 0.006049-0j 0.00191286-0j 0.000285153-0j -0.00526368-0j -0.00166452-0j -0.000248132-0j 0.00856002-0j 0.00221019-0j 0.00717323-0j 0.00226838-0j 0.000338149-0j 0.0062122-0j 0.00196447-0j 0.000292846-0j 
