-0.154675-0j -0.163041-0j -0.122281-0j -0.122281-0j -0.106736-0j -0.130724-0j 0.304577-0j -0.0754735-0j -0.0691726-0j -0.115288-0j -0.070599-0j 0.333647-0j -0.0998421-0j -0.0407604-0j -0.0893015-0j 0.434169-0j -0.0893015-0j 0.175847-0j 0.434169-0j -0.0773374-0j -0.0631457-0j 0.304577-0j -0.0199684-0j -0.0384292-0j 0.107684-0j 0.175847-0j -0.0407604-0j 0.186514-0j -0.0576439-0j 0.107684-0j -0.0407604-0j -0.023533-0j 0.0278039-0j -0.00789321-0j -0.0407604-0j -0.0176498-0j -0.0182286-0j -0.014411-0j -0.0039778-0j -0.00644478-0j -0.00172244-0j -0.000256766-0j 
0.178603-0j -0.000592379-0j 0.141198-0j -0.142087-0j -0.249997-0j -0.00047496-0j 0.115288-0j -0.175121-0j 0.0798737-0j 0.00084965-0j 0.0815207-0j -0.00039738-0j -0.116013-0j -0.14179-0j -0.209162-0j 0.070599-0j 0.210479-0j -0.336589-0j -0.0710433-0j -0.00028099-0j -0.146517-0j 0.000735818-0j -0.0925929-0j 0.0011289-0j 0.0407604-0j 0.271302-0j -0.238004-0j -0.0710433-0j 0.338707-0j -0.122794-0j 0.000300397-0j 0.413965-0j -0.0528201-0j 0.0091143-0j 0.191839-0j -0.0205084-0j 0.171452-0j -0.0501305-0j 0.0561062-0j -0.0373495-0j -0.0139724-0j -0.00267772-0j 
0.109372-0j 0.115288-0j -0.261577-0j 0.0864658-0j 0.0754735-0j -0.279638-0j 0.070599-0j 0.0533679-0j 0.0489124-0j 0.0815207-0j 0.0524541-0j 0.0773374-0j -0.213577-0j 0.0288219-0j -0.191029-0j -0.130789-0j 0.0631457-0j 0.0407604-0j 0.0432329-0j 0.0574606-0j -0.135078-0j -0.213577-0j 0.0141198-0j 0.0271736-0j 0.330174-0j 0.0407604-0j 0.0302844-0j 0.0454266-0j -0.123309-0j -0.0755109-0j 0.381253-0j 0.0166404-0j 0.00644478-0j 0.345405-0j 0.0302844-0j 0.418166-0j -0.0389937-0j 0.134793-0j 0.00281273-0j 0.00478838-0j -0.00368455-0j 0.000181561-0j 
-0.154675-0j 0.164068-0j 0.123823-0j 0.122279-0j -0.106736-0j -0.133205-0j -0.0998421-0j -0.0769029-0j -0.0691726-0j 0.116013-0j 0.213577-0j 0.11006-0j -0.101099-0j -0.205859-0j 0.0904272-0j 0.0619113-0j 0.0892997-0j -0.0576439-0j 0.0611393-0j -0.235434-0j 0.0651527-0j -0.101737-0j -0.221542-0j 0.0386711-0j 0.177833-0j -0.0587356-0j 0.123309-0j -0.184959-0j -0.0583694-0j 0.180526-0j -0.206636-0j -0.118853-0j -0.174551-0j 0.0715364-0j 0.125644-0j -0.124436-0j 0.204788-0j 0.366663-0j -0.116234-0j 0.37339-0j 0.0720381-0j -0.0183599-0j 
0.0631457-0j -0.200522-0j 0.0499211-0j 0.252124-0j 0.0435747-0j -0.160775-0j 0.0407604-0j 0.0296375-0j 0.0282396-0j -0.14179-0j 0.0288219-0j -0.134514-0j 0.205859-0j -0.252968-0j 0.0364572-0j 0.0249605-0j 0.184126-0j 0.023533-0j 0.126062-0j -0.0951159-0j 0.0247965-0j -0.122794-0j -0.155393-0j -0.0472635-0j 0.014411-0j 0.022636-0j 0.0166404-0j 0.126062-0j 0.118853-0j -0.219077-0j -0.0501305-0j -0.146051-0j 0.14164-0j 0.00322239-0j 0.0160061-0j 0.036391-0j -0.141853-0j -0.0894377-0j 0.372154-0j 0.100155-0j 0.458148-0j 0.283103-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
