-0.219431-0j -0.231301-0j 0.175663-0j -0.173476-0j -0.151422-0j 0.187791-0j -0.141642-0j -0.107072-0j -0.0981327-0j -0.163554-0j 0.302994-0j -0.155161-0j 0.143428-0j -0.0578252-0j 0.128286-0j 0.0878313-0j -0.126689-0j -0.0817772-0j -0.0867379-0j 0.331913-0j 0.0907118-0j 0.143428-0j -0.0283285-0j -0.0545182-0j 0.252285-0j -0.0817772-0j 0.174934-0j 0.2624-0j 0.0828081-0j 0.0507094-0j 0.291313-0j -0.0333854-0j -0.0129301-0j 0.101486-0j 0.174934-0j 0.176536-0j 0.0261862-0j 0.102995-0j -0.00564317-0j 0.0276594-0j 0.00247437-0j -0.000364265-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.219431-0j -0.232757-0j 0.173476-0j -0.173472-0j 0.151422-0j -0.18662-0j 0.141642-0j 0.109099-0j 0.0981327-0j -0.164584-0j 0.100156-0j -0.156138-0j -0.14164-0j 0.292044-0j 0.126689-0j 0.0867379-0j -0.126686-0j 0.0817772-0j -0.0867362-0j -0.110406-0j 0.0912791-0j -0.142534-0j 0.314293-0j -0.0548613-0j 0.0500781-0j 0.083326-0j 0.0578252-0j -0.0867362-0j -0.0817756-0j 0.252918-0j -0.0581891-0j 0.168612-0j 0.247629-0j 0.0111978-0j 0.0589204-0j -0.0250386-0j 0.286909-0j 0.103253-0j 0.164897-0j 0.1751-0j 0.100926-0j 0.0260465-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.170291-0j -0.178603-0j -0.133123-0j -0.133123-0j 0.233851-0j -0.141198-0j -0.0815207-0j -0.106736-0j -0.103116-0j 0.249997-0j -0.0754735-0j -0.106736-0j -0.115288-0j -0.0435747-0j -0.0798737-0j 0.190938-0j 0.190938-0j -0.0893015-0j -0.0815207-0j 0.301054-0j -0.0893015-0j -0.0665614-0j 0.116925-0j -0.0210486-0j 0.209162-0j -0.070599-0j -0.0364572-0j 0.12076-0j 0.336589-0j -0.0407604-0j -0.0631457-0j 0.116925-0j -0.0364572-0j 0.253693-0j 0.165357-0j -0.0094132-0j 0.253693-0j -0.0407604-0j 0.0675068-0j 0.238004-0j -0.0407604-0j 0.0337534-0j 0.19433-0j -0.0182286-0j 0.0675068-0j 0.0614524-0j -0.0039778-0j -0.0091143-0j 0.0477345-0j -0.0117665-0j 0.0174302-0j -0.00744179-0j 0.003294-0j -0.00281273-0j -0.000662967-0j -8.93945e-05-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.208563-0j -0.000688282-0j -0.165097-0j -0.164068-0j 0.141198-0j 0.000550994-0j -0.200627-0j 0.130724-0j 0.126291-0j -0.00047496-0j -0.279638-0j 0.133205-0j -0.000444284-0j -0.160775-0j -0.000307809-0j -0.116741-0j -0.116013-0j -0.11075-0j 0.00095039-0j 0.0729144-0j -0.11006-0j 0.165876-0j 0.070599-0j -0.103522-0j 0.000402389-0j 0.000275497-0j -0.224942-0j -0.146517-0j -0.000256508-0j -0.100313-0j 0.235434-0j -0.213577-0j 0.13621-0j -0.0389137-0j 0.101737-0j -0.0578615-0j -0.0386711-0j 0.000791331-0j -0.122794-0j 0.000548708-0j 0.303469-0j -0.143689-0j 0.0957686-0j 0.0907829-0j 0.206636-0j -0.0597685-0j -0.0293381-0j 0.000318328-0j 0.262675-0j 0.204166-0j 0.0534859-0j 0.184387-0j -0.0139724-0j 0.0627585-0j 0.0066009-0j -0.00109864-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.120414-0j 0.253775-0j -0.094132-0j -0.0959148-0j -0.0815207-0j 0.200627-0j -0.232208-0j -0.0754735-0j -0.0729144-0j 0.175121-0j -0.0533679-0j -0.0769029-0j 0.163811-0j -0.0296375-0j 0.113492-0j -0.0665614-0j -0.067822-0j -0.0631457-0j 0.115832-0j -0.0420971-0j -0.0643416-0j -0.189597-0j -0.0407604-0j 0.2119-0j 0.146517-0j 0.100313-0j -0.0257791-0j -0.169581-0j 0.0945763-0j -0.116104-0j -0.0454964-0j -0.0407604-0j -0.0247965-0j -0.0221871-0j -0.0587356-0j 0.317003-0j -0.0226073-0j 0.0579159-0j -0.022636-0j 0.0668756-0j -0.116104-0j -0.0117665-0j -0.109464-0j 0.183511-0j -0.0239787-0j 0.122341-0j 0.29607-0j 0.0129504-0j -0.0160061-0j -0.0335163-0j 0.289383-0j 0.0749181-0j 0.221848-0j 0.209353-0j 0.148839-0j 0.04421-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
