-0.188856-0j -0.200313-0j -0.151422-0j -0.151422-0j 0.270877-0j -0.126689-0j -0.163554-0j -0.0944282-0j 0.296731-0j -0.100156-0j -0.0895825-0j -0.126689-0j 0.234586-0j -0.0517205-0j 0.359905-0j 0.234586-0j -0.100156-0j 0.477506-0j -0.0817772-0j 0.0957695-0j 0.275688-0j -0.0258602-0j 0.165878-0j -0.0289126-0j 0.0957695-0j -0.0333854-0j 0.0247276-0j -0.0182859-0j -0.00564317-0j -0.000940528-0j 
0.231301-0j -0.000771944-0j -0.187791-0j -0.18662-0j 0.163554-0j 0.155161-0j 0.000638235-0j -0.232393-0j -0.000563748-0j -0.000385972-0j -0.331913-0j 0.158106-0j -0.143428-0j -0.19083-0j 0.0545182-0j -0.142534-0j 0.00116765-0j 0.000368485-0j 0.203795-0j -0.291313-0j -0.134172-0j -0.127187-0j 0.304901-0j 0.000785562-0j 0.1764-0j 0.413923-0j -0.0749339-0j 0.272072-0j 0.0421455-0j -0.00924787-0j 
-0.133542-0j 0.284622-0j -0.107072-0j -0.109099-0j -0.0944282-0j -0.0895825-0j 0.232393-0j -0.268974-0j 0.207858-0j 0.142311-0j -0.0633444-0j -0.0912791-0j -0.0817772-0j -0.0351779-0j -0.0314761-0j -0.083326-0j 0.142311-0j 0.134172-0j -0.232939-0j -0.0333854-0j -0.155292-0j 0.26034-0j -0.0589204-0j 0.0410816-0j -0.0321129-0j -0.0950968-0j 0.410537-0j 0.184088-0j 0.420023-0j 0.211152-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
