-0.37648-0.0897075j -0.0744728+0.3931j 0.0234934-0.224284j -0.248514+0.122774j 0.115603-0.0681617j -0.112845-0.0945697j -0.05359+0.0217213j 0.240242+0.0726436j 0.0255052+0.0429344j 0.164381+0.012919j -0.0459997-0.131143j -0.12311-0.250446j 0.132083-0.204398j 0.369932-0.0476089j 0.0474196+0.3538j 
0.00170895-0.05282j -0.0540393+0.00290819j -0.00779505-0.0274609j -0.0346466+0.0379037j 0.0360198+0.00202104j -0.00652031+0.0115443j 0.000743651-0.0189398j 0.062144+0.0150255j 0.00152991-0.00972313j 0.00240378+0.0295762j -0.0330691-0.0134379j -0.00457026-0.0576189j 0.0211274-0.0212269j -0.0102453-0.0603109j 0.0550001-0.0101427j 
-0.0363542+0.0254047j 0.0229534+0.0308759j 0.0131965+0.00851752j 0.00661495-0.028192j -0.0226794-0.00706188j -0.00610066-0.0229242j -0.00351615+0.0101476j -0.0254902-0.00577015j -0.00136202+0.0220122j 0.00704614-0.0119325j 0.0207054+0.000479265j -0.0035377+0.0116135j 0.00626407-0.000820487j 0.0275062+0.0174858j -0.0167812+0.0261592j 
0.0177056-0.00996959j -0.00886964-0.0140999j -0.0148954-0.00235829j -0.000544347+0.0190373j 0.00560846-0.0103254j 0.00751827+0.00778909j -0.00750618+0.00247562j 0.00269249-0.00616791j -0.0114785-0.0131353j 0.00210554+0.00772722j -0.00618833+0.0167911j -0.00746324+0.0153882j -0.0317134+0.00706397j 0.0239769+0.00808166j -0.0129996+0.0305567j 
0.0171679+0.00309238j 0.00498176-0.0182641j -0.0368786+0.00062066j 0.00927614+0.0388633j 0.0194151-0.00437785j 0.00512876-0.00578076j 0.000761024-0.0118968j 0.00466899-0.00566837j -0.00478224-0.0279961j 0.00957147+0.00119717j -0.0181614+0.00330565j 0.0287428+0.00791429j -0.0222886+0.0334827j 0.0101083+0.0181035j -0.0211268+0.015213j 
0.00536553-0.0295525j -0.0292891-0.00208375j 0.0113086-0.0177843j -0.0228673-0.0183019j -0.0229172-0.00420908j 0.0153418+0.00896371j -0.0122018+0.0316844j -0.00269709-0.000258385j -0.00602923+0.0178227j -0.00274508+0.015288j 0.0289655+0.0228972j -0.0313984+0.0360653j -0.0446363-0.0250393j 0.013324-0.0190906j 0.0149795+0.014217j 
-0.0199469-0.00113273j -0.00721017+0.014471j 0.0149694+0.0221447j 0.0121734-0.00821848j -0.0140293+0.00915912j -0.0101533+6.29664e-05j 0.0228373-0.00617886j 0.00681311-0.000458071j 0.000772907+0.0209553j -0.0160038+0.000408507j -0.00280136-0.0142156j 0.0100229-0.00558433j 0.00223169+0.00507885j -0.00596194-0.0148486j 0.00671952-0.00847784j 
-0.0133434+0.00311099j -0.00249413+0.0110178j 0.0133054+0.0122854j 0.00844466-0.00794242j -0.00453292+0.00384866j -0.00855738-0.000500366j 0.00617057-0.0090079j 0.00679526-0.000965994j 0.00068285+0.0104219j -0.00572645+0.00232295j -0.00720282-0.00299336j 0.0072174-0.0125198j 0.00193641-2.01746e-05j 0.000746025-0.00944075j 0.003593+2.93428e-05j 
-0.00522451+0.00695428j -0.00156645+0.00569883j 0.0194507+0.00298884j 0.00689407-0.010979j -0.00993313+0.00779604j -0.00610526+0.0155851j 0.00372589-0.0152279j 0.0101596-0.0100093j 0.00817515+0.0187287j -0.0127432+0.00935562j -0.00968632+0.00540646j -0.000327451-0.00832424j -0.010771+0.00797588j -0.00171265-0.00395586j -0.00669841+0.00447556j 
0.0227986-0.0103976j -0.00608614-0.0206421j -0.00742215-0.00575987j 0.000678154+0.00262813j -0.0200034-0.00150485j 0.00663138+0.0301443j 0.00860876+0.0122293j 0.00812159-0.00679766j -0.000856657+0.0193624j -0.0147776-0.00809662j 0.0124604-0.00310552j -0.0129904+0.000576821j 0.00963753+0.0200224j -0.0190357+0.000665921j 0.0025006-0.0150203j 
-0.00487024-0.011451j -0.00668302+0.00365434j -0.00695899-0.00569923j 0.00278896-0.0101875j 0.00516277+0.0105152j 0.0273176+0.00453417j -0.00195608-0.0251477j -0.026322-0.0148861j 0.0223644-0.0113721j -0.0120107-0.0145386j -0.0163802-0.00197435j -0.0112547+0.0114058j 0.0177999+0.00213277j 0.0100401-0.00446109j 0.0106726+0.0104797j 
