0.000745568-0.0283166j -0.035279+0.000313133j -0.00746898-0.0375271j 0.0263327-0.00475242j 0.000806655+0.00411696j 0.00735516-0.00912156j -0.00455369-0.0103551j 0.0214965-0.00536506j -0.00707902-0.00162963j 0.0079506-0.00217728j -0.00212917+0.00849459j 0.00490094+0.0129843j -0.00439358-0.000806886j -0.00450141+0.00329851j -0.00264107-0.00695723j 0.00141215+0.00136578j 0.00518054-0.00354928j 0.00262162+0.00549719j 0.0113401+0.00482913j 0.0038202+0.00355826j -0.000780016-0.00575702j 0.00536769+0.00137807j -0.00761273-0.00742951j 0.00352247+0.00349203j 0.000964414-0.00454777j -0.000111011+0.00942192j -0.00142149+0.000644343j -0.0014352-0.00518392j 0.00211332-0.0065884j -0.00336506+0.00192929j 0.00238755+0.00156297j 0.00555514+0.000931747j -0.00318134+0.0020203j 0.00197785+0.00377947j -0.00230002-0.0040297j -0.0121905+0.000236477j -0.00421438-0.000337021j -0.00517625+0.00057316j -0.00657206+0.000964278j 0.00192309+0.00369686j 0.00166402+0.00847798j 0.00195085-0.00609922j 0.00012024+0.00375072j -0.000283516+0.00159875j 0.00219235-0.00790197j 0.00296288-0.00583777j 0.0018625-0.0017848j -0.00330185+0.00329573j 0.00907687-0.0130146j 0.00257588+0.00332529j -0.0134858+0.00954214j -0.00172941+0.00260801j 0.00390907+0.0105692j -0.000125647-0.00246214j -0.00100753-0.00766158j -0.00907283-0.000943583j 0.00157933+0.00319914j 0.000613331-0.00519017j -0.00128611-0.00480901j -0.00015348-0.00312636j 0.00888995-0.00994535j 0.0158868-0.00652307j 0.00467018+0.0077644j -0.00695339+0.0101571j 0.0194078+0.000769516j 0.0222719-0.00952364j 0.00204256+0.0306121j 0.0273691+0.0150162j -0.0136488+0.0262018j 
0.0144841+0.00766889j 0.0100625-0.0150623j -0.00883895+0.00337949j -0.0010082-0.00850209j -0.012231+0.00769107j 0.0122772+0.00157818j -0.0091092-0.00864236j -0.00384643-0.0140161j -0.000941212+0.00850985j 0.00495248-0.00306873j 0.006289-0.00373584j 0.00301403-0.00148305j -0.00220683-0.000844631j 0.00526071-0.00469039j -0.00385948+0.00266737j 0.00156804-0.00218665j -0.00131022+0.00775306j -0.00195082+0.00154168j -0.00661598-0.00782329j 0.00440739-0.00289963j 0.00622396+0.00687201j -0.00386119+0.00014254j -0.00208733-0.0024135j -0.00356983-0.00312097j 0.00442075+0.00185096j 0.00272797+0.00390219j -0.00150389-0.000821122j 0.00403887+0.00140719j 0.000995746+0.00232584j 1.47208e-05+3.08648e-05j -0.00385074+7.80264e-06j -0.00142439+0.00020906j 0.000803978+0.000727356j 2.00995e-05+0.00216121j 0.0050124+0.00121981j 0.0016881+0.00561071j 0.0018297+0.00218334j 0.00092732+0.00113206j 0.00059857-0.0024883j -0.00567546-0.000364387j -0.00347181-0.000333228j 0.00239422+0.00416144j 2.77686e-05-0.000808138j -0.00261654-0.00824745j 0.000224623+0.00317798j -0.00119207+0.000384346j -0.00539041+0.00653239j -0.00348259-0.00204596j 0.00123187+0.000116703j 0.00538736-0.00256946j 0.0029361+8.31806e-05j -0.00117335-0.00101462j -0.001028-0.000395332j 0.000775071+0.00127712j -0.00281437+0.00523545j -0.00273051-0.00100986j -0.00402076+0.00401429j -0.000203878+0.00869838j -0.000406922+0.00171931j -0.00327339-0.00995629j 0.00224623-0.00421138j -0.0130076-0.00701189j 0.00782953-0.0111692j -0.00555296+0.00385303j 0.00810675-0.00328206j -0.0143917-0.0128366j 0.0128442-0.0116773j -0.0179151+0.0108688j -0.00646849-0.0159832j 
-0.0116021+0.00876494j 0.00973993+0.0100716j 0.00860822+0.0109669j -0.00503634+0.00735978j 0.00704311+0.00104882j -0.00523487-0.00019402j -0.000507022+0.0101311j -0.0102271+0.00387379j 0.00145181-0.00127438j -0.00492937+0.00722414j -0.00793196-0.00382815j -0.000262348-0.00557134j -0.000330986+0.000722319j -0.006867-0.00212999j 0.00564297+0.00397804j -6.50296e-05-0.00404558j 0.000994449-0.00297268j 0.00446555-0.00682796j 0.000618926+0.00124444j -0.00607408-0.00249757j -0.00180746-0.000235645j 0.00225969-0.00192825j 0.00613449+0.00778883j -0.00156897+0.000601056j 0.000768253+0.00171069j 0.00232264-0.00516397j 0.00341217-0.00127873j -0.00296438+0.00285199j -0.000619122+0.000983035j 0.00110291-0.0028086j -0.000685791-0.000679683j -0.000575773+0.00122213j 0.0010028-0.00104406j -0.00298793-0.00374512j -0.00584866+0.00328546j 0.0034689-0.00102446j 0.00236472+0.00184871j 0.00124807-0.00195429j 0.00600292-0.00129964j 0.00392454-6.54419e-05j 0.0020301-0.00372716j -0.00402841+0.00443436j -0.00360266+0.000982937j 0.00236844+0.00634774j -0.00256922+0.00121347j -0.00331175+0.0023783j 0.00297182-0.00275111j 0.00346561-0.00121494j -0.00783197+0.00277062j -0.00408467+0.00173139j 0.00713799-0.000234393j 0.000484873+0.00433439j 3.67627e-06-0.00868283j -0.00133115-0.00152439j 0.00118335-0.000954305j 0.00546255+0.00398379j 0.00059381+0.000348252j 0.00287607-0.000542693j 0.00256651+0.00683269j -0.00246706-0.00168204j 0.00229566+0.00468231j -0.0002923+0.0129085j -0.0144882+0.010109j 0.0107114-0.00384964j -0.00483756+0.00458936j 0.0106341+0.0190655j -0.00665724+0.00520691j -0.00373307-0.010674j 0.00842598-0.00230629j 
0.00988855+0.0314207j 0.0412158-0.0107364j -0.00685052+0.0391862j -0.024403-0.00842555j -0.0121373+0.00175622j 0.00222651+0.00989016j -0.00849078+0.00315042j -0.0201146-0.00966698j 0.00683085+0.00629752j -0.00973567-0.00389004j 0.00389043-0.00950273j -0.00413589-0.0150919j 0.00153125-0.00391772j 0.0143451-0.00865838j 8.7165e-06+0.00892952j 0.000245407-0.00628555j -0.00549192+0.0127409j -0.00558651-0.0064798j -0.0107284-0.0107279j 0.00145112-0.00277477j 0.00728645+0.0120949j -0.0078797-0.00327123j 0.00639815+0.00471093j -0.0043539-0.00395993j 0.00232223+0.00423606j -0.000182616-0.00547991j 0.00196732-0.00137207j 0.00730945+0.00778186j -0.0008835+0.00793535j 0.00197626+3.76863e-05j -0.00589422-0.00419752j -0.00459574-0.00271782j 0.00349959+0.000554778j -0.00517513-0.00107579j 0.00677298+0.00802077j 0.0123824+0.00605373j 0.00908551+0.00158988j 0.0047018-0.0025784j 0.00779189-0.00622328j -0.00832983-0.00472781j -0.00559532-0.0101977j -0.00100196+0.0110473j -0.00471833+0.000561913j 0.000662254-0.00909742j 2.10294e-05+0.00886958j -0.00245418+0.00537605j -0.00874514+0.010306j 0.00518427-0.00557284j -0.00450597+0.0111959j -0.00199748-0.00215221j 0.0153508-0.00662215j 0.00232291-0.00473658j -0.0096022-0.0105732j 0.00129677+0.00293315j -0.00652527+0.0131826j 0.00821086+0.00640716j -0.00342309+0.00213701j -0.00100337+0.0196879j -0.000942377+0.00809395j -0.0117491-0.00679775j -0.0105028+0.00164991j -0.018942+0.00132924j -0.0101037-0.0126583j 0.00363418-0.00408438j -0.0124864+0.0111105j -0.0294653+0.00470455j 0.0077667-0.030856j -0.0377682-0.00159165j 0.000428498-0.0342458j 
0.00983693-0.0166883j -0.0182458-0.0097372j -0.00518844-0.0123382j 0.00694088-0.00595011j -0.00121274+0.00814015j 0.00234159+0.0061213j 0.00718201-0.00638233j 0.00997705-0.00055868j -0.00375625+0.00746552j 0.0120616-0.00852627j 0.0049099+0.00939871j -0.00122049+0.0148083j 0.000657984-0.00126888j 0.00150466+0.00895594j -0.0101955-0.00733611j -0.00502136+0.00499431j 0.00662466-0.00102824j -0.00353753+0.00638653j 0.00223023+0.00403093j 0.000309522+0.00182268j 0.00304876-0.00308989j 0.001513+0.00381353j -0.00960733-0.0114611j 0.000345385+0.00230371j -0.00144599-0.00413578j -0.00403232+0.00864546j 0.00487246+0.00353255j 0.000418129-0.00707697j 0.00223513-0.00500011j -0.00901591-0.000317915j 0.00248142+0.00803236j -0.00311622+0.00284083j -0.00847177+0.000439388j 0.0113467+0.0046885j -0.00417344-0.000442197j -0.00127095-0.000682894j -0.00364139+0.00172174j -0.000633125+0.00125448j -0.00600279+0.00347359j -0.00244297-0.00102174j -0.000886309+0.00527727j 0.00869337-0.0055335j -5.72781e-05-0.00298402j 0.00308022-0.000668017j 0.000227454-0.00101249j 0.0015159-0.00357727j -0.000634069+0.00368952j 0.00665462+0.0023761j 0.0109277-0.00572513j 0.00261231-0.00191982j 0.00221855+0.00809699j -0.00269297+0.00224225j 0.00196014+0.00980198j -0.00211566-0.0025323j -0.00550851-0.00774861j -0.0142743-0.00708654j -0.00375111-0.00187277j -0.00107836-0.00439887j -0.00106952-0.00156726j -0.00364166-0.00604927j -0.00254369-0.00168532j 0.0103194-0.0110694j 0.0112737-0.00892062j -0.00205478+0.00183771j 0.0243316+0.0102331j 0.00810284-0.0116635j 0.0185903+0.00743452j 0.0185739+0.0113776j -0.012463+0.0117575j 
-0.0212303-0.00519817j -0.00551626+0.0226036j 0.0206999+0.0106234j -0.0141171+0.0200425j 0.017639-0.0148925j -0.0263037-0.00804662j 0.0156063+0.0201013j 3.88428e-05+0.02543j 0.0117259-0.0192934j -0.00629605+0.00222264j -0.0105066-0.00555841j -0.00226602-0.00019635j 0.00745958+0.00323483j -0.0104519+0.00322461j 0.0091138-0.00479496j 0.0010716-0.0018926j -0.0056417-0.0148818j 7.82833e-05-0.00543997j 0.00657851+0.00247646j -0.00335913+0.00133137j -0.0150054-0.0043455j 0.00282671-0.000748672j 0.00930163+0.00914588j 0.00416654+0.00283669j -0.00903164+0.00274947j 2.09303e-05-0.0104694j 0.00417547+0.000660821j -0.00656837-0.00170352j -0.00150204-0.00378664j 0.00792582+0.00152999j 0.0108516-0.00239767j -0.000563516-0.000134527j -0.00129003-0.000859721j 0.00239122-0.00904643j -0.00315922-0.00183503j -0.00384161-0.00422175j 0.00137763-0.0026277j 0.00523143+0.00197942j 0.00235884+0.00682832j 0.00815997-0.000564099j 0.00768327-0.00489706j -0.00859358-0.00829152j -0.000147982-0.00265312j 0.00284679+0.00655575j 0.00346932-0.00597173j 0.0014387+0.000876437j 0.0136172-0.0161537j -0.000185102+0.000316109j -0.00778263+0.00760692j -0.0097235+0.00281301j 0.00132419-0.00121046j 0.00832878+0.00516658j 0.00147436-0.00720284j 0.000837638-0.00643474j 0.0125308-0.00856135j 0.011744-0.00538283j 0.00936939-0.00295932j -0.0033934-0.0174405j 0.00208902-0.0113646j 0.0145661+0.0263276j -0.00541454+0.0127501j 0.00982919+0.00748108j 0.00571601+0.0167059j 0.0056051-0.0114111j -0.0206319+0.0116328j 0.00238832+0.0237755j -0.0244931+0.00451441j 0.0127145-0.0220469j 0.0222476+0.0144679j 
0.00489351+0.011636j 0.0187649-0.00331458j -0.00405752+0.0222842j -0.0199356-0.00660025j -0.00395499-0.011246j -0.00802257+0.0048103j 0.00117179+0.00261887j -0.00460941+0.00207632j 0.0101019-0.00342503j -0.00912415-0.0108962j 0.00470925-0.00365221j -0.00522145-0.00990448j 0.0036961+0.00040224j 0.0136635-0.00323085j 0.000411895+0.000118869j -0.000313111-0.00163902j -0.00750186+0.00644162j -0.00886088-0.00129988j -0.00605445-0.00703369j 0.00607912+0.000962133j 1.17724e-05+0.006j -0.00620453-0.000297434j 0.00375428+0.00182281j 9.69751e-05-0.00203632j -0.00429687-0.000441508j -0.00148899-0.00656401j -0.0022748+0.00156283j 0.00485126+0.00217251j -0.000704448+0.00496242j 0.00274376+0.000981487j 0.00185178-0.00494639j -0.00449546-0.00545377j 0.00228411-0.000235454j -0.000813866-0.00105522j 0.0066864-0.000904261j 0.00786717+0.00277515j 0.0042972-0.000173939j 0.0049353+0.000202579j -0.00207908-0.00328801j -0.0063926-6.81952e-05j -0.00451649-0.0048756j 0.00081876+0.00414559j -0.00116341-0.00203032j 0.00158221-0.00582268j 0.00434443+0.00300324j 0.00264502+0.0016416j -0.0048589+0.00353568j 0.00477859-0.00132447j 0.00102129+0.0112336j -0.00440278-0.000695698j 0.00609126-0.00587763j 0.00668729-0.00122181j -0.00382487-0.00694661j 0.00128444+0.00434807j -0.00668852-0.000906585j 0.00597561+0.00429195j -0.00164335-0.0041257j -0.00517509+0.0100638j 0.00052973-0.0019246j -0.00572664+0.00741549j -0.0151487+0.00079962j -0.0019447+0.00150879j 0.00702934-0.01478j -0.000135077-0.00153374j -0.00741406+0.0156556j -0.0238615+0.00792164j 0.00379642-0.0223895j -0.0142895+0.0011716j 0.00382149-0.0169974j 
-0.0187317+0.02106j 0.0245393+0.0180146j 0.0191601+0.0206326j -0.0144505+0.0179629j 0.0095781-0.00710708j -0.00926328-0.01189j -0.0115112+0.0115424j -0.0157416+0.0107123j 0.00375966-0.0116517j -0.0160397+0.0140924j -0.0121287-0.0154851j -0.00171884-0.0200854j 0.00531343-0.0012341j -0.0050942-0.0105644j 0.0106092+0.0111949j 0.000745399-0.00844951j -0.00826974-0.00324739j 0.00640436-0.0141665j 4.71644e-05+0.000460351j -0.00854178+0.0012686j -0.00515345-0.00538875j 0.00449014-0.00386772j 0.015343+0.0133735j 0.00141766-0.0014744j -0.000560544+0.00530947j 0.00262222-0.0109302j -0.00457623-0.00371775j 0.00100736+0.00968322j -0.00294804+0.00167359j 0.00725211-0.00261067j -0.000898356-0.011012j 0.000787622-0.00677297j 0.00315543-0.00442178j -0.00867675-0.0053389j -0.00134424+0.00360714j 0.00437146+0.00101734j 0.00115022-6.96105e-05j 0.00163076+5.63483e-05j 0.0152971-0.00134092j 0.00552111-0.00389221j -0.003325-0.013283j -0.0151076+0.00683799j -0.0116112-0.00584854j 0.0037323+0.0118245j -0.00317442+0.00577006j 0.000103859+0.00648113j 0.00667111-0.0085793j 0.00678285+0.00341607j -0.0133695+0.0120739j -0.00496407-0.00427461j 0.00970928-0.00218343j 0.000204389+0.00180314j 0.00216022-0.0162796j -0.0041535+0.00242379j 0.00686348+0.00494786j 0.0166106+0.0075208j 0.00197732-0.00171511j 0.000362488+0.00126177j 0.00998895-0.00617395j -0.00374158+0.00518179j -0.00358697+0.017104j 0.00127574+0.0227837j -0.0161823+0.0124307j 0.0216098-0.0049532j -0.012681-0.00643965j 0.0126741+0.0283527j -0.0155129-0.0199754j -0.0165517-0.0245945j 0.0158164-0.021461j 
-0.0031427+0.0258153j 0.0300481+0.00157499j 0.00533099+0.0185666j -0.0145423+0.00069327j 0.0046723-0.0075942j 8.22701e-05-0.00201697j -0.00961395+0.000937999j -0.0196293-0.00131026j 0.00030145+9.34876e-05j -0.0120659+0.00889671j 0.00225842-0.00299614j -0.00333977-0.0174694j 0.00540421+8.35703e-05j 0.00611806-0.00267682j 0.00437406+0.00957435j -0.0019346+0.00016663j -0.00660716+0.00819683j 0.0020903-0.00576141j -0.0103808-0.00602327j -0.00344553-0.00402262j 0.000944501+0.00236591j -0.00560794-0.00677407j 0.00457574+0.0063794j -0.00398316-0.00647154j 0.00287949+0.00436825j 0.00207591-0.00578624j -0.0109287+0.00016251j 0.00247384+0.0111139j -0.00453672+0.00658392j 0.00141902-0.00219685j -0.00785052-0.00634635j -0.000838413-0.00392443j 0.00604444-0.00511694j -0.00753655-0.00111436j 0.000585917-0.000773592j 0.012579+0.000815056j -0.00108734+0.00480082j 0.00224271+0.00189151j 0.00441751-0.00323072j 0.000511072-0.000239148j -0.00637554-0.0010769j -0.00320343+0.0108445j -0.00165255+0.000189278j -0.00242982+0.000298629j -0.00454945+0.00755858j -0.00270074+0.00177516j -0.0024407+0.00109195j 0.00319095-0.0052057j -0.00806332+0.0122802j 0.00689161-0.00260143j 0.00356407-0.0110597j 0.00619628-0.00114669j -0.00103403-0.0135872j 0.00305474+0.0111511j -0.00118222+0.00303174j 0.00790621+0.00868488j 0.000169923-0.00832823j -0.00128253+0.00999066j 0.00267075-0.00100014j -0.000481305+0.000608073j 0.00233488+0.0096383j -0.0239314+0.0179377j -0.0121812-2.15775e-05j 0.00694647+0.00114482j -0.00858649-0.0098934j -0.0232325+0.0108985j 0.00459548-0.0192601j -0.0282734-0.00192614j 0.0113079-0.0257562j 
0.0125502+0.0166912j 0.0189644-0.0149095j -0.0130618+0.0189083j -0.00894975-0.0110451j -0.00789005+0.00675395j 0.00939837+0.00613676j -0.0126835-0.00540499j -0.00504908-0.0094169j 0.00087041+0.0149974j 0.00400857-0.00114748j 0.0011618+0.00836222j -0.00626605+0.00124884j -0.000850931-0.00596651j 0.00967239+0.00398401j -0.00525886+0.0053745j -0.00242214+0.0035994j 0.00128284+0.0126602j -0.00211676+0.00142794j -0.00322788-0.00164065j 0.000472767-0.00278279j 0.0172807+0.0121326j 0.000251507-0.00631935j -0.0065547-0.00435097j 0.001418-0.00175587j 0.00971687+0.0010756j -0.00394822+0.00348074j 0.000443986-0.00168366j 0.00701265+0.00574154j 0.00168025+0.00495058j -0.00794715+0.000533056j -0.00679237+0.00414967j 0.0016171+5.20227e-05j 0.00135948+0.00362284j -0.00105381+0.00154078j -0.00143652+0.00342935j 0.00745644+0.00156841j -0.002482+0.0019287j 0.000191741-0.00323417j -0.00202229-0.00746104j -0.00235855-0.00206443j 0.000332559-0.00265503j 0.000710484+0.00774594j 0.00481715+0.00696938j -0.00238772-0.0117164j -0.0053322+0.00104775j -0.0071658+0.0028636j -0.00972278+0.0119994j -0.00196506-0.00594802j 0.00614627+0.00136041j 0.00721669-0.00592604j -0.000196226+0.00136522j 0.00194816-0.00287898j -0.0107531+0.00123391j -0.0013307+0.00555309j -0.00167127+0.00476102j 0.00324724+0.00283582j -0.00762441+0.00354852j -0.00479781+0.0119701j -0.00620277+0.0122605j -0.00327427-0.00960736j 0.00501715-0.00419403j -0.0112126-0.0097948j -0.0172113-0.00671913j -0.00849314+0.011388j 0.00657815+0.003273j -0.0189099-0.0182136j 0.0109988-0.0161558j -0.0236687+0.00735097j -0.0110736-0.0123001j 
0.00568434+0.00661854j 0.00822031-0.00571357j -0.0181181+0.00694283j -0.000474607-0.0105507j -0.00961783-0.00453629j 0.00384491+0.00785707j -0.0062825-0.00120324j 0.00146283-0.00601088j 0.00549622-0.00697428j -0.014092-0.0105845j -0.00476091+0.00150387j -0.00432307-0.00270628j -0.000333283-0.00872636j 0.0120921-0.00624276j 2.19842e-05+0.00352918j 0.00488405-0.0042528j 0.00122009+0.00943257j -0.00105909-0.00454234j 0.00669893+0.00205255j 0.00341058+0.0050035j 0.00450382+0.00568421j 0.00412994-0.00462666j 0.000514108+3.48032e-06j 0.00144707-0.0004107j 0.00170158-0.00428257j -0.00250151-8.35293e-05j -0.000590941-0.00244573j 0.00465063+0.00636336j 0.00274487+0.00407362j -0.000397461+0.00577656j -0.00622941-0.0078349j -0.00114753-0.00439781j 0.0046044+0.0031605j -0.00878702+0.000266465j 0.00646454+0.00384188j 0.00145463+0.00359259j 0.00482668-0.000911841j -0.000297498-0.00778481j 0.00303848-0.0101934j -0.0105524-0.00312858j -0.00337372-0.00693298j -0.00275569+0.00590119j -0.00305262+0.00237642j -0.00147922-0.0056926j 0.00321664-0.000856854j 0.00640824+0.000774944j -0.0143976+0.00981983j -0.00300426+0.00637357j 0.00182141-0.00146204j -0.00122417+0.00632682j -0.00172662-0.00411724j -0.00311728-0.00448942j -0.0071997+0.00678686j 0.0012723+0.00668397j -0.00803857+0.00952269j 0.00361168+0.0160846j 0.00782558+0.00547651j 0.0028606+0.0129326j -0.00814984+0.00426107j -0.00746317+0.00287893j -0.0126581-0.00976432j 0.0031182-0.00161458j -0.0109373+0.00566387j -0.0113963-0.00314073j -0.0095136+0.00470286j -0.00552929+0.00756948j 0.00685596-0.0116214j -0.00497052+0.00646802j -0.00971605-0.00701075j 
