0.000137438-0.00724683j -0.0159175+0.0159985j -0.00391406-0.0256658j 0.0078357-0.0141423j -0.01249+0.00244067j -0.0119492+0.00776601j -0.00017918+0.0153027j -0.01289-0.0116687j 0.0111094-0.0111768j 0.0017614+0.0158983j -0.00974948-0.00356457j 0.00655931+0.00295193j 0.0102209-0.00722852j -0.00593898+0.00855951j -0.0137631+0.00146611j 0.0020554+0.00175531j -4.4978e-05+0.000558508j -0.00705746-0.00352392j -0.00146934-0.00497594j -0.00395836-0.00383953j 0.00364839-0.0082856j -0.00227267+0.00399395j 0.00564462+0.0068763j -0.00514683-0.00398852j 0.00400533+0.00170617j -0.00789299-0.00880505j 0.00882133+0.00707934j -0.000142242-0.00283344j -0.00193464+0.00344543j 0.000202031-0.0064287j -0.000338911+0.000392909j -0.0107029+0.0117621j -9.2857e-05+0.00154065j -0.00274997-0.0124j -0.0081402+0.00584742j 0.00903395-0.0168799j -0.012674-0.00853444j -0.0217969-0.00687308j -0.00934436+0.0159118j 0.0136318+0.00760913j 
0.0202639+0.00657633j 0.00234325-0.017128j 0.000640261+0.00364834j 0.0104236+0.00473094j -0.00193555+0.00496775j 0.00215637-0.0052227j -0.0086067+0.00923532j -0.0101794-0.00642367j 0.0054413-0.0115051j -0.00750134+0.00277618j 0.00524313-0.00339947j -0.00422383-0.00378482j 0.0103202+0.000371565j 0.0117329-0.00746071j -0.00321046+0.00744473j -0.0132372-0.0112262j 0.0122484+0.00448425j -0.0139295-0.00528848j 0.00377533-0.0102642j -0.00662357+0.00344803j 0.0106216+0.0123003j -0.0122939-0.00241522j 0.00393198+0.00263259j 0.00535718+0.00584266j -0.000324866-0.00966831j 0.0016154-0.000365525j 4.92186e-05+0.0040011j 0.00271004-0.0052307j 0.000630314-0.0152589j 0.00447585-0.0231041j -0.00124388+0.0039373j 0.00149147+0.00340245j -0.00795996-0.0102557j 0.00710712+0.00163483j 0.00487669+0.000534754j 0.0127451-0.00413426j -0.0181532+0.000886113j 0.0186773-0.0107844j -0.0276413-0.011675j -0.00384848+0.0263253j 
-0.023643-0.00893067j -0.00332692+0.0146069j 0.00458696+0.001668j -0.0144806-0.000780641j -0.00124497-0.0102772j -0.00836487+0.0101838j 0.00288151-0.00462967j 0.0144665+0.00164103j 0.00251003+0.0140528j 0.00153379+0.00240873j -0.0109193+0.00249859j 0.00539825+0.0114109j -0.00229883-0.004025j -0.0153576+0.0115624j -0.00939283+0.000169018j -0.00497868-0.00506405j 0.00241467+0.00261216j 0.000618251-0.000571897j -0.00281953-0.00339581j -0.00160327-0.00629104j 0.00210552+0.00804754j -0.00359318-0.00361369j 0.000704756+0.00396499j 0.00425026+0.00839624j 0.00186562-0.00352329j -0.0109034-0.0155033j 0.016952+0.0071082j 0.00104048+0.00268609j 0.00250401-0.00830497j -0.00102408+0.0047837j 0.00737792-0.00711261j -0.0225856+0.0154535j -0.00699432-0.0140326j -0.00599524+0.00102706j -0.0138205+0.00507138j -0.00530314-0.020752j -0.0244571-0.0130114j -0.00428792+0.00402062j -0.0147452+0.000260537j -0.00295886+0.0173716j 
-0.0310313-0.00314769j -0.000377592-0.00562433j 0.00689909+0.00478717j -0.00829141+0.00515157j -0.00911923-0.00932194j -0.00696831+0.0137979j -0.00356623+0.0127347j -0.00266735-0.00302976j 0.00486638-0.00549299j -0.00924552-0.00480636j 0.000585204+0.0140125j -0.00329155+0.00696507j 0.00707498-0.00951458j 0.00627254+0.00205571j -0.00682352+0.00433901j -0.0171613-0.0108767j 0.0178972-0.000984099j 0.00123411+0.00521939j 0.00864998+0.00495232j 0.00200238+0.00581183j 0.00541618+0.0237112j 0.00162079-0.00706912j -0.0137613-0.0124567j 0.0125789+0.00445239j -0.00765067-0.00825955j 0.00648962+0.00159407j 0.000906989-0.00658789j 0.00136498+0.00493468j 0.000144451-0.00594232j -0.0109362+0.0147312j 0.00576953-0.0102499j 0.00383262-0.00799213j -0.0074524-0.00675107j 0.00318877+0.0140508j -0.000987439-0.00540069j -0.0167838+0.00748238j 0.00477803+0.0149079j 0.0178487-0.000329808j -0.00124401-0.00382479j 0.00308781+0.00173836j 
0.0146263+0.00194037j 0.00745008-0.0146675j 0.00139173+0.01463j -0.00842784-0.00358467j 0.000334444-0.0177554j -0.0105956+0.00913137j 0.014904+0.00381857j 0.0116336+0.00420782j 0.00401345+0.00479089j 0.00872587+0.0161999j -0.00268624-0.0102044j 0.0103461-0.00291207j 0.0037098-0.00184987j -0.00538493+0.00314843j -0.00233462-0.00361101j -0.00727823+0.00767615j -0.00336468+0.000413335j -0.00900781-0.00805246j -0.00670654-0.0100107j -0.0130663-0.00268342j -6.72215e-06-0.00639094j 0.0109916-0.0136852j -0.0136449-0.00132134j 0.0234486-0.000685881j -0.00245786-0.0276006j 0.00660405+0.0032737j -0.0114023+0.00430092j 0.00679388+0.0028763j -0.00553001+0.029715j 0.00383347-0.00252861j 0.0215773-0.0143339j 0.0170914-0.0107709j 0.0111566-0.01852j 0.0182869+0.00357385j -0.0104145-0.0194944j -0.00382952+0.00563438j 0.0125052+0.00256407j 0.00791271-0.00149166j 0.00792101-0.00353182j -0.00160186-0.0069698j 
-0.0139448+0.00260296j 0.0082813-0.0244128j 0.00620421+0.0137089j 0.00145697+0.0146938j 0.00570084+0.00191133j 0.00854858-0.00335571j -0.000256074+0.00487503j -0.00187383+0.0116798j -0.0132982-0.000809436j -0.0142689-0.0179347j -0.00289594+0.0255846j -0.00113784+0.02024j -0.00490492-0.00590939j -0.00836265+0.0136425j -0.0052775-0.00381269j 0.0125385-0.000242987j -0.00369971-0.00364286j 0.00496496+0.00457501j 0.00243421-0.00811939j 0.00961002+0.00135728j -0.000248235-0.0113288j -0.00584835-0.00179533j -0.00638716-0.00246736j -0.00878266-0.0029359j 0.00150964+0.0124778j -0.00463465-0.0199011j 0.0263234-0.0052282j 0.000926888+0.00316666j 0.00118349+0.00548623j 0.00971738+0.0192413j -0.00262144-0.0067214j -0.0236602+0.0175872j 0.000196239+0.00177761j -0.00762635-0.00846001j -0.0153761+0.010768j -0.000342965-0.0134255j -0.00719457-0.0224177j -0.0276024-0.000312656j 0.00156588+0.0136792j 0.00311453+0.000334951j 
0.00435023+0.0013134j -0.00100972-0.0155446j -0.00368572+0.00658096j -0.0107267-0.00521349j -0.0167973-0.005363j -0.00848537+0.0249944j 0.00359667+0.0163985j -0.00544488-0.000737207j 0.00536418-0.00417896j -0.0154975-0.0026625j 0.0138804-0.0077622j -0.0180718-0.00120057j 0.00262589+0.0166014j 0.00698227-0.0226544j 0.0153716-0.0103894j 0.0064568-0.00547424j -0.00620675-0.00255921j 0.0136936+0.00477205j -0.0260907+0.00530391j -0.0143046-0.00359091j -0.0103001-0.0181837j 0.000406621+0.00577099j 0.00159796+0.0166401j 0.00530365-0.00585416j -0.00734344-0.0071799j -0.0172907-0.000285676j -0.000228067-0.000320867j 0.00212468-0.00568606j 0.00396353+0.0110084j 0.00328187-0.0124393j -0.00323186-0.00752336j 0.00507615+0.0102153j -0.00471201-0.00566628j 0.00271532-0.010541j -0.00367445+0.00935166j -0.00292631-0.00854801j -0.0100845-0.00117864j -0.00907071-0.00197352j -0.00308801+0.00471177j 0.00444548+0.00291452j 
-0.0287704+0.00194262j -0.0116074-0.00706031j -0.00382025-0.00741894j 0.00624294-0.00393409j -0.00469324+0.00644999j -0.00167285+0.00455058j -0.00105654+0.0164668j -0.00879395-0.000560423j 0.00645204-0.00382871j -0.0147349+0.00791369j 0.00779528+5.98428e-06j 0.00520001-0.00349558j 0.00122083+0.00426878j 0.0054259+0.00617119j -0.00170806-0.00266056j 0.0105728+0.00525814j -0.00574306+0.00705227j -0.0308141-0.00679299j 0.0101877-0.0271707j -0.000463461+0.0156892j 0.00320355-0.0129867j -0.00557423-0.0161233j -0.0086053-0.0110909j -0.000622713-0.00675642j -0.00071229-0.00961256j 0.0314005+0.0079817j -0.010198-0.00537834j 0.00571758-0.00318189j 0.00487464+0.0194634j 0.0161434-0.0148189j 0.00087043+0.00149872j 0.0253524-0.0220756j 0.0143911-0.0053493j 0.017462-0.00235771j 0.00616415-0.0136153j 0.017109+0.0194782j 0.0217457-0.00147612j 0.0110615-0.0014151j 0.0110596-0.015254j -0.00856568-0.0127803j 
-0.00276626+0.000755333j 0.00299034-0.00999221j 0.00808931+0.0163047j -0.0137985+0.00342527j -0.00235876-0.0158525j -0.00367839+0.0124045j 0.0189796-0.00550605j 0.018891+0.00278357j 0.0063966+0.0100705j 0.015487+0.0157185j -0.00638749-0.015496j 0.0115646-0.00748675j -0.00621858+0.00327349j -0.00633682+0.00815941j -0.00165178+0.00399987j 0.00607215+0.0139393j -0.00687341+0.00538989j -0.0180855-0.00388894j 0.000927222-0.0119926j 0.00751123+0.00297674j 0.00790932-0.00903029j -0.0125521+0.00832887j 0.0207695-0.00478331j -0.0172427-0.00290975j 0.00677038+0.0136026j 0.00956329+0.00544349j -0.000470129+0.00209572j -0.00406277-0.00633625j -0.00512578-0.0162002j -0.000575219-0.0226102j -0.0132556+0.0178628j 0.00344024-0.00232793j -0.00335918+0.0163893j -0.00271966-0.00902727j 0.0130899+0.00487984j 0.015243+0.0015733j -0.00616952+0.0034678j 0.00306845-0.00887252j -0.00807936+0.00288979j 0.00250825+0.00912064j 
0.0119499-6.78964e-05j 0.0024188-0.0165891j -0.00618872+0.0113402j -0.00175973+0.0059929j 0.00270585+0.0162129j 0.0121899+0.00393095j -0.00987962+0.00770586j 0.000967269-0.00114795j 0.00755796+0.0107572j -0.0257844-0.00238923j -0.00534222+0.0229746j 0.0143924+0.0226405j -0.0023563-0.00351417j -0.0137936+0.0308081j -0.0131885-0.0040812j 0.002515-0.00271573j 0.00607548+0.00622552j -0.0210437+0.0138567j 0.00173069-0.0179062j 0.0196104+0.0189126j 0.00330462+0.00141582j -0.0130829-0.00571595j -0.0138347-0.0225974j 0.0030028+0.000972322j -0.00784953+0.00272395j 0.0159393-0.0139765j 0.0200377-0.0183124j -0.000828638+0.00304696j 0.000907341-0.00158831j -0.00960532+0.0112772j 0.00591893-0.00795245j -0.00244533-0.00260993j -0.0104946-0.00504399j -0.00140135+0.00366706j -0.00639501-0.00283099j -0.0144085-0.00673864j -0.00355548+0.00704324j -0.00106321+2.26294e-05j -0.00309297+0.00978691j 0.0103504+0.00349496j 
-0.0102662+0.00359846j -0.0111382-0.0106815j -0.00176263+0.0169453j -0.0141159-0.00472025j -0.00704046+0.00461904j 0.0021113+0.0143472j 0.00112563+0.00268743j -0.00699604-0.00596314j 0.0102706-0.00562044j 0.00226969+0.00188523j 0.00157192-0.0143546j -0.00934986-0.00460531j 0.00194394+0.00951468j 0.00199776-0.0154128j 0.00655169-0.00177881j -0.0018131-0.00509766j 0.00173121-0.00338914j 0.0231867-0.00189965j 0.00116103+0.0155306j 0.00523098-0.0197584j 0.00472281+0.00613967j 0.00897785+0.0208102j 0.0097531+0.00271885j -0.0130403+0.0133752j 0.018182+0.0158745j -0.00993747+0.000398228j -0.0100397+0.00615857j -0.00738377+0.00220267j -0.0178604-0.0239072j -0.00820148+0.0059798j -0.00415409+0.0236745j -0.0147263+0.00480113j 0.0059493+0.0221952j -0.0106832+0.00620771j 0.0163047+0.00139237j 0.00436175-0.000489165j 0.000947389+0.00155961j -0.00235134-0.00673834j -0.00436185+0.00156468j 0.00224609+0.00373469j 
