-0.357176-0.067338j 0.0524774-0.361824j -0.0281122+0.100955j 0.182477-0.0112295j -0.148797-0.168157j -0.108588+0.0859199j 0.121046-0.0349095j -0.109442-0.201243j -0.0503644+0.202918j 0.0615207-0.0262517j 0.145444+0.0251925j -0.0517454-0.0302361j 0.0305971+0.0271444j -0.135418+0.236757j -0.148107+0.0138767j 0.118245+0.0874075j 0.0723228+0.0877589j 0.177417-0.100328j 0.116526+0.0871859j -0.0142353+0.0533387j -0.021686+0.364381j 0.364988+0.0159762j 
0.0190789+0.000436448j -0.00247939+0.0220566j -0.0185609-0.00275631j -0.0118159+0.00484629j -0.0109087+0.00660058j 0.000724968+0.0134433j -0.00266704+0.00407285j -0.0033514+0.00108291j -0.0104636+0.00326116j -0.00720268-0.0240853j 0.00121948-0.00944207j 0.0138916-0.0140087j -0.0136232-0.00819374j 0.0100294-0.00766473j 0.0197593-0.012765j 0.00632776-0.011444j 0.0076288-0.00103623j 0.00875077+0.00834191j -0.0187852-0.0028891j 0.00416326+0.0023171j 0.00167553-0.00838488j -0.00890397-0.000403991j 
-0.00809438+0.00177544j -0.00172546-0.011443j 0.0144701+0.00203974j 0.0165302-0.00871519j 0.0100094-0.0037287j -0.0117385-0.0149085j 4.0274e-05+0.000688967j 0.00930415+0.00351142j -0.00702283-0.00344496j -0.00805082+0.0104326j 0.0037663-0.0150812j 0.00185491-0.00235746j 0.00946531-0.00575697j 0.0161975+0.000352093j 0.00217639-0.00668135j 0.000583774+0.00603501j 0.00853886+0.00359746j -0.0013629-0.00119751j 0.0020113+0.00172757j -0.011812+0.00104319j -0.00417023+0.00946561j 0.00790269+0.00175862j 
-0.00440058+0.00178039j -0.000518473-0.00502971j 0.00619902+0.0107588j 0.0106912+0.00655878j 0.0184008-0.00981912j -0.00271916+0.00923126j 0.0126335+0.0144429j -0.00641227-0.0115575j 0.00763415-0.0110634j 0.0205931-0.00114871j -0.00531191+0.024948j 0.0094854+0.00362406j -0.00274886-0.00877451j -0.0166262-0.00221232j 0.00671755+0.0215319j 0.0167029+0.00105755j -0.00142604-0.00968357j -0.0051549-0.0178433j 0.0105096+0.0114917j -0.000270538-0.0148255j 0.00573269+0.00400855j 0.00485605-0.00506713j 
-0.00564081+0.0012608j -0.00179687-0.00765964j -0.000271865-0.00523849j 0.00428747+0.000822352j -0.017418-0.0078954j -0.00496224-0.0232267j -0.0118507-0.00971025j 0.0075845-0.0039468j 0.0101635+0.00171831j 0.017366+0.0179042j 0.000720239+0.021895j -0.00563259+0.0303949j 0.0131549+0.0156177j -0.0198733+0.0174408j -0.0211093+0.0253239j -0.0163001+0.0131706j -0.0219153-0.00223845j -0.0122952+0.0138207j 0.00183789-0.00683726j -0.00915745-0.0180094j 0.00722975+0.00341239j 0.00435081-0.00709101j 
0.00403492-0.000222857j -0.00128722+0.00591426j -0.0203071-0.00523944j 0.00331012-0.00271018j -0.00301883-0.0253853j -0.00933611-0.00388522j 0.0157308+0.0215304j 0.0104895+0.0126793j 0.0181774-0.00180093j -0.0196775+0.00381958j -0.00155903-0.01209j 0.00466683+0.022334j -0.00628554+0.0225382j -0.000237663+0.00357499j -0.0136547+0.00460728j 0.0196579-0.00440942j -0.019818+0.0156761j -0.00626982-0.014219j -0.00363892-0.00203775j -0.00500713+0.00497518j 0.00247147+0.000376859j 0.000737629-0.00093337j 
0.000421276-0.00214323j 0.00196918-0.00239128j 0.00954966+0.00395885j 0.0185886-0.00399141j 0.0220581-0.0188683j -0.0112613-0.00232283j 0.0162479+0.0105025j 0.0111399+0.00422996j 0.000677783-0.013174j -0.00372016+0.0111623j -0.00101243-0.00474892j 0.00738794+0.00122445j 0.000387181-0.00719598j 0.00930612-0.00975799j 0.0081694+0.00198883j 0.0184007-0.00772994j 0.00374275-0.000933261j -0.0174982-0.0196713j 0.0151718+0.00461204j -0.0121197+0.00190377j 0.00194427+0.000996887j -0.000253072-0.00315578j 
-0.000973754+0.00291939j -0.00566304-0.00135094j -0.0092682+0.00807492j 0.00498981-0.00174735j -0.0213482+0.00856081j -0.0178369-0.00823266j -0.0145788-0.005108j 0.0237596+0.0157985j -0.00975745+0.0162976j -0.00662173+0.0173017j 0.00457547-0.00510351j -0.00415108+0.0179103j 2.08685e-05+0.00504986j 0.0210082+0.00511844j -0.0128243-0.00937068j -0.00873787+0.0129875j -0.00219507+0.0131083j 0.00246183+0.0190679j -0.0101078-0.00126489j -0.0150553+0.00828128j 0.00095635+0.00996862j 0.0086728-0.00178238j 
0.00799643-0.00843681j 0.00753241+0.00774974j 0.0011209-0.026054j 0.00169627-0.00468216j 0.0120691+0.00429918j 0.0121352-0.0171959j -0.0161326-0.0107081j -0.0165388-0.0273986j 0.0200349-0.00702509j 0.0013389-0.00801513j 0.00129757-0.0415194j -0.00100079-0.015556j 0.0325065+0.00116193j -0.0082451-0.00629072j -0.00235687+0.0125508j -0.0134178+0.00072265j -0.0015723-0.010558j 0.00197895+0.00673763j -0.00652875-0.00655798j -0.0075487-0.00296259j -0.000581116-0.0017722j -0.00303913+0.000667091j 
-0.0104818+0.00230318j -0.000567825-0.0113046j 0.0116141+0.00152198j -0.00928553+0.00373224j -0.00313419+0.0197363j 0.006271-0.00255036j -0.0166405-0.00694045j -0.0112476+0.000528758j -0.00995708+0.0101842j 0.00941956-0.00768654j 0.0022502+0.0208027j -0.0098088-0.0030586j -0.00546519-0.00910943j -0.00470365+0.0103488j 0.000509133-0.00351581j -0.0117502+0.0135566j 0.00538987-0.0087493j 0.0172918+0.00707898j 0.00170445+0.00303802j 0.00890622-0.00541321j -0.00280346+0.000707244j 0.00149984+0.00212088j 
-0.00226681-0.0004804j 0.000321491-0.00729305j 0.0258346+0.00267093j 0.0168664-0.00413722j 0.0195574+0.000524991j -0.00812986-0.00962861j -0.0073019-0.0057339j 0.00983765+0.00276729j -0.0142806-0.00233816j 0.0104766+0.0137786j 0.0056391+0.00558544j -0.00516923-0.00488618j 8.33267e-05-0.0185314j 0.0113165-0.00612875j 0.0092359-0.00658285j -0.00815044+0.00665181j 0.0101876-0.0132853j -0.0102081+0.00345803j 0.0163588-0.00263569j -0.0103004+0.000495129j 0.00374499-0.000955415j -0.00294712-0.00640465j 
-0.0117359+0.0107882j -0.00966269-0.0101095j 0.00311578+0.0228351j 0.00185567+0.0058977j -0.0109613+0.00651103j -0.000213229+0.0196651j 0.0102194+0.00312839j 0.00782157+0.00121772j -0.00980541+0.015647j 0.0048239-0.00231453j 0.0124159+0.0271736j 0.00114723+0.00525033j -0.0156054+0.00971486j -0.00335021+0.00402484j -0.00690681-0.00831147j 0.00788738+0.00511195j -0.00103143+0.0117674j 0.00922724-0.00195468j -0.00250357+0.00669491j 0.00912585-0.00302508j -0.00378848+0.0128936j 0.0143986+0.00405729j 
0.0155871-0.00349415j 0.00348113+0.0186936j -0.0217091-0.000380924j -0.00759932+0.00873583j -0.00658706+0.000594828j 0.00807355+0.00569821j 0.00429678+0.00230511j -0.00479649+0.000610032j 0.0109137-0.00362818j -0.00863789-0.00493273j -0.00327913-0.0122175j 0.00325338-0.000376703j 0.0040657+0.00870086j -0.00354686+0.00021669j -0.00152603+0.00459176j 0.000591786-0.00829948j -0.00269451+0.00863451j -0.000555366+6.57604e-05j -0.0118796-0.00159915j 0.00574741-0.000843794j 0.00317906-0.00648494j -0.00546082-0.00185003j 
0.0106721-0.0083601j 0.00804184+0.0116601j -0.0154652-0.00533111j -0.00751118+0.00618072j -0.00426134+0.00190618j 0.00284765-0.00326175j -0.00236846-0.0030813j -0.00333798+0.00423082j 0.0062468-0.00614411j -0.00638821+0.000346961j -0.00738628-0.00898707j -0.000687843-0.00100586j 0.00601066+0.000134142j 0.00280408+0.000900587j 0.00278902+0.00480052j -0.00307705-0.00574486j -0.000525972-0.00107251j -0.00257381-0.00171084j -0.000803293-0.00189159j 0.000549285+0.00313938j 0.00394462-0.0102577j -0.0100033-0.00351104j 
