0.000367455+0.00802086j -0.00695992+0.00316763j -0.00591588-0.00693091j -0.00260486+0.00162921j 0.00333429-0.00473454j 0.0142912+0.00891032j -0.000645458-0.0139707j -0.0123121+0.012099j -0.0010763-0.00931796j 0.000432415-0.0102717j -0.00296027+0.00614565j -0.00349941+0.00031667j -0.00136088+0.00608029j -0.00767392-0.00446849j -0.00231893-0.00417357j 0.0206485-0.00382615j 0.00638185-0.00634804j 0.0158954+0.00662689j 0.0144868+0.0159003j 0.0115069+0.00805742j 0.00805555+0.00303627j 0.00216832-0.0315018j -0.00297127-0.0164525j -0.00349934-0.00282928j -0.0063127-0.00113964j 0.00615438-0.0131016j -0.00472157-0.00123475j -0.00208234-0.00394931j -0.018902+0.016868j -0.0170351+0.01165j 0.0054903-0.000244819j 0.0222389-0.0112337j -0.0200022-0.015077j 0.00374244+0.0171383j 0.04739+0.0270319j -0.0260026+0.0446449j 
-0.0108808-0.00481833j -0.016466+0.00821982j 0.013052+0.0043419j 0.00546899-0.0229017j -0.0251906-3.80434e-05j -0.0103621-0.00122405j 0.0198908+0.0131892j -0.000209311-0.014247j 0.00709106-0.000128533j -0.00810944+0.00337237j 0.0104316-0.00854826j 0.00824366-0.0160205j 0.00888921-0.00538983j -0.0128661+0.000796999j -0.0129708-0.0053655j -0.0109915-0.0171847j 0.00206742-0.00310501j 0.0058029+0.00953368j 0.00165665+0.00835996j -0.00549499+0.00146448j -0.00631794-0.000285402j 0.00700907+0.00193506j 0.00302125+0.00648819j 0.0024251-0.00686446j 0.00365765-0.00179407j 0.0103828-0.012485j 0.00786555-0.0130412j 0.00422942-0.007245j 0.00854976+0.000275502j -0.00464008-0.000736687j 0.000545089+0.015817j -0.0104254+0.00387101j -0.00709456+0.0200243j -0.0350594-0.00369204j 0.00298148+0.0305639j -0.0280029-0.00639375j 
0.0204152+0.00958908j 0.0221126-0.0262163j -0.0119186+0.000684557j 1.41128e-05+0.00673838j 0.00245229-0.00266714j -0.00522001+0.00145423j 0.00923482+0.0107229j 0.00989696-0.00833219j -0.0167278+0.00265694j -0.00105768+0.0292586j 0.00280362-0.00445219j -0.00137527+0.0204429j 0.00291263+0.00819514j 0.0275784-0.000783552j -0.014029-0.00389788j -0.00146457-0.000275694j 0.0129763-0.000111706j -0.00573825+0.00446143j 8.16095e-06+0.00173063j 0.00774256+0.00733344j 0.0241856-0.00149707j -0.00257838-0.0107956j -0.00538178-0.029024j 0.00617815+0.0209336j 0.00742102-0.00408922j 0.00473026+0.0119151j -0.00208249+0.000174703j -0.0168894+0.0195067j -0.0306476+0.00197515j 0.00569122+0.0139148j -0.0183886-0.00435627j 0.0220579-0.0193215j -0.0116957-0.0284524j 0.0171345+0.00217636j 0.00107134+0.0111218j -0.0120454+0.00111784j 
0.0136843+0.011974j 0.0186687-0.0215262j -0.0197447+0.000170448j 0.000703505+0.018336j 0.0109646-0.0103196j 0.0213017+0.00586584j 0.000176069-0.0181677j 0.00814115+0.00154147j 0.00655969+0.0136174j 0.00950533-0.0127778j -0.000888371+0.0128607j 0.00129022+0.000423865j 0.00116585+0.0135414j -0.0101473+0.00783877j -0.0061127-0.000282675j 0.0170557-0.0132025j -0.0281518+0.0104648j 0.0211907+0.0189926j -0.0141517+0.00641493j -0.0237231-0.0120516j -0.0257883+0.0145064j 0.0237015+0.0332128j 0.0147638+0.0144754j -0.00906206-0.0341687j 0.00557709-0.00404815j -0.00277292-0.0213563j 0.0137549-0.0119114j -0.00933583+0.00143185j 0.0196629-0.0279748j 0.00561152-0.00702962j 0.000275546+0.0140134j -0.0391042+0.0274151j 0.00816272+0.0342892j -0.0408211-0.016122j -0.0206651+0.0133259j -0.00650865-0.0208824j 
-0.00722086-0.00073819j 0.00039631+0.00508535j -0.0104372-0.000584762j 0.00553005+0.018487j 0.0129854-0.0226377j 0.0221897+0.00156283j -0.00506824-0.0164351j -0.0283995-0.0113207j 0.030005-0.0228257j -0.0232487-0.0196701j -0.002714-0.00267473j 6.73968e-05-0.0379645j 0.000197898-0.0191122j -0.0252287-0.000687995j -0.0050902-0.00832646j -0.0140966+0.00209447j 0.0167399-0.0114097j -0.0224517-0.000974787j 0.00522134-0.000158295j 0.0163308+0.0206955j -0.0143068-0.0116304j -0.0101846-0.0103827j 0.00530102+0.0220957j 0.00446289+0.0138899j -0.0120304+0.0122695j 0.0120431+0.00501435j -0.00234759+0.00750082j 0.0301718-0.0360398j 0.0162587+0.0200581j -0.0209253-0.0122491j 0.00634958-0.00329644j 0.0193351-0.00549354j -0.00343545-0.0121399j 0.00963839-0.00038395j -0.00988378-0.00261131j 0.00233304-0.00920325j 
-0.0293155-0.00666556j -0.000909645+0.037345j 0.0104409+0.00598682j 0.0093896+0.0102246j 0.0176449-0.0025015j 0.00881261-0.00600242j -0.0167941-0.0047106j 0.022924+0.006974j -0.00809131+0.0162j 0.0125255+0.000716359j 0.00133565+0.0193652j 0.00161513+0.025797j 0.00228267+0.0267204j 0.0137375+0.00188269j -0.0184898+0.000600752j 0.0300286-0.010722j -0.00812499+0.00348631j 0.01251+0.0187104j -0.00904693+0.00639044j -0.00440149+0.00186388j 0.00577319+0.00152455j 0.0100285+0.0103709j 0.000661171-0.0208981j 0.00526745+0.000378343j 0.00543586-0.00518494j 0.00115861+0.00331046j 0.00403993-0.00272555j -0.0193889+0.0158449j -0.0158226-0.0115748j 0.00872779+0.0100938j -0.0165936+0.00120651j 0.00710677-0.0052755j -0.0017235-0.0170981j 0.00779827-0.00623074j -0.0162817-0.00158559j 0.00179958-0.0134509j 
-0.00426675+0.00698363j -0.000970191-0.00233846j 0.000564837-0.008572j -0.000521144-0.00874279j -0.0137877-0.0190926j 0.0215292+0.0140966j 0.022596-0.015546j -0.00735302+0.0072383j -0.0129067-0.00296752j 0.00260781+0.0164813j -0.00239135-0.00378465j 0.00537047+0.00729612j -0.0035423+0.0097987j 0.0051682-0.00637549j -0.0304413-0.000799284j 0.00342152-0.00748956j 0.0183989-0.0034316j 0.011025+0.000957089j 0.00514967+0.00817535j 0.00774728+0.00715534j 0.0276774-0.00243013j 0.000337671-0.0109054j -0.00713187-0.024182j 0.00247588+0.0196339j 0.00485641-0.00653021j -0.00590511+0.0139988j -0.00441843-0.0242801j -0.00857468+0.00831324j -0.00642602+0.00371297j 0.0200131+0.0114173j 0.00597244+0.00740779j 0.015821-0.00979348j 0.00494754+0.0117988j -0.00818057+0.0170862j 0.00377827-0.011893j 0.00800732-0.00615695j 
-0.00718503+0.00807704j 0.022399+0.0116355j 0.00958975+0.0309688j 0.0427552-0.00661743j 0.00196357-0.0301782j 0.0143553+0.00161068j 0.0154417-0.0171183j -0.0114023-0.0180437j 0.00093172+0.0112112j 0.0223337+0.0226046j -0.00877975-0.0155607j 0.00497434+0.0150409j -0.00232009-0.00802549j 0.028144-0.00717375j 0.00904431+0.0027815j -0.0171195+0.0156019j -0.00333859+0.0061489j -0.0020554-0.0094102j -0.00197575-0.0070284j -0.0172217-0.00813527j 0.00199079+0.00285045j 0.00449082+0.00797794j -0.00670575-0.000922308j -0.00787015-0.01053j 0.00661148-0.0124876j -0.00868587-0.00670726j -0.00182903-0.00175943j -0.0113584+0.0347256j -0.0126294-0.015063j 0.0194814-0.000128662j -0.00527227+0.00380417j -0.023767+0.0102931j 0.00295224+0.0143514j -0.0135724-0.00186932j 0.00950039+0.00983041j -0.0083152+0.0105353j 
0.0171202-0.0145686j 0.0151509-0.0126937j 0.0209284+0.0233376j 0.00801834-0.0164717j 0.00604531+0.000105132j -0.0179922+0.011592j 0.011029+0.00656244j -0.017455-0.0162498j 0.0184792-0.00897804j -0.00930751-0.00974398j -0.00258039+0.000896445j -0.000458703-0.00695577j 0.00308365-0.0123536j -0.00718108+0.00591303j -0.0204298+0.000749451j 0.000301431-0.00654765j -0.00693075-0.00825824j 0.0121736+0.0125766j 0.00988813+0.00740742j 0.00360675+0.0155938j -0.0192804-0.000460839j 0.00579806+0.00441294j 0.00324548+0.00388631j -0.000913675+0.00345237j -0.00401376+4.28423e-05j -0.00768328-0.0250666j -0.0044323-0.00209016j 0.00885084-0.00687768j -0.000211496+0.00549602j -0.00901634+0.00735984j -0.0115741+0.0252915j 0.0116964+0.00187695j -0.00920816-0.00306492j -0.00951166+0.0168086j 0.0225854+0.00704825j -0.00649822+0.0179996j 
0.00340507+0.02736j -0.00738267+0.00470729j -0.00833498+0.0045958j 0.0211492+0.0070504j 0.0130805-0.00176249j -0.0099809+0.000208974j -0.0048272+0.010773j -0.00313992+0.00824647j -0.0210195+0.00157724j 0.00868651+0.00418872j 0.00231679-0.0152413j 0.00134772+0.00241823j 0.00108541+0.00140419j -0.00534128-0.0131996j 0.0114256-0.00535344j 0.000158254+0.00514783j 0.00823947+0.00316684j 0.0019232-0.000971273j -0.0076477+0.00807501j 0.000523545-0.0103452j 0.021431-0.00277496j -0.000522332-0.00695839j -0.00568944-0.0133729j -0.00789864-0.00502273j -0.00433364+0.00186571j 0.00985393+0.00611322j 0.00432022-0.0160544j -0.00178745+0.00216005j 0.00278019+0.00505482j 0.00160075-0.00528178j 0.00329951-0.00792158j -0.00198897+0.00689779j 0.000379125+0.0128233j -0.0190066-0.00442148j -0.00358137+0.0109197j -0.00393515-0.00385696j 
0.01166+0.0245185j -0.0139178+0.00421025j -0.000149999-8.10355e-05j 0.0171666-0.00662357j 0.00294009-0.00823082j 0.00025615+0.00834202j 0.010167+0.00126578j 0.00691999+0.00675474j -0.0144863+0.0104178j 0.00640331+0.00878869j -0.00191812-0.00860536j 0.00377351-0.00269402j 0.00363318+0.00378249j -0.00170468+0.0026681j -0.0206957+0.00955533j -0.0112362-0.0112742j -0.0265985+0.0095163j 0.0038398+0.0125122j -0.0199-0.0124304j -0.00324436+0.00672098j -0.0126519-0.00448457j 0.00618988+0.0262956j -0.00258833-0.00338355j -0.00239629-0.00129383j -0.0113192+0.014367j -0.00698665-0.00870526j -0.00904915+0.00643139j 0.00324888+0.00518404j 0.00164792-0.00395711j -0.00378828-0.00984905j -0.0096654+0.0131852j 0.00155521+0.00605588j 0.0130764-0.0103538j 0.00672549+0.016231j -0.00719155-0.00725089j 0.00127088-0.00823582j 
