-0.317286-0j -0.00585466-0j -0.253436-0j 0.247189-0j -0.221217-0j -0.00474281-0j -0.20693-0j 0.311066-0j -0.143365-0j -0.00418277-0j -0.147838-0j -0.00396812-0j 0.203921-0j 0.255358-0j -0.187001-0j -0.128031-0j 0.182392-0j -0.120709-0j 0.124875-0j -0.00283496-0j 0.262953-0j -0.00365992-0j 0.168777-0j -0.0014087-0j -0.0746848-0j 0.240043-0j -0.0862386-0j 0.12617-0j 0.118954-0j 0.223439-0j -0.00150964-0j 0.148959-0j 0.0973788-0j -0.0168731-0j 0.171495-0j 0.0367994-0j 0.155668-0j 0.0921637-0j 0.0515584-0j 0.0695708-0j 0.0263274-0j 0.00510113-0j 
0.0322813-0j 0.0343801-0j -0.025051-0j 0.0260523-0j 0.022507-0j -0.0270582-0j 0.0210534-0j 0.0162464-0j 0.0145862-0j 0.0245623-0j -0.0442675-0j 0.0233019-0j -0.0208802-0j 0.00886501-0j -0.0184843-0j -0.0126553-0j 0.0192231-0j 0.0122812-0j 0.0131611-0j -0.0489951-0j -0.0133427-0j -0.0208802-0j 0.00438796-0j 0.00827229-0j -0.037344-0j 0.012537-0j -0.0258227-0j -0.0391354-0j -0.0121801-0j -0.00753606-0j -0.043568-0j 0.00517126-0j 0.00202357-0j -0.015206-0j -0.0263607-0j -0.0267075-0j -0.00393193-0j -0.0157245-0j 0.000892312-0j -0.00425482-0j -0.000379273-0j 5.87985e-05-0j 
-0.0326158-0j 0.0335327-0j -0.0260523-0j 0.0263064-0j -0.0227403-0j 0.0271646-0j -0.0212716-0j -0.014738-0j -0.0147374-0j 0.0239569-0j -0.0151972-0j 0.0227275-0j 0.0217017-0j -0.0423337-0j -0.0192231-0j -0.0131611-0j 0.0194106-0j -0.0124084-0j 0.0132895-0j 0.0162373-0j -0.0124585-0j 0.0209623-0j -0.0464899-0j 0.00806839-0j -0.00767732-0j -0.011373-0j -0.00886501-0j 0.0134273-0j 0.0126593-0j -0.037042-0j 0.00864651-0j -0.0246946-0j -0.0371644-0j -0.00173449-0j -0.00812524-0j 0.00391628-0j -0.0428791-0j -0.015279-0j -0.0250632-0j -0.0265515-0j -0.0155223-0j -0.00405487-0j 
0.0185791-0j 0.0197871-0j 0.0148403-0j 0.0149941-0j -0.0254748-0j 0.0160294-0j 0.0121171-0j 0.00935047-0j 0.00839495-0j -0.0278011-0j 0.00865685-0j 0.0134111-0j 0.0123695-0j 0.00510216-0j -0.0215346-0j 0.00749705-0j -0.0217578-0j -0.0348693-0j 0.00757475-0j 0.00958138-0j 0.00790423-0j -0.0243259-0j 0.00252544-0j -0.0376112-0j 0.00437328-0j -0.0141901-0j -0.0249119-0j 0.00765324-0j -0.0355958-0j 0.00446439-0j -0.0100339-0j -0.0146825-0j 0.00116465-0j 0.000988029-0j -0.0101379-0j 0.0022322-0j -0.0045808-0j 0.00184147-0j -0.00100997-0j 0.000832064-0j 0.000224683-0j 3.38408e-05-0j 
-0.00268167-0j -0.00285602-0j -0.00214202-0j -0.00216421-0j 0.00367697-0j -0.00231364-0j -0.00174895-0j -0.00134962-0j -0.00121171-0j 0.00401274-0j -0.00124951-0j -0.00193573-0j -0.00178538-0j -0.000736434-0j 0.00310825-0j -0.00108211-0j 0.00314046-0j 0.00503296-0j -0.00109332-0j -0.00138295-0j -0.00114088-0j 0.00351114-0j -0.000364516-0j 0.00542871-0j -0.000631229-0j 0.00204817-0j 0.00359572-0j -0.00110465-0j 0.00513781-0j -0.000644379-0j 0.00144827-0j 0.00211924-0j -0.000168102-0j -0.00014261-0j 0.00146328-0j -0.00032219-0j 0.000661181-0j -0.000265793-0j 0.000145777-0j -0.000120098-0j -3.24302e-05-0j -4.8845e-06-0j 
-0.0229905-0j -0.000424228-0j 0.0178412-0j 0.0179113-0j -0.0160294-0j 0.000333881-0j -0.0149941-0j 0.0225398-0j -0.0103882-0j -0.000303083-0j 0.031527-0j -0.00028753-0j -0.0143554-0j 0.0185033-0j 0.0131644-0j 0.00901303-0j 0.0132161-0j -0.00874656-0j 0.00904847-0j 0.000604568-0j -0.0185112-0j 0.000257648-0j 0.0122296-0j -0.000102075-0j 0.0265961-0j 0.0173935-0j 0.0183908-0j -0.0269062-0j -0.00837401-0j -0.0157294-0j 0.0005376-0j 0.0107936-0j 0.00705606-0j 0.0108296-0j -0.036572-0j -0.0183618-0j -0.0109586-0j -0.0328206-0j 0.00373592-0j -0.0148363-0j -0.00185337-0j 0.000369628-0j 
0.0134111-0j -0.0278238-0j 0.0107123-0j 0.00971767-0j 0.00935047-0j -0.0225398-0j 0.00874656-0j 0.0259458-0j 0.0060598-0j -0.0198783-0j 0.00624885-0j -0.0188582-0j 0.00801667-0j 0.00440931-0j 0.00790423-0j 0.00541166-0j 0.00717033-0j 0.00510216-0j 0.00490919-0j -0.0134729-0j 0.0219328-0j -0.0173935-0j -0.0232177-0j -0.00669475-0j 0.0031568-0j 0.0200218-0j 0.00364516-0j 0.00496006-0j 0.00467639-0j 0.00385815-0j -0.00717444-0j 0.0025721-0j -0.0366959-0j 0.000713197-0j 0.0143043-0j 0.00144669-0j -0.0214144-0j 0.00159141-0j -0.0360466-0j -0.0262168-0j -0.0290621-0j -0.0110163-0j 
0.0033184-0j 6.12321e-05-0j -0.00257515-0j -0.00258528-0j 0.00231364-0j -4.81915e-05-0j 0.00216421-0j -0.00325334-0j 0.00149941-0j 4.37463e-05-0j -0.00455053-0j 4.15014e-05-0j 0.00207203-0j -0.00267071-0j -0.00190011-0j -0.00130092-0j -0.00190758-0j 0.00126246-0j -0.00130603-0j -8.72619e-05-0j 0.00267186-0j -3.71883e-05-0j -0.00176519-0j 1.47332e-05-0j -0.00383882-0j -0.00251053-0j -0.00265448-0j 0.00388358-0j 0.00120868-0j 0.00227035-0j -7.75959e-05-0j -0.00155792-0j -0.00101846-0j -0.00156312-0j 0.00527871-0j 0.00265029-0j 0.00158174-0j 0.00473724-0j -0.000539234-0j 0.00214143-0j 0.000267511-0j -5.33512e-05-0j 
-0.00193573-0j 0.00401601-0j -0.00154619-0j -0.00140263-0j -0.00134962-0j 0.00325334-0j -0.00126246-0j -0.00374496-0j -0.000874656-0j 0.00286918-0j -0.000901943-0j 0.00272194-0j -0.00115711-0j -0.00063643-0j -0.00114088-0j -0.000781106-0j -0.00103495-0j -0.000736434-0j -0.00070858-0j 0.00194465-0j -0.00316573-0j 0.00251053-0j 0.00335119-0j 0.000966304-0j -0.000455645-0j -0.0028899-0j -0.000526134-0j -0.000715923-0j -0.000674979-0j -0.000556876-0j 0.00103554-0j -0.000371251-0j 0.00529659-0j -0.000102941-0j -0.00206464-0j -0.000208811-0j 0.0030909-0j -0.0002297-0j 0.00520288-0j 0.00378407-0j 0.00419476-0j 0.00159006-0j 
0.0130962-0j 0.0139477-0j 0.0104608-0j 0.0105692-0j 0.00913091-0j 0.0112989-0j -0.0253495-0j 0.00659104-0j 0.00591751-0j 0.00996472-0j 0.00610212-0j -0.0280568-0j 0.00871913-0j 0.00359646-0j 0.00771864-0j -0.036653-0j 0.00779863-0j -0.0147872-0j -0.0370329-0j 0.00675381-0j 0.00557161-0j -0.0258777-0j 0.00178016-0j 0.00335599-0j -0.00914913-0j -0.0150953-0j 0.00355957-0j -0.016011-0j 0.00508616-0j -0.00933974-0j 0.00359646-0j 0.00209793-0j -0.0024365-0j 0.000696451-0j 0.00363373-0j 0.00157345-0j 0.00164189-0j 0.00129803-0j 0.000362003-0j 0.000586512-0j 0.000158376-0j 2.3854e-05-0j 
-0.00231511-0j -0.00246563-0j -0.00184922-0j -0.00186838-0j -0.00161413-0j -0.00199739-0j 0.00448121-0j -0.00116514-0j -0.00104608-0j -0.00176153-0j -0.00107871-0j 0.00495979-0j -0.00154134-0j -0.00063577-0j -0.00136448-0j 0.0064794-0j -0.00137862-0j 0.00261404-0j 0.00654655-0j -0.00119392-0j -0.00098493-0j 0.00457457-0j -0.00031469-0j -0.000593262-0j 0.00161735-0j 0.0026685-0j -0.000629249-0j 0.00283037-0j -0.000899114-0j 0.00165105-0j -0.00063577-0j -0.000370866-0j 0.000430717-0j -0.000123116-0j -0.000642358-0j -0.000278149-0j -0.000290248-0j -0.000229461-0j -6.39937e-05-0j -0.000103682-0j -2.79973e-05-0j -4.21684e-06-0j 
