-0.00177929-0.00119604j 0.00272656-0.00298868j -0.00352153+0.0138028j -0.0109598-0.00224348j -0.00598355-0.00152108j -0.00457834-0.00113123j -0.00315442+0.0104796j 0.0162243-0.00994928j -0.00477892+0.00583571j 0.0103861-0.0175561j 4.01946e-05-0.00286351j -0.0119801+0.000847599j 0.0056105+0.00527987j -0.0106493-0.00495672j -0.00817606-0.002903j -0.0113146-0.00881608j 0.0151569+0.00324993j 0.00601911+0.00210987j 0.0181047+0.018917j 0.00557834+0.00822605j -0.0197122+0.0403206j -0.0223111-0.0135413j 
-0.00084475+0.00084585j 0.0127703+0.00337446j 0.000290055+0.00688881j 0.00109929-0.00358731j 0.0114545-0.00635093j -0.0140507-0.00727341j -0.0191324-0.00546058j 0.0130647-0.0244279j -0.00885775-0.00219607j 0.00113951+0.00222616j 0.0016786+0.00656473j 0.0101687-0.0074364j 0.00581781+0.00139596j 0.00597867+0.00566123j -0.00709813-0.00770439j 0.0113317+0.00862178j -0.000804488-0.00108025j -0.000868653-0.00400404j 0.00615907+0.00805343j -0.00533169+0.0195972j -0.0153253-0.0354531j 0.0466012-0.0132405j 
-0.00263755+0.022411j 0.0351036-0.00276376j 0.0104495+0.0361631j -0.00485519-0.0180878j 0.0155972-0.0065497j -0.00707331-0.00403196j -0.00631376-0.0034823j 0.00131483-0.00774265j 0.00866628-0.0109024j -0.00697759-0.00330813j 0.00907727+0.027071j 0.0286338-0.0156606j 0.0167887-0.00635104j 0.00499554+0.00673052j -0.0212711+0.00104371j 0.0148474+0.00173089j -0.00680981-0.0168376j -0.0241463-0.0412719j 0.0247562-0.00081845j -0.0274572+0.0286736j 0.000927367+0.00361905j -0.00574819+0.00312164j 
-0.00104752+0.0111152j 0.0127319-0.000698887j 0.0029416+0.0112939j -0.00261744-0.0183301j 0.019106-0.0105799j -0.0209563-0.000815616j -0.0271435-0.00216905j -0.00975978-0.0310494j -0.00581397-0.0250421j -0.0283727+0.0229149j -0.0235777-0.0402461j -0.0265831+0.041696j -0.0311036+0.00630045j -0.00648866-0.00396607j 0.0471386+5.65078e-05j -0.0244734-0.00321177j -0.0036703+0.00822692j 0.0271018+0.0407142j -0.0271948-0.0154648j 0.0225476-0.0429882j 0.0134711+0.00295702j -0.00695041+0.0053667j 
0.0075734+0.0137458j 0.0241207-0.00691669j 0.0050025+0.0182638j -0.0146764+0.00637588j -0.0063269-0.0150142j -0.00343017+0.000572321j 0.00133823+0.00245868j 0.00725943-0.00117224j 0.00635822+0.0240245j 0.0177178-0.0233806j -0.0142364-0.0268672j -0.0360571+0.0252881j -0.0143598+0.00951098j -0.00769742-0.00828571j 0.00678792+0.00476811j -0.0260259-0.00424367j 0.0268258+0.0051655j 0.0226801+0.0361737j 0.00940122+0.0119785j 0.0295108-0.0141186j 0.0126013+0.029285j -0.0134508+0.0157901j 
0.0108495+0.0233051j 0.0253015-0.0168571j 0.0219857+0.0133802j 0.019598-0.0102216j 0.0162175+0.0221185j 0.0229288-0.00631585j 0.0201263-0.0141416j -0.000900673+0.0279103j -0.0004909+0.0119146j 0.0143533+0.00837631j -0.00182598+0.00180458j -0.000495531-0.00171845j -0.00227966+0.00447745j -0.00102721-0.00301731j 0.00391637-0.00833073j 0.00160257+0.000607394j 0.000641636+0.018542j 0.0105527+0.0102716j -0.0266732+0.00166609j 0.00602645-0.0171957j -0.00817189-0.00516023j -0.00534611-0.00917956j 
0.019122-0.00107118j 0.00889432-0.0296969j 0.00736347+0.018556j 0.0201275+0.0112204j -0.0182989+0.0354569j 0.0170954+0.00154509j 0.0236735+0.0105549j 0.00722755+0.0139601j -0.00339244-0.00405282j -0.0110211+0.00243578j -0.00565402-0.0115457j -0.00437295+0.0120091j -0.0108847+0.00568465j -0.00044652+0.000223224j 0.0259659-0.00539932j -0.00958531-0.00160635j -0.0101225-0.00508286j 0.0145233+0.0166502j -0.0117892-0.0121188j 0.0010596-0.0178296j 0.00330457-0.0287659j 0.0325924+4.26308e-05j 
-0.00677926+0.0203435j 0.0135299+0.0113792j 0.00575886-0.019292j -0.00588701-0.00512248j 0.00245024-0.00781595j -0.00279127+0.00389704j -0.00653763+0.000214294j -0.00305051-0.000457906j 0.00539337-0.000231504j -2.67783e-05-0.017154j 0.00695352+0.0219137j 0.0126576-0.00843044j 0.0110583-0.00318411j -0.00956147+0.00555619j -0.0172194+0.0127723j 0.0157746+0.0159158j 0.0154064+0.00786021j 0.00444261+0.00416168j -0.00326321-0.000933283j 0.0237627-0.00887342j 0.01154+0.00492852j -5.7226e-05+0.00412468j 
0.00147742+0.0161503j 0.00864348+0.00499959j 0.00598237-0.0245713j 0.00162612-0.00591486j 0.00558493+0.0102033j 0.00628592+0.00556607j -0.00234474+0.0027241j -0.0087226+0.00911909j -0.00782439-0.0134143j -0.00965821+0.00347647j 0.000923082-0.0185852j -0.0162683+0.00567405j 0.00687148-0.00297624j -0.0011249+0.00505567j 0.00609278-1.1276e-05j -0.00878413-0.00988908j 0.00230666-0.00218699j -0.00200357-0.00887963j 0.000931541+0.00986668j -0.015935-0.00372433j 0.00246043+0.0129594j -0.0194761+0.00740775j 
-0.00326791-0.0129498j -0.00653617-0.00160642j 0.0010962+0.0134105j 0.00397636-0.0145223j 0.0114524-0.00910907j 0.0203092+0.0106006j -0.00857695-0.00274217j -0.0199084+0.0297897j -0.00844967-0.0190838j -0.0143876-0.0050024j -0.0107173-0.0198805j -0.0188717+0.0149819j 0.023186-0.0115928j 0.00111541-0.00443612j -0.00388613-0.00839471j -0.0169914-0.00299912j -0.0082125-0.0113694j -0.00469027-0.0050557j 0.0112515+0.00266447j -0.00665809+0.0159075j -0.00419933+6.15564e-06j 0.00240898+9.817e-05j 
-0.00911324+0.0126018j -0.00197224-0.00236027j 0.00023171-0.0180029j 0.00588774-0.0221264j 0.000559269+0.0185091j -0.00113792+0.00621323j -0.0010792+0.014103j 0.000354894+0.00468599j -0.00728556-0.0306816j -0.00957941-0.00578113j 0.00741925+0.0208116j 0.0145207-0.00302217j 0.00694141+0.00367971j -0.0212168+6.33248e-05j 0.00297368+0.00159582j -0.000657655-0.00126645j -0.000373+0.00549826j -0.00125084+0.00791615j -0.00254244+0.00620607j 0.00464621-0.000599828j -0.00613376+0.0066774j 0.00186623+0.00323393j 
-0.00105123+0.0262792j 0.00125064+0.00677346j 0.00118961-0.0257844j -0.0190842-0.0132771j 0.00631559+0.00204039j 0.0189894+0.00156102j -0.00140829+0.00809722j -0.0047953+0.00452872j 0.0157818+0.0146514j 0.00130063-0.0163483j -0.0159842-0.0118925j -0.0137301+0.0154646j -0.0054567+0.0113611j 0.0177265-0.0158835j -0.0034777+0.00523935j -0.00475526+0.00669966j -0.00724034-0.0205987j 0.00785102+0.00669905j 0.022544-0.00145972j 0.00653279+0.0140335j -0.0111548-0.0179172j 0.0215476-0.0136669j 
-0.00731643+0.0137582j -0.00988891-0.00544796j -0.00732743-0.00266141j -0.00072246-0.013222j -0.000915966+0.00398237j -0.000473496+0.00983931j -0.00578462-0.00403327j 0.00797064-0.0109248j -0.00633707+0.014536j 0.0164364-0.00030125j 0.00729476+0.0111742j 0.00454709+0.00130471j -0.00277995-0.00862197j -0.0216005+0.0108762j 0.00457083-0.00713904j -0.00835578-0.0172203j -0.000721119+0.015354j -0.00638284-0.00530532j 0.00306409-0.00932576j -0.00190553-0.00455709j 0.00761087+0.00562943j 0.000817768+0.0052819j 
0.0138773+0.0143865j 0.00210691-0.00286761j -0.00602276-0.0146706j 0.0203777+0.00162637j -0.00320715+0.0159023j -0.034837-2.49482e-05j 0.0180054-0.00205616j 0.00125083-0.00877911j -0.00441369-0.00126836j 0.00250583+0.0150109j -0.00525264-0.00276822j 0.00866264+0.0065451j -0.0147259-0.00667527j 0.0209476-0.000933989j -0.00257739-0.0110322j -0.0169497+0.00378794j -0.00266058-0.0138899j -0.00790895+0.0062252j 0.0109901+0.00855995j -0.00691311+0.0193356j -0.00584569+0.00273462j -0.00398746+0.00435495j 
0.0190156+0.0223154j -0.0067304+0.00500548j 0.0027117-0.00759755j 0.00420803+0.0163934j -0.00988618+0.0184577j 0.00372638+0.00968055j -0.00886315-0.0117537j 0.00252142-0.0166074j 6.52011e-05+0.00628445j 0.00627227+0.00527783j -0.00573332-0.00999577j -0.00932599+0.0114835j 0.000567922+0.000884038j -0.0121744+5.01123e-05j 0.00311887-0.00579258j -0.0126024-0.00709488j -0.0112467+0.0151785j -0.00725042-0.0152192j 0.00207022-0.0118987j -0.00823027+0.00551359j 0.0016389+0.00497426j -0.00601886-0.000596092j 
-0.00169897+0.00165597j 0.0135139-0.00488363j -0.00674019-0.0106878j -0.000646285+0.000399426j 0.000241771-0.00363283j -0.015121+0.00326511j 0.00661311+0.000898932j 0.0048006-0.00158586j -0.000284057+0.00186215j 0.00419772-0.0107133j -0.00771826-0.00966089j -0.0119584+0.00244547j 0.0215804-0.00586957j 0.00602164-0.0113075j 0.000793134-0.0160812j -0.00434243-0.0111289j -0.00808993-0.00679449j 0.00349354-0.00739525j 0.00784217-0.00496535j 0.00204006+0.00190305j -0.00418943+0.00753952j -0.00110788-0.00519921j 
0.0108861-0.00502116j 0.00738243-0.00240777j -0.000292531-0.00100405j 0.00915395+0.00603879j -0.00648475+0.0160823j -0.00951972+0.00821621j 0.000109174+0.00639046j 0.00999102-0.00878473j -0.0152707-0.00949472j -0.005032-0.00436948j -0.010963-0.0113402j -0.00956384-0.00262208j 0.0206825-0.0115218j 0.00617428-0.00376964j -0.00775624-0.0157768j -0.00200597+0.00556544j -0.00163154+0.00690293j -0.00590853-0.00767657j -0.0122218-0.000751598j -9.40833e-05+0.00358795j 0.00765507+0.0078548j -0.00145114+0.00460225j 
-0.0100725+0.00525876j 0.00233842-0.00557566j -0.00666642-0.00427393j -0.0029958+0.000374916j 0.00179962-0.0109226j 0.00304207-0.00171845j -0.0043471-0.00472841j -0.00302498-0.00195379j 0.0094033+0.00749751j 0.00633226-0.0048048j 0.00750403+0.0133694j 0.00812679+0.00353554j 0.00834194-0.00846973j -0.00205024+0.00510233j 0.00991074-0.0129961j -0.0126525-0.0215086j -0.000372667-0.0107j -0.00406772+0.00446928j 0.0054143-0.0070674j -0.000891848-0.00270125j -0.00252426-0.0053516j 0.00548804-0.00337684j 
-0.00581132-0.000411744j 0.0100757-0.00874695j -0.0074676-0.0054708j -0.000682427+0.00120596j 0.000212521-0.000834765j 0.00454663-0.00102629j -0.00626796+0.00172714j 0.00578872-0.0100157j 0.00783586+0.00844806j 0.00435947-4.96397e-05j -0.00810409+0.00600904j 0.00115175-0.00710296j 0.00571209-0.0101672j 0.0208418-0.0185479j -0.0034961-0.0127821j 0.00251197-0.00341184j -0.00601225-0.0117133j -0.00483195+0.00207783j -0.0133611-0.00198751j -0.000192891-0.00636514j 0.00741038+0.00326197j -0.0113792+0.00313082j 
