-0.293488-0j -0.00613003-0j -0.229691-0j 0.222885-0j -0.197686-0j -0.00484172-0j 0.276922-0j -0.181587-0j -0.17363-0j -0.00419305-0j -0.121058-0j -0.129732-0j 0.178032-0j 0.22333-0j -0.00388201-0j -0.00375038-0j -0.160144-0j 0.155399-0j -0.00277344-0j -0.149801-0j 0.224333-0j -0.103785-0j -0.0998675-0j 0.145362-0j 0.144082-0j 0.10071-0j -0.133986-0j -0.00345909-0j -0.0529627-0j -0.0617899-0j 0.197843-0j -0.00328158-0j 0.103852-0j -0.00218772-0j 0.18769-0j 0.184238-0j -0.00211825-0j -0.0957244-0j 0.080322-0j -0.065538-0j 0.131363-0j -0.0873841-0j 0.0899383-0j -0.00135358-0j 0.164787-0j -0.0237829-0j 0.0847947-0j 0.112822-0j 0.134092-0j -0.0021402-0j 0.121797-0j -0.00116498-0j -0.0270331-0j 0.173112-0j 0.0403486-0j -0.0360441-0j 0.066631-0j 0.052464-0j 0.111185-0j 0.0605802-0j 0.113991-0j -0.000624226-0j 0.107472-0j 0.0702817-0j -0.00498669-0j 0.0714052-0j 0.0468545-0j 0.0188093-0j 0.0118529-0j 0.0794341-0j 0.0332474-0j 0.0372147-0j 0.0289897-0j 0.0083627-0j 0.013438-0j 0.00368251-0j 0.000559986-0j 
0.0299352-0j 0.0315903-0j -0.0225295-0j 0.0236708-0j 0.0201636-0j -0.0239942-0j 0.0145549-0j 0.0185215-0j 0.0177099-0j 0.0216084-0j 0.0123476-0j -0.0386821-0j -0.0181822-0j 0.00779887-0j 0.0200055-0j 0.0193271-0j -0.0157079-0j 0.0165037-0j -0.0417814-0j -0.0146934-0j -0.0113386-0j -0.0101799-0j 0.0101863-0j 0.0154378-0j 0.00376721-0j 0.0106956-0j 0.0136663-0j -0.0171423-0j 0.00540209-0j -0.030787-0j 0.0103985-0j -0.0162626-0j -0.0322418-0j 0.0112741-0j 0.00986488-0j -0.00618699-0j 0.0109161-0j -0.0285422-0j 0.0016784-0j -0.0195415-0j -0.013416-0j -0.00857116-0j -0.0091853-0j -0.034075-0j 0.00575451-0j 0.00242581-0j 0.00900536-0j 0.00393985-0j -0.0206028-0j -0.0322418-0j -0.0030624-0j -0.00577332-0j -0.0188782-0j -0.00874972-0j 0.000702125-0j -0.0179591-0j 0.00350208-0j -0.0272178-0j 0.00290707-0j -0.0188077-0j -0.0116367-0j -0.0220246-0j -0.00360908-0j -0.00141227-0j -0.00547791-0j -0.0183333-0j 0.000979066-0j 0.000280415-0j -0.0110878-0j -0.00607143-0j -0.00794909-0j -0.000622755-0j -0.00295913-0j 0.00010905-0j -0.000585648-0j -4.10361e-05-0j 5.30708e-06-0j 
-0.0302454-0j 0.0306542-0j -0.0236708-0j 0.0238973-0j -0.0203726-0j 0.0242118-0j -0.0129939-0j -0.0187134-0j -0.0178934-0j 0.0209681-0j -0.0124756-0j -0.0133695-0j 0.0190883-0j -0.0369402-0j 0.0194127-0j 0.0187544-0j -0.0165037-0j 0.0166616-0j 0.0138691-0j -0.0154378-0j -0.0105262-0j -0.0106956-0j -0.0102918-0j 0.0155855-0j -0.0396385-0j 0.010798-0j -0.013808-0j 0.0172978-0j -0.00545807-0j -0.00636775-0j -0.00928328-0j 0.0164101-0j 0.0111348-0j 0.0109401-0j -0.00880689-0j -0.0304741-0j 0.0105927-0j -0.00986488-0j -0.0306289-0j -0.00675402-0j 0.0140846-0j -0.00900536-0j 0.00964305-0j 0.00676882-0j -0.0272568-0j -0.00245095-0j 0.00909155-0j -0.0186615-0j -0.00629195-0j 0.0107024-0j -0.0335077-0j 0.00582567-0j -0.00278589-0j -0.00812287-0j -0.0196014-0j -0.00371452-0j -0.00312649-0j 0.00562511-0j -0.0305882-0j 0.00649532-0j -0.0188549-0j 0.00312155-0j -0.0177765-0j -0.0268003-0j -0.000513903-0j -0.00335051-0j -0.0178669-0j -0.0110841-0j 0.00127085-0j -0.0218532-0j -0.00549934-0j -0.018079-0j -0.0110546-0j -0.00578826-0j -0.00791883-0j -0.00292614-0j -0.000559273-0j 
0.0172722-0j 0.0182272-0j 0.0135177-0j 0.0136577-0j -0.0226205-0j 0.0143965-0j 0.00839797-0j 0.0106867-0j 0.0102184-0j -0.0242413-0j 0.00712443-0j 0.00763491-0j 0.0109093-0j 0.00449985-0j 0.0115429-0j 0.0111515-0j -0.0183247-0j -0.0185146-0j 0.00824665-0j 0.00881604-0j 0.00680314-0j 0.00610793-0j -0.0287323-0j 0.0089074-0j 0.00217364-0j 0.00617123-0j -0.0153316-0j -0.0199981-0j 0.00311694-0j 0.00363643-0j -0.0116655-0j 0.00975756-0j 0.00636375-0j -0.0318008-0j 0.00569191-0j 0.00371219-0j -0.0122463-0j -0.0109534-0j 0.000968416-0j 0.00385702-0j -0.015651-0j -0.0251408-0j 0.00551117-0j 0.00402479-0j -0.00645569-0j -0.0150846-0j -0.0254013-0j 0.00227324-0j 0.0040665-0j -0.0123732-0j 0.00183744-0j -0.0271333-0j 0.00159094-0j -0.0102073-0j 0.000405117-0j -0.01037-0j -0.0158277-0j 0.00321485-0j -0.0032613-0j -0.0181476-0j 0.0022968-0j -0.00360884-0j -0.0105861-0j 0.000847364-0j 0.000293474-0j -0.00421032-0j -0.00276164-0j 0.000161796-0j 0.000726312-0j -0.00232998-0j 0.0006699-0j -0.0007265-0j 0.00034952-0j -0.000122338-0j 0.000115593-0j 2.46216e-05-0j 3.06212e-06-0j 
-0.00249303-0j -0.00263087-0j -0.00195111-0j -0.00197133-0j 0.00326499-0j -0.00207796-0j -0.00121214-0j -0.00154249-0j -0.0014749-0j 0.00349893-0j -0.00102832-0j -0.001102-0j -0.00157462-0j -0.000649498-0j -0.00166607-0j -0.00160958-0j 0.00264494-0j 0.00267235-0j -0.0011903-0j -0.00127249-0j -0.000981948-0j -0.000881604-0j 0.00414715-0j -0.00128567-0j -0.000313737-0j -0.00089074-0j 0.00221292-0j 0.00288647-0j -0.000449891-0j -0.000524873-0j 0.00168378-0j -0.00140838-0j -0.000918528-0j 0.00459005-0j -0.000821557-0j -0.000535808-0j 0.0017676-0j 0.00158099-0j -0.000139779-0j -0.000556712-0j 0.00225902-0j 0.00362876-0j -0.000795469-0j -0.000580928-0j 0.000931799-0j 0.00217727-0j 0.00366636-0j -0.000328114-0j -0.000586949-0j 0.00178591-0j -0.000265212-0j 0.00391635-0j -0.000229632-0j 0.0014733-0j -5.84737e-05-0j 0.00149679-0j 0.00228454-0j -0.000464024-0j 0.000470728-0j 0.00261937-0j -0.000331514-0j 0.000520891-0j 0.00152797-0j -0.000122306-0j -4.23594e-05-0j 0.000607707-0j 0.000398608-0j -2.33533e-05-0j -0.000104834-0j 0.000336304-0j -9.66917e-05-0j 0.000104861-0j -5.04488e-05-0j 1.7658e-05-0j -1.66844e-05-0j -3.55383e-06-0j -4.41979e-07-0j 
-0.0213733-0j -0.00044642-0j 0.0160857-0j 0.0162316-0j -0.0143965-0j 0.000339076-0j 0.0201669-0j -0.0132241-0j -0.0126446-0j -0.00030536-0j -0.00881604-0j 0.0276185-0j -0.0124679-0j 0.016264-0j -0.000282708-0j -0.000273122-0j 0.0112152-0j 0.0113169-0j 0.000590436-0j 0.0104909-0j -0.0157105-0j 0.0072683-0j -0.00727286-0j 0.010586-0j 0.0104928-0j 0.00733421-0j -0.00975756-0j 0.000242247-0j -0.00385702-0j 0.0219815-0j 0.0144079-0j 0.000229816-0j -0.0221089-0j -0.000159321-0j 0.0136685-0j -0.0129025-0j -0.000154262-0j 0.0203787-0j 0.00584946-0j 0.0139523-0j -0.00919964-0j 0.00611968-0j -0.00629857-0j 0.000481533-0j 0.0120006-0j -0.00173199-0j 0.00617518-0j 0.00821628-0j -0.0285468-0j 0.000455626-0j -0.00852967-0j 8.15859e-05-0j 0.0134788-0j -0.0121234-0j 0.00293839-0j 0.0128225-0j 0.00485241-0j -0.0186639-0j 0.00809703-0j -0.0128969-0j -0.0242675-0j 0.000311241-0j -0.00752648-0j -0.00492197-0j 0.00391115-0j -0.0254021-0j 0.00341218-0j 0.00136979-0j -0.00760316-0j -0.0169107-0j -0.0165773-0j -0.00260622-0j -0.010313-0j 0.000609014-0j -0.0028608-0j -0.000257894-0j 4.0781e-05-0j 
0.0124678-0j -0.025533-0j 0.00975756-0j 0.00871109-0j 0.00839797-0j -0.0201669-0j 0.0231684-0j 0.00771403-0j 0.00737603-0j -0.017465-0j 0.00514269-0j 0.00551117-0j 0.00695809-0j 0.00397443-0j -0.0161695-0j -0.0156212-0j 0.00680314-0j 0.00607352-0j -0.011552-0j 0.00636375-0j 0.0187685-0j 0.00440894-0j 0.0042425-0j 0.00568125-0j -0.0197101-0j 0.00393609-0j 0.00569191-0j -0.0144079-0j 0.00224993-0j 0.00262491-0j 0.0165523-0j -0.0136685-0j 0.00405888-0j -0.00911236-0j 0.0157029-0j 0.00327874-0j -0.00882301-0j 0.0040665-0j -0.0301887-0j 0.00278414-0j 0.00513413-0j 0.00371219-0j 0.0035151-0j -0.00563799-0j 0.00293259-0j 0.00101033-0j 0.00331406-0j 0.00200781-0j 0.0112187-0j -0.00891444-0j -0.0166616-0j -0.00485241-0j 0.0011484-0j 0.0144832-0j -0.0281605-0j 0.0015312-0j 0.0055746-0j 0.00205047-0j -0.0152098-0j 0.00236768-0j 0.00202862-0j -0.00260005-0j 0.0019126-0j -0.0264151-0j 0.000211841-0j 0.00597403-0j -0.0176101-0j -0.0207363-0j 0.000463251-0j -0.0108664-0j 0.00059168-0j -0.0259733-0j -0.0108957-0j -0.0132892-0j -0.0148147-0j -0.00794583-0j -0.00198931-0j 
0.00308497-0j 6.44351e-05-0j -0.00232177-0j -0.00234283-0j 0.00207796-0j -4.89414e-05-0j -0.00291084-0j 0.00190873-0j 0.00182509-0j 4.40749e-05-0j 0.00127249-0j -0.00398638-0j 0.00179959-0j -0.00234751-0j 4.08054e-05-0j 3.94217e-05-0j -0.00161878-0j -0.00163346-0j -8.52221e-05-0j -0.00151423-0j 0.00226761-0j -0.00104909-0j 0.00104975-0j -0.00152796-0j -0.0015145-0j -0.0010586-0j 0.00140838-0j -3.49654e-05-0j 0.000556712-0j -0.00317276-0j -0.0020796-0j -3.31711e-05-0j 0.00319115-0j 2.2996e-05-0j -0.00197288-0j 0.00186232-0j 2.22658e-05-0j -0.00294141-0j -0.000844296-0j -0.00201385-0j 0.00132785-0j -0.0008833-0j 0.00090912-0j -6.95033e-05-0j -0.00173214-0j 0.000249992-0j -0.00089131-0j -0.00118592-0j 0.00412037-0j -6.5764e-05-0j 0.00123115-0j -1.17759e-05-0j -0.00194549-0j 0.00174986-0j -0.00042412-0j -0.00185078-0j -0.000700385-0j 0.0026939-0j -0.00116871-0j 0.0018615-0j 0.00350271-0j -4.49238e-05-0j 0.00108635-0j 0.000710426-0j -0.000564525-0j 0.00366648-0j -0.000492506-0j -0.000197712-0j 0.00109742-0j 0.00244084-0j 0.00239273-0j 0.000376176-0j 0.00148855-0j -8.79036e-05-0j 0.000412921-0j 3.72238e-05-0j -5.88623e-06-0j 
-0.00179957-0j 0.00368537-0j -0.00140838-0j -0.00125734-0j -0.00121214-0j 0.00291084-0j -0.00334406-0j -0.00111342-0j -0.00106464-0j 0.00252086-0j -0.000742283-0j -0.000795469-0j -0.00100431-0j -0.00057366-0j 0.00233386-0j 0.00225473-0j -0.000981948-0j -0.000876637-0j 0.00166739-0j -0.000918528-0j -0.002709-0j -0.000636375-0j -0.000612352-0j -0.000820018-0j 0.00284491-0j -0.000568125-0j -0.000821557-0j 0.0020796-0j -0.000324749-0j -0.000378874-0j -0.00238912-0j 0.00197288-0j -0.000585849-0j 0.00131526-0j -0.00226651-0j -0.000473245-0j 0.00127349-0j -0.000586949-0j 0.00435736-0j -0.000401856-0j -0.000741047-0j -0.000535808-0j -0.00050736-0j 0.000813773-0j -0.000423283-0j -0.000145829-0j -0.000478344-0j -0.000289802-0j -0.00161928-0j 0.00128669-0j 0.00240489-0j 0.000700385-0j -0.000165757-0j -0.00209048-0j 0.00406462-0j -0.00022101-0j -0.000804625-0j -0.00029596-0j 0.00219535-0j -0.000341745-0j -0.000292806-0j 0.000375284-0j -0.00027606-0j 0.00381269-0j -3.05766e-05-0j -0.000862277-0j 0.00254179-0j 0.00299303-0j -6.68645e-05-0j 0.00156844-0j -8.54016e-05-0j 0.00374893-0j 0.00157265-0j 0.00191813-0j 0.00213832-0j 0.00114688-0j 0.000285224-0j 
0.0122056-0j 0.0128805-0j 0.00955243-0j 0.00965142-0j 0.00822142-0j 0.0101735-0j 0.00593453-0j -0.0221136-0j 0.00722096-0j 0.0088105-0j 0.00503457-0j 0.00539531-0j 0.00770919-0j 0.00317988-0j -0.0238854-0j 0.00788035-0j 0.00666011-0j 0.00672913-0j 0.0058276-0j -0.0182428-0j 0.00480752-0j 0.00431625-0j 0.00415331-0j -0.0184318-0j 0.00153603-0j 0.00436097-0j -0.0163168-0j 0.00726829-0j -0.0237546-0j 0.00256973-0j 0.00423984-0j -0.020191-0j 0.00449703-0j 0.00459687-0j -0.0117781-0j 0.00262326-0j -0.0305174-0j 0.00398101-0j 0.000684343-0j -0.018688-0j 0.00568834-0j -0.0106416-0j -0.0267027-0j 0.00284417-0j 0.00234632-0j 0.000989089-0j -0.0107519-0j -0.0110143-0j 0.00287364-0j -0.0131683-0j 0.00129845-0j 0.00244787-0j -0.00329208-0j -0.0108633-0j 0.000286281-0j 0.00149901-0j 0.00142792-0j -0.00665239-0j -0.00347088-0j 0.00262326-0j -0.0047527-0j 0.00131163-0j 0.00153024-0j -0.00175342-0j 0.000207387-0j 0.00153024-0j 0.0003992-0j -0.0003348-0j 0.000513257-0j 0.000846831-0j 0.000473393-0j 0.000264046-0j 0.000246993-0j 4.44637e-05-0j 8.16851e-05-0j 1.73992e-05-0j 2.16389e-06-0j 
-0.00215767-0j -0.00227697-0j -0.00168865-0j -0.00170615-0j -0.00145336-0j -0.00179844-0j -0.00104909-0j 0.00390916-0j -0.0012765-0j -0.00155749-0j -0.000889995-0j -0.000953764-0j -0.0013628-0j -0.000562128-0j 0.00422238-0j -0.00139306-0j -0.00117735-0j -0.00118955-0j -0.00103018-0j 0.00322489-0j -0.000849858-0j -0.000763012-0j -0.000734208-0j 0.00325831-0j -0.000271534-0j -0.000770919-0j 0.00288443-0j -0.00128486-0j 0.00419926-0j -0.000454268-0j -0.000749504-0j 0.0035693-0j -0.000794969-0j -0.00081262-0j 0.00208209-0j -0.000463732-0j 0.00539477-0j -0.000703749-0j -0.000120976-0j 0.00330361-0j -0.00100557-0j 0.00188119-0j 0.00472042-0j -0.000502783-0j -0.000414775-0j -0.000174848-0j 0.00190068-0j 0.00194707-0j -0.000507993-0j 0.00232785-0j -0.000229536-0j -0.000432726-0j 0.000581963-0j 0.00192038-0j -5.06079e-05-0j -0.00026499-0j -0.000252424-0j 0.00117599-0j 0.00061357-0j -0.000463732-0j 0.000840166-0j -0.000231866-0j -0.00027051-0j 0.000309964-0j -3.66612e-05-0j -0.00027051-0j -7.05693e-05-0j 5.91848e-05-0j -9.07319e-05-0j -0.0001497-0j -8.36849e-05-0j -4.66772e-05-0j -4.36625e-05-0j -7.86015e-06-0j -1.444e-05-0j -3.07577e-06-0j -3.82525e-07-0j 
