-0.0334235+0.00559799j -0.00293949+0.00318869j 0.00560524+0.00488841j -0.00331339-0.0187153j -0.00717588+0.00343868j 0.00804151+0.0137755j 0.0249813-0.016238j 0.00937346+0.0122336j -0.0104768-0.0151225j 0.00334495+0.00128086j 0.0022801+0.00191259j 0.00716143+0.00479044j 0.00218695-0.0046857j -0.0102065+0.00749114j 0.0084601-0.00212905j 0.0104079-0.00548664j -0.00715165-0.0010758j 0.0018667+0.00690456j -0.00314597-0.0173927j -0.00294925+0.0027335j -0.0210717-0.00489727j -0.00321282+0.0123916j 0.00168713-0.0140118j -0.00339403+0.00504253j 
0.0102478-0.0137443j 0.00516588+0.0280067j -0.0260414+0.00612323j -0.00912316-0.00635342j -0.00994438+0.0211292j 0.00520284-0.016651j -0.00126933+0.000581279j -0.0238113-0.00848147j -0.0105372+0.000539057j -0.00154851+0.0132496j 0.00273776+0.00973969j -0.0129396-0.0106133j 0.00433298-0.00406794j 0.0169717-0.00399424j -0.00989908+0.00599368j -0.0213281+0.00929884j -0.00132882-0.000376665j 0.00124137-0.00833569j 0.0074175+0.020278j -0.00546112-0.00651229j -0.00740075+0.00032673j 0.00175946+0.014319j 0.0056245-0.00393673j -0.00117153+0.000973255j 
-0.0105232+0.0047461j 0.00296523-0.000213951j 0.00813429+0.0195765j -0.020304-0.00105414j -0.00412191+0.0246979j 0.00158479+0.0141057j 0.0165348-0.00516109j 0.0036567-0.00463004j -0.00969527-0.00828838j -0.007117-0.00747846j 0.00796071+0.000607361j -0.00172243+0.00551749j 0.0081882-0.0161586j -0.00481154-0.000648712j 0.0035185-0.013649j 0.000723078+0.00504197j 0.00649778-0.00249622j 0.00143427+0.00226858j -0.00123992-0.000559238j -0.00958077-0.000931187j -0.0129146+0.00411956j 0.00738249-0.000661823j -0.0188399-0.00923269j -0.00683189+0.0111342j 
-0.00119632-0.00564167j 0.00717164+0.0120427j -0.0169395+0.00316835j -0.00867478-0.0105371j -0.0145261+0.0104906j 0.00456045-0.0174891j 0.00168908-0.0040021j -0.00781736-0.00189515j -0.000592719-0.0175301j 0.00133625-0.0208832j -0.00821563-0.00672019j 0.0105615-0.00705076j 0.00625596-0.00199814j 0.000896478-0.00563447j 0.00793968+0.00139828j -0.0102797+0.000880487j 0.00837221+0.00560281j 0.00114094+0.00377264j 0.00824383+0.00425707j -0.00475598-0.00341522j -0.00609457+0.0015519j 0.00624445+0.00585624j -0.00395804-0.00125732j 0.00608499-0.00583578j 
-0.00169369+0.00230328j 0.0095171-0.00362334j 0.00514467-0.00882106j 0.00622912-0.00921927j 0.00856772-0.00175796j 0.00829929-0.00708796j 0.00765085-0.0136998j -0.00607018+0.0135092j -0.00307164-0.0043542j -0.00503973-0.000955645j 0.00687126+0.0243578j -0.00747412+0.00825318j 0.0124121+0.00273431j 0.000372885+0.000392594j 0.0035422-0.00938358j 0.00619031-0.00163585j 0.00772513+0.0013888j 0.00439569+0.00126421j -0.0105558+0.0028534j 0.00243712-0.0017564j -0.00377583+0.00126538j -0.00131181+0.00200312j -0.000766706-0.00484021j -0.000126202+0.00132305j 
0.00519602+0.00176657j -0.023467+0.0014733j 0.00923679+0.0129589j -0.00606966+0.0139871j 0.00823167-0.00709712j 0.000429806+0.00555214j 0.000937853-0.00219098j 0.0039435+0.00343744j 0.00702811+0.000698875j 0.00347047-0.00463996j 0.0145176+0.0129468j -0.00722148+0.0214168j 0.0154082+0.00793978j 0.00566104-0.00370716j -0.000210018-0.0122591j 0.00561789-0.00347795j 0.0164877+0.00495059j 0.00517277+0.00014444j -0.0111895+0.0164405j 0.00642471-0.00677805j 0.0132767+0.00235775j 0.000157945-0.00404637j -0.00749209+0.0108963j 0.00817559-0.00247129j 
0.000174004-0.000465655j -0.00728084+0.00369388j 0.00164958+0.00717086j -0.00172846-0.00432817j -0.000920991+0.0064161j -0.000828469+0.0219673j -0.00351464+0.0123457j -0.000812847-0.010788j -0.00160892+0.0274674j -0.00188327+0.0056909j 0.00401183+0.00462741j -0.000131032+0.00452765j -0.00059445-0.00866885j 0.0102735+0.0118665j 0.00649767+0.0159875j -0.00261815+0.00120466j -0.00423573-0.000436403j -0.00417498-0.00146659j 0.00318476-0.00137939j 0.0175114-0.00518135j -0.0110636+0.00469778j 0.0103262+0.0146686j 0.0187264+0.00508917j 0.0116681-0.0155431j 
0.00247475-0.000961822j 0.00137606+0.00787911j 0.00664361-0.0033568j 0.00189213-0.0124627j -0.00140559-0.00679742j 0.00261609+0.00763616j 4.7452e-06-0.00252712j 0.00452188+0.00713388j -0.00172913+0.0123872j -0.000770503+0.00821388j 0.00289434+0.00228345j 0.00460621+0.00233358j -0.00366631-0.00691863j -0.00834367+0.00483593j -0.00377823+0.00653555j 0.00559181-0.00203518j -0.00315458-0.00652598j -0.0070184-0.00155515j 0.00433575-0.00638576j 0.00412442+0.00396928j -7.25582e-05-0.00384534j -0.00271619-0.00582273j 0.00336781+0.00275193j -0.00130675+0.00427461j 
-0.00118818-0.000327235j 0.00782813-0.00268272j -0.00486623-0.0134947j 0.00992332-0.0127743j 0.00802597-0.00827035j -0.00117549-0.0105857j 0.00217348-0.011703j -0.00423764+0.0213644j -0.00582356+0.00120336j 3.69076e-05+0.0123733j 0.0154627+0.0269546j -0.010376+0.00592729j 0.0115761+0.0035332j 0.0121356+0.0051202j -0.00146063+0.0037985j -0.00163183-0.00252554j -0.00109483+0.00157719j 0.00107124-0.0020428j -0.00839322+0.0114384j 0.00847389-0.00580806j -0.00796134+0.00143513j -0.00389407+0.0139362j 0.00904447-0.00832121j 0.00207048-0.00134272j 
-0.000523586+0.000633992j 0.0103898-0.0127532j -0.000883357-0.011065j 0.0087315+0.00819687j 0.00020586+0.00414867j -0.00499329+1.94963e-05j -0.00737645+0.00475142j 0.000944505-0.0116813j -0.00364878+0.00102145j 0.00451788-0.00559567j -0.00870954-0.0107484j 0.00116616-0.00338534j -0.0104175-0.00349433j 0.00245995+0.0116151j 0.00676731+0.0217437j -0.00131553+0.00259122j -0.0183566+0.00591224j -0.00851728+0.00182916j 0.00283055-0.0132108j 0.00988711+0.00656641j -0.0208914+0.00756781j 0.00756778+0.0139481j 0.00529677-0.00978025j 0.00636033-0.00383291j 
-0.00252007+0.00113461j 0.0106345-0.0108199j -0.00987676-0.00885895j 0.00621765-0.00116338j -0.00123116-0.000594986j -0.00604117-0.0150708j -0.00197708-0.00596612j 5.27725e-05+0.00294572j -0.00710301-0.0172218j -2.63304e-05-0.00666136j -0.00229996-0.00363133j -0.00150786-0.00114357j 0.00336665+0.00450493j -0.00812613-0.00796384j -0.00426864-0.00606089j 0.00115804+0.00143139j 0.00343511+0.000608744j 0.00315986-0.00093179j 0.00161806+0.000790432j -0.00894551+0.00680877j 0.00406436-0.00410152j -0.00445568-0.00328812j -0.00889256-0.000992255j -0.00203335+0.00625703j 
0.00299854-0.00295771j 0.00521685+0.00595297j 0.00439204-0.00236002j -0.0105993-0.00651436j -0.00598712-0.00774911j 0.000536263-0.0185743j -0.00657586-0.0124803j 0.00701332+0.013895j 0.000515742-0.0113589j -0.00937919-0.0147559j -0.00264302+0.00702603j 0.0106094-0.00265089j -0.00271978-0.00403764j -0.00626543+0.0100997j 0.01109+0.00918996j 0.00306945-0.00314843j 0.00376022-0.00129841j -0.00849923+0.00542469j 0.00234048-0.0106752j 0.0140408+0.000265319j -0.00382813+0.00924228j 0.00736474-0.00683214j 0.00370793+0.00102294j 0.00549001-0.0155453j 
-0.00306409+0.00466114j 0.00158384-0.0109341j -0.00480259-0.00757363j 0.00959389-0.0107182j 0.0115016+0.00354092j 0.00920561+0.0166072j 0.00965089-0.00103724j -0.0042465-0.000856102j 0.00122002+0.0106085j -0.00183405-0.00575703j 0.0142455+0.00283418j 0.00694823+0.0183358j 0.0128497-0.0100339j 0.00107073-0.00317247j 0.0013874-0.000223811j 0.00379828-0.000655533j 0.0118046-0.00342144j -0.00174524-0.00275679j 0.00438015+0.0100755j 0.00617895-0.0059454j -0.00159235-0.00189357j 0.00680852+0.00175029j 0.00532247+0.00359844j 0.00726012-0.00848352j 
0.00405325-0.000508172j -0.0200009-0.00268444j 0.00532552+0.00315994j 0.0199792+0.0177738j 0.00195893-0.0188334j -0.00873437-0.00689979j -0.00654234+0.00104171j -0.00075226-0.00103829j -0.00343115-0.0097881j 0.0175013+0.00826426j 0.000683024-0.0139985j -0.00390095+0.00852693j -0.00408573+0.0108874j 0.00654526-0.0046923j -0.00335194+0.00733866j 0.00293732-0.00051413j -0.0165576+0.0102612j -0.000899597+0.000151612j -0.00171535+0.00149576j -0.00481479+0.00138203j -0.00262877+0.00284264j -0.00233538+0.00933015j -0.00781646-0.0117704j -0.00663675+0.00937727j 
-0.00280951+0.00585996j 0.00439008-0.0299687j -0.00883975-0.0120601j 0.0141359+0.0165365j 0.0158047+0.00593111j 0.00248717-0.000562355j 0.00353831-0.00307823j -0.00498179-0.0129106j -0.00393894-0.013698j -0.00344391-0.00540667j 0.0135979-0.00761617j 0.000353853+0.0148853j 0.00634554-0.0054652j 0.00604025+0.000614772j -0.000349084+0.00180188j 0.00138038+0.00193156j -0.00218692-0.00324347j -0.00200296-0.000279277j 0.000414789+0.00785734j 0.00247884-0.00549334j -0.0102415+0.000127648j 0.0010532+0.00654491j 0.00167471-0.0100839j -0.00140515-0.00762942j 
