0.324024+0.0973123j 0.0961822-0.33296j -0.086132-0.10159j -0.104033+0.108802j -0.041628+0.0594443j -0.00628178-0.0433338j 0.156607+0.101937j -0.0143294-0.0976719j 0.0176776+0.0333691j -0.000458312+0.0245181j 0.0834497-0.160578j -0.0800533+0.123631j -0.0880103-0.0469959j -0.0552251+0.0378294j -0.108742+0.102135j -0.0801764+0.0813351j -0.0983782-0.0515695j 0.0664311-0.0222918j 0.233739+0.0235037j -0.0271809-0.0359297j 0.148872-0.00878117j 0.0550705+0.105242j 0.147456+0.240139j -0.131243+0.177253j -0.0793388-0.368707j -0.369752+0.0803318j 
0.00794648+0.0511424j 0.0536117-0.0107175j -0.0269175-0.00378938j 0.000549269+0.0313409j -0.00458365-0.00230864j 0.00408243+0.0121462j -0.00592168+0.0491511j 0.0259886+0.012574j -0.0123645+0.0146256j -0.0147401-0.000161056j 0.040424-0.0386003j -0.00284309+0.00485672j -0.0388273-0.000928858j -0.0110512-0.00870447j -0.0182708+0.0343271j -0.0459884-0.00357052j 0.00596926+0.0286257j 0.00200765+0.0163359j 0.0801158+0.0121828j 0.00207568+0.0208027j 0.00177254+0.0401101j 0.0426945+0.0123576j 0.0136473+0.0840365j -0.044891+0.0290129j -0.0714518+0.023293j 0.0256569+0.0755798j 
0.0522904-0.0211109j -0.0189761-0.0483871j 0.00580885+0.00240856j 0.0114673-0.0315758j 0.032547+0.0211129j -0.00670093-0.00628077j -0.0217002-0.0154677j -0.011299+0.037849j 0.0358257+0.00635709j 0.0237917-0.0191188j 0.0339693+0.00271581j -0.00911974-0.00567016j -0.00983738-0.0510277j 0.0310393-0.0316169j 0.0137171+0.0071492j 0.0237663-0.00709823j -0.00419593-0.00068406j -0.00891203-0.0101226j -0.0228743-0.00278927j -0.0039424-0.0125979j -0.00868799-0.015447j -0.018919+0.00119422j -0.00255447-0.02473j 0.0033911-0.00273477j 0.0264553-0.0183504j -0.0207482-0.0278063j 
-0.0336897+0.0172654j 0.0182656+0.0287828j -0.00785296+0.0177654j 0.0178877+0.010552j 0.00910118-0.00609991j -0.0028846+0.014131j -0.019951+0.0233005j 0.0143309+0.0283787j -0.0114268+0.00327375j -0.00848542-0.0097349j 5.72667e-05-0.00966183j 0.019338+0.00557549j -0.0241192+0.0193542j 0.0173562+0.0160286j -0.00721464+0.0287844j -0.0221356-0.00779015j 0.0177255+0.0308668j 0.00438728+0.00386233j 0.0282089+0.00460485j 0.000990315+0.0328295j -0.000353685+0.0139596j 0.0255761-0.0152798j -0.00839702-0.00196211j 0.033744-0.00877755j -0.00264418+0.0104155j 0.0138496+0.00383472j 
-0.0201707-0.00510741j -0.00951763+0.0209305j -0.00950208-0.00778547j -0.00705116+0.0220509j -0.0171408-0.0117023j -0.000369968+0.00520097j 0.00695278-0.00726335j -0.00332342-0.0139902j 0.00322814-0.00192092j -0.0063387+0.0120393j 0.00829405-0.00796904j 0.0020709+0.00026477j 0.00760353-0.0157673j -0.0102039-0.00896383j -0.000125143-0.00473466j -0.0118354-0.00473062j -0.00254221+0.00233076j -0.00862814+0.0185692j 0.00496898-0.00198714j -0.00673132+0.00278465j -0.00402544+0.00719336j 0.0107142+0.0123705j -0.00580437+0.0151042j -0.0235335+0.00114005j -0.0041166+0.0430854j 0.0423888+0.00281257j 
-0.0132282-0.0132931j -0.0139021+0.0145964j 0.0115827+0.0138578j 0.016256-0.0149567j 0.0145111+0.0155346j -0.00430775+0.00855686j 0.0155821-0.0231678j -0.00620618+0.00178399j 0.0127446+0.0049594j 0.0171253-0.00883468j -0.0165416-0.0117005j 0.0291056+0.00424317j -0.000960273+0.0192623j 0.00971465+0.0106091j 0.00318113+0.0231925j -0.0214786-0.0091863j -0.00431894-0.00298842j -0.0119766+0.0238463j 0.00588084-0.000669626j -0.00494925+0.0160521j 0.00234576-0.0121322j 0.0189353+0.0148918j -0.0362313+0.0168688j -0.0148195-0.0397717j 0.0160192+0.016056j 0.0158172-0.014884j 
0.0173102+0.00479344j 0.00892351-0.0168982j -0.00573086+0.00535732j 0.00509589+0.00772033j 1.82157e-05-0.00742662j -0.000224738-0.0178694j -0.00537398+0.0188026j 0.00644804+0.0011573j -0.0196016-0.0083228j -0.016899-0.00843006j -0.0137578+0.0141452j -0.0214734-0.00458591j -0.0134231+0.00355806j 0.00733546+0.00926016j -0.0128894+0.00108137j 0.00688563-0.000468895j -0.000271121-0.00207816j -0.00557366-0.00685011j -0.00524665+0.00466187j -0.00327103-0.00035151j 0.00625145+0.00297276j -0.00556722+0.00495287j -0.00740829-0.00862706j 0.0129967-0.00217333j -0.00663566+0.00161696j 0.00110071+0.00773808j 
0.000325702-0.0105664j -0.0137488+0.000995258j -0.0345287+0.011874j 0.0100347+0.039183j -0.0311544+0.00241762j -0.007058-0.0102173j -0.000367494+0.0117079j -0.000466223-0.0026645j -0.00739973-0.0238709j -0.0138141+0.0210977j -0.00212618+0.00726396j -0.0103172-0.00811479j -0.0102183-0.0169205j 0.0253237-0.0222552j 0.0299099+0.0202278j -0.0132659+0.0128422j -0.00332315+0.00719966j 0.000559971+0.0119458j 0.00482825-0.00914715j 0.0114105+0.0215165j 0.00785871-0.00991742j 0.0186254-0.00243115j -0.0184556+0.00940973j -0.00299152-0.0195341j 0.0139802-0.0129527j -0.0139701-0.0147107j 
-0.0268186+0.00918006j 0.00504904+0.0268279j -0.019934-0.0188546j -0.0117079+0.00688001j -0.0111243+0.00937365j 0.0157523+0.0173578j 0.00594483+0.0025696j 0.00657072-0.00187456j 0.0199077+0.0118031j 0.0165616+0.0138797j 0.0264693-0.0290367j 0.0206712-0.0106658j 0.0106762-0.00368302j -0.00651641-0.0160655j 0.0129219+0.0100308j -0.00364846-0.00515302j 0.0169268-0.00671666j 0.00155539-0.020692j 0.00593121-0.000870816j 0.0122476+0.00592894j -0.000257309+0.0150161j -0.016702-0.0164827j 0.0024907-0.0311715j 0.032123-0.00166651j -0.0063749-0.00509664j -0.0055243+0.00479468j 
0.0205946-0.00765917j 0.000563691-0.0164619j 0.0119401-0.0113638j -0.00145788-0.0163653j -0.0121457+0.0123314j 0.0080845-0.0113419j -0.00784345-0.00927838j -0.00502733-0.0192493j -0.00477456+0.000776566j 0.00716101+0.0122788j 0.00327849+0.000650434j -0.0158964-0.0240182j 0.0117541+0.00606161j -0.0243125-0.00149779j 0.0242612-0.000513882j 0.000112948-0.0205691j -0.0133436+0.0203674j -0.00931685+0.0123104j 0.0100313-1.05086e-05j -0.0156056-0.0157721j -0.0104001+0.00644931j 0.0135557+0.00491958j -0.00646577+0.0139454j 0.000779121+0.0006226j -0.00041371+0.00119699j 0.00338102+0.00749103j 
-0.0194482+0.00869493j 0.00648755+0.0178052j -0.00436682+0.00813769j 0.00335862+0.00277197j 0.00155133-0.0117698j 0.00243643+0.00713833j -0.00793322+0.00659563j 0.00791888+0.0125832j 0.00146745+0.00255165j -0.00784182+0.000574332j -0.000954821-0.000610792j 0.00856594+0.00451016j -0.000756628+0.00449549j -0.00116329-0.00228916j 0.00176917-0.00666715j 0.0145788+0.00697546j 0.00221418+0.0142693j -0.00324334-0.0110213j 0.00994292-0.00137845j 0.00919683-0.0173773j -0.0101139-0.00344815j -0.0106887-0.00249323j 0.00363392+0.00220635j -0.0043663-0.0113505j -0.00601991+0.0160101j 0.0163599+0.00588071j 
