-0.00812102-0.0133737j -0.0200247+0.018823j 0.00341749+0.00542664j 0.000557722-0.0171934j 0.0175741-0.00381693j -0.0454836+0.0412834j 0.00406869+0.0050685j 0.00333384+0.0198163j 0.00635965-0.0115511j -0.0157132-0.0248761j -0.00519991+0.00667703j 
0.00819025+0.0295112j 0.0395296+0.0291409j -0.0204665+0.0105084j 0.0255408-0.0165002j -0.0251821-0.0144028j -0.0122408+0.0039825j 0.0196937+0.0101392j -0.0137716+0.00869308j -0.0338687+0.0172346j 0.0241591-0.00453344j 0.00432867-0.00776787j 
0.00811397+0.0102131j 0.00510222-0.00196892j -0.0482843-0.0211757j -0.0333356-0.00231921j 0.0144849+0.00407242j -0.010192+0.00979764j -0.0235626+0.00394934j 0.0444278-0.0125197j 0.00747931+0.000238333j 0.0367364-0.0080821j 0.00206388-0.00848982j 
-0.0163744+0.026776j -0.016884+0.0235478j 0.0134951+0.0131844j -0.0256051-0.0291651j -0.00201855-0.0160844j 0.011865-0.0194781j 0.0161838+0.0200511j 0.00444316-0.00234347j 0.0371141+0.0132281j -0.0019417+0.0049601j -0.0133316-0.00284419j 
-0.0264977-0.0168217j -0.0250549+0.0065934j -0.0164809+0.0268266j 0.0193436-0.0350973j 0.0146605-0.0129597j 0.0287168-0.0110987j -0.0183054+0.0214065j 0.014367+0.014244j -0.0291361+0.000569983j 0.000281938+0.00938128j 0.0181465-0.00225619j 
-0.01231+0.00999117j -0.0164024-0.00946884j -0.0293417-0.0312765j 0.043984+0.0158517j 0.0114428-0.00548843j 0.0143933+0.0357812j -0.0133646+0.00733878j -0.0274963-0.00634314j 0.0196333+0.0205613j -0.00662424+0.0037048j -0.0208343-0.0026216j 
-0.016326+0.00368613j -0.00196059-0.00427757j 0.0156835-0.021447j -0.0145438+0.00611586j -0.0195212-0.0126006j -0.0313295-0.0216803j 0.0172409+0.00727945j 0.0386553-0.00595043j -0.0375091+0.0271587j -0.023295+0.00618585j -0.0182971-0.00733223j 
-0.0193767-0.00137601j 0.0061906+0.00773915j 0.0284092-0.0040954j -0.00815365+0.01977j 0.00947002+0.0210336j -0.0245178+0.0232992j -0.0108301-0.0145542j -0.0156811-0.0395288j -0.00145876+0.0370324j 0.02361+0.0113493j 0.0264375-0.0179128j 
0.00852755-0.00526554j -0.0166381+0.0052267j -0.0131578+0.0202185j 0.000744315-0.00166791j -0.0235049+0.0195276j -0.0211125+0.00389884j 0.0193968-0.0188373j 0.0104841-0.0294352j 0.0061989+0.0144205j -0.0127477+0.031661j 0.00324095+0.0415372j 
