-0.0425671+0.0596571j 0.0149262+0.0447979j 0.00565284-0.00164524j 0.014257-0.0549703j 0.0123264+0.0386705j -0.00468296+0.0014586j -0.00932654+0.00283798j -0.0140121-0.00440129j 0.00261779-0.000721034j -0.0182971+0.0113246j 0.0196613+0.0016699j -0.000539434+0.00828115j 0.00714902-0.01223j -0.00418761+0.00767053j -0.00295392+0.00334341j 
-0.0674528-0.0275629j -0.0587325-0.00820768j -0.0246017-0.0144863j -0.0176937-0.00373184j 0.00609822+0.00683029j -0.0139096-0.00386422j 0.00285431+0.00133154j -0.0205472+0.0193279j -0.0150087-0.00312865j 0.0166343+0.0239114j 0.00892293-0.0302049j 0.00810014-0.0101626j -0.0116295-0.0122831j 0.0177509-0.00752489j -4.1391e-05+0.00398788j 
-0.00203683+0.0372289j -0.0198064+0.0396798j -0.00669991+0.0324015j -0.0101011+0.042591j -0.00589445-0.0542724j 0.00357949-0.0171413j -0.00141043+0.012814j -0.016284-0.0139598j 0.0026614-0.0129209j -0.0137142+0.0214583j 0.0221384+0.0030568j 0.00950302+0.00955441j 0.0064128-0.0143694j 0.00569646+0.0246799j -0.00205275-0.00430446j 
0.0590722-0.0548793j -0.0268169+0.0597117j -0.0217636-0.00499541j -0.0204451+0.0218204j -0.016008+0.0572299j 9.17551e-05-0.00409148j 0.0139015+0.000668064j -0.00781126+0.00984352j 0.00897252-0.0297715j 0.000382626-0.00687377j 0.000421922+0.00262173j 0.0178827-0.00348313j 0.0107795+0.0179657j 0.00203435+0.0192224j 0.00616813-0.0101582j 
-0.0732116-0.0855287j 0.0684139+0.0480629j -0.030446-0.0242077j 0.0198625+0.0147898j 0.0106388-0.00571833j -0.00295299-0.036229j -0.00717293+0.00727866j -0.00624622-0.00580374j 0.00979496+0.00605737j 0.000824819+0.00711343j -0.00429935-0.00518305j 0.00533569+0.0210897j 0.00302525+0.00606093j -0.0221303-0.0225601j 0.0178024+0.00926398j 
-0.000562318+0.0238104j -0.000717155-0.0121589j -0.0174501-0.00245809j -0.0189856-0.000621082j -0.0342814+0.00799761j 0.0317563-0.00376095j 0.0174675+0.0329146j 0.053413+0.00627283j -0.028407+0.00621183j -0.0170608+0.00620597j -0.011779-0.00795179j 0.0376731+0.00981684j 0.0407519-0.0202712j 0.00307933-0.0130508j 0.0111421+0.00825535j 
0.0738621-0.0649387j -0.0490741+0.0601772j 0.0696535-0.056153j 0.00477924-0.0183841j 0.0132712-0.0286729j 0.000329208+0.000890023j 0.00883755-0.0110379j 0.00356188-0.00392893j -0.0135821+0.0226759j -0.00645062+0.0144182j 0.00307933-0.00454661j -0.000861357+0.00191946j 0.00455043-0.0251301j 0.00925145-0.0201207j 0.00796492-0.00211005j 
-0.0482742-0.045258j 0.0396731+0.0323578j -0.0345814-0.0469048j -0.0145453-0.00259592j -0.0311091-0.0204861j 0.0179398+0.0461823j -0.0147611-0.026472j 0.0204739-0.00321723j -0.0064497+0.00130504j -0.0106002-0.00576458j 0.0113775+0.0183796j -0.0083675-0.0257687j -0.00417152-0.0240168j 0.015489+0.0207357j -0.0403002-0.026573j 
