-0.00882095-0.0137158j -0.0111132-0.00440732j -0.0146731-0.0696616j -0.00538377-0.0207783j -0.00292109+0.025828j 0.0144786-0.0366192j 0.0162754-0.0229783j -0.00333147-0.00220754j 0.000446201-0.00695365j 0.00455071-0.000447781j -0.0041997-0.011634j -0.00310758+0.00138098j -0.0013996-0.0148415j 0.00514689-0.0144899j 0.0108915-0.00321685j 0.0163691+0.00146237j 0.0037262+0.00644517j 0.00902019-0.00851404j 0.0161615-0.00184731j 0.0115462+0.0133895j -0.0053345+0.00714824j -0.0159446+0.0147476j 0.00238851-0.000891645j 0.0101766+0.00244291j -0.0176871-0.00449945j 0.00530041+0.00710497j -0.0130585+0.00134313j 0.0169573-0.00572321j -0.00174858-0.0230153j -0.0178239-0.0062931j 0.000412567+0.000187564j 0.00821243-0.0148319j 0.0126532+0.00684709j 0.00770276-0.0147884j 
0.0076782+0.00810711j 0.0184638-0.0170411j 0.0142324+0.00442571j 0.0260038-0.0253116j -0.00388795-0.0270751j -0.0397785-0.0443451j -0.0347471+0.0145079j 0.0187041+0.0116711j -0.00590387-0.000118948j -0.000214236-0.0472917j 0.00538728-0.0107741j 0.0091659-0.00811899j -0.0034601-0.0148454j -0.0265932+0.0158653j 0.0247238+0.000238971j -0.00499068+0.0112338j -0.014057+0.00491311j 0.00776766-0.00129888j 0.000354431-0.00394158j -0.0165839+0.0023259j -0.00733853-0.0082936j -0.0179422-0.00515951j -0.0126396+0.0206494j 0.000913658-0.00342958j 0.000241239-0.00418718j -0.00717449+0.00218815j -0.00442189-0.010278j -0.00863565-0.00196378j 0.0129792+0.00207484j -0.0102343+0.00393989j 0.00558899+0.00543401j -0.00857254-0.0131933j -0.0270242-0.0152494j -0.00285667+0.00504809j 
-0.00395096+0.00888111j -0.0294236-0.0121681j 0.00360263-0.018813j -0.0211077-0.0338182j -0.0122647-0.00267264j -0.0080881+0.0415466j -0.000744301+0.0411359j 0.0119009-0.0119735j -0.0228072+0.00603094j 0.038145+0.00483163j 0.000402494+0.00840191j 0.0117936+0.0166249j 0.0018576-0.00833475j -0.0402754-0.022024j -0.00803676+0.00945337j -0.00383043-0.00555278j -0.0041109+0.00229703j 0.00679686-0.00319228j 0.00351542-0.000164453j -0.00560834-0.00864519j 0.0142537+0.00544254j -0.000185687-0.000928886j -0.0123156-0.0140723j 0.002789+0.0150559j 0.00872742-0.00714862j 0.001021-0.00541559j 0.0111048-0.00101808j 0.0087038-0.00765319j 0.00274682+0.00448442j -0.00886843-0.0171504j 0.00566055-0.0118828j 0.00470567-0.0095258j 0.0156812-0.0125815j 0.0123806-0.0165872j 
0.00185867+0.00919644j 0.0200819+0.0169996j -0.0236653-0.0255989j 0.0329711-0.0174702j 0.0395831+0.00466356j 0.0269605+0.0395069j -0.000174936-0.0015993j -0.0377697-0.0142821j -0.0039351+0.0202626j 0.0275691-0.00439608j 0.0194844-0.015874j -0.0103462-0.00342687j 0.0167553+0.0266782j 0.00443077+0.0316326j 0.0087447-0.000551291j 0.00082827-0.00429571j 0.0239879-0.00119322j -0.0124058-0.00598714j -0.000466029+0.0139833j 0.00314146+0.00702553j 0.00632062-0.000281015j 0.0201073+0.0117864j -0.0179536-0.00297816j 0.0110918+0.00843441j -0.00863085-0.00723147j -0.00121759-0.00809883j -0.00675591-0.00476626j 0.00152013-0.00271433j 0.00515712-0.00747221j 0.00667516+0.00926986j -0.0226884+0.00546183j -0.00531406+0.0166205j 0.0204571+0.0110193j -0.0256662-0.0300848j 
0.000347253-0.0204852j -0.0274154+0.00881402j 0.0376141-0.0305751j 0.027269+0.0359025j -0.0323874+0.0275167j -0.0725365+0.0383689j 0.00162029+0.0202759j 0.0106464-0.038756j -0.0146238+0.0259148j -0.00139842+0.00376545j -0.0132495+0.007179j 0.00759975+0.0110275j -0.011387-0.00570886j 3.84982e-05+0.0320909j -0.0126252-0.00801879j 0.0171872-0.0093313j 0.0106167+0.000739268j 0.0145268-0.00904999j 0.0163507-0.000322938j 0.0151201+0.0160874j 0.00538073-0.000952183j 0.00720743-0.00294258j 0.00498622+0.00316886j 0.0082346-0.00288663j 0.00398755-0.0143701j -0.0209742+0.00207524j 0.00767291+0.015337j -0.00157474-0.0187672j -0.0025547-0.0139408j -0.00887957-0.00425419j 0.0237747-0.00607153j 0.0201114+0.00816321j 0.0125125-0.0106465j 0.015831-0.00512045j 
-0.00573699-0.0028713j -0.00313173-0.00908458j -0.0364768+0.0335409j 0.047223-0.0308114j -0.0346275+0.00335155j 0.0105641-0.0183247j 0.0372084+0.00512353j -0.0210157+0.0197875j -0.00240459+0.0097681j 0.0269743+0.000740028j -0.0228982+0.0128247j 0.0361445+0.00497745j -0.0328388-0.00705016j 0.0138189+0.000798453j -0.0131356+0.00370993j 0.0138453+0.0105712j 0.0174144+0.0107128j -0.0151003+0.00616446j 0.000749908+0.0160991j 0.00552135+0.00057993j -0.00723245+0.0163525j 0.00414802-0.0021357j -0.005213+0.00219985j 0.000456963+0.0135256j -0.00629988+0.0100458j -0.0109083+0.00185172j -0.0171088+0.00689024j -0.00553085-0.00947018j 0.00415072+0.00837923j -0.0221147+0.00281372j -0.0183705-0.0049269j 0.0127581+0.00905678j 0.000317867+0.0109179j 0.00665992+0.0122933j 
0.014386+0.00370277j 0.0155074-0.0310504j -0.00654101-0.0229119j -0.00795176+0.0578144j -0.00314778-0.0612616j -0.00271378-0.0246994j -0.0184845+0.0389079j -0.0148756+0.00625272j -0.0078653-0.00738336j 0.013315+0.0130521j -0.00229267-0.000948074j 0.010937+0.0171867j -0.00919336+0.0046053j 0.0149142-0.00217172j 0.0122549-0.0188245j 0.0118489+0.00332677j 0.00233648-0.00329793j 0.00535159+0.00285886j 0.00293732-0.0101651j 0.00549603+0.0174496j 0.0221056-0.00133399j -0.0128834-0.00918089j -0.00745713-0.00507138j 0.0116449-0.00744731j -0.00630555-0.000732076j 0.000792074+0.00368471j 0.0195825+0.00528979j -0.0119754+0.0106354j 0.0132666-0.00667611j 0.00861076+0.0040863j -0.0114782+0.00472057j 0.0107196-0.0165059j -0.00557506+0.0144385j 0.00361762-0.0031838j 
-0.0159182-0.00398047j 0.00416028-0.00549705j -0.0549776-0.0274611j 0.056156+0.0324797j -0.0150357-0.00951311j 0.0307236+0.0242181j 0.02609+0.0348132j 0.0109112-0.0222055j 0.0186703-0.0146068j -0.0201921-0.00495847j 0.00300462+0.000339838j -0.000165719-0.00398578j -0.00225569-0.000404197j -0.0177401-0.0065766j 0.016885+0.00445173j -0.00828952+0.00227884j -0.00760975-0.0100765j -0.0003968+0.0143252j 0.00774259-0.0016885j -0.0142879+0.0060213j 0.00129154+0.0126522j 0.00523557+0.00055465j 0.00697645+0.00107148j 0.00787033+0.00677556j 0.0180174+0.00393366j 0.00223737-0.00113189j -0.0141436+0.0171695j -0.00670961-0.00120946j 0.00321151-0.00425698j 0.00347051+0.00778205j -0.00196211+0.00882197j 0.00298495-0.000530733j 0.00138129-0.00896711j 0.000867901+0.000477872j 
-0.00436259-0.011595j 0.05252+0.000851116j -0.00178665-0.00162566j -0.0260803+0.0011176j 0.0336027+0.025849j 0.0123506+0.0101041j 0.000381097+0.0123293j -0.0132035-0.013842j 0.0324183-0.00382234j 0.0143186+0.00260222j -0.0102124+0.000342477j 0.0493795+0.00485903j -0.00656146-0.00144179j 0.0035403-0.00680101j 0.00961655-0.00818301j 0.0109863+0.00163229j -0.0124319-0.00299076j 0.00875843+0.000924754j -0.0103824+0.00371674j 0.0068862+0.00372951j -0.00333187-0.0118176j 0.00167876+0.0123713j -0.00682721+0.00228867j -0.000446646-0.00916124j 0.00683154+0.000735022j -0.0121166-0.00654461j -0.00189905-0.00352253j 0.00872524+0.00242081j 0.00148829-0.00916086j 0.00992921-0.00402092j 0.00240436+0.0109796j -0.000855375+0.00666448j -0.000798561-0.00713443j -0.00239782+0.00475146j 
0.0200426+0.00444138j 0.0201834+0.00939206j -0.0258641-0.012206j -0.00397583+0.0114882j -0.000131716+0.0155386j 0.0506515+0.0103115j -0.0605975+0.00530068j -0.0298761+0.00298033j 0.0133214-0.0066579j -0.00100824+0.0151141j -0.0199324+0.000656828j 0.0327214-0.00806504j 0.0381347-0.00446054j 0.0073057+0.0121797j 0.0344607+0.00289526j -0.00892733-0.0166679j -0.0125946-0.0164201j -0.00623177-0.0161729j 0.00889425+0.0101424j 0.00396225+0.00139515j -0.0021081+0.00224967j 0.0266339-0.00172161j -0.00317001-0.00368319j 0.00386763+0.0022061j -0.0190639-0.00890586j 0.001182+0.00020327j -0.00321303-0.00198671j -0.00223762+0.00301205j 0.00544207+0.0132146j 0.0109387+0.00592497j -0.00958489-0.0124898j 0.0100339+0.00482828j -0.0149153+0.00391615j -0.0165043-0.0360742j 
-0.0181748-0.00785462j -0.0115271-1.98836e-05j 0.0249904-0.00177091j -0.0226645-0.0231042j 0.00960316+0.00168691j -0.0259423+0.0133423j 0.0319102+0.00907659j 0.0211732-0.00930798j 0.0439019+0.0288814j -0.0115833+0.023305j 0.0219503+0.00256663j 0.0280629+0.0147168j -0.0256794+0.00336646j -0.0185361+0.00910033j 0.00484699-0.0106978j -0.0158974+0.00457293j -0.00308362+0.0175286j -0.00809325-0.0131497j 0.00306189+0.00463144j 0.0308028+0.0135147j 0.00778888-0.00233343j 0.0126092-0.000913048j 0.00418224-0.0109733j 0.00931562-0.00192574j -0.00934586-0.0146896j -0.0271006-0.0127533j 0.0207676+0.00781749j 0.00642111-0.012622j -0.000904794-0.0134532j -0.0160995-0.00810093j -0.0137093-0.00843371j 0.00460422+0.0196808j 0.0175657+0.0302991j 0.00244111-0.0083577j 
