-0.0072623-0j 0.0528373-0j -0.00085587-0j 0.0117731-0j -0.000765513-0j -0.000524111-0j 0.00638071-0j 0.00161773-0j 0.00582477-0j -7.56489e-05-0j -7.13225e-05-0j 0.00147163-0j 0.000981089-0j 0.000174344-0j 0.000594488-0j -3.15204e-06-0j 0.000213155-0j 8.67168e-05-0j 1.62605e-05-0j 1.77939e-05-0j 1.40918e-06-0j 5.12957e-08-0j -0.00689622-0j 0.0497803-0j -0.000798082-0j 0.0109782-0j -0.000703842-0j -0.000667723-0j 0.00586667-0j 0.0014874-0j 0.00524731-0j 0.00359259-0j -6.81492e-05-0j 0.00132574-0j -8.79803e-05-0j 0.000157059-0j -3.38636e-05-0j 0.00121023-0j 0.000518545-0j 0.000488889-0j 0.000185926-0j -5.18429e-06-0j 0.00012395-0j 1.41833e-05-0j 0.000123518-0j 2.1606e-05-0j 2.06944e-05-0j 1.09558e-05-0j 1.15886e-06-0j 1.44757e-06-0j 9.03797e-08-0j 2.79724e-09-0j 
0.00517216-0j 0.000798082-0j -0.0582756-0j 8.79803e-05-0j 0.000545194-0j 0.000373269-0j -0.00921418-0j 8.03146e-06-0j 8.79803e-05-0j -0.0103556-0j -0.0048563-0j -0.00105142-0j 7.33169e-06-0j 6.48036e-07-0j -0.00172594-0j -0.000865215-0j -0.000101173-0j -0.000187163-0j 4.83017e-08-0j -1.27128e-05-0j -3.33268e-07-0j 9.50851e-11-0j 8.50949e-05-0j 1.30274e-05-0j -0.000941501-0j 1.42141e-06-0j 8.68496e-06-0j 8.23927e-06-0j -0.000146782-0j 1.27942e-07-0j 1.37321e-06-0j 9.40174e-07-0j -0.000161633-0j -1.64108e-05-0j -0.000103791-0j 1.01147e-08-0j 4.17855e-07-0j 1.56696e-07-0j -2.60834e-05-0j -1.22319e-05-0j -1.52898e-06-0j -1.84757e-05-0j 1.06618e-08-0j 7.29963e-10-0j -3.07396e-06-0j -2.17927e-06-0j -1.27415e-07-0j -2.72173e-07-0j 4.96677e-11-0j -1.432e-08-0j -3.17271e-10-0j 7.98322e-14-0j 
-0.000746537-0j 0.0109782-0j -8.79803e-05-0j -0.056452-0j -7.86919e-05-0j -5.38767e-05-0j 0.00132574-0j -0.0157926-0j 0.00121023-0j -7.77643e-06-0j -7.33169e-06-0j -0.0070565-0j -0.00470433-0j -0.00256644-0j 0.000123518-0j -3.24018e-07-0j -0.00208086-0j -0.000415808-0j -0.000319933-0j -0.000261937-0j -3.47062e-05-0j -1.77137e-06-0j -1.22824e-05-0j 0.000179201-0j -1.42141e-06-0j -0.000912039-0j -1.25357e-06-0j -1.18924e-06-0j 2.11191e-05-0j -0.000251577-0j 1.88895e-05-0j 1.29327e-05-0j -1.21376e-07-0j -0.000110139-0j -1.56696e-07-0j -4.00575e-05-0j -6.03122e-08-0j -0.000100543-0j 1.86668e-06-0j 1.75992e-06-0j -3.14471e-05-0j -9.23338e-09-0j -2.09647e-05-0j -4.83501e-06-0j -1.02616e-05-0j 7.77783e-08-0j -5.27804e-06-0j -1.85304e-06-0j -4.94503e-07-0j -4.93471e-07-0j -4.6321e-08-0j -1.91356e-09-0j 
0.00297678-0j 0.000459328-0j 0.000350817-0j 5.06361e-05-0j -0.0452985-0j 0.000214831-0j 5.54691e-05-0j 4.62242e-06-0j -0.00731001-0j 3.10082e-05-0j -0.00847011-0j 6.32951e-06-0j -0.00122255-0j 3.7297e-07-0j -0.000746075-0j 1.29201e-06-0j -8.79257e-05-0j 3.7297e-07-0j -4.01324e-06-0j 3.80661e-08-0j 2.00626e-09-0j 5.47252e-11-0j 0.00282673-0j 0.000432752-0j 0.00032713-0j 4.72172e-05-0j -0.0416491-0j 0.000273697-0j 5.10004e-05-0j 4.25003e-06-0j -0.00658531-0j 3.12312e-05-0j 2.79341e-05-0j 5.70201e-06-0j -0.00520614-0j 3.35994e-07-0j -0.0060393-0j -0.000751442-0j 4.50784e-06-0j -0.00123135-0j 5.31254e-07-0j -0.000306775-0j -0.000102612-0j 2.42483e-08-0j -7.66937e-05-0j 1.87827e-07-0j -6.39114e-06-0j 3.13044e-08-0j -2.38184e-07-0j 2.47483e-09-0j 1.10238e-10-0j 2.65191e-12-0j 
-0.00300763-0j -0.000464088-0j -0.000354453-0j -5.11608e-05-0j 0.0457679-0j -0.000217057-0j -5.60439e-05-0j -4.67032e-06-0j 0.00738576-0j -3.13295e-05-0j 0.00855788-0j -6.39511e-06-0j 0.00123522-0j -3.76835e-07-0j 0.000753806-0j -1.3054e-06-0j 8.88369e-05-0j -3.76835e-07-0j 4.05483e-06-0j -3.84606e-08-0j -2.02705e-09-0j -5.52923e-11-0j 0.00275705-0j 0.000422086-0j 0.000319067-0j 4.60534e-05-0j -0.0406226-0j 0.000266951-0j 4.97433e-05-0j 4.14528e-06-0j -0.00642299-0j 3.04614e-05-0j 2.72455e-05-0j 5.56147e-06-0j -0.00507782-0j 3.27713e-07-0j -0.00589044-0j -0.00073292-0j 4.39673e-06-0j -0.001201-0j 5.1816e-07-0j -0.000299213-0j -0.000100083-0j 2.36506e-08-0j -7.48034e-05-0j 1.83197e-07-0j -6.23361e-06-0j 3.05328e-08-0j -2.32313e-07-0j 2.41383e-09-0j 1.07521e-10-0j 2.58655e-12-0j 
-0.000526226-0j 0.00382859-0j 0.00592907-0j 0.000853076-0j -5.54691e-05-0j -3.79771e-05-0j -0.0442026-0j 0.000117221-0j 0.000422062-0j 0.0010536-0j 0.00049409-0j -0.0101948-0j 7.10896e-05-0j 1.26329e-05-0j -0.00827975-0j 8.80287e-05-0j -0.00147664-0j -0.00181477-0j 1.17823e-06-0j -0.000247825-0j -9.76212e-06-0j 3.71689e-09-0j -0.000499699-0j 0.00360708-0j 0.00552874-0j 0.000795476-0j -5.10004e-05-0j -4.83832e-05-0j -0.0406416-0j 0.000107777-0j 0.00038022-0j 0.000260319-0j 0.000949151-0j -0.0091841-0j 0.000609487-0j 1.13805e-05-0j -2.45376e-06-0j 8.7693e-05-0j -0.00722206-0j -0.0033868-0j -0.00128801-0j 0.000108494-0j 8.98144e-06-0j 1.02772e-06-0j -0.00172031-0j -0.000603404-0j -0.000143361-0j -0.000229277-0j 8.39712e-08-0j -2.01611e-05-0j -6.26109e-07-0j 2.02688e-10-0j 
4.38521e-05-0j -0.00097068-0j 5.16803e-06-0j 0.0101621-0j 4.62242e-06-0j 3.16476e-06-0j -0.000117221-0j -0.0427999-0j -0.000107007-0j 4.56793e-07-0j 4.30669e-07-0j 0.00127026-0j 0.000846843-0j -0.0142659-0j -1.09214e-05-0j 1.90331e-08-0j -0.00563938-0j 7.4851e-05-0j -0.00268648-0j -0.001456-0j -0.000389798-0j -2.99273e-05-0j 4.16416e-05-0j -0.00091452-0j 4.81908e-06-0j 0.00947597-0j 4.25003e-06-0j 4.03193e-06-0j -0.000107777-0j -0.0393518-0j -9.63989e-05-0j -6.59998e-05-0j 4.11507e-07-0j 0.00114433-0j 5.31254e-07-0j -0.0128516-0j 2.0448e-07-0j 0.00104463-0j -9.52625e-06-0j -8.98144e-06-0j -0.00491898-0j 3.13044e-08-0j -0.00327932-0j -0.00234329-0j 0.000106617-0j -3.96927e-07-0j -0.00169334-0j -0.000289854-0j -0.000320558-0j -0.000239161-0j -3.75996e-05-0j -2.1786e-06-0j 
0.000531679-0j -0.00386826-0j -0.00599052-0j -0.000861916-0j 5.60439e-05-0j 3.83706e-05-0j 0.0446607-0j -0.000118436-0j -0.000426436-0j -0.00106452-0j -0.00049921-0j 0.0103004-0j -7.18263e-05-0j -1.27638e-05-0j 0.00836555-0j -8.89409e-05-0j 0.00149194-0j 0.00183358-0j -1.19044e-06-0j 0.000250393-0j 9.86329e-06-0j -3.7554e-09-0j -0.000487383-0j 0.00351817-0j 0.00539247-0j 0.00077587-0j -4.97433e-05-0j -4.71907e-05-0j -0.0396398-0j 0.000105121-0j 0.000370848-0j 0.000253902-0j 0.000925756-0j -0.00895773-0j 0.000594464-0j 1.11e-05-0j -2.39328e-06-0j 8.55316e-05-0j -0.00704405-0j -0.00330332-0j -0.00125626-0j 0.00010582-0j 8.76006e-06-0j 1.00239e-06-0j -0.0016779-0j -0.000588531-0j -0.000139828-0j -0.000223626-0j 8.19015e-08-0j -1.96642e-05-0j -6.10677e-07-0j 1.97692e-10-0j 
-4.43066e-05-0j 0.000980739-0j -5.22158e-06-0j -0.0102674-0j -4.67032e-06-0j -3.19755e-06-0j 0.000118436-0j 0.0432434-0j 0.000108116-0j -4.61527e-07-0j -4.35132e-07-0j -0.00128343-0j -0.000855618-0j 0.0144137-0j 1.10346e-05-0j -1.92303e-08-0j 0.00569782-0j -7.56267e-05-0j 0.00271432-0j 0.00147109-0j 0.000393838-0j 3.02374e-05-0j 4.06152e-05-0j -0.000891979-0j 4.7003e-06-0j 0.00924241-0j 4.14528e-06-0j 3.93255e-06-0j -0.000105121-0j -0.0383819-0j -9.40229e-05-0j -6.43731e-05-0j 4.01365e-07-0j 0.00111613-0j 5.1816e-07-0j -0.0125348-0j 1.9944e-07-0j 0.00101888-0j -9.29145e-06-0j -8.76006e-06-0j -0.00479774-0j 3.05328e-08-0j -0.00319849-0j -0.00228554-0j 0.000103989-0j -3.87144e-07-0j -0.00165161-0j -0.000282709-0j -0.000312657-0j -0.000233267-0j -3.66729e-05-0j -2.1249e-06-0j 
0.0020983-0j 0.000323775-0j 0.000247287-0j 3.56928e-05-0j 0.00022118-0j -0.0587337-0j 3.90995e-05-0j 3.25829e-06-0j -0.00690399-0j -0.00422781-0j 2.06073e-05-0j -0.000862999-0j 2.9744e-06-0j -5.08527e-05-0j 3.64288e-06-0j 9.10721e-07-0j 4.29318e-07-0j 2.62902e-07-0j 1.95956e-08-0j 2.68324e-08-0j 1.41419e-09-0j 3.85752e-11-0j 0.00199253-0j 0.000305042-0j 0.00023059-0j 3.32829e-05-0j 0.000203362-0j -0.0373172-0j 3.59496e-05-0j 2.9958e-06-0j 3.21543e-05-0j -0.00853847-0j 1.96904e-05-0j 4.01929e-06-0j -0.00491698-0j 2.36839e-07-0j 9.78424e-06-0j -0.000709705-0j -0.000614622-0j 2.9958e-06-0j -7.24339e-05-0j 1.4979e-06-0j 2.4965e-07-0j -3.30614e-06-0j 3.74475e-07-0j 1.32397e-07-0j 3.12062e-08-0j 2.20661e-08-0j 1.16299e-09-0j 1.74448e-09-0j 7.77054e-11-0j 1.8693e-12-0j 
-0.00259651-0j -0.000400651-0j -0.000306002-0j -4.41676e-05-0j -0.000273697-0j 0.0726793-0j -4.83832e-05-0j -4.03193e-06-0j 0.00854325-0j 0.00523165-0j -2.55002e-05-0j 0.00106791-0j -3.68063e-06-0j 6.2927e-05-0j -4.50784e-06-0j -1.12696e-06-0j -5.31254e-07-0j -3.25325e-07-0j -2.42483e-08-0j -3.32034e-08-0j -1.74997e-09-0j -4.77344e-11-0j -4.27191e-05-0j -6.54e-06-0j -4.94377e-06-0j -7.13572e-07-0j -4.36e-06-0j 0.000800068-0j -7.70746e-07-0j -6.42289e-08-0j -6.89376e-07-0j 0.000183062-0j -4.22155e-07-0j -8.6172e-08-0j 0.000105418-0j -5.07774e-09-0j -2.09771e-07-0j 1.52158e-05-0j 1.31773e-05-0j -6.42289e-08-0j 1.55296e-06-0j -3.21144e-08-0j -5.3524e-09-0j 7.08825e-08-0j -8.02861e-09-0j -2.83854e-09-0j -6.69051e-10-0j -4.7309e-10-0j -2.4934e-11-0j -3.74011e-11-0j -1.66598e-12-0j -4.00771e-14-0j 
-0.000349717-0j 0.00254439-0j -4.12145e-05-0j 0.000566933-0j 0.00532173-0j -2.52386e-05-0j 0.000307264-0j 7.79021e-05-0j -0.0404929-0j -3.64288e-06-0j 0.000995081-0j 7.08667e-05-0j -0.013688-0j 8.39553e-06-0j -0.00413279-0j -1.51787e-07-0j -0.00148182-0j 4.17586e-06-0j -0.00011304-0j 8.56865e-07-0j 6.7859e-08-0j 2.47015e-09-0j -0.000332088-0j 0.00239718-0j -3.84317e-05-0j 0.000528654-0j 0.004893-0j -3.21543e-05-0j 0.00028251-0j 7.16261e-05-0j -0.0364785-0j 0.000173001-0j -3.28173e-06-0j 6.3841e-05-0j 0.000611625-0j 7.56321e-06-0j 0.000709505-0j -0.00841331-0j 2.49706e-05-0j -0.0068209-0j 8.95326e-06-0j 3.60404e-05-0j -0.00172934-0j 6.82997e-07-0j -0.00085868-0j 1.04044e-06-0j -0.000143864-0j 5.27576e-07-0j -8.05624e-06-0j 6.97081e-08-0j 4.35224e-09-0j 1.34702e-10-0j 
0.00151463-0j 0.000233713-0j 0.000178501-0j 2.57644e-05-0j 0.000159656-0j -0.0423962-0j 2.82235e-05-0j 2.35196e-06-0j -0.00498356-0j -0.0030518-0j 1.48751e-05-0j -0.000622945-0j 2.14704e-06-0j -3.67074e-05-0j 2.62957e-06-0j 6.57393e-07-0j 3.09898e-07-0j 1.89773e-07-0j 1.41448e-08-0j 1.93686e-08-0j 1.02082e-09-0j 2.7845e-11-0j -0.00280181-0j -0.000428937-0j -0.000324246-0j -4.68009e-05-0j -0.000285958-0j 0.0524739-0j -5.05508e-05-0j -4.21256e-06-0j -4.5214e-05-0j 0.0120064-0j -2.76878e-05-0j -5.65175e-06-0j 0.00691404-0j -3.33032e-07-0j -1.37582e-05-0j 0.000997956-0j 0.000864255-0j -4.21256e-06-0j 0.000101853-0j -2.10628e-06-0j -3.51047e-07-0j 4.64895e-06-0j -5.2657e-07-0j -1.86171e-07-0j -4.38809e-08-0j -3.10285e-08-0j -1.63534e-09-0j -2.45302e-09-0j -1.09266e-10-0j -2.62853e-12-0j 
