-0.029317+0.0081837j -0.0140546+0.0187401j 0.0191953-0.00888091j -0.016483-0.0150368j -0.0214968+0.00970394j -0.00522349+0.00300571j -0.0116856+0.00816019j -0.0197458+0.00238618j 0.023757-0.0129816j 0.016086+0.00413977j 0.00545182-0.00470273j 0.0141533+0.0170535j -0.0170499+0.00736979j 0.0260553+0.0337483j -0.0254894+0.0158253j 
-0.0228617+0.0127763j 0.00704969+0.00433166j -0.0206716+0.00588615j 0.0190981-0.0010325j 0.0219233-0.00662414j -0.0125611+0.0106064j -0.0373289-0.00126024j -0.00163134+0.000744011j -0.0156667-0.00286261j -0.00584792+0.00655252j 0.0105104+0.00976117j -0.0289445-0.00853754j -0.0107216-0.0142769j 0.0147842+0.000162075j 0.00682091+0.0151477j 
0.00606321-0.00671575j 0.0159191+0.0115448j -0.00668477-0.00938006j -0.0188294-0.0203232j 0.0164423+0.00173508j 0.00407281-0.0186424j -0.00660786+0.0152013j 0.00186649+0.00705196j -0.0238321-0.0145723j -0.000579108+0.00549646j -0.00406888-0.00943955j 0.00168274+0.0207795j -0.0294764-0.0138342j -0.0327623+0.0221581j -0.0482121-0.0130397j 
0.0114352+0.012734j 0.0183028+0.0130058j -0.00221991-0.0091004j -0.0150594+0.00721471j -0.0106957-0.0102201j 0.000505369+0.0223527j 0.0125486-0.0018054j 0.0303891+0.00023552j 0.00923286+0.00964193j -0.0280539+0.0048008j -0.0149614-0.0169606j -0.000492271+0.000702045j 0.0312227-0.0120142j 0.0304321+0.010482j -0.0271329+0.0335072j 
0.00702141+0.0168701j 0.0059727-0.00260855j 0.00209757+0.0254947j 0.00302084-0.0134218j 0.00318836+0.0129705j 0.00065964-0.0329595j 0.00742568-0.0275453j -0.00461764-0.0120599j -0.00479461-0.00728059j 0.00381116-0.0534889j -0.0140251+0.0176324j -0.0168831+0.0204382j -0.00729495+0.00503879j 0.0111166-0.00043j -0.00311831+0.0127528j 
0.000760238+0.01752j -0.00110365+0.0040416j 0.0062371+0.00786416j -0.000395823+0.0116093j -0.00527318-0.0128136j 0.00676294+0.00927297j -0.00212848-0.029918j -0.0132395+0.0140877j -0.0024941+0.0311594j 0.0193143+0.00623503j -0.0126839+0.0288437j 0.00630469+0.00523705j -0.000262404-0.0528083j 0.00132417-0.0259327j -0.00169576-0.0279572j 
-0.00795618+0.000223518j 0.000730562-0.0297149j -0.00259705+0.00219563j -0.0075823+0.0301163j -0.00068234-0.000272594j -0.00954616-0.0266668j -0.0110567+0.0176889j 0.00199986+0.0118919j 0.00576601+0.0112j -0.00347188-0.00753954j 0.00358-0.0165661j -0.00139816-0.00871987j 0.00754383+0.0115471j 0.0130775+0.0158977j -0.00733102-0.0412729j 
0.00867615-0.00056857j 0.00519435-0.0194083j -0.0104606-0.00849803j 0.00862252+0.0261515j -0.00797746+0.0107379j -0.00574465+0.00485705j 0.0327382+0.0206437j 0.00341324+0.00146296j 0.000176311-0.0102988j 0.0102179+0.00362767j -0.00167883+0.0120178j -0.0122995-0.00877138j -0.0280168-0.00963719j 0.0336685-0.0115825j -0.015007+0.029719j 
0.00102853+0.00485159j 0.00260507+0.00505577j -0.000368686-0.00294891j -0.0004381+0.0100635j 0.00158955-0.00836902j -0.00348182-0.00709799j -0.00706764-0.00650294j 0.0156326+0.0317796j 0.00951184+0.0225844j 0.0123648-0.0424088j 0.0188175+0.0144804j 0.0153569-0.0242326j -0.0280834+0.0397413j -0.0158478+0.01813j -0.0276158+0.0124506j 
0.00236139+0.00895287j -0.00960518+0.0032604j 0.000454381+0.00346567j 0.00540635+0.0134444j 0.014955-0.0158083j -0.0206462+0.0084719j -0.00839524+0.00679895j 0.0100786+0.00119006j 0.00850695+0.00852542j 0.00418551+0.0184822j -0.030329+0.00389789j 0.0432882-0.00328265j 0.0124457+0.00363998j 0.00495045-0.014676j -0.0104599+0.0198437j 
0.0014235-0.00634055j 0.0126861-0.000770963j -0.00186829-0.00212251j 0.00640913-0.00971573j 0.00101342-0.0314792j 0.0180411+0.00877771j -0.0143876+0.0152669j -0.0105241+0.0065113j 0.0199724-0.0269474j 0.0146337-0.0103709j -0.0450327+0.0189917j -0.00486179-0.0283781j 0.0030468-0.00804069j 0.000941883+0.013306j 0.000704384-0.00452712j 
-0.00435246+0.00522833j 0.00735862+0.0183029j 0.00821244-0.00690252j -0.0151707+0.00387355j -0.030487-0.00468119j 0.00724605+0.0155085j 0.00983009+0.0259924j 0.0124051-0.00607027j -0.00696356+0.00927696j 0.00944195+0.0095968j 0.0315034+0.0128021j 0.00162133-0.0410661j 0.00573933-0.0124079j -0.0103467+0.015402j -0.00651591+0.00053203j 
3.34096e-05+0.00153476j 0.011721+0.0104266j -0.00321143-0.00961327j 0.00369655+0.010877j 0.020115+0.0184064j 0.0111292+0.0172887j 0.0019392-0.0140287j -0.0107755-0.0129199j 0.0248251+0.0244393j 0.0217713+0.0065465j -0.0158116-0.0548442j 0.00362943-0.0106421j -0.00501378+9.5445e-06j -0.00286849+0.0129798j -0.00413543+0.00219862j 
-0.00174637+0.0207974j 0.00423991+0.00301338j -0.00520033+0.0296371j -0.000577945+0.00156273j -0.006738+0.0279662j 0.00142791-0.0336625j -0.00855801+0.0117961j 0.0283797-0.0491882j 0.0176691-0.00701772j 0.00810629-0.0139666j 0.00343167-8.44828e-05j 0.0138534-0.00514231j 0.0164837-0.0112574j 0.00478239+0.000720497j -0.00121264+0.00305481j 
0.00213546-0.00845598j 0.0101982+0.00255715j 0.00410571-0.00549097j -0.00551697-0.00862167j 0.00754569+0.00394264j -0.0161111+0.000797769j -0.000837971+0.00149858j 0.00812763-0.00204557j 0.00911677-0.011254j -0.0238303-0.00358044j 0.0157404+0.0157563j 4.75645e-05-0.00224898j 0.029895-0.0150692j 0.0119447+0.00797883j 0.0168842-0.0086842j 
0.0144666+0.00650303j 0.00300518+0.0033532j 0.0275813+0.0126954j -0.00159709+0.00482999j 0.0294966+0.00841752j -0.0277069+0.00191673j 0.00292641+0.0137046j -0.048392-0.0266594j -0.0131082-0.00405123j -0.0120803-0.0146778j -0.0121017-0.0059467j -0.0011952-0.0205333j -0.0197898-0.00845575j 0.000437256+5.56967e-05j -0.0105272+0.00611494j 
-0.00618768+0.00699832j -0.00306834-0.00964046j -0.000354508+0.000743824j -0.00338941+0.0131871j 0.00388982-0.00203549j -0.00427171+0.00569515j -0.00606879+0.00556165j 0.0093234-0.0188574j -0.00215649-0.00482414j -0.00103661+0.00954869j 0.0472883-0.0339131j 0.00283434-0.0164625j -0.0424276-0.0064146j -0.0116526-0.00740424j -0.0337039-0.00803867j 
0.012755+0.000250455j 0.00361614+0.00144763j -0.000968821+0.00027993j 0.0125528-0.00324818j 0.00582234+0.000830323j -0.0288504+0.00302922j 0.0108004-0.0141807j -0.000575069-0.000597899j -0.00243298+0.00753575j 0.0319369-0.00570408j 0.00968176-0.0233781j 0.0134503+0.00948499j -0.0040721-0.00467019j -0.00849628+0.0107513j 0.00471446-0.00877977j 
-0.00267719+0.011686j 0.000481058+0.00532423j 0.0127021-0.0137684j 0.0117922-0.000165451j 0.000607096+0.00421775j 0.0141013-0.0295281j -0.00344488+0.00706883j -0.012267+0.00446324j -0.00236016+0.0125407j -0.00676922+0.0395252j 0.0133923-0.00210184j -0.032641+0.0187443j 0.0173695+0.0146258j -0.031581-0.00446718j 0.0173944-0.00319674j 
0.0109406-0.00454386j -0.00432382+0.0138979j -0.0122883+0.0135976j 0.00334248+0.00180038j 0.00649514-0.000533784j -0.00530169+0.00899007j 0.0155503+0.00455441j -0.00463088+0.0154177j -0.00850162+0.0043061j -0.0022072+0.011277j 0.0511419+0.0145894j -0.0171894+0.0132322j -0.0213047-0.0194411j -0.0123237-0.00524127j 0.0219373-0.00947031j 
-0.00693272-8.46961e-05j -0.00126857-0.00695879j 0.00761907-0.000521498j -0.00448228-0.000332148j -0.00578138+0.0056332j 0.00325203+0.0049414j -0.0191054-0.00760156j 0.00465196-0.0135454j -0.000485284-0.00945297j -0.00865677-0.00381911j 0.0139525+0.0405529j 0.0133003-0.0201758j -0.0114684-0.0388007j 7.99863e-05-0.030428j -0.00244244-0.0156401j 
-0.00372646+0.0106856j 0.000351675-0.00348772j 0.00317271-0.0148911j -0.0107736-0.00971637j 0.0189745-0.0131095j -0.0172894-0.0349764j 0.0163268+0.01136j -0.00128927-0.00116362j 0.0360388-0.0139646j 0.0330704+0.0178384j 0.0112407+0.0199945j 0.0299816+0.00711838j 0.0238209-0.0268943j -0.0160792+0.017879j -0.0140162-0.0265891j 
0.00258826-0.0120521j -0.0029157+0.000642287j -0.00555093+0.0176744j 0.000492702-0.00992687j -0.0167674+0.0159398j -0.000658091+0.0127641j -0.0359008+0.0218601j 0.0222379+0.00347428j -0.00512029+0.0292242j -0.00310914-0.000563983j -0.0271669-0.00195935j 0.0218338+0.0254194j 0.00203638-0.00954487j 0.00329611+0.00802569j -0.00741069-0.0286734j 
0.00937269+0.00537495j -0.00665269+0.00234404j -0.0102012-0.00777351j 0.0137385-0.00257353j -0.0114202+0.0167792j -0.00733212-0.00743014j -0.0334476+0.0629572j -0.00995088-0.0143207j -0.0130353-0.0125158j -0.00520853+0.00634263j -0.0330306+0.0368195j -0.0206549-0.0259739j 0.0148943-0.00673055j -0.00893922+0.00607576j 0.00679224+0.0157742j 
-0.00783245+0.0144198j 0.0040537-0.0102207j 0.00418079-0.0234646j -0.00594609-0.0165718j -0.0306649+0.0136908j -0.0186255+0.010576j 0.000440421-0.0131542j -0.0059405-0.00627643j -0.0572667+0.0305122j 0.026459-0.0132376j -0.00692069-0.00235619j -0.00306912+0.00377637j 0.00568478-0.00340142j -0.00059125+0.00042092j -0.00530232+0.00118896j 
0.00587258+0.00517946j -0.00586961+0.000541403j -0.00355709-0.011855j 0.0129878+0.024253j -0.0235154-0.0259124j -0.0136847-0.0115058j -0.0491435-0.0514722j 0.0113406+0.00388501j -8.4742e-05-0.0413461j 0.00469372-0.00234137j -0.0142418-0.0562546j 0.00981354-0.0206793j 0.00826306+0.0134291j -0.0100624+0.00291028j -0.00041941+0.00616835j 
-0.000211929+0.000482546j 0.00567254-0.00666603j -0.000886057-0.00439961j 0.000560253-0.00875809j -0.0202565-0.0366825j -0.0334146-0.00989471j 0.0280866-0.00451946j 0.00265027-0.00285598j -0.0335578-0.0610185j 0.029517+0.00588415j 0.0260626-0.0160782j -0.00640228-0.000649104j -0.00382036-0.0190903j 0.00610905+0.0166796j -0.00949277-0.00874785j 
0.00191912-0.017949j -0.0143762+0.0341865j 0.012027+0.0037732j -0.0187771+0.0258662j -0.0287655+0.0357809j 0.0124084-0.0125301j 0.0175878-0.0137778j -0.0212434+0.0173853j -0.0142692-0.000101955j -0.000929406+0.00569488j 0.00149595-0.00420677j -0.0015694-0.000668414j -0.00556509-0.00654205j -0.000877477+0.0153795j 9.9423e-05-0.00695045j 
0.00242848-0.0177562j 0.0110734-0.0170398j -0.0106307-0.0428181j 0.0247716-0.0148013j -0.0210299+0.0435183j -0.021335+0.0169199j -0.0303694+0.000663053j 0.0178711+0.00659482j -0.0216271+0.0141645j 0.0129343-0.013285j -0.0222189-0.00616234j -0.0111001+0.00853959j 0.00441225-0.00406304j 0.0107366+0.00863865j -0.00247163-0.00457607j 
-0.00835329+0.020553j 0.0027496+0.0179214j -0.0128485+0.0322409j -0.00298304+0.00545305j -0.00796856-0.0259489j -0.00459316+0.00506263j -0.0247363-0.002193j 0.000395829-0.00444317j -0.0418201-0.00319951j 0.00390263-0.00689509j -0.0239123-0.0156263j -0.00448715-0.00854046j 0.00359245-0.00359531j 0.00429249+0.00546947j -0.000221805+0.00274109j 
-0.00921015-0.0264717j -0.0026109-0.00214001j 0.03116+0.0280681j 0.0247823-0.0148491j -0.0169538-0.0223034j 0.0100568+0.00640128j 0.011966+0.0142612j 0.0144737-0.0182436j -0.0200637-0.0366435j -0.00283885+0.0193718j -0.0164021-0.00124252j 0.00907388-0.00182748j -0.0031817+0.0229741j -0.000291467-0.0200697j 0.00743597-0.00792202j 
0.0223694+0.00330469j -0.0202067-0.0200847j 0.0313603-0.00459598j -0.0168827-0.00933592j -0.063287-0.00571164j 0.00920179+0.00916082j 0.00970561-0.00636657j -0.0241511-0.0189764j -0.0248746+0.0123357j -0.00447558-0.0106134j -0.00730908+0.0025188j -0.00530147-0.00587364j 0.00195501+0.00312j -0.0129494-0.0125053j 0.00384156+0.00384078j 
