-0.0145932-0j 0.996833-0j -0.00149542-0j 0.102149-0j 0.101102-0j -8.84741e-05-0j -0.00594422-0j -0.00600582-0j -8.75666e-05-0j -0.000861436-0j 0.0103603-0j -0.000502504-0j -0.00516862-0j 0.102037-0j 0.00604349-0j -6.34507e-06-0j -0.000696145-0j 0.00837236-0j -0.00301503-0j -0.00417687-0j 0.0824584-0j 0.0595216-0j -3.70129e-06-0j -5.12759e-06-0j 
-0.201378-0j 0.00149542-0j 0.965706-0j -0.0146507-0j -0.0145004-0j 0.175079-0j 0.000857974-0j 0.000866866-0j 0.173283-0j -0.0118873-0j 0.0695367-0j -0.00693426-0j 0.000746025-0j 7.61409e-05-0j 0.0405631-0j 0.0252882-0j -0.00960639-0j 0.0561942-0j 0.000435181-0j 0.00060288-0j 6.15311e-05-0j 4.44155e-05-0j 0.0147514-0j 0.0204359-0j 
0.100038-0j 0.00205623-0j 0.000294913-0j 0.680308-0j -0.69306-0j -0.00179261-0j -0.000861436-0j 0.000845586-0j 0.00182621-0j 8.40538e-05-0j -0.00204316-0j -0.00674232-0j -1.06616e-05-0j 0.000210478-0j 0.163891-0j 2.51572e-06-0j 0.00477213-0j -0.116-0j 0.000855217-0j -0.000605312-0j 0.0119499-0j -0.0168834-0j -0.000201797-0j 0.00014283-0j 
0.0119634-0j 0.000120895-0j 1.74497e-05-0j -0.000845586-0j 0.000861436-0j -7.04655e-05-0j -0.710194-0j 0.697127-0j 7.17863e-05-0j -0.00146496-0j 1.25649e-06-0j 0.117511-0j 6.03113e-05-0j 6.1555e-06-0j -0.000100788-0j 7.40392e-08-0j -0.0831729-0j 7.13367e-05-0j -0.00483784-0j 0.00342416-0j 0.000349477-0j -0.00049376-0j -5.939e-06-0j 4.20355e-06-0j 
-0.0253619-0j 1.78095e-06-0j 0.00352427-0j 0.00179261-0j -0.00182621-0j 0.658766-0j 7.17863e-05-0j -7.04655e-05-0j -0.671114-0j -2.13096e-05-0j 0.000253769-0j 0.00170934-0j 8.8847e-07-0j 9.06791e-08-0j -0.0203559-0j -0.00285905-0j -0.00120985-0j 0.0144077-0j -7.12681e-05-0j 5.04427e-05-0j 5.14828e-06-0j -7.27377e-06-0j 0.229337-0j -0.162322-0j 
-0.0579897-0j -0.000845586-0j 0.0116686-0j 0.00421718-0j -0.00417562-0j 0.00106915-0j -0.0727763-0j 0.0735007-0j -0.00105862-0j -0.484685-0j 0.000840209-0j 0.266518-0j -0.00042184-0j -4.30538e-05-0j -0.000462012-0j 9.95374e-05-0j 0.403162-0j -0.000698887-0j 0.00023196-0j 0.000350887-0j 3.58123e-05-0j 2.36744e-05-0j -5.47334e-05-0j -8.27954e-05-0j 
0.0146507-0j -0.0101696-0j 0.0682573-0j 0.10251-0j -0.1015-0j 0.0127322-0j -6.24196e-05-0j 6.30409e-05-0j -0.0126067-0j -0.000840209-0j -0.472886-0j 0.000462012-0j 5.273e-05-0j -0.00104098-0j 0.260029-0j 0.0017874-0j 0.000698887-0j 0.393347-0j -2.8995e-05-0j -4.38609e-05-0j 0.000865886-0j 0.00057241-0j -0.00098285-0j -0.00148676-0j 
0.057395-0j -0.000861436-0j 0.0118873-0j 0.00417562-0j -0.00406649-0j 0.00105862-0j -0.0708744-0j 0.0727763-0j -0.00103095-0j 0.48585-0j -0.000842228-0j -0.288033-0j 0.000422853-0j 4.31573e-05-0j 0.000499309-0j -9.97766e-05-0j -0.399027-0j 0.000691719-0j -0.000250686-0j -0.000347288-0j -3.54449e-05-0j -2.55855e-05-0j 5.91519e-05-0j 8.19462e-05-0j 
-0.0145004-0j -0.0103603-0j 0.0695367-0j 0.1015-0j -0.0988473-0j 0.0126067-0j -6.07884e-05-0j 6.24196e-05-0j -0.0122773-0j 0.000842228-0j 0.474022-0j -0.000499309-0j -5.28567e-05-0j 0.00104348-0j -0.281021-0j -0.00179169-0j -0.000691719-0j -0.389313-0j 3.13357e-05-0j 4.3411e-05-0j -0.000857005-0j -0.000618619-0j 0.00106219-0j 0.00147151-0j 
-0.00173563-0j -6.22833e-06-0j -0.0248229-0j 0.00012622-0j -0.000124976-0j 0.143445-0j 3.67811e-06-0j -3.71472e-06-0j -0.142032-0j 9.95374e-05-0j -0.0017874-0j -5.47334e-05-0j -3.10714e-06-0j -3.17122e-07-0j 0.00098285-0j -0.457698-0j -8.27954e-05-0j 0.00148676-0j 1.70855e-06-0j 2.58453e-06-0j 2.63782e-07-0j 1.74378e-07-0j 0.251678-0j 0.380714-0j 
0.00728015-0j 0.00516862-0j 0.000746025-0j 0.000529648-0j -0.000515806-0j 4.41373e-05-0j -0.00291784-0j 0.00299614-0j -4.29839e-05-0j -0.000422853-0j -5.28567e-05-0j 0.000250686-0j 0.496988-0j -0.000258944-0j 3.13357e-05-0j -3.11461e-06-0j 0.000347288-0j 4.3411e-05-0j -0.294636-0j -0.408175-0j 0.00021267-0j 0.000153513-0j 1.84648e-06-0j 2.55802e-06-0j 
-0.000743028-0j 0.102037-0j -7.61409e-05-0j 0.0104561-0j -0.0101829-0j -4.50475e-06-0j 0.000297801-0j -0.000305792-0j 4.38702e-06-0j 4.31573e-05-0j -0.00104348-0j -2.55855e-05-0j 0.000258944-0j 0.489275-0j 0.000618619-0j 3.17883e-07-0j -3.54449e-05-0j 0.000857005-0j -0.000153513-0j -0.00021267-0j -0.40184-0j -0.290063-0j -1.88455e-07-0j -2.61077e-07-0j 
-0.0073556-0j 0.00507351-0j 0.000732299-0j 0.00053492-0j -0.000529648-0j 4.45767e-05-0j -0.00299614-0j 0.00302596-0j -4.41373e-05-0j 0.00042184-0j 5.273e-05-0j -0.00023196-0j -0.495797-0j 0.000258323-0j -2.8995e-05-0j 3.10714e-06-0j -0.000350887-0j -4.38609e-05-0j 0.272628-0j 0.412404-0j -0.000214874-0j -0.000142046-0j -1.70855e-06-0j -2.58453e-06-0j 
0.000750728-0j 0.10016-0j -7.47399e-05-0j 0.0105602-0j -0.0104561-0j -4.54959e-06-0j 0.000305792-0j -0.000308836-0j 4.50475e-06-0j -4.30538e-05-0j 0.00104098-0j 2.36744e-05-0j -0.000258323-0j -0.488102-0j -0.00057241-0j -3.17122e-07-0j 3.58123e-05-0j -0.000865886-0j 0.000142046-0j 0.000214874-0j 0.406004-0j 0.268396-0j 1.74378e-07-0j 2.63782e-07-0j 
0.00171783-0j -6.34507e-06-0j -0.0252882-0j 0.000124976-0j -0.00012171-0j 0.142032-0j 3.58199e-06-0j -3.67811e-06-0j -0.13832-0j -9.97766e-05-0j 0.00179169-0j 5.91519e-05-0j 3.11461e-06-0j 3.17883e-07-0j -0.00106219-0j 0.458798-0j 8.19462e-05-0j -0.00147151-0j -1.84648e-06-0j -2.55802e-06-0j -2.61077e-07-0j -1.88455e-07-0j -0.271995-0j -0.376809-0j 
0.000861436-0j -0.000837561-0j 1.25649e-06-0j 0.00585821-0j 0.00587229-0j -5.07394e-06-0j 0.050318-0j 0.0501974-0j -5.08614e-06-0j 0.000103794-0j 8.56529e-06-0j 0.00846152-0j -4.27312e-06-0j 8.43585e-05-0j 0.00069826-0j -5.24575e-09-0j -0.00598896-0j -0.00049422-0j -0.000348354-0j 0.000246561-0j -0.00486751-0j 0.00687708-0j -4.27645e-07-0j 3.02682e-07-0j 
-0.049906-0j 1.06616e-05-0j -0.000147124-0j 0.00352742-0j 0.00353589-0j 0.000894283-0j -0.000422853-0j -0.00042184-0j 0.000896432-0j 4.12595e-05-0j 1.04239e-05-0j 0.00336356-0j 0.00102517-0j -5.3414e-07-0j 0.000849779-0j 1.23489e-06-0j -0.00238069-0j -0.000601463-0j 0.0835739-0j -0.0591526-0j 3.08201e-05-0j -4.35442e-05-0j 0.000100671-0j -7.12538e-05-0j 
0.00509351-0j 0.000210478-0j 1.50158e-05-0j 0.0696371-0j 0.0698044-0j -9.12724e-05-0j 4.31573e-05-0j 4.30538e-05-0j -9.14917e-05-0j -4.21103e-06-0j 0.000205785-0j -0.000343292-0j 5.3414e-07-0j 0.00100926-0j 0.016776-0j -1.26036e-07-0j 0.000242978-0j -0.0118739-0j 4.35442e-05-0j -3.08201e-05-0j -0.0582346-0j 0.0822769-0j -1.02747e-05-0j 7.27231e-06-0j 
0.0118873-0j -1.25649e-06-0j -0.000811408-0j -0.000840209-0j -0.000842228-0j 0.0100407-0j -0.00726277-0j -0.00724537-0j 0.0100648-0j 0.0014323-0j 5.74891e-05-0j 0.116764-0j 6.16772e-07-0j 6.2949e-08-0j 0.00468663-0j 2.09068e-05-0j -0.0826441-0j -0.00331714-0j 5.02805e-05-0j -3.55879e-05-0j -3.63218e-06-0j 5.13173e-06-0j 0.00170437-0j -0.00120633-0j 
-0.00182621-0j -1.23384e-05-0j 0.000253769-0j -0.0124192-0j -0.012449-0j 0.0474351-0j -5.08614e-06-0j -5.07394e-06-0j 0.0475491-0j 1.50981e-06-0j 0.00172991-0j 0.000123083-0j -6.2949e-08-0j 1.24272e-06-0j 0.141026-0j 0.000202567-0j -8.71164e-05-0j -0.0998163-0j -5.13173e-06-0j 3.63218e-06-0j -7.17052e-05-0j 0.000101309-0j 0.0165137-0j -0.0116882-0j 
-0.00297122-0j 0.0168834-0j 0.00120448-0j 0.0382919-0j 0.0413831-0j -5.01887e-05-0j 2.55855e-05-0j 2.36744e-05-0j -5.42402e-05-0j 0.000343292-0j -0.016776-0j -0.00039614-0j -4.35442e-05-0j -0.0822769-0j 0.0193586-0j 1.02747e-05-0j -0.000141737-0j 0.00692643-0j 5.02476e-05-0j 1.79784e-05-0j 0.0339702-0j 0.094943-0j -1.18564e-05-0j -4.24218e-06-0j 
-0.00693426-0j -0.000100788-0j -0.0650865-0j -0.000462012-0j -0.000499309-0j 0.00552114-0j -0.00430569-0j -0.00398407-0j 0.00596684-0j -0.116764-0j -0.00468663-0j 0.134739-0j -5.02805e-05-0j -5.13173e-06-0j 0.00540811-0j -0.00170437-0j 0.048209-0j 0.001935-0j 5.8021e-05-0j 2.07596e-05-0j 2.11877e-06-0j 5.92174e-06-0j 0.00196675-0j 0.000703693-0j 
-0.00653784-0j -6.60678e-05-0j -9.53606e-06-0j 0.000462102-0j 0.000463213-0j 3.85085e-05-0j 0.00262033-0j 0.00261405-0j 3.86011e-05-0j 5.40512e-06-0j 6.7564e-07-0j 0.000440636-0j 3.24307e-05-0j 3.30995e-06-0j 5.50796e-05-0j 3.98125e-08-0j -0.000311877-0j -3.89846e-05-0j 0.00264382-0j -0.00187126-0j -0.000190985-0j 0.000269834-0j 3.24559e-06-0j -2.29719e-06-0j 
0.00106529-0j -0.00098972-0j 0.0203559-0j -0.00682903-0j -0.00738031-0j 0.0260835-0j -3.01528e-06-0j -2.79005e-06-0j 0.0281892-0j -0.000123083-0j -0.141026-0j 0.000142031-0j 5.13173e-06-0j -0.000101309-0j 0.162736-0j -0.0165137-0j 5.08179e-05-0j 0.0582262-0j -5.92174e-06-0j -2.11877e-06-0j 4.18281e-05-0j 0.000116905-0j 0.0190559-0j 0.0068181-0j 
