0.0119103-0.00828938j -0.0174291-0.00779058j -0.028166-0.0076089j -0.00639775-0.0214289j 0.0176904+0.0354691j 0.0136137-0.0224001j -0.0235843-0.023233j -0.00795839-0.0306756j 0.000354203-4.28527e-05j -0.00893352+0.00407134j 0.0279931-0.0130752j -0.0297715+0.00197272j -0.0151546+0.0030528j 0.000205068+0.0129346j -0.0118064-0.0060369j -0.00044147-0.00169322j 0.0005209-0.0230623j 0.0175564+0.0177619j -0.00292725-0.00835015j -0.0111533+0.0181025j 0.0111155+0.00788279j -0.00242969+0.00627483j -0.0012158-0.0111023j 0.0158472-0.00246751j 0.00759985-0.00260498j -0.00531123+0.00409701j -0.0046742+0.00492195j -0.00258621+0.00666775j 0.00103586-0.00773692j -0.00970528+0.0140088j 0.0203652+0.00150388j 0.00112842+0.0151266j 0.00745198+0.00533811j -0.0159931-0.00125647j 0.00990141-0.00709707j -0.00512456-0.0122546j -0.013568-0.00167032j 0.0233981-0.00555196j 0.0289365+0.0252816j -0.00432671-0.010645j 0.0140304-0.0180845j -0.00681267+0.0225498j -0.00308779+0.0181626j 0.0142517-0.0025824j 0.003846-0.0264862j -0.00658792-0.0277452j 0.00715358-0.0207375j -0.0313333-0.00934615j 7.6721e-05-0.00843084j -0.0287807-0.00117453j 0.00100573-0.0299208j 0.0065396-0.019043j 0.00839814+0.0198409j -0.0113244-0.00669003j -0.0008236-0.00446969j -0.043139-0.00680656j 0.00221459-0.00293781j -0.00904475-0.0195969j -0.00402319-0.00189941j 0.0248684+0.0151893j 0.00316363+0.0112214j 0.0144835-9.50551e-05j -0.0143778-0.0138563j -0.0150443+0.0173962j -0.00695621+0.012916j 0.0354925-0.0223436j 0.0146337-0.024829j 0.0741284+0.040495j 0.00734064+0.00279447j 0.0601808+0.0174799j -0.00407066+0.00731469j -0.0105459-0.00409656j 
0.0193907+0.00587535j 0.00460344-0.00891722j -0.0249366-0.00225214j 0.00616996-0.00449947j 0.043927-0.0200898j -0.00140514-0.00919646j -0.00992059-0.0151061j -0.000241528+0.00352865j -8.91043e-05+0.00149333j 0.0103616+0.0101444j -0.00359223-0.00511156j -0.0122476+0.015849j 0.00646164-0.00979725j 0.0209422+0.0107455j 0.0093508-0.00718258j 0.000546243-0.00935308j -0.013723+0.0101091j -0.00106342+0.00155546j 0.00437835+0.0104917j -0.00747439+0.0101064j 0.0113889-0.00240136j 0.0151467+0.0105362j 0.00422922-0.00462152j 0.00126505+0.00231138j 0.0022868-0.00522325j -0.0027369+0.00489398j -0.0037578-0.00786039j -0.00247921-0.00524523j -0.0082189-0.0102906j 0.0118148-0.00737674j 0.0102481+0.00228935j -0.010602+0.0114449j 0.00692353+0.00375171j -0.0033166+0.00378394j 0.0102889+0.00313476j 0.00649113-0.000576441j -0.00693787+0.0125698j 0.0142688-0.0130691j -0.0120322+0.0139435j 0.00653464+0.0150306j 0.00368106+0.0145631j -0.0229063-0.00651426j 0.00408874-0.0182088j 0.00508865+0.0102065j -0.00169217+0.00805112j -0.000859984-0.00751935j -0.00373885+0.0213026j -0.0150866-0.0155104j -0.0290507+0.0050922j 0.0192917-0.0183281j 0.0263713-0.00469013j -0.018125+0.0197307j -0.00260124+0.0160294j 0.0146167+0.0398321j -0.00647167-0.00531291j -0.0021689+0.00407104j 0.00576552+0.0170229j 0.013769+0.035872j -0.028993+0.0238894j -0.00142466-0.00892091j -0.00341551-0.00814302j 0.0362089-0.00600253j -0.0160856-0.00791451j 0.00139396+0.012904j 0.0364422-0.0123925j 0.00278318-0.0241156j -0.0118651-0.0321696j 0.0354926-0.0653797j -0.0261495-0.00192235j 0.0210931-0.0268254j -0.00415967-0.00144069j 0.000226945-0.00387326j 
-0.0214524-0.00471491j -0.00483913+0.00690165j 0.048647-0.0177695j 0.000624849+0.0206794j -0.061741+0.0361857j 0.0144252+0.00445035j 0.0312406+0.0104045j -0.010169+0.0185928j 0.00995969+0.00716853j -0.00741638-0.00839366j -0.0138859-0.00387406j 0.0233379-0.0156933j -0.0116574+0.00997784j -0.0255237-0.00860036j 0.00634909+0.0131307j 0.0054062+0.00451706j 0.014801-0.0189343j 0.00700108-0.0231871j 3.9663e-05-0.00937614j 0.0135349-0.0122279j -0.035581-0.00696645j -0.0222283-0.0214679j 0.00247382+0.00130226j -0.00530969-0.0172279j 0.0128777+0.0177483j -0.00779109-0.0153092j 0.00571716+0.00623946j 0.0133437-0.00498247j -0.00801006+0.0124894j -0.00841155-0.0034616j -0.0262617-0.0205625j 0.0202731-0.0188446j -0.00772353-0.018503j 0.00585743-0.00247837j -0.00635158-0.0172536j -0.012242-0.0109764j 0.0172319-0.0148084j -0.027072+0.0201385j 0.00498132-0.0167194j 0.000533656-0.00425432j 0.00288052-0.0167505j -0.00196213+0.0129379j -0.00567645-0.0139565j 0.00409467-0.0325294j -0.0145758-0.012656j -0.00521524+0.0157449j -0.000516764-0.00317488j -0.0201795+0.000177313j 0.00850947-0.0118806j 0.0184215+0.00546495j -0.0235303-0.0126818j 0.0131895-0.00654565j 0.0138859+0.00189968j -0.00422705-0.00937285j 0.0233044-0.00509699j 0.0234893+0.0212458j 0.0172392-0.0264347j -0.0109609+0.00164309j 0.00136219-0.00795993j 0.0213119-0.0139087j 0.0392959+0.0263752j -0.0208798+0.0334574j 0.0823849+0.0136767j 0.0184769+0.0244375j 0.00383542+0.0566847j -0.0153718+0.0054748j 0.0297509-0.000145445j -0.0278207+0.0428547j 0.00204733-0.0281787j -0.0417929-0.00338456j -0.00469568-0.00506876j 0.00538156+0.00962012j 
-0.0176964+0.0134958j 0.0214303+0.0085327j 0.0351002+0.00497771j 0.00545449+0.0180924j -0.0374332-0.0439353j -0.00773377+0.0407368j 0.0254621+0.0358496j 0.0228711+0.0284636j -0.0127255+0.000289987j 0.00969632-0.00989849j -0.0136941+0.0370035j 0.0180177-0.0144115j 0.026656-0.00552154j -0.0202634-0.0341603j 0.00430096-0.000979772j -0.0129796+0.0264687j -0.00330533+0.0338777j -0.0384702-0.022837j -0.00811192+0.00330101j 0.000439207-0.0259633j 0.0191108-0.00798101j 0.00643577-0.00200504j -0.0153892+0.0119475j -0.025756+0.00900445j -0.00868975+0.0001868j 0.0149402+0.00800621j 0.0164327-0.00678689j 0.00509959-0.00431159j 0.00741984+0.00387409j 0.000555526+0.00318089j -0.00848935+0.0120535j 0.0129272-0.0221767j -0.00164898-0.00312596j 0.0321164-0.000951307j -0.0363571+0.0166065j 0.00627912+0.0260159j 0.0194193+0.0027822j -0.0351463-0.00734131j -0.0252896-0.0529856j 0.00494668-0.00908855j -0.00545912+0.0224623j 0.0278586-0.0277358j 0.0176075+0.00441073j -0.0393636+0.00713538j -0.00940426+0.0295555j 0.0214215+0.0472658j -0.0116887+0.0118513j 0.0443334+0.014977j 0.0267928+0.010494j 0.0144702+0.00597068j 0.00438203+0.047203j -0.0118397+0.00658634j -0.00649494-0.0413485j -0.0139709-0.00234269j -0.011207+0.00580662j 0.0179256-0.00214708j -0.0104111-0.00221081j -0.00539647+0.0035337j 0.0244746-0.00804508j -0.0331298+0.00805477j -0.0232789+0.00442926j -0.0283202+0.00279721j -0.00453458+0.0269898j -0.0245923-0.032691j -0.0148496-0.0129856j -0.0224768+0.0330623j -0.0213341+0.034348j -0.087113-0.0296195j -0.0140642-0.0230582j -0.0340681-0.0285309j 0.0069518-0.0207102j -0.00182351+0.00958932j 
-0.0132771-0.00283832j -0.0092078+0.0124812j -0.0119513+0.00500714j -0.0163817-0.00792201j -0.0170655+0.0408469j 0.00364691+0.00337435j -0.0101781+0.0137684j 0.00819168-0.0353003j -0.0212889-0.00756127j -0.0253202+0.00276639j 0.0324566-0.00171617j -0.025774-0.0134817j 0.000112618+0.00740359j -0.033665-0.0183203j -0.0354187+0.0188292j -0.0192239+0.0179383j 0.0030229-0.019662j 0.0207698+0.00707373j -0.00548974-0.0274572j -0.0104092-0.00211486j 0.00405884+0.00661331j -0.0142206-0.00066274j 0.00118935-0.00898867j 0.0105125-0.00206083j -0.000950732+0.00128669j -0.00669348-0.0140328j 0.00851739+0.00350713j -0.000613796-0.00592198j 0.0180015+0.028062j -0.0173859+0.0196776j 0.00372649-0.00351599j 0.029678-0.00209922j 0.00982502+0.00504857j 0.00542465-0.0189433j -0.025533-0.00670108j -0.00842194-0.00167219j 0.00677106-0.0131407j -0.00305555+0.000284022j 0.0312665-0.010986j 0.00315187-0.0388039j -0.00844792-0.0312435j 0.038758+0.0197897j 0.00751713+0.0217716j -0.025472+0.0155599j -0.00511483+0.014499j 0.0144231-0.02452j 0.01494-0.048576j 0.0197061+0.0320228j 0.0314612-0.00274076j -0.0590791+0.0452944j -0.0166109+0.00492012j 0.0333618-0.0521727j 0.0227739-0.0263269j -0.0514894-0.0449623j -0.0157807+0.00150357j -0.0395397-0.021455j 0.00278973-0.00505094j -0.0287524-0.0684633j 0.0310966-0.00715531j -0.018944+0.0282236j -0.0210364+0.011048j -0.0295849-0.00262189j -0.021245+0.0161679j -0.0216005-0.00448931j -0.0386875-0.017658j 0.00663051+0.029772j 0.00102142+0.0430647j -0.00834127+0.0778645j -0.00181778+0.0448813j -0.00715312+0.0138214j -0.00496599+0.017804j -0.00113642+0.0167592j 
-0.00160175+0.00868418j 0.00971332-0.00583627j 0.0238689-0.0172691j -3.87771e-05+0.018436j -0.0105931-0.0109701j 0.0101362+0.00675571j 0.011278+0.00315535j 0.00252416+0.0337072j 0.00468026+0.00546321j 0.0196926-0.004269j -0.0285299+0.0204991j 0.0282337-0.00456553j 0.0107375+0.00434367j 0.015838+0.000227064j 0.0267031-0.0213372j 0.0117188+0.0122243j -0.00491866+0.00144575j -0.0381118-0.0183035j 0.00107465+0.00776072j 0.0156712-0.00762319j 0.00748271-0.0103j 0.00728861+0.0082415j -0.0114581+0.00691622j -0.0236519+0.00155288j 0.000373463-0.00711916j 0.0125+0.0175595j -0.00166806+0.00268201j 0.00902475+0.00224987j -0.0159662-0.0197114j 0.00942501-0.00566003j 0.000357242-0.00359281j -0.00618823-0.00844218j 0.00120998+0.00251014j 0.00759471+0.0056861j -0.00947948+0.00760438j 0.0176794+0.00760559j 0.00108793+0.00864074j -0.0230822+0.0215955j -0.0308433-0.0222847j -0.0115843+0.0155794j 0.0165735+0.0174895j -0.0211347-0.0199408j 0.0164854+0.00300404j -0.0105705-0.011592j -0.0145403-0.0234234j 0.00280211+0.0216391j -0.0193696+0.0269625j 0.00503943-0.0163687j -0.00344853+0.0122517j 0.0270062-0.0174071j 0.0131752+0.000778202j -0.026251+0.0330781j -0.0160683-0.0209591j 0.033455+0.0021605j -0.00774893+0.00512017j 0.0212798-0.00517067j -0.023653-0.0117312j 0.0164932+0.0303166j 0.0124377-0.0115387j -0.0103876-0.00482045j 0.00525282-0.0196368j -0.000287738+0.00592036j -0.00624296-0.0293613j 0.0347712-0.0207681j 0.0224892-0.00499212j -0.0268105+0.00335723j -0.0201242-0.0185989j -0.0221446-0.042384j -0.0197018-0.0125519j -0.0179335-0.0288221j -0.0141439-0.00888465j 0.00945046+0.0149094j 
0.033375-0.0060233j -0.00240641-0.0172749j -0.0650892+0.0224681j -0.00579697-0.0361633j 0.0885935-0.0417068j -0.0195235-0.000427885j -0.0315963-0.0209741j 0.00316556-0.0179861j 0.00950575-0.00664232j 0.0153173-0.000595195j 0.00833358-0.00336357j -0.00364767+0.0233045j 0.00425916+0.00665352j 0.0592756+0.0402681j 0.00453075-0.0193268j 0.020324-0.03501j 0.00148379+0.0270972j -0.00167714+0.0513823j 0.00871228+0.0277957j -0.0128191+0.00940973j 0.0143838+0.0193857j 0.0259486+0.0295203j 0.0137302-0.00283354j 0.0241629+0.0346824j -0.0296252-0.0230915j 0.00272158+0.0220045j -0.0197224-0.00414944j -0.0298147+0.0203823j 0.00547124-0.0123425j 0.045322-0.0189468j 0.0334238+0.0385859j -0.0517433+0.0299296j -0.00197615+0.0291474j -0.0235625+0.00890765j 0.0160929+0.0131926j 0.0292019+0.0112192j -0.0214009+0.0354667j 0.0385947-0.0260236j -0.0161963+0.0527187j -0.00574894+0.0307552j -0.0237859+0.0301766j -0.00399844-0.0089937j -0.00739641+0.0174038j 0.0277268+0.0110917j 0.0302303+0.000425937j -0.0018461-0.0508554j 0.00732672+0.00952819j 0.00909316-0.000747664j -0.0362336+0.00934217j -0.00191879+0.00567816j 0.0305533+0.00839315j 0.008173+0.0113262j -0.0422086+0.0139426j 0.00577603+0.0238179j -0.0161012+0.0168776j 0.00377753-0.0254486j 0.00617071+0.0394344j 0.0294375+0.00733742j -0.0105809+0.00766387j -0.0332422+0.0253286j -0.0282092-0.0411691j 0.0318932-0.0445319j -0.0596191-0.0202705j 0.000890264-0.0185479j 0.0279074-0.0647547j -0.00608457-0.0382952j 0.00477228-0.0185597j 0.0514508-0.0456831j -0.022363+0.0383957j 0.0499043+0.0111205j -0.0249089+0.00754293j 0.00258901-0.00421848j 
-0.00505717-0.0175903j -0.0245295+0.00425272j -0.0184018-0.00758914j -0.0220868-0.0260775j 0.0328835+0.0909932j -0.00458955+0.0311933j 0.0156787-0.0332335j -0.0105932-0.0369187j -0.00417106+0.0270756j 2.59803e-05+0.00450234j 0.0141897-0.0428867j 0.000815591-0.0330114j -0.0305203-0.0341867j 0.025107+0.0555274j 0.0145928+0.0159238j 0.0184884-0.00635886j 0.0236419-0.0293873j 0.0393395+0.0149832j 0.00790461-0.016513j -0.0194961-0.0170477j -0.0509732+0.00292734j -0.0345117-0.0607025j -0.00221671-0.0356651j 0.0392669-0.0103623j -0.0047145+0.0203377j -0.00389254-0.0423135j -0.0160995+0.0194377j -0.00172093-0.0468474j -0.0618559-0.00828202j -0.00577244-0.00901064j 0.00237227-0.000878335j 0.0256413+0.0221876j -0.00855502+0.00911765j -0.0438972+0.0290757j -0.029875+0.0128476j 0.0204042-0.0117877j -0.0052887+0.00835032j 0.043556+0.00923j 0.0152337+0.0674948j 0.00672793-0.00826499j -0.00181923+0.0161679j -0.0177192+0.0478992j -3.89342e-05-0.0425803j 0.0505234-0.0440767j 0.00548222-0.0272705j -0.0239446-0.00485755j 0.0237266-0.0484914j -0.0594905-0.0146173j -0.00195105-0.00517451j -0.00531661-0.00495484j 0.0318703-0.0247065j 0.0119126-0.0162422j 0.0167752+0.0267323j -0.020525+0.00194326j 0.0614135+0.0229091j 0.0293565+0.0108856j 0.0543896-0.0448985j 0.0224097-0.0106005j -0.0154262+0.0343742j 0.0290494+0.0143088j 0.0604393-0.00982644j 0.0296505-0.0348411j 0.0334187+0.0432905j 0.0390121+0.0299096j 0.0133079+0.0401577j -0.00987517-0.0124819j 0.0436769+0.0526529j 0.11073-0.0166199j -0.0149493+0.0104653j 0.0501332+0.0072639j -0.0247509+0.00078653j -0.027316-0.00974162j 
0.0091628-0.00626034j -0.00673165-0.00715869j -0.0269639+0.0314331j -0.0302293-0.0301569j 0.0608436-0.00222436j -0.0301129+0.0370099j -0.00233039-0.0106884j -0.0112998-0.0355988j 0.0006479-0.00312995j 0.0161847-0.00710676j 0.0276372+0.00817128j -0.00101431-0.00857668j 0.00407055+0.0361574j 0.0285461+0.0567073j -0.0258279-0.0154377j 0.0234839-0.027892j 0.031466+0.00149998j 0.0145459+0.0620986j -0.0159933+0.0174297j -0.00914679-0.0110464j 0.0163011+0.00904715j 0.0238101+0.0345149j -0.0116082-0.0239933j 0.021551+0.0639977j -0.0536352-0.0283139j -0.00845829+0.0167301j -0.011227-0.00331273j -0.0546831+0.0295641j 0.0404051+0.00682417j 0.0594402+0.0130668j 0.0427273+0.0682426j -0.0176173+0.0147922j 0.00446785+0.0473376j -0.0171959-0.0158675j 0.000497968+0.0382143j 0.0376695+0.018029j 0.0156354+0.0650124j -0.00562325-0.016215j 0.0103262+0.0280536j 0.0258842+0.00192525j -0.0347267+0.0217919j 0.0398118-0.00216396j 0.0078413+0.0447534j 0.00915316-0.015544j 0.0125182-0.040427j -0.00849352-0.0408712j 0.0150114-0.0144541j 0.0313889+0.0103379j -0.0257951-0.0148265j -0.0465396+0.0832565j 0.00208618+0.0228914j 0.0255132+0.0129609j -0.0708352-0.0365082j -0.00872524-0.0390308j -0.00627836+0.0464029j 0.00415205-0.040979j -0.00302759+0.0255603j 0.00289251-0.0383741j 0.041945-0.0513232j -0.06202+0.0521638j -0.0140878-0.0674738j 0.0100445-0.0399975j -0.0614907-0.00290341j 0.0107427-0.0355079j -0.00305715-0.0493867j -0.0497608+0.000233497j -0.0019889+0.0403485j 0.0260783-0.0122419j -0.0134412+0.0505634j 0.0537813+0.0133423j -0.00197282-0.00106962j -0.00247268+0.000427844j 
-0.0361667+0.00664205j 0.0047035+0.0197057j 0.0607731-0.0178697j -0.0110114+0.0508002j -0.059985+0.0736751j 0.00842467+0.00333206j 0.0314044+0.0216333j -0.0143177+0.0130228j -0.0244555-0.00252798j -0.00897291+0.0106881j -0.0218405+0.0144693j 0.0259416-0.0330344j 0.0129605+0.0141303j -0.0415147-0.0148576j -0.0120176+0.0142882j 0.00313205+0.0405526j -0.0069235-0.0600093j 0.00709564-0.0435711j 0.00413702-0.0397967j 0.0381473-0.0156286j -0.0246139-0.0309126j -0.0161885-0.00227195j -0.0164772-0.003391j -0.0452601-0.0105848j 0.0116278+0.000388128j -0.0124849-0.0287692j 0.00631545+0.00854758j -0.00553141-0.00701824j 0.0131014+0.0367829j -0.0291191+0.0195138j -0.0345646-0.0267763j 0.0529542-0.0250206j 0.0272544+0.0089623j 0.0269295-0.0513571j -0.0337419-0.0115985j 0.00850723-0.0050849j 0.0345156-0.00760488j -0.0670046+0.061371j 0.0140867-0.0709077j 0.0234667-0.047151j 0.0126015-0.0381532j 0.0299874-0.0128251j 0.0474009+0.00626361j -0.0451111+0.00815564j -0.061948-0.0274294j -0.00718669+0.00108559j -0.0157588-0.0338581j 0.0365389+0.0127463j 0.0372748+0.0053004j -0.0483892+0.0722799j -0.0255578-0.0145679j 0.0188828-0.00164211j -0.0183258-0.0541387j 0.0103371-0.083281j -0.00767308+0.0421083j -0.0052005-0.00135249j -0.0448857-0.0185785j -0.0187991-0.0422388j 0.0439055-0.058923j -0.0243699+0.0172545j 0.0141554-0.0256432j -0.0479727+0.0278526j 0.00685842+0.00592522j 0.0405022-0.0406755j -0.0121011+0.0199679j -0.0494006+0.051591j -0.0228094+0.062775j -0.0929114+0.0340054j 0.0272821+0.00244113j -0.0479354+0.00444083j 0.0430641-0.0194449j 0.00386569+0.00425631j 
0.00117709+0.0191533j 0.0279131-0.010165j 0.034392-0.0239576j 0.0119993+0.0270054j -0.0144783-0.0550203j 0.0117716+0.103359j 0.0845956+0.0271096j 0.0497697+0.0651659j 0.00816415+0.042121j 0.0755725-0.0333977j -0.0339479+0.0754939j 0.0396521-0.0456044j 0.0553472-0.0145604j 0.0162803-0.00944602j 0.0719866-0.0794763j 0.0268508+0.070859j -0.0133607+0.0624423j -0.12575-0.0404899j -0.0134604+0.0344454j 0.00545415-0.0391033j 0.0816443-0.0555085j 0.0333414+0.000866617j -0.0993846-0.00808966j -0.0619682+0.0641662j -0.0347027-0.00891114j 0.064004+0.0579872j 0.0310622-0.0032076j 0.0128532-0.0064689j -0.0397054-0.0902324j 0.0504516+0.0236349j 0.0487166+0.0642825j 0.0207981-0.0280783j -0.00108704+0.00539312j 0.0130335+0.0255634j -0.0969287+0.0816864j 0.0702656+0.0509481j 0.0217256+0.0625197j -0.0728697-0.020347j -0.0614534-0.0738884j -0.0226155+0.0118075j 0.0153698+0.100105j -0.0427192-0.0450677j 0.0529842+0.0353719j -0.0239736-0.0627801j -0.02902-0.0525031j 0.0108315+0.162126j -0.0473808+0.0655959j 0.0129612-0.0399953j -0.0162946+0.0207825j 0.0565822-0.0265382j 0.0388467+0.070436j -0.0506824+0.0742925j -0.021136-0.0237408j -0.0180009+0.0160027j 0.0420469+0.0116264j 0.0637312-0.0053303j 0.00147076-0.00583143j 0.0432836+0.0473159j 0.00110694+0.0251458j -0.035565+0.0125944j 0.0163372-0.0202146j 0.0132114-0.0472669j 0.00139927+0.00887141j -0.0185724-0.0334931j 0.028494-0.0223215j -0.0548189-0.000950522j -0.0187004+0.0138448j -0.0260605-0.15542j -0.0222047-0.0170921j -0.0378215-0.038072j 0.00519014-0.00662289j 0.0591217-0.0201833j 
