1.00719-0j 0.103211-0j 0.102152-0j 0.0725241-0j 0.010468-0j 0.0423057-0j 0.00610631-0j 0.00743182-0j 0.0586083-0j 0.00845938-0j 0.00849351-0j 0.00306547-0j 0.000619319-0j 0.00520119-0j 0.0480466-0j 0.0420407-0j 0.000707793-0j 0.00728015-0j 0.0294224-0j 0.000433433-0j 0.000255456-0j 0.0411828-0j 0.0173409-0j 0.000606679-0j 
0.0020776-0j 0.687378-0j -0.700263-0j 0.0001496-0j -0.00206439-0j -0.0120001-0j 0.165594-0j 0.0494954-0j 0.00849351-0j -0.117205-0j -0.000828746-0j 0.0618457-0j 0.0125483-0j -0.0356546-0j 9.91088e-05-0j -0.0059191-0j -0.000210107-0j -0.049906-0j 0.00426389-0j -0.00903927-0j 0.0156793-0j 0.0059682-0j -0.00739605-0j -0.0126523-0j 
0.0711897-0j 0.0075058-0j -0.00743182-0j -0.493202-0j 0.000739888-0j 0.271201-0j -0.000406848-0j -0.0520001-0j 0.410246-0j -0.00061544-0j -0.0577603-0j 0.102454-0j 4.50386e-05-0j 0.0364073-0j 0.00339599-0j 0.00305732-0j 5.00276e-05-0j 0.0509595-0j -0.00214055-0j -3.15332e-05-0j -8.87376e-05-0j -0.00299614-0j -0.00602371-0j -4.41373e-05-0j 
-0.0102753-0j 0.103576-0j -0.102555-0j -0.000739888-0j -0.477801-0j 0.000406848-0j 0.262732-0j 0.00745807-0j 0.00061544-0j 0.397436-0j 0.00828422-0j -0.0146943-0j -0.0891254-0j -0.00522168-0j -0.000490169-0j -0.000441286-0j -0.0989981-0j -0.00730883-0j 0.000308961-0j 0.0624001-0j 0.1756-0j 0.000432456-0j 0.000869448-0j 0.0873419-0j 
0.0725241-0j 0.00743182-0j -0.00723761-0j 0.494387-0j -0.000741665-0j -0.293094-0j 0.000439691-0j 0.0506617-0j -0.406038-0j 0.000609127-0j -0.058843-0j -0.0212376-0j -4.38794e-05-0j 0.106945-0j 0.00345965-0j -0.00297863-0j 5.09654e-05-0j -0.0504369-0j -0.00628781-0j -9.26281e-05-0j 1.83944e-05-0j 0.00296541-0j 0.00124865-0j 4.36846e-05-0j 
-0.010468-0j 0.102555-0j -0.0998747-0j 0.000741665-0j 0.478949-0j -0.000439691-0j -0.283942-0j -0.00726611-0j -0.000609127-0j -0.393359-0j 0.00843951-0j 0.00304598-0j 0.0868315-0j -0.0153386-0j -0.000499357-0j 0.000429928-0j -0.100854-0j 0.00723386-0j 0.000907567-0j 0.183299-0j -0.0364001-0j -0.00042802-0j -0.000180227-0j -0.0864461-0j 
0.0001496-0j 0.0494954-0j 0.0496144-0j 0.0010198-0j 0.000146264-0j 0.0831365-0j 0.0119238-0j 0.337404-0j -0.058843-0j -0.00843951-0j 0.00574155-0j -0.428467-0j -0.000889057-0j -0.73312-0j 7.13644e-06-0j 0.000419374-0j -1.5129e-05-0j 0.345749-0j -0.000911228-0j 0.00193177-0j 0.00112901-0j 0.000429747-0j -0.000532561-0j -0.000911046-0j 
0.0120001-0j 0.0272164-0j 0.0294135-0j -0.0831365-0j -0.0119238-0j 0.095935-0j 0.0137594-0j -0.188555-0j 0.0343251-0j 0.00492305-0j 0.460555-0j -0.0988168-0j 0.000496843-0j -0.144092-0j 0.000572445-0j -0.000234364-0j -0.00121356-0j -0.201687-0j -0.000179099-0j 0.000379682-0j 0.000260382-0j -0.000250686-0j -0.000122824-0j 0.000531444-0j 
-0.000846266-0j 0.0059191-0j 0.00593332-0j 5.99589e-05-0j 8.65432e-06-0j 0.00488797-0j 0.000705518-0j -0.000419374-0j -0.00345965-0j -0.000499357-0j -7.13644e-06-0j 0.000532561-0j -3.49479e-05-0j 0.000911228-0j 0.0058835-0j 0.345745-0j -5.94703e-07-0j -0.000429747-0j -0.751244-0j 7.59357e-05-0j 4.43801e-05-0j 0.354297-0j -0.439059-0j -3.58123e-05-0j 
-1.24667e-05-0j -0.0125483-0j -0.0125784-0j 8.83277e-07-0j 0.00174789-0j 7.20066e-05-0j 0.142492-0j 0.000889057-0j -5.09654e-05-0j -0.100854-0j 1.5129e-05-0j -0.00112901-0j 0.32672-0j -0.00193177-0j -5.94703e-07-0j -3.49479e-05-0j 0.00555974-0j 0.000911046-0j 7.59357e-05-0j -0.709905-0j -0.414899-0j -3.58123e-05-0j 4.43801e-05-0j 0.334801-0j 
-0.00849351-0j 0.0411704-0j 0.0407481-0j 0.058843-0j 0.00843951-0j 0.0343251-0j 0.00492305-0j -0.285228-0j -0.0948524-0j -0.0136041-0j 0.650221-0j -0.117651-0j 0.000751575-0j -0.199618-0j 0.00080819-0j -0.000354523-0j -0.00171333-0j -0.279407-0j -0.000248115-0j 0.000525993-0j 0.000310009-0j -0.000347288-0j -0.000146233-0j 0.000736237-0j 
-0.0678827-0j 0.00325478-0j 0.00351753-0j -0.00488797-0j -0.000705518-0j 0.00564045-0j 0.000814129-0j 0.000234364-0j 0.00201813-0j 0.000291291-0j -0.000572445-0j 0.000122824-0j 1.95303e-05-0j 0.000179099-0j 0.471941-0j -0.193217-0j -4.77037e-05-0j 0.000250686-0j -0.147654-0j 1.49249e-05-0j 1.02353e-05-0j -0.206673-0j -0.10126-0j 2.08905e-05-0j 
-0.00100001-0j -0.00690001-0j -0.00745702-0j -7.20066e-05-0j -0.142492-0j 8.30917e-05-0j 0.164427-0j -0.000496843-0j 2.97298e-05-0j 0.0588314-0j 0.00121356-0j -0.000260382-0j -0.182585-0j -0.000379682-0j -4.77037e-05-0j 1.95303e-05-0j 0.445971-0j -0.000531444-0j 1.49249e-05-0j -0.139529-0j -0.0956878-0j 2.08905e-05-0j 1.02353e-05-0j -0.1953-0j 
0.0059191-0j -0.0295202-0j -0.0287604-0j -0.000419374-0j 0.00578712-0j -0.000234364-0j 0.00323409-0j 0.00209154-0j -0.000354523-0j 0.00489221-0j -0.0023611-0j 0.00418805-0j 0.000530254-0j -0.00441697-0j -0.0411513-0j 0.0364532-0j -0.000598594-0j 0.0020831-0j -0.0769829-0j -0.00111981-0j 0.00106177-0j 0.0363061-0j 0.0729931-0j 0.000528115-0j 
-0.000739888-0j 0.00745807-0j 0.00726611-0j -0.00504371-0j 0.0338527-0j -0.00281864-0j 0.0189183-0j 0.0508406-0j -0.00426376-0j 0.0286178-0j -0.057393-0j 0.101802-0j 0.00631463-0j -0.107367-0j -3.52951e-05-0j 3.12656e-05-0j -0.00712847-0j 0.0506355-0j -6.60276e-05-0j -0.0133354-0j 0.0126443-0j 3.11395e-05-0j 6.26055e-05-0j 0.00628915-0j 
0.0480466-0j 0.00492352-0j 0.00487302-0j 0.00345965-0j 0.000499357-0j 0.00201813-0j 0.000291291-0j 0.000354523-0j -0.0055768-0j -0.000804942-0j -0.00080819-0j 0.000146233-0j 2.95436e-05-0j 0.000248115-0j 0.666296-0j -0.29228-0j -6.73491e-05-0j 0.000347288-0j -0.204553-0j 2.06762e-05-0j 1.21861e-05-0j -0.286315-0j -0.120559-0j 2.89407e-05-0j 
0.000707793-0j -0.0104377-0j -0.0103306-0j 5.09654e-05-0j 0.100854-0j 2.97298e-05-0j 0.0588314-0j -0.000751575-0j -8.2154e-05-0j -0.162572-0j 0.00171333-0j -0.000310009-0j -0.276196-0j -0.000525993-0j -6.73491e-05-0j 2.95436e-05-0j 0.629632-0j -0.000736237-0j 2.06762e-05-0j -0.193297-0j -0.113925-0j 2.89407e-05-0j 1.21861e-05-0j -0.27056-0j 
9.91088e-05-0j 0.0327903-0j -0.0334049-0j 7.13644e-06-0j -9.84786e-05-0j -0.000572445-0j 0.0078994-0j 0.0023611-0j -0.00080819-0j 0.0111525-0j 7.88583e-05-0j 0.00295025-0j 0.000598594-0j -0.00170085-0j 0.00137441-0j 0.0411513-0j 1.99924e-05-0j -0.00238069-0j -0.0296438-0j -0.000431204-0j 0.000747957-0j -0.0414927-0j 0.0514196-0j -0.00060356-0j 
-1.23886e-05-0j -0.00828422-0j 0.00843951-0j 8.58281e-05-0j -0.000576067-0j -0.00688465-0j 0.0462088-0j 0.057393-0j -0.00971989-0j 0.0652386-0j 0.00191687-0j 0.0717139-0j 0.00712847-0j -0.0413437-0j 1.17882e-06-0j 3.52951e-05-0j 0.000238083-0j -0.0578691-0j -2.54253e-05-0j -0.00513507-0j 0.00890719-0j -3.55879e-05-0j 4.41021e-05-0j -0.0071876-0j 
4.35983e-05-0j -0.000883539-0j -0.000860798-0j -3.08898e-06-0j -0.0123111-0j -1.72625e-06-0j -0.00687995-0j 6.25996e-05-0j -2.61131e-06-0j -0.0104073-0j -7.06676e-05-0j 0.000125348-0j 0.0711428-0j -0.0001322-0j 2.07979e-06-0j -1.84234e-06-0j -0.0803117-0j 6.23471e-05-0j 3.89071e-06-0j -0.150241-0j 0.142455-0j -1.83491e-06-0j -3.68907e-06-0j 0.0708557-0j 
0.00426389-0j -0.0206682-0j 0.0607125-0j -0.000911228-0j 0.0125744-0j 0.000179099-0j -0.00247145-0j 0.00441697-0j 0.000248115-0j -0.00342383-0j -0.00170085-0j -0.000613868-0j 0.00111981-0j -0.000975256-0j -0.0296438-0j 0.0769829-0j -0.000431204-0j -0.00145787-0j -0.0169976-0j -0.00024725-0j -0.00015563-0j -0.025409-0j -0.010699-0j -0.000369604-0j 
-0.000532986-0j 0.00522168-0j -0.0153386-0j -0.0109591-0j 0.0735561-0j 0.00215397-0j -0.0144572-0j 0.107367-0j 0.00298401-0j -0.0200283-0j -0.0413437-0j -0.0149217-0j 0.0133354-0j -0.0237063-0j -2.54253e-05-0j 6.60276e-05-0j -0.00513507-0j -0.0354375-0j -1.45787e-05-0j -0.00294442-0j -0.00185335-0j -2.17931e-05-0j -9.17646e-06-0j -0.00440149-0j 
