-0.0110778+0.0148767j 0.0236575+0.0130387j 0.0154327+0.012925j 0.00233125+0.0292738j 0.0127718-0.0466528j 0.0331557-0.0157984j 0.00967105+0.0319655j 0.00926364+0.0343199j -0.0142357+0.0125934j -0.0223025-0.00347655j -0.0368518-0.00861412j 0.0493503+0.0212928j 0.00180456-0.00361629j -0.0154898-0.01727j -0.0255844-0.017793j 0.00835218-0.00445332j 0.0100197-0.0161023j -0.00556187+0.00430887j 0.00658356+0.0147582j 0.0142231-0.0398233j 0.0171046-0.00287599j 0.00916496-0.0242388j 0.0103801+0.013994j 0.00118382-0.0118701j -0.000998627+0.00724969j 0.0105628-0.00781369j -0.00536666+0.00601278j 0.00674776-0.00497614j 0.00238666+0.0163866j 0.0172327-0.00611553j -0.00640279-0.0138246j -0.0119584-0.000639149j -0.0199398-0.0031866j -3.61238e-05+0.0030386j -0.0227831+0.00291712j 0.0110329-0.00414532j 0.0213435+0.00365868j 0.0207845+0.00887041j -0.00697962+0.00671951j -0.000644588-0.0256397j 0.00841982-0.00875495j 0.0104189-0.0273287j -0.00917786+0.00175311j -0.0122127+0.0255257j -0.0194684-0.0136172j -0.00511639-0.0149961j -0.00262669-0.0133418j 0.0193348-0.0071041j -0.0113025-0.00867228j -0.00456507-0.000990369j -0.00789641+0.00717645j -0.00883473+0.0459489j -0.00509643-0.000720268j -0.0280741+0.00972957j 0.00134423-0.0157526j -0.00346463-0.0196101j -0.00526226+0.0116223j 0.00923357-0.00431257j 0.00411432-0.00731827j 0.0199815+0.0258988j 0.0514133-0.00435678j 0.00962798-0.0180681j 0.0239329-0.00432409j -0.00495482-0.0556617j -0.015334-0.000562012j -0.0212038+0.0323312j 0.00694035+0.0355825j -0.0165356-0.0144415j 0.0299026+0.0219757j 0.0369504-0.0280931j 0.00364365+0.0172686j -0.0196805+0.00535126j -0.0304311-0.0245043j -0.010368+0.00630455j -0.0322293+0.00820347j -0.0333208-0.0398873j -0.00907023-0.0384698j -0.0225424-0.019292j 0.0154941+0.0232531j -0.0159797+0.0384868j 0.0186229-0.0146206j 0.0531126-0.000688961j -0.0277132+0.0234465j 0.019806-0.00598535j 0.0444413+0.0123625j -0.0219461+0.0175416j 0.0147842-0.00118458j -0.0458183-0.0344309j -0.0221929+0.00348098j -0.0150259+0.0189725j -0.0399231+0.0596859j -0.0700773+0.0334766j -0.052245+0.0506443j -0.106088-0.0813193j -0.0212447+0.0183233j -0.0803775-0.0280039j 0.00300566+0.00556146j 0.0129119+0.0140188j 
-0.0254808-0.0135472j -0.00721863+0.0162542j 0.0190956+0.0247813j -0.0068218-0.00154304j -0.0586154-0.00326411j 0.0102328-0.0169322j 0.00366578+0.030846j 0.00687612-0.0173817j 0.00501245+0.0130318j -0.0014908+0.0318979j 0.00579173+0.00785803j 0.0390643-0.00971268j 0.000289722-0.0165184j 0.00446528-0.00983963j 0.00745614+0.0102592j -0.00860726+0.00709165j -0.0123839+0.00832982j -0.00956857+0.00637427j 0.0125556-0.00930997j 0.00619013-0.0157539j -0.00682664+0.00789064j 0.00307135+0.00622711j 0.021533+0.00416393j -0.0276667+0.00999485j 0.020883-0.00473019j -0.00279653-0.00759208j 1.86039e-05+0.00185928j -0.0304912-0.0131148j -0.000284481-0.0203405j 0.012242+0.00622316j 0.00410377+0.0055969j 1.75718e-05-0.00559858j -0.00100162-0.00871006j 0.0125479-0.00687524j -0.00189588-0.0081866j -0.0183168+0.0148717j 0.00540424+0.00994796j 0.0159199+0.00647335j 0.0143378-0.00659223j 0.00171894+0.00850632j 0.0143816-0.012405j -0.00547532+0.00303407j 0.00623636-0.00386664j -0.00717092+0.00195231j 0.0167628-0.0170848j -0.00377077-0.00371055j -0.00691767+0.00330528j 0.0290604+0.00719297j 0.00317959+0.0115121j 0.00858002-0.02141j 0.0158424+0.00114829j -0.0154721+0.00342597j -0.0221304+0.00219321j 0.0236672-0.0282343j -0.00763729-0.00758605j -0.0158533-0.0226161j -0.00596016+0.0104382j -0.00832689+0.00270385j -0.00196701-0.0159715j 0.00746185+0.0461748j -0.00232598+0.0200771j 0.0277711-0.0114639j -0.00073015-0.0120315j 0.050739+0.0019726j 0.00686553+0.0268957j -0.0329442-0.00364421j -0.0317991-0.0438654j 0.011898+0.0064755j 0.000817819+0.0140184j -0.00667457+0.0483363j 0.0110681-0.0137997j 0.0133258-0.0162145j 0.0287108-0.0311352j -0.000619592-0.0189094j -0.0459529+0.00112767j -0.0123931-0.00964796j -0.0442811+0.040327j 0.00913174+0.00992934j 0.0312156+0.0348696j 0.0237182+0.0169045j 0.0135687+0.0330387j -0.0417961-0.0180771j 0.014286+0.0201988j -0.0126932-0.0236433j 0.000366691-0.0448646j -0.0177204+0.0355812j 0.0497233+0.0269366j -0.00374358+0.0319514j -0.014716+0.0142856j 0.0252634+0.0088595j 0.0891349+0.0159053j 0.0036896+0.0445216j 0.0222634+0.0743535j -0.0740973+0.106794j 0.0498664+0.011728j -0.0365428+0.0436364j 0.00716365+0.013127j -0.000698809-0.0080515j 
0.0157291+0.0126509j 0.00645401-0.00193576j -0.0559033+0.0033442j -0.0167916-0.0166149j 0.0930978+0.00968086j 0.0231488+0.0200592j -0.0515982-0.0330844j 0.00771378-0.0271536j 0.0166696-0.0065587j 0.0124612-0.0338653j 0.000851393-0.0180823j -0.0631616-0.00569449j 0.0264806+0.0341478j -0.00378859+0.00217564j 0.0438368+0.0394915j 0.0221176-0.00021742j 0.0131746-0.00720326j 0.00322816-0.0134599j -0.00438514-0.00878703j -0.0408608+0.0416396j -0.0158039-0.0520374j -0.00603258-0.0405753j -0.0133362+0.0137073j -0.0101835+0.000859364j -0.0184837+0.0131369j -0.0111803+0.00438862j 0.00984881-0.00656585j 0.00575361+0.0323043j -0.0139135-0.00986331j -0.0179102+0.00616396j -0.0019453+0.0112639j 0.00579825+0.0164014j 0.0241265+0.0099875j 0.00240828+0.0111579j 0.0147919+0.0285289j 0.0278054-0.012921j 0.00302618-0.0181825j -0.034646+0.00667103j -0.0162878+0.0144241j 0.0143618-0.00864466j -0.0673999-0.0131332j 0.0185365+0.0121597j -0.0104914+0.029719j 0.0307908+0.00918829j -0.0205153+0.00317034j 0.0239435-0.0201411j 0.028467+0.0186157j -0.033981-0.00516924j 0.0172366+0.0329679j -0.0476215+0.0321791j 0.0142773-0.0170084j 0.00331714+0.0131736j 0.0140034+0.00796259j 0.00358914+0.000992863j -0.00148478+0.0243827j 0.00817706+0.00982491j 0.0274957-0.00550233j 0.0340582-0.00294028j -0.0173613+0.00571549j -0.0204169-0.036591j -0.0283605+0.020881j -0.0263041+0.0281605j -0.0168313-0.0190589j 0.0134716+0.0349172j 0.0257387+0.000296647j 0.00537745+0.0273145j 0.00833208+0.0236528j -0.0139881+0.0298597j -0.0140397-0.0428122j -0.00143476-0.00184102j 0.00840196-0.0412993j -0.0420725-0.00120116j 0.0240971-0.0420733j 0.0798367+0.00938797j -0.0173485-0.0183176j -0.0115062+0.00947071j 0.00293082+0.0515997j 0.0191836+0.00160552j 0.0219145+0.0105155j -0.0092937+0.0160482j -0.0365408-0.0196665j -0.0281147-0.0579532j 0.0333635-0.00795928j 0.00582909-0.0363988j 0.0224896-0.0428496j 0.0382286+0.0459286j -0.104661+0.0312801j 0.00822263-0.0250738j -0.144328-0.0302868j -0.0102831+0.0474289j 0.00492645+0.0890129j 0.019761+0.00460758j -0.0457853+0.0228195j 0.0660935-0.0542026j 0.00891971+0.0406145j 0.0490916+0.00200109j 0.00664218+0.00622076j -0.0147271-0.00103731j 
0.0150202-0.00443975j -0.0104119-0.0155892j 0.0232205-0.0151391j -0.00549609+0.00181105j -0.00738253+0.0446914j -0.036117+0.0318339j 0.0134349-0.0246269j -0.0411211+0.00135453j -0.00198706-0.0271843j 0.00533892-0.0172075j 0.0340997-0.0211638j -0.00938497+0.0241895j -0.0149547+0.020106j 0.0240999+0.000574248j -0.015759-0.0153335j -0.0329558-0.000707029j -0.0152491+0.0347177j 0.00540222-0.00525927j -0.0298274-0.0123001j 0.0197351+0.0156645j 0.00590847+0.0263122j 0.0182503+0.0408425j -0.0108858-0.0280869j 0.0498684-0.0107289j -0.0014396-0.0101892j 0.0155669+0.0200036j 0.0176094-0.00677673j 0.0275584-0.0551455j 0.0426961+0.0100874j -0.0434466-0.0200888j -0.00721951+0.00421267j 0.0357204-0.0048559j 0.0115965+0.00978236j -0.0139366-0.0276249j 0.0359487+0.0116895j -0.0223463-0.0400093j 0.0162326+0.00189488j -0.0180461-0.0573675j 0.00435237+0.0208788j -0.0186382+0.0223866j -0.0258701+0.0358198j 0.0223237-0.00572284j -0.00153229-0.0431046j -0.00492964-0.035863j 0.00337389+0.0313136j 0.00271499+0.0107528j 0.0169373+0.0182395j -0.0332746-0.00396125j 0.00446999-0.014761j 0.0530403+0.00153574j -0.0329902+0.00549075j 0.0446209-0.0413954j 0.0102083+0.0260296j -0.0147673-0.000330648j 0.0098144+0.0272109j 0.0327146+0.0317402j -0.0039598-0.0489991j -0.00329195+0.00605334j -0.0227146+0.0293405j 0.0109695-0.0551082j -0.0599995-0.022861j -0.0287127+0.0314021j -0.000663389+0.00215701j -0.0404265+0.00117647j 0.00208069-0.00191522j 0.0275943-0.00335235j -0.00258258-0.00548244j 0.0413105-0.00559854j -0.0266146+0.000129772j -0.0197249+0.00452834j -0.0130387+0.00277852j 0.0234225+0.0062997j -0.00237254+0.0321365j 0.00443068+0.0167552j -0.00190218+0.0125423j 0.00865791+0.0592471j 0.0389481-0.0129846j -0.0154994+0.0313708j -0.0320604+0.0228778j -0.0128058-0.0030185j 0.0235362+0.0112783j -0.00311589+0.00991117j -0.040851-0.0112035j 0.0391629-0.0139159j -0.00780679+0.0645388j -0.0713705-0.0124738j -0.0141957-0.0749882j -0.00250166-0.00241615j 0.0400341-0.064661j -0.0739359-0.0387087j -0.0389876-0.0566461j -0.00409804-0.017331j 0.0106861-0.0715199j 0.0778815+0.0106084j 0.017396+0.00387646j 0.00735325+0.0121369j 0.00708718+0.00109685j 0.00954661-0.00877581j 
-0.00628199-0.0116706j -0.0214934+0.00766812j -0.0276184+0.00989763j -0.00938628-0.0235807j -0.00563698+0.0537132j -0.00557476+0.00457646j -0.0153181-0.00724659j -0.0064265-0.0622397j 0.0251747-0.00913042j 0.0513121+0.00626636j 0.0338432-0.0087634j -0.0485703-0.0325705j 0.00587334-0.0187797j 0.0217976+0.0196069j 0.0732668+0.00860118j 0.0279866+0.00577425j -0.0225187+0.0348862j -0.00571403+0.00521473j 0.00227023-0.0227979j 0.0194124+0.0631133j -0.0431326+0.00385269j -0.00514955+0.0080272j -0.00371146+0.0184738j 0.00784048+0.0473859j 0.0133191+0.0163092j 0.0122549+0.0217509j -0.0172863-0.0200705j -0.0430631-0.0323457j -0.0184539-0.0701386j -0.0267182-0.0307935j -0.00658464+0.0146506j 0.0177915+0.00227669j 0.0176393-0.02327j -0.00420378+0.0237238j 0.0835988-0.0424162j -0.0220077+0.012732j -0.00397451-0.00941816j -0.0270982-0.0102053j 0.0555339-0.0688466j 0.00910529+0.0762754j 0.0565392-0.0304421j -0.0389477+0.0452853j 0.00313884+0.00155475j 0.02532-0.040949j 0.0366497+0.0242481j 0.00604825+0.0455429j -0.0526477-0.0543142j 0.00137758+0.0452793j -0.0154369+0.0210013j -0.00640824-0.00836113j 0.02872-0.00184971j -0.0101727-0.0430416j 0.0304972-0.0112299j 0.0419481-0.00214284j -0.0353803-0.00817125j -0.033591+0.0283542j -0.011829+0.0171364j -0.0132415+0.049142j -0.00599647-0.0393778j -0.0449207+0.00182724j -0.0547734-0.0512869j -0.0577648-0.0331491j -0.0127402-0.0080932j 0.0605689+0.0499231j 0.00538378-0.00128711j 0.0180296-0.0618826j -0.0488696-0.0745342j 0.0368413+0.0796243j -0.0216547-0.0404758j -0.0554089+0.0441672j 0.0133045-0.0113344j -0.0114049-0.0100461j 0.0461161-0.0298654j 0.01327-0.0299246j 0.0198576-0.034556j 0.0316404+0.00716071j -0.0148643+0.068665j -0.0130846+0.00173129j 0.0223186-0.042987j 0.0289798-0.0136325j -0.0350184+0.0266699j -0.0335122-0.0176529j 0.0353603-0.0223143j -0.052843-0.00913427j -0.0411985-0.0207579j 0.0510429-0.0142544j 0.016886+0.045733j 0.0299285+0.0137455j 0.0143873+0.04619j 0.00617598-0.0212113j 0.0581444-0.00628265j 0.0514382+0.0102601j 0.0450935+0.0285096j 0.0538222+0.0923492j 0.0107021+0.0542392j 0.00200188+0.0258856j -0.000493176+0.0296979j 0.00131747-0.00415813j 
0.0160844-0.0054546j -0.00669925-0.00365523j -0.0374757-0.00051429j 0.0119501-0.0162152j 0.0510025-0.0145009j 0.00844868+0.0159553j -0.0117983-0.0248235j 0.000281366+0.00126836j -0.0205016-0.0147529j 0.00287391-0.0112632j 0.00669486-0.00134336j -0.0329282+0.00961026j 0.0227612-0.00112833j -6.13223e-05+0.0484502j -0.00900107-0.0248353j -0.00328235-0.0206059j -0.0150561-0.0245279j 0.0184823-0.0220932j 0.00227389-0.0209108j 0.00101769+0.040318j 0.00139095-0.0373049j 0.0104776-0.0280075j -0.00438039-0.00160714j 0.0596939-0.0340457j -0.00635204-0.00897863j 0.0232166-0.015894j 0.023757-0.0137424j 0.0372767-0.0157731j 0.0128437+0.0232869j -0.0435463-0.0310142j -0.0259578-0.00118107j 0.0212675-0.0116906j 0.013376+0.0352896j -0.025399+0.0135452j 0.0374281+0.0140021j 0.01744-0.0313926j 0.0322485+0.00262294j -0.0276985-0.0364146j -0.0164537+0.0273781j -0.00208574+0.00615733j -0.0208552+0.0144361j -0.00129114-0.0255751j -0.0172636+0.00606976j 0.00428535-0.00538834j -0.00804322+0.0257176j -0.00606375-0.00906857j 0.0282182-0.011408j -0.0541052+0.0088117j -0.0247256-0.00294102j 0.000452116+0.0250251j -0.0237438+0.00348317j 0.0447256-0.0214157j 0.030498+0.00316448j -0.0350755+0.0486421j -0.0187692+0.0310348j 0.0146912+0.0269713j -0.00367894-0.00648178j 0.0259015+0.0324214j -0.0189798+0.0236757j 0.00681145-0.0594891j -0.0610027-0.0331814j -0.0564261+0.0206298j -0.00781334+0.00926047j -0.0428264-0.0200779j -0.0108274-0.00216967j 0.0282421-0.0236286j -0.0185036+0.0451749j 0.0314984-0.0424066j -0.00722131+0.000560525j -0.0294016-0.0120345j 0.00537134+0.0260916j 0.0192354-0.00451613j -0.0446681+0.0617673j -0.0657751+0.00184441j 0.0391086-0.00644541j 0.00384203-0.00683015j 0.00581879-0.0284426j -0.0134894-0.0524656j -0.0106134-0.0699898j -0.0442317-0.0296153j -0.0194372-0.00974849j 0.059475+0.0232479j -0.00294275-0.0261775j 0.00589577+0.0311933j -0.0371201+0.00668123j 0.0431737-0.0413795j 0.0108702+0.017096j 0.022079-0.0426099j 0.0519516+0.0222525j 0.00709004+0.00869872j -0.0179889-0.0278072j 0.0306472-0.0517473j 0.0240873-0.0232677j 0.0436646-0.0444989j 0.0190818-0.0104821j 0.0285887+0.0369961j 0.00789383-0.00312118j -0.00880233-0.0280754j 
-0.00877606-0.00891578j -0.00793958-0.00031272j 0.016423-0.00184486j 0.00240534-0.0148326j -0.0152115+0.0540194j 0.00737463-0.0814937j 0.0586539+0.00247554j -0.00696946-0.0269179j 0.0328022-0.0545214j -0.00597486+0.0226063j -0.0066609+0.0111828j -0.00249025-0.0918667j -0.0160434-0.0118378j -0.0150581+0.0595601j -0.0533373-0.0386556j 0.0299165-0.0501378j -0.0190431-0.0621127j 0.0294375+0.050239j 0.0356444-0.0673938j 0.0261134-0.000444812j -0.0250741+0.0151144j -0.00630754+0.0187478j -0.0273905-0.0645174j 0.0505105-0.0449994j 0.0419536+0.06664j 0.0765752-0.036595j -0.0264664+0.0629797j 0.0516643-0.0798252j -0.0125382-0.0215123j 0.00244142+0.0187123j 0.00737315-0.0755093j 0.0569758-0.0299331j 0.0110551-0.0246544j -0.0653917+0.0544904j -0.0138069-0.0134006j -0.00916023-0.0223811j 0.0272453+0.0110011j 0.0460837+0.00521919j 0.0227489-0.00673284j 0.00582869+0.0269673j 0.0530638+0.0278852j -0.072846-0.0846544j 0.0304979+0.00596209j -0.0836901+0.0182615j 0.104056-0.0255624j -0.0490718+0.0750934j 0.048524-0.0716049j -0.138274+0.00481912j -0.0582309+0.00968357j -0.031854+0.00422477j -0.0250079-0.0170992j -0.0251803+0.00216142j -0.0216753+0.0861837j -0.0270551+0.00341206j 0.00472368+0.0859721j 0.0053878+0.0390446j 0.0264858-0.0178251j -0.0259898-0.0170385j 0.00346357-0.0214501j -0.0180255+0.0439169j -0.0585999-0.0455735j -0.0773873-0.0130068j -0.0309285+0.00583549j 0.0134104-0.00221098j 0.0520545+0.0328402j 0.0119473-0.045919j 0.00457855+0.074244j 0.0218064-0.0587714j 0.0209506+0.0297432j 0.0121417+0.0493395j -0.0168224+0.0327241j -0.0118587-0.0130128j 0.00387031+0.0976092j -0.0606806-0.0563883j 0.0924053+0.00139753j -0.0747278+0.00223705j 0.0286972-0.0240235j -0.0400463+0.0336306j 0.00220029-0.0442536j 0.000585318-0.0257139j -0.0298794+0.0461251j 0.0176452-0.092559j 0.00289247-0.024332j -0.00355699+0.069076j -0.0297528+0.0429381j -0.0282274-0.0385587j 0.0536557+0.0437088j 0.0144463-0.0601009j 0.0902181+0.074957j -0.0655367+0.00791813j -0.0114948-0.050654j 0.00168167+0.00616304j 0.0599301+0.0425619j 0.091873-0.0389546j -0.0239717-0.00232109j 0.0384802-0.00717418j -0.0166287-0.000309117j -0.0135189-0.008157j 
-0.00025279+0.00138372j 0.00476885+0.000153021j -0.00287421-0.0139619j 0.0383427+0.0124666j -0.0478491-0.0759567j -0.0196072+0.0256238j -0.0224852+0.034057j 0.0299929+0.029765j -0.022259+0.0637701j 0.0310326+0.0395877j 0.0197503+0.0478803j -0.0174629+0.0597535j -0.0353101-0.0682807j 0.0187796-0.0298499j 0.0413574+0.0219285j 0.0364966-0.017402j 0.0464155-0.00724121j -0.0366635-0.0160679j 0.0752755+0.0479152j -0.0116471-0.0545675j 0.055929+0.0936188j -0.0206025+0.0450208j -0.107089-0.0189196j 0.000616398-0.0231425j -0.0230801-0.00923539j -0.0408329-0.00357115j -0.0466779-0.0568748j 0.0222913+0.0679717j -0.0436062+0.0492961j 0.00812603+0.0310783j 0.00195272+0.0273213j -0.0268272-0.0512875j -0.0741038+0.0573234j 0.0587405+0.115696j -0.0383187+0.0211332j 0.000152072+0.113779j -0.0350705+0.0276934j -0.0115238+9.75381e-05j 0.048695-0.0375444j 0.0734687-0.0417654j 0.08997+0.0838971j -0.0665233-0.0335346j 0.0222949-0.00775586j -0.0932434+0.0479019j 0.0486145+0.0253875j -0.0744538+0.00465905j -0.036266+0.018713j 0.0934225+0.029263j 0.0139518-0.0275357j 0.111084-0.114053j -0.0205676-0.0932839j 0.0396969-0.0921142j 0.00822041-0.030742j -0.000832241+0.055855j 0.00276782-0.0180257j -0.143227+0.071581j -0.0265314+0.0399783j -0.089133+0.0402552j -0.0425664-0.0223966j 0.0985114+0.0415466j 0.0696586-0.0449605j 0.0512315-0.0201837j 0.000252162+0.0273995j -0.0404836-0.105054j -0.0414105+0.0445125j 0.0117123+0.0012762j -0.0258886-0.0903257j 0.00602666-0.0430092j -0.0143542+0.0264278j -0.0144353+0.0247135j 0.0134388+0.0269386j 0.0737505+0.0665277j -0.00743249+0.0762743j 0.0204373+0.0483817j 0.0222199-0.023705j 0.03701-0.053814j -0.0193738-0.0744528j 0.0222191+0.00272089j -0.139316-0.0475577j -0.00445248-0.00446145j -0.0207246-0.0167673j -0.028354+0.0636831j 0.0102162+0.00265826j -0.00556281+0.040513j -0.0724245+0.0110811j 0.0780382-0.0808585j 0.0211604-0.00885179j 0.0277686+0.0544378j 0.0387843-0.00187674j 0.0954509-0.0396146j 0.0722114-0.0200119j 0.0554141+0.000784595j -0.0245277-0.0447802j -0.0712027+0.037896j 0.0162093-0.0403404j -0.0394377+0.00707027j 0.0139962-0.00127602j 0.00279113+0.0039069j 
-0.00465036+0.00336152j 0.00139931+0.000561263j 0.0267457-0.0257463j 0.00117713+0.0168644j -0.0207578+0.0245884j -0.028316+0.029431j 0.00182018-0.010479j -0.0154269+0.0424159j -0.0119066-0.0112429j -0.0136949-0.0119725j -0.0110597-0.0197905j 0.0300015+0.0345248j -0.00313345+0.0110666j 0.0166983+0.00374304j -0.0709105-9.42118e-05j -0.026868-0.0431134j 0.0292571+0.0106308j -0.00790434+0.0388504j 0.0244103-0.027557j 0.0390053-0.093774j 0.109403+0.0554644j -0.0260901+0.10089j -0.127866-0.0703982j 0.0786695-0.0821802j -0.00627147+0.00507059j 0.0216533-0.00930595j 0.00981623+0.0367342j 0.0967662-0.108769j 0.0780119+0.0459424j -0.00976268-0.0139149j 0.0159225-0.0260791j 0.081069-0.056615j -0.0321158+0.0400395j 0.003343+0.033564j -0.0528787+0.0862058j -0.0857334-0.0505939j 0.0414207+0.00980924j -0.0132867-0.07028j 0.0152244+0.0930847j -0.0297987-0.00534188j -0.0608277+0.178463j -0.0171183-0.106302j 0.0192738-0.0461677j -0.127874+0.00807627j 0.104529+0.00876571j -0.0512234+0.00267303j 0.0900825+0.0786667j -0.0946706-0.0141078j 0.0218684-0.0510992j 0.14134-0.0661857j -0.0897101-0.0491591j 0.0375952-0.0682057j -0.00614916+0.0724045j -0.0492981-0.000548295j 0.0944045+0.0554188j -0.0237244+0.106864j 0.047697-0.0270712j -0.028099+0.0337769j -0.0712671+0.0203204j 0.13121+0.0224031j -0.0413537-0.0360794j -0.0159071+0.0842626j -0.00688914+0.00439472j -0.0710049-0.119463j 0.0217115+0.0854418j -0.0211136+0.0328074j -0.0355807+0.029343j 0.0126249-0.0839397j -0.0286297+0.0238959j 0.0644784+0.0366587j -0.0371464-0.00133791j 0.0300694+0.0733298j -0.00912148+0.0255723j 0.03281+0.0163537j 0.0153956+0.0045809j -0.0487893-0.00946157j 0.0264691-0.0250902j -0.00902526+0.0396184j -0.039973+0.00163866j 0.0106682+0.0114336j 0.00571816-0.000262251j 0.0286769-0.0229317j -0.0448837+0.000577543j 0.0607925-0.0193629j 0.00984941+0.000640459j -0.0375203-0.0143434j 0.032778-0.0497432j -0.00919788-0.00402703j 0.00764373-0.0302127j -0.0100725-0.0073962j -0.0292458-0.0216247j 0.00867471-0.0191708j -0.0161497-0.00988786j -0.0063737-0.0354224j -0.000614446-0.00969107j -0.0361727-0.0270801j -0.0124748+0.00440503j 0.0131106+0.00165805j 
-0.00533409+0.00410483j 0.00566566+0.00459457j 0.0198559+0.0196023j 0.00947125+0.0207032j -0.0479182-0.0277778j -0.00560073+0.0329979j -0.0213106+0.0106218j 0.00840752-0.0345055j 0.0720582+0.0250435j 0.0109274-0.00720714j 0.0567073+0.030652j 0.00539949+0.0345968j 0.011105+0.00556546j -0.0213963+0.00727489j 0.0753809+0.0171698j 0.0665129+0.0384223j 0.0260194+0.0410696j 0.000423587+0.0182699j 0.043819+0.0145165j -0.00430111-0.0467021j -0.0346167+0.103962j -0.0155863+0.00670717j -0.103651+0.0219831j 0.112556+0.0230778j 0.0391281+0.0449028j 0.0327483+0.0172057j -0.0691505-0.14023j -0.0429162-0.0148315j -0.0233779-0.048832j -0.111759-0.048786j -0.0299745-0.0162778j 0.0379906+0.00222129j -0.0046608-0.0156326j 0.0110869+0.0933813j 0.00748497-0.0917634j -0.0325742-0.0368279j 0.122655+0.0304523j 0.00714911-0.0458219j 0.155657-0.0567112j 0.0788046+0.060329j 0.0666835+0.0662475j -0.0987238+0.099075j 0.0137184-0.111396j 0.0084265+0.0190219j -0.0168732+0.0554974j 0.0294674+0.0484528j -0.0456522-0.104567j 0.0162805+0.0353539j -0.0270949-0.0301736j 0.102555-0.0936021j 0.0374981-0.00574932j 0.00100412+0.00930677j -0.00765511+0.0174521j 0.0234833-0.0166623j 0.0443425+0.0536229j -0.0265537+0.0939249j -0.021252+0.0262817j -0.0511226+0.0545782j 0.0293674-0.0836403j -0.0119571-0.0113853j -0.0902939-0.0681762j -0.0282831-0.00730404j 0.054585-0.0129205j 0.0407738-0.0357262j -0.00857628-0.00425665j 0.0750311-0.0841356j -0.0665217-0.0759033j 0.0800396+0.0865911j 0.0114302-0.0539929j -0.0586123+0.0212733j -0.063598-0.0835501j -0.0296655+0.0677837j 0.027722+0.00774565j 0.0528965-0.036019j 0.0215556-0.036468j -0.0301376+0.0236794j -0.0231734-0.0199419j -0.0340167+0.0245958j 0.0428194-0.00611123j 0.078658+0.029593j -0.00317126+0.0219578j 0.0127884+0.0358297j -0.0244953+0.00226227j -0.0642346-0.019626j 0.0504397+0.0377629j -0.0137998-0.0416286j -0.0339238+0.0207753j 0.00952172+0.0274988j -0.0226142+0.054483j -0.0606957-0.084109j -0.00377566-0.0448552j 0.0316019+0.0598025j 0.0395981-0.0079444j -0.00531793+0.0799584j 0.0206116-0.0153064j 0.0157316+0.0118993j 0.00905674+0.0104032j -0.0321756-0.00146037j 
0.0166289-0.00186197j 0.00507974-0.00631676j -0.0440314+0.0115864j -0.00428487-0.0272847j 0.0653682-0.0773325j 0.0337889-0.0458155j -0.00611432-0.0130606j 0.0370001+0.0145381j -0.00908448+0.0258699j -0.0371381+0.036039j 0.0146623+0.0345008j -0.0281827-0.00814094j 0.0281305+0.00795502j -0.0277811+0.0293285j -0.0491811+0.0153462j 0.000444991+0.0458582j -0.0553102-0.126816j 0.0716404-0.0831442j 0.00832001+0.013015j -0.0879662+0.0951077j -0.0468419-0.0442486j 0.0604006-0.124313j 0.0336617+0.00398083j 0.0632489-0.0932686j 0.0916476+0.101868j 0.097901-0.0876424j -0.0352427-0.0931416j 0.0906891+0.0919936j -0.151024+0.110613j -0.082937+0.079476j -0.0842676-0.0613774j 0.0316306-0.0365285j 0.0549121+0.0628808j -0.0446373+0.104348j -0.038079+0.00737871j 0.152318+0.0764171j 0.116906+0.0606231j 0.0274583+0.0335322j -0.0454748+0.0638117j 0.18791-0.159082j 0.0293745-0.0303579j -0.0882798-0.0560951j 0.0645291-0.00949226j -0.0700825+0.139382j -0.0701879-0.0174875j -0.0963686+0.000721666j 0.108214-0.14074j -0.12341-0.0203273j -0.0415318+0.0105983j -0.115158+0.00211687j -0.00502195-0.0549112j 0.0692474-0.0513336j -0.0403894+0.106951j -0.0450876+0.0441326j -0.0567952+0.13033j -0.0861855-0.0279634j -0.0646968-0.0105993j 0.0756826-0.0819343j -0.00982964+0.0581882j 0.0260851-0.085925j -0.07919+0.0563019j -0.0509668-0.0449977j -0.00101432+0.0648354j 0.0437526-0.006901j -0.0452395+0.064761j 0.0018546-0.0446902j 0.0169428+0.0158756j 0.0547559-0.106721j 0.0218642+0.0483834j -0.100237-0.00242275j 0.0096225+0.0162301j 0.112682-0.0349968j -0.0594418+0.0905272j -0.050957+0.00931532j 0.0292613-0.00367012j 0.0120929+0.0257195j 0.00485486-0.0601888j -0.046641-0.0299394j 0.0444969-0.122978j -0.000110536-0.00720577j -0.00920351-0.0624384j 0.0833281+0.00757765j 0.0135349-0.029602j 0.011434+0.0313795j -0.0149135-0.010966j 0.0443313-0.00727893j -0.0268701+0.0567906j 0.013532-0.0243022j -0.0175308+0.0319924j 0.0252719-0.0231507j 0.0130018+0.0360282j 0.00157085-0.0195573j 0.0134079-0.0275633j 0.0310536-0.0620323j -0.0312187+0.00122196j 0.00440735+0.0151013j -0.0221126+0.0100381j 0.000971108-0.00578762j 
