0.140778-0.131786j 0.0592332-0.123045j 0.00954991-0.0108349j 0.204922-0.194814j -0.012953+0.0450702j 0.056091-0.0769202j 0.0269977+0.000503906j -0.014816+0.0235078j 0.00526219+0.0241826j 0.0668459-0.0340906j -9.27181e-05+0.0041497j -0.00639597+0.000857466j 0.00567128+0.00123848j -0.00327303+0.00361471j 0.00870323-0.000743038j -0.0094114+0.00184982j 0.00470676-0.00225523j -0.0377152+0.0149488j 0.00769483-0.000993677j -0.00588653+0.00312736j -0.00352838-0.0110252j 0.00146092-0.00114415j 0.00380477+0.00669722j -0.0303605+0.00884637j 0.00628348-0.00419884j 0.00175113-0.00256909j 0.00154486-0.00711188j -0.000639448+0.00139822j -0.0062513+0.00451136j -0.0148686+0.00322467j 0.00378641-0.00548458j 0.00630243-0.00762172j 0.00247074-0.0029133j -0.00281764+0.00573721j 0.00031333+0.00470412j -0.00518073-0.000178552j -0.0103745+0.0130212j 0.024915-0.00506731j 0.000315772+0.0131908j -0.032948+0.0129169j 
-0.122448-0.136685j -0.123689-0.0626041j -0.0156551-0.00817543j -0.178416-0.199918j 0.0423435+0.0147563j -0.068555-0.0564366j 0.000750407-0.0289811j 0.0167412+0.0157593j 0.0192436-0.00167116j -0.0341563-0.0613156j 0.00134891-0.00195987j 0.000158061+0.00454307j -0.0029839-0.00187958j 0.00562401+0.00510031j -0.000211131-0.00514969j 0.00848011+0.00988766j -0.00275332-0.00675624j 0.0132992+0.0334438j -0.00586301-0.0112952j 0.00575945+0.0046325j -0.00887822-0.00369148j 0.00722077-0.00024899j 0.00856843-0.000669505j 0.0141862+0.0354253j -0.00551833-0.00725329j 0.00367641-7.6049e-05j 0.00324525-0.00496897j -0.00275939+0.00461046j -0.00337364-0.00188461j 0.00925875-0.000215861j -0.00211158-0.000494632j -0.0153461-0.0154601j 0.00399498+0.00251378j -0.00210745-0.00369159j -0.00712289+0.00177668j -0.010176-0.00876473j 0.00672677+0.0291638j -0.027131-0.0242802j -0.000130192+0.0122022j 0.0108205+0.0364967j 
-0.00333424-0.0319789j 0.0522632-0.195225j -0.011774-0.0129223j -0.00722591+0.107523j -0.0190457-0.0036922j 0.00230813+0.0230388j 0.0127692-0.022654j -0.0297272-0.0354057j -0.0172029+0.0244824j -0.0205529+0.0224085j -0.00474204-0.00814724j -0.00464-0.00890781j -0.0132284+0.00524878j 0.0286889+0.0010829j 0.00300983+0.00895741j 0.0185366+0.00596512j 0.000999154+0.0129996j 0.0119749-0.0251887j -0.0105078-0.010843j -0.0134494+0.0137636j -0.013596+0.000479073j 0.00266905+0.00447424j -0.00899862+0.0130858j 0.0128792-0.00759623j -0.0108275-0.010229j 0.00764657+0.0069478j 0.00199137-0.0035115j 0.00320567-0.00888335j 0.00810079+0.00229459j 0.0140928+0.000983218j -0.00258004+0.00303616j 0.0202402-0.00477639j -0.0054184+0.00501231j 0.00204126+0.00733132j 0.00695714-0.00766639j -0.00594885-0.00322984j -0.0100135-0.0262985j 0.00929378+0.00123745j 0.0162265-0.00574413j 0.0182274-0.0214352j 
0.00537589+0.00958737j 0.271513+0.145855j 0.0142535-0.0187795j -0.230029-0.040531j 0.0225007-0.0139258j -0.0600131-0.00188059j 0.0160401+0.0185157j 0.048182-0.0425433j -0.0127364-0.00592579j -0.0246965-0.0138937j -0.0106397+0.0131117j 0.000575651-0.00626294j -0.00777725+0.00699829j 0.0104805-0.00130606j -0.0091544+0.00959934j 0.00573452+0.0142671j 0.000464063+0.00331022j 0.0104459+0.00908195j 0.0107274-0.00318473j -0.0112621-0.00292247j 0.000667031-0.00363064j -0.00141368+0.00389995j 0.00875201-0.012429j 0.00891551+0.0036439j -0.00993991-0.00811912j 0.00432923-0.0133269j 0.000785308-0.00876889j 0.00550453-0.000408326j 0.000264054-0.00338097j 0.0136949+0.00451896j 0.00536391+0.00648982j -0.0102288-0.0135965j 0.00308953-0.000785352j 0.00383228-0.00261963j -0.0101049+0.0106314j 0.0102427+0.00164144j 0.00236871+0.00610828j -0.00680186-0.0103932j -0.00563915+0.00416181j 0.00477633+0.0136158j 
0.0157737-0.103607j 0.199934-0.235868j 0.00157398+0.00859969j -0.116628-0.0133753j 0.0286993-0.013988j -0.0194339-0.0156378j -0.0333536+0.0163515j -0.0023899-0.00241026j 0.0192659-0.0108574j -0.00897816-0.0196947j -0.000716824+0.00176363j 0.0049547+0.0221444j -0.000679904+0.00599828j -0.00579238+0.00174861j -0.0155702-0.0092164j -0.00121892+0.0165808j -0.00448661+0.00722406j 0.00159783+0.0157289j -0.00254791+0.00531465j 0.00202993+0.00306781j 0.00406552+0.0159326j -0.00324263-0.000659067j -0.00193877-0.0114388j 0.00429394+0.0103644j 0.00331196+0.00476154j -0.0158081-0.00442526j -0.00984428-0.000810477j 0.00226196+0.00129315j 0.00509711-0.00473902j -0.0133209+0.00777638j 0.00520909-0.00379405j 0.00105545+0.00715739j -0.00111777-0.00731452j 0.00183642-0.0045654j 0.0113007-0.000283444j 0.0027741+0.010322j 0.00741747+0.00584761j -0.00273525-0.0157785j -0.000112175-0.0130876j 0.00259707+0.0154897j 
-0.039294-0.0346203j -0.0843915-0.0686041j 0.0072548-6.69484e-05j -0.00913868-0.0377833j -0.00578384+0.00561138j 0.00397271-0.0254945j 0.00221143+0.0245322j 0.0200816+0.0143966j 0.00240326+0.00478915j -0.0236198+0.0105726j 0.0224003+0.000113727j 0.00231107+0.0123963j -0.00965165+0.0156032j 0.00174889-0.0188114j 0.0111899+0.0196723j -0.00241411-0.0107317j -0.0118826-0.00378186j 0.00473592-0.00167993j 0.000182185+0.00712949j 0.00264532+0.00344021j -0.0112878-0.00365616j 0.000502648+0.0227148j 0.000238559+0.00988051j 0.0153168+0.00604506j 0.00259295-0.00419111j -0.00556731-0.0137937j -0.0014695-0.0105281j 0.0126212+0.0064625j -0.00597541-0.00976009j 0.0075673-0.0195897j -0.0156298+0.0197926j 0.000882649+0.00872848j 0.00184258-0.0084113j -0.00772766+0.00164647j -0.0168255+0.00444454j 0.0164703-0.00514559j 0.00752829-0.0010199j 0.00241619-0.000884806j 0.00260185-0.00658609j 0.0158015-0.00783394j 
-0.0832507-0.0579183j -0.136448-0.290207j 0.0106019+0.00728612j -0.066051+0.113649j 0.000163694-0.028602j -0.0584892+0.006072j -0.00566322+0.0133231j 0.00207677-0.013752j -0.0209185-0.0159259j -0.0078461+0.00875027j -0.0120393+0.00404335j 0.023076-0.0112668j -0.00254395-0.0138629j 0.0150066-0.00204344j 0.0069695+0.00259641j 0.000332856-0.0268298j 0.00937043-0.00763261j 0.00888261+0.0101808j 0.00444558+0.0104373j -0.00743355-0.00503663j 0.00133632-0.0029046j -0.00201455-0.00577221j 0.00186607+0.00372745j 0.00531908-0.0055789j -0.00240571+0.00901444j 0.00733149-0.00370804j -0.0010457-0.0106705j 0.00118296+0.00100663j -0.0127719+0.00642323j 0.00225127-0.000860507j 0.00306217-0.000824908j -0.014989-0.00700342j 0.00802693-0.00136307j 0.00196476+0.00761734j -0.00774926-0.000824079j 0.00082269+0.0090653j 0.0126203+0.0117624j -0.0107739+0.0138968j -0.00139857+0.00340153j 0.00852199-0.00217823j 
0.021387-0.00822805j -0.0585685+0.0777813j -0.00487111+0.00972318j 0.0715401-0.0821953j -0.00813808+0.0260513j 0.0217528-0.0296882j -0.0163244-0.00519513j 0.0118538-0.0142445j -0.00447029+0.0137191j 0.014936-0.000271189j 0.017437-0.0054023j 0.00819941-0.0250082j -0.00398069-0.00747521j 0.00552849-0.0173939j -0.0071477-0.0159092j -0.00155632-0.000899339j 0.00855569-0.00787297j -0.0126839+0.0251994j -0.000297243-0.000187193j -0.00927385+0.00147699j -0.00591206+0.00753502j -0.00385374+0.00271765j -0.0074541+0.0038268j -0.0169394+0.00539366j 0.016854-0.0201718j -0.0102677-0.00266584j -0.0217425-0.00822516j 0.003863+0.00184527j -0.00865933-0.00681046j 0.00520526+0.0026309j -0.00919438+0.00713301j 0.0203503-0.00860811j -0.00122669-0.0157232j -0.00226036-0.00734868j -0.00564593+0.0147844j 0.0120428+0.00766845j -0.0118502+0.00515285j 0.010828-0.00379897j -0.007491+0.00660151j -0.0177208+0.0112364j 
-0.0748928-0.0144734j -0.213521+0.0662467j 0.000648862-0.0035583j 0.013603-0.0884997j -0.0129593+0.0252682j 0.00916869-0.0416835j 0.0157168+0.000251662j 0.0151769-0.0135894j -0.00810633+0.00959928j -0.00919666-0.0116867j -0.0206046+0.000220287j -0.0173735-0.0200684j 0.0156277-0.00697877j -0.00229693+0.00388835j -0.00294256+0.00819589j 0.00729426+0.00325297j 0.00384798+0.00105293j 0.011662-0.000613687j 0.00650928-0.0108235j 0.0201263-0.00053397j 0.00568568+0.00374069j 0.00422665-0.0172194j 0.0236657-0.00101771j 0.0270598+0.00290415j -0.00734864-0.00178189j -0.0136087-0.00203895j 0.00643675-0.00440894j 0.0135101-0.00345394j 0.016417-0.000737479j -0.00856063+0.00868165j 0.00770051-0.00476001j 0.00153194-0.000569039j 0.0034109+0.00289397j -0.00154529-0.00398741j -0.00463692-0.000430838j -0.00870253+0.000653574j 0.00738766-0.00622183j 0.00171146-0.0159469j 0.00779022-0.00521131j 0.00666664+0.00678321j 
-0.0894988-0.0276743j -0.291174-0.0261737j 0.0134704+0.00472005j -0.00765459-0.03317j -0.00641751+0.011677j -0.0505689+0.0225709j -0.0139115+0.00567438j 0.04423+0.0184268j -0.0240158+0.0111978j -0.0105454-0.0109327j -0.00169416+0.00230965j 0.0178152+0.00902739j -0.0124158+0.0126154j -0.000967513+0.00187636j -0.00909338-0.000631868j -0.0105468+0.0195802j -0.0163366+0.0076617j -0.00369866-0.00806773j 0.00466871+0.0037524j -0.00529188+0.00271242j 0.00467217+0.000504056j 0.00642623+0.00674684j 0.00440775-0.0118499j 0.00675965-0.00419547j -0.000388056+0.00229363j -0.00707833+0.0116041j -0.00843588+0.000355547j 0.0107321-0.00257134j 0.00155459-0.00598602j -0.00159756-0.00214717j 0.0067253-0.00277591j -0.00976983-0.00543131j -0.0014234+0.00199408j -0.00669812-0.00743138j -0.0110515-0.00193369j 0.00649489-0.00185849j 0.0065245+0.00830874j -0.00782741-0.00787193j -0.0102199+0.000380158j 0.000758964+0.00444145j 
0.00536916+0.000985736j 0.0774472-0.0272876j 0.00855467-0.00271382j -0.0535359+0.0367625j -0.00209226-0.0162675j -0.0243494+0.0188981j 0.00927636+0.00371667j -0.000526647-0.00309149j -0.0113363-0.0223284j -0.00226279+0.00495056j -0.00240921-0.0180361j -0.00931413-0.0328666j 0.00990886+0.008209j -0.0247361-0.00639431j 0.00655793-0.00340514j -0.00260285-0.00693298j -0.0215896+0.00637609j -0.000824396+0.00384156j -0.00886069-0.00824721j -0.00285418+0.0108262j -0.0147752+0.0108913j 0.00141225-0.00454809j -0.0124285+0.0136928j 0.0143279+0.0169369j 0.0062156+0.00866906j 0.00536265-0.00162547j -0.0157605+0.0180206j 0.00805302+0.00381312j 0.00739983-0.0279441j -0.0128363-0.0132805j -0.00174774-0.00263344j 0.0142091+0.00690588j 0.0153579-0.00537233j -0.00994235-0.00595039j 0.00109989-0.011435j 0.000161586-0.010242j -5.17155e-05+0.00715135j -0.00241654-0.00487104j -0.000482288-0.000274863j 0.00625441+0.00151767j 
