-0.0190751+0.00906237j 0.0133829+0.00603215j 0.0209863+0.0189308j -0.0200699+0.004069j 0.0072066-0.00508282j -0.0201189-0.0223091j -0.00775937+0.0283102j -0.00585072-0.00495173j 0.0226133+0.0144129j 0.0503666+0.0116199j 0.0019525-0.0109921j 0.00790041+0.0281437j 0.0321049+0.0250527j -0.00355039-0.026673j -0.024058+0.0732114j -0.00444937-0.0281255j -0.0132229+0.00540191j 0.00163606-0.0127958j 
-0.0153271-0.00686439j 0.00671076+0.00167004j -0.00883566+0.0315238j 0.00949731+0.016019j -0.0226358+0.0296004j -0.0203034-0.0163029j 0.00981107-0.0159329j 0.034146-0.0173169j -0.00350126+0.0104951j 0.0348969+0.0206176j -0.0140577+0.0094107j -0.0104132+0.0131011j 0.0261655+0.00796921j 0.00969058+0.00369481j -0.0206044+0.0343532j 0.00859794-0.0124795j -0.0160651+0.0103947j 0.00356464-0.00412526j 
0.0266318-0.00348746j -0.0123557+0.00250926j 0.00710318+0.00587896j 0.01386+0.0232045j 0.0264256+0.0416521j 0.0418536+0.000576293j 0.0158053-0.0325569j -0.00774662-0.00215707j -0.0017352-0.0316954j -0.0382762-0.0281531j -0.00500627-0.0028338j -0.00630946+0.00227938j -0.011685+0.00588922j 0.0227443-0.0251209j 0.0369336-0.008281j -0.00647838+0.000538197j -0.0104835+0.00053467j -0.0137821+0.00581405j 
-0.0238591-0.0218655j 0.0224655+0.00685983j 0.0144377+0.0341777j -0.0289533+0.00658299j -0.00223079+0.0169951j -0.0147111+0.0232589j 0.0110851-0.000713045j -0.00256815-0.0104944j -0.0167197+0.026035j 0.0153219+0.0237228j -0.0100877-0.00783989j -0.00444074-0.00670002j 0.00331814-0.0154127j -0.0145036+0.030958j -0.0284304-0.013843j 0.000954438+0.00834195j 0.0213043-0.00933919j 0.0104897+0.000605111j 
-0.013518+0.00920373j 0.00444018-0.019584j 0.0388349+0.0209882j 0.00103528-0.00491047j -0.0195251+0.0097408j -0.0481309-0.00494341j 0.0275341+0.0205197j -0.026359-0.00474465j -0.0689802+0.0694108j -0.0315786+0.0679338j 0.000417994+0.00650612j 0.0132723-0.0112544j -0.00103173+0.0209988j 0.0250955+0.0127417j -0.0274543-0.026492j -0.0385524+0.0126538j -0.0178061-0.00311652j 0.01009+0.000273391j 
-0.016572-0.0076044j 0.016405-0.00132098j -0.0035832-0.0110157j -0.0101239+0.0127083j 0.0175949+0.0254813j -0.0020701-0.0148355j -0.024029+0.0100315j -0.00212852-0.010766j -0.0164609+0.00303223j 0.0147975+0.0127042j -0.00780815+0.0062355j 0.00177138-0.020503j 0.0152765+0.0050018j -0.0242775+0.0071062j -0.0272059+0.00703216j 0.00147547+0.00274897j -0.00772463+0.0166542j 0.00297698-0.00538853j 
0.0198159+0.011431j -0.00845317+0.0238811j 0.0111228+0.0156258j 0.00819523+0.0157997j -0.000565362+0.00171027j -0.00506606-0.0187254j 0.0166657+0.00813727j -0.00435688+0.00160816j 0.0154584+0.00141113j 0.015828-0.0196297j -0.000487445-0.00158562j 0.00145772+0.0417234j 0.0197276+0.0238585j 0.00163393-0.0179995j -0.00237598+0.0434728j 0.00106373-0.0347288j -0.020581-0.0091274j 0.00630707-0.0182815j 
-0.0055632-0.00426338j 0.00527806-0.0181247j -0.0144969-0.0184908j -0.0088589-0.00625574j 0.0122109+0.0156026j -0.00439827+0.015843j 0.00322929+0.0210313j 0.0224397+0.0463915j -0.00468623-0.00301377j 0.039388-0.00490429j 0.0220995+0.0149478j 0.0508369+0.0135704j -0.00255527-0.000364492j -0.00743363+0.0063819j -0.0100607-0.00753296j 0.0186234+0.00248534j -0.00561012+0.0196302j 0.00113403+0.00709382j 
0.0245766-8.39986e-05j 0.0171128+0.0428329j 0.0102292+0.00649676j -0.00116806+0.0155941j 0.00079942+0.0131011j 0.00642491-0.0405088j 0.00257754+0.0104389j -0.00662188+0.016349j 0.0107784-0.028946j 0.00703345-0.0324067j 0.00453601-0.00421562j -0.0286116+0.0208278j 0.00671292-0.00447141j 0.003232-0.0112988j -0.00943647-0.00219144j 0.00742249-0.00433206j 0.019569-0.0468318j 0.0018264+0.0153367j 
-0.00150632+0.00211106j 0.0192573+0.00305786j -0.0129014-0.0160577j 0.012214-0.00610303j 0.000185025-0.012026j -0.0101203+0.0199369j -0.00297021-0.0103367j -0.0159131-0.0130058j -0.00362082+0.0136871j 0.00679233-0.00380651j -0.0166014-0.0193566j 0.0296439-5.37431e-05j 0.0116274-0.0164013j 0.00759264+0.00774918j 0.00321915-0.00774668j -0.0131423-0.0152201j -0.00689307+0.0141653j -0.00220492+0.000775041j 
0.0156046-0.0151641j 0.00845875+0.0277661j 0.00318344-0.00204132j -0.00290007+0.00395616j 0.00138982-0.00923199j -0.00952832-0.00915916j -0.00817489+0.00473542j 0.0240522+0.00972859j -0.00538639-0.0014677j 0.0152379-0.0260108j 0.0083733+0.013975j -0.0094075+0.0159947j 0.00867572+0.0111111j -0.0156866+0.00256963j -0.0366736-0.0142885j 0.0311069-0.0128139j -0.0149961-0.010675j 0.01518-0.00823943j 
-0.000144645+0.0116476j -0.0169861+0.000614349j -0.0058449-0.00204436j 0.0155096-0.0267968j 0.00919011-0.0326355j -0.00327287-0.00875017j -0.0263088-0.0128049j 0.00912301-0.0116152j 0.000107721-0.00271028j 0.00557455+0.00800043j 0.00200707+0.00848163j 0.00791522-0.028222j -0.0029814+0.0178699j -0.000282069-0.00796165j 0.0165729-0.00225344j 0.00691774-0.00552971j -0.0219054-0.00262736j 0.0160849-0.00764687j 
