-0.00503809-0.00673076j -0.00907062-0.0167567j 0.00708885-0.00196719j 0.00413095-0.00213233j 0.00174843+0.00608378j 0.0138561+0.000902065j 0.000467681-0.0168144j -0.0112326+0.0359184j -0.00267887-0.00100295j 0.00297931+0.00314792j 0.00537357+0.00318367j 0.00995054+0.0109416j 0.00291205-0.000893322j 0.0131615+0.00404245j 0.0178252-0.000987166j 0.0320955+0.00382811j -0.0755289-0.00794275j 0.00510508+0.0192746j 
0.0121986+0.00564972j 0.00349282-0.0168523j -0.00294987-0.00762906j -0.00790257-0.00240035j 0.00259246-0.00469574j -0.00115881-0.0103889j 0.00324679+0.0267491j 0.00597595+0.0220742j 0.00411682-0.00293516j 0.000676712-0.00350134j -0.00297731-0.0126407j -0.0119641-0.00796293j 0.0389157-0.0114374j -0.00348394+0.0106295j 0.0119191+0.00457596j 0.0188436+0.0146937j 0.00471452-0.017995j -0.0668011-0.00675498j 
-0.0214575-0.0033787j 5.53127e-05+0.00459458j 0.0254769+0.0238626j 0.0171751-0.00186306j -0.00287854+0.0223497j 0.0111262+0.00258083j 0.0105123-0.0159095j 0.00145488+0.0311984j -0.0128032+0.0113467j 0.00980511-0.0178489j 0.0119982+0.00626147j 0.0414271-0.0211988j -0.0289764-0.00152456j 0.0233354+0.0100381j 0.00626713+0.0063997j 0.0656128+0.0224375j 0.00155008-0.00385576j -0.00502885-0.0208223j 
0.00628591+0.00824885j -0.00393038+6.01519e-05j -0.0106533+0.00669763j -0.00770712+0.028465j 0.00454916-0.0423665j -0.0197127+0.0136321j -0.00433924-0.0304535j -0.0101977+0.0329302j 0.00444587+0.000256577j -0.00731649+0.0012015j -0.0070252+0.011288j -0.0300834+0.00410943j 0.0273884+0.00488002j -0.00415898-0.00409918j 0.0103266+0.00240892j 0.00134261+0.0064468j 0.00882084+0.00785734j -0.0446375-0.00249749j 
0.00866437+0.00852556j 0.01706+0.00738137j 0.00779031+0.00777725j -0.00425539+0.0203399j 0.00432012-0.0107899j -0.0106569+0.00929659j 0.00942485-0.0120897j 0.00162401-0.00355049j -0.0143688+0.00302157j 0.0223029+0.00238469j -0.000273015+0.0172145j -0.014957-0.0195885j 0.0219366+2.31247e-05j -0.00717823+0.00131134j -0.00159221+0.00903031j -0.01991-0.00666254j 0.0328999-0.0255611j 0.0394597+0.0104449j 
0.0163669+0.0137495j 0.0301092+0.00484566j -0.0589618-0.00731747j -0.0167562+0.00930376j -0.00719728-0.0333977j -0.0445212+2.06992e-05j -0.0391136+0.0288772j -0.0266999-0.018622j 0.0277905-0.0161339j 0.0181652-0.00699973j 0.00144414-0.00745916j -0.0298501-0.0153856j 0.00152762-0.00579608j 0.0306464+0.00640631j -0.00457701+0.00110494j -0.00711224+0.0129837j -0.00997385-0.00715114j 0.0047559-0.00901526j 
-0.0253485+0.0087824j -0.00417897+0.0161794j -0.0126444+0.0233134j 0.0119326-0.00755533j -0.0157475+0.0078106j -0.00971287-0.00737641j -0.00146148-0.0225525j 0.00457676-0.0425773j 0.0358344+0.00897249j -0.0656262-0.0147119j -0.000961496+0.00843951j 0.0500375-0.0029144j -0.0111328+0.00964612j -0.0232178-0.0088083j -0.00405852-0.00500482j -2.54015e-05-0.0098252j -0.0346675-0.0161829j -0.0191816+0.00300552j 
0.00407024-0.00729932j -0.00513826+0.00561682j 0.0146803+0.0121022j -0.00351882-0.0258461j 0.00306468-0.0330732j 0.0129568+0.00997501j 0.00307838-0.0111183j 0.0065124+0.00623483j 0.0321172-0.00520464j 0.0448107+0.00532813j -0.00634224-0.0276691j 0.0148559-0.00827698j -0.0426865-0.000206106j 0.007061+0.00720764j -0.00718694+0.0102886j -0.0630409+0.00249036j -0.00752307-0.00199255j -0.0375971-8.31463e-05j 
-0.0254176-0.0128736j -0.0256451+0.0211881j -0.00533024-0.0131275j 0.0128472-0.0124029j -0.000169599+0.00676246j -0.000625077+0.0189106j -0.0150472-0.00289781j -0.0103379+0.00519003j -0.0289136+0.00529907j -0.028823+0.000371343j 0.00433312-0.0236802j 0.00565975-0.0189168j -0.000256629+0.00551645j -0.00454045+0.0151854j -0.0187003+0.00612995j 0.00780221+0.0195238j 0.0328997+0.000913026j 0.00449303-0.00556374j 
0.000799329+0.00315413j 0.0061054-0.00804681j 0.00332005+0.0264979j 0.00612209-0.0304619j 0.00362791-0.034626j -0.00202509-0.012282j 0.00398897-0.0159715j -0.00103827-0.00631461j -0.0412937-0.0119622j -0.0187653-0.00084254j 0.00813638-0.0502574j -0.00420289+0.0133495j 0.0318448+0.0028386j 0.0411995-0.00180917j -0.0500123-0.00808377j 0.0011833-0.00252685j -0.00882319-0.00448207j 0.0227617+0.00704293j 
0.00487787+0.0117737j 0.0355131-0.00714176j 0.00553231+0.0122349j 0.000455978-0.00829656j -0.00282098+0.00293195j -0.00924708-0.0340569j 0.0193791+0.0103477j 0.015872-0.0221091j 0.00649791+0.00514606j -0.00957269-0.000739999j 0.00164816-0.00846406j 0.0173746+0.0302289j 0.0161113-0.00356649j 0.0106022+0.00378145j -0.00471544-0.00689769j 0.0312152+0.00537255j 0.000650307-0.00116418j -0.0427415-0.00182026j 
