-0.0745479-0.259919j -0.154002-0.209652j -0.218273+0.0504489j 0.0405952-0.0142187j 0.0274845-0.136427j 0.128849-0.164366j 0.439015-0.032041j -0.136574-0.257478j 0.154565-0.382397j -0.117543-0.0533126j 0.0708858-0.0845165j 0.0943564+0.0196747j -0.199255-0.0241798j 0.102441+0.0991527j -0.127536-0.0824403j 0.0274112+0.00935419j -0.0590256+0.00826818j 0.0573403-0.0537893j 0.018753+0.00294487j -0.12896-0.023928j 0.175788-0.0574203j -0.0931242-0.0102581j 
0.00652104-0.564677j -0.0408511+0.428841j -0.279005+0.00651961j 0.528102+0.0479996j 0.301724+0.0375431j -0.218163+0.0461289j -0.0810612+0.0304516j 0.0124173+0.0667317j -0.0702249+0.0446551j 0.0254403-0.0687851j -0.010027-0.00977592j 0.0646936-0.00941415j 0.0482054+0.0141297j -0.0374901-0.000400446j 0.0538946+0.0218819j -0.00998506+0.0129103j -0.0332232-0.0189522j -0.010521-0.00413367j -0.012019-0.0470758j 0.0115229-0.0162435j -0.0316942-0.012205j -0.0115487+0.00859249j 
-0.0155351-0.094677j 0.00301818-0.0977602j -0.100862-0.0105689j -0.00952295-0.0156359j 0.0241565-0.0824713j 0.0396751-0.109981j 0.0812118+0.019712j -0.15557-0.226669j 0.0946663-0.197998j 0.00623544-0.0442858j 0.0160663+0.125172j 0.0603102-0.0937405j -0.141458-0.00539649j 0.133631-0.0959478j -0.15218+0.0969896j -0.0481982-0.00297106j 0.00924198+0.0379073j 0.150788+0.0173018j -0.0643293-0.0240964j 0.185812-0.000376982j -0.271609+0.0623891j 0.172053-0.0100927j 
-0.00934156-0.0114933j 0.03943-0.00807327j -0.0697002-0.0287639j -0.0258178+0.025583j 0.0220838+0.000361995j 0.072728+0.0573976j 0.0214227-0.0994184j -0.0951186+0.0269977j 0.0446005-0.0438294j 0.131934+0.127988j 0.134417-0.232581j -0.0680142-0.00416112j 0.0410537-0.183882j 0.0283182-0.00413509j 0.0601748+0.0332645j 0.0964048+0.291667j 0.0596667-0.075886j -0.264282+0.0630148j -0.243133-0.0244749j 0.229873+0.121629j 0.0429718-0.102417j 0.121969-0.0655322j 
0.0582555+0.00701976j 0.115347+0.00658804j 0.0123389-0.0224657j -0.0218643-0.0244842j -0.0178266-0.0218759j -0.0706666+0.045847j -0.139843-0.0652893j -0.176308-0.117065j 0.0660056+0.0126959j 0.0514758+0.00280333j -0.0257716+0.00522333j -0.0508787+0.17503j -0.0877748+0.202817j -0.119851+0.117779j 0.0143669-0.0048081j 0.0780454+0.338312j -0.0588434+0.128046j 0.443183-0.0206834j 0.0549946-0.121471j 0.109157+0.101966j -0.117777-0.0592342j 0.0387811-0.0392783j 
0.0598435+0.0479768j 0.0676933-0.0193356j -0.00693245-0.050103j 0.0379229+0.00753698j 0.0458822+0.0198714j -0.0416135+0.0628943j -0.0486851-0.0671316j -0.0868853-0.0249578j 0.0428613-0.0603959j -0.196755-0.182041j 0.0154526-0.139457j 0.121381-0.275426j 0.157439-0.333815j 0.258321+0.139669j 0.099185+0.452541j -0.0710584-0.203419j 0.194231+0.0203409j 0.136859+0.125794j 0.0682508+0.273409j -0.00532235+0.118184j -0.0570892+0.0850654j 0.0280104+0.0015969j 
-0.0662303-0.0200294j -0.0559276-0.0193696j 0.0101269-0.0284815j -0.00873613+0.00947684j 0.00276234-0.0360798j -0.0179729-0.117586j 0.0499766+0.0950306j 0.0451939-0.0323866j -0.00424636+0.0320661j 0.184027+0.0256768j -0.067644+0.241655j -0.0101825-0.148487j 0.0190498-0.0151675j 0.120841-0.322266j -0.164826-0.107808j -0.141811-0.17447j -0.0498289-0.137603j -0.29242-0.0120455j -0.151128-0.00499241j 0.159288-0.0916245j -0.220014+0.154739j 0.160911+0.0801487j 
-0.0272709+0.00602914j -0.00457368-0.0418844j -0.0638202+0.0481322j 0.0173788+0.0290903j 0.0355231-0.014503j 0.121275-0.0124887j -0.0629762-0.10155j -0.0173944+0.0567903j -0.0232987-0.0576014j 0.180397-0.03813j -0.142586-0.217126j -0.0291385+0.0351257j -0.106588-0.11714j -0.0297688-0.00676691j 0.044951-0.0537927j 0.25169+0.0233263j -0.0649281-0.0971442j -0.032117+0.194028j -0.0982284+0.187139j 0.178644-0.11333j -0.0838292+0.00223735j -0.0980006-0.140416j 
0.0165813-0.0154328j 0.0795095+0.00309031j -0.0163001-0.021898j -0.00976058-0.00526531j 0.0137209-0.00482585j -0.0380003-0.0208801j -0.107506+0.0381239j -0.10016-0.132096j 0.00456367-0.0261349j 0.085211+0.0193486j -0.0548721+0.162868j 0.0323912-0.0546244j -0.076326+0.0411357j 0.056571-0.109173j -0.120171+0.0765252j -0.0397097+0.110894j 0.0116038+0.0217117j 0.142642+0.0549032j -0.0733752-0.0952782j 0.182728+0.0176208j -0.257352+0.125378j 0.107073+0.024599j 
0.00781028-0.0167701j 0.0101998-0.0234163j -0.00237352-0.00232507j -0.00491565-0.0242042j 0.0229088+0.042509j 0.00754732+0.0154239j 0.0139469-0.0111993j -0.00996067-0.00174196j -0.0152879+0.0054746j 0.0255576-0.00338726j 0.00798584-0.00189136j -0.022287+0.00751218j -0.0236082+0.024614j 0.0109394+0.0475287j 0.0307379+0.00746855j -0.022806+0.00243749j 0.0196035-0.00195312j -0.0257369+0.0204733j -0.0389793+0.000677289j 0.0222832+0.00162966j 0.00205937+0.005176j 0.0037071+0.00370362j 
0.0158681+0.053668j 0.0282467+0.0286915j 0.0152107-0.044517j 0.00053194-0.0250665j -0.0110108+0.0197417j -0.012309-0.00975315j -0.0827992+0.0173336j 0.00240304+0.00252459j -0.0116449+0.0224298j -0.0420833-0.0176193j -0.00210794-0.00767352j 0.0308047-0.0527908j 0.0455409-0.0810567j 0.0312618-0.0404725j -0.0125314+0.0911724j -0.00169601-0.0317872j 0.0339472+0.0136443j 0.0354749+0.0240034j 0.0175489+0.0287838j 0.0427822+0.0169379j -0.064664+0.0220898j 0.0435751+0.000839429j 
