-0.0082976+0.011571j -0.00979234-0.0232756j -0.00229311-0.0121787j -0.00180984+0.0420451j -0.00565206+0.00678376j -0.00352926-0.00612842j -0.00841915+0.00665019j -0.000980481+0.00263609j 0.0130978-0.00957517j 0.0374305+0.0264958j 0.0311029-0.00635987j -0.0479817-0.00264536j 0.0508206+0.0134693j -0.0182165+0.0277038j -0.0165199-0.00423719j 0.00803717-0.0048774j 0.0234054+0.0101312j -0.00793153+0.0206705j 0.00743684-0.0249021j -0.0452691-0.00879632j 0.00246871-0.0305924j -0.0135996+0.0159746j -0.0359036-0.0265868j 0.0572578-0.0222486j -0.0113125+0.00240298j 0.0364506-0.010605j -0.000398349-0.00827947j 0.0326471-0.0133817j -0.0437309+0.0058865j 0.0532471+0.0194645j 0.0430014+0.0244587j -0.00351286-0.0597636j -0.0398377+0.04824j 0.00318202-0.0793305j 
0.00316671+0.0107236j -0.0131889-0.00226359j 0.00975346-0.0156877j -0.0107154+0.0198514j 0.0036572+0.0225331j -0.000250416-0.0126298j -0.0288735-0.0157549j 0.000338143-0.0149927j -0.00554318-0.00775918j -0.0372263+0.0133329j -0.00906342+0.00790545j -0.0279209-0.00955185j 0.0156553+0.0108026j -0.0235359-0.00154014j 0.016147-0.000488564j 0.0253568+0.00476845j 0.0139061-0.00719976j -0.0146819+0.0152504j 0.0121182+0.0270125j 0.0212938-0.0123706j -0.016598-0.00740973j -0.00273338+0.0105427j 0.017562-0.00688757j 0.0202139+0.0186748j -0.0284447-0.00270892j 0.0417855+0.0139097j 0.0627733+0.0151799j 0.0823083+0.00274439j -0.0287729-0.0401969j 0.00669033+0.0185346j -0.0921759+0.00651187j -0.00101727-0.0417424j -0.00300394+0.122472j -0.0507118+0.0715589j 
-0.00826075+0.00553631j -0.0273423-0.0214444j 0.00378011-0.000373188j -0.00875417+0.00337401j -0.0218317-0.00396769j 0.00523498+0.00243427j -0.0410883+0.0170142j 0.00638861-0.00538702j -0.00551928+0.0142477j -0.0317059+0.00675465j 0.00930011+0.00100842j 0.0343132+0.00209355j 0.0169405+0.00967888j 0.000418762+0.0291189j 0.0196487+0.0078336j 0.0374293-0.0103393j -0.00650579-0.0130068j 0.0129897-0.00183373j 0.0116866+0.041604j 0.0484442-0.00679199j -0.0119911+0.00625162j 0.0115682-0.0158843j -0.069943-0.0380089j 0.0505724-0.0465743j 0.0375696+0.00574022j -0.0104555-0.00315857j -0.0173559+0.00582748j -0.0786651-0.0410565j 0.00935908-0.0217488j 0.0505618+0.0245475j 0.0250594+0.000141427j -0.0321428+0.0622353j -0.0220352-0.0208535j 0.0337158-0.103255j 
0.0192456-0.00115313j 0.0133986+0.0170247j -0.0048931+0.00570136j -0.00794186-0.0538704j 0.0168549-0.0280097j -0.00422222+0.0127876j 0.036311-0.0120531j -0.00598845-0.00568526j -0.0062498+0.00226162j 0.0144833-0.00717257j 8.90028e-05+0.0468667j 0.0391384+0.0261858j -0.0577527-0.0128497j 0.0104322-0.0174351j -0.00971525-0.00685368j -0.0131236-0.00236516j -0.0620849+0.00928897j 0.0362145-0.022142j -0.0215405-0.00565749j 0.00857758+0.0225042j 0.0316799+0.0389871j 0.0416321-0.0315513j 0.0209099+0.0381683j 0.0266638+0.0580756j -0.0172732-0.0080651j 0.053912-0.029007j -0.0152814-0.0159528j -0.0189681-0.0128298j -0.0491842-0.0101888j 0.07649+0.0283262j -0.0262209+0.0199658j -0.0217405+0.0369278j -0.0275046+0.0836899j 0.00836731-0.0674962j 
0.0150288+0.0176682j -0.0121043+0.00185782j 0.00036335-0.0251512j -0.00580511-0.0190478j 0.0258568-0.0182093j -0.00274322+0.00249823j 0.0153225+0.000740253j 0.0250199-0.0334766j 0.0353368+0.0278095j 0.0207529-0.0100013j 0.035905+0.00819779j -0.0245814-0.0131556j -0.00969648+0.0120599j -0.0298064+0.00216648j 0.0385372+0.00470992j 0.0214556-0.00047313j -0.0180585+0.00137939j -0.0055717-0.019872j 5.56863e-05-0.0260401j -0.0389628-0.0148569j -0.0248604-0.0267138j -0.0376696+0.0335616j -0.013465-0.0204173j 0.00816364-0.0260582j 0.0138786+0.0102556j -0.0295726+0.000183304j -0.0533188-0.0252399j -0.0274524+0.0117605j -0.012524+0.0461565j -0.0175784+0.0304272j -0.00800229-0.0139397j -0.0138058+0.0340141j -0.00424232-0.0283969j 0.0076222-0.00762746j 
-0.0018937-0.0134248j 0.023049+0.00434448j 0.000498118+0.0257073j 0.0104412+0.0211282j 0.016482-0.00516132j 0.00647951-0.0427074j -0.0312566+0.00584357j 0.0460004-0.0208125j 0.0731486+0.0149966j 0.00176995-0.00364786j -0.00861433-0.001425j 0.0317824+0.0168605j -0.00390069-0.00311945j 0.0153836-0.0116589j 0.0576633-0.00470017j 0.0117273+0.00843487j 0.00398626+0.0129069j 0.0189693+0.00790843j -0.0227441-0.0121537j 0.00518893+0.0184071j 0.0207377+0.00254718j 0.022299-0.0159775j 0.0249452+0.019065j -0.0182263+0.031887j -0.0248337-0.00958866j 0.0276614-0.0106275j 0.0612423+0.0228489j 0.0101201-0.00208594j 0.0261708-0.0524761j 0.00178169-0.0427364j 0.0201462+0.0163367j 0.00951805-0.0381736j 0.0124342+0.00159923j -0.0109202+0.0100999j 
-0.0213435+0.00798983j 0.0149876+0.00153569j -0.00876221-0.0369156j 0.00879553-0.00216698j -0.0216192+0.0309281j 0.0138755+0.0145247j -0.0320799-0.00714695j 0.019856-0.0456627j 0.0367635+0.00284616j 0.00277885+0.0197472j -0.013924-0.00589078j 0.0271966-0.00111332j 0.0413275+0.0115039j 0.0369107+0.0217389j -0.0307846+0.00803106j 0.00533877+0.014402j 0.0534975+0.0175964j 0.00741885+0.0575065j -0.00773832-0.0270438j -0.0100181+0.01738j 0.0522793-0.00690611j 0.039079-0.0308775j 0.00416144+0.00497678j -0.00722652+0.0128517j -0.0245024-0.0257756j 0.0201746-0.0407201j 0.00320671+0.0178928j -0.0245819+0.00792571j 0.0296279-0.0227525j -0.0209904-0.0117574j -0.0114582-0.0121207j 0.0126379+0.00891619j 0.016931-0.0102653j 0.00532163+0.0197432j 
-0.0168773-0.0186443j -0.00282614+0.0102872j -0.0148497+0.0103149j -0.0051004+0.00719994j 0.0255782+0.00565103j -0.0066418+0.0360303j 0.0444253-0.00489651j -0.0339972-0.0253101j -0.0506138+0.00774126j -0.0175808+0.00210858j 0.0147553-0.0138483j -0.0145378+0.0133877j -0.0196811-0.0141401j 0.0007629-0.0140088j 0.0235023-0.00341195j -0.0251972-0.0061527j 0.0021469-0.00813451j -0.021851-0.0011397j 0.0208014+0.04797j 0.0333938-0.00643498j -0.0147492+0.0347616j 0.0137324-0.00265599j -0.000421374+0.00768183j -0.0235539+0.00569459j -0.0308405-0.0139396j 0.00276367-0.0102651j -0.00296824+0.00432121j 0.0562513+0.0227505j -0.00820613+0.0137864j -0.0277977-0.0132399j 0.0396667+0.0067186j 0.0280529-0.0680477j 0.00749095-0.0192289j -0.0130218+0.0249842j 
0.0266244-0.00322942j 0.0198036+0.0216253j 0.0133017-0.0704198j 0.0111057-0.0281584j -0.0170455-0.0234415j -0.00753292+0.014244j -0.0466389-0.00636605j -0.00136196+0.0213833j 0.0034537+0.0165256j -0.00138805-0.0129347j -0.0353534-0.0124437j -0.00963301+0.000527136j -0.00809938-0.00570534j -0.0204246-0.0226077j 0.0252062-0.0120098j -0.0267253+0.0027269j 0.0048888-0.015929j -0.0159044-0.0257602j 0.00690082+0.0308174j 0.0180654-0.0321703j -0.0465025-0.0284651j -0.0471189+0.05165j -0.0284265-0.0195428j 0.00651118-0.0111537j -0.0807973-0.0446376j 0.0308907-0.0617369j -0.0116541+0.0142323j 0.00576891+0.0122832j 0.0168945-0.011507j -0.0349111+0.0187037j -0.0066656-0.0122283j 0.0150015-0.030908j 0.0102819-0.00725693j -0.0199336+0.0307715j 
0.0496336-0.0128124j -0.00383553-0.0145287j 0.0141714+0.033043j -0.00107735+0.0172732j 0.00986861-0.0346015j -0.00478741+0.0243958j -0.0497268-0.00477158j 0.00867418-0.0151466j 0.0177261+0.0288617j -0.00575577-0.0111371j -0.0348515-0.00532015j -0.0103495-0.00188989j -0.0195736-0.0174885j -0.0434165-0.0333363j -0.0224079-0.00167805j -0.0330761-0.00902256j -0.0509389-0.0240079j 0.00457154-0.0775125j -0.00858661+0.00534847j -0.00047545-0.036496j -0.0660481-0.029084j -0.0824341+0.0591684j -0.00116769-0.00620951j 0.00728761-0.0137989j 0.0114866+0.0357446j -0.0150529+0.0328911j 0.0317349-0.000138181j -0.00119418-0.0219081j -0.00111325-0.0115083j 0.0342878-0.000440062j -0.00327102+0.010329j -0.00875511+0.00395203j -0.01017+0.0122042j -0.0024204-0.0151586j 
0.0067774+0.0102929j 0.0327289-0.0229132j 0.0155593+0.00124194j 0.00677267+2.49783e-05j -0.0822954+0.0098797j -0.00348048+0.028895j -0.0239247-0.0209189j -0.0196068+0.0110066j -0.0237003-0.0249342j 0.0359279+0.0133884j -0.0393934-0.0186415j -0.00407564-0.00521694j 0.0396399-0.0105653j 0.0120045+0.0119985j 0.0164902+0.00730279j 0.0249869-0.00599532j -0.0324843-0.000687031j 0.016377-0.0190135j -0.00144657-0.0333797j -0.0149058-0.00661532j 0.00396977-0.0195222j -0.013452+0.0146225j 0.0468023+0.021441j -0.00414112+0.0360049j 0.001144+0.0172731j 0.000595345+0.00951116j 0.0188137+0.00122682j -0.0408033-0.0257047j 0.0164215-0.0211214j 0.0411098-0.01629j -0.00751217+0.0117784j -0.0168605+0.0420699j -0.00593848+0.00802715j 0.0142166-0.0237635j 
