0.0496255-0.00398349j 0.0249021-0.0500337j -0.0636453-0.0245006j -0.0512854+0.0153391j 0.0428798+0.165033j 0.0332032-0.046708j -0.021474+0.0304475j -0.139001+0.0109213j 0.0420836+0.0546949j 0.124511+0.145743j 0.0916966+0.0240665j 0.196679+0.0129843j 0.082158+0.113696j -0.0840899+0.117636j 0.034004-0.0918735j 
0.0629957+0.0348066j -0.028703+0.0453865j -0.0830455-0.0266004j -0.0292317-0.138845j -0.0105663+0.0193826j 0.0174162-0.0597648j -0.0106309-0.0225468j -0.00989669-0.0495209j -0.0599219+0.0693026j 0.00827783-0.014978j -0.0172302+0.04288j 0.0817315+0.0825389j -0.116144+0.0871877j -0.110709-0.0299519j 0.0813917-0.0143567j 
-0.0204117+0.0928278j 0.00530517+0.0889186j 0.0415557+0.0480201j 0.0905488-0.27838j -0.190537-0.181171j -0.0136494-0.0166158j 0.0831091-0.0803442j 0.142696+0.0655306j -0.0148504+0.0231033j -0.255018-0.321723j -0.106366-0.0535821j -0.26803+0.0262163j -0.189413-0.0904863j -0.019258-0.0985514j -0.0231748+0.0849429j 
-0.140163-0.072308j -0.112967-0.0112774j 0.168323+0.0560434j -0.0368271+0.274387j 0.259126-0.298115j -0.0510038+0.0656333j -0.111909+0.143351j 0.317431-0.134179j -0.0129781-0.143923j 0.160068-0.00887396j -0.166598-0.0803012j -0.0636031-0.0668477j 0.0734843-0.171948j 0.0620844-0.117723j 0.0571647-0.0197586j 
-0.000246957-0.11511j 0.0542052-0.0597493j -0.0323048+0.00696358j 0.0143983+0.115316j -0.020266-0.0126322j 0.00188652+0.140391j 0.0472452-0.0878598j -0.0375443-0.0101198j 0.0940984-0.177626j -0.177237-0.001783j 0.0942077+0.137848j -0.182031-0.0375835j 0.027985+0.0128965j 0.121043+0.0130245j -0.0870707-0.00955414j 
-0.113489+0.122881j 0.141592-0.0677113j 0.230287-0.0509531j 0.13479-0.100312j -0.22228+0.158477j -0.00635328-0.272125j 0.203501+0.0460752j -0.295419+0.342691j 0.0312663+0.166628j 0.0356235-0.0501705j 0.0447119-0.270754j -0.117157-0.135749j 0.113072-0.124344j 0.135403+0.0127474j -0.0911985-0.0193682j 
-0.024852-0.133818j 0.103876-0.0542073j 0.0355664+0.0702498j -0.0483075+0.102809j -0.0634009-0.0264198j -0.0212514+0.16556j 0.0631317-0.0237277j -0.0387984+0.0233591j 0.0640074-0.157747j -0.221769+0.0144505j 0.146686+0.104165j -0.243862-0.0802693j 0.0581486+0.0111801j 0.174218+0.023656j -0.087136+0.00729273j 
-0.0562511-0.146297j 0.0853108+0.118059j 0.129933+0.429825j -0.262177-0.1276j -0.0367841-0.16063j 0.0913687-0.0414791j -0.176196+0.00270333j 0.156034-0.0183151j -0.00200932+0.0403093j -0.301352-0.0654335j 0.0844263-0.173004j -0.0979737-0.0602598j 0.0731449+0.0975356j 0.0580061+0.0578587j 0.0800156+0.0643234j 
-0.0702848+0.08221j -0.0313323+0.0997594j 0.138474+0.216344j -0.0753694-0.235758j -0.00615181-0.0818919j 0.0420655-0.269284j -0.166095+0.0938422j 0.0603299+0.0568223j -0.0951411+0.129931j 0.00801335-0.0213727j -0.0626681-0.231353j 0.109059+0.0148147j 0.00254365-0.00912431j -0.0920364-0.00146727j 0.110375+0.0309423j 
-0.0284922+0.0630605j -0.0685426+0.00885613j 0.0427643+0.055136j -0.0594442-0.0703827j 0.0693382-0.0230721j 0.0280726-0.123037j -0.0193379+0.0653735j 0.0177605+0.000816073j -0.0669023+0.0709586j 0.115654+0.00916963j -0.0540527-0.069836j 0.0982666+0.0184532j -0.0292806-0.0215646j -0.0747486-0.0228971j 0.0799183-0.020839j 
0.000964557-0.0725616j 0.0878382-0.0114649j 0.00748069-0.00572084j -0.00232258+0.0344597j -0.0658836+0.0672281j -0.000499936-0.0114807j 0.0336974-0.0501943j -0.110829+0.0443139j 0.0146935-0.0140549j -0.0903058+0.0279181j 0.0784882+0.0134784j -0.0708151-0.0442746j 0.0393469+0.0379624j 0.10057+0.00781206j -0.0403426+0.0038462j 
