0.0230887-0.0557752j -0.0326658-0.00995865j 0.0320331+0.0474577j -0.0144925-0.0480298j -0.0422078-0.00180646j 0.00207629-0.0131551j -0.0191842+0.0177118j 0.0217989-0.102869j -0.0229079-0.0914048j -0.0558901+0.0726246j 0.0787316-0.0201696j 0.00873491+0.121064j -0.00874544-0.130885j 0.129352-0.0392448j 0.0592559+0.066505j -0.0856353+0.0762423j 0.18933+0.172226j -0.0840215-0.0921152j 0.223998-0.115297j 0.0230197+0.106229j -0.105541+0.13982j 0.0456822+0.0709994j 
0.0517528-0.0404573j 0.0428459-0.0111226j -0.00699007-0.1541j 0.0442123+0.00158992j -0.174023-0.072973j 0.0715692+0.158948j -0.0741824-0.120054j -0.0308941+0.0337512j 0.0576722+0.0483961j -0.0478075-0.0989417j -0.144826+0.0859171j -0.102918+0.0632267j -0.0912677-0.0798345j -0.032467+0.0321424j 0.0458307+0.0244544j 0.0468553+0.134247j -0.094232-0.154983j -0.0418773-0.00546738j -0.0507893-0.0239369j 0.223493-0.137954j 0.0775113+0.0566139j 0.0960891-0.180425j 
-0.0330221+0.0365738j 0.00851086-0.0541189j -0.0971487-0.0151424j 0.103389+0.0725118j 0.0624781-0.0157995j 0.0970757+0.22115j 0.189914+0.212691j 0.216893+0.0140839j -0.120744+0.00044364j 0.126397-0.00302063j -0.0956744+0.00958816j -0.0906591-0.0354453j -0.0779505-0.157524j -0.0907818+0.204907j 0.0637015+0.00196123j 0.151647-0.233112j -0.207827-0.175065j -0.0453145+0.194634j 0.0615933+0.142158j -0.118899-0.00824789j 0.0239543-0.0376732j -0.0912877-0.0341279j 
-0.0188729+0.0892176j 0.00338419+0.0376274j 0.0363537+0.116824j -0.0603423+0.0652238j 0.177119-0.0119371j -0.0212063-0.173987j -0.0458818-0.0135728j -0.128764+0.179533j 0.0321991+0.0612393j 0.157825-0.0704408j -0.0194439+0.00760989j 0.244159-0.158849j 0.059557+0.332631j -0.168298-0.167607j -0.193589-0.141649j -0.0360552-0.0520873j -0.0831499-0.128879j 0.153586+0.103799j -0.312857+0.0594371j -0.127164+0.000132794j 0.047002-0.117203j 0.00865888+0.00625176j 
-0.0504291+0.0716371j 0.0391836+0.0285196j -0.0772391-0.131819j 0.0976025-0.275947j 0.0570088-0.0569202j -0.134819+0.277814j 0.0737088-0.316774j -0.150152-0.0562917j -0.204544+0.0645693j -0.348589+0.093276j 0.00479893+0.0466634j 0.0517179-0.0544069j -0.0264328+0.0545976j 0.0898199+0.217131j 0.0438738-0.132699j -0.134273-0.140485j 0.0230528-0.222822j 0.228366+0.0735871j -0.272724+0.168715j 0.0117124-0.0152432j -0.0119165-0.00134337j -0.0357567-0.00338165j 
0.0351224-0.0432739j 0.0293383-0.00545333j -0.0831228-0.128916j 0.0330896+0.11091j -0.20222+0.01261j 0.0912888+0.136067j -0.0234796-0.0103754j 0.0758869+0.0618657j 0.114396-0.00935104j 0.0569529-0.174303j -0.124971+0.00834516j -0.198332-0.0443024j -0.119174-0.119028j -0.0502434+0.0486103j 0.0207541+0.0155842j 0.0752951+0.0817015j -0.176499-0.171009j -0.0841751+0.000617255j -0.038238+0.00227014j 0.158948-0.129827j 0.0292601+0.0114164j 0.0218912-0.080443j 
-0.0444551-0.0150756j 0.0305363-0.0689202j -0.0997585-0.131962j -0.012371+0.104887j -0.142689+0.175335j -0.169048-0.148577j -0.104305-0.23896j -0.153609-0.011276j 0.160696+0.16594j -0.0807462-0.115271j -0.0515347+0.0468186j -0.0796097-0.0557328j 0.115974-0.0590625j 0.0217976+0.0215702j 0.239069-0.0218729j -0.0115769+0.111134j 0.0663637+0.203986j 0.187102-0.201568j -0.127075-0.115338j 0.104365-0.190181j -0.0382872-0.0425363j -0.000197533+0.0220722j 
-0.0596995+0.109843j -0.0634413-0.0143402j -0.275726+0.0549242j -0.105957+0.19236j 0.0265399+0.24386j -0.101149-0.160097j 0.138673-0.130923j 0.129012-0.0231763j 0.208626-0.17879j 0.13254-0.186562j -0.0359146-0.0750714j -0.185186-0.17957j 0.00189022+0.032745j 0.0492761+0.0607309j -0.0930369-0.0804709j -0.0174403-0.116775j -0.0637143+0.0846814j 0.0991645-0.100109j -0.111163-0.0474487j -0.0181624-0.0525598j -0.0367604-0.0172893j 0.0643269+0.0729255j 
0.00804228+0.0162536j 0.00469567-8.97874e-06j 0.036317+0.075244j -0.0118496+0.0974533j 0.0664141-0.029872j 0.0568109-0.057534j -0.0315129+0.103775j 0.0261827+0.0201526j -0.00487993+0.0152479j 0.102281+0.0532902j 0.0232029-0.0474636j 0.0296507+0.0610382j 0.0205868+0.00896029j -0.00486706-0.0154723j 0.0374777+0.00934752j 0.00623854-0.0296802j 0.00141973+0.0347374j 0.0250738+0.0464202j 0.0862555-0.0354911j -0.0619882+0.046881j 0.00411415-0.0240948j -0.00858874+0.00814266j 
0.0479058-0.0117872j -0.0303999+0.0869128j 0.000816635-0.0229639j -0.0639263-0.0811528j -0.0834034-0.0330007j 0.0747604+0.0118412j 0.0474627-0.0866689j 0.0076828+0.0512532j 0.0690935-0.203015j -0.0169927-0.0575916j 0.0300009-0.00479927j -0.0761748-0.00330951j -0.136805+0.064317j 0.0162922-0.084008j -0.207376-0.0519854j -0.093092+0.0819862j -0.0726553-0.0908912j -0.0664696-0.0460657j -0.0723045-0.0481421j 0.125302+0.0319516j 0.0321408+0.042123j 0.0541605-0.024493j 
-0.0402811-0.122994j -0.0168957+0.0527147j 0.0929012-0.246478j -0.00566471-0.312671j -0.180505-0.0125959j -0.0283824-0.138434j 0.0895167+0.152945j 0.0940337+0.143431j 0.14751-0.242674j -0.309197+0.0122742j 0.267013+0.0874844j 0.189896-0.0467202j 0.0490206+0.0916438j -0.116228+0.102483j -0.157876-0.00752297j 0.0823309+0.0562038j 0.0407203+0.116303j -0.0177967-0.0128396j 0.00204068+0.0283804j -0.0125371+0.0456215j -0.058263-0.0158987j -0.107649-0.00986899j 
