-0.101742-0j -0.0147908-0j 0.704821-0j 0.712125-0j -0.00106409-0j -0.00107511-0j -0.00489939-0j 0.0828034-0j -0.00606269-0j -0.00353657-0j -7.21749e-05-0j 0.102464-0j 0.0597707-0j -8.93119e-05-0j -5.20986e-05-0j -0.00366302-0j -0.00427352-0j -0.000610503-0j -0.00261699-0j 0.0718588-0j -0.00373933-0j 0.0072959-0j -0.000712254-0j -0.0015424-0j -4.49678e-06-0j -0.000436165-0j 0.0838353-0j 0.0513384-0j -0.000623222-0j 0.00851189-0j 0.0733559-0j 0.00521245-0j -5.24625e-06-0j -0.000257066-0j 0.0074479-0j -3.21266e-06-0j 0.0302578-0j -4.59046e-06-0j 0.0030721-0j -1.89347e-06-0j -0.00292122-0j -0.00329987-0j -0.000471411-0j -0.00269434-0j 0.0367989-0j -0.00272226-0j -5.55563e-05-0j -0.000532515-0j -0.00235754-0j 0.00924783-0j -0.00194487-0j 0.000542099-0j -0.000434797-0j 0.0415688-0j -0.000621397-0j -2.58807e-07-0j -0.000439302-0j -6.27575e-05-0j 0.0339408-0j -0.000380447-0j 0.0104465-0j -5.12413e-05-0j 0.0342925-0j -0.000313853-0j 0.000612366-0j 0.00852956-0j 0.0296982-0j -5.17723e-05-0j -0.000100277-0j -2.92354e-07-0j 0.0244997-0j 0.000499995-0j 0.00861796-0j -4.48361e-05-0j 0.00746337-0j 0.000505176-0j -2.38706e-07-0j -3.69879e-05-0j 0.00782778-0j 0.000437495-0j 0.00615697-0j -1.18178e-05-0j -2.4118e-07-0j 0.000360915-0j 0.00196718-0j -2.08868e-07-0j -1.72307e-07-0j 0.000115314-0j -5.5053e-08-0j 
0.0146852-0j -0.203458-0j 0.00106409-0j 0.00107511-0j 0.682766-0j 0.689841-0j 0.000707167-0j -0.0119138-0j 0.000875074-0j 0.00051046-0j 0.141921-0j -0.0147425-0j -0.00859981-0j 0.175618-0j 0.102444-0j 0.000528711-0j 0.00061683-0j -0.00839788-0j 0.00037773-0j 5.39614e-05-0j 0.000539726-0j 0.0489657-0j -0.00979753-0j 0.000222626-0j 0.0178088-0j -0.00599974-0j 6.29549e-05-0j 3.85519e-05-0j -0.00857284-0j 0.0571267-0j 5.50856e-05-0j 0.0349828-0j 0.0207769-0j -0.00353612-0j 0.0499858-0j 0.0127232-0j 2.27216e-05-0j 0.0181798-0j 0.0206181-0j 0.00749879-0j 0.000421642-0j 0.000476296-0j -0.00648457-0j 0.000388894-0j 5.55563e-05-0j 0.000392924-0j 0.0356473-0j -0.0073251-0j 0.000340282-0j -0.000661828-0j 0.000280718-0j 0.0111495-0j -0.00598092-0j 6.27575e-05-0j 8.96909e-05-0j 0.00171425-0j -0.0060429-0j 0.040268-0j 5.12413e-05-0j -0.0052333-0j -0.000747615-0j 0.0328787-0j 5.17723e-05-0j -0.00431725-0j 0.0125947-0j -0.000610425-0j 4.48361e-05-0j 0.0332194-0j -0.00137938-0j 0.00193645-0j 3.69879e-05-0j 0.0102836-0j -0.000616751-0j 0.0287688-0j -0.000534122-0j 0.0103901-0j 0.0015811-0j 0.0237331-0j 1.18178e-05-0j 0.00899812-0j -0.000440628-0j 0.00758283-0j 0.00159749-0j 0.00742307-0j -0.000140783-0j 0.00138347-0j 0.0011413-0j 0.00237171-0j 0.000364651-0j 
0.0836695-0j 0.000210744-0j 0.00606269-0j -0.00591326-0j 0.000875074-0j -0.000853505-0j -0.581658-0j 0.000712254-0j -0.0124705-0j 0.817902-0j 5.93545e-05-0j 1.52705e-05-0j -0.00100154-0j 1.27254e-06-0j -8.34617e-05-0j 0.00301236-0j 6.08903e-05-0j -0.0724792-0j 0.00215213-0j 0.000307448-0j -0.00296856-0j 6.27575e-05-0j -0.00146506-0j -0.00371736-0j 3.69802e-06-0j -0.0517816-0j 6.21459e-06-0j 0.000219651-0j 0.0714253-0j 1.26855e-06-0j -0.000302977-0j 4.48361e-05-0j 7.47499e-08-0j 0.0894418-0j -6.1845e-05-0j 2.64199e-06-0j -0.000379401-0j -3.64425e-06-0j -7.74449e-05-0j -4.56349e-06-0j 0.00240233-0j 4.70175e-05-0j 0.000387674-0j 0.00221574-0j -0.0456961-0j -0.00216113-0j -0.00659566-0j 7.58741e-06-0j 3.35909e-05-0j 3.95668e-05-0j -0.00311568-0j 4.66299e-06-0j 0.000357564-0j -0.000894346-0j -0.0019998-0j 2.12836e-07-0j -0.000348751-0j -0.000129088-0j -0.0421469-0j 5.42071e-06-0j 7.74387e-07-0j -0.00608338-0j 0.0411081-0j -0.000502791-0j 9.12624e-08-0j 3.64937e-05-0j -0.000638952-0j 0.00593344-0j -0.000322717-0j 4.16554e-09-0j 0.0592651-0j 4.30082e-06-0j -3.55942e-05-0j -9.22247e-05-0j 5.53249e-07-0j -4.19482e-06-0j 1.96305e-07-0j 0.00855419-0j 0.0380394-0j 6.5201e-08-0j -5.13159e-05-0j 0.00549052-0j -1.91466e-07-0j -6.04763e-06-0j -3.29372e-05-0j 2.976e-09-0j -2.76035e-07-0j -3.88168e-06-0j -1.77174e-07-0j 
-0.0147908-0j 0.00175659-0j 0.102464-0j -0.0999385-0j 0.0147425-0j -0.0143792-0j -0.000712254-0j -0.567587-0j -1.52705e-05-0j 0.00100154-0j 0.00150518-0j -0.0121689-0j 0.798116-0j 3.22705e-05-0j -0.00211652-0j -0.000532515-0j -1.0764e-05-0j 0.00418477-0j -0.000380447-0j 0.0104465-0j 0.000524772-0j -0.101082-0j 8.45888e-05-0j 0.000657142-0j 0.000125256-0j 0.00298974-0j 0.000211161-0j 0.00746337-0j -0.00412392-0j -0.00204322-0j -0.0102946-0j -0.0722165-0j 2.53186e-06-0j -0.00516415-0j 0.0996122-0j 8.94873e-05-0j -0.0128914-0j -0.000123435-0j 0.124739-0j -0.000154571-0j -0.000424676-0j -8.31159e-06-0j 0.00323134-0j -0.000391692-0j 0.00534967-0j 0.000382037-0j 0.000769711-0j 6.32426e-05-0j -5.93809e-06-0j -0.0633904-0j 0.00055078-0j -0.0113053-0j 0.00298037-0j 0.000104702-0j 0.000353519-0j 9.02064e-06-0j -0.00290691-0j 1.50645e-05-0j 0.00493417-0j 4.51827e-05-0j -0.00124065-0j 0.000709928-0j -0.00481255-0j -0.00419086-0j -0.000221262-0j -0.058467-0j 7.48025e-05-0j -0.00069243-0j -0.00268991-0j 1.76549e-07-0j -0.00693821-0j -0.0104272-0j 0.0570259-0j 1.07626e-05-0j -0.000886366-0j 0.0101702-0j 8.32001e-06-0j -0.000998271-0j -0.0044533-0j -0.000158078-0j 0.0822137-0j -0.000640742-0j -8.11494e-06-0j 0.0146623-0j 0.052769-0j 1.26132e-07-0j -1.16992e-05-0j 0.009411-0j -7.50918e-06-0j 
0.00123257-0j -0.000445357-0j 8.93119e-05-0j -8.71105e-05-0j 0.175618-0j -0.171289-0j 5.93545e-05-0j -0.00150518-0j 1.27254e-06-0j -8.34617e-05-0j -0.549574-0j -3.22705e-05-0j 0.00211652-0j -0.0117827-0j 0.772788-0j 4.43762e-05-0j 8.96999e-07-0j -0.00106098-0j 3.17039e-05-0j 4.52913e-06-0j -4.3731e-05-0j 0.0125947-0j -2.14462e-05-0j -5.47618e-05-0j -0.141447-0j -0.000758004-0j 9.15495e-08-0j 3.23577e-06-0j 0.00104556-0j 0.000254584-0j -4.46328e-06-0j 0.00899812-0j -0.00285913-0j 0.00130929-0j -0.0124116-0j -0.101055-0j -5.58911e-06-0j 0.13939-0j -0.0155424-0j 0.17455-0j 3.53896e-05-0j 6.92633e-07-0j -0.000819258-0j 3.2641e-05-0j 4.66299e-06-0j -3.18364e-05-0j 0.00916905-0j -1.60342e-05-0j 4.94841e-07-0j -8.36151e-05-0j -4.58983e-05-0j -0.0431755-0j -0.000755627-0j 9.12624e-08-0j -2.94599e-05-0j -0.0205679-0j 0.000737002-0j 0.000179453-0j 4.30082e-06-0j -1.14554e-05-0j -1.63648e-06-0j 0.0084569-0j -4.19482e-06-0j 0.00106253-0j -0.000845015-0j -7.71208e-05-0j 6.5201e-08-0j -0.00824845-0j 0.000681986-0j -0.000402547-0j -6.04763e-06-0j -0.0398221-0j 7.522e-05-0j 0.000128208-0j -1.16916e-06-0j 0.0388406-0j -0.0189704-0j -0.0118917-0j -3.88168e-06-0j -0.000603708-0j 0.000108444-0j -0.00763272-0j 0.0185028-0j 0.0559962-0j 6.96049e-05-0j -0.000287593-0j 0.0266753-0j 0.0359412-0j 0.0171216-0j 
0.0510762-0j 0.00742525-0j -0.00359562-0j 0.00373933-0j -0.000518983-0j 0.000539726-0j 0.00245958-0j 0.000434797-0j -0.00295693-0j 0.00177542-0j 3.6233e-05-0j -0.000522717-0j 0.000313853-0j -4.35597e-05-0j 2.61544e-05-0j -0.355695-0j -0.414977-0j 0.000306483-0j 0.747893-0j 0.000187682-0j 0.352768-0j 3.83104e-05-0j 0.000357564-0j -0.149773-0j 2.25746e-06-0j -0.00064442-0j 0.000218962-0j -0.000394625-0j -0.000303962-0j 4.46955e-05-0j -0.000186138-0j -8.05525e-05-0j 2.63371e-06-0j 0.000129052-0j -3.79952e-05-0j -4.7466e-06-0j 7.90276e-05-0j -2.23889e-06-0j 1.61314e-05-0j 9.50555e-07-0j 0.00146651-0j 0.00165659-0j -0.0457759-0j -0.0013141-0j 0.000193229-0j 0.00136662-0j 2.78902e-05-0j -0.0517094-0j -0.0034832-0j 2.41536e-05-0j -0.000948566-0j 2.84653e-06-0j 0.0410186-0j 0.000218275-0j 0.000311952-0j 1.29926e-07-0j -0.0426581-0j 3.15053e-05-0j -0.000173148-0j 0.108726-0j 2.72844e-05-0j -2.49917e-05-0j 0.000180068-0j 0.0296088-0j 3.2155e-06-0j -2.16434e-05-0j -0.000458952-0j 2.59906e-05-0j -0.00973736-0j 1.46767e-07-0j -0.000124985-0j -2.5507e-06-0j 2.25085e-05-0j -6.6244e-05-0j -5.7369e-05-0j 2.65265e-06-0j -1.16423e-07-0j -1.804e-05-0j 4.11033e-05-0j -6.761e-06-0j -1.56231e-05-0j 5.93275e-06-0j 1.21076e-07-0j -1.8412e-06-0j 5.13791e-06-0j -3.08596e-07-0j -8.40387e-08-0j 6.05508e-07-0j 2.76376e-08-0j 
-0.0516055-0j 0.00724223-0j -0.00373933-0j 0.00377582-0j -0.000539726-0j 0.000544992-0j -0.00248507-0j -0.000439302-0j 0.00296856-0j -0.00161057-0j -3.66085e-05-0j 0.000524772-0j -0.000284712-0j 4.3731e-05-0j -2.3726e-05-0j 0.359381-0j -0.404749-0j -0.000309659-0j 0.256754-0j -0.000189627-0j -0.366647-0j -3.87074e-05-0j 0.000348751-0j 0.715222-0j -2.28086e-06-0j -0.000221231-0j 0.000213565-0j -0.000135476-0j 0.000315921-0j 4.35938e-05-0j 0.000193461-0j -2.76539e-05-0j 2.56879e-06-0j -0.000616269-0j 3.94901e-05-0j -1.62952e-06-0j -0.000377386-0j 2.32698e-06-0j -7.70336e-05-0j -4.53925e-06-0j -0.0014817-0j 0.00161576-0j 0.0462503-0j -0.00136662-0j -0.000195231-0j 0.00137995-0j -2.81792e-05-0j -0.0504349-0j 0.00115436-0j -2.44039e-05-0j -0.000885706-0j -2.87603e-06-0j 0.0426581-0j 0.000212895-0j -0.0033051-0j -1.31272e-07-0j -0.0430743-0j 3.07288e-05-0j -0.000180068-0j -0.0360324-0j 2.66119e-05-0j -2.59906e-05-0j 0.000181825-0j 0.0276467-0j 3.13625e-06-0j -2.25085e-05-0j 0.0001521-0j 2.62442e-05-0j 0.103166-0j 1.43149e-07-0j -0.000116702-0j -2.65265e-06-0j 2.27281e-05-0j 2.19537e-05-0j 1.90125e-05-0j 2.67853e-06-0j -1.21076e-07-0j -1.68445e-05-0j -0.000435485-0j 2.24064e-06-0j -1.45877e-05-0j -6.28568e-05-0j 1.22258e-07-0j -1.71918e-06-0j -5.44356e-05-0j 1.02271e-07-0j -7.84696e-08-0j -6.4153e-06-0j -2.92817e-07-0j 
-0.0085127-0j 0.0583514-0j 0.00059927-0j -0.000623222-0j -0.00824336-0j 0.00857284-0j 0.059179-0j 0.00341685-0j -0.0711456-0j 0.0427176-0j 0.000866291-0j -0.00410777-0j 0.00246641-0j -0.00104146-0j 0.000625322-0j -0.000306483-0j -0.000357564-0j -0.3477-0j 0.00064442-0j -3.12803e-05-0j 0.000303962-0j 0.00060851-0j -0.40565-0j -0.000129052-0j 7.20899e-05-0j 0.731083-0j -3.64937e-05-0j 6.57708e-05-0j 0.344839-0j 0.000709928-0j 3.1023e-05-0j -0.00127947-0j 8.41048e-05-0j -0.146407-0j -0.000603504-0j -0.000151578-0j -1.31713e-05-0j -7.14967e-05-0j 0.000256227-0j 3.0355e-05-0j -0.000244418-0j -0.000276099-0j 0.00185976-0j 0.000219016-0j 0.00464921-0j -0.00022777-0j -0.0639529-0j 0.00210083-0j 0.000580533-0j 0.000189811-0j 0.000158094-0j 6.80573e-05-0j -0.00166649-0j 0.00525184-0j -5.1992e-05-0j 5.19173e-06-0j 0.00173309-0j -0.0722425-0j -0.00416603-0j -0.00441726-0j 0.000214415-0j 0.0573066-0j 0.00433254-0j -0.00120293-0j 7.68789e-05-0j -0.000170085-0j -0.0110427-0j -0.059597-0j 0.000395605-0j 5.86468e-06-0j -0.0030072-0j -6.09844e-05-0j 0.000176883-0j 0.151899-0j -0.000450834-0j 6.34219e-05-0j -4.65218e-06-0j 0.0413661-0j 0.000988969-0j -0.000161648-0j -0.000122774-0j -0.0136039-0j 4.83812e-06-0j -4.40209e-05-0j 4.03763e-05-0j -1.23312e-05-0j -3.35812e-06-0j 1.4477e-05-0j 1.10437e-06-0j 
-0.00521294-0j -0.000757836-0j -0.0705366-0j 0.0733559-0j 5.29685e-05-0j -5.50856e-05-0j -0.00025103-0j 0.00852956-0j 0.000301791-0j -0.000181203-0j -3.69802e-06-0j -0.0102543-0j 0.00615697-0j 4.4458e-06-0j -2.66937e-06-0j -0.000187682-0j -0.000218962-0j -3.12803e-05-0j 0.000394625-0j -0.350151-0j 0.000186138-0j 0.000751549-0j -3.64937e-05-0j -7.90276e-05-0j -2.30401e-07-0j 6.57708e-05-0j -0.408509-0j 0.736236-0j 3.1023e-05-0j 0.000876808-0j 0.34727-0j -0.00158023-0j -2.68801e-07-0j -1.31713e-05-0j -0.000745366-0j 4.84448e-07-0j -0.147439-0j 2.28506e-07-0j 0.000316457-0j -9.70156e-08-0j -0.000149675-0j -0.000169075-0j -2.41536e-05-0j 0.00013412-0j 0.00379064-0j -0.00013948-0j -2.84653e-06-0j -2.72844e-05-0j 0.000355502-0j -0.0450625-0j 9.68126e-05-0j 5.58415e-05-0j 2.16434e-05-0j 0.00428199-0j -3.18385e-05-0j -1.32605e-08-0j -2.25085e-05-0j -3.2155e-06-0j -0.0033967-0j 5.7369e-05-0j -0.0509035-0j 2.5507e-06-0j 0.00353246-0j 1.56231e-05-0j 6.30797e-05-0j 0.0403793-0j -0.00900343-0j -2.65265e-06-0j -5.13791e-06-0j -1.49793e-08-0j -0.00245187-0j -5.00381e-05-0j -0.0419932-0j 6.761e-06-0j 0.107031-0j 5.20381e-05-0j 1.18824e-08-0j 1.8412e-06-0j 0.000806338-0j -0.000132633-0j 0.0291473-0j -6.05508e-07-0j -1.23573e-08-0j -3.61194e-05-0j -0.00958559-0j 3.14959e-08-0j 8.57717e-09-0j 1.18785e-05-0j -2.82075e-09-0j 
0.00860092-0j 0.0569131-0j 0.000623222-0j -0.000629303-0j -0.00857284-0j 0.00865648-0j -0.0597923-0j -0.00345226-0j 0.0714253-0j -0.0387513-0j -0.000875268-0j 0.00412392-0j -0.00223741-0j 0.00104556-0j -0.000567261-0j 0.000309659-0j -0.000348751-0j 0.351303-0j 0.000221231-0j 3.16045e-05-0j -0.000315921-0j -0.000614816-0j -0.395651-0j 0.000616269-0j -7.28369e-05-0j 0.250983-0j -3.55942e-05-0j 2.25793e-05-0j -0.358406-0j 0.00069243-0j -3.22435e-05-0j -0.000439246-0j 8.20318e-05-0j 0.699146-0j 0.000627248-0j -5.20372e-05-0j 6.28977e-05-0j 7.43097e-05-0j -0.00122358-0j -0.000144956-0j 0.00024695-0j -0.000269294-0j -0.00187904-0j 0.00022777-0j -0.00469739-0j -0.000229992-0j 0.0646157-0j 0.00204905-0j -0.000192393-0j -0.000191778-0j 0.000147618-0j -6.87626e-05-0j -0.00173309-0j 0.00512239-0j 0.00055085-0j -5.24553e-06-0j 0.00175-0j -0.0704619-0j -0.00433254-0j 0.00146391-0j 0.00020913-0j 0.059597-0j 0.00437481-0j -0.00112322-0j 7.4984e-05-0j -0.000176883-0j 0.00365961-0j -0.0601785-0j -0.0041914-0j 5.72013e-06-0j -0.00280792-0j -6.34219e-05-0j 0.000178609-0j -0.0503404-0j 0.00014941-0j 6.40406e-05-0j -4.83812e-06-0j 0.0386248-0j -0.010478-0j 5.35712e-05-0j -0.000114638-0j 0.144132-0j 4.88532e-06-0j -4.11037e-05-0j -0.000427783-0j 4.08666e-06-0j -3.13558e-06-0j -0.000153382-0j -1.17007e-05-0j 
0.00526697-0j -0.000739157-0j -0.0733559-0j 0.0740716-0j 5.50856e-05-0j -5.5623e-05-0j 0.000253631-0j -0.00861796-0j -0.000302977-0j 0.000164378-0j 3.73634e-06-0j 0.0102946-0j -0.00558529-0j -4.46328e-06-0j 2.42152e-06-0j 0.000189627-0j -0.000213565-0j 3.16045e-05-0j 0.000135476-0j 0.353779-0j -0.000193461-0j -0.000759338-0j -3.55942e-05-0j 0.000377386-0j 2.32789e-07-0j 2.25793e-05-0j -0.39844-0j 0.252752-0j -3.22435e-05-0j 0.000855196-0j -0.360933-0j -0.000542497-0j -2.62176e-07-0j 6.28977e-05-0j 0.000774692-0j 1.66312e-07-0j 0.704074-0j -2.37496e-07-0j -0.0015112-0j 4.63285e-07-0j 0.000151226-0j -0.000164908-0j 2.44039e-05-0j 0.00013948-0j -0.00382993-0j -0.000140841-0j 2.87603e-06-0j -2.66119e-05-0j -0.000117816-0j 0.0455294-0j 9.0397e-05-0j -5.64202e-05-0j 2.25085e-05-0j 0.00417645-0j 0.000337325-0j 1.33979e-08-0j -2.27281e-05-0j -3.13625e-06-0j -0.00353246-0j -1.90125e-05-0j -0.0496488-0j 2.65265e-06-0j 0.00356692-0j 1.45877e-05-0j 6.15249e-05-0j 0.0419932-0j 0.0029838-0j -2.67853e-06-0j 5.44356e-05-0j -1.46101e-08-0j -0.00228939-0j -5.20381e-05-0j -0.0424029-0j -2.24064e-06-0j -0.0354708-0j 5.25458e-05-0j 1.23573e-08-0j 1.71918e-06-0j -0.00854307-0j 4.39555e-05-0j 0.0272158-0j 6.4153e-06-0j -1.24779e-08-0j -3.37258e-05-0j 0.101558-0j -1.0438e-08-0j 8.00877e-09-0j -0.000125851-0j 2.98855e-08-0j 
