-0.357533-0j -0.417122-0j 0.75176-0j 0.354592-0j -0.150547-0j -0.0460126-0j -0.0519768-0j 0.0412307-0j -0.0428786-0j 0.109288-0j 0.0297619-0j -0.0097877-0j -0.0296078-0j -0.00427352-0j -0.0327699-0j -0.00472992-0j 0.0251694-0j -0.0172712-0j -0.0261753-0j 0.00363288-0j -0.00249289-0j -0.00377808-0j 0.0293642-0j 0.0525176-0j -0.0176311-0j 0.00423836-0j 0.00758026-0j 0.055037-0j -0.00254482-0j 0.0079439-0j 0.0105981-0j 0.00152971-0j -0.00284579-0j -0.000410755-0j -0.0223112-0j -0.0039441-0j -0.000328675-0j -0.0243486-0j -0.00430427-0j -0.000358689-0j 0.0183234-0j -0.0190558-0j -0.0172171-0j 0.00323916-0j -0.00336862-0j 0.00026993-0j 0.0206985-0j -0.00304358-0j -0.000280718-0j -0.0142034-0j -0.0124279-0j -0.000253631-0j 0.0362011-0j 0.00365902-0j -0.00251082-0j 0.0170754-0j -0.00219697-0j 0.000304918-0j 0.0431889-0j 0.0063995-0j -0.00724963-0j -0.000209235-0j -0.000183081-0j 0.00301854-0j 0.000533292-0j 0.0261313-0j 0.00763479-0j -0.00128157-0j 0.000251545-0j 0.00389772-0j 0.000636232-0j 0.00461941-0j -0.000106797-0j -0.000884548-0j 0.000384951-0j 0.000689027-0j -0.000156368-0j 5.74189e-05-0j -1.30306e-05-0j 
0.361239-0j -0.406841-0j 0.258081-0j -0.368543-0j 0.718919-0j 0.0464894-0j -0.0506956-0j 0.0428786-0j -0.043297-0j -0.0362187-0j 0.0277896-0j 0.1037-0j 0.0299147-0j 0.00431781-0j -0.0319622-0j -0.00461334-0j 0.0261753-0j 0.0174502-0j -0.0264307-0j 0.00377808-0j 0.00251872-0j -0.00381494-0j -0.0294797-0j 0.0107968-0j 0.015994-0j -0.00425503-0j 0.00155838-0j -0.018883-0j 0.00230854-0j -0.00272553-0j 0.0520929-0j 0.00751896-0j 0.0522651-0j 0.00754381-0j 0.0225424-0j 0.00398498-0j 0.000332081-0j -0.0237485-0j -0.00419818-0j -0.000349848-0j 0.0190558-0j -0.0192417-0j 0.0173955-0j 0.00336862-0j -0.00340149-0j 0.000280718-0j -0.0207799-0j 0.00307512-0j -0.000283457-0j -0.0138533-0j 0.011274-0j 0.00025626-0j 0.0124279-0j -0.0036734-0j -0.00244894-0j -0.0177472-0j 0.00199298-0j -0.000306117-0j -0.00857128-0j 0.00219697-0j 0.0346196-0j -0.000204078-0j 0.000166082-0j -0.0031373-0j 0.000183081-0j 0.00805454-0j -0.0015152-0j 0.00611995-0j -0.000261441-0j 0.042506-0j -0.000126267-0j 0.00142385-0j 0.000509996-0j 0.0248451-0j 0.000118655-0j 0.00751408-0j 0.00439203-0j 0.000626173-0j 0.000366003-0j 
0.0420036-0j -0.0963718-0j 0.0300088-0j 0.0428786-0j 0.0176865-0j -0.254881-0j -0.287919-0j 0.462318-0j 0.467109-0j -0.205699-0j -0.169693-0j -0.0542177-0j 0.00347837-0j -0.0478473-0j 0.00384985-0j -0.0529573-0j 0.00304358-0j -0.0100097-0j 0.00307512-0j -0.0418664-0j 0.13769-0j -0.0423003-0j -0.00698309-0j 0.00125541-0j -0.00407347-0j 0.0960571-0j -0.017269-0j 0.00219697-0j 0.0560333-0j -0.0302208-0j 0.00128157-0j -0.0176288-0j 0.000334328-0j -0.0045989-0j 0.00262115-0j -0.0218479-0j -0.00553919-0j 0.00286051-0j -0.0238429-0j -0.00604501-0j 0.00221574-0j 0.0022387-0j -0.00397782-0j -0.0184687-0j -0.01866-0j -0.00468245-0j 0.00250295-0j 0.033156-0j -0.00473097-0j -0.0082317-0j 0.00146005-0j 0.00840619-0j -0.00284189-0j -0.0208626-0j 0.0686129-0j -0.00406069-0j -0.0121698-0j -0.00528939-0j 0.00103241-0j 0.0236878-0j -0.00167495-0j 0.0173958-0j -0.00308548-0j 0.0338467-0j 0.00600567-0j 0.00104311-0j -0.00860537-0j 0.0139611-0j 0.00858132-0j 0.000471328-0j -0.00218176-0j -0.00869455-0j 0.00353961-0j 0.000103918-0j -0.00220437-0j -0.00392861-0j -0.000866178-0j -0.00099604-0j -0.000219606-0j 
-0.0519768-0j -0.00105063-0j 0.109288-0j -0.0497629-0j 0.0641411-0j 0.315399-0j 0.00617287-0j -0.282621-0j -0.283732-0j -0.0129792-0j 0.397409-0j -0.262552-0j -0.00430427-0j 0.0592081-0j -8.25395e-05-0j 0.00113539-0j 0.00365902-0j -0.00251082-0j 0.0036734-0j -0.0503322-0j 0.034538-0j -0.0505301-0j 7.39615e-05-0j 0.00763479-0j 0.00499304-0j -0.00101739-0j -0.105022-0j -0.0077238-0j -0.0686826-0j 0.106246-0j -0.00451536-0j 0.0621117-0j 0.00202554-0j -0.0278627-0j -0.00324351-0j 0.0270353-0j 0.0068544-0j -6.13283e-05-0j 0.000511184-0j 0.000129603-0j 0.00266379-0j 0.00267426-0j -0.00250295-0j -0.0222032-0j -0.0222905-0j -0.00562928-0j 5.21346e-05-0j 0.0208626-0j -0.00565142-0j -3.57748e-05-0j 0.00351954-0j 0.00528939-0j 0.00526276-0j -0.000434553-0j 0.000298191-0j -0.00239634-0j -0.029336-0j -0.000110174-0j 0.000108782-0j -0.0438662-0j 0.00308872-0j 7.56017e-05-0j -0.00743771-0j 0.0199739-0j -0.0111216-0j -0.00740027-0j -0.000906724-0j -0.0257451-0j 0.00506409-0j -0.00221745-0j -0.000229886-0j 0.0616828-0j -0.00652729-0j 0.000755956-0j 0.0156387-0j 0.0184829-0j -0.00630105-0j 0.00468606-0j -0.00159754-0j 
0.0303198-0j -0.0689075-0j 0.0216615-0j 0.0277896-0j 0.0152848-0j -0.183983-0j 0.404859-0j -0.169693-0j -0.153937-0j 0.289245-0j -0.470867-0j 0.498452-0j 0.00251082-0j -0.034538-0j -0.0054135-0j 0.0744663-0j 0.00219697-0j 0.00146465-0j 0.00199298-0j -0.0302208-0j -0.0201472-0j -0.0274148-0j -0.00499304-0j 0.000906204-0j 0.00574754-0j 0.0686826-0j -0.0124654-0j 0.00142385-0j -0.0790613-0j -0.0195861-0j 0.00110754-0j -0.0152349-0j -0.0105341-0j 0.144903-0j 0.00189205-0j -0.0157706-0j -0.0039984-0j -0.00402233-0j 0.0335269-0j 0.00850024-0j 0.00159941-0j 0.0014509-0j 0.00146005-0j -0.0133314-0j -0.0120936-0j -0.00337997-0j -0.00351954-0j -0.0121698-0j -0.00306614-0j -0.00234636-0j 0.00405138-0j -0.00308548-0j 0.00104311-0j 0.029336-0j 0.0195574-0j 0.00133821-0j -0.0337691-0j 0.00743771-0j -0.00145173-0j -0.00869455-0j 0.000736041-0j 0.00495847-0j -0.00856163-0j -0.0111543-0j -0.00220437-0j 0.00289444-0j 0.0121005-0j -0.00613505-0j -0.002828-0j -0.00433317-0j 0.0030679-0j -0.0241258-0j -0.00155545-0j -0.00729396-0j -0.00611672-0j 0.0361178-0j 0.0607966-0j 0.00915712-0j 0.0154141-0j 
-0.0761008-0j 0.0299147-0j 0.0183189-0j 0.0261753-0j 0.0107968-0j 0.00329987-0j -0.0110632-0j 0.00304358-0j 0.00307512-0j 0.00266313-0j 0.00219697-0j 0.000701942-0j -0.203006-0j 0.000306483-0j -0.224686-0j 0.000339215-0j 0.527191-0j -0.11842-0j 0.532655-0j -0.000795915-0j 0.000178782-0j -0.000804163-0j -0.207235-0j -0.0732687-0j -0.120887-0j 0.000312868-0j 0.000110616-0j -0.12822-0j 0.000182507-0j 0.000193577-0j -0.0747951-0j 0.00011292-0j -0.0195121-0j 2.9458e-05-0j 0.00160009-0j -0.0270427-0j 2.35715e-05-0j 0.0017462-0j -0.0295121-0j 2.5724e-05-0j 0.0013526-0j 0.00136662-0j -0.00366464-0j -0.02286-0j -0.0230969-0j 1.99257e-05-0j -0.00453476-0j 0.0619352-0j 2.01322e-05-0j 0.00101862-0j -0.00264528-0j -5.39853e-05-0j 0.00088215-0j 0.0766409-0j -0.0172154-0j 0.00126048-0j 0.0447072-0j -6.68034e-05-0j 0.000630238-0j -0.014909-0j 0.00051992-0j 1.50057e-05-0j -3.89686e-05-0j -0.021303-0j 1.29953e-05-0j 0.000636769-0j -0.0106515-0j -0.00878704-0j 1.85686e-05-0j 0.000287723-0j 9.28428e-06-0j -0.0107619-0j 7.65914e-06-0j 6.34369e-05-0j 9.3805e-06-0j -0.00486273-0j -0.00107213-0j 4.23856e-06-0j 9.34514e-07-0j 
0.0109842-0j -0.00431781-0j -0.00264411-0j -0.00377808-0j -0.00155838-0j 0.045392-0j -0.152182-0j 0.0418664-0j 0.0423003-0j 0.0366331-0j 0.0302208-0j 0.00965569-0j -0.000306483-0j -0.196653-0j -0.000339215-0j -0.217655-0j 0.000795915-0j -0.000178782-0j 0.000804163-0j 0.510694-0j -0.114714-0j 0.515986-0j -0.000312868-0j -0.000110616-0j -0.000182507-0j -0.20075-0j -0.0709759-0j -0.000193577-0j -0.117104-0j -0.124208-0j -0.00011292-0j -0.0724545-0j -2.9458e-05-0j -0.0189015-0j -0.000230953-0j 0.00389091-0j -0.0463497-0j -0.000252043-0j 0.00424621-0j -0.0505822-0j -0.000195231-0j -0.000197255-0j 0.000528946-0j 0.0032891-0j 0.00332319-0j -0.0391808-0j 0.000654537-0j -0.00891124-0j -0.0395868-0j -0.000147025-0j 0.000381813-0j 0.106154-0j -0.000127327-0j -0.0110271-0j 0.00247696-0j -0.000181934-0j -0.00643248-0j 0.131358-0j -9.0967e-05-0j 0.00214511-0j -7.5044e-05-0j -0.0295063-0j 0.0766257-0j 0.00306508-0j -0.0255532-0j -9.19097e-05-0j 0.00153254-0j 0.00126428-0j -0.0365122-0j -4.15292e-05-0j -0.0182561-0j 0.00154842-0j -0.0150605-0j -9.15633e-06-0j -0.0184453-0j 0.000699651-0j 0.000154258-0j -0.00833446-0j -0.00183758-0j 
-0.0299147-0j 0.00118917-0j -0.0213721-0j 0.0294797-0j 0.0369157-0j -0.00384985-0j -7.53479e-05-0j 0.00698309-0j -0.00681097-0j -5.38311e-05-0j 0.00499304-0j 0.00320479-0j 0.23684-0j -0.000357564-0j 0.00454169-0j -6.85671e-06-0j 0.207235-0j -0.681556-0j -0.202127-0j -0.000312868-0j 0.00102896-0j 0.000305157-0j -0.00823799-0j 0.0854801-0j 0.540303-0j 1.24371e-05-0j -0.000129052-0j -0.144407-0j -0.00081571-0j 0.000218015-0j -0.255735-0j 0.00038609-0j -0.111454-0j 0.000168266-0j -0.00186677-0j 0.0315498-0j -2.75001e-05-0j -3.52969e-05-0j 0.000596543-0j -5.19972e-07-0j -0.00157804-0j 0.00153914-0j 0.00283298-0j 0.02667-0j -0.0260127-0j -2.32467e-05-0j -3.08847e-05-0j -0.0478795-0j 2.26737e-05-0j 0.000101574-0j 0.00202563-0j 4.17337e-05-0j 0.00202398-0j 0.000521975-0j -0.00171668-0j -0.00279179-0j -0.0342347-0j -4.54975e-07-0j -1.27393e-05-0j -0.0342068-0j -0.003496-0j 1.49633e-06-0j 2.98404e-05-0j 0.0471833-0j 2.9816e-05-0j 0.00144718-0j 0.000215304-0j 0.059085-0j -4.11269e-05-0j 0.00131363-0j -1.87668e-07-0j -0.0244584-0j -5.15009e-05-0j 0.000435083-0j 2.1319e-05-0j -0.0222013-0j -0.00735322-0j 1.93516e-05-0j 6.40937e-06-0j 
-0.0183189-0j -0.0213721-0j -0.0116186-0j 0.055037-0j -0.00771359-0j -0.00235754-0j -0.00266313-0j 0.0063995-0j -0.00219697-0j -0.00168906-0j 0.00461941-0j -0.000501492-0j 0.145034-0j -0.000218962-0j 0.160524-0j -0.000242347-0j -0.37349-0j 0.0846034-0j 0.12822-0j 0.000563867-0j -0.000127728-0j -0.000193577-0j -0.435738-0j 0.653925-0j 0.0863659-0j 0.000657845-0j -0.000987248-0j 0.0813223-0j -0.000130389-0j -0.000122774-0j -0.157266-0j 0.000237429-0j 0.0139401-0j -2.10458e-05-0j -0.00114316-0j 0.0193202-0j -1.68403e-05-0j -0.00124755-0j 0.0210845-0j -1.83781e-05-0j 0.00284402-0j -0.000976361-0j -0.00088215-0j -0.0480661-0j 0.0165012-0j 4.18964e-05-0j 0.00321266-0j 0.014909-0j -1.43831e-05-0j -0.000727736-0j -0.000636769-0j -1.29953e-05-0j -0.000559494-0j -0.0542964-0j 0.0122993-0j 0.00265031-0j 0.0107619-0j 4.7327e-05-0j -0.0056249-0j 0.00945587-0j -0.000371449-0j -1.07206e-05-0j -9.3805e-06-0j -0.0447922-0j -8.24212e-06-0j -0.000403864-0j 0.095065-0j 0.00627776-0j 3.90428e-05-0j 0.000604974-0j -8.28625e-05-0j 0.00682561-0j -5.47196e-06-0j -4.53215e-05-0j -5.94948e-06-0j -0.0102245-0j 0.000765968-0j 8.91211e-06-0j -6.67649e-07-0j 
0.00431781-0j -0.000171641-0j 0.00308479-0j -0.00425503-0j -0.00532833-0j -0.0529573-0j -0.00103646-0j 0.0960571-0j -0.0936895-0j -0.000740483-0j 0.0686826-0j 0.044084-0j 0.000357564-0j 0.229429-0j 6.85671e-06-0j 0.00439957-0j 0.000312868-0j -0.00102896-0j -0.000305157-0j 0.20075-0j -0.660228-0j -0.195802-0j -1.24371e-05-0j 0.000129052-0j 0.00081571-0j -0.0079802-0j 0.0828052-0j -0.000218015-0j 0.523396-0j -0.139888-0j -0.00038609-0j -0.247733-0j -0.000168266-0j -0.107967-0j 0.000269445-0j -0.00453939-0j 0.0540747-0j 5.09466e-06-0j -8.58307e-05-0j 0.00102244-0j 0.00022777-0j -0.000222156-0j -0.000408905-0j -0.00383728-0j 0.0037427-0j 0.045711-0j 4.45783e-06-0j 0.0068889-0j -0.0445843-0j -1.46609e-05-0j -0.000292375-0j -0.0820628-0j -0.000292136-0j -7.51019e-05-0j 0.000246995-0j 0.00040296-0j 0.00492569-0j 0.000894638-0j 1.83876e-06-0j 0.00492167-0j 0.000504604-0j -0.00294229-0j -0.0586764-0j -0.00678874-0j -0.0586285-0j -0.000208883-0j -3.09779e-05-0j -0.00850115-0j 0.0808696-0j -0.000189606-0j 0.000369019-0j 0.00351908-0j 0.101268-0j -6.27988e-05-0j -0.0419204-0j 0.00319432-0j 0.00105798-0j -0.0380518-0j -0.012603-0j 
0.0261753-0j -0.0294797-0j -0.055037-0j 0.0259444-0j 0.0520929-0j 0.00336862-0j -0.0036734-0j -0.00301854-0j -0.0031373-0j 0.0077238-0j -0.00195631-0j 0.00751408-0j -0.207235-0j 0.000312868-0j 0.221419-0j -0.000334283-0j 0.176169-0j -0.120887-0j 0.1831-0j -0.000265966-0j 0.000182507-0j -0.000276431-0j -0.198408-0j 0.367588-0j -0.110799-0j 0.000299542-0j -0.000554957-0j -0.384991-0j 0.000167277-0j 0.000581231-0j 0.350602-0j -0.000529313-0j -0.362068-0j 0.000546624-0j 0.00163342-0j -0.0276061-0j 2.40626e-05-0j -0.00172081-0j 0.029083-0j -2.535e-05-0j -0.00134147-0j -0.00139425-0j 0.00126048-0j 0.0226719-0j 0.0235639-0j -1.97618e-05-0j 0.00146285-0j -0.021303-0j -2.05393e-05-0j -0.00100381-0j 0.000816914-0j 1.85686e-05-0j -0.00265031-0j -0.0247232-0j 0.0169651-0j 0.00124936-0j -0.0138065-0j 2.15498e-05-0j 0.00305233-0j 0.0447922-0j 0.00250854-0j -1.47875e-05-0j 1.20343e-05-0j -0.021115-0j -3.90428e-05-0j -0.00171767-0j -0.0515867-0j -0.0423962-0j 1.84047e-05-0j -0.00299231-0j 4.49651e-05-0j 0.0290298-0j 3.69543e-05-0j 0.00180027-0j -2.53036e-05-0j 0.0505722-0j -0.030426-0j -4.40808e-05-0j 2.65205e-05-0j 
