0.00438597+4.33681e-19j -0.00951646+1.16296e-05j 0.00398799+0.000473273j 0.00417942+0.000542605j 0.00225223+0.000450701j -0.00521208-0.00012108j 0.00160924+0.000202727j 0.00494847+0.000730768j -0.00237142+4.28598e-07j 0.000106363-0.000182371j -0.00347819+4.89738e-06j 0.0034101+0.000217814j -0.00381409-0.000710384j 0.00399758+0.000665006j -0.00155692-0.00016549j 0.00344163+0.00018333j -0.000572195+0.00014237j -0.00061361-0.000119897j 0.00301633+0.000236574j 0.00162648+0.000175247j -0.000607182-0.000175481j -0.00445249-0.000659355j -0.00342023-0.000355284j 0.000902705-7.92303e-05j 0.00253942+0.000214785j 0.00032961+6.78275e-06j 0.000989113-0.000124351j -0.000818602-8.72076e-05j 0.00166767+0.000213545j 0.00111294-5.87143e-05j -0.00134927-4.04604e-05j -0.00314903-0.00056672j 0.00017003+0.000149703j -0.000953682-5.94061e-05j -0.00083659-0.000352073j 0.000880292+0.000244691j 0.000387861+0.00012257j -0.00188419-0.000323286j 0.000931557-0.000211619j -0.00193281-0.0003623j 0.00180301+0.000207667j -0.00201014-0.000179958j -0.000193716+1.04254e-05j 0.00120896+0.000127615j 0.00201033+0.000204678j 0.00152263-3.5678e-06j -0.000317024-4.42587e-05j -0.0028903-7.32631e-05j 0.00159834-0.000231664j -0.00152306-0.000179732j -0.001917-0.000282874j 0.00247974-0.000107375j -0.00145902-0.000234877j -0.00297452-0.000394151j -0.00365951-0.000383661j -0.000318748+6.4424e-05j -0.00397762+5.004e-05j -0.00107524+0.00041562j -0.000942982+0.000106142j 0.00627282+0.000682845j 0.000462926+0.000162378j -0.00758171-0.00111764j 0.00349612-0.00116856j -0.00292976-0.000812455j -0.0109027-0.000512893j 0.0088988+0.000443496j -0.0249093-0.00270679j 0.00887128-0.00601925j 0.000490817+3.97712e-05j 0.875548-0.00500163j 
-0.00951646-1.16296e-05j -0.00700092+8.67362e-19j -0.00457173-0.000519954j 0.00554108+0.000676849j 0.00261862+2.79304e-05j -0.00123738+9.6868e-06j -0.00585965-0.00063742j 0.00153993+0.000249246j -0.0024192-0.000277416j -0.00193574+0.000152236j -0.00261489+7.26889e-06j -0.00492875-0.000570467j -0.0014194-0.000242025j 0.00204286+0.000220252j 0.00109589-0.000122773j -0.000618669-0.000121257j -0.00183128-9.03479e-05j 0.00188579+0.000150668j 0.000653164+5.62081e-05j 0.000930188+0.000206525j -0.00407449-0.000251249j 0.00117453+0.000183953j -0.000756432+6.59503e-05j -0.00140741-0.000494752j -0.00140747-0.000150006j 0.00302729+0.000236567j -0.000559344-0.000231641j 0.000873176-0.000168422j 0.00108665+0.000115457j -0.000439582-9.60598e-05j -0.000890257-0.000327004j -0.0021641-0.000118711j -0.000861844+5.48962e-05j 0.00170438+0.000272163j 0.00158271+0.000863855j -0.000273037+0.000314117j 0.00191219+7.60323e-05j 0.00087149+0.000146514j -0.000610017+1.02194e-05j -0.00265138-0.000471433j -1.4273e-05-0.000107016j -0.000508145+7.8814e-05j 0.00367462+0.000634587j -0.00124987-0.00027429j -0.00294877-0.000305335j 0.00115665-9.3837e-05j -0.00152777-0.0003485j 0.00113547+0.000424884j 0.000101653-0.00054688j 0.00264492-6.5448e-05j -0.00168915-0.000305999j 0.00129003+0.000403714j 0.000635574-9.31231e-05j 0.00286634+0.000256062j -0.00285418-5.64445e-05j -0.00463965-0.000721209j 0.000698549+0.000278091j -0.00266953-0.000490605j -0.00505512+8.74251e-06j -0.000662427+0.000183952j -0.00760166-0.00144039j 0.00149445-0.000279998j 0.00397966+0.000918394j 0.00991152-0.000113176j -0.00375466-0.000269482j -0.00618525-2.1466e-05j 0.00817181-0.00643877j 0.0262324+0.00275975j -0.871768+0.0052633j -0.000490817-3.97712e-05j 
0.00398799-0.000473273j -0.00457173+0.000519954j -0.00432046-4.33681e-19j 0.000746195-9.39404e-06j -0.00397026-0.000178841j -0.00651744-3.99749e-05j -0.00239643-0.000239647j -0.00166506-0.000402915j -0.0052087+1.549e-05j 0.00314128-0.000129388j -0.0041658+8.90664e-05j 0.00118947-0.00012593j 0.00110327-9.11226e-05j -0.00189589-0.00029063j -9.7843e-05+0.000175549j 0.00210289-0.000332769j -0.00299891-0.000122592j -0.000239696+0.000200301j 0.00260256+0.000168802j 0.00189367+0.000227666j 0.000754427+0.000205989j 0.000141477+1.55046e-05j -0.000552765+0.000313526j -0.000271641-0.00029302j 0.00164188-0.000166874j 0.000925101-0.000136297j 0.00376768+8.64456e-05j -0.00178601+1.11811e-05j -0.00128737-0.00023065j 0.0017294-6.56535e-05j -0.00379272-0.00036041j 0.000530188+0.000209823j -0.00024699-0.000118405j 0.000564116+7.80867e-05j 0.00118266-0.000142439j -0.00322027-0.00031122j -0.00193842-0.000680666j 0.00144335+0.000348456j 0.00269635-0.000150495j -0.00150948-0.000490774j -0.000333203-0.00031467j -0.000376255+0.000469303j 0.00276455+0.000611539j -0.00328783-0.000517713j -0.000910054-0.000770744j -0.000543779-0.000755564j -0.000475839-0.000974209j -3.74962e-05+0.00105691j -0.000302984-0.00109868j -0.00209752-0.00035347j -0.000736381-0.000257239j 0.00719786+0.000851584j 0.00089427+0.000131086j -2.34341e-05-0.000228996j 0.00245234+0.00152254j -0.00585869-0.000889653j -0.00511481+0.00192604j -0.00838114+0.000174016j 0.00131209-0.000453175j -6.80432e-05-0.000445581j -0.00761662-0.00224737j 0.00346353-0.000894451j 0.0345948+0.000367672j -0.00527222-0.00513807j 0.000831976-0.00132241j -0.0048004-0.00666283j -0.0032483-0.00176126j -0.890453+0.0058738j 0.0262324+0.00275975j -0.00887128+0.00601925j 
0.00417942-0.000542605j 0.00554108-0.000676849j 0.000746195+9.39404e-06j 0.00583118-6.93889e-18j -0.00125588+0.00023653j 0.00513849+8.93852e-05j 0.00187289-0.000113212j 0.00681094+0.00116009j -0.000376867-0.000860595j 0.00384894+5.72167e-05j 0.00551773+0.000510282j 0.000893192-0.000108785j -0.00538068-0.000674987j 0.00550256+0.00104989j -0.00376643+0.000245102j -0.000807304+2.56562e-05j 0.00161724-0.000310171j -0.00131292+0.000357551j 0.00247031+0.000645609j 0.000848309+0.000237452j 0.00249418+0.000482744j -0.00388606-0.000830496j -0.00121208-0.000399595j -0.00590327-0.000894282j 0.00270012+0.000698662j -0.000378776+0.000348784j -0.00243207+0.000153953j -0.00308371-1.41669e-05j 0.00105359+8.92267e-05j 0.000309485+0.000115858j -0.000139289+0.000123333j -0.000872727-7.68946e-05j 0.00238467-0.000381093j 0.000892049-2.06918e-05j -0.00158423-0.000128473j 0.00347968-1.77792e-05j -0.00176579-0.000186848j 9.03701e-05+0.000513352j -0.000212976+0.000235533j -0.00295468-0.000602629j 0.00139084+0.000208796j 0.00282843+0.000185878j 0.00098234+0.000455147j 0.00346273+7.1691e-05j 0.0025473-9.90586e-05j -0.000573048-0.000449356j -0.00160312-0.000664864j 0.00164943+0.000160772j -0.00600439-0.000853787j -0.00471102-0.000765894j -0.00177776-7.86698e-05j 0.0023498-2.51288e-05j -0.000755627+0.000935353j -0.0048013-0.000210694j 0.00220968-0.000104002j 6.25728e-05-0.00109706j 0.00719752+0.00133825j 0.00280013+0.000186067j 0.00810802-0.000596746j 0.00626645+0.00197771j -0.0114427-0.000227587j -0.0139979+0.000186013j -0.00251912-0.00564161j -0.0268632+0.00112169j -0.0157907-0.00225867j -0.0185822-0.00114508j 0.874258-0.00539371j 0.0032483+0.00176126j -0.00817181+0.00643877j -0.0249093-0.00270679j 
0.00225223-0.000450701j 0.00261862-2.79304e-05j -0.00397026+0.000178841j -0.00125588-0.00023653j -0.00310798-1.99493e-17j -0.00604862-0.00013601j 0.000858507+5.5762e-05j -0.00243678-0.000227554j 0.00187584+0.000489862j 0.0014973-0.000340791j -0.00265606-0.000103232j 0.00160358+8.50067e-05j 0.000333534-6.9657e-05j -0.0031146+0.000354085j -0.00105539-0.00010151j 0.00371308+0.000523543j 0.00198542+0.000523129j -0.00469574-0.000371806j -0.00315769-0.000579279j 0.000648696-0.000336318j -0.00107456+4.16791e-05j -0.00155876-0.000240782j -0.000995511-0.000323652j 0.000829875-0.000430784j 0.000298233-0.000356826j -0.00111932+4.7485e-05j 0.00273081-0.000206844j -0.00188731-2.9712e-06j -0.00169028+0.000388154j -0.00039158-0.000290745j -0.00404275-0.000115976j -0.00271858-0.000776674j 0.00606055+0.000887657j 0.000967429+5.0352e-05j 0.00252027+0.00108666j -0.000699211+0.000824672j 0.00159686+0.000314801j -0.00557859-0.00102724j -0.00172232-0.000851602j 0.00274948+0.000500886j -0.00119764-8.20697e-05j -0.00388869-0.000103767j -0.000545863-0.000479975j -0.00574313-3.48381e-06j 0.00204705-8.57079e-05j 0.000487503+0.00100123j 0.00679796-0.00025907j -0.00123286-0.000201915j -3.47805e-05+0.000689585j 0.0029165+0.000704271j 0.000315965-0.000291627j -0.00102354-5.25931e-05j -0.00484224-0.00161514j -0.00147185-0.000449538j -0.000722453+5.83246e-05j -0.00218832+0.00160534j -0.0202657+3.71257e-05j 0.000637905+0.000994848j 0.0103798+1.44697e-05j -0.0133051-0.0024684j 0.00802164+0.00121221j -0.0191712-0.00287097j -0.00200013-0.00491618j 0.00629256+0.00296151j 0.00832426-0.000193723j -0.891984+0.00789944j 0.0185822+0.00114508j -0.0048004-0.00666283j -0.00618525-2.1466e-05j -0.0088988-0.000443496j 
-0.00521208+0.00012108j -0.00123738-9.6868e-06j -0.00651744+3.99749e-05j 0.00513849-8.93852e-05j -0.00604862+0.00013601j 0.00289802+5.61617e-17j 0.00157127-0.000149718j -0.00127436+0.000259684j -0.00134406-0.000144342j -0.00329412-0.00028976j 0.000179956+0.000475575j -0.000240537-0.000165003j 0.000871417+3.88631e-05j -0.00232466-0.000195004j 0.000606814+0.000270487j -0.00459328+5.48974e-05j -0.00526518-0.000201566j -0.00640562-0.000311614j 0.00163347-0.000147714j -0.000994912+5.9755e-05j -0.00344825+0.000315217j 0.00374496+0.000285781j 0.00139144+0.000314852j -0.000842309-0.00021894j -0.00171876-0.000298796j 0.00258052-8.51094e-05j 0.00322515+9.90313e-05j -0.00035191+2.11125e-05j -0.00488395-0.000350696j 0.00244476-7.62901e-05j -0.000258678-0.000316204j 0.0019759+0.000292428j -0.000613089-0.000184666j 0.00289138-0.000326932j 0.0013264+0.000155735j -0.00237798-0.000405722j 3.64752e-05-0.000234034j 0.00165462+0.000189299j 0.000768036+0.000150532j 0.00330771+0.00077602j 0.000476604+0.00012659j 0.0061564+0.000148493j -0.00100853-0.000310928j 0.000987521+0.000273678j -0.00272961+9.21225e-05j 0.0025538+0.000521421j 0.00539145+0.000217815j -0.00235081-0.000889452j 0.00698023+0.00134131j 0.00507313-4.04139e-05j 0.00207418+0.000326401j 0.00431722-0.000813046j 0.011811+7.19908e-06j -0.00634047-0.000320871j 0.00626799+0.000542804j 0.00549408+0.00042838j -0.00192075-0.000242907j -0.00101012-0.0011351j -0.011064-0.00147128j -0.0229745+0.000342415j 0.0109372+0.00100571j -0.000844058+0.00234918j -0.00450497-0.00197432j 0.00831593-0.000187161j -0.895601+0.00298534j 0.00832426-0.000193723j 0.0157907+0.00225867j 0.000831976-0.00132241j -0.00375466-0.000269482j 0.0109027+0.000512893j 
0.00160924-0.000202727j -0.00585965+0.00063742j -0.00239643+0.000239647j 0.00187289+0.000113212j 0.000858507-5.5762e-05j 0.00157127+0.000149718j -0.00430945-1.64799e-17j -0.00150275-0.000257517j -0.00437507+0.000437223j 0.00232994-0.000274514j -0.00563307-0.00011188j -0.00338485-0.000229853j 0.0050242+0.000388897j 0.00045516-0.000256973j -0.00140977-9.76463e-05j 0.00158807+1.3285e-05j -0.00222754+0.000553272j 0.00256695-0.00050148j -0.000388168-0.000474336j -0.00205629-0.000589472j -0.00372991-0.000620213j 0.00819214+0.00106678j 0.000142812+0.000355376j 0.00297832+0.000433697j -0.00200497-0.00077607j 0.00431621+0.000189963j -0.000541308-0.000622245j -0.00092342-0.000353626j 0.0027408+0.000280271j 0.00194756-0.000164303j 0.00116935+0.000227399j 0.00119305-0.000493186j -0.00233684+0.000626975j 0.00208051+7.84593e-05j 0.0011342+0.000493282j -0.000937311+0.000779971j 0.0059213+0.00114209j 0.00138015-0.00105479j 0.00315366-0.000556765j -0.000547142+0.000402422j -0.000750844+4.75836e-06j -0.00135813+0.00015689j 0.00202517-0.000359257j 0.000848125+0.00034502j -0.00076897+0.000379836j 0.00349248+0.000820931j 0.00482712+0.000327487j -0.00395142+0.000396905j 0.00992284-0.000118368j 0.00429053+0.00132213j -0.00258726+5.34941e-05j -0.00470797+0.00020611j 0.00306874-0.00187448j 0.0102625+0.000296924j -0.0144737-0.000447633j 0.00225592+0.00163721j -0.012107-0.000773313j -0.0207072-0.00184579j -0.0100925+0.00350107j -0.00872122-0.000212109j 0.00396828-0.00179136j 0.00330589-0.00218029j 0.00430362-0.00272609j -0.900581+0.00616229j 0.00831593-0.000187161j 0.00629256+0.00296151j 0.0268632-0.00112169j -0.00527222-0.00513807j 0.00991152-0.000113176j 0.00292976+0.000812455j 
0.00494847-0.000730768j 0.00153993-0.000249246j -0.00166506+0.000402915j 0.00681094-0.00116009j -0.00243678+0.000227554j -0.00127436-0.000259684j -0.00150275+0.000257517j -0.00337995+2.73219e-17j 0.00206247+0.000400469j 0.00398964-0.000648021j -0.00639093-0.000213988j 0.00129388-0.000262419j -0.000149663+0.000313011j -0.00237489+0.000481715j -0.00693292+0.00029572j -0.000535039+0.000548317j 0.000227619+0.000330081j -0.00256609-0.000161966j -0.000112042-0.000691631j 0.00143361-0.000372583j -0.00483542+0.000343607j 0.00141035-0.000142725j -0.00030525-0.000138967j 0.0026745-0.00050028j 0.000155162-5.8566e-05j -0.000205739+0.000424176j 0.000635449+7.73204e-06j -0.00330217+5.92384e-05j 0.000458026+0.000414652j 0.00204821-7.30403e-05j -0.00413594+0.000137984j -0.0012051-0.000235869j 0.00414914-0.000122714j 0.00476979-0.000363804j 0.000558183+0.000329595j 0.00154022+4.83985e-05j 0.000914469+0.000266281j -0.00355147-0.000161227j -0.000560063-0.00052964j -0.00375885+4.08684e-05j -0.00138935-0.000132806j -6.20516e-06+0.00053242j 0.00264592+0.000387444j -0.00213017-0.00036193j -0.000537164-0.000747753j -0.000512465-0.000546513j 0.00524934-0.00216773j 0.00310151+0.00127383j -0.00234403-0.00155936j 0.00431355-0.000289501j -0.00637395-0.000318633j 0.010793+0.000252353j -0.0114851-0.000813397j -0.00107037-0.000390357j -0.000207582+0.00129628j -0.000508326-0.000209263j -0.00603705+0.0035243j -0.0223561+0.00223723j 0.00914803-0.000515445j -0.00130353+0.00338826j -0.0162867-0.00169608j -0.00937533+0.0034003j -0.900765+0.00456803j 0.00430362-0.00272609j -0.00450497-0.00197432j -0.00200013-0.00491618j 0.00251912+0.00564161j 0.0345948+0.000367672j 0.00397966+0.000918394j -0.00349612+0.00116856j 
-0.00237142-4.28598e-07j -0.0024192+0.000277416j -0.0052087-1.549e-05j -0.000376867+0.000860595j 0.00187584-0.000489862j -0.00134406+0.000144342j -0.00437507-0.000437223j 0.00206247-0.000400469j -0.00236473-1.97325e-17j 0.00526502+3.58282e-05j 0.00249698+1.7084e-05j -0.00581727+0.00031268j 0.00498457-3.68293e-05j -0.00169092-0.000376989j 0.00523874-0.000156015j 0.00338624-0.000463444j 0.000454758+0.000139374j 0.00410196-0.000250435j -0.000305135-1.12199e-06j -0.00201342-1.46925e-05j 0.00242777-0.000567371j 0.00368956+0.000387181j 0.000179585+0.00021492j -0.000512581+9.44319e-05j 0.000419484-0.000549872j 0.00127391-0.000247043j 0.000151844-0.000219656j 0.00123832-0.0003066j -0.000862687-0.000315145j -0.00208425-0.000281506j 0.00195657-9.25802e-05j 0.00239238-0.000206409j -0.00158338+0.00070938j -0.00263138+0.000826338j 0.0020242+0.000558455j -0.00390163+0.000592214j -0.00162216-0.00015352j 0.00839255-0.000294879j 0.00388601-5.88551e-05j 0.0030154-8.86974e-05j 8.04056e-05-4.67841e-05j -0.00393978+5.15171e-05j 0.00440173-0.000555675j 0.000526631+0.000152584j 0.00382911+1.55695e-05j 0.00449838+0.00100394j 0.00103341+0.000714911j -0.00223431+0.000174148j 0.00382839+0.000152353j 0.000770205+0.000850831j 0.0105423+7.62461e-05j -0.00267765+0.00267739j 0.00263426-0.00085272j 0.0187517-0.000877873j -0.000876078+0.00165519j -0.00226099-0.000560787j -0.00431641+0.00103075j 4.17173e-05-0.00150543j 0.00120567-0.000248321j -0.0077514-0.00139849j -0.00256736-0.000228871j -0.923471+0.00211633j -0.00937533+0.0034003j 0.00330589-0.00218029j -0.000844058+0.00234918j -0.0191712-0.00287097j 0.0139979-0.000186013j 0.00346353-0.000894451j 0.00149445-0.000279998j 0.00758171+0.00111764j 
0.000106363+0.000182371j -0.00193574-0.000152236j 0.00314128+0.000129388j 0.00384894-5.72167e-05j 0.0014973+0.000340791j -0.00329412+0.00028976j 0.00232994+0.000274514j 0.00398964+0.000648021j 0.00526502-3.58282e-05j -0.00418271+3.59955e-17j 0.00287497+0.000233653j -0.0039892+1.35136e-06j -0.00404131-0.000524567j 0.00274805+0.00107666j -0.000129989-7.23903e-05j 0.00179226+0.000502081j 0.000536819-8.81642e-06j -0.00404637-3.37995e-05j -0.000107052+0.000201025j 0.00152268+8.04773e-05j -0.000256188+0.000160209j -0.00288582-0.000418804j -0.00144281-0.000485891j -0.0077235-0.00132827j -0.00313308+6.68394e-05j 0.000464261+0.000382452j -0.00366265-0.000201716j -0.0009922-0.000291816j 0.0025329+0.000361991j 0.000280652-5.79763e-05j -0.00547961-0.000372977j -0.00170464-0.000131117j 0.00588714+0.000130035j 0.000352556+0.000127202j 0.00665728+0.00334646j 0.00368933+0.0014806j 0.000493336-0.000852175j -0.00449763+0.00105933j -0.00104804+0.000264346j -0.000515705-0.00075718j 0.000400098-6.57055e-05j 0.00300612+0.000578567j 0.00712193+0.00123393j 0.00164635+9.98458e-06j 0.000452641-0.000719469j 0.00612972-0.00030113j -0.0124362-0.00158885j 0.00958144+0.000515633j -0.0132239-0.000994508j 0.00169675-0.00109627j -0.00159524-0.000375794j 0.0115661+0.00103597j -0.0103496+0.00118538j 0.00410502-0.00152041j 0.000467428-0.000280721j -0.0103314-0.00105161j 0.00985494+0.00174341j -0.00482085-0.00184168j -0.000119796+0.000534245j 0.0101385+0.00118004j 0.913877-0.00502768j 0.00256736+0.000228871j 0.0162867+0.00169608j -0.00396828+0.00179136j -0.0109372-0.00100571j -0.00802164-0.00121221j -0.0114427-0.000227587j 0.00761662+0.00224737j 0.00760166+0.00144039j 0.000462926+0.000162378j 
-0.00347819-4.89738e-06j -0.00261489-7.26889e-06j -0.0041658-8.90664e-05j 0.00551773-0.000510282j -0.00265606+0.000103232j 0.000179956-0.000475575j -0.00563307+0.00011188j -0.00639093+0.000213988j 0.00249698-1.7084e-05j 0.00287497-0.000233653j -0.00194467-8.06646e-17j -0.000608997-0.0003928j 0.00199139+8.09225e-05j -0.00412072+0.00020832j -0.00150742+0.00041698j -0.00454724+0.000422169j -0.0020697+0.000129427j 0.00232516-5.58383e-06j -0.00111905-0.000657164j -0.000919761-0.000189238j -0.00392242+0.000764157j 0.00319244-0.000326319j -0.000205769-9.64843e-05j -0.00107509-0.000663377j -0.00462313-0.000286393j 0.000141745-0.000236192j 0.00182722+0.00010935j 0.00251678+0.000169154j -0.00140556-9.70733e-05j 0.000211039-0.000453162j -0.00071206-0.000451979j 0.00322944+0.00016416j 0.00360521+1.77746e-05j 0.00782797-0.000381438j 0.00318268+0.0013125j -0.000320898-0.000117661j -0.00483359-0.000931265j 0.0031449+0.000266106j -0.000912955-9.39682e-05j 0.004349+0.00138092j -0.00340968+0.000377788j 0.000803357-0.000319861j -0.00195945+0.000241424j 0.00227377+0.000430543j -0.0061177+0.000646473j 0.00702319+0.000788696j 0.00502495-0.00101398j -0.00427715-0.000333855j 0.0183367+0.00057651j 0.0121859-0.0011407j 0.00273465+3.49971e-05j 0.004683+0.000921792j -0.00523101+0.000101781j 0.00682819+0.00114843j 0.0138108+0.00159146j 0.00133594-0.00199687j -0.00592883-0.0011667j 0.00673953+0.00214504j -0.0104657-0.00032561j 0.916647-0.00388632j 0.0101385+0.00118004j 0.0077514+0.00139849j 0.00130353-0.00338826j 0.00872122+0.000212109j 0.0229745-0.000342415j 0.0133051+0.0024684j 0.00626645+0.00197771j 6.80432e-05+0.000445581j 0.000662427-0.000183952j 0.00627282+0.000682845j 
