0.0195202-2.0383e-17j 0.00566543-1.10363e-05j 0.000143719-0.000203781j 0.030321+0.000681744j 0.0131251+0.000382703j 0.0111049+0.000235429j 0.018617+0.000107249j -0.0114059-0.000514189j -0.0113706+0.000213569j -0.00917452-1.05543e-05j -0.0383294-0.0016014j -0.00980093-0.000923965j -0.0231276-0.000690156j -0.0185315-0.00249334j -0.00663148+0.00107276j 0.00783981-0.000527824j -0.0580622-0.00067905j -0.0268547-0.000748316j 0.0302453-0.00550477j 0.108972+0.00502854j 0.173875-0.00153345j 0.86555-0.00793159j 
0.00566543+1.10363e-05j -0.0199676-4.98733e-17j 0.0212105+0.000574698j -0.00011037+0.000358431j -0.0158275-0.00111118j -0.0367685-0.00106748j 0.0106517+0.000543353j -0.0331227-0.00123502j 0.0105628+0.000491036j 0.0221726+0.000296557j -0.0253384+0.000350581j 0.00898074+0.00105084j 0.0151376+0.000554564j -0.0269957+0.00024018j -0.0146471-0.000857762j 0.0272843+0.000893505j 0.042607-0.000117208j -0.0393808+0.00137299j 0.101043+0.00253342j 0.0104699+0.00626657j 0.866037-0.00763299j -0.176235+0.000888005j 
0.000143719+0.000203781j 0.0212105-0.000574698j -0.012563+3.747e-16j 0.00421713-0.000165372j -0.00910504+0.000478634j 0.0228505+9.62465e-05j 0.00232563-9.02461e-05j 0.00324659+8.37905e-05j 0.00257765-0.000111094j -0.0327581+0.000297446j 0.019279-0.00198923j -0.0116186-0.00120475j -0.0283544-0.00066875j 0.0138801-0.00252676j 0.0109971+0.00205253j -0.0232078-0.00208443j -0.0588524+0.00292246j 0.0526883-0.00297599j -0.448731-0.000294972j -0.77684+0.0140049j 0.049029-0.00827164j 0.0175193-0.00205764j 
0.030321-0.000681744j -0.00011037-0.000358431j 0.00421713+0.000165372j 0.0341105+1.13191e-16j 0.031581-0.000960241j 0.0237864-0.000941278j 0.0478128+0.000487354j 0.0273541+0.000430294j -0.0700326-0.000504637j -0.0200396+0.000161391j 0.0142747+0.00351154j 0.0190037+0.00222906j -0.0273965+0.00141845j 0.160591-0.000653687j -0.101783-0.000115141j 0.0827717+0.00108984j -0.140432-0.00198572j 0.188447+0.00155822j -0.746818+0.00256635j 0.389869-0.00603725j 0.0210784+0.00209124j -0.0139993+0.0068604j 
0.0131251-0.000382703j -0.0158275+0.00111118j -0.00910504-0.000478634j 0.031581+0.000960241j 0.0978311+4.77049e-18j 0.0389017+0.000384296j -0.0100542-0.000437024j 0.0690877-0.0013574j -0.0652516+0.00129772j 0.0314843-0.00126787j -0.0699976+0.000118647j 0.0454646-6.91633e-05j 0.0171894+0.000106022j 0.205343+0.0007072j -0.0141058-0.000593652j -0.117614+0.00134602j -0.278469-0.00148102j 0.810539-0.00163828j 0.204602-7.57927e-06j -0.0361208+0.00535093j 0.0238568+0.00029888j 0.00286642-0.00331308j 
0.0111049-0.000235429j -0.0367685+0.00106748j 0.0228505-9.62465e-05j 0.0237864+0.000941278j 0.0389017-0.000384296j -0.0370968+7.30319e-16j 0.018933+5.98293e-05j 0.00664524-0.00218466j -0.0668107+0.00163759j 0.0354524-0.00092342j -0.177106-0.000675688j -0.0648132-0.000623308j -0.0727895-0.00161467j 0.0672526+0.00192033j -0.142748-0.00200996j 0.277921+0.000827732j -0.777733+0.00384586j -0.291319+0.0034584j 0.0568465+0.000989694j -0.0555304+0.00272102j -0.00214687-0.000273748j -0.0262682+0.000391434j 
0.018617-0.000107249j 0.0106517-0.000543353j 0.00232563+9.02461e-05j 0.0478128-0.000487354j -0.0100542+0.000437024j 0.018933-5.98293e-05j -0.0785637+2.5958e-15j -0.0303611-0.000203942j 0.0351881-0.000299365j -0.132818+0.00146125j -0.0684166-0.000212588j 0.152507-0.000179365j 0.0413223+2.60185e-05j 0.0863571+0.000987974j -0.0467553-0.000696627j -0.853389+0.0011872j -0.211325+0.00285485j -0.174619+0.000769273j -0.00913005+9.07394e-05j 0.0179585-0.002335j 0.00660806-0.000685858j -0.00626694+0.00155216j 
-0.0114059+0.000514189j -0.0331227+0.00123502j 0.00324659-8.37905e-05j 0.0273541-0.000430294j 0.0690877+0.0013574j 0.00664524+0.00218466j -0.0303611+0.000203942j 0.145639+4.26525e-16j -0.164753+0.000910461j -0.0911574+0.00109064j -0.0218313-0.00323306j -0.0997608-0.0017959j 0.0745418-3.98656e-05j 0.390093+0.000153813j -0.760721+0.00195572j -0.0108169-0.00110715j 0.206886-0.00225733j -0.0860206-0.00133858j 0.0548981+0.00128779j -0.0180767+0.00184341j 0.00748487-0.000537781j 0.00297508-0.00324502j 
-0.0113706-0.000213569j 0.0105628-0.000491036j 0.00257765+0.000111094j -0.0700326+0.000504637j -0.0652516-0.00129772j -0.0668107-0.00163759j 0.0351881+0.000299365j -0.164753-0.000910461j 0.0347553+3.219e-15j -0.0107715-0.00039873j -0.0470567+0.00273065j -0.115647+0.000240681j 0.218385+0.00107884j -0.739994+0.00316211j -0.464672+0.00250874j -0.0764732+0.00099691j -0.0768254-0.00024484j 0.161615-0.000486963j -0.0551546-0.000595014j -0.000769997-0.000263745j -0.0157048+0.00131119j -0.0019241+0.00188909j 
-0.00917452+1.05543e-05j 0.0221726-0.000296557j -0.0327581-0.000297446j -0.0200396-0.000161391j 0.0314843+0.00126787j 0.0354524+0.00092342j -0.132818-0.00146125j -0.0911574-0.00109064j -0.0107715+0.00039873j 0.0538923+5.24017e-15j 0.1956-0.00193548j 0.00263239+0.000563281j 0.872854-0.00106646j 0.133776-0.00225106j 0.109089-0.0011752j 0.0790223-0.000519836j -0.0906023+0.00168273j -0.0553868+0.00196929j -0.0152249-0.00138409j 0.000756758+0.00244153j 0.00195711+0.000119844j 0.0106201-0.0014773j 
-0.0383294+0.0016014j -0.0253384-0.000350581j 0.019279+0.00198923j 0.0142747-0.00351154j -0.0699976-0.000118647j -0.177106+0.000675688j -0.0684166+0.000212588j -0.0218313+0.00323306j -0.0470567-0.00273065j 0.1956+0.00193548j -0.847346+1.02399e-13j 0.0238822+0.000330149j 0.167707+0.00157103j 0.0540422+0.00154202j 0.0884385-0.000515666j 0.00255859-0.00116553j 0.102456+0.000398055j 0.0175126-0.00237137j -0.0448751+0.00165249j -0.00744772-0.00357839j -0.0153056+0.00031759j -0.00635242+0.00182648j 
